#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR971--MA0599.1.KLF5	chr1	73940883	73940892	+	0.000	0.000	Merged-chr1-73940938-50
NR14115--MA0741.1.KLF16	chr12	108275620	108275630	-	0.000	0.000	Merged-chr12-108275445-64
NR974--MA0741.1.KLF16	chr1	73940883	73940893	+	0.000	0.000	Merged-chr1-73940938-50
NR1363--MA0742.1.Klf12	chr1	89070318	89070332	+	0.000	0.000	Merged-chr1-89070221-114
NR26809--MA0741.1.KLF16	chr17	70888108	70888118	+	0.000	0.000	Merged-chr17-70888088-40
NR14107--MA0741.1.KLF16	chr12	108275455	108275465	-	0.000	0.000	Merged-chr12-108275445-64
NR16379--MA0741.1.KLF16	chr13	94144779	94144789	-	0.000	0.000	Merged-chr13-94144726-31
NR43405--MA0599.1.KLF5	chr4	150087352	150087361	-	0.000	0.000	Merged-chr4-150087480-81
NR4707--MA0741.1.KLF16	chr10	34207261	34207271	-	0.000	0.000	Merged-chr10-34207023-88
NR54186--MA0742.1.Klf12	chr7	78583947	78583961	-	0.000	0.000	Merged-chr7-78583930-15
NR15281--MA0741.1.KLF16	chr13	43789137	43789147	-	0.000	0.000	Merged-chr13-43789112-65
NR32406--MA0493.1.Klf1	chr2	59053687	59053697	+	0.000	0.000	Merged-chr2-59053724-29
NR14114--MA0599.1.KLF5	chr12	108275634	108275643	-	0.000	0.000	Merged-chr12-108275445-64
NR61451--MA0039.3.KLF4	chr9	61779442	61779452	-	0.000	0.000	Merged-chr9-61779248-32
NR9229--MA0493.1.Klf1	chr11	66905992	66906002	+	0.000	0.000	Merged-chr11-66906049-23
NR54190--MA1107.1.KLF9	chr7	78583949	78583961	-	0.000	0.000	Merged-chr7-78583930-15
NR54185--MA0740.1.KLF14	chr7	78583948	78583961	-	0.000	0.000	Merged-chr7-78583930-15
NR45223--MA1107.1.KLF9	chr5	74476792	74476804	+	0.000	0.000	Merged-chr5-74476772-23
NR54182--MA0493.1.Klf1	chr7	78451845	78451855	+	0.000	0.000	Merged-chr7-78451897-56
NR45468--MA0741.1.KLF16	chr5	89882216	89882226	-	0.000	0.000	Merged-chr5-89882343-19
NR1361--MA0493.1.Klf1	chr1	89070177	89070187	+	0.000	0.000	Merged-chr1-89070221-114
NR7319--MA0493.1.Klf1	chr10	118787589	118787599	+	0.000	0.000	Merged-chr10-118787587-44
NR14103--MA0599.1.KLF5	chr12	108275432	108275441	+	0.000	0.000	Merged-chr12-108275445-64
NR9230--MA1107.1.KLF9	chr11	66905992	66906004	+	0.000	0.000	Merged-chr11-66906049-23
NR972--MA0493.1.Klf1	chr1	73940876	73940886	+	0.000	0.000	Merged-chr1-73940938-50
NR1368--MA0741.1.KLF16	chr1	89070383	89070393	+	0.000	0.000	Merged-chr1-89070221-114
NR7320--MA1107.1.KLF9	chr10	118787589	118787601	+	0.000	0.000	Merged-chr10-118787587-44
NR1364--MA0599.1.KLF5	chr1	89070319	89070328	+	0.000	0.000	Merged-chr1-89070221-114
NR1655--MA0740.1.KLF14	chr1	111864953	111864966	-	0.000	0.000	Merged-chr1-111864716-124
NR14110--MA0742.1.Klf12	chr12	108275476	108275490	+	0.000	0.000	Merged-chr12-108275445-64
NR1656--MA0657.1.KLF13	chr1	111864950	111864967	-	0.000	0.000	Merged-chr1-111864716-124
NR973--MA0741.1.KLF16	chr1	73940877	73940887	+	0.000	0.000	Merged-chr1-73940938-50
NR52186--MA0599.1.KLF5	chr7	3290417	3290426	-	0.000	0.000	Merged-chr7-3290343-35
NR38086--MA1107.1.KLF9	chr3	107630764	107630776	-	0.000	0.000	Merged-chr3-107630963-1
NR14102--MA0742.1.Klf12	chr12	108275431	108275445	+	0.000	0.000	Merged-chr12-108275445-64
NR1366--MA0741.1.KLF16	chr1	89070319	89070329	+	0.000	0.000	Merged-chr1-89070221-114
NR14106--MA0741.1.KLF16	chr12	108275432	108275442	+	0.000	0.000	Merged-chr12-108275445-64
NR53805--MA0741.1.KLF16	chr7	49246034	49246044	+	0.000	0.000	Merged-chr7-49246156-57
NR33341--MA0493.1.Klf1	chr2	102039502	102039512	-	0.000	0.000	Merged-chr2-102039537-38
NR54184--MA0741.1.KLF16	chr7	78583833	78583843	-	0.000	0.000	Merged-chr7-78583930-15
NR14101--MA0740.1.KLF14	chr12	108275453	108275466	-	0.000	0.000	Merged-chr12-108275445-64
NR54188--MA0493.1.Klf1	chr7	78583951	78583961	-	0.000	0.000	Merged-chr7-78583930-15
NR4706--MA0741.1.KLF16	chr10	34207259	34207269	-	0.000	0.000	Merged-chr10-34207023-88
NR16377--MA0599.1.KLF5	chr13	94144784	94144793	-	0.000	0.000	Merged-chr13-94144726-31
NR53800--MA0740.1.KLF14	chr7	49246033	49246046	+	0.000	0.000	Merged-chr7-49246156-57
NR54189--MA0741.1.KLF16	chr7	78583950	78583960	-	0.000	0.000	Merged-chr7-78583930-15
NR7316--MA0742.1.Klf12	chr10	118787589	118787603	+	0.000	0.000	Merged-chr10-118787587-44
NR49671--MA0599.1.KLF5	chr6	82402609	82402618	+	0.000	0.000	Merged-chr6-82402722-33
NR53801--MA0657.1.KLF13	chr7	49246032	49246049	+	0.000	0.000	Merged-chr7-49246156-57
NR14104--MA0599.1.KLF5	chr12	108275456	108275465	-	0.000	0.000	Merged-chr12-108275445-64
NR14117--MA1107.1.KLF9	chr12	108275619	108275631	-	0.000	0.000	Merged-chr12-108275445-64
NR55670--MA0742.1.Klf12	chr7	125190279	125190293	-	0.000	0.000	Merged-chr7-125190262-47
NR15280--MA0599.1.KLF5	chr13	43789138	43789147	-	0.000	0.000	Merged-chr13-43789112-65
NR14112--MA0740.1.KLF14	chr12	108275631	108275644	-	0.000	0.000	Merged-chr12-108275445-64
NR2409--MA0039.3.KLF4	chr1	151236860	151236870	+	0.000	0.000	Merged-chr1-151236737-36
NR1365--MA0493.1.Klf1	chr1	89070318	89070328	+	0.000	0.000	Merged-chr1-89070221-114
NR53482--MA0599.1.KLF5	chr7	39544414	39544423	+	0.000	0.000	Merged-chr7-39544508-62
NR52182--MA0599.1.KLF5	chr7	3290306	3290315	+	0.000	0.000	Merged-chr7-3290343-35
NR21694--MA0741.1.KLF16	chr15	91573243	91573253	-	0.000	0.000	Merged-chr15-91573061-60
NR14109--MA0740.1.KLF14	chr12	108275476	108275489	+	0.000	0.000	Merged-chr12-108275445-64
NR14228--MA0599.1.KLF5	chr12	110381480	110381489	+	0.000	0.000	Merged-chr12-110381552-59
NR53802--MA0742.1.Klf12	chr7	49246033	49246047	+	0.000	0.000	Merged-chr7-49246156-57
NR33338--MA0599.1.KLF5	chr2	102034414	102034423	+	0.000	0.000	Merged-chr2-102034492-49
NR1359--MA0599.1.KLF5	chr1	89070178	89070187	+	0.000	0.000	Merged-chr1-89070221-114
NR1362--MA0740.1.KLF14	chr1	89070318	89070331	+	0.000	0.000	Merged-chr1-89070221-114
NR53803--MA0599.1.KLF5	chr7	49246034	49246043	+	0.000	0.000	Merged-chr7-49246156-57
NR1657--MA0741.1.KLF16	chr1	111864955	111864965	-	0.000	0.000	Merged-chr1-111864716-124
NR16378--MA0493.1.Klf1	chr13	94144784	94144794	-	0.000	0.000	Merged-chr13-94144726-31
NR33340--MA0599.1.KLF5	chr2	102039502	102039511	-	0.000	0.000	Merged-chr2-102039537-38
NR52184--MA0741.1.KLF16	chr7	3290306	3290316	+	0.000	0.000	Merged-chr7-3290343-35
NR14105--MA0493.1.Klf1	chr12	108275431	108275441	+	0.000	0.000	Merged-chr12-108275445-64
NR9228--MA0039.3.KLF4	chr11	66905994	66906004	+	0.000	0.000	Merged-chr11-66906049-23
NR54187--MA0599.1.KLF5	chr7	78583951	78583960	-	0.000	0.000	Merged-chr7-78583930-15
NR1360--MA0039.3.KLF4	chr1	89070174	89070184	+	0.000	0.000	Merged-chr1-89070221-114
NR14100--MA0740.1.KLF14	chr12	108275431	108275444	+	0.000	0.000	Merged-chr12-108275445-64
NR43406--MA0741.1.KLF16	chr4	150087351	150087361	-	0.000	0.000	Merged-chr4-150087480-81
