#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR1945--MA1421.1.TCF7L1	chr12	69516445	69516456	+	0.000	0.000	Merged-chr12-69516635-49
NR5425--MA0523.1.TCF7L2	chr2	158719399	158719412	-	0.000	0.000	Merged-chr2-158719347-62
NR8407--MA0769.1.Tcf7	chr7	88206950	88206961	+	0.000	0.000	Merged-chr7-88206806-101
NR4712--MA0523.1.TCF7L2	chr19	56771671	56771684	-	0.000	0.000	Merged-chr19-56771635-4
NR3146--MA1421.1.TCF7L1	chr14	121405429	121405440	-	0.000	0.000	Merged-chr14-121405440-45
NR13--MA0769.1.Tcf7	chr1	6467360	6467371	-	0.000	0.000	Merged-chr1-6467226-38
NR3988--MA1421.1.TCF7L1	chr17	21536889	21536900	-	0.000	0.000	Merged-chr17-21536922-38
NR519--MA0769.1.Tcf7	chr1	143985305	143985316	-	0.000	0.000	Merged-chr1-143985220-17
NR3058--MA0769.1.Tcf7	chr14	102980037	102980048	-	0.000	0.000	Merged-chr14-102979979-6
NR8347--MA1421.1.TCF7L1	chr7	74698158	74698169	+	0.000	0.000	Merged-chr7-74698017-54
NR1376--MA0769.1.Tcf7	chr10	118096221	118096232	+	0.000	0.000	Merged-chr10-118096400-51
NR3830--MA0523.1.TCF7L2	chr16	75920967	75920980	-	0.000	0.000	Merged-chr16-75921068-56
NR1375--MA1421.1.TCF7L1	chr10	118096221	118096232	+	0.000	0.000	Merged-chr10-118096400-51
NR3737--MA0769.1.Tcf7	chr16	49772876	49772887	+	0.000	0.000	Merged-chr16-49772867-33
NR9319--MA0523.1.TCF7L2	chr9	114770593	114770606	+	0.000	0.000	Merged-chr9-114770446-32
NR3411--MA1421.1.TCF7L1	chr15	66825623	66825634	+	0.000	0.000	Merged-chr15-66825502-98
NR9342--MA0769.1.Tcf7	chr9	123872233	123872244	+	0.000	0.000	Merged-chr9-123872293-49
NR3541--MA0523.1.TCF7L2	chr15	100665050	100665063	-	0.000	0.000	Merged-chr15-100665160-50
NR4996--MA0769.1.Tcf7	chr2	58907080	58907091	+	0.000	0.000	Merged-chr2-58907164-60
NR7384--MA0769.1.Tcf7	chr5	118465205	118465216	+	0.000	0.000	Merged-chr5-118465239-56
NR115--MA0523.1.TCF7L2	chr1	37481354	37481367	+	0.000	0.000	Merged-chr1-37481502-14
NR5456--MA0523.1.TCF7L2	chr2	164868652	164868665	+	0.000	0.000	Merged-chr2-164868622-33
NR6523--MA0769.1.Tcf7	chr4	59264914	59264925	-	0.000	0.000	Merged-chr4-59265208-63
NR6869--MA0523.1.TCF7L2	chr4	149658104	149658117	-	0.000	0.000	Merged-chr4-149658229-60
NR8813--MA1421.1.TCF7L1	chr8	78622436	78622447	+	0.000	0.000	Merged-chr8-78622544-26
NR6091--MA0769.1.Tcf7	chr3	131057422	131057433	-	0.000	0.000	Merged-chr3-131057396-52
NR12--MA0523.1.TCF7L2	chr1	6467358	6467371	-	0.000	0.000	Merged-chr1-6467226-38
NR865--MA0769.1.Tcf7	chr10	17728951	17728962	+	0.000	0.000	Merged-chr10-17728854-10
NR2086--MA0769.1.Tcf7	chr12	107129544	107129555	-	0.000	0.000	Merged-chr12-107129420-39
NR9320--MA0523.1.TCF7L2	chr9	114787888	114787901	+	0.000	0.000	Merged-chr9-114787935-34
NR3077--MA1421.1.TCF7L1	chr14	105272252	105272263	-	0.000	0.000	Merged-chr14-105272291-16
NR863--MA1421.1.TCF7L1	chr10	17728951	17728962	+	0.000	0.000	Merged-chr10-17728854-10
NR3147--MA0769.1.Tcf7	chr14	121405429	121405440	-	0.000	0.000	Merged-chr14-121405440-45
NR9120--MA1421.1.TCF7L1	chr9	61427179	61427190	-	0.000	0.000	Merged-chr9-61427187-31
NR3542--MA0769.1.Tcf7	chr15	100665052	100665063	-	0.000	0.000	Merged-chr15-100665160-50
NR4602--MA1421.1.TCF7L1	chr18	89212179	89212190	+	0.000	0.000	Merged-chr18-89212381-24
NR3736--MA0523.1.TCF7L2	chr16	49772876	49772889	+	0.000	0.000	Merged-chr16-49772867-33
NR864--MA0523.1.TCF7L2	chr10	17728951	17728964	+	0.000	0.000	Merged-chr10-17728854-10
NR3361--MA0523.1.TCF7L2	chr15	52570294	52570307	+	0.000	0.000	Merged-chr15-52570490-21
NR8230--MA1421.1.TCF7L1	chr7	38215101	38215112	+	0.000	0.000	Merged-chr7-38215034-63
NR5426--MA1421.1.TCF7L1	chr2	158719454	158719465	-	0.000	0.000	Merged-chr2-158719347-62
NR5921--MA0769.1.Tcf7	chr3	87524043	87524054	+	0.000	0.000	Merged-chr3-87523933-20
NR5920--MA1421.1.TCF7L1	chr3	86677747	86677758	+	0.000	0.000	Merged-chr3-86677937-13
NR6090--MA1421.1.TCF7L1	chr3	131057422	131057433	-	0.000	0.000	Merged-chr3-131057396-52
NR9045--MA0769.1.Tcf7	chr9	25192028	25192039	-	0.000	0.000	Merged-chr9-25191824-38
