#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR627--MA0769.1.Tcf7	chr1	164888775	164888786	-	0.000	0.000	Merged-chr1-164888737-16
NR6637--MA0769.1.Tcf7	chr4	88693578	88693589	-	0.000	0.000	Merged-chr4-88693660-22
NR3636--MA0523.1.TCF7L2	chr16	21689397	21689410	-	0.000	0.000	Merged-chr16-21689391-19
NR7088--MA0523.1.TCF7L2	chr5	41841962	41841975	+	0.000	0.000	Merged-chr5-41841893-1
NR6440--MA0769.1.Tcf7	chr4	34429185	34429196	+	0.000	0.000	Merged-chr4-34429163-2
NR1750--MA0523.1.TCF7L2	chr12	8496496	8496509	+	0.000	0.000	Merged-chr12-8496481-10
NR3287--MA0523.1.TCF7L2	chr15	36396449	36396462	-	0.000	0.000	Merged-chr15-36396472-80
NR7677--MA0523.1.TCF7L2	chr6	61125593	61125606	-	0.000	0.000	Merged-chr6-61125660-31
NR3442--MA0523.1.TCF7L2	chr15	74667788	74667801	-	0.000	0.000	Merged-chr15-74667710-27
NR565--MA0769.1.Tcf7	chr1	151973287	151973298	-	0.000	0.000	Merged-chr1-151973357-25
NR7938--MA1421.1.TCF7L1	chr6	120206759	120206770	+	0.000	0.000	Merged-chr6-120206801-39
NR5830--MA0769.1.Tcf7	chr3	67033638	67033649	+	0.000	0.000	Merged-chr3-67033715-15
NR6638--MA0523.1.TCF7L2	chr4	88693670	88693683	-	0.000	0.000	Merged-chr4-88693660-22
NR7675--MA1421.1.TCF7L1	chr6	60940531	60940542	+	0.000	0.000	Merged-chr6-60940563-22
NR8115--MA0523.1.TCF7L2	chr6	149183513	149183526	-	0.000	0.000	Merged-chr6-149183441-13
NR7432--MA0523.1.TCF7L2	chr5	134333001	134333014	-	0.000	0.000	Merged-chr5-134333065-45
NR1782--MA1421.1.TCF7L1	chr12	17726719	17726730	-	0.000	0.000	Merged-chr12-17726607-38
NR1333--MA0523.1.TCF7L2	chr10	111578772	111578785	+	0.000	0.000	Merged-chr10-111578564-64
NR2910--MA0769.1.Tcf7	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR1386--MA0769.1.Tcf7	chr10	120556375	120556386	-	0.000	0.000	Merged-chr10-120556279-62
NR7397--MA0523.1.TCF7L2	chr5	122288603	122288616	+	0.000	0.000	Merged-chr5-122288620-47
NR3522--MA1421.1.TCF7L1	chr15	96778434	96778445	+	0.000	0.000	Merged-chr15-96778537-47
NR4314--MA0523.1.TCF7L2	chr18	32598283	32598296	+	0.000	0.000	Merged-chr18-32598271-33
NR3463--MA0523.1.TCF7L2	chr15	80602678	80602691	-	0.000	0.000	Merged-chr15-80602759-36
NR2780--MA0523.1.TCF7L2	chr14	21113014	21113027	-	0.000	0.000	Merged-chr14-21112934-51
NR5989--MA0523.1.TCF7L2	chr3	108140837	108140850	+	0.000	0.000	Merged-chr3-108140871-48
NR2393--MA0523.1.TCF7L2	chr13	73760318	73760331	+	0.000	0.000	Merged-chr13-73760332-14
NR7599--MA0523.1.TCF7L2	chr6	41113489	41113502	+	0.000	0.000	Merged-chr6-41113305-59
NR4009--MA0523.1.TCF7L2	chr17	27814800	27814813	+	0.000	0.000	Merged-chr17-27814789-24
NR2776--MA0523.1.TCF7L2	chr14	18426088	18426101	+	0.000	0.000	Merged-chr14-18426065-14
NR3196--MA0523.1.TCF7L2	chr15	9533555	9533568	+	0.000	0.000	Merged-chr15-9533546-44
NR7814--MA0769.1.Tcf7	chr6	94681555	94681566	+	0.000	0.000	Merged-chr6-94681460-83
NR8116--MA0769.1.Tcf7	chr6	149183515	149183526	-	0.000	0.000	Merged-chr6-149183441-13
NR9452--MA0769.1.Tcf7	chrX	100789554	100789565	-	0.000	0.000	Merged-chrX-100789555-32
NR9158--MA0523.1.TCF7L2	chr9	72660363	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR3183--MA0523.1.TCF7L2	chr15	6726748	6726761	-	0.000	0.000	Merged-chr15-6726597-28
NR8922--MA0769.1.Tcf7	chr8	116645576	116645587	-	0.000	0.000	Merged-chr8-116645599-31
NR8256--MA0523.1.TCF7L2	chr7	45695248	45695261	+	0.000	0.000	Merged-chr7-45695271-16
NR616--MA0769.1.Tcf7	chr1	161480192	161480203	-	0.000	0.000	Merged-chr1-161480099-19
NR8264--MA0769.1.Tcf7	chr7	49421423	49421434	-	0.000	0.000	Merged-chr7-49421353-29
NR1781--MA0769.1.Tcf7	chr12	17726669	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR5959--MA0523.1.TCF7L2	chr3	100582931	100582944	-	0.000	0.000	Merged-chr3-100582913-18
NR8090--MA1421.1.TCF7L1	chr6	144953040	144953051	-	0.000	0.000	Merged-chr6-144953133-29
NR9132--MA0523.1.TCF7L2	chr9	63749481	63749494	+	0.000	0.000	Merged-chr9-63749415-13
NR9156--MA1421.1.TCF7L1	chr9	72660365	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR3900--MA1421.1.TCF7L1	chr16	92980118	92980129	+	0.000	0.000	Merged-chr16-92980163-22
NR9143--MA1421.1.TCF7L1	chr9	66492614	66492625	-	0.000	0.000	Merged-chr9-66492510-30
NR1592--MA1421.1.TCF7L1	chr11	63146802	63146813	-	0.000	0.000	Merged-chr11-63146790-18
NR3368--MA0523.1.TCF7L2	chr15	55520811	55520824	-	0.000	0.000	Merged-chr15-55520889-48
NR6570--MA1421.1.TCF7L1	chr4	71291707	71291718	-	0.000	0.000	Merged-chr4-71291736-94
NR6699--MA0769.1.Tcf7	chr4	101217307	101217318	+	0.000	0.000	Merged-chr4-101217167-64
NR3523--MA0523.1.TCF7L2	chr15	96778434	96778447	+	0.000	0.000	Merged-chr15-96778537-47
NR9500--MA1421.1.TCF7L1	chrX	153375286	153375297	-	0.000	0.000	Merged-chrX-153375365-26
NR6914--MA0769.1.Tcf7	chr5	8075556	8075567	-	0.000	0.000	Merged-chr5-8075370-38
NR1697--MA0523.1.TCF7L2	chr11	113174336	113174349	-	0.000	0.000	Merged-chr11-113174221-33
NR312--MA0523.1.TCF7L2	chr1	88475655	88475668	+	0.000	0.000	Merged-chr1-88475619-20
NR5954--MA0769.1.Tcf7	chr3	97274117	97274128	+	0.000	0.000	Merged-chr3-97274158-19
NR5000--MA0523.1.TCF7L2	chr2	59469814	59469827	-	0.000	0.000	Merged-chr2-59469655-1
NR7192--MA1421.1.TCF7L1	chr5	64764617	64764628	+	0.000	0.000	Merged-chr5-64764597-23
NR703--MA0769.1.Tcf7	chr1	180410475	180410486	-	0.000	0.000	Merged-chr1-180410391-12
NR8360--MA0769.1.Tcf7	chr7	76229078	76229089	-	0.000	0.000	Merged-chr7-76229137-51
NR5952--MA1421.1.TCF7L1	chr3	97274117	97274128	+	0.000	0.000	Merged-chr3-97274158-19
NR5291--MA0523.1.TCF7L2	chr2	132691812	132691825	+	0.000	0.000	Merged-chr2-132691913-20
NR1246--MA0523.1.TCF7L2	chr10	96691169	96691182	-	0.000	0.000	Merged-chr10-96691005-66
NR7728--MA0523.1.TCF7L2	chr6	67184933	67184946	+	0.000	0.000	Merged-chr6-67184785-39
NR5240--MA0523.1.TCF7L2	chr2	117352885	117352898	-	0.000	0.000	Merged-chr2-117352784-31
NR1886--MA0523.1.TCF7L2	chr12	41844193	41844206	+	0.000	0.000	Merged-chr12-41844052-32
NR4457--MA1421.1.TCF7L1	chr18	61188290	61188301	-	0.000	0.000	Merged-chr18-61188282-36
NR3157--MA0523.1.TCF7L2	chr14	122902341	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR8920--MA1421.1.TCF7L1	chr8	116645576	116645587	-	0.000	0.000	Merged-chr8-116645599-31
NR563--MA1421.1.TCF7L1	chr1	151973287	151973298	-	0.000	0.000	Merged-chr1-151973357-25
NR138--MA1421.1.TCF7L1	chr1	43403604	43403615	-	0.000	0.000	Merged-chr1-43403565-20
NR8374--MA0769.1.Tcf7	chr7	78684958	78684969	+	0.000	0.000	Merged-chr7-78685016-20
NR4458--MA0769.1.Tcf7	chr18	61188290	61188301	-	0.000	0.000	Merged-chr18-61188282-36
NR3182--MA0523.1.TCF7L2	chr15	6613077	6613090	-	0.000	0.000	Merged-chr15-6612978-36
NR1869--MA0769.1.Tcf7	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR1692--MA0523.1.TCF7L2	chr11	111056295	111056308	+	0.000	0.000	Merged-chr11-111056370-11
NR3901--MA0523.1.TCF7L2	chr16	92980118	92980131	+	0.000	0.000	Merged-chr16-92980163-22
NR3158--MA0769.1.Tcf7	chr14	122902343	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR8961--MA0769.1.Tcf7	chr8	126687068	126687079	+	0.000	0.000	Merged-chr8-126687126-29
NR5123--MA0769.1.Tcf7	chr2	84837996	84838007	-	0.000	0.000	Merged-chr2-84838147-43
NR9323--MA1421.1.TCF7L1	chr9	116187525	116187536	-	0.000	0.000	Merged-chr9-116187633-9
NR8715--MA0769.1.Tcf7	chr8	36028577	36028588	-	0.000	0.000	Merged-chr8-36028490-56
NR9264--MA0523.1.TCF7L2	chr9	95315390	95315403	-	0.000	0.000	Merged-chr9-95315222-46
NR1593--MA0523.1.TCF7L2	chr11	63146800	63146813	-	0.000	0.000	Merged-chr11-63146790-18
NR1675--MA0523.1.TCF7L2	chr11	99116123	99116136	-	0.000	0.000	Merged-chr11-99116157-23
NR7433--MA0769.1.Tcf7	chr5	134333003	134333014	-	0.000	0.000	Merged-chr5-134333065-45
NR5916--MA0769.1.Tcf7	chr3	84770772	84770783	-	0.000	0.000	Merged-chr3-84770670-24
NR4957--MA0523.1.TCF7L2	chr2	52310864	52310877	+	0.000	0.000	Merged-chr2-52310809-21
NR3405--MA0769.1.Tcf7	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR3148--MA0523.1.TCF7L2	chr14	121478315	121478328	+	0.000	0.000	Merged-chr14-121478313-77
NR4557--MA0523.1.TCF7L2	chr18	79297906	79297919	+	0.000	0.000	Merged-chr18-79298014-36
NR5614--MA0523.1.TCF7L2	chr3	22040806	22040819	+	0.000	0.000	Merged-chr3-22040885-32
NR7538--MA0523.1.TCF7L2	chr6	22314658	22314671	-	0.000	0.000	Merged-chr6-22314730-22
NR5242--MA1421.1.TCF7L1	chr2	117418888	117418899	-	0.000	0.000	Merged-chr2-117418760-26
NR707--MA0523.1.TCF7L2	chr1	183180468	183180481	+	0.000	0.000	Merged-chr1-183180587-56
NR592--MA1421.1.TCF7L1	chr1	156710951	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR5829--MA0523.1.TCF7L2	chr3	67033638	67033651	+	0.000	0.000	Merged-chr3-67033715-15
NR4536--MA0769.1.Tcf7	chr18	75374209	75374220	-	0.000	0.000	Merged-chr18-75374196-25
NR3464--MA0769.1.Tcf7	chr15	80602680	80602691	-	0.000	0.000	Merged-chr15-80602759-36
NR8921--MA0523.1.TCF7L2	chr8	116645574	116645587	-	0.000	0.000	Merged-chr8-116645599-31
NR4312--MA0523.1.TCF7L2	chr18	32543279	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR608--MA0523.1.TCF7L2	chr1	159938619	159938632	+	0.000	0.000	Merged-chr1-159938641-24
NR7600--MA0769.1.Tcf7	chr6	41113489	41113500	+	0.000	0.000	Merged-chr6-41113305-59
NR7670--MA0523.1.TCF7L2	chr6	58881113	58881126	+	0.000	0.000	Merged-chr6-58880983-47
NR3457--MA0523.1.TCF7L2	chr15	79729194	79729207	+	0.000	0.000	Merged-chr15-79729133-34
NR671--MA0523.1.TCF7L2	chr1	173432611	173432624	-	0.000	0.000	Merged-chr1-173432561-56
NR4384--MA0523.1.TCF7L2	chr18	49721796	49721809	+	0.000	0.000	Merged-chr18-49721855-41
NR7885--MA0523.1.TCF7L2	chr6	108526365	108526378	+	0.000	0.000	Merged-chr6-108526296-8
NR682--MA1421.1.TCF7L1	chr1	175631972	175631983	+	0.000	0.000	Merged-chr1-175631822-65
NR4563--MA1421.1.TCF7L1	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR5251--MA0769.1.Tcf7	chr2	120502274	120502285	+	0.000	0.000	Merged-chr2-120502347-30
NR3909--MA0523.1.TCF7L2	chr16	95869617	95869630	+	0.000	0.000	Merged-chr16-95869616-44
NR3911--MA1421.1.TCF7L1	chr16	95999482	95999493	+	0.000	0.000	Merged-chr16-95999409-48
NR4535--MA0523.1.TCF7L2	chr18	75374207	75374220	-	0.000	0.000	Merged-chr18-75374196-25
NR7472--MA0523.1.TCF7L2	chr5	149392211	149392224	-	0.000	0.000	Merged-chr5-149392157-30
NR6196--MA0523.1.TCF7L2	chr3	146004828	146004841	+	0.000	0.000	Merged-chr3-146004832-23
NR1698--MA0769.1.Tcf7	chr11	113174338	113174349	-	0.000	0.000	Merged-chr11-113174221-33
NR9159--MA0769.1.Tcf7	chr9	72660365	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR3465--MA0523.1.TCF7L2	chr15	80602701	80602714	+	0.000	0.000	Merged-chr15-80602759-36
NR5498--MA0769.1.Tcf7	chr2	172977460	172977471	-	0.000	0.000	Merged-chr2-172977593-131
NR7291--MA0523.1.TCF7L2	chr5	91283252	91283265	-	0.000	0.000	Merged-chr5-91283193-32
NR5391--MA1421.1.TCF7L1	chr2	150578761	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR8768--MA1421.1.TCF7L1	chr8	57828446	57828457	+	0.000	0.000	Merged-chr8-57828491-18
NR8540--MA1421.1.TCF7L1	chr7	127189193	127189204	+	0.000	0.000	Merged-chr7-127189025-89
NR6829--MA0523.1.TCF7L2	chr4	145319396	145319409	-	0.000	0.000	Merged-chr4-145319470-38
NR593--MA0523.1.TCF7L2	chr1	156710949	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR7575--MA0769.1.Tcf7	chr6	33683677	33683688	-	0.000	0.000	Merged-chr6-33683719-46
NR3558--MA1421.1.TCF7L1	chr16	4583907	4583918	-	0.000	0.000	Merged-chr16-4584045-35
NR6163--MA0769.1.Tcf7	chr3	142533254	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR2800--MA0523.1.TCF7L2	chr14	32716983	32716996	-	0.000	0.000	Merged-chr14-32716978-71
NR3507--MA1421.1.TCF7L1	chr15	94255284	94255295	-	0.000	0.000	Merged-chr15-94255177-46
NR5615--MA0769.1.Tcf7	chr3	22040806	22040817	+	0.000	0.000	Merged-chr3-22040885-32
NR3910--MA0769.1.Tcf7	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR7137--MA0769.1.Tcf7	chr5	52125953	52125964	-	0.000	0.000	Merged-chr5-52126006-25
NR9450--MA1421.1.TCF7L1	chrX	100789554	100789565	-	0.000	0.000	Merged-chrX-100789555-32
NR8714--MA0523.1.TCF7L2	chr8	36028575	36028588	-	0.000	0.000	Merged-chr8-36028490-56
NR9102--MA0769.1.Tcf7	chr9	48447960	48447971	+	0.000	0.000	Merged-chr9-48448010-22
NR211--MA0523.1.TCF7L2	chr1	66552831	66552844	-	0.000	0.000	Merged-chr1-66552771-47
NR5165--MA0523.1.TCF7L2	chr2	102044477	102044490	+	0.000	0.000	Merged-chr2-102044515-18
NR7655--MA1421.1.TCF7L1	chr6	55016479	55016490	+	0.000	0.000	Merged-chr6-55016500-80
NR8814--MA0769.1.Tcf7	chr8	78975243	78975254	-	0.000	0.000	Merged-chr8-78975191-34
NR1700--MA0523.1.TCF7L2	chr11	113206356	113206369	+	0.000	0.000	Merged-chr11-113206318-17
NR1556--MA1421.1.TCF7L1	chr11	49722944	49722955	-	0.000	0.000	Merged-chr11-49723086-55
NR4119--MA0769.1.Tcf7	chr17	64629129	64629140	-	0.000	0.000	Merged-chr17-64628994-21
NR987--MA0769.1.Tcf7	chr10	41620211	41620222	+	0.000	0.000	Merged-chr10-41620205-22
NR7049--MA1421.1.TCF7L1	chr5	30353655	30353666	-	0.000	0.000	Merged-chr5-30353789-16
NR9104--MA0523.1.TCF7L2	chr9	48538518	48538531	+	0.000	0.000	Merged-chr9-48538454-59
NR1690--MA0523.1.TCF7L2	chr11	109591673	109591686	+	0.000	0.000	Merged-chr11-109591660-26
NR3286--MA1421.1.TCF7L1	chr15	36396451	36396462	-	0.000	0.000	Merged-chr15-36396472-80
NR615--MA0523.1.TCF7L2	chr1	161480190	161480203	-	0.000	0.000	Merged-chr1-161480099-19
NR1699--MA0523.1.TCF7L2	chr11	113206337	113206350	+	0.000	0.000	Merged-chr11-113206318-17
NR748--MA0523.1.TCF7L2	chr1	191259381	191259394	+	0.000	0.000	Merged-chr1-191259374-46
NR5393--MA0769.1.Tcf7	chr2	150578761	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR8770--MA0769.1.Tcf7	chr8	57828446	57828457	+	0.000	0.000	Merged-chr8-57828491-18
NR3509--MA0769.1.Tcf7	chr15	94255284	94255295	-	0.000	0.000	Merged-chr15-94255177-46
NR4065--MA0523.1.TCF7L2	chr17	48318939	48318952	+	0.000	0.000	Merged-chr17-48318964-29
NR9262--MA0523.1.TCF7L2	chr9	94945765	94945778	+	0.000	0.000	Merged-chr9-94945890-45
NR8542--MA0769.1.Tcf7	chr7	127189193	127189204	+	0.000	0.000	Merged-chr7-127189025-89
NR594--MA0769.1.Tcf7	chr1	156710951	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR1779--MA1421.1.TCF7L1	chr12	17726669	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR9331--MA0523.1.TCF7L2	chr9	119453609	119453622	-	0.000	0.000	Merged-chr9-119453486-15
NR8114--MA1421.1.TCF7L1	chr6	149183515	149183526	-	0.000	0.000	Merged-chr6-149183441-13
NR1888--MA0523.1.TCF7L2	chr12	41844234	41844247	+	0.000	0.000	Merged-chr12-41844052-32
NR4869--MA0523.1.TCF7L2	chr2	30527749	30527762	+	0.000	0.000	Merged-chr2-30527787-16
NR1332--MA1421.1.TCF7L1	chr10	111578772	111578783	+	0.000	0.000	Merged-chr10-111578564-64
NR7044--MA1421.1.TCF7L1	chr5	28269931	28269942	-	0.000	0.000	Merged-chr5-28269924-54
NR9451--MA0523.1.TCF7L2	chrX	100789552	100789565	-	0.000	0.000	Merged-chrX-100789555-32
NR286--MA0769.1.Tcf7	chr1	82974090	82974101	+	0.000	0.000	Merged-chr1-82974163-36
NR986--MA1421.1.TCF7L1	chr10	41620211	41620222	+	0.000	0.000	Merged-chr10-41620205-22
NR9324--MA0769.1.Tcf7	chr9	116187525	116187536	-	0.000	0.000	Merged-chr9-116187633-9
NR7899--MA1421.1.TCF7L1	chr6	113487190	113487201	-	0.000	0.000	Merged-chr6-113487219-11
NR7574--MA0523.1.TCF7L2	chr6	33683675	33683688	-	0.000	0.000	Merged-chr6-33683719-46
NR209--MA1421.1.TCF7L1	chr1	66552809	66552820	-	0.000	0.000	Merged-chr1-66552771-47
NR8859--MA0523.1.TCF7L2	chr8	91545846	91545859	+	0.000	0.000	Merged-chr8-91545805-43
NR1681--MA0523.1.TCF7L2	chr11	100824189	100824202	-	0.000	0.000	Merged-chr11-100824336-61
NR1749--MA1421.1.TCF7L1	chr12	8496496	8496507	+	0.000	0.000	Merged-chr12-8496481-10
NR9105--MA0769.1.Tcf7	chr9	48538518	48538529	+	0.000	0.000	Merged-chr9-48538454-59
NR7136--MA0523.1.TCF7L2	chr5	52125951	52125964	-	0.000	0.000	Merged-chr5-52126006-25
NR9011--MA0769.1.Tcf7	chr9	14262675	14262686	+	0.000	0.000	Merged-chr9-14262730-55
NR3651--MA1421.1.TCF7L1	chr16	24826560	24826571	+	0.000	0.000	Merged-chr16-24826564-20
NR5250--MA0523.1.TCF7L2	chr2	120502274	120502287	+	0.000	0.000	Merged-chr2-120502347-30
NR4372--MA0769.1.Tcf7	chr18	46181992	46182003	+	0.000	0.000	Merged-chr18-46182052-26
NR8583--MA0523.1.TCF7L2	chr7	143624756	143624769	+	0.000	0.000	Merged-chr7-143624807-1
NR7194--MA0769.1.Tcf7	chr5	64764617	64764628	+	0.000	0.000	Merged-chr5-64764597-23
NR5427--MA0523.1.TCF7L2	chr2	158723985	158723998	+	0.000	0.000	Merged-chr2-158724013-3
NR7448--MA1421.1.TCF7L1	chr5	140502567	140502578	-	0.000	0.000	Merged-chr5-140502630-23
NR7982--MA0523.1.TCF7L2	chr6	130029886	130029899	+	0.000	0.000	Merged-chr6-130029953-23
NR5001--MA0769.1.Tcf7	chr2	59469816	59469827	-	0.000	0.000	Merged-chr2-59469655-1
NR5122--MA0769.1.Tcf7	chr2	84837928	84837939	+	0.000	0.000	Merged-chr2-84838147-43
NR3184--MA0769.1.Tcf7	chr15	6726750	6726761	-	0.000	0.000	Merged-chr15-6726597-28
NR1667--MA0769.1.Tcf7	chr11	97905527	97905538	-	0.000	0.000	Merged-chr11-97905718-19
NR672--MA0769.1.Tcf7	chr1	173432613	173432624	-	0.000	0.000	Merged-chr1-173432561-56
NR5452--MA0523.1.TCF7L2	chr2	164534496	164534509	-	0.000	0.000	Merged-chr2-164534526-17
NR453--MA0769.1.Tcf7	chr1	131006382	131006393	+	0.000	0.000	Merged-chr1-131006286-18
NR1866--MA0523.1.TCF7L2	chr12	41167987	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR2909--MA1421.1.TCF7L1	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR7786--MA0769.1.Tcf7	chr6	89421749	89421760	-	0.000	0.000	Merged-chr6-89421751-50
NR8622--MA0523.1.TCF7L2	chr8	13986986	13986999	-	0.000	0.000	Merged-chr8-13987133-66
NR1696--MA1421.1.TCF7L1	chr11	113174338	113174349	-	0.000	0.000	Merged-chr11-113174221-33
NR311--MA1421.1.TCF7L1	chr1	88475655	88475666	+	0.000	0.000	Merged-chr1-88475619-20
NR2862--MA0523.1.TCF7L2	chr14	54061807	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR5880--MA0769.1.Tcf7	chr3	79536028	79536039	-	0.000	0.000	Merged-chr3-79535854-18
NR4062--MA1421.1.TCF7L1	chr17	47171264	47171275	-	0.000	0.000	Merged-chr17-47171280-54
NR7813--MA1421.1.TCF7L1	chr6	94681555	94681566	+	0.000	0.000	Merged-chr6-94681460-83
NR3145--MA0523.1.TCF7L2	chr14	121324888	121324901	-	0.000	0.000	Merged-chr14-121324999-52
NR5290--MA1421.1.TCF7L1	chr2	132691812	132691823	+	0.000	0.000	Merged-chr2-132691913-20
NR7329--MA0523.1.TCF7L2	chr5	98018288	98018301	+	0.000	0.000	Merged-chr5-98018284-53
NR4558--MA0769.1.Tcf7	chr18	79297906	79297917	+	0.000	0.000	Merged-chr18-79298014-36
NR3300--MA0523.1.TCF7L2	chr15	39913587	39913600	-	0.000	0.000	Merged-chr15-39913439-55
NR7398--MA0769.1.Tcf7	chr5	122288603	122288614	+	0.000	0.000	Merged-chr5-122288620-47
NR7354--MA0523.1.TCF7L2	chr5	105010601	105010614	+	0.000	0.000	Merged-chr5-105010527-49
NR4999--MA1421.1.TCF7L1	chr2	59469816	59469827	-	0.000	0.000	Merged-chr2-59469655-1
NR6756--MA0769.1.Tcf7	chr4	116735218	116735229	-	0.000	0.000	Merged-chr4-116735189-24
NR5241--MA0769.1.Tcf7	chr2	117352887	117352898	-	0.000	0.000	Merged-chr2-117352784-31
NR6629--MA0523.1.TCF7L2	chr4	88071099	88071112	-	0.000	0.000	Merged-chr4-88071071-19
NR1889--MA0769.1.Tcf7	chr12	41844234	41844245	+	0.000	0.000	Merged-chr12-41844052-32
NR1428--MA0769.1.Tcf7	chr10	130344194	130344205	-	0.000	0.000	Merged-chr10-130344274-29
NR4371--MA1421.1.TCF7L1	chr18	46181992	46182003	+	0.000	0.000	Merged-chr18-46182052-26
