#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1507--MA0768.1.LEF1	chr6	41113489	41113503	+	0.000	0.000	Merged-chr6-41113305-59
NR969--MA0768.1.LEF1	chr19	55792728	55792742	-	0.000	0.000	Merged-chr19-55792789-50
NR660--MA0768.1.LEF1	chr15	39913586	39913600	-	0.000	0.000	Merged-chr15-39913439-55
NR1409--MA0768.1.LEF1	chr5	64766125	64766139	+	0.000	0.000	Merged-chr5-64765991-19
NR1221--MA0768.1.LEF1	chr3	138275305	138275319	-	0.000	0.000	Merged-chr3-138275247-64
NR1548--MA0768.1.LEF1	chr6	94681555	94681569	+	0.000	0.000	Merged-chr6-94681460-83
NR57--MA0768.1.LEF1	chr1	128794047	128794061	+	0.000	0.000	Merged-chr1-128794102-26
NR1445--MA0768.1.LEF1	chr5	103917177	103917191	+	0.000	0.000	Merged-chr5-103917325-19
NR1011--MA0768.1.LEF1	chr2	38548329	38548343	+	0.000	0.000	Merged-chr2-38548313-22
NR1141--MA0768.1.LEF1	chr3	37174957	37174971	+	0.000	0.000	Merged-chr3-37174845-28
NR1347--MA0768.1.LEF1	chr4	145319594	145319608	+	0.000	0.000	Merged-chr4-145319470-38
NR370--MA0768.1.LEF1	chr12	55357448	55357462	-	0.000	0.000	Merged-chr12-55357452-12
NR218--MA0768.1.LEF1	chr10	117056130	117056144	+	0.000	0.000	Merged-chr10-117056166-30
NR124--MA0768.1.LEF1	chr1	193102946	193102960	-	0.000	0.000	Merged-chr1-193102904-19
NR912--MA0768.1.LEF1	chr18	79297906	79297920	+	0.000	0.000	Merged-chr18-79298014-36
NR160--MA0768.1.LEF1	chr10	58354863	58354877	-	0.000	0.000	Merged-chr10-58354769-20
NR1733--MA0768.1.LEF1	chr7	126179029	126179043	+	0.000	0.000	Merged-chr7-126178972-42
NR1630--MA0768.1.LEF1	chr7	19837024	19837038	-	0.000	0.000	Merged-chr7-19837080-20
NR14--MA0768.1.LEF1	chr1	43207295	43207309	+	0.000	0.000	Merged-chr1-43207362-30
NR32--MA0768.1.LEF1	chr1	78591517	78591531	-	0.000	0.000	Merged-chr1-78591432-38
NR949--MA0768.1.LEF1	chr19	32999047	32999061	+	0.000	0.000	Merged-chr19-32999080-29
NR1407--MA0768.1.LEF1	chr5	64662514	64662528	-	0.000	0.000	Merged-chr5-64662440-49
NR994--MA0768.1.LEF1	chr2	17597779	17597793	+	0.000	0.000	Merged-chr2-17597899-18
NR1649--MA0768.1.LEF1	chr7	49421420	49421434	-	0.000	0.000	Merged-chr7-49421353-29
NR654--MA0768.1.LEF1	chr15	31440134	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR672--MA0768.1.LEF1	chr15	59399299	59399313	-	0.000	0.000	Merged-chr15-59399326-17
NR1000--MA0768.1.LEF1	chr2	26753528	26753542	+	0.000	0.000	Merged-chr2-26753671-30
NR82--MA0768.1.LEF1	chr1	160006267	160006281	-	0.000	0.000	Merged-chr1-160006258-20
NR1260--MA0768.1.LEF1	chr4	31941744	31941758	+	0.000	0.000	Merged-chr4-31941792-10
NR1014--MA0768.1.LEF1	chr2	44528727	44528741	-	0.000	0.000	Merged-chr2-44528768-19
NR1019--MA0768.1.LEF1	chr2	48328421	48328435	-	0.000	0.000	Merged-chr2-48328415-44
NR1395--MA0768.1.LEF1	chr5	45790459	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR248--MA0768.1.LEF1	chr11	6705036	6705050	+	0.000	0.000	Merged-chr11-6705219-50
NR154--MA0768.1.LEF1	chr10	44679958	44679972	-	0.000	0.000	Merged-chr10-44679817-10
NR1055--MA0768.1.LEF1	chr2	93417127	93417141	-	0.000	0.000	Merged-chr2-93416936-19
NR266--MA0768.1.LEF1	chr11	63146799	63146813	-	0.000	0.000	Merged-chr11-63146790-18
NR808--MA0768.1.LEF1	chr17	17792224	17792238	-	0.000	0.000	Merged-chr17-17792149-13
NR1185--MA0768.1.LEF1	chr3	108124306	108124320	-	0.000	0.000	Merged-chr3-108124378-33
NR611--MA0768.1.LEF1	chr14	73609220	73609234	+	0.000	0.000	Merged-chr14-73609040-26
NR298--MA0768.1.LEF1	chr11	97905700	97905714	-	0.000	0.000	Merged-chr11-97905718-19
NR1660--MA0768.1.LEF1	chr7	75384765	75384779	-	0.000	0.000	Merged-chr7-75384885-29
NR26--MA0768.1.LEF1	chr1	64486512	64486526	-	0.000	0.000	Merged-chr1-64486540-36
NR728--MA0768.1.LEF1	chr16	3988599	3988613	-	0.000	0.000	Merged-chr16-3988637-25
NR35--MA0768.1.LEF1	chr1	80416613	80416627	-	0.000	0.000	Merged-chr1-80416536-28
NR58--MA0768.1.LEF1	chr1	128794065	128794079	+	0.000	0.000	Merged-chr1-128794102-26
NR684--MA0768.1.LEF1	chr15	67196442	67196456	+	0.000	0.000	Merged-chr15-67196543-23
NR1003--MA0768.1.LEF1	chr2	29666796	29666810	-	0.000	0.000	Merged-chr2-29666836-9
NR796--MA0768.1.LEF1	chr17	5747999	5748013	-	0.000	0.000	Merged-chr17-5748141-46
NR465--MA0768.1.LEF1	chr13	13582128	13582142	+	0.000	0.000	Merged-chr13-13582107-29
NR1160--MA0768.1.LEF1	chr3	86841752	86841766	-	0.000	0.000	Merged-chr3-86841762-14
NR1384--MA0768.1.LEF1	chr5	22587656	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR1908--MA0768.1.LEF1	chr9	80318137	80318151	-	0.000	0.000	Merged-chr9-80318250-48
NR1138--MA0768.1.LEF1	chr3	10212021	10212035	-	0.000	0.000	Merged-chr3-10212114-17
NR1926--MA0768.1.LEF1	chr9	92217743	92217757	-	0.000	0.000	Merged-chr9-92217904-40
NR909--MA0768.1.LEF1	chr18	75374206	75374220	-	0.000	0.000	Merged-chr18-75374196-25
NR600--MA0768.1.LEF1	chr14	68078399	68078413	-	0.000	0.000	Merged-chr14-68078565-20
NR10--MA0768.1.LEF1	chr1	38723946	38723960	-	0.000	0.000	Merged-chr1-38723833-22
NR712--MA0768.1.LEF1	chr15	94255220	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR1188--MA0768.1.LEF1	chr3	109421018	109421032	+	0.000	0.000	Merged-chr3-109421125-43
NR1099--MA0768.1.LEF1	chr2	150578758	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR507--MA0768.1.LEF1	chr13	84769226	84769240	-	0.000	0.000	Merged-chr13-84769190-19
NR1766--MA0768.1.LEF1	chr8	36028574	36028588	-	0.000	0.000	Merged-chr8-36028490-56
NR1408--MA0768.1.LEF1	chr5	64764617	64764631	+	0.000	0.000	Merged-chr5-64764597-23
NR1435--MA0768.1.LEF1	chr5	96919305	96919319	-	0.000	0.000	Merged-chr5-96919308-24
NR879--MA0768.1.LEF1	chr18	32598283	32598297	+	0.000	0.000	Merged-chr18-32598271-33
NR1686--MA0768.1.LEF1	chr7	99833906	99833920	-	0.000	0.000	Merged-chr7-99833987-52
NR360--MA0768.1.LEF1	chr12	39649176	39649190	-	0.000	0.000	Merged-chr12-39649191-14
NR329--MA0768.1.LEF1	chr11	115589121	115589135	+	0.000	0.000	Merged-chr11-115589146-15
NR235--MA0768.1.LEF1	chr10	128940661	128940675	-	0.000	0.000	Merged-chr10-128940717-41
NR1803--MA0768.1.LEF1	chr8	91507607	91507621	-	0.000	0.000	Merged-chr8-91507766-35
NR1248--MA0768.1.LEF1	chr3	157938813	157938827	+	0.000	0.000	Merged-chr3-157938783-43
NR459--MA0768.1.LEF1	chr13	5806325	5806339	+	0.000	0.000	Merged-chr13-5806398-17
NR1293--MA0768.1.LEF1	chr4	89169075	89169089	-	0.000	0.000	Merged-chr4-89169046-30
NR1065--MA0768.1.LEF1	chr2	117418885	117418899	-	0.000	0.000	Merged-chr2-117418760-26
NR1741--MA0768.1.LEF1	chr7	130816456	130816470	-	0.000	0.000	Merged-chr7-130816442-11
NR1186--MA0768.1.LEF1	chr3	108124338	108124352	+	0.000	0.000	Merged-chr3-108124378-33
NR18--MA0768.1.LEF1	chr1	60158507	60158521	-	0.000	0.000	Merged-chr1-60158664-37
NR890--MA0768.1.LEF1	chr18	49721699	49721713	-	0.000	0.000	Merged-chr18-49721855-41
NR644--MA0768.1.LEF1	chr14	122908308	122908322	-	0.000	0.000	Merged-chr14-122908322-32
NR877--MA0768.1.LEF1	chr18	32543278	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR774--MA0768.1.LEF1	chr16	78573186	78573200	-	0.000	0.000	Merged-chr16-78573118-8
NR1675--MA0768.1.LEF1	chr7	88459891	88459905	-	0.000	0.000	Merged-chr7-88459917-15
NR546--MA0768.1.LEF1	chr13	112133937	112133951	+	0.000	0.000	Merged-chr13-112133906-22
NR1447--MA0768.1.LEF1	chr5	105010601	105010615	+	0.000	0.000	Merged-chr5-105010527-49
NR1371--MA0768.1.LEF1	chr5	8397615	8397629	-	0.000	0.000	Merged-chr5-8397712-7
NR1143--MA0768.1.LEF1	chr3	38280376	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR587--MA0768.1.LEF1	chr14	56576705	56576719	+	0.000	0.000	Merged-chr14-56576676-41
NR372--MA0768.1.LEF1	chr12	59170101	59170115	-	0.000	0.000	Merged-chr12-59170039-43
NR1909--MA0768.1.LEF1	chr9	80754675	80754689	-	0.000	0.000	Merged-chr9-80754738-24
NR1806--MA0768.1.LEF1	chr8	92333606	92333620	-	0.000	0.000	Merged-chr8-92333668-18
NR1045--MA0768.1.LEF1	chr2	84582511	84582525	+	0.000	0.000	Merged-chr2-84582461-28
NR1063--MA0768.1.LEF1	chr2	117352884	117352898	-	0.000	0.000	Merged-chr2-117352784-31
NR713--MA0768.1.LEF1	chr15	94476042	94476056	+	0.000	0.000	Merged-chr15-94476156-15
NR1516--MA0768.1.LEF1	chr6	61125592	61125606	-	0.000	0.000	Merged-chr6-61125660-31
NR1767--MA0768.1.LEF1	chr8	46543318	46543332	-	0.000	0.000	Merged-chr8-46543326-23
NR1570--MA0768.1.LEF1	chr6	108482613	108482627	+	0.000	0.000	Merged-chr6-108482601-32
NR790--MA0768.1.LEF1	chr16	94454259	94454273	-	0.000	0.000	Merged-chr16-94454291-19
NR1897--MA0768.1.LEF1	chr9	72660362	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR1682--MA0768.1.LEF1	chr7	97042365	97042379	-	0.000	0.000	Merged-chr7-97042218-26
NR1360--MA0768.1.LEF1	chr4	148683798	148683812	-	0.000	0.000	Merged-chr4-148683681-71
NR1020--MA0768.1.LEF1	chr2	48379935	48379949	-	0.000	0.000	Merged-chr2-48379752-8
NR558--MA0768.1.LEF1	chr13	119681295	119681309	-	0.000	0.000	Merged-chr13-119681376-28
NR576--MA0768.1.LEF1	chr14	48427776	48427790	-	0.000	0.000	Merged-chr14-48427656-16
NR903--MA0768.1.LEF1	chr18	68190169	68190183	+	0.000	0.000	Merged-chr18-68190088-51
NR1070--MA0768.1.LEF1	chr2	120502274	120502288	+	0.000	0.000	Merged-chr2-120502347-30
NR1182--MA0768.1.LEF1	chr3	104796771	104796785	-	0.000	0.000	Merged-chr3-104796663-34
NR1294--MA0768.1.LEF1	chr4	89359667	89359681	-	0.000	0.000	Merged-chr4-89359690-21
NR147--MA0768.1.LEF1	chr10	30570577	30570591	+	0.000	0.000	Merged-chr10-30570499-22
NR1966--MA0768.1.LEF1	chrX	57185001	57185015	+	0.000	0.000	Merged-chrX-57185087-24
NR1608--MA0768.1.LEF1	chr6	144333302	144333316	+	0.000	0.000	Merged-chr6-144333219-22
NR1626--MA0768.1.LEF1	chr7	16196946	16196960	+	0.000	0.000	Merged-chr7-16196917-6
NR873--MA0768.1.LEF1	chr18	19524572	19524586	-	0.000	0.000	Merged-chr18-19524471-22
NR878--MA0768.1.LEF1	chr18	32543342	32543356	-	0.000	0.000	Merged-chr18-32543284-47
NR1676--MA0768.1.LEF1	chr7	89712886	89712900	+	0.000	0.000	Merged-chr7-89712844-48
NR78--MA0768.1.LEF1	chr1	156710948	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR319--MA0768.1.LEF1	chr11	111056295	111056309	+	0.000	0.000	Merged-chr11-111056370-11
NR1484--MA0768.1.LEF1	chr5	148709220	148709234	+	0.000	0.000	Merged-chr5-148709171-35
NR1153--MA0768.1.LEF1	chr3	65793913	65793927	-	0.000	0.000	Merged-chr3-65793747-53
NR1386--MA0768.1.LEF1	chr5	28382467	28382481	-	0.000	0.000	Merged-chr5-28382451-39
NR239--MA0768.1.LEF1	chr10	130340349	130340363	-	0.000	0.000	Merged-chr10-130340277-13
NR1292--MA0768.1.LEF1	chr4	88079058	88079072	-	0.000	0.000	Merged-chr4-88079193-33
NR1046--MA0768.1.LEF1	chr2	84582503	84582517	-	0.000	0.000	Merged-chr2-84582461-28
NR1731--MA0768.1.LEF1	chr7	125186632	125186646	+	0.000	0.000	Merged-chr7-125186656-23
NR1955--MA0768.1.LEF1	chr9	122398993	122399007	+	0.000	0.000	Merged-chr9-122399009-31
NR1078--MA0768.1.LEF1	chr2	129285383	129285397	-	0.000	0.000	Merged-chr2-129285453-11
NR195--MA0768.1.LEF1	chr10	93188680	93188694	-	0.000	0.000	Merged-chr10-93188465-33
NR862--MA0768.1.LEF1	chr17	88480579	88480593	-	0.000	0.000	Merged-chr17-88480530-23
NR719--MA0768.1.LEF1	chr15	99065757	99065771	-	0.000	0.000	Merged-chr15-99065640-20
NR867--MA0768.1.LEF1	chr18	4031355	4031369	-	0.000	0.000	Merged-chr18-4031192-41
NR1665--MA0768.1.LEF1	chr7	79300946	79300960	+	0.000	0.000	Merged-chr7-79300921-71
NR670--MA0768.1.LEF1	chr15	58145493	58145507	-	0.000	0.000	Merged-chr15-58145479-45
NR1683--MA0768.1.LEF1	chr7	98797475	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR308--MA0768.1.LEF1	chr11	105445155	105445169	-	0.000	0.000	Merged-chr11-105445069-18
NR85--MA0768.1.LEF1	chr1	161436693	161436707	-	0.000	0.000	Merged-chr1-161436721-21
NR1473--MA0768.1.LEF1	chr5	140502564	140502578	-	0.000	0.000	Merged-chr5-140502630-23
NR1227--MA0768.1.LEF1	chr3	142533251	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR577--MA0768.1.LEF1	chr14	49089835	49089849	-	0.000	0.000	Merged-chr14-49089916-20
NR362--MA0768.1.LEF1	chr12	40536138	40536152	+	0.000	0.000	Merged-chr12-40536190-67
NR349--MA0768.1.LEF1	chr12	26059327	26059341	-	0.000	0.000	Merged-chr12-26059295-22
NR246--MA0768.1.LEF1	chr11	5411817	5411831	-	0.000	0.000	Merged-chr11-5411816-25
NR148--MA0768.1.LEF1	chr10	34117965	34117979	-	0.000	0.000	Merged-chr10-34117997-36
NR1770--MA0768.1.LEF1	chr8	56443929	56443943	-	0.000	0.000	Merged-chr8-56443904-53
