#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1931--MA0523.1.TCF7L2	chr14	18426088	18426101	+	0.000	0.000	Merged-chr14-18426065-14
NR2242--MA1421.1.TCF7L1	chr15	5929701	5929712	-	0.000	0.000	Merged-chr15-5929612-10
NR3893--MA0523.1.TCF7L2	chr3	22040806	22040819	+	0.000	0.000	Merged-chr3-22040885-32
NR35--MA0523.1.TCF7L2	chr1	38723947	38723960	-	0.000	0.000	Merged-chr1-38723833-22
NR1869--MA1421.1.TCF7L1	chr13	112970440	112970451	+	0.000	0.000	Merged-chr13-112970510-24
NR5686--MA0769.1.Tcf7	chr7	112860104	112860115	-	0.000	0.000	Merged-chr7-112860209-23
NR1119--MA0523.1.TCF7L2	chr11	105445156	105445169	-	0.000	0.000	Merged-chr11-105445069-18
NR425--MA0523.1.TCF7L2	chr1	183180468	183180481	+	0.000	0.000	Merged-chr1-183180587-56
NR6221--MA0523.1.TCF7L2	chr9	55410581	55410594	-	0.000	0.000	Merged-chr9-55410514-19
NR1759--MA0523.1.TCF7L2	chr13	95449965	95449978	+	0.000	0.000	Merged-chr13-95449730-51
NR3455--MA0523.1.TCF7L2	chr2	44528728	44528741	-	0.000	0.000	Merged-chr2-44528768-19
NR5219--MA1421.1.TCF7L1	chr6	94534990	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR3520--MA0769.1.Tcf7	chr2	70933333	70933344	+	0.000	0.000	Merged-chr2-70933304-29
NR846--MA0523.1.TCF7L2	chr10	128940662	128940675	-	0.000	0.000	Merged-chr10-128940717-41
NR2878--MA1421.1.TCF7L1	chr17	51879847	51879858	-	0.000	0.000	Merged-chr17-51879858-102
NR2663--MA0769.1.Tcf7	chr16	78573189	78573200	-	0.000	0.000	Merged-chr16-78573118-8
NR1591--MA0769.1.Tcf7	chr13	13582128	13582139	+	0.000	0.000	Merged-chr13-13582107-29
NR217--MA1421.1.TCF7L1	chr1	128794065	128794076	+	0.000	0.000	Merged-chr1-128794102-26
NR5968--MA0523.1.TCF7L2	chr8	92333607	92333620	-	0.000	0.000	Merged-chr8-92333668-18
NR350--MA0769.1.Tcf7	chr1	164136961	164136972	+	0.000	0.000	Merged-chr1-164136892-1
NR5596--MA1421.1.TCF7L1	chr7	89712886	89712897	+	0.000	0.000	Merged-chr7-89712844-48
NR3055--MA0523.1.TCF7L2	chr18	56413150	56413163	+	0.000	0.000	Merged-chr18-56413005-50
NR4185--MA0769.1.Tcf7	chr3	142533254	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR1589--MA1421.1.TCF7L1	chr13	13582128	13582139	+	0.000	0.000	Merged-chr13-13582107-29
NR2453--MA0769.1.Tcf7	chr15	94476042	94476053	+	0.000	0.000	Merged-chr15-94476156-15
NR122--MA0769.1.Tcf7	chr1	78591520	78591531	-	0.000	0.000	Merged-chr1-78591432-38
NR6410--MA0523.1.TCF7L2	chr9	107334462	107334475	-	0.000	0.000	Merged-chr9-107334469-86
NR3887--MA1421.1.TCF7L1	chr3	9151705	9151716	-	0.000	0.000	Merged-chr3-9151770-9
NR5568--MA0523.1.TCF7L2	chr7	79300946	79300959	+	0.000	0.000	Merged-chr7-79300921-71
NR4389--MA1421.1.TCF7L1	chr4	89359670	89359681	-	0.000	0.000	Merged-chr4-89359690-21
NR4064--MA0523.1.TCF7L2	chr3	109421018	109421031	+	0.000	0.000	Merged-chr3-109421125-43
NR1729--MA0523.1.TCF7L2	chr13	84769227	84769240	-	0.000	0.000	Merged-chr13-84769190-19
NR2243--MA0769.1.Tcf7	chr15	5929701	5929712	-	0.000	0.000	Merged-chr15-5929612-10
NR1498--MA0769.1.Tcf7	chr12	112855156	112855167	-	0.000	0.000	Merged-chr12-112855098-63
NR1283--MA0769.1.Tcf7	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR3539--MA0769.1.Tcf7	chr2	78860080	78860091	+	0.000	0.000	Merged-chr2-78860154-39
NR4875--MA0769.1.Tcf7	chr5	105198108	105198119	+	0.000	0.000	Merged-chr5-105198197-37
NR54--MA1421.1.TCF7L1	chr1	43207295	43207306	+	0.000	0.000	Merged-chr1-43207362-30
NR4712--MA1421.1.TCF7L1	chr5	45790462	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR4893--MA0769.1.Tcf7	chr5	107840714	107840725	+	0.000	0.000	Merged-chr5-107840807-27
NR154--MA0769.1.Tcf7	chr1	87637227	87637238	-	0.000	0.000	Merged-chr1-87637275-111
NR1176--MA1421.1.TCF7L1	chr11	115589121	115589132	+	0.000	0.000	Merged-chr11-115589146-15
NR2995--MA0523.1.TCF7L2	chr18	14667173	14667186	-	0.000	0.000	Merged-chr18-14667256-44
NR6358--MA0523.1.TCF7L2	chr9	92217744	92217757	-	0.000	0.000	Merged-chr9-92217904-40
NR3583--MA0523.1.TCF7L2	chr2	93417128	93417141	-	0.000	0.000	Merged-chr2-93416936-19
NR4868--MA0523.1.TCF7L2	chr5	103917177	103917190	+	0.000	0.000	Merged-chr5-103917325-19
NR3132--MA0769.1.Tcf7	chr18	79297906	79297917	+	0.000	0.000	Merged-chr18-79298014-36
NR212--MA1421.1.TCF7L1	chr1	127796578	127796589	-	0.000	0.000	Merged-chr1-127796546-56
NR5553--MA1421.1.TCF7L1	chr7	75384768	75384779	-	0.000	0.000	Merged-chr7-75384885-29
NR3012--MA0523.1.TCF7L2	chr18	32598283	32598296	+	0.000	0.000	Merged-chr18-32598271-33
NR4034--MA0523.1.TCF7L2	chr3	104796772	104796785	-	0.000	0.000	Merged-chr3-104796663-34
NR4240--MA0523.1.TCF7L2	chr3	152149625	152149638	+	0.000	0.000	Merged-chr3-152149620-22
NR2978--MA0523.1.TCF7L2	chr18	4031356	4031369	-	0.000	0.000	Merged-chr18-4031192-41
NR5769--MA0769.1.Tcf7	chr7	126179029	126179040	+	0.000	0.000	Merged-chr7-126178972-42
NR574--MA0523.1.TCF7L2	chr10	58354864	58354877	-	0.000	0.000	Merged-chr10-58354769-20
NR3008--MA0523.1.TCF7L2	chr18	32543279	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR3039--MA0769.1.Tcf7	chr18	49721702	49721713	-	0.000	0.000	Merged-chr18-49721855-41
NR3385--MA0523.1.TCF7L2	chr2	17597779	17597792	+	0.000	0.000	Merged-chr2-17597899-18
NR1571--MA0769.1.Tcf7	chr13	5806400	5806411	+	0.000	0.000	Merged-chr13-5806398-17
NR3827--MA0769.1.Tcf7	chr2	172977460	172977471	-	0.000	0.000	Merged-chr2-172977593-131
NR4891--MA1421.1.TCF7L1	chr5	107840714	107840725	+	0.000	0.000	Merged-chr5-107840807-27
NR2350--MA0523.1.TCF7L2	chr15	67196442	67196455	+	0.000	0.000	Merged-chr15-67196543-23
NR5250--MA0769.1.Tcf7	chr6	100581189	100581200	-	0.000	0.000	Merged-chr6-100581320-61
NR776--MA0523.1.TCF7L2	chr10	117056130	117056143	+	0.000	0.000	Merged-chr10-117056166-30
NR3263--MA1421.1.TCF7L1	chr19	36478299	36478310	+	0.000	0.000	Merged-chr19-36478148-8
NR4619--MA0523.1.TCF7L2	chr4	150517642	150517655	-	0.000	0.000	Merged-chr4-150517532-35
NR4922--MA1421.1.TCF7L1	chr5	122288603	122288614	+	0.000	0.000	Merged-chr5-122288620-47
NR557--MA0523.1.TCF7L2	chr10	44678981	44678994	+	0.000	0.000	Merged-chr10-44678956-9
NR5349--MA0769.1.Tcf7	chr6	134549900	134549911	-	0.000	0.000	Merged-chr6-134550072-18
NR1457--MA0523.1.TCF7L2	chr12	107051487	107051500	-	0.000	0.000	Merged-chr12-107051429-24
NR1495--MA0523.1.TCF7L2	chr12	112855081	112855094	-	0.000	0.000	Merged-chr12-112855098-63
NR6158--MA1421.1.TCF7L1	chr9	35498053	35498064	+	0.000	0.000	Merged-chr9-35498014-17
NR869--MA1421.1.TCF7L1	chr11	5411820	5411831	-	0.000	0.000	Merged-chr11-5411816-25
NR4049--MA0769.1.Tcf7	chr3	108124309	108124320	-	0.000	0.000	Merged-chr3-108124378-33
NR5170--MA0769.1.Tcf7	chr6	71638554	71638565	-	0.000	0.000	Merged-chr6-71638648-13
NR4682--MA0523.1.TCF7L2	chr5	28382468	28382481	-	0.000	0.000	Merged-chr5-28382451-39
NR3644--MA0769.1.Tcf7	chr2	120502274	120502285	+	0.000	0.000	Merged-chr2-120502347-30
NR216--MA1421.1.TCF7L1	chr1	128794047	128794058	+	0.000	0.000	Merged-chr1-128794102-26
NR4622--MA0769.1.Tcf7	chr4	150583761	150583772	-	0.000	0.000	Merged-chr4-150583897-35
NR1482--MA0523.1.TCF7L2	chr12	110759069	110759082	-	0.000	0.000	Merged-chr12-110759192-38
NR3618--MA0523.1.TCF7L2	chr2	115610663	115610676	+	0.000	0.000	Merged-chr2-115610633-33
NR2232--MA0769.1.Tcf7	chr14	122908311	122908322	-	0.000	0.000	Merged-chr14-122908322-32
NR4487--MA1421.1.TCF7L1	chr4	129565410	129565421	+	0.000	0.000	Merged-chr4-129565342-28
NR4303--MA1421.1.TCF7L1	chr4	41241025	41241036	+	0.000	0.000	Merged-chr4-41241074-39
NR3523--MA0523.1.TCF7L2	chr2	72282256	72282269	-	0.000	0.000	Merged-chr2-72282447-88
NR1909--MA0523.1.TCF7L2	chr13	119681296	119681309	-	0.000	0.000	Merged-chr13-119681376-28
NR4506--MA0769.1.Tcf7	chr4	131901421	131901432	-	0.000	0.000	Merged-chr4-131901332-16
NR3561--MA0523.1.TCF7L2	chr2	84582504	84582517	-	0.000	0.000	Merged-chr2-84582461-28
NR2344--MA1421.1.TCF7L1	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR6359--MA0769.1.Tcf7	chr9	92217746	92217757	-	0.000	0.000	Merged-chr9-92217904-40
NR3835--MA1421.1.TCF7L1	chr2	173452363	173452374	+	0.000	0.000	Merged-chr2-173452276-60
NR3667--MA1421.1.TCF7L1	chr2	129285386	129285397	-	0.000	0.000	Merged-chr2-129285453-11
NR3944--MA0523.1.TCF7L2	chr3	68967124	68967137	-	0.000	0.000	Merged-chr3-68967303-47
NR4231--MA0523.1.TCF7L2	chr3	148762785	148762798	+	0.000	0.000	Merged-chr3-148762804-58
NR2331--MA1421.1.TCF7L1	chr15	62374854	62374865	+	0.000	0.000	Merged-chr15-62374783-6
NR5511--MA0769.1.Tcf7	chr7	49421423	49421434	-	0.000	0.000	Merged-chr7-49421353-29
NR4869--MA0769.1.Tcf7	chr5	103917177	103917188	+	0.000	0.000	Merged-chr5-103917325-19
NR2316--MA0523.1.TCF7L2	chr15	59399300	59399313	-	0.000	0.000	Merged-chr15-59399326-17
NR4293--MA1421.1.TCF7L1	chr4	31941744	31941755	+	0.000	0.000	Merged-chr4-31941792-10
NR5784--MA1421.1.TCF7L1	chr7	130816459	130816470	-	0.000	0.000	Merged-chr7-130816442-11
NR4676--MA1421.1.TCF7L1	chr5	22587659	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR3119--MA0523.1.TCF7L2	chr18	75374207	75374220	-	0.000	0.000	Merged-chr18-75374196-25
NR1085--MA0769.1.Tcf7	chr11	97905703	97905714	-	0.000	0.000	Merged-chr11-97905718-19
NR5880--MA0523.1.TCF7L2	chr8	56443930	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR3914--MA0769.1.Tcf7	chr3	52791238	52791249	-	0.000	0.000	Merged-chr3-52791161-46
NR211--MA1421.1.TCF7L1	chr1	127733077	127733088	+	0.000	0.000	Merged-chr1-127732945-24
NR4648--MA0523.1.TCF7L2	chr5	8397616	8397629	-	0.000	0.000	Merged-chr5-8397712-7
NR2461--MA0523.1.TCF7L2	chr15	97780960	97780973	-	0.000	0.000	Merged-chr15-97780994-12
NR4385--MA0523.1.TCF7L2	chr4	88693670	88693683	-	0.000	0.000	Merged-chr4-88693660-22
NR856--MA0769.1.Tcf7	chr10	130340352	130340363	-	0.000	0.000	Merged-chr10-130340277-13
NR4225--MA1421.1.TCF7L1	chr3	146765222	146765233	-	0.000	0.000	Merged-chr3-146765113-32
NR5221--MA0769.1.Tcf7	chr6	94534990	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR4827--MA1421.1.TCF7L1	chr5	96919308	96919319	-	0.000	0.000	Merged-chr5-96919308-24
NR2074--MA0523.1.TCF7L2	chr14	68078400	68078413	-	0.000	0.000	Merged-chr14-68078565-20
NR3131--MA0523.1.TCF7L2	chr18	79297906	79297919	+	0.000	0.000	Merged-chr18-79298014-36
NR5223--MA0523.1.TCF7L2	chr6	94681555	94681568	+	0.000	0.000	Merged-chr6-94681460-83
NR2280--MA0523.1.TCF7L2	chr15	39913587	39913600	-	0.000	0.000	Merged-chr15-39913439-55
NR1314--MA0769.1.Tcf7	chr12	59170104	59170115	-	0.000	0.000	Merged-chr12-59170039-43
NR809--MA1421.1.TCF7L1	chr10	120556296	120556307	+	0.000	0.000	Merged-chr10-120556279-62
NR316--MA0523.1.TCF7L2	chr1	156710949	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR2722--MA1421.1.TCF7L1	chr16	95999482	95999493	+	0.000	0.000	Merged-chr16-95999409-48
NR4924--MA0769.1.Tcf7	chr5	122288603	122288614	+	0.000	0.000	Merged-chr5-122288620-47
NR56--MA0769.1.Tcf7	chr1	43207295	43207306	+	0.000	0.000	Merged-chr1-43207362-30
NR2105--MA0523.1.TCF7L2	chr14	73609220	73609233	+	0.000	0.000	Merged-chr14-73609040-26
NR1484--MA1421.1.TCF7L1	chr12	110939502	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR4837--MA0523.1.TCF7L2	chr5	98018288	98018301	+	0.000	0.000	Merged-chr5-98018284-53
NR2769--MA1421.1.TCF7L1	chr17	17792227	17792238	-	0.000	0.000	Merged-chr17-17792149-13
NR5141--MA0769.1.Tcf7	chr6	60940553	60940564	-	0.000	0.000	Merged-chr6-60940563-22
NR1097--MA1421.1.TCF7L1	chr11	99204072	99204083	+	0.000	0.000	Merged-chr11-99204111-44
NR5449--MA1421.1.TCF7L1	chr7	16196946	16196957	+	0.000	0.000	Merged-chr7-16196917-6
NR2879--MA0769.1.Tcf7	chr17	51879847	51879858	-	0.000	0.000	Merged-chr17-51879858-102
NR6279--MA0523.1.TCF7L2	chr9	77430918	77430931	-	0.000	0.000	Merged-chr9-77430950-36
NR461--MA0523.1.TCF7L2	chr1	193102947	193102960	-	0.000	0.000	Merged-chr1-193102904-19
NR5450--MA0523.1.TCF7L2	chr7	16196946	16196959	+	0.000	0.000	Merged-chr7-16196917-6
NR3311--MA0769.1.Tcf7	chr19	55792731	55792742	-	0.000	0.000	Merged-chr19-55792789-50
NR6266--MA0523.1.TCF7L2	chr9	72660352	72660365	-	0.000	0.000	Merged-chr9-72660303-37
NR2472--MA0769.1.Tcf7	chr15	99065760	99065771	-	0.000	0.000	Merged-chr15-99065640-20
NR2259--MA0523.1.TCF7L2	chr15	31440135	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR1042--MA0769.1.Tcf7	chr11	86109348	86109359	+	0.000	0.000	Merged-chr11-86109457-6
NR3562--MA0769.1.Tcf7	chr2	84582511	84582522	+	0.000	0.000	Merged-chr2-84582461-28
NR120--MA1421.1.TCF7L1	chr1	78591520	78591531	-	0.000	0.000	Merged-chr1-78591432-38
NR4746--MA0769.1.Tcf7	chr5	64764617	64764628	+	0.000	0.000	Merged-chr5-64764597-23
NR6281--MA0769.1.Tcf7	chr9	77431039	77431050	+	0.000	0.000	Merged-chr9-77430950-36
NR129--MA1421.1.TCF7L1	chr1	80416616	80416627	-	0.000	0.000	Merged-chr1-80416536-28
NR6483--MA1421.1.TCF7L1	chr9	122398993	122399004	+	0.000	0.000	Merged-chr9-122399009-31
NR4993--MA1421.1.TCF7L1	chr5	146974240	146974251	-	0.000	0.000	Merged-chr5-146974233-28
NR2452--MA0523.1.TCF7L2	chr15	94476042	94476055	+	0.000	0.000	Merged-chr15-94476156-15
NR6268--MA0769.1.Tcf7	chr9	72660365	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR6308--MA1421.1.TCF7L1	chr9	80754678	80754689	-	0.000	0.000	Merged-chr9-80754738-24
NR975--MA1421.1.TCF7L1	chr11	63146802	63146813	-	0.000	0.000	Merged-chr11-63146790-18
NR2034--MA0769.1.Tcf7	chr14	56576705	56576716	+	0.000	0.000	Merged-chr14-56576676-41
NR5617--MA0769.1.Tcf7	chr7	97042368	97042379	-	0.000	0.000	Merged-chr7-97042218-26
NR1168--MA0769.1.Tcf7	chr11	113174338	113174349	-	0.000	0.000	Merged-chr11-113174221-33
NR5881--MA0769.1.Tcf7	chr8	56443917	56443928	-	0.000	0.000	Merged-chr8-56443904-53
NR285--MA0769.1.Tcf7	chr1	151973287	151973298	-	0.000	0.000	Merged-chr1-151973357-25
NR3748--MA1421.1.TCF7L1	chr2	150578761	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR3903--MA0769.1.Tcf7	chr3	37174957	37174968	+	0.000	0.000	Merged-chr3-37174845-28
NR4312--MA0523.1.TCF7L2	chr4	44316554	44316567	+	0.000	0.000	Merged-chr4-44316514-33
NR5868--MA0769.1.Tcf7	chr8	36028577	36028588	-	0.000	0.000	Merged-chr8-36028490-56
NR3036--MA0523.1.TCF7L2	chr18	46381184	46381197	+	0.000	0.000	Merged-chr18-46381195-31
NR5201--MA0769.1.Tcf7	chr6	88782959	88782970	-	0.000	0.000	Merged-chr6-88783083-54
NR5591--MA0523.1.TCF7L2	chr7	88459892	88459905	-	0.000	0.000	Merged-chr7-88459917-15
NR3242--MA0523.1.TCF7L2	chr19	29418100	29418113	+	0.000	0.000	Merged-chr19-29418073-8
NR2715--MA0769.1.Tcf7	chr16	94454262	94454273	-	0.000	0.000	Merged-chr16-94454291-19
NR5768--MA0523.1.TCF7L2	chr7	126179029	126179042	+	0.000	0.000	Merged-chr7-126178972-42
NR99--MA1421.1.TCF7L1	chr1	66552809	66552820	-	0.000	0.000	Merged-chr1-66552771-47
NR2497--MA1421.1.TCF7L1	chr16	4583907	4583918	-	0.000	0.000	Merged-chr16-4584045-35
NR5622--MA0523.1.TCF7L2	chr7	98797476	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR2733--MA0769.1.Tcf7	chr16	97402541	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR5555--MA0769.1.Tcf7	chr7	75384768	75384779	-	0.000	0.000	Merged-chr7-75384885-29
NR3760--MA1421.1.TCF7L1	chr2	153211698	153211709	+	0.000	0.000	Merged-chr2-153211681-14
NR5461--MA0769.1.Tcf7	chr7	19837027	19837038	-	0.000	0.000	Merged-chr7-19837080-20
NR4384--MA0523.1.TCF7L2	chr4	88693551	88693564	+	0.000	0.000	Merged-chr4-88693660-22
NR3010--MA0523.1.TCF7L2	chr18	32543343	32543356	-	0.000	0.000	Merged-chr18-32543284-47
NR6476--MA0523.1.TCF7L2	chr9	120476480	120476493	+	0.000	0.000	Merged-chr9-120476447-20
NR3937--MA1421.1.TCF7L1	chr3	61368939	61368950	-	0.000	0.000	Merged-chr3-61368860-22
NR2411--MA0769.1.Tcf7	chr15	84168879	84168890	-	0.000	0.000	Merged-chr15-84168860-11
NR1281--MA1421.1.TCF7L1	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR3116--MA1421.1.TCF7L1	chr18	75374134	75374145	+	0.000	0.000	Merged-chr18-75374196-25
NR5900--MA0769.1.Tcf7	chr8	68112389	68112400	-	0.000	0.000	Merged-chr8-68112424-37
NR558--MA1421.1.TCF7L1	chr10	44679961	44679972	-	0.000	0.000	Merged-chr10-44679817-10
NR5742--MA0523.1.TCF7L2	chr7	120921346	120921359	-	0.000	0.000	Merged-chr7-120921372-21
NR4357--MA1421.1.TCF7L1	chr4	71291707	71291718	-	0.000	0.000	Merged-chr4-71291736-94
NR1992--MA0523.1.TCF7L2	chr14	49089836	49089849	-	0.000	0.000	Merged-chr14-49089916-20
NR6529--MA0769.1.Tcf7	chrX	57185001	57185012	+	0.000	0.000	Merged-chrX-57185087-24
NR3837--MA0769.1.Tcf7	chr2	173452363	173452374	+	0.000	0.000	Merged-chr2-173452276-60
NR3076--MA0769.1.Tcf7	chr18	60630814	60630825	+	0.000	0.000	Merged-chr18-60630804-17
NR5393--MA0523.1.TCF7L2	chr6	144333302	144333315	+	0.000	0.000	Merged-chr6-144333219-22
NR2662--MA0523.1.TCF7L2	chr16	78573187	78573200	-	0.000	0.000	Merged-chr16-78573118-8
NR340--MA0769.1.Tcf7	chr1	161436696	161436707	-	0.000	0.000	Merged-chr1-161436721-21
NR3761--MA0769.1.Tcf7	chr2	153211698	153211709	+	0.000	0.000	Merged-chr2-153211681-14
NR326--MA1421.1.TCF7L1	chr1	160006095	160006106	+	0.000	0.000	Merged-chr1-160006258-20
NR1167--MA0523.1.TCF7L2	chr11	113174336	113174349	-	0.000	0.000	Merged-chr11-113174221-33
NR6408--MA0523.1.TCF7L2	chr9	106234099	106234112	+	0.000	0.000	Merged-chr9-106234085-16
NR4829--MA0769.1.Tcf7	chr5	96919308	96919319	-	0.000	0.000	Merged-chr5-96919308-24
NR4735--MA0769.1.Tcf7	chr5	63943505	63943516	+	0.000	0.000	Merged-chr5-63943362-36
NR3663--MA0769.1.Tcf7	chr2	128372514	128372525	+	0.000	0.000	Merged-chr2-128372488-21
NR2395--MA0523.1.TCF7L2	chr15	80602678	80602691	-	0.000	0.000	Merged-chr15-80602759-36
NR6280--MA1421.1.TCF7L1	chr9	77431039	77431050	+	0.000	0.000	Merged-chr9-77430950-36
NR6485--MA0769.1.Tcf7	chr9	122398993	122399004	+	0.000	0.000	Merged-chr9-122399009-31
NR2345--MA0769.1.Tcf7	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR5759--MA0523.1.TCF7L2	chr7	125186632	125186645	+	0.000	0.000	Merged-chr7-125186656-23
NR2229--MA0769.1.Tcf7	chr14	122902343	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR3448--MA0523.1.TCF7L2	chr2	38548329	38548342	+	0.000	0.000	Merged-chr2-38548313-22
NR1278--MA0769.1.Tcf7	chr12	40536138	40536149	+	0.000	0.000	Merged-chr12-40536190-67
NR5144--MA0523.1.TCF7L2	chr6	61125593	61125606	-	0.000	0.000	Merged-chr6-61125660-31
NR4461--MA0523.1.TCF7L2	chr4	121002521	121002534	-	0.000	0.000	Merged-chr4-121002570-50
NR4505--MA0523.1.TCF7L2	chr4	131901419	131901432	-	0.000	0.000	Merged-chr4-131901332-16
NR2247--MA0769.1.Tcf7	chr15	10715903	10715914	+	0.000	0.000	Merged-chr15-10716063-12
NR3449--MA0769.1.Tcf7	chr2	38548329	38548340	+	0.000	0.000	Merged-chr2-38548313-22
NR5969--MA0769.1.Tcf7	chr8	92333609	92333620	-	0.000	0.000	Merged-chr8-92333668-18
NR5565--MA0523.1.TCF7L2	chr7	78693226	78693239	-	0.000	0.000	Merged-chr7-78693122-18
NR4230--MA0769.1.Tcf7	chr3	148465567	148465578	+	0.000	0.000	Merged-chr3-148465597-36
NR3313--MA1421.1.TCF7L1	chr19	56507526	56507537	+	0.000	0.000	Merged-chr19-56507590-28
NR1823--MA1421.1.TCF7L1	chr13	107867139	107867150	+	0.000	0.000	Merged-chr13-107866970-30
NR6195--MA0769.1.Tcf7	chr9	48447960	48447971	+	0.000	0.000	Merged-chr9-48448010-22
NR6403--MA0523.1.TCF7L2	chr9	105100831	105100844	+	0.000	0.000	Merged-chr9-105100985-49
