#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR14765--MA0599.1.KLF5	chr12	82187388	82187397	+	0.000	0.000	Merged-chr12-82187311-20
NR39026--MA0599.1.KLF5	chr2	153278559	153278568	+	0.000	0.000	Merged-chr2-153278581-35
NR14758--MA0740.1.KLF14	chr12	82166461	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR3232--MA1107.1.KLF9	chr1	155215382	155215394	-	0.000	0.000	Merged-chr1-155215542-10
NR1182--MA1107.1.KLF9	chr1	73940867	73940879	+	0.000	0.000	Merged-chr1-73940938-50
NR41577--MA0493.1.Klf1	chr3	84770750	84770760	-	0.000	0.000	Merged-chr3-84770670-24
NR16918--MA0599.1.KLF5	chr13	51685365	51685374	-	0.000	0.000	Merged-chr13-51685389-6
NR46453--MA0740.1.KLF14	chr4	101419686	101419699	-	0.000	0.000	Merged-chr4-101419713-70
NR8329--MA0599.1.KLF5	chr10	117118630	117118639	-	0.000	0.000	Merged-chr10-117118585-40
NR62722--MA0039.3.KLF4	chr7	126230480	126230490	-	0.000	0.000	Merged-chr7-126230639-34
NR36769--MA0740.1.KLF14	chr2	75965079	75965092	+	0.000	0.000	Merged-chr2-75964949-43
NR66203--MA0741.1.KLF16	chr8	95349076	95349086	-	0.000	0.000	Merged-chr8-95348986-27
NR52365--MA0741.1.KLF16	chr5	118661947	118661957	+	0.000	0.000	Merged-chr5-118661904-17
NR45264--MA0741.1.KLF16	chr4	45766158	45766168	-	0.000	0.000	Merged-chr4-45766216-17
NR13893--MA0039.3.KLF4	chr12	32999956	32999966	-	0.000	0.000	Merged-chr12-32999849-21
NR8328--MA1107.1.KLF9	chr10	117118448	117118460	-	0.000	0.000	Merged-chr10-117118585-40
NR66782--MA1107.1.KLF9	chr8	115137016	115137028	-	0.000	0.000	Merged-chr8-115136921-34
NR16069--MA0741.1.KLF16	chr12	119238859	119238869	-	0.000	0.000	Merged-chr12-119238922-2
NR64711--MA0599.1.KLF5	chr8	40634797	40634806	-	0.000	0.000	Merged-chr8-40634821-50
NR44864--MA1107.1.KLF9	chr4	33390941	33390953	+	0.000	0.000	Merged-chr4-33390737-19
NR6467--MA0741.1.KLF16	chr10	68445693	68445703	-	0.000	0.000	Merged-chr10-68445900-93
NR46458--MA0493.1.Klf1	chr4	101419676	101419686	-	0.000	0.000	Merged-chr4-101419713-70
NR62185--MA0039.3.KLF4	chr7	114088140	114088150	+	0.000	0.000	Merged-chr7-114088152-53
NR2259--MA1107.1.KLF9	chr1	127380937	127380949	-	0.000	0.000	Merged-chr1-127381080-26
NR65629--MA0740.1.KLF14	chr8	77376621	77376634	+	0.000	0.000	Merged-chr8-77376569-21
NR22425--MA0741.1.KLF16	chr15	25269715	25269725	-	0.000	0.000	Merged-chr15-25269773-79
NR30498--MA0599.1.KLF5	chr17	84336153	84336162	-	0.000	0.000	Merged-chr17-84336226-16
NR24--MA0599.1.KLF5	chr1	6454098	6454107	+	0.000	0.000	Merged-chr1-6454252-50
NR2597--MA0741.1.KLF16	chr1	135019083	135019093	+	0.000	0.000	Merged-chr1-135019182-17
NR2277--MA1107.1.KLF9	chr1	127796453	127796465	-	0.000	0.000	Merged-chr1-127796546-56
NR39192--MA0599.1.KLF5	chr2	158160216	158160225	+	0.000	0.000	Merged-chr2-158160127-37
NR17850--MA0742.1.Klf12	chr13	89521652	89521666	+	0.000	0.000	Merged-chr13-89521757-30
NR20696--MA0599.1.KLF5	chr14	63943535	63943544	+	0.000	0.000	Merged-chr14-63943640-23
NR26146--MA0741.1.KLF16	chr16	45347019	45347029	-	0.000	0.000	Merged-chr16-45346908-42
NR9637--MA0039.3.KLF4	chr11	24077554	24077564	-	0.000	0.000	Merged-chr11-24077473-13
NR39840--MA1107.1.KLF9	chr2	170291893	170291905	+	0.000	0.000	Merged-chr2-170292078-34
NR68716--MA1107.1.KLF9	chr9	51162022	51162034	-	0.000	0.000	Merged-chr9-51161990-29
NR64071--MA0599.1.KLF5	chr8	11009006	11009015	+	0.000	0.000	Merged-chr8-11009107-63
NR10639--MA0599.1.KLF5	chr11	67017986	67017995	-	0.000	0.000	Merged-chr11-67017936-9
NR2040--MA0741.1.KLF16	chr1	119637161	119637171	+	0.000	0.000	Merged-chr1-119636990-21
NR14116--MA0741.1.KLF16	chr12	52383145	52383155	-	0.000	0.000	Merged-chr12-52383146-23
NR40975--MA1107.1.KLF9	chr3	51701526	51701538	+	0.000	0.000	Merged-chr3-51701450-64
NR60490--MA0493.1.Klf1	chr7	46832393	46832403	-	0.000	0.000	Merged-chr7-46832342-27
NR23136--MA0039.3.KLF4	chr15	61441929	61441939	+	0.000	0.000	Merged-chr15-61441836-34
NR31578--MA1107.1.KLF9	chr18	54822920	54822932	+	0.000	0.000	Merged-chr18-54822886-30
NR45838--MA1107.1.KLF9	chr4	62731465	62731477	+	0.000	0.000	Merged-chr4-62731520-17
NR14486--MA0742.1.Klf12	chr12	71030418	71030432	+	0.000	0.000	Merged-chr12-71030638-56
NR1690--MA0741.1.KLF16	chr1	91825522	91825532	-	0.000	0.000	Merged-chr1-91825474-20
NR64387--MA0741.1.KLF16	chr8	22228790	22228800	+	0.000	0.000	Merged-chr8-22228766-14
NR17854--MA0741.1.KLF16	chr13	89521653	89521663	+	0.000	0.000	Merged-chr13-89521757-30
NR61428--MA0493.1.Klf1	chr7	90341962	90341972	-	0.000	0.000	Merged-chr7-90341759-29
NR465--MA0741.1.KLF16	chr1	38395439	38395449	+	0.000	0.000	Merged-chr1-38395375-19
NR1854--MA0039.3.KLF4	chr1	98589913	98589923	+	0.000	0.000	Merged-chr1-98589738-39
NR19643--MA0741.1.KLF16	chr14	27262418	27262428	+	0.000	0.000	Merged-chr14-27262535-17
NR58377--MA0741.1.KLF16	chr6	142507960	142507970	-	0.000	0.000	Merged-chr6-142507875-63
NR117--MA0741.1.KLF16	chr1	13426973	13426983	-	0.000	0.000	Merged-chr1-13426973-84
NR15412--MA0741.1.KLF16	chr12	105537581	105537591	+	0.000	0.000	Merged-chr12-105537597-12
NR42928--MA0599.1.KLF5	chr3	121967795	121967804	-	0.000	0.000	Merged-chr3-121967857-57
NR17134--MA0039.3.KLF4	chr13	56704044	56704054	-	0.000	0.000	Merged-chr13-56703613-154
NR39169--MA1107.1.KLF9	chr2	157119295	157119307	-	0.000	0.000	Merged-chr2-157119108-55
NR63407--MA0599.1.KLF5	chr7	136894429	136894438	+	0.000	0.000	Merged-chr7-136894538-85
NR61347--MA1107.1.KLF9	chr7	84149055	84149067	+	0.000	0.000	Merged-chr7-84149073-24
NR69067--MA0657.1.KLF13	chr9	61745280	61745297	+	0.000	0.000	Merged-chr9-61745239-9
NR54377--MA0599.1.KLF5	chr5	150232878	150232887	+	0.000	0.000	Merged-chr5-150232910-1
NR66208--MA0741.1.KLF16	chr8	95349081	95349091	-	0.000	0.000	Merged-chr8-95348986-27
NR14108--MA0599.1.KLF5	chr12	52383132	52383141	-	0.000	0.000	Merged-chr12-52383146-23
NR4790--MA0740.1.KLF14	chr1	191111363	191111376	-	0.000	0.000	Merged-chr1-191111364-43
NR60026--MA0741.1.KLF16	chr7	34630499	34630509	-	0.000	0.000	Merged-chr7-34630517-24
NR71083--MA0599.1.KLF5	chr9	115205647	115205656	+	0.000	0.000	Merged-chr9-115205642-30
NR45269--MA0741.1.KLF16	chr4	45766163	45766173	-	0.000	0.000	Merged-chr4-45766216-17
NR57945--MA0039.3.KLF4	chr6	134450906	134450916	-	0.000	0.000	Merged-chr6-134450954-21
NR63998--MA0599.1.KLF5	chr8	8661411	8661420	+	0.000	0.000	Merged-chr8-8661451-105
NR31004--MA0740.1.KLF14	chr18	21300233	21300246	+	0.000	0.000	Merged-chr18-21300237-62
NR15630--MA0741.1.KLF16	chr12	109067991	109068001	+	0.000	0.000	Merged-chr12-109068052-48
NR30839--MA0599.1.KLF5	chr18	5819884	5819893	+	0.000	0.000	Merged-chr18-5820020-28
NR46606--MA1107.1.KLF9	chr4	106841998	106842010	-	0.000	0.000	Merged-chr4-106841993-21
NR69033--MA0657.1.KLF13	chr9	61054574	61054591	-	0.000	0.000	Merged-chr9-61054632-26
NR36821--MA0741.1.KLF16	chr2	77249874	77249884	+	0.000	0.000	Merged-chr2-77250040-39
NR60024--MA0039.3.KLF4	chr7	34630505	34630515	-	0.000	0.000	Merged-chr7-34630517-24
NR48263--MA0599.1.KLF5	chr4	140601397	140601406	-	0.000	0.000	Merged-chr4-140601329-15
NR45534--MA1107.1.KLF9	chr4	55343391	55343403	+	0.000	0.000	Merged-chr4-55343422-62
NR31808--MA0599.1.KLF5	chr18	62267378	62267387	-	0.000	0.000	Merged-chr18-62267467-16
NR41771--MA0599.1.KLF5	chr3	89911450	89911459	+	0.000	0.000	Merged-chr3-89911440-10
NR48911--MA1107.1.KLF9	chr4	152247435	152247447	+	0.000	0.000	Merged-chr4-152247398-23
NR47191--MA0599.1.KLF5	chr4	122829454	122829463	-	0.000	0.000	Merged-chr4-122829434-12
NR34522--MA0741.1.KLF16	chr19	57430074	57430084	-	0.000	0.000	Merged-chr19-57430178-33
NR20684--MA0741.1.KLF16	chr14	63906104	63906114	-	0.000	0.000	Merged-chr14-63906056-16
NR14112--MA0493.1.Klf1	chr12	52383127	52383137	-	0.000	0.000	Merged-chr12-52383146-23
NR72285--MA0599.1.KLF5	chrX	93911289	93911298	+	0.000	0.000	Merged-chrX-93911345-24
NR65156--MA1107.1.KLF9	chr8	67860356	67860368	+	0.000	0.000	Merged-chr8-67860375-11
NR43421--MA0742.1.Klf12	chr3	133758585	133758599	+	0.000	0.000	Merged-chr3-133758511-65
NR48017--MA0599.1.KLF5	chr4	136123306	136123315	-	0.000	0.000	Merged-chr4-136123235-13
NR57526--MA0599.1.KLF5	chr6	125433809	125433818	+	0.000	0.000	Merged-chr6-125433874-28
NR60929--MA1107.1.KLF9	chr7	68205947	68205959	-	0.000	0.000	Merged-chr7-68206033-25
NR24058--MA0599.1.KLF5	chr15	84372976	84372985	-	0.000	0.000	Merged-chr15-84372915-18
NR57507--MA1107.1.KLF9	chr6	125229077	125229089	-	0.000	0.000	Merged-chr6-125228994-3
NR24392--MA0039.3.KLF4	chr15	93530754	93530764	-	0.000	0.000	Merged-chr15-93530912-20
NR19234--MA1107.1.KLF9	chr14	12307769	12307781	-	0.000	0.000	Merged-chr14-12307905-40
NR11415--MA1107.1.KLF9	chr11	82961944	82961956	-	0.000	0.000	Merged-chr11-82962014-19
NR21245--MA0599.1.KLF5	chr14	84443429	84443438	+	0.000	0.000	Merged-chr14-84443299-57
NR56328--MA0741.1.KLF16	chr6	90629686	90629696	+	0.000	0.000	Merged-chr6-90629668-42
NR71047--MA0493.1.Klf1	chr9	114613181	114613191	-	0.000	0.000	Merged-chr9-114613191-38
NR57614--MA0039.3.KLF4	chr6	127365545	127365555	-	0.000	0.000	Merged-chr6-127365482-29
NR36822--MA1107.1.KLF9	chr2	77249873	77249885	+	0.000	0.000	Merged-chr2-77250040-39
NR44468--MA0599.1.KLF5	chr4	6941241	6941250	+	0.000	0.000	Merged-chr4-6941109-33
NR35083--MA1107.1.KLF9	chr2	19630761	19630773	+	0.000	0.000	Merged-chr2-19630844-34
NR55475--MA1107.1.KLF9	chr6	53038243	53038255	+	0.000	0.000	Merged-chr6-53038389-13
NR40328--MA0599.1.KLF5	chr3	8667155	8667164	-	0.000	0.000	Merged-chr3-8667385-80
NR41754--MA0742.1.Klf12	chr3	89892865	89892879	-	0.000	0.000	Merged-chr3-89892725-25
NR11433--MA1107.1.KLF9	chr11	83185900	83185912	-	0.000	0.000	Merged-chr11-83185820-16
NR64074--MA0741.1.KLF16	chr8	11009081	11009091	-	0.000	0.000	Merged-chr8-11009107-63
NR72938--MA0741.1.KLF16	chrX	166329051	166329061	-	0.000	0.000	Merged-chrX-166329162-24
NR52360--MA0740.1.KLF14	chr5	118661941	118661954	+	0.000	0.000	Merged-chr5-118661904-17
NR31750--MA0599.1.KLF5	chr18	60632874	60632883	-	0.000	0.000	Merged-chr18-60633052-25
NR26689--MA1107.1.KLF9	chr16	76283384	76283396	-	0.000	0.000	Merged-chr16-76283420-1
NR64868--MA0741.1.KLF16	chr8	48109937	48109947	-	0.000	0.000	Merged-chr8-48110185-80
NR13976--MA0741.1.KLF16	chr12	35770599	35770609	+	0.000	0.000	Merged-chr12-35770526-40
NR39323--MA0599.1.KLF5	chr2	160451807	160451816	+	0.000	0.000	Merged-chr2-160451916-68
NR40332--MA0493.1.Klf1	chr3	8667338	8667348	+	0.000	0.000	Merged-chr3-8667385-80
NR6417--MA0741.1.KLF16	chr10	67891156	67891166	-	0.000	0.000	Merged-chr10-67891340-18
NR11304--MA0493.1.Klf1	chr11	79460472	79460482	-	0.000	0.000	Merged-chr11-79460483-1
NR19239--MA1107.1.KLF9	chr14	12307779	12307791	-	0.000	0.000	Merged-chr14-12307905-40
NR37160--MA1107.1.KLF9	chr2	93454472	93454484	+	0.000	0.000	Merged-chr2-93454506-54
NR41758--MA0741.1.KLF16	chr3	89892868	89892878	-	0.000	0.000	Merged-chr3-89892725-25
NR43144--MA0039.3.KLF4	chr3	127845179	127845189	+	0.000	0.000	Merged-chr3-127845262-14
NR51112--MA0493.1.Klf1	chr5	88499998	88500008	-	0.000	0.000	Merged-chr5-88499946-26
NR18387--MA0493.1.Klf1	chr13	102773322	102773332	-	0.000	0.000	Merged-chr13-102773383-12
NR52057--MA0741.1.KLF16	chr5	113873212	113873222	-	0.000	0.000	Merged-chr5-113873174-24
NR16636--MA0039.3.KLF4	chr13	38958320	38958330	+	0.000	0.000	Merged-chr13-38958304-24
NR2690--MA1107.1.KLF9	chr1	136617578	136617590	-	0.000	0.000	Merged-chr1-136617404-40
NR22627--MA0741.1.KLF16	chr15	36438863	36438873	-	0.000	0.000	Merged-chr15-36438812-16
NR43923--MA0039.3.KLF4	chr3	148465659	148465669	-	0.000	0.000	Merged-chr3-148465597-36
NR65619--MA0599.1.KLF5	chr8	76902283	76902292	+	0.000	0.000	Merged-chr8-76902143-41
NR62600--MA0599.1.KLF5	chr7	121734723	121734732	-	0.000	0.000	Merged-chr7-121734819-1
NR60079--MA1107.1.KLF9	chr7	35742595	35742607	-	0.000	0.000	Merged-chr7-35742502-39
NR17995--MA1107.1.KLF9	chr13	94567551	94567563	-	0.000	0.000	Merged-chr13-94567668-9
NR38506--MA0741.1.KLF16	chr2	136917805	136917815	-	0.000	0.000	Merged-chr2-136917960-10
NR2385--MA0741.1.KLF16	chr1	130522445	130522455	+	0.000	0.000	Merged-chr1-130522626-12
NR17990--MA0039.3.KLF4	chr13	94567555	94567565	-	0.000	0.000	Merged-chr13-94567668-9
NR47625--MA1107.1.KLF9	chr4	131696143	131696155	-	0.000	0.000	Merged-chr4-131696229-22
NR36295--MA0493.1.Klf1	chr2	59332405	59332415	-	0.000	0.000	Merged-chr2-59332590-12
NR23327--MA0599.1.KLF5	chr15	72859486	72859495	+	0.000	0.000	Merged-chr15-72859470-25
NR68250--MA0741.1.KLF16	chr9	36905617	36905627	-	0.000	0.000	Merged-chr9-36905642-9
NR7517--MA0039.3.KLF4	chr10	86786237	86786247	-	0.000	0.000	Merged-chr10-86786135-22
NR51569--MA0493.1.Klf1	chr5	100929920	100929930	+	0.000	0.000	Merged-chr5-100929891-31
NR36819--MA0493.1.Klf1	chr2	77249873	77249883	+	0.000	0.000	Merged-chr2-77250040-39
NR36604--MA0493.1.Klf1	chr2	72137078	72137088	+	0.000	0.000	Merged-chr2-72136999-23
NR36393--MA0741.1.KLF16	chr2	62409040	62409050	+	0.000	0.000	Merged-chr2-62408986-36
NR17969--MA0493.1.Klf1	chr13	94144784	94144794	-	0.000	0.000	Merged-chr13-94144726-31
NR45357--MA0599.1.KLF5	chr4	46794957	46794966	+	0.000	0.000	Merged-chr4-46794898-7
NR20808--MA0039.3.KLF4	chr14	68078502	68078512	+	0.000	0.000	Merged-chr14-68078565-20
NR61841--MA0493.1.Klf1	chr7	102347594	102347604	+	0.000	0.000	Merged-chr7-102347477-20
NR37165--MA1107.1.KLF9	chr2	93454482	93454494	+	0.000	0.000	Merged-chr2-93454506-54
NR43625--MA0599.1.KLF5	chr3	138649839	138649848	-	0.000	0.000	Merged-chr3-138649925-12
NR61609--MA0599.1.KLF5	chr7	97842918	97842927	+	0.000	0.000	Merged-chr7-97843006-38
NR4697--MA0741.1.KLF16	chr1	189830916	189830926	-	0.000	0.000	Merged-chr1-189831018-42
NR57170--MA0741.1.KLF16	chr6	118593643	118593653	-	0.000	0.000	Merged-chr6-118593680-90
NR26677--MA0740.1.KLF14	chr16	76283306	76283319	+	0.000	0.000	Merged-chr16-76283420-1
NR64589--MA0741.1.KLF16	chr8	34108540	34108550	-	0.000	0.000	Merged-chr8-34108671-3
NR36773--MA0741.1.KLF16	chr2	75965080	75965090	+	0.000	0.000	Merged-chr2-75964949-43
NR62184--MA0599.1.KLF5	chr7	114088139	114088148	+	0.000	0.000	Merged-chr7-114088152-53
NR65620--MA0741.1.KLF16	chr8	76902283	76902293	+	0.000	0.000	Merged-chr8-76902143-41
NR65631--MA0039.3.KLF4	chr8	77383807	77383817	+	0.000	0.000	Merged-chr8-77383968-15
NR36818--MA0039.3.KLF4	chr2	77249881	77249891	+	0.000	0.000	Merged-chr2-77250040-39
NR5724--MA0599.1.KLF5	chr10	40674379	40674388	-	0.000	0.000	Merged-chr10-40674400-11
NR17404--MA0039.3.KLF4	chr13	65070139	65070149	+	0.000	0.000	Merged-chr13-65070187-24
NR2255--MA0741.1.KLF16	chr1	127322325	127322335	-	0.000	0.000	Merged-chr1-127322582-29
NR11255--MA0741.1.KLF16	chr11	78690775	78690785	+	0.000	0.000	Merged-chr11-78690691-3
NR36814--MA0742.1.Klf12	chr2	77249879	77249893	+	0.000	0.000	Merged-chr2-77250040-39
NR467--MA1107.1.KLF9	chr1	38395438	38395450	+	0.000	0.000	Merged-chr1-38395375-19
NR71082--MA0740.1.KLF14	chr9	115205646	115205659	+	0.000	0.000	Merged-chr9-115205642-30
NR71213--MA1107.1.KLF9	chr9	118196826	118196838	-	0.000	0.000	Merged-chr9-118196833-13
NR60021--MA0740.1.KLF14	chr7	34630504	34630517	-	0.000	0.000	Merged-chr7-34630517-24
NR71344--MA0599.1.KLF5	chr9	119988430	119988439	-	0.000	0.000	Merged-chr9-119988491-33
NR55499--MA0493.1.Klf1	chr6	53778928	53778938	-	0.000	0.000	Merged-chr6-53778855-8
NR4838--MA0741.1.KLF16	chr1	191662421	191662431	+	0.000	0.000	Merged-chr1-191662407-14
NR45217--MA0039.3.KLF4	chr4	44170198	44170208	+	0.000	0.000	Merged-chr4-44170097-14
NR41556--MA0740.1.KLF14	chr3	84477561	84477574	-	0.000	0.000	Merged-chr3-84477603-8
NR26707--MA0741.1.KLF16	chr16	76447256	76447266	-	0.000	0.000	Merged-chr16-76447349-16
NR7801--MA0741.1.KLF16	chr10	94087495	94087505	+	0.000	0.000	Merged-chr10-94087553-20
NR4791--MA0599.1.KLF5	chr1	191111366	191111375	-	0.000	0.000	Merged-chr1-191111364-43
NR1180--MA1107.1.KLF9	chr1	73940863	73940875	+	0.000	0.000	Merged-chr1-73940938-50
NR36197--MA0493.1.Klf1	chr2	52542688	52542698	+	0.000	0.000	Merged-chr2-52542865-9
NR51265--MA0493.1.Klf1	chr5	92925384	92925394	-	0.000	0.000	Merged-chr5-92925240-13
NR7688--MA1107.1.KLF9	chr10	91028076	91028088	+	0.000	0.000	Merged-chr10-91028217-15
NR26688--MA0741.1.KLF16	chr16	76283385	76283395	-	0.000	0.000	Merged-chr16-76283420-1
NR12690--MA0493.1.Klf1	chr11	113206439	113206449	-	0.000	0.000	Merged-chr11-113206318-17
NR48910--MA0741.1.KLF16	chr4	152247436	152247446	+	0.000	0.000	Merged-chr4-152247398-23
NR18018--MA0741.1.KLF16	chr13	95063705	95063715	-	0.000	0.000	Merged-chr13-95063599-48
NR66615--MA0493.1.Klf1	chr8	109957364	109957374	+	0.000	0.000	Merged-chr8-109957445-42
NR6850--MA0599.1.KLF5	chr10	77864500	77864509	+	0.000	0.000	Merged-chr10-77864570-37
NR71102--MA0493.1.Klf1	chr9	115387583	115387593	+	0.000	0.000	Merged-chr9-115387656-46
NR65105--MA0599.1.KLF5	chr8	64935181	64935190	-	0.000	0.000	Merged-chr8-64935114-22
NR72779--MA0599.1.KLF5	chrX	159199692	159199701	+	0.000	0.000	Merged-chrX-159199808-53
NR39238--MA1107.1.KLF9	chr2	158771233	158771245	-	0.000	0.000	Merged-chr2-158771297-12
NR17133--MA0599.1.KLF5	chr13	56704046	56704055	-	0.000	0.000	Merged-chr13-56703613-154
NR26678--MA0657.1.KLF13	chr16	76283300	76283317	+	0.000	0.000	Merged-chr16-76283420-1
NR63932--MA0741.1.KLF16	chr8	3221122	3221132	+	0.000	0.000	Merged-chr8-3221344-66
NR38503--MA0599.1.KLF5	chr2	136917800	136917809	-	0.000	0.000	Merged-chr2-136917960-10
NR14544--MA0599.1.KLF5	chr12	73647844	73647853	-	0.000	0.000	Merged-chr12-73647879-51
NR23377--MA0599.1.KLF5	chr15	73627688	73627697	+	0.000	0.000	Merged-chr15-73627530-51
NR60559--MA1107.1.KLF9	chr7	49494867	49494879	-	0.000	0.000	Merged-chr7-49494921-17
NR24435--MA0493.1.Klf1	chr15	94255265	94255275	+	0.000	0.000	Merged-chr15-94255177-46
NR55087--MA1107.1.KLF9	chr6	39348147	39348159	+	0.000	0.000	Merged-chr6-39348126-65
NR31749--MA0742.1.Klf12	chr18	60632870	60632884	-	0.000	0.000	Merged-chr18-60633052-25
NR39028--MA0740.1.KLF14	chr2	153325876	153325889	-	0.000	0.000	Merged-chr2-153325949-22
NR70532--MA0742.1.Klf12	chr9	104337789	104337803	-	0.000	0.000	Merged-chr9-104337728-48
NR57944--MA0599.1.KLF5	chr6	134450908	134450917	-	0.000	0.000	Merged-chr6-134450954-21
NR40607--MA0599.1.KLF5	chr3	28318193	28318202	+	0.000	0.000	Merged-chr3-28318064-9
NR41061--MA0599.1.KLF5	chr3	53041479	53041488	-	0.000	0.000	Merged-chr3-53041622-23
NR66758--MA1107.1.KLF9	chr8	114506084	114506096	-	0.000	0.000	Merged-chr8-114506190-31
NR39162--MA1107.1.KLF9	chr2	157119281	157119293	-	0.000	0.000	Merged-chr2-157119108-55
NR60023--MA0599.1.KLF5	chr7	34630507	34630516	-	0.000	0.000	Merged-chr7-34630517-24
NR23376--MA1107.1.KLF9	chr15	73627497	73627509	-	0.000	0.000	Merged-chr15-73627530-51
NR52056--MA0599.1.KLF5	chr5	113873221	113873230	-	0.000	0.000	Merged-chr5-113873174-24
NR46263--MA1107.1.KLF9	chr4	89137608	89137620	+	0.000	0.000	Merged-chr4-89137676-98
NR2039--MA0599.1.KLF5	chr1	119637145	119637154	-	0.000	0.000	Merged-chr1-119636990-21
NR55634--MA0493.1.Klf1	chr6	57449423	57449433	-	0.000	0.000	Merged-chr6-57449516-18
NR14136--MA0742.1.Klf12	chr12	52783212	52783226	-	0.000	0.000	Merged-chr12-52783123-49
NR3957--MA0741.1.KLF16	chr1	172197390	172197400	+	0.000	0.000	Merged-chr1-172197316-25
NR41557--MA0657.1.KLF13	chr3	84477558	84477575	-	0.000	0.000	Merged-chr3-84477603-8
NR42929--MA0741.1.KLF16	chr3	121982311	121982321	+	0.000	0.000	Merged-chr3-121982250-28
NR47353--MA1107.1.KLF9	chr4	127095286	127095298	-	0.000	0.000	Merged-chr4-127095353-15
NR60923--MA0599.1.KLF5	chr7	68205945	68205954	-	0.000	0.000	Merged-chr7-68206033-25
NR68723--MA1107.1.KLF9	chr9	51162036	51162048	-	0.000	0.000	Merged-chr9-51161990-29
NR14409--MA1107.1.KLF9	chr12	69853616	69853628	+	0.000	0.000	Merged-chr12-69853558-20
NR8408--MA0741.1.KLF16	chr10	118090010	118090020	-	0.000	0.000	Merged-chr10-118090052-13
NR30--MA1107.1.KLF9	chr1	6519522	6519534	+	0.000	0.000	Merged-chr1-6519375-11
NR18013--MA0599.1.KLF5	chr13	95063706	95063715	-	0.000	0.000	Merged-chr13-95063599-48
NR1176--MA0039.3.KLF4	chr1	73940873	73940883	+	0.000	0.000	Merged-chr1-73940938-50
NR22076--MA1107.1.KLF9	chr14	121354112	121354124	+	0.000	0.000	Merged-chr14-121354142-24
NR66206--MA0741.1.KLF16	chr8	95349079	95349089	-	0.000	0.000	Merged-chr8-95348986-27
NR58375--MA1107.1.KLF9	chr6	142507797	142507809	+	0.000	0.000	Merged-chr6-142507875-63
