#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR1087--MA0463.1.Bcl6	chr2	53051573	53051586	+	0.000	0.000	Merged-chr2-53051556-37
NR1127--MA0731.1.BCL6B	chr2	83744753	83744769	-	0.000	0.000	Merged-chr2-83744684-15
NR1160--MA0463.1.Bcl6	chr2	124732782	124732795	+	0.000	0.000	Merged-chr2-124732800-44
NR125--MA0463.1.Bcl6	chr1	162094332	162094345	+	0.000	0.000	Merged-chr1-162094499-16
NR413--MA0731.1.BCL6B	chr12	30557461	30557477	-	0.000	0.000	Merged-chr12-30557589-12
NR1962--MA0463.1.Bcl6	chr8	107505472	107505485	+	0.000	0.000	Merged-chr8-107505522-28
NR1613--MA0463.1.Bcl6	chr5	121796140	121796153	-	0.000	0.000	Merged-chr5-121796162-9
NR2014--MA0731.1.BCL6B	chr9	46067768	46067784	+	0.000	0.000	Merged-chr9-46067902-17
NR548--MA0731.1.BCL6B	chr13	51776548	51776564	-	0.000	0.000	Merged-chr13-51776600-43
NR1458--MA0463.1.Bcl6	chr4	119127468	119127481	-	0.000	0.000	Merged-chr4-119127359-48
NR1476--MA0463.1.Bcl6	chr4	132748936	132748949	-	0.000	0.000	Merged-chr4-132748989-25
NR328--MA0731.1.BCL6B	chr11	57952816	57952832	-	0.000	0.000	Merged-chr11-57952769-40
NR1088--MA0463.1.Bcl6	chr2	53088805	53088818	+	0.000	0.000	Merged-chr2-53088913-36
NR1661--MA0463.1.Bcl6	chr6	54956222	54956235	-	0.000	0.000	Merged-chr6-54956270-34
NR137--MA0731.1.BCL6B	chr1	165682669	165682685	+	0.000	0.000	Merged-chr1-165682736-19
NR2118--MA0731.1.BCL6B	chr9	121675081	121675097	-	0.000	0.000	Merged-chr9-121675261-45
NR354--MA0463.1.Bcl6	chr11	78766586	78766599	+	0.000	0.000	Merged-chr11-78766561-26
NR1040--MA0463.1.Bcl6	chr19	56756642	56756655	-	0.000	0.000	Merged-chr19-56756635-43
NR2126--MA0463.1.Bcl6	chr9	123723168	123723181	-	0.000	0.000	Merged-chr9-123723255-25
NR1381--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR1404--MA0463.1.Bcl6	chr4	40823836	40823849	-	0.000	0.000	Merged-chr4-40823922-38
NR1495--MA0731.1.BCL6B	chr4	144909007	144909023	-	0.000	0.000	Merged-chr4-144908993-28
NR903--MA0463.1.Bcl6	chr17	44121610	44121623	-	0.000	0.000	Merged-chr17-44121634-62
NR478--MA0463.1.Bcl6	chr12	102350886	102350899	+	0.000	0.000	Merged-chr12-102350976-38
NR677--MA0731.1.BCL6B	chr14	65330861	65330877	+	0.000	0.000	Merged-chr14-65330788-23
NR547--MA0463.1.Bcl6	chr13	51776549	51776562	-	0.000	0.000	Merged-chr13-51776600-43
NR1041--MA0463.1.Bcl6	chr19	56771430	56771443	-	0.000	0.000	Merged-chr19-56771635-4
NR1089--MA0731.1.BCL6B	chr2	53088802	53088818	-	0.000	0.000	Merged-chr2-53088913-36
NR1727--MA0463.1.Bcl6	chr6	127617404	127617417	+	0.000	0.000	Merged-chr6-127617353-34
NR746--MA0463.1.Bcl6	chr15	60136864	60136877	+	0.000	0.000	Merged-chr15-60136862-12
NR1455--MA0463.1.Bcl6	chr4	107006366	107006379	-	0.000	0.000	Merged-chr4-107006366-21
NR904--MA0463.1.Bcl6	chr17	44121795	44121808	-	0.000	0.000	Merged-chr17-44121634-62
