#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR42317--MA0741.1.KLF16	chr3	81835984	81835994	-	0.000	0.000	Merged-chr3-81835793-30
NR15467--MA0657.1.KLF13	chr12	108275475	108275492	+	0.000	0.000	Merged-chr12-108275445-64
NR18338--MA1107.1.KLF9	chr13	92722554	92722566	-	0.000	0.000	Merged-chr13-92722597-29
NR642--MA1107.1.KLF9	chr1	34012083	34012095	-	0.000	0.000	Merged-chr1-34011991-3
NR9458--MA0741.1.KLF16	chr10	127621161	127621171	-	0.000	0.000	Merged-chr10-127621046-1
NR61727--MA0740.1.KLF14	chr7	136894457	136894470	+	0.000	0.000	Merged-chr7-136894538-85
NR65382--MA0740.1.KLF14	chr8	125558862	125558875	+	0.000	0.000	Merged-chr8-125558804-33
NR24918--MA0039.3.KLF4	chr15	89499047	89499057	+	0.000	0.000	Merged-chr15-89498857-24
NR61728--MA0657.1.KLF13	chr7	136894456	136894473	+	0.000	0.000	Merged-chr7-136894538-85
NR65383--MA0657.1.KLF13	chr8	125558861	125558878	+	0.000	0.000	Merged-chr8-125558804-33
NR44461--MA0742.1.Klf12	chr3	148906539	148906553	-	0.000	0.000	Merged-chr3-148906518-3
