#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR7077--MA0089.1.MAFG::NFE2L1	chr2	30699950	30699955	-	0.000	0.000	Merged-chr2-30700028-24
NR12613--MA0501.1.MAF::NFE2	chr8	64826687	64826701	-	0.000	0.000	Merged-chr8-64826546-37
NR13039--MA0089.1.MAFG::NFE2L1	chr9	14926806	14926811	-	0.000	0.000	Merged-chr9-14926732-51
NR4393--MA0117.2.Mafb	chr14	103017209	103017220	-	0.000	0.000	Merged-chr14-103017290-44
NR5577--MA0117.2.Mafb	chr16	84972108	84972119	+	0.000	0.000	Merged-chr16-84972104-8
NR9386--MA0117.2.Mafb	chr4	63486681	63486692	+	0.000	0.000	Merged-chr4-63486767-20
NR11263--MA0089.1.MAFG::NFE2L1	chr6	99643708	99643713	-	0.000	0.000	Merged-chr6-99643748-32
NR13687--MA0501.1.MAF::NFE2	chrX	114474092	114474106	+	0.000	0.000	Merged-chrX-114474330-36
NR2459--MA0501.1.MAF::NFE2	chr11	117109902	117109916	+	0.000	0.000	Merged-chr11-117109823-31
NR1263--MA0659.1.MAFG	chr10	20119542	20119562	-	0.000	0.000	Merged-chr10-20119637-31
NR13031--MA0089.1.MAFG::NFE2L1	chr9	13536892	13536897	+	0.000	0.000	Merged-chr9-13536890-20
NR1592--MA0496.2.MAFK	chr10	67512299	67512317	-	0.000	0.000	Merged-chr10-67512381-13
NR8814--MA0089.1.MAFG::NFE2L1	chr3	133563707	133563712	-	0.000	0.000	Merged-chr3-133563771-42
NR2838--MA0089.1.MAFG::NFE2L1	chr12	79623461	79623466	+	0.000	0.000	Merged-chr12-79623487-16
NR2736--MA0089.1.MAFG::NFE2L1	chr12	52796533	52796538	-	0.000	0.000	Merged-chr12-52796443-43
NR2245--MA0089.1.MAFG::NFE2L1	chr11	52320617	52320622	-	0.000	0.000	Merged-chr11-52320694-9
NR8815--MA0591.1.Bach1::Mafk	chr3	133563700	133563714	-	0.000	0.000	Merged-chr3-133563771-42
NR1803--MA0089.1.MAFG::NFE2L1	chr10	96579458	96579463	+	0.000	0.000	Merged-chr10-96579636-12
NR1542--MA0117.2.Mafb	chr10	60028309	60028320	-	0.000	0.000	Merged-chr10-60028260-54
NR418--MA0659.1.MAFG	chr1	78422793	78422813	-	0.000	0.000	Merged-chr1-78422740-38
NR6509--MA0089.1.MAFG::NFE2L1	chr18	57970375	57970380	-	0.000	0.000	Merged-chr18-57970531-36
NR3976--MA0496.2.MAFK	chr14	17414422	17414440	+	0.000	0.000	Merged-chr14-17414498-32
NR11515--MA0089.1.MAFG::NFE2L1	chr6	134148219	134148224	+	0.000	0.000	Merged-chr6-134148194-39
NR13171--MA0089.1.MAFG::NFE2L1	chr9	62510771	62510776	+	0.000	0.000	Merged-chr9-62510656-38
NR2461--MA0496.2.MAFK	chr11	117109897	117109915	-	0.000	0.000	Merged-chr11-117109823-31
NR1936--MA0089.1.MAFG::NFE2L1	chr10	111924394	111924399	+	0.000	0.000	Merged-chr10-111924366-28
NR13220--MA0501.1.MAF::NFE2	chr9	77467012	77467026	-	0.000	0.000	Merged-chr9-77466988-20
NR10995--MA0117.2.Mafb	chr6	54760026	54760037	-	0.000	0.000	Merged-chr6-54760187-57
NR8978--MA0089.1.MAFG::NFE2L1	chr3	152355557	152355562	+	0.000	0.000	Merged-chr3-152355609-21
NR6110--MA0089.1.MAFG::NFE2L1	chr17	84032633	84032638	-	0.000	0.000	Merged-chr17-84032623-33
NR1518--MA0117.2.Mafb	chr10	56486835	56486846	-	0.000	0.000	Merged-chr10-56486689-18
NR1281--MA0591.1.Bach1::Mafk	chr10	21659612	21659626	+	0.000	0.000	Merged-chr10-21659696-16
NR1282--MA0501.1.MAF::NFE2	chr10	21659615	21659629	+	0.000	0.000	Merged-chr10-21659696-16
NR1590--MA0659.1.MAFG	chr10	67512298	67512318	+	0.000	0.000	Merged-chr10-67512381-13
NR5256--MA0591.1.Bach1::Mafk	chr16	32972771	32972785	+	0.000	0.000	Merged-chr16-32972762-21
NR3971--MA0117.2.Mafb	chr14	17414430	17414441	-	0.000	0.000	Merged-chr14-17414498-32
NR537--MA0117.2.Mafb	chr1	97650196	97650207	-	0.000	0.000	Merged-chr1-97650227-42
NR2506--MA0089.1.MAFG::NFE2L1	chr12	8817902	8817907	-	0.000	0.000	Merged-chr12-8817903-12
NR6330--MA0496.2.MAFK	chr18	32311874	32311892	-	0.000	0.000	Merged-chr18-32311918-36
NR8299--MA0591.1.Bach1::Mafk	chr3	52638885	52638899	+	0.000	0.000	Merged-chr3-52638981-9
NR2154--MA0591.1.Bach1::Mafk	chr11	19949896	19949910	-	0.000	0.000	Merged-chr11-19950024-19
NR2455--MA0495.2.MAFF	chr11	117109896	117109916	+	0.000	0.000	Merged-chr11-117109823-31
NR3518--MA0591.1.Bach1::Mafk	chr13	83566392	83566406	-	0.000	0.000	Merged-chr13-83566220-57
NR7602--MA0591.1.Bach1::Mafk	chr2	128159201	128159215	-	0.000	0.000	Merged-chr2-128159167-18
NR6432--MA0089.1.MAFG::NFE2L1	chr18	46013384	46013389	-	0.000	0.000	Merged-chr18-46013388-48
NR3972--MA0591.1.Bach1::Mafk	chr14	17414424	17414438	+	0.000	0.000	Merged-chr14-17414498-32
NR5520--MA0591.1.Bach1::Mafk	chr16	76202101	76202115	+	0.000	0.000	Merged-chr16-76202306-30
NR11957--MA0089.1.MAFG::NFE2L1	chr7	73589636	73589641	+	0.000	0.000	Merged-chr7-73589494-9
NR5212--MA0089.1.MAFG::NFE2L1	chr16	22526618	22526623	+	0.000	0.000	Merged-chr16-22526487-34
NR9633--MA0501.1.MAF::NFE2	chr4	109274122	109274136	-	0.000	0.000	Merged-chr4-109273984-17
NR12482--MA0089.1.MAFG::NFE2L1	chr8	34120559	34120564	+	0.000	0.000	Merged-chr8-34120698-35
NR1589--MA0591.1.Bach1::Mafk	chr10	67512301	67512315	-	0.000	0.000	Merged-chr10-67512381-13
NR5514--MA0089.1.MAFG::NFE2L1	chr16	75823556	75823561	-	0.000	0.000	Merged-chr16-75823473-28
NR827--MA0089.1.MAFG::NFE2L1	chr1	151236796	151236801	+	0.000	0.000	Merged-chr1-151236737-36
NR3975--MA0501.1.MAF::NFE2	chr14	17414427	17414441	+	0.000	0.000	Merged-chr14-17414498-32
NR2669--MA0501.1.MAF::NFE2	chr12	40090224	40090238	-	0.000	0.000	Merged-chr12-40090205-21
NR12612--MA0591.1.Bach1::Mafk	chr8	64826690	64826704	-	0.000	0.000	Merged-chr8-64826546-37
NR11688--MA0089.1.MAFG::NFE2L1	chr7	12987500	12987505	-	0.000	0.000	Merged-chr7-12987633-12
NR1587--MA0495.2.MAFF	chr10	67512298	67512318	+	0.000	0.000	Merged-chr10-67512381-13
NR8622--MA0089.1.MAFG::NFE2L1	chr3	101233602	101233607	-	0.000	0.000	Merged-chr3-101233598-27
NR9842--MA0117.2.Mafb	chr4	150583617	150583628	+	0.000	0.000	Merged-chr4-150583490-1
NR10279--MA0089.1.MAFG::NFE2L1	chr5	72159705	72159710	-	0.000	0.000	Merged-chr5-72159731-18
NR3977--MA0496.2.MAFK	chr14	17414422	17414440	-	0.000	0.000	Merged-chr14-17414498-32
NR6448--MA0501.1.MAF::NFE2	chr18	49721877	49721891	+	0.000	0.000	Merged-chr18-49721855-41
NR8672--MA0117.2.Mafb	chr3	109732611	109732622	+	0.000	0.000	Merged-chr3-109732646-37
NR13754--MA0089.1.MAFG::NFE2L1	chrX	166329272	166329277	+	0.000	0.000	Merged-chrX-166329162-24
NR10858--MA0501.1.MAF::NFE2	chr6	28351379	28351393	+	0.000	0.000	Merged-chr6-28351294-19
NR5669--MA0089.1.MAFG::NFE2L1	chr17	5195642	5195647	+	0.000	0.000	Merged-chr17-5195608-19
NR3386--MA0501.1.MAF::NFE2	chr13	70600400	70600414	-	0.000	0.000	Merged-chr13-70600282-8
NR7619--MA0591.1.Bach1::Mafk	chr2	132102955	132102969	+	0.000	0.000	Merged-chr2-132102969-23
NR1747--MA0117.2.Mafb	chr10	90981770	90981781	+	0.000	0.000	Merged-chr10-90981841-14
NR3614--MA0117.2.Mafb	chr13	95765097	95765108	+	0.000	0.000	Merged-chr13-95765232-46
NR6781--MA0089.1.MAFG::NFE2L1	chr19	14695500	14695505	+	0.000	0.000	Merged-chr19-14695584-43
NR9695--MA0089.1.MAFG::NFE2L1	chr4	123588811	123588816	+	0.000	0.000	Merged-chr4-123588937-38
NR8298--MA0117.2.Mafb	chr3	52638891	52638902	-	0.000	0.000	Merged-chr3-52638981-9
NR11637--MA0496.2.MAFK	chr6	145993222	145993240	+	0.000	0.000	Merged-chr6-145993129-56
NR2486--MA0089.1.MAFG::NFE2L1	chr12	3568935	3568940	+	0.000	0.000	Merged-chr12-3568895-12
NR2456--MA0495.2.MAFF	chr11	117109896	117109916	-	0.000	0.000	Merged-chr11-117109823-31
NR13681--MA0089.1.MAFG::NFE2L1	chrX	106962485	106962490	+	0.000	0.000	Merged-chrX-106962471-28
NR1431--MA0501.1.MAF::NFE2	chr10	43330942	43330956	+	0.000	0.000	Merged-chr10-43330902-16
NR12117--MA0117.2.Mafb	chr7	99795359	99795370	-	0.000	0.000	Merged-chr7-99795499-24
NR10414--MA0089.1.MAFG::NFE2L1	chr5	96825067	96825072	+	0.000	0.000	Merged-chr5-96825060-50
NR268--MA0591.1.Bach1::Mafk	chr1	58742700	58742714	+	0.000	0.000	Merged-chr1-58742743-31
NR8813--MA0495.2.MAFF	chr3	133563697	133563717	+	0.000	0.000	Merged-chr3-133563771-42
NR11932--MA0089.1.MAFG::NFE2L1	chr7	68250585	68250590	-	0.000	0.000	Merged-chr7-68250535-42
NR10512--MA0089.1.MAFG::NFE2L1	chr5	118633282	118633287	+	0.000	0.000	Merged-chr5-118633117-20
NR6620--MA0089.1.MAFG::NFE2L1	chr18	75410352	75410357	+	0.000	0.000	Merged-chr18-75410439-27
NR12939--MA0591.1.Bach1::Mafk	chr8	123385395	123385409	-	0.000	0.000	Merged-chr8-123385258-19
NR6818--MA0501.1.MAF::NFE2	chr19	32524044	32524058	-	0.000	0.000	Merged-chr19-32523975-16
NR10857--MA0591.1.Bach1::Mafk	chr6	28351376	28351390	+	0.000	0.000	Merged-chr6-28351294-19
NR10810--MA0089.1.MAFG::NFE2L1	chr6	17932003	17932008	+	0.000	0.000	Merged-chr6-17932110-11
NR11363--MA0089.1.MAFG::NFE2L1	chr6	114445149	114445154	-	0.000	0.000	Merged-chr6-114445139-32
NR1261--MA0495.2.MAFF	chr10	20119542	20119562	+	0.000	0.000	Merged-chr10-20119637-31
NR1588--MA0495.2.MAFF	chr10	67512298	67512318	-	0.000	0.000	Merged-chr10-67512381-13
NR13189--MA0495.2.MAFF	chr9	71874477	71874497	+	0.000	0.000	Merged-chr9-71874475-35
NR8727--MA0089.1.MAFG::NFE2L1	chr3	120458113	120458118	+	0.000	0.000	Merged-chr3-120457943-64
NR3969--MA0089.1.MAFG::NFE2L1	chr14	17414426	17414431	+	0.000	0.000	Merged-chr14-17414498-32
NR12011--MA0089.1.MAFG::NFE2L1	chr7	79190874	79190879	-	0.000	0.000	Merged-chr7-79190820-25
NR1403--MA0089.1.MAFG::NFE2L1	chr10	39522263	39522268	-	0.000	0.000	Merged-chr10-39522157-23
NR1519--MA0591.1.Bach1::Mafk	chr10	56486829	56486843	+	0.000	0.000	Merged-chr10-56486689-18
NR11070--MA0117.2.Mafb	chr6	65818513	65818524	-	0.000	0.000	Merged-chr6-65818480-32
NR9841--MA0089.1.MAFG::NFE2L1	chr4	149854401	149854406	+	0.000	0.000	Merged-chr4-149854542-67
NR7603--MA0501.1.MAF::NFE2	chr2	128159198	128159212	-	0.000	0.000	Merged-chr2-128159167-18
NR3978--MA0089.1.MAFG::NFE2L1	chr14	17414480	17414485	+	0.000	0.000	Merged-chr14-17414498-32
NR8045--MA0591.1.Bach1::Mafk	chr3	9500068	9500082	-	0.000	0.000	Merged-chr3-9499976-58
NR13219--MA0591.1.Bach1::Mafk	chr9	77467015	77467029	-	0.000	0.000	Merged-chr9-77466988-20
NR353--MA0089.1.MAFG::NFE2L1	chr1	69683215	69683220	-	0.000	0.000	Merged-chr1-69683222-14
NR416--MA0495.2.MAFF	chr1	78422793	78422813	-	0.000	0.000	Merged-chr1-78422740-38
NR3973--MA0659.1.MAFG	chr14	17414421	17414441	+	0.000	0.000	Merged-chr14-17414498-32
NR11825--MA0591.1.Bach1::Mafk	chr7	44772919	44772933	-	0.000	0.000	Merged-chr7-44772778-41
NR3967--MA0495.2.MAFF	chr14	17414421	17414441	+	0.000	0.000	Merged-chr14-17414498-32
NR13753--MA0089.1.MAFG::NFE2L1	chrX	166185332	166185337	+	0.000	0.000	Merged-chrX-166185579-37
NR3355--MA0591.1.Bach1::Mafk	chr13	64432459	64432473	+	0.000	0.000	Merged-chr13-64432516-70
NR5264--MA0089.1.MAFG::NFE2L1	chr16	35781166	35781171	+	0.000	0.000	Merged-chr16-35781109-15
NR10170--MA0117.2.Mafb	chr5	52609894	52609905	-	0.000	0.000	Merged-chr5-52609918-24
NR3970--MA0089.1.MAFG::NFE2L1	chr14	17414424	17414429	-	0.000	0.000	Merged-chr14-17414498-32
NR6116--MA0089.1.MAFG::NFE2L1	chr17	84855742	84855747	-	0.000	0.000	Merged-chr17-84855735-62
NR1520--MA0501.1.MAF::NFE2	chr10	56486832	56486846	+	0.000	0.000	Merged-chr10-56486689-18
NR5851--MA0591.1.Bach1::Mafk	chr17	33865654	33865668	-	0.000	0.000	Merged-chr17-33865585-36
NR1264--MA0496.2.MAFK	chr10	20119543	20119561	+	0.000	0.000	Merged-chr10-20119637-31
NR13586--MA0089.1.MAFG::NFE2L1	chrX	57200528	57200533	+	0.000	0.000	Merged-chrX-57200663-17
NR2661--MA0089.1.MAFG::NFE2L1	chr12	38929180	38929185	+	0.000	0.000	Merged-chr12-38929031-63
NR13484--MA0089.1.MAFG::NFE2L1	chr9	118890137	118890142	-	0.000	0.000	Merged-chr9-118890241-21
NR5863--MA0501.1.MAF::NFE2	chr17	34304946	34304960	-	0.000	0.000	Merged-chr17-34305077-21
NR1634--MA0117.2.Mafb	chr10	71362053	71362064	+	0.000	0.000	Merged-chr10-71362071-33
NR9919--MA0089.1.MAFG::NFE2L1	chr5	9107393	9107398	+	0.000	0.000	Merged-chr5-9107352-33
NR1830--MA0089.1.MAFG::NFE2L1	chr10	99581355	99581360	+	0.000	0.000	Merged-chr10-99581300-14
NR11636--MA0495.2.MAFF	chr6	145993221	145993241	+	0.000	0.000	Merged-chr6-145993129-56
NR12020--MA0591.1.Bach1::Mafk	chr7	80629091	80629105	+	0.000	0.000	Merged-chr7-80629014-41
NR8674--MA0089.1.MAFG::NFE2L1	chr3	109732715	109732720	-	0.000	0.000	Merged-chr3-109732646-37
NR7254--MA0089.1.MAFG::NFE2L1	chr2	59203587	59203592	+	0.000	0.000	Merged-chr2-59203652-25
NR12275--MA0089.1.MAFG::NFE2L1	chr7	130893287	130893292	+	0.000	0.000	Merged-chr7-130893114-41
NR5521--MA0501.1.MAF::NFE2	chr16	76202104	76202118	+	0.000	0.000	Merged-chr16-76202306-30
NR2668--MA0591.1.Bach1::Mafk	chr12	40090227	40090241	-	0.000	0.000	Merged-chr12-40090205-21
NR8670--MA0089.1.MAFG::NFE2L1	chr3	108865799	108865804	-	0.000	0.000	Merged-chr3-108865766-27
NR2457--MA0659.1.MAFG	chr11	117109896	117109916	+	0.000	0.000	Merged-chr11-117109823-31
NR419--MA0496.2.MAFK	chr1	78422794	78422812	-	0.000	0.000	Merged-chr1-78422740-38
NR5862--MA0591.1.Bach1::Mafk	chr17	34304949	34304963	-	0.000	0.000	Merged-chr17-34305077-21
NR13036--MA0089.1.MAFG::NFE2L1	chr9	14548023	14548028	-	0.000	0.000	Merged-chr9-14548192-17
NR1661--MA0089.1.MAFG::NFE2L1	chr10	78399418	78399423	+	0.000	0.000	Merged-chr10-78399498-14
NR11931--MA0089.1.MAFG::NFE2L1	chr7	68250580	68250585	-	0.000	0.000	Merged-chr7-68250535-42
NR3308--MA0496.2.MAFK	chr13	52144300	52144318	+	0.000	0.000	Merged-chr13-52144310-15
NR1399--MA0117.2.Mafb	chr10	39293245	39293256	+	0.000	0.000	Merged-chr10-39293099-66
NR6852--MA0501.1.MAF::NFE2	chr19	47330905	47330919	+	0.000	0.000	Merged-chr19-47330943-31
NR4758--MA0591.1.Bach1::Mafk	chr15	41447452	41447466	-	0.000	0.000	Merged-chr15-41447450-62
NR7270--MA0089.1.MAFG::NFE2L1	chr2	61474866	61474871	+	0.000	0.000	Merged-chr2-61474781-19
NR1596--MA0089.1.MAFG::NFE2L1	chr10	67698098	67698103	-	0.000	0.000	Merged-chr10-67697981-39
NR8046--MA0501.1.MAF::NFE2	chr3	9500065	9500079	-	0.000	0.000	Merged-chr3-9499976-58
NR2839--MA0089.1.MAFG::NFE2L1	chr12	79623495	79623500	-	0.000	0.000	Merged-chr12-79623487-16
NR10635--MA0591.1.Bach1::Mafk	chr5	146784137	146784151	-	0.000	0.000	Merged-chr5-146784100-8
NR7483--MA0089.1.MAFG::NFE2L1	chr2	103668157	103668162	-	0.000	0.000	Merged-chr2-103668249-32
NR4305--MA0089.1.MAFG::NFE2L1	chr14	87498403	87498408	-	0.000	0.000	Merged-chr14-87498346-23
NR3974--MA0659.1.MAFG	chr14	17414421	17414441	-	0.000	0.000	Merged-chr14-17414498-32
NR7898--MA0089.1.MAFG::NFE2L1	chr2	169398676	169398681	-	0.000	0.000	Merged-chr2-169398588-9
NR3968--MA0495.2.MAFF	chr14	17414421	17414441	-	0.000	0.000	Merged-chr14-17414498-32
