#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR9318--MA0523.1.TCF7L2	chr9	113792793	113792806	-	0.000	0.000	Merged-chr9-113792868-32
NR6150--MA0769.1.Tcf7	chr3	138715602	138715613	+	0.000	0.000	Merged-chr3-138715512-11
NR467--MA0769.1.Tcf7	chr1	134077746	134077757	-	0.000	0.000	Merged-chr1-134077877-43
NR8115--MA0523.1.TCF7L2	chr6	149183513	149183526	-	0.000	0.000	Merged-chr6-149183441-13
NR7432--MA0523.1.TCF7L2	chr5	134333001	134333014	-	0.000	0.000	Merged-chr5-134333065-45
NR2337--MA0769.1.Tcf7	chr13	55716357	55716368	+	0.000	0.000	Merged-chr13-55716427-16
NR457--MA1421.1.TCF7L1	chr1	131325033	131325044	-	0.000	0.000	Merged-chr1-131325042-10
NR3918--MA1421.1.TCF7L1	chr17	5010044	5010055	-	0.000	0.000	Merged-chr17-5010046-20
NR1333--MA0523.1.TCF7L2	chr10	111578772	111578785	+	0.000	0.000	Merged-chr10-111578564-64
NR1386--MA0769.1.Tcf7	chr10	120556375	120556386	-	0.000	0.000	Merged-chr10-120556279-62
NR7397--MA0523.1.TCF7L2	chr5	122288603	122288616	+	0.000	0.000	Merged-chr5-122288620-47
NR3522--MA1421.1.TCF7L1	chr15	96778434	96778445	+	0.000	0.000	Merged-chr15-96778537-47
NR1019--MA0769.1.Tcf7	chr10	50650808	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR4314--MA0523.1.TCF7L2	chr18	32598283	32598296	+	0.000	0.000	Merged-chr18-32598271-33
NR906--MA0769.1.Tcf7	chr10	25387446	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR8551--MA1421.1.TCF7L1	chr7	132356463	132356474	-	0.000	0.000	Merged-chr7-132356427-27
NR3463--MA0523.1.TCF7L2	chr15	80602678	80602691	-	0.000	0.000	Merged-chr15-80602759-36
NR214--MA0523.1.TCF7L2	chr1	66987861	66987874	-	0.000	0.000	Merged-chr1-66987794-41
NR1959--MA1421.1.TCF7L1	chr12	71868832	71868843	+	0.000	0.000	Merged-chr12-71868892-16
NR7370--MA0769.1.Tcf7	chr5	110274208	110274219	+	0.000	0.000	Merged-chr5-110274346-15
NR2780--MA0523.1.TCF7L2	chr14	21113014	21113027	-	0.000	0.000	Merged-chr14-21112934-51
NR5177--MA0769.1.Tcf7	chr2	104459121	104459132	+	0.000	0.000	Merged-chr2-104459041-25
NR4872--MA0523.1.TCF7L2	chr2	32181552	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR5989--MA0523.1.TCF7L2	chr3	108140837	108140850	+	0.000	0.000	Merged-chr3-108140871-48
NR7339--MA0769.1.Tcf7	chr5	100929944	100929955	-	0.000	0.000	Merged-chr5-100929891-31
NR9367--MA1421.1.TCF7L1	chrX	17521303	17521314	-	0.000	0.000	Merged-chrX-17521323-26
NR2393--MA0523.1.TCF7L2	chr13	73760318	73760331	+	0.000	0.000	Merged-chr13-73760332-14
NR7658--MA1421.1.TCF7L1	chr6	55256723	55256734	-	0.000	0.000	Merged-chr6-55256807-22
NR1960--MA0523.1.TCF7L2	chr12	71868832	71868845	+	0.000	0.000	Merged-chr12-71868892-16
NR1740--MA0769.1.Tcf7	chr12	3990030	3990041	-	0.000	0.000	Merged-chr12-3989980-1
NR8547--MA1421.1.TCF7L1	chr7	129774360	129774371	+	0.000	0.000	Merged-chr7-129774380-36
NR3680--MA1421.1.TCF7L1	chr16	35781247	35781258	-	0.000	0.000	Merged-chr16-35781109-15
NR7599--MA0523.1.TCF7L2	chr6	41113489	41113502	+	0.000	0.000	Merged-chr6-41113305-59
NR7908--MA1421.1.TCF7L1	chr6	114907589	114907600	+	0.000	0.000	Merged-chr6-114907699-38
NR3196--MA0523.1.TCF7L2	chr15	9533555	9533568	+	0.000	0.000	Merged-chr15-9533546-44
NR5288--MA0523.1.TCF7L2	chr2	132669431	132669444	+	0.000	0.000	Merged-chr2-132669439-31
NR6814--MA0523.1.TCF7L2	chr4	140601320	140601333	+	0.000	0.000	Merged-chr4-140601329-15
NR7477--MA1421.1.TCF7L1	chr5	150373128	150373139	+	0.000	0.000	Merged-chr5-150373139-22
NR2387--MA0769.1.Tcf7	chr13	69488208	69488219	-	0.000	0.000	Merged-chr13-69488029-32
NR7814--MA0769.1.Tcf7	chr6	94681555	94681566	+	0.000	0.000	Merged-chr6-94681460-83
NR8116--MA0769.1.Tcf7	chr6	149183515	149183526	-	0.000	0.000	Merged-chr6-149183441-13
NR9452--MA0769.1.Tcf7	chrX	100789554	100789565	-	0.000	0.000	Merged-chrX-100789555-32
NR9282--MA0523.1.TCF7L2	chr9	98616551	98616564	+	0.000	0.000	Merged-chr9-98616546-17
NR1053--MA0523.1.TCF7L2	chr10	56106919	56106932	+	0.000	0.000	Merged-chr10-56106955-57
NR6093--MA0769.1.Tcf7	chr3	131190859	131190870	-	0.000	0.000	Merged-chr3-131190965-19
NR7933--MA1421.1.TCF7L1	chr6	119749241	119749252	+	0.000	0.000	Merged-chr6-119749325-22
NR3183--MA0523.1.TCF7L2	chr15	6726748	6726761	-	0.000	0.000	Merged-chr15-6726597-28
NR3137--MA0769.1.Tcf7	chr14	120373007	120373018	-	0.000	0.000	Merged-chr14-120372978-21
NR6872--MA0769.1.Tcf7	chr4	149854387	149854398	-	0.000	0.000	Merged-chr4-149854542-67
NR2869--MA1421.1.TCF7L1	chr14	54179074	54179085	+	0.000	0.000	Merged-chr14-54179182-19
NR1737--MA0523.1.TCF7L2	chr12	3990035	3990048	+	0.000	0.000	Merged-chr12-3989980-1
NR8256--MA0523.1.TCF7L2	chr7	45695248	45695261	+	0.000	0.000	Merged-chr7-45695271-16
NR616--MA0769.1.Tcf7	chr1	161480192	161480203	-	0.000	0.000	Merged-chr1-161480099-19
NR2750--MA0523.1.TCF7L2	chr14	15273331	15273344	-	0.000	0.000	Merged-chr14-15273135-43
NR8264--MA0769.1.Tcf7	chr7	49421423	49421434	-	0.000	0.000	Merged-chr7-49421353-29
NR742--MA0523.1.TCF7L2	chr1	189602526	189602539	+	0.000	0.000	Merged-chr1-189602384-14
NR5959--MA0523.1.TCF7L2	chr3	100582931	100582944	-	0.000	0.000	Merged-chr3-100582913-18
NR5102--MA0769.1.Tcf7	chr2	83828043	83828054	+	0.000	0.000	Merged-chr2-83828033-13
NR8090--MA1421.1.TCF7L1	chr6	144953040	144953051	-	0.000	0.000	Merged-chr6-144953133-29
NR2871--MA0769.1.Tcf7	chr14	54179074	54179085	+	0.000	0.000	Merged-chr14-54179182-19
NR7861--MA0523.1.TCF7L2	chr6	103309162	103309175	+	0.000	0.000	Merged-chr6-103309092-13
NR1432--MA0769.1.Tcf7	chr11	3345068	3345079	-	0.000	0.000	Merged-chr11-3345059-26
NR9118--MA1421.1.TCF7L1	chr9	61013359	61013370	-	0.000	0.000	Merged-chr9-61013238-65
NR9132--MA0523.1.TCF7L2	chr9	63749481	63749494	+	0.000	0.000	Merged-chr9-63749415-13
NR9126--MA0769.1.Tcf7	chr9	61720239	61720250	+	0.000	0.000	Merged-chr9-61720309-20
NR2634--MA0769.1.Tcf7	chr13	114076219	114076230	+	0.000	0.000	Merged-chr13-114076115-29
NR6198--MA0523.1.TCF7L2	chr3	146127535	146127548	+	0.000	0.000	Merged-chr3-146127552-12
NR3900--MA1421.1.TCF7L1	chr16	92980118	92980129	+	0.000	0.000	Merged-chr16-92980163-22
NR5331--MA0523.1.TCF7L2	chr2	139925146	139925159	+	0.000	0.000	Merged-chr2-139925145-30
NR2527--MA0523.1.TCF7L2	chr13	100806006	100806019	-	0.000	0.000	Merged-chr13-100805989-18
NR9143--MA1421.1.TCF7L1	chr9	66492614	66492625	-	0.000	0.000	Merged-chr9-66492510-30
NR3742--MA0769.1.Tcf7	chr16	49943813	49943824	+	0.000	0.000	Merged-chr16-49943826-20
NR8972--MA0769.1.Tcf7	chr8	128165809	128165820	+	0.000	0.000	Merged-chr8-128165876-22
NR5245--MA0523.1.TCF7L2	chr2	118008229	118008242	+	0.000	0.000	Merged-chr2-118008176-29
NR5246--MA0769.1.Tcf7	chr2	118008229	118008240	+	0.000	0.000	Merged-chr2-118008176-29
NR5174--MA1421.1.TCF7L1	chr2	103668301	103668312	-	0.000	0.000	Merged-chr2-103668249-32
NR1592--MA1421.1.TCF7L1	chr11	63146802	63146813	-	0.000	0.000	Merged-chr11-63146790-18
NR9115--MA0523.1.TCF7L2	chr9	56325876	56325889	+	0.000	0.000	Merged-chr9-56325915-29
NR3633--MA1421.1.TCF7L1	chr16	20480325	20480336	-	0.000	0.000	Merged-chr16-20480311-19
NR6570--MA1421.1.TCF7L1	chr4	71291707	71291718	-	0.000	0.000	Merged-chr4-71291736-94
NR325--MA0523.1.TCF7L2	chr1	92122968	92122981	-	0.000	0.000	Merged-chr1-92122947-14
NR9297--MA0769.1.Tcf7	chr9	105485231	105485242	-	0.000	0.000	Merged-chr9-105485406-20
NR4631--MA0523.1.TCF7L2	chr19	10777031	10777044	+	0.000	0.000	Merged-chr19-10777211-32
NR6699--MA0769.1.Tcf7	chr4	101217307	101217318	+	0.000	0.000	Merged-chr4-101217167-64
NR3523--MA0523.1.TCF7L2	chr15	96778434	96778447	+	0.000	0.000	Merged-chr15-96778537-47
NR9500--MA1421.1.TCF7L1	chrX	153375286	153375297	-	0.000	0.000	Merged-chrX-153375365-26
NR6914--MA0769.1.Tcf7	chr5	8075556	8075567	-	0.000	0.000	Merged-chr5-8075370-38
NR312--MA0523.1.TCF7L2	chr1	88475655	88475668	+	0.000	0.000	Merged-chr1-88475619-20
NR2344--MA1421.1.TCF7L1	chr13	59696013	59696024	+	0.000	0.000	Merged-chr13-59695978-11
NR1599--MA0769.1.Tcf7	chr11	67010559	67010570	+	0.000	0.000	Merged-chr11-67010576-15
NR7842--MA1421.1.TCF7L1	chr6	99498284	99498295	-	0.000	0.000	Merged-chr6-99498294-17
NR4412--MA0769.1.Tcf7	chr18	55107226	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR5954--MA0769.1.Tcf7	chr3	97274117	97274128	+	0.000	0.000	Merged-chr3-97274158-19
NR3136--MA0523.1.TCF7L2	chr14	120373005	120373018	-	0.000	0.000	Merged-chr14-120372978-21
NR5000--MA0523.1.TCF7L2	chr2	59469814	59469827	-	0.000	0.000	Merged-chr2-59469655-1
NR784--MA0523.1.TCF7L2	chr10	6954707	6954720	-	0.000	0.000	Merged-chr10-6954726-16
NR6347--MA1421.1.TCF7L1	chr4	11143326	11143337	+	0.000	0.000	Merged-chr4-11143309-7
NR9304--MA0523.1.TCF7L2	chr9	107719347	107719360	-	0.000	0.000	Merged-chr9-107719377-27
NR8946--MA1421.1.TCF7L1	chr8	123404748	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR7192--MA1421.1.TCF7L1	chr5	64764617	64764628	+	0.000	0.000	Merged-chr5-64764597-23
NR1958--MA1421.1.TCF7L1	chr12	71868807	71868818	-	0.000	0.000	Merged-chr12-71868892-16
NR6816--MA0769.1.Tcf7	chr4	140601357	140601368	-	0.000	0.000	Merged-chr4-140601329-15
NR698--MA0523.1.TCF7L2	chr1	179240800	179240813	+	0.000	0.000	Merged-chr1-179240877-38
NR8360--MA0769.1.Tcf7	chr7	76229078	76229089	-	0.000	0.000	Merged-chr7-76229137-51
NR3763--MA0523.1.TCF7L2	chr16	57319958	57319971	+	0.000	0.000	Merged-chr16-57319907-20
NR8190--MA0523.1.TCF7L2	chr7	25576078	25576091	-	0.000	0.000	Merged-chr7-25575910-1
NR5952--MA1421.1.TCF7L1	chr3	97274117	97274128	+	0.000	0.000	Merged-chr3-97274158-19
NR5291--MA0523.1.TCF7L2	chr2	132691812	132691825	+	0.000	0.000	Merged-chr2-132691913-20
NR1246--MA0523.1.TCF7L2	chr10	96691169	96691182	-	0.000	0.000	Merged-chr10-96691005-66
NR5404--MA0769.1.Tcf7	chr2	153325731	153325742	+	0.000	0.000	Merged-chr2-153325949-22
NR6744--MA0523.1.TCF7L2	chr4	109854843	109854856	-	0.000	0.000	Merged-chr4-109854829-14
NR8874--MA0523.1.TCF7L2	chr8	95247524	95247537	+	0.000	0.000	Merged-chr8-95247520-25
NR9424--MA0523.1.TCF7L2	chrX	75587892	75587905	+	0.000	0.000	Merged-chrX-75587867-43
NR4457--MA1421.1.TCF7L1	chr18	61188290	61188301	-	0.000	0.000	Merged-chr18-61188282-36
NR5771--MA1421.1.TCF7L1	chr3	55660081	55660092	+	0.000	0.000	Merged-chr3-55660012-44
NR3157--MA0523.1.TCF7L2	chr14	122902341	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR563--MA1421.1.TCF7L1	chr1	151973287	151973298	-	0.000	0.000	Merged-chr1-151973357-25
NR6069--MA0769.1.Tcf7	chr3	126589697	126589708	+	0.000	0.000	Merged-chr3-126589665-27
NR6521--MA0769.1.Tcf7	chr4	58236061	58236072	-	0.000	0.000	Merged-chr4-58236026-17
NR1618--MA0769.1.Tcf7	chr11	75282809	75282820	+	0.000	0.000	Merged-chr11-75282753-54
NR138--MA1421.1.TCF7L1	chr1	43403604	43403615	-	0.000	0.000	Merged-chr1-43403565-20
NR1739--MA0769.1.Tcf7	chr12	3990035	3990046	+	0.000	0.000	Merged-chr12-3989980-1
NR3593--MA1421.1.TCF7L1	chr16	8455243	8455254	+	0.000	0.000	Merged-chr16-8455328-28
NR9281--MA0523.1.TCF7L2	chr9	98395789	98395802	+	0.000	0.000	Merged-chr9-98395793-5
NR6081--MA0523.1.TCF7L2	chr3	129545375	129545388	-	0.000	0.000	Merged-chr3-129545403-15
NR4458--MA0769.1.Tcf7	chr18	61188290	61188301	-	0.000	0.000	Merged-chr18-61188282-36
NR3182--MA0523.1.TCF7L2	chr15	6613077	6613090	-	0.000	0.000	Merged-chr15-6612978-36
NR1869--MA0769.1.Tcf7	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR933--MA1421.1.TCF7L1	chr10	30627893	30627904	-	0.000	0.000	Merged-chr10-30627801-15
NR8821--MA1421.1.TCF7L1	chr8	81492064	81492075	-	0.000	0.000	Merged-chr8-81491835-29
NR3901--MA0523.1.TCF7L2	chr16	92980118	92980131	+	0.000	0.000	Merged-chr16-92980163-22
NR597--MA1421.1.TCF7L1	chr1	156901812	156901823	+	0.000	0.000	Merged-chr1-156901975-24
NR2516--MA1421.1.TCF7L1	chr13	97439971	97439982	+	0.000	0.000	Merged-chr13-97439792-27
NR3158--MA0769.1.Tcf7	chr14	122902343	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR2457--MA0523.1.TCF7L2	chr13	83566289	83566302	-	0.000	0.000	Merged-chr13-83566220-57
NR7391--MA0523.1.TCF7L2	chr5	119348498	119348511	+	0.000	0.000	Merged-chr5-119348448-39
NR8961--MA0769.1.Tcf7	chr8	126687068	126687079	+	0.000	0.000	Merged-chr8-126687126-29
NR3514--MA0523.1.TCF7L2	chr15	95826801	95826814	-	0.000	0.000	Merged-chr15-95826706-34
NR2988--MA1421.1.TCF7L1	chr14	87506159	87506170	+	0.000	0.000	Merged-chr14-87506174-23
NR5123--MA0769.1.Tcf7	chr2	84837996	84838007	-	0.000	0.000	Merged-chr2-84838147-43
NR6776--MA1421.1.TCF7L1	chr4	123416330	123416341	-	0.000	0.000	Merged-chr4-123416422-1
NR9323--MA1421.1.TCF7L1	chr9	116187525	116187536	-	0.000	0.000	Merged-chr9-116187633-9
NR8715--MA0769.1.Tcf7	chr8	36028577	36028588	-	0.000	0.000	Merged-chr8-36028490-56
NR7904--MA0523.1.TCF7L2	chr6	114445243	114445256	+	0.000	0.000	Merged-chr6-114445139-32
NR2010--MA0523.1.TCF7L2	chr12	88471970	88471983	-	0.000	0.000	Merged-chr12-88472096-45
NR6428--MA0769.1.Tcf7	chr4	32560452	32560463	-	0.000	0.000	Merged-chr4-32560610-21
NR905--MA0523.1.TCF7L2	chr10	25387444	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR8625--MA0523.1.TCF7L2	chr8	15018975	15018988	-	0.000	0.000	Merged-chr8-15019042-1
NR8948--MA0769.1.Tcf7	chr8	123404748	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR1593--MA0523.1.TCF7L2	chr11	63146800	63146813	-	0.000	0.000	Merged-chr11-63146790-18
NR1241--MA0523.1.TCF7L2	chr10	96201432	96201445	+	0.000	0.000	Merged-chr10-96201472-66
NR2650--MA0523.1.TCF7L2	chr13	117023563	117023576	+	0.000	0.000	Merged-chr13-117023549-1
NR108--MA1421.1.TCF7L1	chr1	34831577	34831588	+	0.000	0.000	Merged-chr1-34831505-37
NR1675--MA0523.1.TCF7L2	chr11	99116123	99116136	-	0.000	0.000	Merged-chr11-99116157-23
NR9268--MA0769.1.Tcf7	chr9	96696538	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR8796--MA0523.1.TCF7L2	chr8	70160264	70160277	-	0.000	0.000	Merged-chr8-70160118-32
NR2659--MA0523.1.TCF7L2	chr13	119472026	119472039	-	0.000	0.000	Merged-chr13-119472102-16
NR7433--MA0769.1.Tcf7	chr5	134333003	134333014	-	0.000	0.000	Merged-chr5-134333065-45
NR6712--MA1421.1.TCF7L1	chr4	103007251	103007262	+	0.000	0.000	Merged-chr4-103007088-44
NR5916--MA0769.1.Tcf7	chr3	84770772	84770783	-	0.000	0.000	Merged-chr3-84770670-24
NR5905--MA1421.1.TCF7L1	chr3	81489543	81489554	-	0.000	0.000	Merged-chr3-81489616-14
NR3152--MA0523.1.TCF7L2	chr14	122026057	122026070	+	0.000	0.000	Merged-chr14-122026050-14
NR4957--MA0523.1.TCF7L2	chr2	52310864	52310877	+	0.000	0.000	Merged-chr2-52310809-21
NR2697--MA0523.1.TCF7L2	chr14	10146586	10146599	+	0.000	0.000	Merged-chr14-10146570-14
NR2794--MA1421.1.TCF7L1	chr14	31414454	31414465	+	0.000	0.000	Merged-chr14-31414405-2
NR4741--MA0769.1.Tcf7	chr2	6622363	6622374	-	0.000	0.000	Merged-chr2-6622331-33
