#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1446--MA0508.2.PRDM1	chr4	48012445	48012454	+	0.000	0.000	Merged-chr4-48012358-52
NR870--MA0508.2.PRDM1	chr16	52147413	52147422	+	0.000	0.000	Merged-chr16-52147489-52
NR1393--MA0508.2.PRDM1	chr3	142243504	142243513	+	0.000	0.000	Merged-chr3-142243538-27
NR902--MA0508.2.PRDM1	chr17	5747919	5747928	+	0.000	0.000	Merged-chr17-5748141-46
NR1154--MA0508.2.PRDM1	chr2	48328422	48328431	+	0.000	0.000	Merged-chr2-48328415-44
NR1003--MA0508.2.PRDM1	chr18	41979577	41979586	-	0.000	0.000	Merged-chr18-41979653-39
NR1016--MA0508.2.PRDM1	chr18	61614597	61614606	+	0.000	0.000	Merged-chr18-61614590-32
NR1723--MA0508.2.PRDM1	chr6	82775583	82775592	+	0.000	0.000	Merged-chr6-82775550-35
NR70--MA0508.2.PRDM1	chr1	106866849	106866858	-	0.000	0.000	Merged-chr1-106866899-32
NR1356--MA0508.2.PRDM1	chr3	108124505	108124514	-	0.000	0.000	Merged-chr3-108124378-33
NR83--MA0508.2.PRDM1	chr1	136398254	136398263	+	0.000	0.000	Merged-chr1-136398256-13
NR955--MA0508.2.PRDM1	chr17	65741428	65741437	+	0.000	0.000	Merged-chr17-65741371-24
NR1566--MA0508.2.PRDM1	chr5	28269860	28269869	-	0.000	0.000	Merged-chr5-28269924-54
NR860--MA0508.2.PRDM1	chr16	37094555	37094564	-	0.000	0.000	Merged-chr16-37094405-73
NR2100--MA0508.2.PRDM1	chr9	66142400	66142409	-	0.000	0.000	Merged-chr9-66142492-15
NR350--MA0508.2.PRDM1	chr11	26586812	26586821	+	0.000	0.000	Merged-chr11-26586855-34
NR1287--MA0508.2.PRDM1	chr3	18243930	18243939	-	0.000	0.000	Merged-chr3-18243680-52
NR1144--MA0508.2.PRDM1	chr2	29666852	29666861	+	0.000	0.000	Merged-chr2-29666836-9
NR1789--MA0508.2.PRDM1	chr6	134282187	134282196	-	0.000	0.000	Merged-chr6-134282243-30
NR212--MA0508.2.PRDM1	chr10	21354033	21354042	+	0.000	0.000	Merged-chr10-21353968-32
NR464--MA0508.2.PRDM1	chr12	69102090	69102099	-	0.000	0.000	Merged-chr12-69102156-32
NR844--MA0508.2.PRDM1	chr16	25250333	25250342	+	0.000	0.000	Merged-chr16-25250353-21
NR1367--MA0508.2.PRDM1	chr3	121495151	121495160	-	0.000	0.000	Merged-chr3-121495033-1
NR586--MA0508.2.PRDM1	chr13	51391728	51391737	-	0.000	0.000	Merged-chr13-51391583-19
NR578--MA0508.2.PRDM1	chr13	36369657	36369666	+	0.000	0.000	Merged-chr13-36369600-5
NR6--MA0508.2.PRDM1	chr1	20259210	20259219	-	0.000	0.000	Merged-chr1-20259129-7
NR252--MA0508.2.PRDM1	chr10	68239161	68239170	+	0.000	0.000	Merged-chr10-68239369-73
NR122--MA0508.2.PRDM1	chr1	162094529	162094538	-	0.000	0.000	Merged-chr1-162094499-16
NR1602--MA0508.2.PRDM1	chr5	92327576	92327585	-	0.000	0.000	Merged-chr5-92327493-24
NR119--MA0508.2.PRDM1	chr1	161671161	161671170	-	0.000	0.000	Merged-chr1-161671075-50
NR2164--MA0508.2.PRDM1	chr9	122398941	122398950	-	0.000	0.000	Merged-chr9-122399009-31
NR1780--MA0508.2.PRDM1	chr6	128771217	128771226	-	0.000	0.000	Merged-chr6-128771124-9
NR1411--MA0508.2.PRDM1	chr3	152149629	152149638	-	0.000	0.000	Merged-chr3-152149620-22
NR1424--MA0508.2.PRDM1	chr4	6970510	6970519	-	0.000	0.000	Merged-chr4-6970666-38
NR1764--MA0508.2.PRDM1	chr6	120486940	120486949	-	0.000	0.000	Merged-chr6-120486966-2
NR1350--MA0508.2.PRDM1	chr3	105133336	105133345	+	0.000	0.000	Merged-chr3-105133189-20
NR1600--MA0508.2.PRDM1	chr5	91278632	91278641	-	0.000	0.000	Merged-chr5-91278708-28
NR1180--MA0508.2.PRDM1	chr2	79698303	79698312	+	0.000	0.000	Merged-chr2-79698404-21
NR1722--MA0508.2.PRDM1	chr6	82402619	82402628	+	0.000	0.000	Merged-chr6-82402722-33
NR1246--MA0508.2.PRDM1	chr2	150578693	150578702	+	0.000	0.000	Merged-chr2-150578789-44
NR941--MA0508.2.PRDM1	chr17	45703412	45703421	+	0.000	0.000	Merged-chr17-45703436-19
NR1560--MA0508.2.PRDM1	chr5	21370728	21370737	+	0.000	0.000	Merged-chr5-21370599-51
NR1836--MA0508.2.PRDM1	chr6	148436576	148436585	-	0.000	0.000	Merged-chr6-148436541-68
NR1945--MA0508.2.PRDM1	chr7	125511482	125511491	-	0.000	0.000	Merged-chr7-125511628-40
NR1260--MA0508.2.PRDM1	chr2	158160064	158160073	+	0.000	0.000	Merged-chr2-158160127-37
NR87--MA0508.2.PRDM1	chr1	136898369	136898378	-	0.000	0.000	Merged-chr1-136898317-25
NR1021--MA0508.2.PRDM1	chr18	67255672	67255681	-	0.000	0.000	Merged-chr18-67255745-40
NR53--MA0508.2.PRDM1	chr1	87406295	87406304	-	0.000	0.000	Merged-chr1-87406303-16
NR1796--MA0508.2.PRDM1	chr6	136683929	136683938	+	0.000	0.000	Merged-chr6-136683885-26
NR1286--MA0508.2.PRDM1	chr3	18243924	18243933	-	0.000	0.000	Merged-chr3-18243680-52
NR1828--MA0508.2.PRDM1	chr6	145993207	145993216	-	0.000	0.000	Merged-chr6-145993129-56
NR1299--MA0508.2.PRDM1	chr3	37272776	37272785	+	0.000	0.000	Merged-chr3-37272616-19
NR1788--MA0508.2.PRDM1	chr6	134276996	134277005	-	0.000	0.000	Merged-chr6-134277112-6
NR1257--MA0508.2.PRDM1	chr2	157746757	157746766	-	0.000	0.000	Merged-chr2-157746803-36
NR1223--MA0508.2.PRDM1	chr2	128367941	128367950	-	0.000	0.000	Merged-chr2-128367839-63
NR1889--MA0508.2.PRDM1	chr7	75910532	75910541	-	0.000	0.000	Merged-chr7-75910458-70
NR93--MA0508.2.PRDM1	chr1	138952323	138952332	+	0.000	0.000	Merged-chr1-138952405-35
NR29--MA0508.2.PRDM1	chr1	60017118	60017127	-	0.000	0.000	Merged-chr1-60017133-4
NR150--MA0508.2.PRDM1	chr1	178182371	178182380	-	0.000	0.000	Merged-chr1-178182458-49
NR1106--MA0508.2.PRDM1	chr19	53900127	53900136	-	0.000	0.000	Merged-chr19-53900039-75
NR782--MA0508.2.PRDM1	chr15	59707894	59707903	+	0.000	0.000	Merged-chr15-59707926-13
NR577--MA0508.2.PRDM1	chr13	36366500	36366509	-	0.000	0.000	Merged-chr13-36366469-31
NR957--MA0508.2.PRDM1	chr17	70729085	70729094	+	0.000	0.000	Merged-chr17-70729015-28
NR795--MA0508.2.PRDM1	chr15	74667720	74667729	+	0.000	0.000	Merged-chr15-74667710-27
NR652--MA0508.2.PRDM1	chr13	112447339	112447348	-	0.000	0.000	Merged-chr13-112447320-26
NR447--MA0508.2.PRDM1	chr12	17507439	17507448	-	0.000	0.000	Merged-chr12-17507357-35
NR761--MA0508.2.PRDM1	chr15	25227789	25227798	-	0.000	0.000	Merged-chr15-25227857-36
NR1175--MA0508.2.PRDM1	chr2	75148070	75148079	-	0.000	0.000	Merged-chr2-75148078-33
NR569--MA0508.2.PRDM1	chr13	29756250	29756259	-	0.000	0.000	Merged-chr13-29756237-14
NR121--MA0508.2.PRDM1	chr1	161735016	161735025	+	0.000	0.000	Merged-chr1-161734917-117
NR147--MA0508.2.PRDM1	chr1	177338777	177338786	+	0.000	0.000	Merged-chr1-177338915-41
NR113--MA0508.2.PRDM1	chr1	156206230	156206239	+	0.000	0.000	Merged-chr1-156206326-26
NR779--MA0508.2.PRDM1	chr15	50751408	50751417	-	0.000	0.000	Merged-chr15-50751217-20
NR636--MA0508.2.PRDM1	chr13	106691942	106691951	-	0.000	0.000	Merged-chr13-106691961-50
NR2062--MA0508.2.PRDM1	chr9	25430014	25430023	-	0.000	0.000	Merged-chr9-25429934-32
NR583--MA0508.2.PRDM1	chr13	43436074	43436083	+	0.000	0.000	Merged-chr13-43436258-16
NR378--MA0508.2.PRDM1	chr11	71230842	71230851	-	0.000	0.000	Merged-chr11-71230864-28
NR649--MA0508.2.PRDM1	chr13	111656019	111656028	+	0.000	0.000	Merged-chr13-111655949-74
NR1710--MA0508.2.PRDM1	chr6	61271291	61271300	+	0.000	0.000	Merged-chr6-61271177-5
NR227--MA0508.2.PRDM1	chr10	43532672	43532681	+	0.000	0.000	Merged-chr10-43532719-12
NR1431--MA0508.2.PRDM1	chr4	14882162	14882171	+	0.000	0.000	Merged-chr4-14882054-55
NR349--MA0508.2.PRDM1	chr11	26586728	26586737	+	0.000	0.000	Merged-chr11-26586855-34
NR1920--MA0508.2.PRDM1	chr7	104400874	104400883	-	0.000	0.000	Merged-chr7-104400949-29
NR2059--MA0508.2.PRDM1	chr9	15060194	15060203	-	0.000	0.000	Merged-chr9-15060271-40
NR1946--MA0508.2.PRDM1	chr7	125511557	125511566	-	0.000	0.000	Merged-chr7-125511628-40
NR145--MA0508.2.PRDM1	chr1	176939833	176939842	-	0.000	0.000	Merged-chr1-176939939-16
NR416--MA0508.2.PRDM1	chr11	100921394	100921403	+	0.000	0.000	Merged-chr11-100921492-18
NR1750--MA0508.2.PRDM1	chr6	107749026	107749035	-	0.000	0.000	Merged-chr6-107749008-33
NR1925--MA0508.2.PRDM1	chr7	107664528	107664537	+	0.000	0.000	Merged-chr7-107664561-57
NR1763--MA0508.2.PRDM1	chr6	120486842	120486851	-	0.000	0.000	Merged-chr6-120486966-2
NR1851--MA0508.2.PRDM1	chr7	28423100	28423109	-	0.000	0.000	Merged-chr7-28423189-12
NR2118--MA0508.2.PRDM1	chr9	80819276	80819285	-	0.000	0.000	Merged-chr9-80819214-23
NR940--MA0508.2.PRDM1	chr17	45703389	45703398	-	0.000	0.000	Merged-chr17-45703436-19
NR1320--MA0508.2.PRDM1	chr3	78890037	78890046	-	0.000	0.000	Merged-chr3-78890015-28
NR1909--MA0508.2.PRDM1	chr7	96818644	96818653	-	0.000	0.000	Merged-chr7-96818578-56
NR2206--MA0508.2.PRDM1	chrX	159447268	159447277	+	0.000	0.000	Merged-chrX-159447377-17
NR1856--MA0508.2.PRDM1	chr7	35742521	35742530	+	0.000	0.000	Merged-chr7-35742502-39
NR2057--MA0508.2.PRDM1	chr9	14248385	14248394	+	0.000	0.000	Merged-chr9-14248366-20
NR1081--MA0508.2.PRDM1	chr19	31321967	31321976	-	0.000	0.000	Merged-chr19-31321995-11
NR842--MA0508.2.PRDM1	chr16	24840133	24840142	-	0.000	0.000	Merged-chr16-24840158-23
NR1474--MA0508.2.PRDM1	chr4	92942503	92942512	-	0.000	0.000	Merged-chr4-92942379-25
