#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1753--MA0768.1.LEF1	chr3	55660081	55660095	+	0.000	0.000	Merged-chr3-55660012-44
NR2946--MA0768.1.LEF1	chrY	11858125	11858139	-	0.000	0.000	Merged-chrY-11858126-43
NR969--MA0768.1.LEF1	chr15	18952128	18952142	+	0.000	0.000	Merged-chr15-18951851-25
NR1561--MA0768.1.LEF1	chr2	102044477	102044491	+	0.000	0.000	Merged-chr2-102044515-18
NR2763--MA0768.1.LEF1	chr8	123404745	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR204--MA0768.1.LEF1	chr1	165063212	165063226	+	0.000	0.000	Merged-chr1-165063084-17
NR93--MA0768.1.LEF1	chr1	82443948	82443962	+	0.000	0.000	Merged-chr1-82443829-28
NR1061--MA0768.1.LEF1	chr15	95826800	95826814	-	0.000	0.000	Merged-chr15-95826706-34
NR487--MA0768.1.LEF1	chr11	70265485	70265499	-	0.000	0.000	Merged-chr11-70265494-15
NR814--MA0768.1.LEF1	chr14	8608659	8608673	+	0.000	0.000	Merged-chr14-8608793-20
NR2147--MA0768.1.LEF1	chr5	20087380	20087394	-	0.000	0.000	Merged-chr5-20087381-40
NR850--MA0768.1.LEF1	chr14	31414851	31414865	-	0.000	0.000	Merged-chr14-31414970-54
NR2183--MA0768.1.LEF1	chr5	52609941	52609955	+	0.000	0.000	Merged-chr5-52609918-24
NR770--MA0768.1.LEF1	chr13	97439971	97439985	+	0.000	0.000	Merged-chr13-97439792-27
NR1667--MA0768.1.LEF1	chr2	173444378	173444392	+	0.000	0.000	Merged-chr2-173444560-32
NR686--MA0768.1.LEF1	chr13	34914825	34914839	-	0.000	0.000	Merged-chr13-34914852-26
NR2234--MA0768.1.LEF1	chr5	97090319	97090333	+	0.000	0.000	Merged-chr5-97090318-20
NR2355--MA0768.1.LEF1	chr6	65818502	65818516	-	0.000	0.000	Merged-chr6-65818480-32
NR248--MA0768.1.LEF1	chr10	6954706	6954720	-	0.000	0.000	Merged-chr10-6954726-16
NR1884--MA0768.1.LEF1	chr3	146127535	146127549	+	0.000	0.000	Merged-chr3-146127552-12
NR1656--MA0768.1.LEF1	chr2	168575212	168575226	-	0.000	0.000	Merged-chr2-168575169-53
NR1795--MA0768.1.LEF1	chr3	84686933	84686947	-	0.000	0.000	Merged-chr3-84686985-16
NR2554--MA0768.1.LEF1	chr7	67353793	67353807	+	0.000	0.000	Merged-chr7-67353683-35
NR2684--MA0768.1.LEF1	chr8	34817927	34817941	-	0.000	0.000	Merged-chr8-34817852-8
NR1138--MA0768.1.LEF1	chr16	57319958	57319972	+	0.000	0.000	Merged-chr16-57319907-20
NR1841--MA0768.1.LEF1	chr3	126589697	126589711	+	0.000	0.000	Merged-chr3-126589665-27
NR600--MA0768.1.LEF1	chr12	83929662	83929676	+	0.000	0.000	Merged-chr12-83929616-29
NR157--MA0768.1.LEF1	chr1	136618922	136618936	+	0.000	0.000	Merged-chr1-136618798-23
NR2815--MA0768.1.LEF1	chr9	61720239	61720253	+	0.000	0.000	Merged-chr9-61720309-20
NR507--MA0768.1.LEF1	chr11	113206337	113206351	+	0.000	0.000	Merged-chr11-113206318-17
NR310--MA0768.1.LEF1	chr10	37606049	37606063	-	0.000	0.000	Merged-chr10-37606063-23
NR2628--MA0768.1.LEF1	chr7	129774360	129774374	+	0.000	0.000	Merged-chr7-129774380-36
NR1668--MA0768.1.LEF1	chr2	174612772	174612786	-	0.000	0.000	Merged-chr2-174612913-27
NR324--MA0768.1.LEF1	chr10	50650805	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR383--MA0768.1.LEF1	chr10	96955143	96955157	+	0.000	0.000	Merged-chr10-96955164-15
NR2253--MA0768.1.LEF1	chr5	118678776	118678790	-	0.000	0.000	Merged-chr5-118678760-15
NR137--MA0768.1.LEF1	chr1	119636962	119636976	+	0.000	0.000	Merged-chr1-119636990-21
NR2271--MA0768.1.LEF1	chr5	142891541	142891555	-	0.000	0.000	Merged-chr5-142891617-16
NR1047--MA0768.1.LEF1	chr15	85042789	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR2155--MA0768.1.LEF1	chr5	24344609	24344623	+	0.000	0.000	Merged-chr5-24344705-18
NR1083--MA0768.1.LEF1	chr16	8455243	8455257	+	0.000	0.000	Merged-chr16-8455328-28
NR836--MA0768.1.LEF1	chr14	15273330	15273344	-	0.000	0.000	Merged-chr14-15273135-43
NR299--MA0768.1.LEF1	chr10	30627890	30627904	-	0.000	0.000	Merged-chr10-30627801-15
NR1447--MA0768.1.LEF1	chr2	6622256	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR1353--MA0768.1.LEF1	chr18	57362756	57362770	-	0.000	0.000	Merged-chr18-57362721-19
NR1125--MA0768.1.LEF1	chr16	48745639	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR1806--MA0768.1.LEF1	chr3	101066412	101066426	-	0.000	0.000	Merged-chr3-101066330-34
NR2247--MA0768.1.LEF1	chr5	110274208	110274222	+	0.000	0.000	Merged-chr5-110274346-15
NR1842--MA0768.1.LEF1	chr3	126589727	126589741	+	0.000	0.000	Merged-chr3-126589665-27
NR1883--MA0768.1.LEF1	chr3	146127483	146127497	+	0.000	0.000	Merged-chr3-146127552-12
NR2082--MA0768.1.LEF1	chr4	140601320	140601334	+	0.000	0.000	Merged-chr4-140601329-15
NR508--MA0768.1.LEF1	chr11	113206356	113206370	+	0.000	0.000	Merged-chr11-113206318-17
NR1879--MA0768.1.LEF1	chr3	144232067	144232081	-	0.000	0.000	Merged-chr3-144232172-58
NR1230--MA0768.1.LEF1	chr17	34305136	34305150	-	0.000	0.000	Merged-chr17-34305077-21
NR446--MA0768.1.LEF1	chr11	11498083	11498097	-	0.000	0.000	Merged-chr11-11498094-24
NR1459--MA0768.1.LEF1	chr2	13132648	13132662	-	0.000	0.000	Merged-chr2-13132891-60
NR473--MA0768.1.LEF1	chr11	52346203	52346217	+	0.000	0.000	Merged-chr11-52346075-2
NR1294--MA0768.1.LEF1	chr18	10154685	10154699	+	0.000	0.000	Merged-chr18-10154788-16
NR2026--MA0768.1.LEF1	chr4	86683546	86683560	-	0.000	0.000	Merged-chr4-86683553-15
NR1336--MA0768.1.LEF1	chr18	42585879	42585893	+	0.000	0.000	Merged-chr18-42585822-14
NR1448--MA0768.1.LEF1	chr2	6622360	6622374	-	0.000	0.000	Merged-chr2-6622331-33
NR1811--MA0768.1.LEF1	chr3	103641497	103641511	+	0.000	0.000	Merged-chr3-103641510-13
NR2821--MA0768.1.LEF1	chr9	70584831	70584845	+	0.000	0.000	Merged-chr9-70584670-22
NR293--MA0768.1.LEF1	chr10	25387443	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR947--MA0768.1.LEF1	chr14	120373004	120373018	-	0.000	0.000	Merged-chr14-120372978-21
NR2298--MA0768.1.LEF1	chr6	17932049	17932063	-	0.000	0.000	Merged-chr6-17932110-11
NR2083--MA0768.1.LEF1	chr4	140601354	140601368	-	0.000	0.000	Merged-chr4-140601329-15
NR67--MA0768.1.LEF1	chr1	66987860	66987874	-	0.000	0.000	Merged-chr1-66987794-41
NR1393--MA0768.1.LEF1	chr18	79297906	79297920	+	0.000	0.000	Merged-chr18-79298014-36
NR922--MA0768.1.LEF1	chr14	103017268	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR1971--MA0768.1.LEF1	chr4	34429185	34429199	+	0.000	0.000	Merged-chr4-34429163-2
NR1837--MA0768.1.LEF1	chr3	123084116	123084130	-	0.000	0.000	Merged-chr3-123084162-14
NR2600--MA0768.1.LEF1	chr7	99795607	99795621	-	0.000	0.000	Merged-chr7-99795499-24
NR954--MA0768.1.LEF1	chr14	122902340	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR1752--MA0768.1.LEF1	chr3	55660069	55660083	+	0.000	0.000	Merged-chr3-55660012-44
NR2717--MA0768.1.LEF1	chr8	70160263	70160277	-	0.000	0.000	Merged-chr8-70160118-32
NR189--MA0768.1.LEF1	chr1	156522228	156522242	+	0.000	0.000	Merged-chr1-156522298-40
