#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR55975--MA1107.1.KLF9	chr6	89286769	89286781	+	0.000	0.000	Merged-chr6-89286978-37
NR62531--MA0599.1.KLF5	chr8	22757686	22757695	+	0.000	0.000	Merged-chr8-22757594-30
NR68897--MA0741.1.KLF16	chrX	56374578	56374588	-	0.000	0.000	Merged-chrX-56374648-33
NR28161--MA0599.1.KLF5	chr17	3209727	3209736	+	0.000	0.000	Merged-chr17-3209784-17
NR20672--MA1107.1.KLF9	chr14	48246375	48246387	+	0.000	0.000	Merged-chr14-48246381-22
NR56632--MA0599.1.KLF5	chr6	113668772	113668781	+	0.000	0.000	Merged-chr6-113668955-38
NR14537--MA0599.1.KLF5	chr12	73647844	73647853	-	0.000	0.000	Merged-chr12-73647879-51
NR39984--MA0740.1.KLF14	chr2	168159010	168159023	+	0.000	0.000	Merged-chr2-168159188-34
NR62518--MA0599.1.KLF5	chr8	22228790	22228799	+	0.000	0.000	Merged-chr8-22228766-14
NR63934--MA0493.1.Klf1	chr8	77383805	77383815	+	0.000	0.000	Merged-chr8-77383968-15
NR57027--MA1107.1.KLF9	chr6	125355263	125355275	-	0.000	0.000	Merged-chr6-125355418-28
NR60382--MA0741.1.KLF16	chr7	84149144	84149154	-	0.000	0.000	Merged-chr7-84149073-24
NR10176--MA0039.3.KLF4	chr11	24077536	24077546	-	0.000	0.000	Merged-chr11-24077473-13
NR51001--MA0741.1.KLF16	chr5	66618860	66618870	-	0.000	0.000	Merged-chr5-66618614-86
NR35710--MA0599.1.KLF5	chr2	23006373	23006382	+	0.000	0.000	Merged-chr2-23006422-36
NR12598--MA1107.1.KLF9	chr11	113612167	113612179	+	0.000	0.000	Merged-chr11-113612276-39
NR47365--MA0599.1.KLF5	chr4	106841946	106841955	+	0.000	0.000	Merged-chr4-106841993-21
NR6956--MA0741.1.KLF16	chr10	67891257	67891267	+	0.000	0.000	Merged-chr10-67891340-18
NR38490--MA0741.1.KLF16	chr2	125135989	125135999	-	0.000	0.000	Merged-chr2-125136116-38
NR7835--MA0599.1.KLF5	chr10	84440812	84440821	-	0.000	0.000	Merged-chr10-84440807-71
NR39980--MA0599.1.KLF5	chr2	168154561	168154570	+	0.000	0.000	Merged-chr2-168154639-40
NR50894--MA0493.1.Klf1	chr5	64764567	64764577	-	0.000	0.000	Merged-chr5-64764597-23
NR33507--MA1107.1.KLF9	chr18	82532268	82532280	-	0.000	0.000	Merged-chr18-82532131-16
NR67178--MA0039.3.KLF4	chr9	80313761	80313771	-	0.000	0.000	Merged-chr9-80313733-27
NR66434--MA0493.1.Klf1	chr9	48980583	48980593	+	0.000	0.000	Merged-chr9-48980590-7
NR68960--MA0742.1.Klf12	chrX	71622511	71622525	+	0.000	0.000	Merged-chrX-71622436-27
NR14486--MA0742.1.Klf12	chr12	71030418	71030432	+	0.000	0.000	Merged-chr12-71030638-56
NR23226--MA0740.1.KLF14	chr15	36521580	36521593	+	0.000	0.000	Merged-chr15-36521520-11
NR31117--MA1107.1.KLF9	chr17	88597600	88597612	+	0.000	0.000	Merged-chr17-88597413-65
NR66433--MA0039.3.KLF4	chr9	48980585	48980595	+	0.000	0.000	Merged-chr9-48980590-7
NR6320--MA0599.1.KLF5	chr10	42849028	42849037	-	0.000	0.000	Merged-chr10-42848913-29
NR13151--MA1107.1.KLF9	chr12	8351291	8351303	-	0.000	0.000	Merged-chr12-8351458-49
NR2734--MA1107.1.KLF9	chr1	127796459	127796471	-	0.000	0.000	Merged-chr1-127796546-56
NR63407--MA0599.1.KLF5	chr8	61448672	61448681	+	0.000	0.000	Merged-chr8-61448591-1
NR47276--MA0599.1.KLF5	chr4	101419689	101419698	-	0.000	0.000	Merged-chr4-101419713-70
NR55685--MA1107.1.KLF9	chr6	81987079	81987091	+	0.000	0.000	Merged-chr6-81987223-26
NR32876--MA0741.1.KLF16	chr18	65322464	65322474	-	0.000	0.000	Merged-chr18-65322333-46
NR1416--MA1107.1.KLF9	chr1	69683244	69683256	-	0.000	0.000	Merged-chr1-69683222-14
NR9911--MA1107.1.KLF9	chr11	16558803	16558815	-	0.000	0.000	Merged-chr11-16558983-1
NR26661--MA0039.3.KLF4	chr16	45261509	45261519	+	0.000	0.000	Merged-chr16-45261551-46
NR6307--MA0599.1.KLF5	chr10	42699281	42699290	+	0.000	0.000	Merged-chr10-42699170-35
NR24392--MA0741.1.KLF16	chr15	79729141	79729151	-	0.000	0.000	Merged-chr15-79729133-34
NR20239--MA1107.1.KLF9	chr14	32716938	32716950	+	0.000	0.000	Merged-chr14-32716978-71
NR38779--MA0599.1.KLF5	chr2	132292170	132292179	+	0.000	0.000	Merged-chr2-132292299-25
NR47378--MA1107.1.KLF9	chr4	106842070	106842082	-	0.000	0.000	Merged-chr4-106841993-21
NR50624--MA0740.1.KLF14	chr5	51552660	51552673	+	0.000	0.000	Merged-chr5-51552540-96
NR8195--MA0741.1.KLF16	chr10	95942200	95942210	+	0.000	0.000	Merged-chr10-95942106-29
NR17214--MA0741.1.KLF16	chr13	58067716	58067726	-	0.000	0.000	Merged-chr13-58067754-68
NR34424--MA0599.1.KLF5	chr19	36384690	36384699	+	0.000	0.000	Merged-chr19-36384536-37
NR40003--MA0740.1.KLF14	chr2	168741429	168741442	+	0.000	0.000	Merged-chr2-168741453-11
NR6643--MA0741.1.KLF16	chr10	58350937	58350947	-	0.000	0.000	Merged-chr10-58350801-17
NR34426--MA0741.1.KLF16	chr19	36384695	36384705	+	0.000	0.000	Merged-chr19-36384536-37
NR29941--MA0493.1.Klf1	chr17	52602273	52602283	+	0.000	0.000	Merged-chr17-52602412-35
NR65384--MA0039.3.KLF4	chr8	125558864	125558874	+	0.000	0.000	Merged-chr8-125558804-33
NR9907--MA1107.1.KLF9	chr11	16558795	16558807	-	0.000	0.000	Merged-chr11-16558983-1
NR40328--MA0599.1.KLF5	chr2	174556048	174556057	-	0.000	0.000	Merged-chr2-174555978-36
NR23998--MA0599.1.KLF5	chr15	72859486	72859495	+	0.000	0.000	Merged-chr15-72859470-25
NR39426--MA0599.1.KLF5	chr2	153292589	153292598	+	0.000	0.000	Merged-chr2-153292567-49
NR14255--MA1107.1.KLF9	chr12	59170021	59170033	+	0.000	0.000	Merged-chr12-59170039-43
NR41641--MA0493.1.Klf1	chr3	51701526	51701536	+	0.000	0.000	Merged-chr3-51701450-64
NR44271--MA0599.1.KLF5	chr3	144412725	144412734	-	0.000	0.000	Merged-chr3-144412864-41
NR6308--MA0741.1.KLF16	chr10	42699281	42699291	+	0.000	0.000	Merged-chr10-42699170-35
NR49786--MA0039.3.KLF4	chr5	20845385	20845395	+	0.000	0.000	Merged-chr5-20845245-18
NR39662--MA1107.1.KLF9	chr2	160367185	160367197	-	0.000	0.000	Merged-chr2-160367322-62
NR52296--MA0741.1.KLF16	chr5	113873220	113873230	-	0.000	0.000	Merged-chr5-113873174-24
NR51713--MA0741.1.KLF16	chr5	96990704	96990714	-	0.000	0.000	Merged-chr5-96990741-12
NR54950--MA0493.1.Klf1	chr6	43619501	43619511	+	0.000	0.000	Merged-chr6-43619418-19
NR31073--MA1107.1.KLF9	chr17	88316357	88316369	-	0.000	0.000	Merged-chr17-88316434-22
NR60974--MA1107.1.KLF9	chr7	107659438	107659450	-	0.000	0.000	Merged-chr7-107659322-39
NR30774--MA0741.1.KLF16	chr17	80479369	80479379	-	0.000	0.000	Merged-chr17-80479314-1
NR57409--MA1107.1.KLF9	chr6	136947147	136947159	-	0.000	0.000	Merged-chr6-136947119-17
NR22943--MA0740.1.KLF14	chr15	25696039	25696052	-	0.000	0.000	Merged-chr15-25696018-37
NR68152--MA0657.1.KLF13	chr9	115408203	115408220	+	0.000	0.000	Merged-chr9-115408296-16
NR16566--MA0599.1.KLF5	chr13	30186465	30186474	-	0.000	0.000	Merged-chr13-30186492-12
NR39555--MA1107.1.KLF9	chr2	157119287	157119299	-	0.000	0.000	Merged-chr2-157119108-55
NR66861--MA0599.1.KLF5	chr9	65541815	65541824	+	0.000	0.000	Merged-chr9-65541837-66
NR47268--MA0741.1.KLF16	chr4	101419608	101419618	-	0.000	0.000	Merged-chr4-101419713-70
NR8643--MA1107.1.KLF9	chr10	110952120	110952132	+	0.000	0.000	Merged-chr10-110952029-21
NR68113--MA1107.1.KLF9	chr9	114613220	114613232	-	0.000	0.000	Merged-chr9-114613191-38
NR67356--MA0742.1.Klf12	chr9	88327586	88327600	+	0.000	0.000	Merged-chr9-88327634-62
NR47765--MA0599.1.KLF5	chr4	120731119	120731128	-	0.000	0.000	Merged-chr4-120731377-66
NR66961--MA0657.1.KLF13	chr9	70584849	70584866	+	0.000	0.000	Merged-chr9-70584670-22
NR31078--MA1107.1.KLF9	chr17	88316367	88316379	-	0.000	0.000	Merged-chr17-88316434-22
NR25847--MA0599.1.KLF5	chr16	10690156	10690165	+	0.000	0.000	Merged-chr16-10690218-33
NR14436--MA0742.1.Klf12	chr12	69853616	69853630	+	0.000	0.000	Merged-chr12-69853558-20
NR37090--MA0599.1.KLF5	chr2	68436040	68436049	+	0.000	0.000	Merged-chr2-68436038-76
NR17213--MA0599.1.KLF5	chr13	58067717	58067726	-	0.000	0.000	Merged-chr13-58067754-68
NR62038--MA0741.1.KLF16	chr8	3221122	3221132	+	0.000	0.000	Merged-chr8-3221344-66
NR6766--MA0742.1.Klf12	chr10	61233349	61233363	+	0.000	0.000	Merged-chr10-61233317-40
NR55142--MA0741.1.KLF16	chr6	51442362	51442372	+	0.000	0.000	Merged-chr6-51442349-19
NR47210--MA0599.1.KLF5	chr4	97996086	97996095	+	0.000	0.000	Merged-chr4-97996259-58
NR20756--MA0599.1.KLF5	chr14	52427889	52427898	+	0.000	0.000	Merged-chr14-52427807-17
NR15505--MA0741.1.KLF16	chr12	109438214	109438224	+	0.000	0.000	Merged-chr12-109438029-53
NR62766--MA0741.1.KLF16	chr8	34397997	34398007	+	0.000	0.000	Merged-chr8-34397971-66
NR48609--MA0599.1.KLF5	chr4	140601397	140601406	-	0.000	0.000	Merged-chr4-140601329-15
NR4661--MA0599.1.KLF5	chr1	183987854	183987863	-	0.000	0.000	Merged-chr1-183987914-47
NR10175--MA0599.1.KLF5	chr11	24077526	24077535	-	0.000	0.000	Merged-chr11-24077473-13
NR14756--MA0740.1.KLF14	chr12	82165837	82165850	+	0.000	0.000	Merged-chr12-82165766-1
NR53366--MA0741.1.KLF16	chr5	137103433	137103443	-	0.000	0.000	Merged-chr5-137103369-20
NR40006--MA0493.1.Klf1	chr2	168741429	168741439	+	0.000	0.000	Merged-chr2-168741453-11
NR68024--MA0741.1.KLF16	chr9	110461491	110461501	-	0.000	0.000	Merged-chr9-110461339-53
NR22908--MA1107.1.KLF9	chr15	25216703	25216715	+	0.000	0.000	Merged-chr15-25216736-38
NR23905--MA0599.1.KLF5	chr15	66286892	66286901	+	0.000	0.000	Merged-chr15-66286791-54
NR55973--MA1107.1.KLF9	chr6	89286765	89286777	+	0.000	0.000	Merged-chr6-89286978-37
NR25971--MA0039.3.KLF4	chr16	15887365	15887375	+	0.000	0.000	Merged-chr16-15887242-95
NR54948--MA0740.1.KLF14	chr6	43619501	43619514	+	0.000	0.000	Merged-chr6-43619418-19
NR12252--MA0599.1.KLF5	chr11	100862018	100862027	+	0.000	0.000	Merged-chr11-100861973-17
NR55727--MA1107.1.KLF9	chr6	83411821	83411833	+	0.000	0.000	Merged-chr6-83411858-34
NR20670--MA1107.1.KLF9	chr14	48246371	48246383	+	0.000	0.000	Merged-chr14-48246381-22
NR52506--MA0740.1.KLF14	chr5	118661941	118661954	+	0.000	0.000	Merged-chr5-118661904-17
NR41025--MA0599.1.KLF5	chr3	27463050	27463059	-	0.000	0.000	Merged-chr3-27462923-28
NR6322--MA0741.1.KLF16	chr10	42849025	42849035	-	0.000	0.000	Merged-chr10-42848913-29
NR16396--MA0740.1.KLF14	chr13	21366908	21366921	+	0.000	0.000	Merged-chr13-21366779-27
NR42884--MA0741.1.KLF16	chr3	100582914	100582924	-	0.000	0.000	Merged-chr3-100582913-18
NR24052--MA0740.1.KLF14	chr15	73833444	73833457	-	0.000	0.000	Merged-chr15-73833465-20
NR38489--MA0493.1.Klf1	chr2	125135990	125136000	-	0.000	0.000	Merged-chr2-125136116-38
NR61989--MA1107.1.KLF9	chr7	143053679	143053691	+	0.000	0.000	Merged-chr7-143053542-3
NR12569--MA1107.1.KLF9	chr11	111792071	111792083	+	0.000	0.000	Merged-chr11-111792002-31
NR51717--MA1107.1.KLF9	chr5	96990711	96990723	-	0.000	0.000	Merged-chr5-96990741-12
NR56840--MA0493.1.Klf1	chr6	119749279	119749289	+	0.000	0.000	Merged-chr6-119749325-22
NR38954--MA1107.1.KLF9	chr2	135824068	135824080	-	0.000	0.000	Merged-chr2-135823878-14
NR47760--MA0740.1.KLF14	chr4	120731116	120731129	-	0.000	0.000	Merged-chr4-120731377-66
NR68112--MA0741.1.KLF16	chr9	114613221	114613231	-	0.000	0.000	Merged-chr9-114613191-38
NR26660--MA0599.1.KLF5	chr16	45261508	45261517	+	0.000	0.000	Merged-chr16-45261551-46
NR43441--MA1107.1.KLF9	chr3	121426490	121426502	-	0.000	0.000	Merged-chr3-121426726-98
NR15587--MA0741.1.KLF16	chr12	111007861	111007871	+	0.000	0.000	Merged-chr12-111007914-34
NR56844--MA1107.1.KLF9	chr6	119749281	119749293	+	0.000	0.000	Merged-chr6-119749325-22
NR62519--MA0741.1.KLF16	chr8	22228790	22228800	+	0.000	0.000	Merged-chr8-22228766-14
NR6640--MA0599.1.KLF5	chr10	58350938	58350947	-	0.000	0.000	Merged-chr10-58350801-17
NR44272--MA0741.1.KLF16	chr3	144412724	144412734	-	0.000	0.000	Merged-chr3-144412864-41
NR52118--MA0740.1.KLF14	chr5	111039993	111040006	+	0.000	0.000	Merged-chr5-111039945-24
NR60380--MA1107.1.KLF9	chr7	84149055	84149067	+	0.000	0.000	Merged-chr7-84149073-24
NR50771--MA0741.1.KLF16	chr5	57868903	57868913	-	0.000	0.000	Merged-chr5-57869019-33
NR40643--MA0599.1.KLF5	chr3	9719202	9719211	-	0.000	0.000	Merged-chr3-9719164-20
NR46063--MA0599.1.KLF5	chr4	47011207	47011216	-	0.000	0.000	Merged-chr4-47011023-46
NR14680--MA0741.1.KLF16	chr12	79628620	79628630	+	0.000	0.000	Merged-chr12-79628685-20
NR14768--MA0742.1.Klf12	chr12	82187381	82187395	+	0.000	0.000	Merged-chr12-82187311-20
NR6957--MA1107.1.KLF9	chr10	67891256	67891268	+	0.000	0.000	Merged-chr10-67891340-18
NR47371--MA1107.1.KLF9	chr4	106842002	106842014	-	0.000	0.000	Merged-chr4-106841993-21
NR53831--MA0599.1.KLF5	chr5	146974170	146974179	+	0.000	0.000	Merged-chr5-146974233-28
NR24023--MA1107.1.KLF9	chr15	73423331	73423343	-	0.000	0.000	Merged-chr15-73423381-101
NR47265--MA0599.1.KLF5	chr4	101419617	101419626	-	0.000	0.000	Merged-chr4-101419713-70
NR66706--MA0657.1.KLF13	chr9	61054673	61054690	-	0.000	0.000	Merged-chr9-61054632-26
NR55683--MA1107.1.KLF9	chr6	81987075	81987087	+	0.000	0.000	Merged-chr6-81987223-26
NR29365--MA1107.1.KLF9	chr17	34287839	34287851	+	0.000	0.000	Merged-chr17-34287917-16
NR52430--MA0741.1.KLF16	chr5	115711885	115711895	-	0.000	0.000	Merged-chr5-115711698-1,Merged-chr5-115712054-77
NR35712--MA1107.1.KLF9	chr2	23006372	23006384	+	0.000	0.000	Merged-chr2-23006422-36
NR60013--MA0039.3.KLF4	chr7	73479745	73479755	+	0.000	0.000	Merged-chr7-73479778-28
NR43438--MA0493.1.Klf1	chr3	121426492	121426502	-	0.000	0.000	Merged-chr3-121426726-98
NR61986--MA0741.1.KLF16	chr7	143053680	143053690	+	0.000	0.000	Merged-chr7-143053542-3
NR29926--MA0599.1.KLF5	chr17	52483867	52483876	+	0.000	0.000	Merged-chr17-52484066-25
NR47376--MA1107.1.KLF9	chr4	106842066	106842078	-	0.000	0.000	Merged-chr4-106841993-21
NR14435--MA0740.1.KLF14	chr12	69853616	69853629	+	0.000	0.000	Merged-chr12-69853558-20
NR20238--MA0741.1.KLF16	chr14	32716954	32716964	+	0.000	0.000	Merged-chr14-32716978-71
NR16401--MA1107.1.KLF9	chr13	21366908	21366920	+	0.000	0.000	Merged-chr13-21366779-27
NR47273--MA1107.1.KLF9	chr4	101419615	101419627	-	0.000	0.000	Merged-chr4-101419713-70
NR9583--MA0493.1.Klf1	chr10	128940596	128940606	-	0.000	0.000	Merged-chr10-128940717-41
NR52119--MA0657.1.KLF13	chr5	111039992	111040009	+	0.000	0.000	Merged-chr5-111039945-24
NR52300--MA0741.1.KLF16	chr5	113873330	113873340	-	0.000	0.000	Merged-chr5-113873174-24
NR55679--MA1107.1.KLF9	chr6	81987067	81987079	+	0.000	0.000	Merged-chr6-81987223-26
NR31912--MA0039.3.KLF4	chr18	32311869	32311879	-	0.000	0.000	Merged-chr18-32311918-36
NR13154--MA1107.1.KLF9	chr12	8351297	8351309	-	0.000	0.000	Merged-chr12-8351458-49
NR27423--MA1107.1.KLF9	chr16	76283384	76283396	-	0.000	0.000	Merged-chr16-76283420-1
NR1550--MA0741.1.KLF16	chr1	74791658	74791668	-	0.000	0.000	Merged-chr1-74791717-28
NR1415--MA0493.1.Klf1	chr1	69683246	69683256	-	0.000	0.000	Merged-chr1-69683222-14
NR57411--MA1107.1.KLF9	chr6	136947159	136947171	-	0.000	0.000	Merged-chr6-136947119-17
NR29943--MA1107.1.KLF9	chr17	52602273	52602285	+	0.000	0.000	Merged-chr17-52602412-35
NR40642--MA0657.1.KLF13	chr3	9719196	9719213	-	0.000	0.000	Merged-chr3-9719164-20
NR4585--MA0039.3.KLF4	chr1	180546429	180546439	-	0.000	0.000	Merged-chr1-180546359-32
NR55222--MA0039.3.KLF4	chr6	54760115	54760125	+	0.000	0.000	Merged-chr6-54760187-57
NR51450--MA0493.1.Klf1	chr5	88499998	88500008	-	0.000	0.000	Merged-chr5-88499946-26
NR9914--MA1107.1.KLF9	chr11	16558809	16558821	-	0.000	0.000	Merged-chr11-16558983-1
NR16570--MA0741.1.KLF16	chr13	30186459	30186469	-	0.000	0.000	Merged-chr13-30186492-12
NR8194--MA0599.1.KLF5	chr10	95942200	95942209	+	0.000	0.000	Merged-chr10-95942106-29
NR68141--MA0740.1.KLF14	chr9	115205646	115205659	+	0.000	0.000	Merged-chr9-115205642-30
NR42563--MA0741.1.KLF16	chr3	89896722	89896732	+	0.000	0.000	Merged-chr3-89896775-17
NR35279--MA0493.1.Klf1	chr2	9986365	9986375	-	0.000	0.000	Merged-chr2-9986324-23
NR6574--MA0599.1.KLF5	chr10	56106823	56106832	-	0.000	0.000	Merged-chr10-56106955-57
NR69093--MA1107.1.KLF9	chrX	95164318	95164330	-	0.000	0.000	Merged-chrX-95164272-24
NR27899--MA0599.1.KLF5	chr16	93153252	93153261	+	0.000	0.000	Merged-chr16-93153200-34
NR57299--MA0039.3.KLF4	chr6	134183959	134183969	+	0.000	0.000	Merged-chr6-134184108-53
NR14922--MA0741.1.KLF16	chr12	88472043	88472053	+	0.000	0.000	Merged-chr12-88472096-45
NR47275--MA0742.1.Klf12	chr4	101419685	101419699	-	0.000	0.000	Merged-chr4-101419713-70
NR54952--MA1107.1.KLF9	chr6	43619501	43619513	+	0.000	0.000	Merged-chr6-43619418-19
NR15586--MA0599.1.KLF5	chr12	111007861	111007870	+	0.000	0.000	Merged-chr12-111007914-34
NR34939--MA0741.1.KLF16	chr19	57077250	57077260	-	0.000	0.000	Merged-chr19-57077212-7
NR40644--MA0741.1.KLF16	chr3	9719201	9719211	-	0.000	0.000	Merged-chr3-9719164-20
NR24037--MA0039.3.KLF4	chr15	73627497	73627507	-	0.000	0.000	Merged-chr15-73627530-51
NR64884--MA1107.1.KLF9	chr8	114506054	114506066	-	0.000	0.000	Merged-chr8-114506190-31
NR14254--MA0493.1.Klf1	chr12	59170021	59170031	+	0.000	0.000	Merged-chr12-59170039-43
NR14921--MA0493.1.Klf1	chr12	88472042	88472052	+	0.000	0.000	Merged-chr12-88472096-45
NR26393--MA0599.1.KLF5	chr16	30722532	30722541	-	0.000	0.000	Merged-chr16-30722513-29
NR47764--MA0742.1.Klf12	chr4	120731128	120731142	-	0.000	0.000	Merged-chr4-120731377-66
NR57792--MA1107.1.KLF9	chr6	144922865	144922877	-	0.000	0.000	Merged-chr6-144923057-24
NR39661--MA0493.1.Klf1	chr2	160367182	160367192	-	0.000	0.000	Merged-chr2-160367322-62
NR7310--MA0741.1.KLF16	chr10	76962206	76962216	-	0.000	0.000	Merged-chr10-76962071-59
NR44340--MA0742.1.Klf12	chr3	146004976	146004990	-	0.000	0.000	Merged-chr3-146004832-23
NR52510--MA0741.1.KLF16	chr5	118661946	118661956	+	0.000	0.000	Merged-chr5-118661904-17
NR47968--MA1107.1.KLF9	chr4	127095286	127095298	-	0.000	0.000	Merged-chr4-127095353-15
NR50625--MA0741.1.KLF16	chr5	51552661	51552671	+	0.000	0.000	Merged-chr5-51552540-96
NR11360--MA1107.1.KLF9	chr11	76015514	76015526	+	0.000	0.000	Merged-chr11-76015482-22
NR13574--MA0742.1.Klf12	chr12	25958807	25958821	+	0.000	0.000	Merged-chr12-25958694-66
NR769--MA0039.3.KLF4	chr1	39102341	39102351	-	0.000	0.000	Merged-chr1-39102412-8
NR44273--MA1107.1.KLF9	chr3	144412723	144412735	-	0.000	0.000	Merged-chr3-144412864-41
NR58203--MA0599.1.KLF5	chr7	12803530	12803539	-	0.000	0.000	Merged-chr7-12803632-59
NR56134--MA1107.1.KLF9	chr6	94665392	94665404	+	0.000	0.000	Merged-chr6-94665476-13
NR3098--MA1107.1.KLF9	chr1	139181143	139181155	-	0.000	0.000	Merged-chr1-139181025-29
NR47771--MA1107.1.KLF9	chr4	120731117	120731129	-	0.000	0.000	Merged-chr4-120731377-66
NR44344--MA0741.1.KLF16	chr3	146004979	146004989	-	0.000	0.000	Merged-chr3-146004832-23
NR14914--MA0741.1.KLF16	chr12	88471983	88471993	+	0.000	0.000	Merged-chr12-88472096-45
NR1784--MA0657.1.KLF13	chr1	84318708	84318725	+	0.000	0.000	Merged-chr1-84318831-8
NR38486--MA0742.1.Klf12	chr2	125136005	125136019	-	0.000	0.000	Merged-chr2-125136116-38
NR16575--MA0741.1.KLF16	chr13	30186556	30186566	-	0.000	0.000	Merged-chr13-30186492-12
NR39558--MA1107.1.KLF9	chr2	157119293	157119305	-	0.000	0.000	Merged-chr2-157119108-55
NR56863--MA0741.1.KLF16	chr6	120206738	120206748	+	0.000	0.000	Merged-chr6-120206801-39
NR59777--MA0741.1.KLF16	chr7	58618169	58618179	-	0.000	0.000	Merged-chr7-58618252-16
NR40331--MA0741.1.KLF16	chr2	174556042	174556052	-	0.000	0.000	Merged-chr2-174555978-36
NR6359--MA1107.1.KLF9	chr10	44444022	44444034	-	0.000	0.000	Merged-chr10-44443949-54
NR55980--MA1107.1.KLF9	chr6	89286779	89286791	+	0.000	0.000	Merged-chr6-89286978-37
NR56023--MA0493.1.Klf1	chr6	90629685	90629695	+	0.000	0.000	Merged-chr6-90629668-42
NR34392--MA0599.1.KLF5	chr19	34505389	34505398	-	0.000	0.000	Merged-chr19-34505331-35
NR56282--MA1107.1.KLF9	chr6	99485339	99485351	+	0.000	0.000	Merged-chr6-99485384-21
NR65386--MA0741.1.KLF16	chr8	125558863	125558873	+	0.000	0.000	Merged-chr8-125558804-33
NR12567--MA1107.1.KLF9	chr11	111792067	111792079	+	0.000	0.000	Merged-chr11-111792002-31
NR48631--MA0740.1.KLF14	chr4	140833014	140833027	-	0.000	0.000	Merged-chr4-140833040-18
NR39009--MA0599.1.KLF5	chr2	136917806	136917815	-	0.000	0.000	Merged-chr2-136917960-10
NR55986--MA0599.1.KLF5	chr6	89286969	89286978	-	0.000	0.000	Merged-chr6-89286978-37
NR38952--MA1107.1.KLF9	chr2	135824064	135824076	-	0.000	0.000	Merged-chr2-135823878-14
NR56842--MA0741.1.KLF16	chr6	119749282	119749292	+	0.000	0.000	Merged-chr6-119749325-22
NR9508--MA1107.1.KLF9	chr10	128135574	128135586	+	0.000	0.000	Merged-chr10-128135587-20
NR55972--MA0493.1.Klf1	chr6	89286789	89286799	+	0.000	0.000	Merged-chr6-89286978-37
NR41345--MA0493.1.Klf1	chr3	38280292	38280302	+	0.000	0.000	Merged-chr3-38280395-39
NR20758--MA1107.1.KLF9	chr14	52427888	52427900	+	0.000	0.000	Merged-chr14-52427807-17
NR22910--MA0741.1.KLF16	chr15	25269711	25269721	-	0.000	0.000	Merged-chr15-25269773-79
NR51134--MA0740.1.KLF14	chr5	72601281	72601294	-	0.000	0.000	Merged-chr5-72601228-18
NR46016--MA0741.1.KLF16	chr4	45766156	45766166	-	0.000	0.000	Merged-chr4-45766216-17
NR56861--MA0599.1.KLF5	chr6	120206733	120206742	+	0.000	0.000	Merged-chr6-120206801-39
NR60012--MA0599.1.KLF5	chr7	73479744	73479753	+	0.000	0.000	Merged-chr7-73479778-28
NR55726--MA0493.1.Klf1	chr6	83411821	83411831	+	0.000	0.000	Merged-chr6-83411858-34
NR51724--MA1107.1.KLF9	chr5	97090259	97090271	-	0.000	0.000	Merged-chr5-97090318-20
