#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR27831--MA0039.3.KLF4	chr16	91366824	91366834	+	0.000	0.000	Merged-chr16-91366873-55
NR64052--MA1107.1.KLF9	chr8	83573262	83573274	-	0.000	0.000	Merged-chr8-83573289-48
NR1146--MA0742.1.Klf12	chr1	58304554	58304568	-	0.000	0.000	Merged-chr1-58304515-8
NR12710--MA1107.1.KLF9	chr11	115603722	115603734	-	0.000	0.000	Merged-chr11-115603871-66
NR63446--MA0742.1.Klf12	chr8	64872035	64872049	-	0.000	0.000	Merged-chr8-64871934-64
NR35007--MA0493.1.Klf1	chr19	60183110	60183120	+	0.000	0.000	Merged-chr19-60182957-49
NR33433--MA0740.1.KLF14	chr18	80492506	80492519	+	0.000	0.000	Merged-chr18-80492606-36
NR41755--MA0740.1.KLF14	chr3	55743869	55743882	-	0.000	0.000	Merged-chr3-55744037-44
NR51580--MA0741.1.KLF16	chr5	92000942	92000952	+	0.000	0.000	Merged-chr5-92000971-27
NR35263--MA0742.1.Klf12	chr2	9801639	9801653	-	0.000	0.000	Merged-chr2-9801686-39
NR48227--MA0599.1.KLF5	chr4	133057921	133057930	-	0.000	0.000	Merged-chr4-133057911-45
NR27099--MA0657.1.KLF13	chr16	64800650	64800667	+	0.000	0.000	Merged-chr16-64800516-42
NR65272--MA1107.1.KLF9	chr8	123203631	123203643	+	0.000	0.000	Merged-chr8-123203714-21
NR66484--MA0599.1.KLF5	chr9	50491822	50491831	+	0.000	0.000	Merged-chr9-50491898-16
NR761--MA1107.1.KLF9	chr1	38884015	38884027	+	0.000	0.000	Merged-chr1-38884000-31
NR21361--MA0599.1.KLF5	chr14	73290094	73290103	-	0.000	0.000	Merged-chr14-73290096-39
NR40323--MA0599.1.KLF5	chr2	174473085	174473094	+	0.000	0.000	Merged-chr2-174473048-89
NR1029--MA0742.1.Klf12	chr1	51624750	51624764	+	0.000	0.000	Merged-chr1-51624803-20
NR15430--MA0493.1.Klf1	chr12	107129564	107129574	+	0.000	0.000	Merged-chr12-107129420-39
NR30919--MA0493.1.Klf1	chr17	84022528	84022538	-	0.000	0.000	Merged-chr17-84022626-28
NR50349--MA0599.1.KLF5	chr5	37037052	37037061	+	0.000	0.000	Merged-chr5-37037087-13
NR15630--MA0741.1.KLF16	chr12	111944519	111944529	-	0.000	0.000	Merged-chr12-111944395-37
NR27403--MA0493.1.Klf1	chr16	75920943	75920953	+	0.000	0.000	Merged-chr16-75921068-56
NR65268--MA1107.1.KLF9	chr8	123203623	123203635	+	0.000	0.000	Merged-chr8-123203714-21
NR48468--MA1107.1.KLF9	chr4	136178075	136178087	-	0.000	0.000	Merged-chr4-136177885-58
NR17323--MA0741.1.KLF16	chr13	63189563	63189573	-	0.000	0.000	Merged-chr13-63189715-33
NR10362--MA0599.1.KLF5	chr11	32580749	32580758	-	0.000	0.000	Merged-chr11-32580688-47
NR53619--MA0599.1.KLF5	chr5	140638199	140638208	-	0.000	0.000	Merged-chr5-140638213-26
NR67121--MA1107.1.KLF9	chr9	78074213	78074225	+	0.000	0.000	Merged-chr9-78074095-46
NR17754--MA0599.1.KLF5	chr13	75845602	75845611	-	0.000	0.000	Merged-chr13-75845828-42
NR43162--MA1107.1.KLF9	chr3	107233419	107233431	-	0.000	0.000	Merged-chr3-107233528-55
NR12430--MA0599.1.KLF5	chr11	106193671	106193680	+	0.000	0.000	Merged-chr11-106193514-84
NR61954--MA0741.1.KLF16	chr7	142354082	142354092	+	0.000	0.000	Merged-chr7-142354183-49
NR56799--MA0599.1.KLF5	chr6	119199111	119199120	+	0.000	0.000	Merged-chr6-119199024-52
NR29618--MA0740.1.KLF14	chr17	44569345	44569358	+	0.000	0.000	Merged-chr17-44569444-63
NR15547--MA0493.1.Klf1	chr12	110506243	110506253	-	0.000	0.000	Merged-chr12-110506270-12
NR38190--MA0741.1.KLF16	chr2	117438826	117438836	-	0.000	0.000	Merged-chr2-117438903-91
NR58692--MA0742.1.Klf12	chr7	25155909	25155923	+	0.000	0.000	Merged-chr7-25155994-40
NR20206--MA0741.1.KLF16	chr14	31684571	31684581	-	0.000	0.000	Merged-chr14-31684671-64
NR13059--MA0599.1.KLF5	chr11	121847867	121847876	-	0.000	0.000	Merged-chr11-121848040-41
NR61934--MA1107.1.KLF9	chr7	141579227	141579239	-	0.000	0.000	Merged-chr7-141579078-48
NR34979--MA0493.1.Klf1	chr19	58097325	58097335	-	0.000	0.000	Merged-chr19-58097459-44
NR32183--MA0741.1.KLF16	chr18	39009090	39009100	-	0.000	0.000	Merged-chr18-39009323-57
NR68032--MA0741.1.KLF16	chr9	110896831	110896841	-	0.000	0.000	Merged-chr9-110896831-29
NR11895--MA0741.1.KLF16	chr11	95261266	95261276	-	0.000	0.000	Merged-chr11-95261394-7
NR61933--MA0741.1.KLF16	chr7	141579228	141579238	-	0.000	0.000	Merged-chr7-141579078-48
NR5383--MA0493.1.Klf1	chr10	8370347	8370357	+	0.000	0.000	Merged-chr10-8370203-10
NR38368--MA0599.1.KLF5	chr2	121008327	121008336	-	0.000	0.000	Merged-chr2-121008420-56
NR2020--MA0599.1.KLF5	chr1	92469200	92469209	+	0.000	0.000	Merged-chr1-92469061-38
NR61952--MA0039.3.KLF4	chr7	142354083	142354093	+	0.000	0.000	Merged-chr7-142354183-49
NR1145--MA0740.1.KLF14	chr1	58304555	58304568	-	0.000	0.000	Merged-chr1-58304515-8
NR13031--MA0741.1.KLF16	chr11	120948652	120948662	-	0.000	0.000	Merged-chr11-120948566-1
NR63448--MA0493.1.Klf1	chr8	64872039	64872049	-	0.000	0.000	Merged-chr8-64871934-64
NR8988--MA1107.1.KLF9	chr10	118050585	118050597	-	0.000	0.000	Merged-chr10-118050458-52
NR2538--MA0039.3.KLF4	chr1	120073576	120073586	-	0.000	0.000	Merged-chr1-120073802-51
NR34331--MA0741.1.KLF16	chr19	31337340	31337350	-	0.000	0.000	Merged-chr19-31337298-1
NR3795--MA0599.1.KLF5	chr1	159813051	159813060	+	0.000	0.000	Merged-chr1-159812982-41
NR56812--MA1107.1.KLF9	chr6	119199104	119199116	+	0.000	0.000	Merged-chr6-119199024-52
NR53645--MA0039.3.KLF4	chr5	140858394	140858404	+	0.000	0.000	Merged-chr5-140858395-35
NR32181--MA0039.3.KLF4	chr18	39009089	39009099	-	0.000	0.000	Merged-chr18-39009323-57
NR29704--MA0741.1.KLF16	chr17	46870985	46870995	-	0.000	0.000	Merged-chr17-46871157-2
NR17751--MA0741.1.KLF16	chr13	75845535	75845545	+	0.000	0.000	Merged-chr13-75845828-42
NR66487--MA0741.1.KLF16	chr9	50491816	50491826	+	0.000	0.000	Merged-chr9-50491898-16
NR51834--MA0599.1.KLF5	chr5	100572244	100572253	-	0.000	0.000	Merged-chr5-100572278-24
NR36039--MA0740.1.KLF14	chr2	31131018	31131031	+	0.000	0.000	Merged-chr2-31131193-36
NR13300--MA0039.3.KLF4	chr12	13518261	13518271	-	0.000	0.000	Merged-chr12-13518316-35
NR56804--MA0493.1.Klf1	chr6	119199104	119199114	+	0.000	0.000	Merged-chr6-119199024-52
NR68033--MA1107.1.KLF9	chr9	110896830	110896842	-	0.000	0.000	Merged-chr9-110896831-29
NR60792--MA0493.1.Klf1	chr7	101466458	101466468	-	0.000	0.000	Merged-chr7-101466620-78
NR24461--MA1107.1.KLF9	chr15	80590880	80590892	-	0.000	0.000	Merged-chr15-80590747-44
NR21196--MA1107.1.KLF9	chr14	66196440	66196452	+	0.000	0.000	Merged-chr14-66196468-7
NR56924--MA0039.3.KLF4	chr6	122826559	122826569	-	0.000	0.000	Merged-chr6-122826486-57
NR25162--MA0741.1.KLF16	chr15	96497810	96497820	-	0.000	0.000	Merged-chr15-96497899-21
NR18876--MA0493.1.Klf1	chr13	107095397	107095407	-	0.000	0.000	Merged-chr13-107095527-25
NR3481--MA1107.1.KLF9	chr1	151382181	151382193	+	0.000	0.000	Merged-chr1-151382217-13
NR1850--MA0741.1.KLF16	chr1	85680448	85680458	+	0.000	0.000	Merged-chr1-85680352-18
NR27933--MA0493.1.Klf1	chr16	93777383	93777393	+	0.000	0.000	Merged-chr16-93777222-1
NR51167--MA0493.1.Klf1	chr5	73206407	73206417	-	0.000	0.000	Merged-chr5-73206518-35
NR69585--MA0493.1.Klf1	chrX	162868475	162868485	+	0.000	0.000	Merged-chrX-162868446-21
NR1849--MA0599.1.KLF5	chr1	85680448	85680457	+	0.000	0.000	Merged-chr1-85680352-18
NR34336--MA0741.1.KLF16	chr19	31337345	31337355	-	0.000	0.000	Merged-chr19-31337298-1
NR26798--MA0742.1.Klf12	chr16	52374388	52374402	+	0.000	0.000	Merged-chr16-52374285-15
NR56810--MA0741.1.KLF16	chr6	119199107	119199117	+	0.000	0.000	Merged-chr6-119199024-52
NR48462--MA0599.1.KLF5	chr4	136177887	136177896	-	0.000	0.000	Merged-chr4-136177885-58
NR23815--MA1107.1.KLF9	chr15	60120082	60120094	-	0.000	0.000	Merged-chr15-60120172-38
NR35009--MA1107.1.KLF9	chr19	60183110	60183122	+	0.000	0.000	Merged-chr19-60182957-49
NR31316--MA0039.3.KLF4	chr18	4333795	4333805	+	0.000	0.000	Merged-chr18-4333845-29
NR34990--MA0599.1.KLF5	chr19	59248840	59248849	-	0.000	0.000	Merged-chr19-59248780-37
NR52479--MA0740.1.KLF14	chr5	118465214	118465227	-	0.000	0.000	Merged-chr5-118465239-56
NR11193--MA1107.1.KLF9	chr11	70597422	70597434	-	0.000	0.000	Merged-chr11-70597550-26
NR30459--MA0039.3.KLF4	chr17	71288421	71288431	-	0.000	0.000	Merged-chr17-71288308-17
NR41733--MA0599.1.KLF5	chr3	54567484	54567493	+	0.000	0.000	Merged-chr3-54567528-25
NR38642--MA0741.1.KLF16	chr2	128470707	128470717	-	0.000	0.000	Merged-chr2-128470524-44
NR34980--MA1107.1.KLF9	chr19	58097323	58097335	-	0.000	0.000	Merged-chr19-58097459-44
NR1719--MA0493.1.Klf1	chr1	80703445	80703455	-	0.000	0.000	Merged-chr1-80703457-36
NR29227--MA0493.1.Klf1	chr17	31077832	31077842	-	0.000	0.000	Merged-chr17-31077750-28
NR43003--MA1107.1.KLF9	chr3	103397749	103397761	-	0.000	0.000	Merged-chr3-103397699-44
NR54150--MA1107.1.KLF9	chr6	8648812	8648824	+	0.000	0.000	Merged-chr6-8648625-101
NR3080--MA0599.1.KLF5	chr1	138299676	138299685	+	0.000	0.000	Merged-chr1-138299764-45
NR65266--MA1107.1.KLF9	chr8	123203619	123203631	+	0.000	0.000	Merged-chr8-123203714-21
NR27405--MA1107.1.KLF9	chr16	75920943	75920955	+	0.000	0.000	Merged-chr16-75921068-56
NR44130--MA0599.1.KLF5	chr3	142281223	142281232	+	0.000	0.000	Merged-chr3-142281213-32
NR64861--MA1107.1.KLF9	chr8	111967408	111967420	+	0.000	0.000	Merged-chr8-111967453-22
NR65397--MA0599.1.KLF5	chr8	125725414	125725423	-	0.000	0.000	Merged-chr8-125725496-61
NR3961--MA1107.1.KLF9	chr1	165691587	165691599	+	0.000	0.000	Merged-chr1-165691684-32
NR29850--MA0599.1.KLF5	chr17	50025422	50025431	+	0.000	0.000	Merged-chr17-50025514-42
NR12709--MA1107.1.KLF9	chr11	115603685	115603697	-	0.000	0.000	Merged-chr11-115603871-66
NR59870--MA0740.1.KLF14	chr7	64043089	64043102	-	0.000	0.000	Merged-chr7-64043125-48
NR12400--MA1107.1.KLF9	chr11	104631543	104631555	-	0.000	0.000	Merged-chr11-104631492-24
NR61951--MA0599.1.KLF5	chr7	142354082	142354091	+	0.000	0.000	Merged-chr7-142354183-49
NR452--MA0599.1.KLF5	chr1	21870789	21870798	+	0.000	0.000	Merged-chr1-21870806-15
NR18358--MA0493.1.Klf1	chr13	93990567	93990577	+	0.000	0.000	Merged-chr13-93990352-84
NR238--MA0742.1.Klf12	chr1	13559532	13559546	-	0.000	0.000	Merged-chr1-13559747-54
NR15353--MA0599.1.KLF5	chr12	103116816	103116825	+	0.000	0.000	Merged-chr12-103116842-39
NR44495--MA0741.1.KLF16	chr3	149305719	149305729	+	0.000	0.000	Merged-chr3-149305561-65
NR35866--MA0599.1.KLF5	chr2	27693905	27693914	-	0.000	0.000	Merged-chr2-27693880-30
NR19013--MA1107.1.KLF9	chr13	109239167	109239179	-	0.000	0.000	Merged-chr13-109239401-35
NR54--MA0493.1.Klf1	chr1	6467070	6467080	-	0.000	0.000	Merged-chr1-6467226-38
NR53644--MA0599.1.KLF5	chr5	140858393	140858402	+	0.000	0.000	Merged-chr5-140858395-35
NR65943--MA0493.1.Klf1	chr9	25186658	25186668	+	0.000	0.000	Merged-chr9-25186654-66
NR11545--MA0741.1.KLF16	chr11	79698234	79698244	+	0.000	0.000	Merged-chr11-79698290-25
NR3081--MA0741.1.KLF16	chr1	138299676	138299686	+	0.000	0.000	Merged-chr1-138299764-45
NR3957--MA1107.1.KLF9	chr1	165691579	165691591	+	0.000	0.000	Merged-chr1-165691684-32
NR40325--MA1107.1.KLF9	chr2	174473084	174473096	+	0.000	0.000	Merged-chr2-174473048-89
NR25261--MA0039.3.KLF4	chr15	98934146	98934156	-	0.000	0.000	Merged-chr15-98934343-98
NR13299--MA0599.1.KLF5	chr12	13518263	13518272	-	0.000	0.000	Merged-chr12-13518316-35
NR11780--MA0039.3.KLF4	chr11	88993828	88993838	-	0.000	0.000	Merged-chr11-88993773-46
NR36041--MA0039.3.KLF4	chr2	31131094	31131104	-	0.000	0.000	Merged-chr2-31131193-36
NR62043--MA0599.1.KLF5	chr8	3353399	3353408	+	0.000	0.000	Merged-chr8-3353373-47
NR11544--MA0493.1.Klf1	chr11	79698233	79698243	+	0.000	0.000	Merged-chr11-79698290-25
NR1571--MA0039.3.KLF4	chr1	75213261	75213271	-	0.000	0.000	Merged-chr1-75213327-22
NR17326--MA0741.1.KLF16	chr13	63189566	63189576	-	0.000	0.000	Merged-chr13-63189715-33
NR12433--MA0599.1.KLF5	chr11	106193700	106193709	+	0.000	0.000	Merged-chr11-106193514-84
NR12634--MA0493.1.Klf1	chr11	114699692	114699702	-	0.000	0.000	Merged-chr11-114699717-26
NR38635--MA0742.1.Klf12	chr2	128470704	128470718	-	0.000	0.000	Merged-chr2-128470524-44
NR59871--MA0657.1.KLF13	chr7	64043086	64043103	-	0.000	0.000	Merged-chr7-64043125-48
NR20209--MA0741.1.KLF16	chr14	31684574	31684584	-	0.000	0.000	Merged-chr14-31684671-64
NR59096--MA0599.1.KLF5	chr7	31087383	31087392	+	0.000	0.000	Merged-chr7-31087462-13
NR8987--MA0493.1.Klf1	chr10	118050587	118050597	-	0.000	0.000	Merged-chr10-118050458-52
NR25160--MA0741.1.KLF16	chr15	96497804	96497814	-	0.000	0.000	Merged-chr15-96497899-21
NR68242--MA0493.1.Klf1	chr9	118750842	118750852	-	0.000	0.000	Merged-chr9-118750873-69
NR59874--MA1107.1.KLF9	chr7	64043090	64043102	-	0.000	0.000	Merged-chr7-64043125-48
NR66715--MA0039.3.KLF4	chr9	61427104	61427114	-	0.000	0.000	Merged-chr9-61427187-31
NR36667--MA0741.1.KLF16	chr2	52319513	52319523	-	0.000	0.000	Merged-chr2-52319482-58
NR60794--MA1107.1.KLF9	chr7	101466456	101466468	-	0.000	0.000	Merged-chr7-101466620-78
NR1053--MA1107.1.KLF9	chr1	52578404	52578416	+	0.000	0.000	Merged-chr1-52578518-39
NR52483--MA0741.1.KLF16	chr5	118465216	118465226	-	0.000	0.000	Merged-chr5-118465239-56
NR52487--MA1107.1.KLF9	chr5	118465283	118465295	-	0.000	0.000	Merged-chr5-118465239-56
NR12432--MA0741.1.KLF16	chr11	106193671	106193681	+	0.000	0.000	Merged-chr11-106193514-84
NR18878--MA1107.1.KLF9	chr13	107095395	107095407	-	0.000	0.000	Merged-chr13-107095527-25
NR14864--MA0493.1.Klf1	chr12	85973778	85973788	+	0.000	0.000	Merged-chr12-85973794-44
NR15359--MA0741.1.KLF16	chr12	103338464	103338474	+	0.000	0.000	Merged-chr12-103338377-34
NR12825--MA0741.1.KLF16	chr11	116616161	116616171	+	0.000	0.000	Merged-chr11-116616118-41
NR20210--MA0741.1.KLF16	chr14	31684575	31684585	-	0.000	0.000	Merged-chr14-31684671-64
NR15631--MA1107.1.KLF9	chr12	111944518	111944530	-	0.000	0.000	Merged-chr12-111944395-37
NR48275--MA0741.1.KLF16	chr4	133873072	133873082	-	0.000	0.000	Merged-chr4-133873054-46
NR3480--MA0493.1.Klf1	chr1	151382181	151382191	+	0.000	0.000	Merged-chr1-151382217-13
NR34803--MA0039.3.KLF4	chr19	47829047	47829057	-	0.000	0.000	Merged-chr19-47829109-19
NR25327--MA0741.1.KLF16	chr15	99772134	99772144	+	0.000	0.000	Merged-chr15-99772240-94
NR59097--MA0741.1.KLF16	chr7	31087376	31087386	+	0.000	0.000	Merged-chr7-31087462-13
NR58696--MA0493.1.Klf1	chr7	25155929	25155939	+	0.000	0.000	Merged-chr7-25155994-40
NR25322--MA0493.1.Klf1	chr15	99725576	99725586	+	0.000	0.000	Merged-chr15-99725695-59
NR33894--MA0599.1.KLF5	chr19	5704865	5704874	+	0.000	0.000	Merged-chr19-5704695-101
NR29475--MA1107.1.KLF9	chr17	35841734	35841746	-	0.000	0.000	Merged-chr17-35841564-66
NR29229--MA1107.1.KLF9	chr17	31077830	31077842	-	0.000	0.000	Merged-chr17-31077750-28
NR38634--MA0740.1.KLF14	chr2	128470705	128470718	-	0.000	0.000	Merged-chr2-128470524-44
NR11192--MA0493.1.Klf1	chr11	70597424	70597434	-	0.000	0.000	Merged-chr11-70597550-26
NR36040--MA0599.1.KLF5	chr2	31131019	31131028	+	0.000	0.000	Merged-chr2-31131193-36
NR27506--MA1107.1.KLF9	chr16	78547461	78547473	+	0.000	0.000	Merged-chr16-78547576-18
NR1570--MA0599.1.KLF5	chr1	75213263	75213272	-	0.000	0.000	Merged-chr1-75213327-22
NR3826--MA0599.1.KLF5	chr1	161745068	161745077	+	0.000	0.000	Merged-chr1-161745053-28
NR8701--MA1107.1.KLF9	chr10	112000793	112000805	+	0.000	0.000	Merged-chr10-112000662-33
NR41736--MA0599.1.KLF5	chr3	54567519	54567528	+	0.000	0.000	Merged-chr3-54567528-25
NR65273--MA1107.1.KLF9	chr8	123203633	123203645	+	0.000	0.000	Merged-chr8-123203714-21
NR53503--MA0599.1.KLF5	chr5	139299446	139299455	+	0.000	0.000	Merged-chr5-139299297-63
NR34992--MA1107.1.KLF9	chr19	59248838	59248850	-	0.000	0.000	Merged-chr19-59248780-37
NR5301--MA0741.1.KLF16	chr10	5163981	5163991	-	0.000	0.000	Merged-chr10-5163946-25
NR12980--MA1107.1.KLF9	chr11	119166131	119166143	+	0.000	0.000	Merged-chr11-119166198-51
NR12461--MA0740.1.KLF14	chr11	106536355	106536368	+	0.000	0.000	Merged-chr11-106536245-61
NR12559--MA0741.1.KLF16	chr11	110919163	110919173	+	0.000	0.000	Merged-chr11-110919203-38
NR66117--MA1107.1.KLF9	chr9	35124028	35124040	+	0.000	0.000	Merged-chr9-35124041-80
NR50135--MA0599.1.KLF5	chr5	31602559	31602568	-	0.000	0.000	Merged-chr5-31602596-35
NR12828--MA1107.1.KLF9	chr11	116616160	116616172	+	0.000	0.000	Merged-chr11-116616118-41
NR48931--MA0599.1.KLF5	chr4	149518085	149518094	+	0.000	0.000	Merged-chr4-149518177-56
NR52576--MA0741.1.KLF16	chr5	120711687	120711697	-	0.000	0.000	Merged-chr5-120711649-45
NR12397--MA0741.1.KLF16	chr11	104631540	104631550	-	0.000	0.000	Merged-chr11-104631492-24
NR3955--MA1107.1.KLF9	chr1	165691575	165691587	+	0.000	0.000	Merged-chr1-165691684-32
NR65269--MA1107.1.KLF9	chr8	123203625	123203637	+	0.000	0.000	Merged-chr8-123203714-21
NR43157--MA0740.1.KLF14	chr3	107233418	107233431	-	0.000	0.000	Merged-chr3-107233528-55
NR25292--MA0599.1.KLF5	chr15	99341431	99341440	+	0.000	0.000	Merged-chr15-99341315-43
NR29529--MA0741.1.KLF16	chr17	37046869	37046879	+	0.000	0.000	Merged-chr17-37046853-1
NR48394--MA0599.1.KLF5	chr4	135292936	135292945	+	0.000	0.000	Merged-chr4-135292823-34
NR24049--MA1107.1.KLF9	chr15	73732539	73732551	-	0.000	0.000	Merged-chr15-73732703-5
NR48228--MA0493.1.Klf1	chr4	133057921	133057931	-	0.000	0.000	Merged-chr4-133057911-45
NR67122--MA1107.1.KLF9	chr9	78074215	78074227	+	0.000	0.000	Merged-chr9-78074095-46
NR55588--MA1107.1.KLF9	chr6	72957796	72957808	-	0.000	0.000	Merged-chr6-72957924-4
NR66485--MA0493.1.Klf1	chr9	50491821	50491831	+	0.000	0.000	Merged-chr9-50491898-16
NR25158--MA0599.1.KLF5	chr15	96497811	96497820	-	0.000	0.000	Merged-chr15-96497899-21
NR55226--MA0742.1.Klf12	chr6	54925959	54925973	+	0.000	0.000	Merged-chr6-54926058-40
NR11546--MA1107.1.KLF9	chr11	79698233	79698245	+	0.000	0.000	Merged-chr11-79698290-25
NR1030--MA0741.1.KLF16	chr1	51624751	51624761	+	0.000	0.000	Merged-chr1-51624803-20
NR15253--MA0599.1.KLF5	chr12	99548491	99548500	-	0.000	0.000	Merged-chr12-99548576-10
NR56800--MA0599.1.KLF5	chr6	119199116	119199125	+	0.000	0.000	Merged-chr6-119199024-52
NR66489--MA1107.1.KLF9	chr9	50491815	50491827	+	0.000	0.000	Merged-chr9-50491898-16
NR29451--MA0742.1.Klf12	chr17	35764155	35764169	+	0.000	0.000	Merged-chr17-35764114-33
NR26802--MA1107.1.KLF9	chr16	52374388	52374400	+	0.000	0.000	Merged-chr16-52374285-15
NR12462--MA0657.1.KLF13	chr11	106536354	106536371	+	0.000	0.000	Merged-chr11-106536245-61
NR52575--MA0599.1.KLF5	chr5	120711688	120711697	-	0.000	0.000	Merged-chr5-120711649-45
NR33446--MA0039.3.KLF4	chr18	80609769	80609779	+	0.000	0.000	Merged-chr18-80609939-56
NR11243--MA0599.1.KLF5	chr11	73094701	73094710	-	0.000	0.000	Merged-chr11-73094669-63
NR33437--MA0741.1.KLF16	chr18	80492507	80492517	+	0.000	0.000	Merged-chr18-80492606-36
NR61949--MA0740.1.KLF14	chr7	142354081	142354094	+	0.000	0.000	Merged-chr7-142354183-49
NR33478--MA1107.1.KLF9	chr18	81404903	81404915	+	0.000	0.000	Merged-chr18-81404957-28
NR12464--MA0741.1.KLF16	chr11	106536356	106536366	+	0.000	0.000	Merged-chr11-106536245-61
NR33688--MA0039.3.KLF4	chr18	89212432	89212442	-	0.000	0.000	Merged-chr18-89212381-24
NR29225--MA0742.1.Klf12	chr17	31077828	31077842	-	0.000	0.000	Merged-chr17-31077750-28
NR19009--MA0741.1.KLF16	chr13	109239170	109239180	-	0.000	0.000	Merged-chr13-109239401-35
NR34802--MA0599.1.KLF5	chr19	47829049	47829058	-	0.000	0.000	Merged-chr19-47829109-19
NR56813--MA1107.1.KLF9	chr6	119199106	119199118	+	0.000	0.000	Merged-chr6-119199024-52
NR50936--MA0039.3.KLF4	chr5	65019493	65019503	+	0.000	0.000	Merged-chr5-65019357-18
NR32178--MA1107.1.KLF9	chr18	39009052	39009064	-	0.000	0.000	Merged-chr18-39009323-57
NR4664--MA0741.1.KLF16	chr1	184013532	184013542	-	0.000	0.000	Merged-chr1-184013369-24
NR1144--MA0741.1.KLF16	chr1	58303908	58303918	+	0.000	0.000	Merged-chr1-58304012-69
NR18877--MA0741.1.KLF16	chr13	107095396	107095406	-	0.000	0.000	Merged-chr13-107095527-25
NR11951--MA0599.1.KLF5	chr11	96667148	96667157	+	0.000	0.000	Merged-chr11-96667069-36
NR68156--MA0599.1.KLF5	chr9	115561387	115561396	+	0.000	0.000	Merged-chr9-115561296-46
NR66988--MA0599.1.KLF5	chr9	72274959	72274968	+	0.000	0.000	Merged-chr9-72275130-67
NR60309--MA1107.1.KLF9	chr7	81075344	81075356	+	0.000	0.000	Merged-chr7-81075371-56
NR22554--MA0741.1.KLF16	chr14	122187050	122187060	+	0.000	0.000	Merged-chr14-122187060-26
NR56805--MA0493.1.Klf1	chr6	119199115	119199125	+	0.000	0.000	Merged-chr6-119199024-52
NR68034--MA1107.1.KLF9	chr9	110896832	110896844	-	0.000	0.000	Merged-chr9-110896831-29
NR10633--MA0599.1.KLF5	chr11	53803684	53803693	-	0.000	0.000	Merged-chr11-53803686-61
NR1052--MA0493.1.Klf1	chr1	52578408	52578418	+	0.000	0.000	Merged-chr1-52578518-39
NR30898--MA0039.3.KLF4	chr17	83846389	83846399	+	0.000	0.000	Merged-chr17-83846499-25
NR1023--MA0742.1.Klf12	chr1	51577855	51577869	+	0.000	0.000	Merged-chr1-51577937-41
NR43312--MA1107.1.KLF9	chr3	115692526	115692538	+	0.000	0.000	Merged-chr3-115692552-34
NR35006--MA0599.1.KLF5	chr19	60183111	60183120	+	0.000	0.000	Merged-chr19-60182957-49
NR29849--MA0742.1.Klf12	chr17	50025421	50025435	+	0.000	0.000	Merged-chr17-50025514-42
NR29471--MA0740.1.KLF14	chr17	35841733	35841746	-	0.000	0.000	Merged-chr17-35841564-66
NR7807--MA0599.1.KLF5	chr10	83722887	83722896	-	0.000	0.000	Merged-chr10-83722684-72
