#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR2045--MA0508.2.PRDM1	chr8	57417000	57417009	-	0.000	0.000	Merged-chr8-57416909-32
NR2011--MA0508.2.PRDM1	chr7	140999490	140999499	-	0.000	0.000	Merged-chr7-140999347-54
NR675--MA0508.2.PRDM1	chr14	15770067	15770076	+	0.000	0.000	Merged-chr14-15770075-60
NR157--MA0508.2.PRDM1	chr1	178182371	178182380	-	0.000	0.000	Merged-chr1-178182458-49
NR428--MA0508.2.PRDM1	chr11	121027497	121027506	+	0.000	0.000	Merged-chr11-121027485-17
NR1632--MA0508.2.PRDM1	chr5	77367902	77367911	+	0.000	0.000	Merged-chr5-77367800-15
NR258--MA0508.2.PRDM1	chr10	81382495	81382504	+	0.000	0.000	Merged-chr10-81382450-15
NR216--MA0508.2.PRDM1	chr10	41984246	41984255	+	0.000	0.000	Merged-chr10-41984389-13
NR1977--MA0508.2.PRDM1	chr7	110824188	110824197	+	0.000	0.000	Merged-chr7-110824322-44
NR1630--MA0508.2.PRDM1	chr5	77166259	77166268	-	0.000	0.000	Merged-chr5-77166256-29
NR1308--MA0508.2.PRDM1	chr3	32420042	32420051	+	0.000	0.000	Merged-chr3-32420097-47
NR1765--MA0508.2.PRDM1	chr6	82775583	82775592	+	0.000	0.000	Merged-chr6-82775550-35
NR1622--MA0508.2.PRDM1	chr5	64488158	64488167	+	0.000	0.000	Merged-chr5-64487990-63
NR1996--MA0508.2.PRDM1	chr7	125511557	125511566	-	0.000	0.000	Merged-chr7-125511628-40
NR1736--MA0508.2.PRDM1	chr6	51060200	51060209	+	0.000	0.000	Merged-chr6-51060161-45
NR432--MA0508.2.PRDM1	chr12	3871067	3871076	-	0.000	0.000	Merged-chr12-3871224-57
NR411--MA0508.2.PRDM1	chr11	104667628	104667637	-	0.000	0.000	Merged-chr11-104667644-45
NR371--MA0508.2.PRDM1	chr11	59398102	59398111	+	0.000	0.000	Merged-chr11-59397887-30
NR1327--MA0508.2.PRDM1	chr3	79177284	79177293	+	0.000	0.000	Merged-chr3-79177375-21
NR751--MA0508.2.PRDM1	chr14	103850768	103850777	-	0.000	0.000	Merged-chr14-103850623-36
NR1707--MA0508.2.PRDM1	chr5	149647746	149647755	-	0.000	0.000	Merged-chr5-149647772-15
NR735--MA0508.2.PRDM1	chr14	78685463	78685472	-	0.000	0.000	Merged-chr14-78685455-11
NR605--MA0508.2.PRDM1	chr13	81675480	81675489	-	0.000	0.000	Merged-chr13-81675595-44
NR1237--MA0508.2.PRDM1	chr2	128367941	128367950	-	0.000	0.000	Merged-chr2-128367839-63
NR2010--MA0508.2.PRDM1	chr7	140999421	140999430	-	0.000	0.000	Merged-chr7-140999347-54
NR374--MA0508.2.PRDM1	chr11	66961727	66961736	-	0.000	0.000	Merged-chr11-66961666-9
NR483--MA0508.2.PRDM1	chr12	75837728	75837737	+	0.000	0.000	Merged-chr12-75837700-7
NR387--MA0508.2.PRDM1	chr11	78766568	78766577	-	0.000	0.000	Merged-chr11-78766561-26
NR1461--MA0508.2.PRDM1	chr4	11095667	11095676	-	0.000	0.000	Merged-chr4-11095738-16
NR119--MA0508.2.PRDM1	chr1	156574201	156574210	+	0.000	0.000	Merged-chr1-156574252-14
NR1812--MA0508.2.PRDM1	chr6	114680676	114680685	+	0.000	0.000	Merged-chr6-114680975-48
NR1302--MA0508.2.PRDM1	chr3	21838229	21838238	+	0.000	0.000	Merged-chr3-21838264-19
NR2265--MA0508.2.PRDM1	chrX	105721364	105721373	-	0.000	0.000	Merged-chrX-105721364-12
NR1363--MA0508.2.PRDM1	chr3	105133211	105133220	+	0.000	0.000	Merged-chr3-105133189-20
NR1600--MA0508.2.PRDM1	chr5	28269860	28269869	-	0.000	0.000	Merged-chr5-28269924-54
NR962--MA0508.2.PRDM1	chr17	50070401	50070410	+	0.000	0.000	Merged-chr17-50070273-24
NR1918--MA0508.2.PRDM1	chr7	48795341	48795350	+	0.000	0.000	Merged-chr7-48795353-37
NR1639--MA0508.2.PRDM1	chr5	92327576	92327585	-	0.000	0.000	Merged-chr5-92327493-24
NR1586--MA0508.2.PRDM1	chr5	8397740	8397749	+	0.000	0.000	Merged-chr5-8397712-7
NR1599--MA0508.2.PRDM1	chr5	28269839	28269848	-	0.000	0.000	Merged-chr5-28269924-54
NR771--MA0508.2.PRDM1	chr14	122290592	122290601	-	0.000	0.000	Merged-chr14-122290582-19
NR1177--MA0508.2.PRDM1	chr2	69415311	69415320	-	0.000	0.000	Merged-chr2-69415236-25
NR110--MA0508.2.PRDM1	chr1	152084876	152084885	-	0.000	0.000	Merged-chr1-152084822-56
NR29--MA0508.2.PRDM1	chr1	58311354	58311363	-	0.000	0.000	Merged-chr1-58311498-34
NR883--MA0508.2.PRDM1	chr16	52132955	52132964	-	0.000	0.000	Merged-chr16-52133067-26
NR418--MA0508.2.PRDM1	chr11	110897214	110897223	+	0.000	0.000	Merged-chr11-110897111-25
NR1037--MA0508.2.PRDM1	chr18	73765290	73765299	+	0.000	0.000	Merged-chr18-73765273-28
NR399--MA0508.2.PRDM1	chr11	90258456	90258465	-	0.000	0.000	Merged-chr11-90258330-4
NR1840--MA0508.2.PRDM1	chr6	129406200	129406209	+	0.000	0.000	Merged-chr6-129406250-15
NR195--MA0508.2.PRDM1	chr10	12607463	12607472	+	0.000	0.000	Merged-chr10-12607451-15
NR323--MA0508.2.PRDM1	chr10	122717888	122717897	-	0.000	0.000	Merged-chr10-122717958-55
NR118--MA0508.2.PRDM1	chr1	156206230	156206239	+	0.000	0.000	Merged-chr1-156206326-26
NR575--MA0508.2.PRDM1	chr13	30754222	30754231	-	0.000	0.000	Merged-chr13-30754228-8
NR846--MA0508.2.PRDM1	chr16	22432040	22432049	-	0.000	0.000	Merged-chr16-22432023-24
NR1946--MA0508.2.PRDM1	chr7	90074607	90074616	-	0.000	0.000	Merged-chr7-90074700-23
NR429--MA0508.2.PRDM1	chr11	121039431	121039440	-	0.000	0.000	Merged-chr11-121039238-62
NR2105--MA0508.2.PRDM1	chr8	128433663	128433672	-	0.000	0.000	Merged-chr8-128433570-8
NR1960--MA0508.2.PRDM1	chr7	98108972	98108981	+	0.000	0.000	Merged-chr7-98109106-60
NR129--MA0508.2.PRDM1	chr1	164053690	164053699	-	0.000	0.000	Merged-chr1-164053798-7
NR810--MA0508.2.PRDM1	chr15	77123320	77123329	-	0.000	0.000	Merged-chr15-77123073-12
NR2044--MA0508.2.PRDM1	chr8	57387865	57387874	-	0.000	0.000	Merged-chr8-57387843-7
NR1726--MA0508.2.PRDM1	chr6	35462700	35462709	+	0.000	0.000	Merged-chr6-35462751-23
NR1293--MA0508.2.PRDM1	chr2	180072828	180072837	-	0.000	0.000	Merged-chr2-180072906-4
NR1150--MA0508.2.PRDM1	chr2	38536568	38536577	+	0.000	0.000	Merged-chr2-38536477-82
NR1923--MA0508.2.PRDM1	chr7	58701546	58701555	+	0.000	0.000	Merged-chr7-58701532-33
NR2158--MA0508.2.PRDM1	chr9	60991674	60991683	+	0.000	0.000	Merged-chr9-60991715-48
NR1665--MA0508.2.PRDM1	chr5	105609879	105609888	+	0.000	0.000	Merged-chr5-105609798-27
NR1806--MA0508.2.PRDM1	chr6	107749026	107749035	-	0.000	0.000	Merged-chr6-107749008-33
NR1004--MA0508.2.PRDM1	chr18	19524610	19524619	+	0.000	0.000	Merged-chr18-19524471-22
