#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR7206--MA0037.3.GATA3	chr4	150517582	150517589	-	0.000	0.000	Merged-chr4-150517532-35
NR4632--MA1104.1.GATA6	chr18	6484968	6484980	-	0.000	0.000	Merged-chr18-6484878-33
NR8607--MA0482.1.Gata4	chr7	19093680	19093690	+	0.000	0.000	Merged-chr7-19093740-100
NR4756--MA0036.3.GATA2	chr18	46013366	46013376	-	0.000	0.000	Merged-chr18-46013388-48
NR8937--MA0035.3.Gata1	chr7	113419585	113419595	-	0.000	0.000	Merged-chr7-113419557-35
NR1882--MA0035.3.Gata1	chr12	25013044	25013054	+	0.000	0.000	Merged-chr12-25013214-16
NR2144--MA0036.3.GATA2	chr12	83929662	83929672	-	0.000	0.000	Merged-chr12-83929616-29
NR8608--MA1104.1.GATA6	chr7	19093678	19093690	-	0.000	0.000	Merged-chr7-19093740-100
NR9343--MA0036.3.GATA2	chr8	107164413	107164423	+	0.000	0.000	Merged-chr8-107164486-19
NR4956--MA0037.3.GATA3	chr18	75419639	75419646	+	0.000	0.000	Merged-chr18-75419579-57
NR1754--MA0766.1.GATA5	chr11	106057070	106057077	-	0.000	0.000	Merged-chr11-106057103-42
NR6537--MA0482.1.Gata4	chr3	146127390	146127400	+	0.000	0.000	Merged-chr3-146127552-12
NR4758--MA0140.2.GATA1::TAL1	chr18	46013357	46013374	-	0.000	0.000	Merged-chr18-46013388-48
NR5144--MA0035.3.Gata1	chr2	13132684	13132694	-	0.000	0.000	Merged-chr2-13132891-60
NR7570--MA0766.1.GATA5	chr5	71903684	71903691	-	0.000	0.000	Merged-chr5-71903621-28
NR9768--MA0035.3.Gata1	chr9	112174908	112174918	-	0.000	0.000	Merged-chr9-112174843-101
NR3857--MA0035.3.Gata1	chr16	23270683	23270693	-	0.000	0.000	Merged-chr16-23270651-14
NR7716--MA0482.1.Gata4	chr5	129524683	129524693	-	0.000	0.000	Merged-chr5-129524684-34
NR8606--MA0037.3.GATA3	chr7	19093680	19093687	-	0.000	0.000	Merged-chr7-19093740-100
NR9898--MA0036.3.GATA2	chrX	114474361	114474371	-	0.000	0.000	Merged-chrX-114474330-36
NR6538--MA1104.1.GATA6	chr3	146127388	146127400	-	0.000	0.000	Merged-chr3-146127552-12
NR363--MA0036.3.GATA2	chr1	88578422	88578432	-	0.000	0.000	Merged-chr1-88578300-28
NR7209--MA0036.3.GATA2	chr4	150517581	150517591	+	0.000	0.000	Merged-chr4-150517532-35
NR7568--MA1104.1.GATA6	chr5	71903682	71903694	-	0.000	0.000	Merged-chr5-71903621-28
NR9938--MA0482.1.Gata4	chrX	166329313	166329323	+	0.000	0.000	Merged-chrX-166329162-24
NR7212--MA0140.2.GATA1::TAL1	chr4	150517583	150517600	+	0.000	0.000	Merged-chr4-150517532-35
NR9341--MA0482.1.Gata4	chr8	107164414	107164424	+	0.000	0.000	Merged-chr8-107164486-19
NR135--MA0035.3.Gata1	chr1	35653568	35653578	-	0.000	0.000	Merged-chr1-35653441-55
NR6536--MA0037.3.GATA3	chr3	146127390	146127397	-	0.000	0.000	Merged-chr3-146127552-12
NR9939--MA1104.1.GATA6	chrX	166329311	166329323	-	0.000	0.000	Merged-chrX-166329162-24
NR263--MA1104.1.GATA6	chr1	66987715	66987727	-	0.000	0.000	Merged-chr1-66987794-41
NR7715--MA0037.3.GATA3	chr5	129524686	129524693	+	0.000	0.000	Merged-chr5-129524684-34
NR148--MA0036.3.GATA2	chr1	36920486	36920496	+	0.000	0.000	Merged-chr1-36920402-81
NR9342--MA1104.1.GATA6	chr8	107164412	107164424	-	0.000	0.000	Merged-chr8-107164486-19
NR7566--MA0037.3.GATA3	chr5	71903684	71903691	-	0.000	0.000	Merged-chr5-71903621-28
NR9900--MA0035.3.Gata1	chrX	114474361	114474371	-	0.000	0.000	Merged-chrX-114474330-36
NR8601--MA0766.1.GATA5	chr7	12987631	12987638	+	0.000	0.000	Merged-chr7-12987633-12
NR4003--MA0766.1.GATA5	chr16	57319940	57319947	+	0.000	0.000	Merged-chr16-57319907-20
NR8933--MA0482.1.Gata4	chr7	113419584	113419594	-	0.000	0.000	Merged-chr7-113419557-35
NR7123--MA1104.1.GATA6	chr4	130774807	130774819	-	0.000	0.000	Merged-chr4-130774769-43
NR361--MA0482.1.Gata4	chr1	88578421	88578431	-	0.000	0.000	Merged-chr1-88578300-28
NR7207--MA0482.1.Gata4	chr4	150517582	150517592	+	0.000	0.000	Merged-chr4-150517532-35
NR9937--MA0037.3.GATA3	chrX	166329313	166329320	-	0.000	0.000	Merged-chrX-166329162-24
NR261--MA0037.3.GATA3	chr1	66987717	66987724	-	0.000	0.000	Merged-chr1-66987794-41
NR1127--MA0140.2.GATA1::TAL1	chr10	68119447	68119464	+	0.000	0.000	Merged-chr10-68119461-23
NR8934--MA1104.1.GATA6	chr7	113419584	113419596	+	0.000	0.000	Merged-chr7-113419557-35
NR9483--MA0037.3.GATA3	chr9	13536930	13536937	+	0.000	0.000	Merged-chr9-13536890-20
NR265--MA0766.1.GATA5	chr1	66987717	66987724	-	0.000	0.000	Merged-chr1-66987794-41
NR9340--MA0037.3.GATA3	chr8	107164414	107164421	-	0.000	0.000	Merged-chr8-107164486-19
NR4004--MA0035.3.Gata1	chr16	57319938	57319948	-	0.000	0.000	Merged-chr16-57319907-20
NR3999--MA0037.3.GATA3	chr16	57319940	57319947	+	0.000	0.000	Merged-chr16-57319907-20
NR9940--MA0036.3.GATA2	chrX	166329312	166329322	+	0.000	0.000	Merged-chrX-166329162-24
NR362--MA1104.1.GATA6	chr1	88578421	88578433	+	0.000	0.000	Merged-chr1-88578300-28
NR4168--MA0036.3.GATA2	chr16	91413417	91413427	-	0.000	0.000	Merged-chr16-91413429-37
NR7208--MA1104.1.GATA6	chr4	150517580	150517592	-	0.000	0.000	Merged-chr4-150517532-35
NR7211--MA0035.3.Gata1	chr4	150517581	150517591	+	0.000	0.000	Merged-chr4-150517532-35
NR146--MA0482.1.Gata4	chr1	36920487	36920497	+	0.000	0.000	Merged-chr1-36920402-81
NR1751--MA0482.1.Gata4	chr11	106057070	106057080	+	0.000	0.000	Merged-chr11-106057103-42
NR6539--MA0036.3.GATA2	chr3	146127389	146127399	+	0.000	0.000	Merged-chr3-146127552-12
NR5143--MA0036.3.GATA2	chr2	13132684	13132694	-	0.000	0.000	Merged-chr2-13132891-60
NR8932--MA0037.3.GATA3	chr7	113419587	113419594	+	0.000	0.000	Merged-chr7-113419557-35
NR9345--MA0035.3.Gata1	chr8	107164413	107164423	+	0.000	0.000	Merged-chr8-107164486-19
NR149--MA0035.3.Gata1	chr1	36920486	36920496	+	0.000	0.000	Merged-chr1-36920402-81
NR9767--MA0036.3.GATA2	chr9	112174908	112174918	-	0.000	0.000	Merged-chr9-112174843-101
NR9899--MA0766.1.GATA5	chrX	114474363	114474370	+	0.000	0.000	Merged-chrX-114474330-36
NR360--MA0037.3.GATA3	chr1	88578424	88578431	+	0.000	0.000	Merged-chr1-88578300-28
NR1878--MA0482.1.Gata4	chr12	25013045	25013055	+	0.000	0.000	Merged-chr12-25013214-16
NR7569--MA0036.3.GATA2	chr5	71903683	71903693	+	0.000	0.000	Merged-chr5-71903621-28
NR8600--MA0036.3.GATA2	chr7	12987629	12987639	-	0.000	0.000	Merged-chr7-12987633-12
NR147--MA1104.1.GATA6	chr1	36920485	36920497	-	0.000	0.000	Merged-chr1-36920402-81
NR1752--MA1104.1.GATA6	chr11	106057068	106057080	-	0.000	0.000	Merged-chr11-106057103-42
NR1706--MA0482.1.Gata4	chr11	88455551	88455561	+	0.000	0.000	Merged-chr11-88455545-42
NR6445--MA0140.2.GATA1::TAL1	chr3	135513419	135513436	-	0.000	0.000	Merged-chr3-135513515-51
NR1879--MA1104.1.GATA6	chr12	25013043	25013055	-	0.000	0.000	Merged-chr12-25013214-16
NR1707--MA0140.2.GATA1::TAL1	chr11	88455552	88455569	+	0.000	0.000	Merged-chr11-88455545-42
NR3739--MA0482.1.Gata4	chr15	94235270	94235280	-	0.000	0.000	Merged-chr15-94235397-15
NR365--MA0035.3.Gata1	chr1	88578422	88578432	-	0.000	0.000	Merged-chr1-88578300-28
NR264--MA0036.3.GATA2	chr1	66987716	66987726	+	0.000	0.000	Merged-chr1-66987794-41
NR134--MA0036.3.GATA2	chr1	35653568	35653578	-	0.000	0.000	Merged-chr1-35653441-55
