#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR746--MA0768.1.LEF1	chr18	32543278	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR876--MA0768.1.LEF1	chr2	72282907	72282921	+	0.000	0.000	Merged-chr2-72282934-17
NR415--MA0768.1.LEF1	chr13	8458069	8458083	+	0.000	0.000	Merged-chr13-8458004-23
NR1254--MA0768.1.LEF1	chr5	124907038	124907052	-	0.000	0.000	Merged-chr5-124907107-45
NR1272--MA0768.1.LEF1	chr6	17851329	17851343	+	0.000	0.000	Merged-chr6-17851443-16
NR1044--MA0768.1.LEF1	chr3	133626741	133626755	-	0.000	0.000	Merged-chr3-133626779-42
NR1389--MA0768.1.LEF1	chr7	16001894	16001908	+	0.000	0.000	Merged-chr7-16001989-41
NR1286--MA0768.1.LEF1	chr6	41113489	41113503	+	0.000	0.000	Merged-chr6-41113305-59
NR1556--MA0768.1.LEF1	chr9	7501333	7501347	+	0.000	0.000	Merged-chr9-7501482-49
NR100--MA0768.1.LEF1	chr1	156710948	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR1113--MA0768.1.LEF1	chr4	89169075	89169089	-	0.000	0.000	Merged-chr4-89169046-30
NR1243--MA0768.1.LEF1	chr5	105010601	105010615	+	0.000	0.000	Merged-chr5-105010527-49
NR79--MA0768.1.LEF1	chr1	138952397	138952411	+	0.000	0.000	Merged-chr1-138952405-35
NR1266--MA0768.1.LEF1	chr5	150860013	150860027	-	0.000	0.000	Merged-chr5-150859850-43
NR1312--MA0768.1.LEF1	chr6	84617253	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR644--MA0768.1.LEF1	chr16	45261674	45261688	+	0.000	0.000	Merged-chr16-45261551-46
NR989--MA0768.1.LEF1	chr3	83997231	83997245	+	0.000	0.000	Merged-chr3-83997240-19
NR680--MA0768.1.LEF1	chr16	97402538	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR322--MA0768.1.LEF1	chr12	17726666	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR1577--MA0768.1.LEF1	chr9	42159039	42159053	+	0.000	0.000	Merged-chr9-42158908-46
NR569--MA0768.1.LEF1	chr15	36396448	36396462	-	0.000	0.000	Merged-chr15-36396472-80
NR811--MA0768.1.LEF1	chr19	33429545	33429559	+	0.000	0.000	Merged-chr19-33429713-40
NR1502--MA0768.1.LEF1	chr8	56443914	56443928	-	0.000	0.000	Merged-chr8-56443904-53
NR928--MA0768.1.LEF1	chr2	135891372	135891386	-	0.000	0.000	Merged-chr2-135891354-60
NR1059--MA0768.1.LEF1	chr3	142533251	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR964--MA0768.1.LEF1	chr3	10151765	10151779	-	0.000	0.000	Merged-chr3-10151750-17
NR615--MA0768.1.LEF1	chr15	94255220	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR1534--MA0768.1.LEF1	chr8	115771146	115771160	+	0.000	0.000	Merged-chr8-115771261-45
NR535--MA0768.1.LEF1	chr14	70962240	70962254	-	0.000	0.000	Merged-chr14-70962142-29
NR307--MA0768.1.LEF1	chr11	111065058	111065072	+	0.000	0.000	Merged-chr11-111065000-37
NR786--MA0768.1.LEF1	chr18	82607534	82607548	+	0.000	0.000	Merged-chr18-82607647-23
NR1244--MA0768.1.LEF1	chr5	105198257	105198271	+	0.000	0.000	Merged-chr5-105198197-37
NR1374--MA0768.1.LEF1	chr6	144333302	144333316	+	0.000	0.000	Merged-chr6-144333219-22
NR1644--MA0768.1.LEF1	chr9	118285715	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR1434--MA0768.1.LEF1	chr7	97067536	97067550	-	0.000	0.000	Merged-chr7-97067401-28
NR645--MA0768.1.LEF1	chr16	45261682	45261696	+	0.000	0.000	Merged-chr16-45261551-46
NR73--MA0768.1.LEF1	chr1	133012465	133012479	+	0.000	0.000	Merged-chr1-133012523-20
NR332--MA0768.1.LEF1	chr12	41167986	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR1005--MA0768.1.LEF1	chr3	100475183	100475197	+	0.000	0.000	Merged-chr3-100475201-27
NR225--MA0768.1.LEF1	chr10	128940661	128940675	-	0.000	0.000	Merged-chr10-128940717-41
NR1596--MA0768.1.LEF1	chr9	72660362	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR1601--MA0768.1.LEF1	chr9	80318137	80318151	-	0.000	0.000	Merged-chr9-80318250-48
NR1194--MA0768.1.LEF1	chr5	31831722	31831736	+	0.000	0.000	Merged-chr5-31831785-25
NR1503--MA0768.1.LEF1	chr8	56443929	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR1651--MA0768.1.LEF1	chr9	122399007	122399021	-	0.000	0.000	Merged-chr9-122399009-31
NR1320--MA0768.1.LEF1	chr6	94681555	94681569	+	0.000	0.000	Merged-chr6-94681460-83
NR536--MA0768.1.LEF1	chr14	70962267	70962281	+	0.000	0.000	Merged-chr14-70962142-29
NR1343--MA0768.1.LEF1	chr6	120206759	120206773	+	0.000	0.000	Merged-chr6-120206801-39
NR67--MA0768.1.LEF1	chr1	127796566	127796580	-	0.000	0.000	Merged-chr1-127796546-56
NR675--MA0768.1.LEF1	chr16	94185592	94185606	+	0.000	0.000	Merged-chr16-94185634-42
NR1209--MA0768.1.LEF1	chr5	64662514	64662528	-	0.000	0.000	Merged-chr5-64662440-49
NR116--MA0768.1.LEF1	chr1	173432610	173432624	-	0.000	0.000	Merged-chr1-173432561-56
NR838--MA0768.1.LEF1	chr2	8965234	8965248	+	0.000	0.000	Merged-chr2-8965212-53
