#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR1540--MA0741.1.KLF16	chr1	89070319	89070329	+	0.000	0.000	Merged-chr1-89070221-114
NR33687--MA0657.1.KLF13	chr19	44078469	44078486	+	0.000	0.000	Merged-chr19-44078434-18
NR25158--MA0493.1.Klf1	chr16	21204698	21204708	-	0.000	0.000	Merged-chr16-21204669-33
NR1284--MA1107.1.KLF9	chr1	78422500	78422512	+	0.000	0.000	Merged-chr1-78422740-38
NR65320--MA0493.1.Klf1	chr8	125558862	125558872	+	0.000	0.000	Merged-chr8-125558804-33
NR15505--MA0599.1.KLF5	chr12	108275585	108275594	+	0.000	0.000	Merged-chr12-108275445-64
NR41025--MA1107.1.KLF9	chr3	79451642	79451654	-	0.000	0.000	Merged-chr3-79451498-29
NR42904--MA0599.1.KLF5	chr3	132928123	132928132	-	0.000	0.000	Merged-chr3-132927951-20
NR23658--MA0741.1.KLF16	chr15	84168812	84168822	-	0.000	0.000	Merged-chr15-84168860-11
NR12700--MA1107.1.KLF9	chr11	114219808	114219820	+	0.000	0.000	Merged-chr11-114219775-1
NR48000--MA0741.1.KLF16	chr4	150087351	150087361	-	0.000	0.000	Merged-chr4-150087480-81
NR65321--MA0741.1.KLF16	chr8	125558863	125558873	+	0.000	0.000	Merged-chr8-125558804-33
NR1537--MA0599.1.KLF5	chr1	89070319	89070328	+	0.000	0.000	Merged-chr1-89070221-114
NR59181--MA0599.1.KLF5	chr7	52005847	52005856	+	0.000	0.000	Merged-chr7-52005667-2
NR50037--MA0742.1.Klf12	chr5	86783215	86783229	+	0.000	0.000	Merged-chr5-86783243-43
NR5413--MA0741.1.KLF16	chr10	34207261	34207271	-	0.000	0.000	Merged-chr10-34207023-88
NR57551--MA0740.1.KLF14	chr7	3290414	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR57556--MA1107.1.KLF9	chr7	3290415	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR15498--MA0599.1.KLF5	chr12	108275432	108275441	+	0.000	0.000	Merged-chr12-108275445-64
NR57552--MA0657.1.KLF13	chr7	3290411	3290428	-	0.000	0.000	Merged-chr7-3290343-35
NR65322--MA1107.1.KLF9	chr8	125558862	125558874	+	0.000	0.000	Merged-chr8-125558804-33
NR53243--MA0599.1.KLF5	chr5	150259744	150259753	+	0.000	0.000	Merged-chr5-150259783-65
NR1806--MA0741.1.KLF16	chr1	111864955	111864965	-	0.000	0.000	Merged-chr1-111864716-124
NR1536--MA0742.1.Klf12	chr1	89070318	89070332	+	0.000	0.000	Merged-chr1-89070221-114
NR41074--MA0599.1.KLF5	chr3	81835923	81835932	-	0.000	0.000	Merged-chr3-81835793-30
NR61126--MA0599.1.KLF5	chr7	125186708	125186717	-	0.000	0.000	Merged-chr7-125186656-23
NR1534--MA1107.1.KLF9	chr1	89070172	89070184	+	0.000	0.000	Merged-chr1-89070221-114
NR30093--MA0599.1.KLF5	chr17	88379559	88379568	-	0.000	0.000	Merged-chr17-88379493-23
NR50127--MA0599.1.KLF5	chr5	89882217	89882226	-	0.000	0.000	Merged-chr5-89882343-19
NR50041--MA1107.1.KLF9	chr5	86783215	86783227	+	0.000	0.000	Merged-chr5-86783243-43
NR23897--MA0599.1.KLF5	chr15	89498946	89498955	-	0.000	0.000	Merged-chr15-89498857-24
NR46323--MA0599.1.KLF5	chr4	118406382	118406391	+	0.000	0.000	Merged-chr4-118406334-12
NR1535--MA0740.1.KLF14	chr1	89070318	89070331	+	0.000	0.000	Merged-chr1-89070221-114
