#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR2608--MA0768.1.LEF1	chr9	42463999	42464013	+	0.000	0.000	Merged-chr9-42464013-7
NR1648--MA0768.1.LEF1	chr3	28318052	28318066	-	0.000	0.000	Merged-chr3-28318064-9
NR868--MA0768.1.LEF1	chr14	121353970	121353984	-	0.000	0.000	Merged-chr14-121354142-24
NR2411--MA0768.1.LEF1	chr7	115218910	115218924	+	0.000	0.000	Merged-chr7-115218920-27
NR537--MA0768.1.LEF1	chr12	82187504	82187518	-	0.000	0.000	Merged-chr12-82187311-20
NR309--MA0768.1.LEF1	chr10	85050895	85050909	-	0.000	0.000	Merged-chr10-85050856-11
NR1228--MA0768.1.LEF1	chr18	46381239	46381253	-	0.000	0.000	Merged-chr18-46381195-31
NR1134--MA0768.1.LEF1	chr17	45342328	45342342	-	0.000	0.000	Merged-chr17-45342322-7
NR1031--MA0768.1.LEF1	chr16	48745639	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR475--MA0768.1.LEF1	chr12	21172236	21172250	+	0.000	0.000	Merged-chr12-21172304-14
NR2108--MA0768.1.LEF1	chr5	124907038	124907052	-	0.000	0.000	Merged-chr5-124907107-45
NR1036--MA0768.1.LEF1	chr16	50555180	50555194	-	0.000	0.000	Merged-chr16-50555141-20
NR919--MA0768.1.LEF1	chr15	52887036	52887050	-	0.000	0.000	Merged-chr15-52887057-9
NR1972--MA0768.1.LEF1	chr5	9107427	9107441	+	0.000	0.000	Merged-chr5-9107352-33
NR20--MA0768.1.LEF1	chr1	36910447	36910461	+	0.000	0.000	Merged-chr1-36910479-15
NR2498--MA0768.1.LEF1	chr8	56398906	56398920	+	0.000	0.000	Merged-chr8-56398896-15
NR2601--MA0768.1.LEF1	chr9	36802533	36802547	+	0.000	0.000	Merged-chr9-36802612-8
NR2194--MA0768.1.LEF1	chr6	65818502	65818516	-	0.000	0.000	Merged-chr6-65818480-32
NR517--MA0768.1.LEF1	chr12	69446034	69446048	+	0.000	0.000	Merged-chr12-69446107-1
NR2517--MA0768.1.LEF1	chr8	77435082	77435096	+	0.000	0.000	Merged-chr8-77435130-10
NR2320--MA0768.1.LEF1	chr6	145469522	145469536	+	0.000	0.000	Merged-chr6-145469437-17
NR1217--MA0768.1.LEF1	chr18	33781014	33781028	+	0.000	0.000	Merged-chr18-33781041-12
NR455--MA0768.1.LEF1	chr11	113206337	113206351	+	0.000	0.000	Merged-chr11-113206318-17
NR2231--MA0768.1.LEF1	chr6	95682808	95682822	-	0.000	0.000	Merged-chr6-95682989-10
NR290--MA0768.1.LEF1	chr10	75417807	75417821	+	0.000	0.000	Merged-chr10-75417748-37
NR604--MA0768.1.LEF1	chr13	9107246	9107260	+	0.000	0.000	Merged-chr13-9107382-45
NR501--MA0768.1.LEF1	chr12	41167986	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR1747--MA0768.1.LEF1	chr3	117044608	117044622	+	0.000	0.000	Merged-chr3-117044595-20
NR2770--MA0768.1.LEF1	chrY	11858125	11858139	-	0.000	0.000	Merged-chrY-11858126-43
NR869--MA0768.1.LEF1	chr14	121354191	121354205	+	0.000	0.000	Merged-chr14-121354142-24
NR887--MA0768.1.LEF1	chr15	18951825	18951839	-	0.000	0.000	Merged-chr15-18951851-25
NR690--MA0768.1.LEF1	chr13	92639028	92639042	-	0.000	0.000	Merged-chr13-92639220-17
NR1224--MA0768.1.LEF1	chr18	38701046	38701060	+	0.000	0.000	Merged-chr18-38700911-27
NR1569--MA0768.1.LEF1	chr2	135823829	135823843	-	0.000	0.000	Merged-chr2-135823878-14
NR2332--MA0768.1.LEF1	chr7	12987473	12987487	-	0.000	0.000	Merged-chr7-12987633-12
NR480--MA0768.1.LEF1	chr12	25601138	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR592--MA0768.1.LEF1	chr12	117679063	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR136--MA0768.1.LEF1	chr1	144141066	144141080	-	0.000	0.000	Merged-chr1-144141131-13
NR915--MA0768.1.LEF1	chr15	50694323	50694337	+	0.000	0.000	Merged-chr15-50694314-20
NR1610--MA0768.1.LEF1	chr2	157122032	157122046	-	0.000	0.000	Merged-chr2-157121969-26
NR154--MA0768.1.LEF1	chr1	156901812	156901826	+	0.000	0.000	Merged-chr1-156901975-24
NR284--MA0768.1.LEF1	chr10	67697939	67697953	+	0.000	0.000	Merged-chr10-67697981-39
NR1852--MA0768.1.LEF1	chr4	46100259	46100273	+	0.000	0.000	Merged-chr4-46100049-18
NR611--MA0768.1.LEF1	chr13	13582032	13582046	-	0.000	0.000	Merged-chr13-13582107-29
NR2038--MA0768.1.LEF1	chr5	74105557	74105571	-	0.000	0.000	Merged-chr5-74105575-19
NR956--MA0768.1.LEF1	chr15	85042789	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR298--MA0768.1.LEF1	chr10	81249641	81249655	-	0.000	0.000	Merged-chr10-81249714-12
NR35--MA0768.1.LEF1	chr1	57952719	57952733	+	0.000	0.000	Merged-chr1-57952740-16
NR2522--MA0768.1.LEF1	chr8	81735841	81735855	-	0.000	0.000	Merged-chr8-81736050-71
NR1450--MA0768.1.LEF1	chr2	61494269	61494283	-	0.000	0.000	Merged-chr2-61494309-57
NR1777--MA0768.1.LEF1	chr3	138842536	138842550	+	0.000	0.000	Merged-chr3-138842482-12
NR988--MA0768.1.LEF1	chr16	15910370	15910384	+	0.000	0.000	Merged-chr16-15910429-9
NR648--MA0768.1.LEF1	chr13	52702316	52702330	-	0.000	0.000	Merged-chr13-52702318-14
NR317--MA0768.1.LEF1	chr10	93050741	93050755	-	0.000	0.000	Merged-chr10-93050674-1
NR2554--MA0768.1.LEF1	chr8	115237246	115237260	+	0.000	0.000	Merged-chr8-115237313-17
NR1124--MA0768.1.LEF1	chr17	33456822	33456836	+	0.000	0.000	Merged-chr17-33456861-18
NR2460--MA0768.1.LEF1	chr7	142967347	142967361	+	0.000	0.000	Merged-chr7-142967366-1
NR1594--MA0768.1.LEF1	chr2	150130342	150130356	+	0.000	0.000	Merged-chr2-150130462-1
NR447--MA0768.1.LEF1	chr11	109785570	109785584	+	0.000	0.000	Merged-chr11-109785498-8
NR1008--MA0768.1.LEF1	chr16	32972825	32972839	-	0.000	0.000	Merged-chr16-32972762-21
NR1384--MA0768.1.LEF1	chr2	13132648	13132662	-	0.000	0.000	Merged-chr2-13132891-60
NR1026--MA0768.1.LEF1	chr16	45361319	45361333	-	0.000	0.000	Merged-chr16-45361455-26
NR1841--MA0768.1.LEF1	chr4	34429185	34429199	+	0.000	0.000	Merged-chr4-34429163-2
NR1080--MA0768.1.LEF1	chr16	94374314	94374328	-	0.000	0.000	Merged-chr16-94374445-4
NR291--MA0768.1.LEF1	chr10	75417901	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR1058--MA0768.1.LEF1	chr16	78595986	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR1734--MA0768.1.LEF1	chr3	108124338	108124352	+	0.000	0.000	Merged-chr3-108124378-33
NR753--MA0768.1.LEF1	chr14	15273330	15273344	-	0.000	0.000	Merged-chr14-15273135-43
NR2623--MA0768.1.LEF1	chr9	61745154	61745168	-	0.000	0.000	Merged-chr9-61745239-9
NR2068--MA0768.1.LEF1	chr5	97090319	97090333	+	0.000	0.000	Merged-chr5-97090318-20
NR1672--MA0768.1.LEF1	chr3	61368867	61368881	+	0.000	0.000	Merged-chr3-61368860-22
NR1211--MA0768.1.LEF1	chr18	24237172	24237186	+	0.000	0.000	Merged-chr18-24237197-17
NR2771--MA0768.1.LEF1	chrY	11858272	11858286	-	0.000	0.000	Merged-chrY-11858126-43
NR2628--MA0768.1.LEF1	chr9	65084566	65084580	-	0.000	0.000	Merged-chr9-65084631-10
NR324--MA0768.1.LEF1	chr10	96955127	96955141	+	0.000	0.000	Merged-chr10-96955164-15
NR1225--MA0768.1.LEF1	chr18	38701109	38701123	+	0.000	0.000	Merged-chr18-38700911-27
NR1168--MA0768.1.LEF1	chr17	78304331	78304345	-	0.000	0.000	Merged-chr17-78304287-20
NR706--MA0768.1.LEF1	chr13	103357024	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR970--MA0768.1.LEF1	chr15	100145185	100145199	-	0.000	0.000	Merged-chr15-100145354-14
NR818--MA0768.1.LEF1	chr14	73472603	73472617	+	0.000	0.000	Merged-chr14-73472602-8
NR1983--MA0768.1.LEF1	chr5	20087380	20087394	-	0.000	0.000	Merged-chr5-20087381-40
NR1531--MA0768.1.LEF1	chr2	114197100	114197114	-	0.000	0.000	Merged-chr2-114197005-3
NR2500--MA0768.1.LEF1	chr8	60954792	60954806	+	0.000	0.000	Merged-chr8-60954738-34
NR1755--MA0768.1.LEF1	chr3	126825153	126825167	-	0.000	0.000	Merged-chr3-126825034-19
NR2630--MA0768.1.LEF1	chr9	66899728	66899742	-	0.000	0.000	Merged-chr9-66899689-35
NR1200--MA0768.1.LEF1	chr18	10154685	10154699	+	0.000	0.000	Merged-chr18-10154788-16
NR2751--MA0768.1.LEF1	chrX	106608147	106608161	+	0.000	0.000	Merged-chrX-106608183-10
NR1791--MA0768.1.LEF1	chr3	144232067	144232081	-	0.000	0.000	Merged-chr3-144232172-58
NR644--MA0768.1.LEF1	chr13	52144226	52144240	-	0.000	0.000	Merged-chr13-52144310-15
NR1778--MA0768.1.LEF1	chr3	138864258	138864272	-	0.000	0.000	Merged-chr3-138864342-22
NR1353--MA0768.1.LEF1	chr19	47915525	47915539	+	0.000	0.000	Merged-chr19-47915460-18
NR470--MA0768.1.LEF1	chr12	8817860	8817874	+	0.000	0.000	Merged-chr12-8817903-12
NR484--MA0768.1.LEF1	chr12	31756175	31756189	-	0.000	0.000	Merged-chr12-31756239-29
NR1045--MA0768.1.LEF1	chr16	57319958	57319972	+	0.000	0.000	Merged-chr16-57319907-20
NR256--MA0768.1.LEF1	chr10	50650805	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR2704--MA0768.1.LEF1	chr9	114592574	114592588	-	0.000	0.000	Merged-chr9-114592565-4
NR2606--MA0768.1.LEF1	chr9	40759635	40759649	+	0.000	0.000	Merged-chr9-40759529-7
NR2624--MA0768.1.LEF1	chr9	61745321	61745335	+	0.000	0.000	Merged-chr9-61745239-9
NR1418--MA0768.1.LEF1	chr2	45946382	45946396	+	0.000	0.000	Merged-chr2-45946471-14
NR1454--MA0768.1.LEF1	chr2	65214400	65214414	+	0.000	0.000	Merged-chr2-65214427-21
NR2432--MA0768.1.LEF1	chr7	127922797	127922811	-	0.000	0.000	Merged-chr7-127922827-35
NR2638--MA0768.1.LEF1	chr9	70584831	70584845	+	0.000	0.000	Merged-chr9-70584670-22
NR213--MA0768.1.LEF1	chr10	6954706	6954720	-	0.000	0.000	Merged-chr10-6954726-16
NR1490--MA0768.1.LEF1	chr2	84837928	84837942	+	0.000	0.000	Merged-chr2-84838147-43
NR1459--MA0768.1.LEF1	chr2	65871122	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR2549--MA0768.1.LEF1	chr8	111582535	111582549	-	0.000	0.000	Merged-chr8-111582684-27
NR384--MA0768.1.LEF1	chr11	20035502	20035516	+	0.000	0.000	Merged-chr11-20035595-25
NR1724--MA0768.1.LEF1	chr3	101066269	101066283	+	0.000	0.000	Merged-chr3-101066330-34
NR165--MA0768.1.LEF1	chr1	167296109	167296123	-	0.000	0.000	Merged-chr1-167296095-13
NR2716--MA0768.1.LEF1	chr9	118890387	118890401	-	0.000	0.000	Merged-chr9-118890241-21
NR2501--MA0768.1.LEF1	chr8	61436794	61436808	+	0.000	0.000	Merged-chr8-61436904-17
NR855--MA0768.1.LEF1	chr14	108374020	108374034	+	0.000	0.000	Merged-chr14-108373968-8
NR1662--MA0768.1.LEF1	chr3	55660069	55660083	+	0.000	0.000	Merged-chr3-55660012-44
NR2761--MA0768.1.LEF1	chrX	158939874	158939888	-	0.000	0.000	Merged-chrX-158939775-8
NR1318--MA0768.1.LEF1	chr19	21104827	21104841	+	0.000	0.000	Merged-chr19-21104768-51
NR1215--MA0768.1.LEF1	chr18	33056669	33056683	+	0.000	0.000	Merged-chr18-33056653-9
NR220--MA0768.1.LEF1	chr10	13467072	13467086	+	0.000	0.000	Merged-chr10-13467057-15
NR1448--MA0768.1.LEF1	chr2	60803054	60803068	+	0.000	0.000	Merged-chr2-60802993-21
NR78--MA0768.1.LEF1	chr1	91626304	91626318	-	0.000	0.000	Merged-chr1-91626193-21
NR2323--MA0768.1.LEF1	chr6	146960237	146960251	-	0.000	0.000	Merged-chr6-146960171-26
NR207--MA0768.1.LEF1	chr1	191486650	191486664	-	0.000	0.000	Merged-chr1-191486758-12
NR261--MA0768.1.LEF1	chr10	54255357	54255371	+	0.000	0.000	Merged-chr10-54255218-57
NR239--MA0768.1.LEF1	chr10	25387443	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR1158--MA0768.1.LEF1	chr17	70702359	70702373	+	0.000	0.000	Merged-chr17-70702396-15
NR2248--MA0768.1.LEF1	chr6	103565084	103565098	+	0.000	0.000	Merged-chr6-103565102-16
NR2700--MA0768.1.LEF1	chr9	112175259	112175273	+	0.000	0.000	Merged-chr9-112175419-1
NR2145--MA0768.1.LEF1	chr6	6189130	6189144	-	0.000	0.000	Merged-chr6-6189088-9
NR1633--MA0768.1.LEF1	chr2	174612772	174612786	-	0.000	0.000	Merged-chr2-174612913-27
NR844--MA0768.1.LEF1	chr14	103017268	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR2065--MA0768.1.LEF1	chr5	96254008	96254022	-	0.000	0.000	Merged-chr5-96254113-8
NR983--MA0768.1.LEF1	chr16	10399303	10399317	-	0.000	0.000	Merged-chr16-10399279-20
NR1768--MA0768.1.LEF1	chr3	135324655	135324669	+	0.000	0.000	Merged-chr3-135324604-5
NR518--MA0768.1.LEF1	chr12	69825402	69825416	-	0.000	0.000	Merged-chr12-69825253-21
NR80--MA0768.1.LEF1	chr1	94025609	94025623	+	0.000	0.000	Merged-chr1-94025615-17
NR639--MA0768.1.LEF1	chr13	51712202	51712216	-	0.000	0.000	Merged-chr13-51712212-27
NR2639--MA0768.1.LEF1	chr9	70584885	70584899	-	0.000	0.000	Merged-chr9-70584670-22
NR456--MA0768.1.LEF1	chr11	113206356	113206370	+	0.000	0.000	Merged-chr11-113206318-17
NR362--MA0768.1.LEF1	chr10	122604119	122604133	+	0.000	0.000	Merged-chr10-122604110-13
NR349--MA0768.1.LEF1	chr10	117377575	117377589	-	0.000	0.000	Merged-chr10-117377577-5
NR2040--MA0768.1.LEF1	chr5	74471130	74471144	-	0.000	0.000	Merged-chr5-74471085-11
NR2600--MA0768.1.LEF1	chr9	35007272	35007286	+	0.000	0.000	Merged-chr9-35007274-11
NR1743--MA0768.1.LEF1	chr3	115933844	115933858	-	0.000	0.000	Merged-chr3-115933714-29
NR726--MA0768.1.LEF1	chr13	114086609	114086623	-	0.000	0.000	Merged-chr13-114086496-8
NR990--MA0768.1.LEF1	chr16	18460035	18460049	-	0.000	0.000	Merged-chr16-18460092-61
