#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR458--MA0495.2.MAFF	chr1	106187695	106187715	-	0.000	0.000	Merged-chr1-106187715-26
NR5667--MA0501.1.MAF::NFE2	chr18	32311873	32311887	-	0.000	0.000	Merged-chr18-32311918-36
NR8529--MA0659.1.MAFG	chr4	57640333	57640353	+	0.000	0.000	Merged-chr4-57640378-35
NR5275--MA0591.1.Bach1::Mafk	chr17	33865654	33865668	-	0.000	0.000	Merged-chr17-33865585-36
NR11125--MA0496.2.MAFK	chr7	79301004	79301022	-	0.000	0.000	Merged-chr7-79300921-71
NR11114--MA0089.1.MAFG::NFE2L1	chr7	79190874	79190879	-	0.000	0.000	Merged-chr7-79190820-25
NR10216--MA0501.1.MAF::NFE2	chr6	83478971	83478985	-	0.000	0.000	Merged-chr6-83478852-15
NR8415--MA0501.1.MAF::NFE2	chr4	21751918	21751932	-	0.000	0.000	Merged-chr4-21752041-18
NR8579--MA0117.2.Mafb	chr4	63486681	63486692	+	0.000	0.000	Merged-chr4-63486767-20
NR8291--MA0501.1.MAF::NFE2	chr3	152355497	152355511	-	0.000	0.000	Merged-chr3-152355609-21
NR3707--MA0089.1.MAFG::NFE2L1	chr14	25473289	25473294	-	0.000	0.000	Merged-chr14-25473279-61
NR2794--MA0501.1.MAF::NFE2	chr12	102588578	102588592	+	0.000	0.000	Merged-chr12-102588735-27
NR10397--MA0089.1.MAFG::NFE2L1	chr6	108895613	108895618	+	0.000	0.000	Merged-chr6-108895381-27
NR10409--MA0089.1.MAFG::NFE2L1	chr6	114445149	114445154	-	0.000	0.000	Merged-chr6-114445139-32
NR10005--MA0089.1.MAFG::NFE2L1	chr6	33004649	33004654	+	0.000	0.000	Merged-chr6-33004502-19
NR2793--MA0659.1.MAFG	chr12	102588572	102588592	-	0.000	0.000	Merged-chr12-102588735-27
NR183--MA0089.1.MAFG::NFE2L1	chr1	58742727	58742732	+	0.000	0.000	Merged-chr1-58742743-31
NR7153--MA0591.1.Bach1::Mafk	chr2	132102955	132102969	+	0.000	0.000	Merged-chr2-132102969-23
NR10609--MA0089.1.MAFG::NFE2L1	chr6	134148219	134148224	+	0.000	0.000	Merged-chr6-134148194-39
NR7538--MA0495.2.MAFF	chr2	174566021	174566041	+	0.000	0.000	Merged-chr2-174566072-46
NR6752--MA0501.1.MAF::NFE2	chr2	83700882	83700896	+	0.000	0.000	Merged-chr2-83700891-43
NR5862--MA0659.1.MAFG	chr18	65319223	65319243	+	0.000	0.000	Merged-chr18-65319104-54
NR2796--MA0496.2.MAFK	chr12	102588573	102588591	-	0.000	0.000	Merged-chr12-102588735-27
NR3407--MA0496.2.MAFK	chr13	92639331	92639349	-	0.000	0.000	Merged-chr13-92639220-17
NR185--MA0501.1.MAF::NFE2	chr1	58742703	58742717	+	0.000	0.000	Merged-chr1-58742743-31
NR9350--MA0591.1.Bach1::Mafk	chr5	43355334	43355348	+	0.000	0.000	Merged-chr5-43355421-55
NR3546--MA0496.2.MAFK	chr13	108763561	108763579	+	0.000	0.000	Merged-chr13-108763497-25
NR11166--MA0659.1.MAFG	chr7	83597297	83597317	-	0.000	0.000	Merged-chr7-83597333-20
NR11120--MA0591.1.Bach1::Mafk	chr7	79301006	79301020	+	0.000	0.000	Merged-chr7-79300921-71
NR910--MA0591.1.Bach1::Mafk	chr1	176986352	176986366	-	0.000	0.000	Merged-chr1-176986467-25
NR7251--MA0089.1.MAFG::NFE2L1	chr2	146517123	146517128	+	0.000	0.000	Merged-chr2-146517219-24
NR8118--MA0089.1.MAFG::NFE2L1	chr3	133563707	133563712	-	0.000	0.000	Merged-chr3-133563771-42
NR8353--MA0591.1.Bach1::Mafk	chr3	157884231	157884245	-	0.000	0.000	Merged-chr3-157884103-23
NR1173--MA0089.1.MAFG::NFE2L1	chr10	13469059	13469064	+	0.000	0.000	Merged-chr10-13469041-19
NR2875--MA0591.1.Bach1::Mafk	chr12	110389698	110389712	-	0.000	0.000	Merged-chr12-110389691-32
NR860--MA0496.2.MAFK	chr1	170729602	170729620	+	0.000	0.000	Merged-chr1-170729637-43
NR8463--MA0591.1.Bach1::Mafk	chr4	41295743	41295757	+	0.000	0.000	Merged-chr4-41295781-15
NR2107--MA0501.1.MAF::NFE2	chr11	80505177	80505191	+	0.000	0.000	Merged-chr11-80505144-23
NR7953--MA0089.1.MAFG::NFE2L1	chr3	103780958	103780963	+	0.000	0.000	Merged-chr3-103780888-34
NR9333--MA0591.1.Bach1::Mafk	chr5	36996779	36996793	+	0.000	0.000	Merged-chr5-36996710-15
NR6553--MA0495.2.MAFF	chr2	44953119	44953139	+	0.000	0.000	Merged-chr2-44953031-31
NR1891--MA0496.2.MAFK	chr11	32020158	32020176	-	0.000	0.000	Merged-chr11-32020422-50
NR5717--MA0089.1.MAFG::NFE2L1	chr18	46013384	46013389	-	0.000	0.000	Merged-chr18-46013388-48
NR8528--MA0591.1.Bach1::Mafk	chr4	57640336	57640350	+	0.000	0.000	Merged-chr4-57640378-35
NR2988--MA0117.2.Mafb	chr12	117712684	117712695	-	0.000	0.000	Merged-chr12-117712681-21
NR3405--MA0495.2.MAFF	chr13	92639330	92639350	-	0.000	0.000	Merged-chr13-92639220-17
NR1295--MA0089.1.MAFG::NFE2L1	chr10	42934724	42934729	-	0.000	0.000	Merged-chr10-42934777-29
NR9318--MA0501.1.MAF::NFE2	chr5	34430987	34431001	+	0.000	0.000	Merged-chr5-34430803-28
NR11117--MA0495.2.MAFF	chr7	79301003	79301023	+	0.000	0.000	Merged-chr7-79300921-71
NR8532--MA0496.2.MAFK	chr4	57640334	57640352	+	0.000	0.000	Merged-chr4-57640378-35
NR11119--MA0117.2.Mafb	chr7	79301012	79301023	-	0.000	0.000	Merged-chr7-79300921-71
NR10107--MA0501.1.MAF::NFE2	chr6	59185422	59185436	-	0.000	0.000	Merged-chr6-59185393-33
NR4696--MA0089.1.MAFG::NFE2L1	chr16	22526618	22526623	+	0.000	0.000	Merged-chr16-22526487-34
NR5666--MA0591.1.Bach1::Mafk	chr18	32311876	32311890	-	0.000	0.000	Merged-chr18-32311918-36
NR11935--MA0501.1.MAF::NFE2	chr8	104416226	104416240	+	0.000	0.000	Merged-chr8-104416222-18
NR5747--MA0495.2.MAFF	chr18	53951275	53951295	+	0.000	0.000	Merged-chr18-53951279-47
NR12211--MA0089.1.MAFG::NFE2L1	chr9	14926806	14926811	-	0.000	0.000	Merged-chr9-14926732-51
NR3948--MA0591.1.Bach1::Mafk	chr14	73253976	73253990	+	0.000	0.000	Merged-chr14-73253840-37
NR6751--MA0089.1.MAFG::NFE2L1	chr2	83700881	83700886	+	0.000	0.000	Merged-chr2-83700891-43
NR11123--MA0501.1.MAF::NFE2	chr7	79301009	79301023	+	0.000	0.000	Merged-chr7-79300921-71
NR8710--MA0591.1.Bach1::Mafk	chr4	99100302	99100316	+	0.000	0.000	Merged-chr4-99100196-17
NR9489--MA0089.1.MAFG::NFE2L1	chr5	91402614	91402619	+	0.000	0.000	Merged-chr5-91402780-78
NR5746--MA0089.1.MAFG::NFE2L1	chr18	53951221	53951226	-	0.000	0.000	Merged-chr18-53951279-47
NR10214--MA0117.2.Mafb	chr6	83478971	83478982	+	0.000	0.000	Merged-chr6-83478852-15
NR10267--MA0591.1.Bach1::Mafk	chr6	91489112	91489126	+	0.000	0.000	Merged-chr6-91488939-35
NR4497--MA0501.1.MAF::NFE2	chr15	85377115	85377129	+	0.000	0.000	Merged-chr15-85377015-15
NR4942--MA0117.2.Mafb	chr16	76202324	76202335	-	0.000	0.000	Merged-chr16-76202306-30
NR11688--MA0501.1.MAF::NFE2	chr8	34208229	34208243	+	0.000	0.000	Merged-chr8-34208072-51
NR5859--MA0501.1.MAF::NFE2	chr18	65016032	65016046	+	0.000	0.000	Merged-chr18-65016159-16
NR7539--MA0495.2.MAFF	chr2	174566021	174566041	-	0.000	0.000	Merged-chr2-174566072-46
NR3542--MA0495.2.MAFF	chr13	108763560	108763580	+	0.000	0.000	Merged-chr13-108763497-25
NR9973--MA0591.1.Bach1::Mafk	chr6	28351376	28351390	+	0.000	0.000	Merged-chr6-28351294-19
NR12620--MA0089.1.MAFG::NFE2L1	chr9	96696411	96696416	-	0.000	0.000	Merged-chr9-96696442-50
NR459--MA0659.1.MAFG	chr1	106187695	106187715	+	0.000	0.000	Merged-chr1-106187715-26
NR6556--MA0496.2.MAFK	chr2	44953120	44953138	-	0.000	0.000	Merged-chr2-44953031-31
NR8526--MA0495.2.MAFF	chr4	57640333	57640353	+	0.000	0.000	Merged-chr4-57640378-35
NR10080--MA0501.1.MAF::NFE2	chr6	52825772	52825786	-	0.000	0.000	Merged-chr6-52825813-18
NR9974--MA0501.1.MAF::NFE2	chr6	28351379	28351393	+	0.000	0.000	Merged-chr6-28351294-19
NR5863--MA0659.1.MAFG	chr18	65319223	65319243	-	0.000	0.000	Merged-chr18-65319104-54
NR292--MA0591.1.Bach1::Mafk	chr1	78644144	78644158	-	0.000	0.000	Merged-chr1-78644356-22
NR4230--MA0591.1.Bach1::Mafk	chr15	41447452	41447466	-	0.000	0.000	Merged-chr15-41447450-62
NR70--MA0591.1.Bach1::Mafk	chr1	32104251	32104265	-	0.000	0.000	Merged-chr1-32104339-13
NR11692--MA0501.1.MAF::NFE2	chr8	36165143	36165157	-	0.000	0.000	Merged-chr8-36165125-29
NR1522--MA0117.2.Mafb	chr10	90981770	90981781	+	0.000	0.000	Merged-chr10-90981841-14
NR859--MA0659.1.MAFG	chr1	170729601	170729621	-	0.000	0.000	Merged-chr1-170729637-43
NR861--MA0496.2.MAFK	chr1	170729602	170729620	-	0.000	0.000	Merged-chr1-170729637-43
NR4495--MA0495.2.MAFF	chr15	85377109	85377129	-	0.000	0.000	Merged-chr15-85377015-15
NR11687--MA0591.1.Bach1::Mafk	chr8	34208226	34208240	+	0.000	0.000	Merged-chr8-34208072-51
NR6554--MA0495.2.MAFF	chr2	44953119	44953139	-	0.000	0.000	Merged-chr2-44953031-31
NR8006--MA0089.1.MAFG::NFE2L1	chr3	109732715	109732720	-	0.000	0.000	Merged-chr3-109732646-37
NR10797--MA0501.1.MAF::NFE2	chr6	146909336	146909350	-	0.000	0.000	Merged-chr6-146909380-33
NR10315--MA0089.1.MAFG::NFE2L1	chr6	99643708	99643713	-	0.000	0.000	Merged-chr6-99643748-32
NR10208--MA0117.2.Mafb	chr6	83412896	83412907	+	0.000	0.000	Merged-chr6-83413092-38
NR8119--MA0089.1.MAFG::NFE2L1	chr3	133563756	133563761	-	0.000	0.000	Merged-chr3-133563771-42
NR3366--MA0591.1.Bach1::Mafk	chr13	83566392	83566406	-	0.000	0.000	Merged-chr13-83566220-57
NR8530--MA0659.1.MAFG	chr4	57640333	57640353	-	0.000	0.000	Merged-chr4-57640378-35
NR4706--MA0495.2.MAFF	chr16	23262323	23262343	+	0.000	0.000	Merged-chr16-23262371-32
NR4496--MA0591.1.Bach1::Mafk	chr15	85377112	85377126	+	0.000	0.000	Merged-chr15-85377015-15
NR6912--MA0089.1.MAFG::NFE2L1	chr2	112556687	112556692	-	0.000	0.000	Merged-chr2-112556688-44
NR547--MA0501.1.MAF::NFE2	chr1	128772711	128772725	-	0.000	0.000	Merged-chr1-128772538-19
NR6623--MA0089.1.MAFG::NFE2L1	chr2	59203587	59203592	+	0.000	0.000	Merged-chr2-59203652-25
NR7541--MA0496.2.MAFK	chr2	174566022	174566040	+	0.000	0.000	Merged-chr2-174566072-46
NR6839--MA0501.1.MAF::NFE2	chr2	102733285	102733299	+	0.000	0.000	Merged-chr2-102733347-57
NR2881--MA0089.1.MAFG::NFE2L1	chr12	110861473	110861478	-	0.000	0.000	Merged-chr12-110861556-21
