#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR2909--MA1421.1.TCF7L1	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR2862--MA0523.1.TCF7L2	chr14	54061807	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR5880--MA0769.1.Tcf7	chr3	79536028	79536039	-	0.000	0.000	Merged-chr3-79535854-18
NR2088--MA0523.1.TCF7L2	chr12	107921299	107921312	-	0.000	0.000	Merged-chr12-107921534-79
NR8161--MA0523.1.TCF7L2	chr7	19790168	19790181	-	0.000	0.000	Merged-chr7-19790098-49
NR7354--MA0523.1.TCF7L2	chr5	105010601	105010614	+	0.000	0.000	Merged-chr5-105010527-49
NR875--MA0523.1.TCF7L2	chr10	19504574	19504587	+	0.000	0.000	Merged-chr10-19504569-39
NR9265--MA0769.1.Tcf7	chr9	95315392	95315403	-	0.000	0.000	Merged-chr9-95315222-46
NR7399--MA1421.1.TCF7L1	chr5	122644412	122644423	-	0.000	0.000	Merged-chr5-122644331-31
NR2853--MA0523.1.TCF7L2	chr14	48427650	48427663	-	0.000	0.000	Merged-chr14-48427656-16
NR6869--MA0523.1.TCF7L2	chr4	149658104	149658117	-	0.000	0.000	Merged-chr4-149658229-60
NR1384--MA0769.1.Tcf7	chr10	120193465	120193476	+	0.000	0.000	Merged-chr10-120193454-50
NR1383--MA0523.1.TCF7L2	chr10	120193465	120193478	+	0.000	0.000	Merged-chr10-120193454-50
NR8138--MA1421.1.TCF7L1	chr7	15949534	15949545	+	0.000	0.000	Merged-chr7-15949519-32
NR5879--MA1421.1.TCF7L1	chr3	79536028	79536039	-	0.000	0.000	Merged-chr3-79535854-18
NR6091--MA0769.1.Tcf7	chr3	131057422	131057433	-	0.000	0.000	Merged-chr3-131057396-52
NR4565--MA0769.1.Tcf7	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR2653--MA1421.1.TCF7L1	chr13	117048484	117048495	+	0.000	0.000	Merged-chr13-117048588-56
NR1145--MA1421.1.TCF7L1	chr10	78115140	78115151	-	0.000	0.000	Merged-chr10-78115092-14
NR569--MA0523.1.TCF7L2	chr1	152253951	152253964	+	0.000	0.000	Merged-chr1-152254014-57
NR8575--MA1421.1.TCF7L1	chr7	142056828	142056839	+	0.000	0.000	Merged-chr7-142056944-50
NR4075--MA0523.1.TCF7L2	chr17	50485168	50485181	-	0.000	0.000	Merged-chr17-50485186-33
NR9303--MA0523.1.TCF7L2	chr9	107334462	107334475	-	0.000	0.000	Merged-chr9-107334469-86
NR2863--MA0769.1.Tcf7	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR2601--MA1421.1.TCF7L1	chr13	107867139	107867150	+	0.000	0.000	Merged-chr13-107866970-30
NR702--MA0523.1.TCF7L2	chr1	180410473	180410486	-	0.000	0.000	Merged-chr1-180410391-12
NR3404--MA1421.1.TCF7L1	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR3542--MA0769.1.Tcf7	chr15	100665052	100665063	-	0.000	0.000	Merged-chr15-100665160-50
NR8423--MA0769.1.Tcf7	chr7	92420469	92420480	-	0.000	0.000	Merged-chr7-92420666-38
NR7394--MA0523.1.TCF7L2	chr5	120685869	120685882	-	0.000	0.000	Merged-chr5-120685893-52
NR1646--MA0769.1.Tcf7	chr11	85126919	85126930	+	0.000	0.000	Merged-chr11-85126862-44
NR4564--MA0523.1.TCF7L2	chr18	82607534	82607547	+	0.000	0.000	Merged-chr18-82607647-23
NR3361--MA0523.1.TCF7L2	chr15	52570294	52570307	+	0.000	0.000	Merged-chr15-52570490-21
NR304--MA1421.1.TCF7L1	chr1	87378240	87378251	-	0.000	0.000	Merged-chr1-87378193-21
NR8230--MA1421.1.TCF7L1	chr7	38215101	38215112	+	0.000	0.000	Merged-chr7-38215034-63
NR5426--MA1421.1.TCF7L1	chr2	158719454	158719465	-	0.000	0.000	Merged-chr2-158719347-62
NR4061--MA0769.1.Tcf7	chr17	47115906	47115917	+	0.000	0.000	Merged-chr17-47115984-25
NR5921--MA0769.1.Tcf7	chr3	87524043	87524054	+	0.000	0.000	Merged-chr3-87523933-20
NR6090--MA1421.1.TCF7L1	chr3	131057422	131057433	-	0.000	0.000	Merged-chr3-131057396-52
NR9045--MA0769.1.Tcf7	chr9	25192028	25192039	-	0.000	0.000	Merged-chr9-25191824-38
NR4066--MA0769.1.Tcf7	chr17	48318939	48318950	+	0.000	0.000	Merged-chr17-48318964-29
NR7940--MA0523.1.TCF7L2	chr6	121215328	121215341	-	0.000	0.000	Merged-chr6-121215137-42
