#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/8_footprint/1_mpbs/2_mpbs_Runx/Bcl6KO_Th1_rep1_fp_mpbs.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_up.bed
MA0684.1.RUNX3--1047	chr18	68227789	68227798	-	0.000	0.000	
MA0684.1.RUNX3--1048	chr18	69169046	69169055	+	0.000	0.000	
MA0684.1.RUNX3--1049	chr18	69781202	69781211	+	0.000	0.000	
MA0684.1.RUNX3--1050	chr18	70190690	70190699	-	0.000	0.000	
MA0684.1.RUNX3--1051	chr18	70572506	70572515	-	0.000	0.000	
MA0684.1.RUNX3--1052	chr18	74880214	74880223	+	0.000	0.000	
MA0684.1.RUNX3--1053	chr18	75419757	75419766	-	0.000	0.000	
MA0684.1.RUNX3--1054	chr18	75757752	75757761	+	0.000	0.000	
MA0684.1.RUNX3--1055	chr18	76082070	76082079	-	0.000	0.000	
MA0684.1.RUNX3--1056	chr18	76215918	76215927	+	0.000	0.000	
MA0684.1.RUNX3--1057	chr18	78687383	78687392	-	0.000	0.000	
MA0684.1.RUNX3--1058	chr18	78843414	78843423	+	0.000	0.000	
MA0684.1.RUNX3--1059	chr18	80228697	80228706	+	0.000	0.000	
MA0684.1.RUNX3--1060	chr18	80433419	80433428	+	0.000	0.000	
MA0684.1.RUNX3--1061	chr18	80469380	80469389	-	0.000	0.000	
MA0684.1.RUNX3--1062	chr18	80734541	80734550	+	0.000	0.000	
MA0684.1.RUNX3--1063	chr18	81325683	81325692	+	0.000	0.000	
MA0684.1.RUNX3--1064	chr18	82231328	82231337	-	0.000	0.000	
MA0684.1.RUNX3--1065	chr18	83011773	83011782	-	0.000	0.000	
MA0684.1.RUNX3--1066	chr18	83137672	83137681	+	0.000	0.000	
MA0684.1.RUNX3--1067	chr18	84851322	84851331	-	0.000	0.000	
MA0684.1.RUNX3--1068	chr18	89126668	89126677	+	0.000	0.000	
MA0684.1.RUNX3--1069	chr18	89212374	89212383	+	0.000	0.000	
MA0684.1.RUNX3--1070	chr18	89442240	89442249	-	0.000	0.000	
MA0684.1.RUNX3--1071	chr18	89502363	89502372	+	0.000	0.000	
MA0684.1.RUNX3--1072	chr19	4061684	4061693	+	0.000	0.000	
MA0684.1.RUNX3--1073	chr19	4061732	4061741	+	0.000	0.000	
MA0684.1.RUNX3--1074	chr19	4064976	4064985	+	0.000	0.000	
MA0684.1.RUNX3--1075	chr19	4066139	4066148	+	0.000	0.000	
MA0684.1.RUNX3--1076	chr19	7315179	7315188	-	0.000	0.000	
MA0684.1.RUNX3--1077	chr19	8019913	8019922	-	0.000	0.000	
MA0684.1.RUNX3--1078	chr19	8592422	8592431	+	0.000	0.000	
MA0684.1.RUNX3--1079	chr19	9038291	9038300	+	0.000	0.000	
MA0684.1.RUNX3--1080	chr19	10830053	10830062	-	0.000	0.000	
MA0684.1.RUNX3--1081	chr19	11361856	11361865	-	0.000	0.000	
MA0684.1.RUNX3--1082	chr19	11414280	11414289	+	0.000	0.000	
MA0684.1.RUNX3--1083	chr19	12796779	12796788	-	0.000	0.000	
MA0684.1.RUNX3--1084	chr19	15883264	15883273	-	0.000	0.000	
MA0684.1.RUNX3--1085	chr19	17257047	17257056	+	0.000	0.000	
MA0684.1.RUNX3--1086	chr19	18687811	18687820	+	0.000	0.000	
MA0684.1.RUNX3--1087	chr19	18746816	18746825	+	0.000	0.000	
MA0684.1.RUNX3--1088	chr19	18747533	18747542	-	0.000	0.000	
MA0684.1.RUNX3--1089	chr19	20832883	20832892	-	0.000	0.000	
MA0684.1.RUNX3--1090	chr19	21646227	21646236	-	0.000	0.000	
MA0684.1.RUNX3--1091	chr19	23344023	23344032	-	0.000	0.000	
MA0684.1.RUNX3--1092	chr19	23373328	23373337	+	0.000	0.000	
MA0684.1.RUNX3--1093	chr19	24971561	24971570	+	0.000	0.000	
MA0684.1.RUNX3--1094	chr19	26646306	26646315	-	0.000	0.000	
MA0684.1.RUNX3--1095	chr19	29960592	29960601	+	0.000	0.000	
MA0684.1.RUNX3--1096	chr19	30095464	30095473	+	0.000	0.000	
MA0684.1.RUNX3--1097	chr19	32138397	32138406	+	0.000	0.000	
MA0684.1.RUNX3--1098	chr19	32266644	32266653	+	0.000	0.000	
MA0684.1.RUNX3--1099	chr19	32454853	32454862	+	0.000	0.000	
MA0684.1.RUNX3--1100	chr19	33101509	33101518	-	0.000	0.000	
MA0684.1.RUNX3--1101	chr19	33102171	33102180	+	0.000	0.000	
MA0684.1.RUNX3--1102	chr19	34500982	34500991	+	0.000	0.000	
MA0684.1.RUNX3--1103	chr19	36083078	36083087	-	0.000	0.000	
MA0684.1.RUNX3--1104	chr19	36091050	36091059	+	0.000	0.000	
MA0684.1.RUNX3--1105	chr19	40300140	40300149	+	0.000	0.000	
MA0684.1.RUNX3--1106	chr19	41328933	41328942	+	0.000	0.000	
MA0684.1.RUNX3--1107	chr19	41354448	41354457	-	0.000	0.000	
MA0684.1.RUNX3--1108	chr19	41769318	41769327	+	0.000	0.000	
MA0684.1.RUNX3--1109	chr19	41874495	41874504	+	0.000	0.000	
MA0684.1.RUNX3--1110	chr19	42780005	42780014	-	0.000	0.000	
MA0684.1.RUNX3--1111	chr19	43496031	43496040	+	0.000	0.000	
MA0684.1.RUNX3--1112	chr19	43689771	43689780	-	0.000	0.000	
MA0684.1.RUNX3--1113	chr19	45560670	45560679	-	0.000	0.000	
MA0684.1.RUNX3--1114	chr19	47051188	47051197	-	0.000	0.000	
MA0684.1.RUNX3--1115	chr19	47854836	47854845	-	0.000	0.000	
MA0684.1.RUNX3--1116	chr19	47910338	47910347	-	0.000	0.000	
MA0684.1.RUNX3--1117	chr19	53011077	53011086	+	0.000	0.000	
MA0684.1.RUNX3--1118	chr19	53318247	53318256	-	0.000	0.000	
MA0684.1.RUNX3--1119	chr19	53544649	53544658	+	0.000	0.000	
MA0684.1.RUNX3--1120	chr19	55720458	55720467	+	0.000	0.000	
MA0684.1.RUNX3--1121	chr19	55768978	55768987	+	0.000	0.000	
MA0684.1.RUNX3--1122	chr19	55769091	55769100	-	0.000	0.000	
MA0684.1.RUNX3--1123	chr19	56847575	56847584	-	0.000	0.000	
MA0684.1.RUNX3--1124	chr19	56847593	56847602	-	0.000	0.000	
MA0684.1.RUNX3--1125	chr19	56847791	56847800	-	0.000	0.000	
MA0684.1.RUNX3--1126	chr19	56847863	56847872	-	0.000	0.000	
MA0684.1.RUNX3--1127	chr19	56847953	56847962	-	0.000	0.000	
MA0684.1.RUNX3--1128	chr19	56847989	56847998	-	0.000	0.000	
MA0684.1.RUNX3--1129	chr19	56848115	56848124	-	0.000	0.000	
MA0684.1.RUNX3--1130	chr19	56848133	56848142	-	0.000	0.000	
MA0684.1.RUNX3--1131	chr19	56848169	56848178	-	0.000	0.000	
MA0684.1.RUNX3--1132	chr19	57055914	57055923	+	0.000	0.000	
MA0684.1.RUNX3--1133	chr19	58087322	58087331	-	0.000	0.000	
MA0684.1.RUNX3--1134	chr19	58087364	58087373	-	0.000	0.000	
MA0684.1.RUNX3--1135	chr19	58238494	58238503	-	0.000	0.000	
MA0684.1.RUNX3--1136	chr19	60164823	60164832	-	0.000	0.000	
MA0684.1.RUNX3--1137	chr19	60164847	60164856	-	0.000	0.000	
MA0684.1.RUNX3--1138	chr19	60681736	60681745	+	0.000	0.000	
MA0684.1.RUNX3--1139	chr19	61084324	61084333	+	0.000	0.000	
MA0684.1.RUNX3--1140	chr2	3332985	3332994	+	0.000	0.000	
MA0684.1.RUNX3--1141	chr2	3731499	3731508	-	0.000	0.000	
MA0684.1.RUNX3--1142	chr2	3756051	3756060	-	0.000	0.000	
MA0684.1.RUNX3--1143	chr2	3764340	3764349	-	0.000	0.000	
MA0684.1.RUNX3--1144	chr2	6162866	6162875	-	0.000	0.000	
MA0684.1.RUNX3--1145	chr2	6309690	6309699	+	0.000	0.000	
MA0684.1.RUNX3--1146	chr2	6695686	6695695	-	0.000	0.000	
MA0684.1.RUNX3--1147	chr2	9558757	9558766	-	0.000	0.000	
MA0684.1.RUNX3--1148	chr2	9607878	9607887	+	0.000	0.000	
MA0684.1.RUNX3--1149	chr2	9689686	9689695	-	0.000	0.000	
MA0684.1.RUNX3--1150	chr2	10101325	10101334	-	0.000	0.000	
MA0684.1.RUNX3--1151	chr2	11655458	11655467	-	0.000	0.000	
MA0684.1.RUNX3--1152	chr2	12417799	12417808	+	0.000	0.000	
MA0684.1.RUNX3--1153	chr2	12423840	12423849	-	0.000	0.000	
MA0684.1.RUNX3--1154	chr2	13757618	13757627	-	0.000	0.000	
MA0684.1.RUNX3--1155	chr2	17742373	17742382	-	0.000	0.000	
MA0684.1.RUNX3--1156	chr2	18026501	18026510	-	0.000	0.000	
MA0684.1.RUNX3--1157	chr2	18767099	18767108	+	0.000	0.000	
MA0684.1.RUNX3--1158	chr2	18935666	18935675	-	0.000	0.000	
MA0684.1.RUNX3--1159	chr2	18952262	18952271	+	0.000	0.000	
MA0684.1.RUNX3--1160	chr2	21187996	21188005	-	0.000	0.000	
MA0684.1.RUNX3--1161	chr2	21222924	21222933	+	0.000	0.000	
MA0684.1.RUNX3--1162	chr2	22805730	22805739	-	0.000	0.000	
MA0684.1.RUNX3--1163	chr2	25193674	25193683	+	0.000	0.000	
MA0684.1.RUNX3--1164	chr2	25913386	25913395	-	0.000	0.000	
MA0684.1.RUNX3--1165	chr2	26352259	26352268	+	0.000	0.000	
MA0684.1.RUNX3--1166	chr2	26389341	26389350	+	0.000	0.000	
MA0684.1.RUNX3--1167	chr2	29055353	29055362	+	0.000	0.000	
MA0684.1.RUNX3--1168	chr2	29632143	29632152	+	0.000	0.000	
MA0684.1.RUNX3--1169	chr2	29669164	29669173	-	0.000	0.000	
MA0684.1.RUNX3--1170	chr2	30796360	30796369	+	0.000	0.000	
MA0684.1.RUNX3--1171	chr2	30897091	30897100	+	0.000	0.000	
MA0684.1.RUNX3--1172	chr2	31119118	31119127	-	0.000	0.000	
MA0684.1.RUNX3--1173	chr2	31727909	31727918	-	0.000	0.000	
MA0684.1.RUNX3--1174	chr2	31727927	31727936	-	0.000	0.000	
MA0684.1.RUNX3--1175	chr2	32601426	32601435	-	0.000	0.000	
MA0684.1.RUNX3--1176	chr2	35495653	35495662	+	0.000	0.000	
MA0684.1.RUNX3--1177	chr2	44441019	44441028	-	0.000	0.000	
MA0684.1.RUNX3--1178	chr2	45019765	45019774	+	0.000	0.000	
MA0684.1.RUNX3--1179	chr2	46372995	46373004	+	0.000	0.000	
MA0684.1.RUNX3--1180	chr2	52561263	52561272	+	0.000	0.000	
MA0684.1.RUNX3--1181	chr2	53668717	53668726	+	0.000	0.000	
MA0684.1.RUNX3--1182	chr2	58153781	58153790	-	0.000	0.000	
MA0684.1.RUNX3--1183	chr2	58183913	58183922	+	0.000	0.000	
MA0684.1.RUNX3--1184	chr2	58194498	58194507	-	0.000	0.000	
MA0684.1.RUNX3--1185	chr2	58282830	58282839	+	0.000	0.000	
MA0684.1.RUNX3--1186	chr2	58667549	58667558	-	0.000	0.000	
MA0684.1.RUNX3--1187	chr2	59160685	59160694	+	0.000	0.000	
MA0684.1.RUNX3--1188	chr2	59676861	59676870	-	0.000	0.000	
MA0684.1.RUNX3--1189	chr2	60751473	60751482	+	0.000	0.000	
MA0684.1.RUNX3--1190	chr2	60774692	60774701	+	0.000	0.000	
MA0684.1.RUNX3--1191	chr2	60904337	60904346	+	0.000	0.000	
MA0684.1.RUNX3--1192	chr2	61514184	61514193	-	0.000	0.000	
MA0684.1.RUNX3--1193	chr2	65133924	65133933	+	0.000	0.000	
MA0684.1.RUNX3--1194	chr2	66127275	66127284	+	0.000	0.000	
MA0684.1.RUNX3--1195	chr2	68907777	68907786	-	0.000	0.000	
MA0684.1.RUNX3--1196	chr2	69003035	69003044	-	0.000	0.000	
MA0684.1.RUNX3--1197	chr2	70852414	70852423	-	0.000	0.000	
MA0684.1.RUNX3--1198	chr2	71389223	71389232	-	0.000	0.000	
MA0684.1.RUNX3--1199	chr2	71834368	71834377	-	0.000	0.000	
MA0684.1.RUNX3--1200	chr2	72282106	72282115	+	0.000	0.000	
MA0684.1.RUNX3--1201	chr2	72857926	72857935	+	0.000	0.000	
MA0684.1.RUNX3--1202	chr2	73404648	73404657	-	0.000	0.000	
MA0684.1.RUNX3--1203	chr2	73435942	73435951	-	0.000	0.000	
MA0684.1.RUNX3--1204	chr2	73597937	73597946	+	0.000	0.000	
MA0684.1.RUNX3--1205	chr2	74753267	74753276	+	0.000	0.000	
MA0684.1.RUNX3--1206	chr2	75151454	75151463	+	0.000	0.000	
MA0684.1.RUNX3--1207	chr2	75496379	75496388	+	0.000	0.000	
MA0684.1.RUNX3--1208	chr2	75683104	75683113	+	0.000	0.000	
MA0684.1.RUNX3--1209	chr2	77148440	77148449	+	0.000	0.000	
MA0684.1.RUNX3--1210	chr2	77237988	77237997	+	0.000	0.000	
MA0684.1.RUNX3--1211	chr2	77914855	77914864	+	0.000	0.000	
MA0684.1.RUNX3--1212	chr2	78606015	78606024	+	0.000	0.000	
MA0684.1.RUNX3--1213	chr2	78961669	78961678	+	0.000	0.000	
MA0684.1.RUNX3--1214	chr2	79111868	79111877	-	0.000	0.000	
MA0684.1.RUNX3--1215	chr2	79121032	79121041	-	0.000	0.000	
MA0684.1.RUNX3--1216	chr2	79337583	79337592	+	0.000	0.000	
MA0684.1.RUNX3--1217	chr2	79657083	79657092	-	0.000	0.000	
MA0684.1.RUNX3--1218	chr2	80579451	80579460	+	0.000	0.000	
MA0684.1.RUNX3--1219	chr2	80684883	80684892	+	0.000	0.000	
MA0684.1.RUNX3--1220	chr2	85034357	85034366	+	0.000	0.000	
MA0684.1.RUNX3--1221	chr2	91876520	91876529	-	0.000	0.000	
MA0684.1.RUNX3--1222	chr2	92055675	92055684	-	0.000	0.000	
MA0684.1.RUNX3--1223	chr2	92954078	92954087	-	0.000	0.000	
MA0684.1.RUNX3--1224	chr2	93154189	93154198	-	0.000	0.000	
MA0684.1.RUNX3--1225	chr2	93154716	93154725	-	0.000	0.000	
MA0684.1.RUNX3--1226	chr2	93411435	93411444	-	0.000	0.000	
MA0684.1.RUNX3--1227	chr2	98665011	98665020	+	0.000	0.000	
MA0684.1.RUNX3--1228	chr2	102238121	102238130	-	0.000	0.000	
MA0684.1.RUNX3--1229	chr2	102377734	102377743	+	0.000	0.000	
MA0684.1.RUNX3--1230	chr2	102913220	102913229	-	0.000	0.000	
MA0684.1.RUNX3--1231	chr2	103608016	103608025	+	0.000	0.000	
MA0684.1.RUNX3--1232	chr2	104848837	104848846	+	0.000	0.000	
MA0684.1.RUNX3--1233	chr2	105153201	105153210	-	0.000	0.000	
MA0684.1.RUNX3--1234	chr2	114145119	114145128	+	0.000	0.000	
MA0684.1.RUNX3--1235	chr2	114145438	114145447	+	0.000	0.000	
MA0684.1.RUNX3--1236	chr2	115589758	115589767	-	0.000	0.000	
MA0684.1.RUNX3--1237	chr2	115856029	115856038	-	0.000	0.000	
MA0684.1.RUNX3--1238	chr2	117399617	117399626	+	0.000	0.000	
MA0684.1.RUNX3--1239	chr2	117733498	117733507	-	0.000	0.000	
MA0684.1.RUNX3--1240	chr2	117740391	117740400	-	0.000	0.000	
MA0684.1.RUNX3--1241	chr2	121866802	121866811	+	0.000	0.000	
MA0684.1.RUNX3--1242	chr2	122430076	122430085	-	0.000	0.000	
MA0684.1.RUNX3--1243	chr2	122679232	122679241	-	0.000	0.000	
MA0684.1.RUNX3--1244	chr2	124720162	124720171	-	0.000	0.000	
MA0684.1.RUNX3--1245	chr2	124732845	124732854	+	0.000	0.000	
MA0684.1.RUNX3--1246	chr2	128111787	128111796	-	0.000	0.000	
MA0684.1.RUNX3--1247	chr2	128153203	128153212	-	0.000	0.000	
MA0684.1.RUNX3--1248	chr2	128318463	128318472	+	0.000	0.000	
MA0684.1.RUNX3--1249	chr2	128381936	128381945	-	0.000	0.000	
MA0684.1.RUNX3--1250	chr2	128430989	128430998	+	0.000	0.000	
MA0684.1.RUNX3--1251	chr2	128785011	128785020	+	0.000	0.000	
MA0684.1.RUNX3--1252	chr2	129180168	129180177	-	0.000	0.000	
MA0684.1.RUNX3--1253	chr2	129314165	129314174	+	0.000	0.000	
MA0684.1.RUNX3--1254	chr2	129687663	129687672	+	0.000	0.000	
MA0684.1.RUNX3--1255	chr2	131530732	131530741	+	0.000	0.000	
MA0684.1.RUNX3--1256	chr2	132262336	132262345	-	0.000	0.000	
MA0684.1.RUNX3--1257	chr2	132643378	132643387	-	0.000	0.000	
MA0684.1.RUNX3--1258	chr2	139841529	139841538	-	0.000	0.000	
MA0684.1.RUNX3--1259	chr2	140066580	140066589	+	0.000	0.000	
MA0684.1.RUNX3--1260	chr2	142859759	142859768	+	0.000	0.000	
MA0684.1.RUNX3--1261	chr2	144300253	144300262	+	0.000	0.000	
MA0684.1.RUNX3--1262	chr2	144650153	144650162	+	0.000	0.000	
MA0684.1.RUNX3--1263	chr2	144746212	144746221	-	0.000	0.000	
MA0684.1.RUNX3--1264	chr2	144868990	144868999	-	0.000	0.000	
MA0684.1.RUNX3--1265	chr2	146512261	146512270	-	0.000	0.000	
MA0684.1.RUNX3--1266	chr2	148350660	148350669	-	0.000	0.000	
MA0684.1.RUNX3--1267	chr2	148573971	148573980	-	0.000	0.000	
MA0684.1.RUNX3--1268	chr2	150307354	150307363	+	0.000	0.000	
MA0684.1.RUNX3--1269	chr2	150321374	150321383	-	0.000	0.000	
MA0684.1.RUNX3--1270	chr2	150831452	150831461	+	0.000	0.000	
MA0684.1.RUNX3--1271	chr2	151974258	151974267	-	0.000	0.000	
MA0684.1.RUNX3--1272	chr2	152372288	152372297	+	0.000	0.000	
MA0684.1.RUNX3--1273	chr2	154048138	154048147	+	0.000	0.000	
MA0684.1.RUNX3--1274	chr2	154732922	154732931	+	0.000	0.000	
MA0684.1.RUNX3--1275	chr2	154754253	154754262	-	0.000	0.000	
MA0684.1.RUNX3--1276	chr2	155518068	155518077	+	0.000	0.000	
MA0684.1.RUNX3--1277	chr2	155553338	155553347	+	0.000	0.000	
MA0684.1.RUNX3--1278	chr2	156112056	156112065	-	0.000	0.000	
MA0684.1.RUNX3--1279	chr2	156918722	156918731	+	0.000	0.000	
MA0684.1.RUNX3--1280	chr2	157135362	157135371	-	0.000	0.000	
MA0684.1.RUNX3--1281	chr2	157190801	157190810	+	0.000	0.000	
MA0684.1.RUNX3--1282	chr2	158166806	158166815	+	0.000	0.000	
MA0684.1.RUNX3--1283	chr2	158450879	158450888	+	0.000	0.000	
MA0684.1.RUNX3--1284	chr2	159108725	159108734	+	0.000	0.000	
MA0684.1.RUNX3--1285	chr2	160578939	160578948	+	0.000	0.000	
MA0684.1.RUNX3--1286	chr2	163084464	163084473	-	0.000	0.000	
MA0684.1.RUNX3--1287	chr2	163120929	163120938	+	0.000	0.000	
MA0684.1.RUNX3--1288	chr2	163420103	163420112	-	0.000	0.000	
MA0684.1.RUNX3--1289	chr2	164084159	164084168	+	0.000	0.000	
MA0684.1.RUNX3--1290	chr2	164497588	164497597	-	0.000	0.000	
MA0684.1.RUNX3--1291	chr2	164559166	164559175	-	0.000	0.000	
MA0684.1.RUNX3--1292	chr2	165401222	165401231	+	0.000	0.000	
MA0684.1.RUNX3--1293	chr2	165793411	165793420	+	0.000	0.000	
MA0684.1.RUNX3--1294	chr2	166046260	166046269	+	0.000	0.000	
MA0684.1.RUNX3--1295	chr2	166264959	166264968	+	0.000	0.000	
MA0684.1.RUNX3--1296	chr2	166469287	166469296	+	0.000	0.000	
MA0684.1.RUNX3--1297	chr2	166549238	166549247	+	0.000	0.000	
MA0684.1.RUNX3--1298	chr2	167996051	167996060	-	0.000	0.000	
MA0684.1.RUNX3--1299	chr2	167997153	167997162	+	0.000	0.000	
MA0684.1.RUNX3--1300	chr2	168445667	168445676	-	0.000	0.000	
MA0684.1.RUNX3--1301	chr2	170205992	170206001	+	0.000	0.000	
MA0684.1.RUNX3--1302	chr2	170219240	170219249	+	0.000	0.000	
MA0684.1.RUNX3--1303	chr2	170307693	170307702	-	0.000	0.000	
MA0684.1.RUNX3--1304	chr2	173187030	173187039	+	0.000	0.000	
MA0684.1.RUNX3--1305	chr2	173409704	173409713	-	0.000	0.000	
MA0684.1.RUNX3--1306	chr2	175338845	175338854	+	0.000	0.000	
MA0684.1.RUNX3--1307	chr2	176928404	176928413	+	0.000	0.000	
MA0684.1.RUNX3--1308	chr2	178237499	178237508	-	0.000	0.000	
MA0684.1.RUNX3--1309	chr2	180080937	180080946	-	0.000	0.000	
MA0684.1.RUNX3--1310	chr2	180096060	180096069	-	0.000	0.000	
MA0684.1.RUNX3--1311	chr2	181213119	181213128	-	0.000	0.000	
MA0684.1.RUNX3--1312	chr3	5860542	5860551	+	0.000	0.000	
MA0684.1.RUNX3--1313	chr3	9465894	9465903	+	0.000	0.000	
MA0684.1.RUNX3--1314	chr3	9787923	9787932	+	0.000	0.000	
MA0684.1.RUNX3--1315	chr3	18624050	18624059	+	0.000	0.000	
MA0684.1.RUNX3--1316	chr3	19628673	19628682	-	0.000	0.000	
MA0684.1.RUNX3--1317	chr3	20034915	20034924	-	0.000	0.000	
MA0684.1.RUNX3--1318	chr3	21009873	21009882	-	0.000	0.000	
MA0684.1.RUNX3--1319	chr3	21009885	21009894	-	0.000	0.000	
MA0684.1.RUNX3--1320	chr3	21963153	21963162	+	0.000	0.000	
MA0684.1.RUNX3--1321	chr3	22731173	22731182	-	0.000	0.000	
MA0684.1.RUNX3--1322	chr3	26725133	26725142	-	0.000	0.000	
MA0684.1.RUNX3--1323	chr3	28264272	28264281	-	0.000	0.000	
MA0684.1.RUNX3--1324	chr3	30018636	30018645	+	0.000	0.000	
MA0684.1.RUNX3--1325	chr3	30876916	30876925	-	0.000	0.000	
MA0684.1.RUNX3--1326	chr3	36854118	36854127	+	0.000	0.000	
MA0684.1.RUNX3--1327	chr3	37476633	37476642	-	0.000	0.000	
MA0684.1.RUNX3--1328	chr3	37748296	37748305	-	0.000	0.000	
MA0684.1.RUNX3--1329	chr3	37940296	37940305	+	0.000	0.000	
MA0684.1.RUNX3--1330	chr3	38601392	38601401	+	0.000	0.000	
MA0684.1.RUNX3--1331	chr3	51128998	51129007	-	0.000	0.000	
MA0684.1.RUNX3--1332	chr3	51289309	51289318	+	0.000	0.000	
MA0684.1.RUNX3--1333	chr3	51765434	51765443	-	0.000	0.000	
MA0684.1.RUNX3--1334	chr3	52343737	52343746	+	0.000	0.000	
MA0684.1.RUNX3--1335	chr3	52555212	52555221	+	0.000	0.000	
MA0684.1.RUNX3--1336	chr3	52555267	52555276	-	0.000	0.000	
MA0684.1.RUNX3--1337	chr3	54734622	54734631	+	0.000	0.000	
MA0684.1.RUNX3--1338	chr3	55946810	55946819	-	0.000	0.000	
MA0684.1.RUNX3--1339	chr3	58577200	58577209	+	0.000	0.000	
MA0684.1.RUNX3--1340	chr3	59079589	59079598	-	0.000	0.000	
