#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR3810--MA0149.1.EWSR1-FLI1	chr14	76781597	76781614	+	0.000	0.000	Merged-chr14-76781624-49
NR7754--MA0149.1.EWSR1-FLI1	chr3	142545548	142545565	+	0.000	0.000	Merged-chr3-142545607-21
NR5945--MA0475.2.FLI1	chr19	43917306	43917315	+	0.000	0.000	Merged-chr19-43917229-61
NR1917--MA0475.2.FLI1	chr11	68499133	68499142	+	0.000	0.000	Merged-chr11-68499042-49
NR2068--MA0149.1.EWSR1-FLI1	chr11	97133500	97133517	-	0.000	0.000	Merged-chr11-97133494-13
NR9499--MA0149.1.EWSR1-FLI1	chr6	43382541	43382558	-	0.000	0.000	Merged-chr6-43382669-61
NR847--MA0475.2.FLI1	chr1	180403885	180403894	-	0.000	0.000	Merged-chr1-180403715-60
NR7955--MA0149.1.EWSR1-FLI1	chr4	33146978	33146995	+	0.000	0.000	Merged-chr4-33147019-23
NR2244--MA0149.1.EWSR1-FLI1	chr11	113802660	113802677	+	0.000	0.000	Merged-chr11-113802652-27
NR6497--MA0149.1.EWSR1-FLI1	chr2	80684640	80684657	-	0.000	0.000	Merged-chr2-80684823-58
NR11397--MA0149.1.EWSR1-FLI1	chr8	115188716	115188733	-	0.000	0.000	Merged-chr8-115188643-43
NR5835--MA0149.1.EWSR1-FLI1	chr19	10698422	10698439	+	0.000	0.000	Merged-chr19-10698600-31
NR7985--MA0149.1.EWSR1-FLI1	chr4	40823996	40824013	+	0.000	0.000	Merged-chr4-40823922-38
NR10740--MA0149.1.EWSR1-FLI1	chr7	122317130	122317147	-	0.000	0.000	Merged-chr7-122317075-24
NR11685--MA0475.2.FLI1	chr9	56419116	56419125	-	0.000	0.000	Merged-chr9-56419056-3
NR4827--MA0149.1.EWSR1-FLI1	chr16	90995092	90995109	-	0.000	0.000	Merged-chr16-90995039-12
NR9080--MA0475.2.FLI1	chr5	115313781	115313790	+	0.000	0.000	Merged-chr5-115313738-19
NR2766--MA0149.1.EWSR1-FLI1	chr12	112594285	112594302	-	0.000	0.000	Merged-chr12-112594267-76
NR584--MA0475.2.FLI1	chr1	141884576	141884585	+	0.000	0.000	Merged-chr1-141884458-46
NR5173--MA0475.2.FLI1	chr17	51814554	51814563	+	0.000	0.000	Merged-chr17-51814512-17
NR3369--MA0149.1.EWSR1-FLI1	chr13	114878895	114878912	+	0.000	0.000	Merged-chr13-114879006-41
NR8346--MA0149.1.EWSR1-FLI1	chr4	118162347	118162364	-	0.000	0.000	Merged-chr4-118162293-29
NR11798--MA0149.1.EWSR1-FLI1	chr9	69034528	69034545	-	0.000	0.000	Merged-chr9-69034461-64
NR6160--MA0475.2.FLI1	chr2	27693852	27693861	+	0.000	0.000	Merged-chr2-27693880-30
NR12216--MA0475.2.FLI1	chr9	123836052	123836061	+	0.000	0.000	Merged-chr9-123836013-41
NR12055--MA0149.1.EWSR1-FLI1	chr9	110896899	110896916	-	0.000	0.000	Merged-chr9-110896831-29
NR2020--MA0149.1.EWSR1-FLI1	chr11	87745140	87745157	+	0.000	0.000	Merged-chr11-87745119-47
NR1071--MA0149.1.EWSR1-FLI1	chr10	21335697	21335714	+	0.000	0.000	Merged-chr10-21335656-23
NR11665--MA0149.1.EWSR1-FLI1	chr9	50537336	50537353	+	0.000	0.000	Merged-chr9-50537430-19
NR2706--MA0475.2.FLI1	chr12	105001156	105001165	-	0.000	0.000	Merged-chr12-105001185-43
NR12051--MA0475.2.FLI1	chr9	110641209	110641218	-	0.000	0.000	Merged-chr9-110641188-21
NR5322--MA0475.2.FLI1	chr17	83654791	83654800	-	0.000	0.000	Merged-chr17-83654883-58
NR8181--MA0149.1.EWSR1-FLI1	chr4	89369299	89369316	+	0.000	0.000	Merged-chr4-89369224-21
NR3908--MA0475.2.FLI1	chr14	103850710	103850719	+	0.000	0.000	Merged-chr14-103850623-36
NR10111--MA0149.1.EWSR1-FLI1	chr6	145249575	145249592	-	0.000	0.000	Merged-chr6-145249454-6
NR5354--MA0475.2.FLI1	chr17	88123916	88123925	-	0.000	0.000	Merged-chr17-88123873-45
NR4015--MA0149.1.EWSR1-FLI1	chr14	122852792	122852809	-	0.000	0.000	Merged-chr14-122852603-67
NR4806--MA0475.2.FLI1	chr16	78560287	78560296	-	0.000	0.000	Merged-chr16-78560297-42
NR5260--MA0475.2.FLI1	chr17	73952316	73952325	+	0.000	0.000	Merged-chr17-73952254-58
NR11453--MA0149.1.EWSR1-FLI1	chr8	120702229	120702246	+	0.000	0.000	Merged-chr8-120702084-56
NR4824--MA0475.2.FLI1	chr16	90475941	90475950	-	0.000	0.000	Merged-chr16-90475942-51
NR8718--MA0475.2.FLI1	chr5	28269924	28269933	-	0.000	0.000	Merged-chr5-28269924-54
NR9081--MA0149.1.EWSR1-FLI1	chr5	115313804	115313821	+	0.000	0.000	Merged-chr5-115313738-19
NR4287--MA0149.1.EWSR1-FLI1	chr15	80896956	80896973	-	0.000	0.000	Merged-chr15-80896921-31
NR3751--MA0149.1.EWSR1-FLI1	chr14	71113384	71113401	+	0.000	0.000	Merged-chr14-71113589-38
NR352--MA0149.1.EWSR1-FLI1	chr1	91825530	91825547	+	0.000	0.000	Merged-chr1-91825474-20
NR7265--MA0149.1.EWSR1-FLI1	chr3	52857245	52857262	-	0.000	0.000	Merged-chr3-52857381-31
NR844--MA0149.1.EWSR1-FLI1	chr1	180387574	180387591	-	0.000	0.000	Merged-chr1-180387589-46
NR2251--MA0149.1.EWSR1-FLI1	chr11	114571211	114571228	-	0.000	0.000	Merged-chr11-114571439-19
NR2313--MA0149.1.EWSR1-FLI1	chr11	119166155	119166172	-	0.000	0.000	Merged-chr11-119166198-51
NR10349--MA0149.1.EWSR1-FLI1	chr7	43437109	43437126	+	0.000	0.000	Merged-chr7-43436818-56
NR6383--MA0149.1.EWSR1-FLI1	chr2	61593473	61593490	-	0.000	0.000	Merged-chr2-61593525-121
NR3216--MA0475.2.FLI1	chr13	98832685	98832694	-	0.000	0.000	Merged-chr13-98832743-37
NR7169--MA0149.1.EWSR1-FLI1	chr3	9853159	9853176	+	0.000	0.000	Merged-chr3-9853322-69
NR10767--MA0149.1.EWSR1-FLI1	chr7	125496285	125496302	-	0.000	0.000	Merged-chr7-125496348-14
NR10886--MA0475.2.FLI1	chr7	139156801	139156810	+	0.000	0.000	Merged-chr7-139156945-61
NR5889--MA0475.2.FLI1	chr19	27967790	27967799	-	0.000	0.000	Merged-chr19-27967760-35
NR2798--MA0149.1.EWSR1-FLI1	chr12	118296427	118296444	+	0.000	0.000	Merged-chr12-118296340-47
NR3809--MA0149.1.EWSR1-FLI1	chr14	76781593	76781610	+	0.000	0.000	Merged-chr14-76781624-49
NR6415--MA0475.2.FLI1	chr2	69415326	69415335	+	0.000	0.000	Merged-chr2-69415236-25
NR1298--MA0149.1.EWSR1-FLI1	chr10	77962897	77962914	+	0.000	0.000	Merged-chr10-77962952-24
NR3181--MA0149.1.EWSR1-FLI1	chr13	92844710	92844727	-	0.000	0.000	Merged-chr13-92844902-63
NR11663--MA0475.2.FLI1	chr9	50525802	50525811	+	0.000	0.000	Merged-chr9-50525750-20
NR5594--MA0475.2.FLI1	chr18	62192285	62192294	-	0.000	0.000	Merged-chr18-62192443-48
NR5021--MA0475.2.FLI1	chr17	27405822	27405831	-	0.000	0.000	Merged-chr17-27405803-19
NR2702--MA0149.1.EWSR1-FLI1	chr12	104210025	104210042	-	0.000	0.000	Merged-chr12-104209958-42
NR10738--MA0149.1.EWSR1-FLI1	chr7	122316988	122317005	-	0.000	0.000	Merged-chr7-122317075-24
NR6772--MA0149.1.EWSR1-FLI1	chr2	129180083	129180100	-	0.000	0.000	Merged-chr2-129180074-1
NR9792--MA0149.1.EWSR1-FLI1	chr6	100824749	100824766	-	0.000	0.000	Merged-chr6-100824678-47
NR8433--MA0149.1.EWSR1-FLI1	chr4	130921106	130921123	+	0.000	0.000	Merged-chr4-130921297-32
NR942--MA0149.1.EWSR1-FLI1	chr1	191097828	191097845	-	0.000	0.000	Merged-chr1-191097986-4
NR7855--MA0149.1.EWSR1-FLI1	chr3	152920533	152920550	+	0.000	0.000	Merged-chr3-152920565-52
NR4247--MA0149.1.EWSR1-FLI1	chr15	76243448	76243465	+	0.000	0.000	Merged-chr15-76243326-45
NR6278--MA0475.2.FLI1	chr2	44345117	44345126	-	0.000	0.000	Merged-chr2-44345197-78
NR5243--MA0149.1.EWSR1-FLI1	chr17	71214347	71214364	+	0.000	0.000	Merged-chr17-71214238-2
NR5918--MA0149.1.EWSR1-FLI1	chr19	36375596	36375613	-	0.000	0.000	Merged-chr19-36375451-74
NR2211--MA0149.1.EWSR1-FLI1	chr11	110897110	110897127	+	0.000	0.000	Merged-chr11-110897111-25
NR4309--MA0475.2.FLI1	chr15	83474145	83474154	+	0.000	0.000	Merged-chr15-83474258-63
NR604--MA0475.2.FLI1	chr1	144300848	144300857	+	0.000	0.000	Merged-chr1-144301040-48
NR11853--MA0475.2.FLI1	chr9	80266661	80266670	+	0.000	0.000	Merged-chr9-80266579-55
NR5896--MA0475.2.FLI1	chr19	31337438	31337447	-	0.000	0.000	Merged-chr19-31337298-1
NR5970--MA0149.1.EWSR1-FLI1	chr19	53020081	53020098	-	0.000	0.000	Merged-chr19-53020270-32
NR2320--MA0149.1.EWSR1-FLI1	chr11	119677126	119677143	-	0.000	0.000	Merged-chr11-119677198-48
NR8434--MA0149.1.EWSR1-FLI1	chr4	130922202	130922219	-	0.000	0.000	Merged-chr4-130922235-36
NR5261--MA0475.2.FLI1	chr17	73952404	73952413	+	0.000	0.000	Merged-chr17-73952254-58
NR10077--MA0149.1.EWSR1-FLI1	chr6	142561289	142561306	+	0.000	0.000	Merged-chr6-142561422-52
NR7856--MA0149.1.EWSR1-FLI1	chr3	152920537	152920554	+	0.000	0.000	Merged-chr3-152920565-52
NR11948--MA0149.1.EWSR1-FLI1	chr9	96370161	96370178	+	0.000	0.000	Merged-chr9-96369990-33
NR10161--MA0149.1.EWSR1-FLI1	chr7	3289343	3289360	+	0.000	0.000	Merged-chr7-3289241-19
NR2721--MA0149.1.EWSR1-FLI1	chr12	107129505	107129522	-	0.000	0.000	Merged-chr12-107129420-39
NR11444--MA0149.1.EWSR1-FLI1	chr8	120049938	120049955	-	0.000	0.000	Merged-chr8-120050156-23
NR11627--MA0149.1.EWSR1-FLI1	chr9	42076482	42076499	-	0.000	0.000	Merged-chr9-42076417-27
NR8709--MA0149.1.EWSR1-FLI1	chr5	24776973	24776990	-	0.000	0.000	Merged-chr5-24777004-40
NR10044--MA0475.2.FLI1	chr6	137795295	137795304	+	0.000	0.000	Merged-chr6-137795480-24
NR8545--MA0475.2.FLI1	chr4	144906956	144906965	-	0.000	0.000	Merged-chr4-144906777-28
NR585--MA0149.1.EWSR1-FLI1	chr1	141884592	141884609	-	0.000	0.000	Merged-chr1-141884458-46
NR8447--MA0149.1.EWSR1-FLI1	chr4	133158846	133158863	+	0.000	0.000	Merged-chr4-133158695-1
NR1760--MA0149.1.EWSR1-FLI1	chr11	32580782	32580799	-	0.000	0.000	Merged-chr11-32580688-47
NR4283--MA0149.1.EWSR1-FLI1	chr15	80192519	80192536	-	0.000	0.000	Merged-chr15-80192413-58
NR3217--MA0475.2.FLI1	chr13	98832913	98832922	-	0.000	0.000	Merged-chr13-98832743-37
NR9752--MA0149.1.EWSR1-FLI1	chr6	95621853	95621870	+	0.000	0.000	Merged-chr6-95621938-31
NR1073--MA0475.2.FLI1	chr10	21419395	21419404	-	0.000	0.000	Merged-chr10-21419295-38
NR11824--MA0475.2.FLI1	chr9	73073390	73073399	-	0.000	0.000	Merged-chr9-73073244-62
NR11536--MA0149.1.EWSR1-FLI1	chr9	14499342	14499359	+	0.000	0.000	Merged-chr9-14499189-81
NR1088--MA0149.1.EWSR1-FLI1	chr10	26229629	26229646	-	0.000	0.000	Merged-chr10-26229708-29
NR4392--MA0149.1.EWSR1-FLI1	chr15	99803291	99803308	+	0.000	0.000	Merged-chr15-99803335-29
NR1276--MA0149.1.EWSR1-FLI1	chr10	75446601	75446618	-	0.000	0.000	Merged-chr10-75446685-44
NR6253--MA0149.1.EWSR1-FLI1	chr2	36220320	36220337	-	0.000	0.000	Merged-chr2-36220233-13
NR2393--MA0149.1.EWSR1-FLI1	chr12	16558233	16558250	-	0.000	0.000	Merged-chr12-16558216-24
NR10407--MA0149.1.EWSR1-FLI1	chr7	58759547	58759564	-	0.000	0.000	Merged-chr7-58759463-23
NR2719--MA0475.2.FLI1	chr12	107047408	107047417	+	0.000	0.000	Merged-chr12-107047336-65
NR5120--MA0475.2.FLI1	chr17	45488791	45488800	+	0.000	0.000	Merged-chr17-45488824-86
NR2947--MA0149.1.EWSR1-FLI1	chr13	43250837	43250854	+	0.000	0.000	Merged-chr13-43250604-89
NR4160--MA0475.2.FLI1	chr15	59795808	59795817	+	0.000	0.000	Merged-chr15-59795826-47
NR9498--MA0149.1.EWSR1-FLI1	chr6	43382530	43382547	-	0.000	0.000	Merged-chr6-43382669-61
NR6958--MA0149.1.EWSR1-FLI1	chr2	157424270	157424287	-	0.000	0.000	Merged-chr2-157424284-16
NR11351--MA0475.2.FLI1	chr8	106821492	106821501	+	0.000	0.000	Merged-chr8-106821433-20
NR3765--MA0475.2.FLI1	chr14	73290133	73290142	-	0.000	0.000	Merged-chr14-73290096-39
NR4000--MA0149.1.EWSR1-FLI1	chr14	121422504	121422521	+	0.000	0.000	Merged-chr14-121422362-22
NR11480--MA0149.1.EWSR1-FLI1	chr8	124700824	124700841	-	0.000	0.000	Merged-chr8-124700723-98
NR5936--MA0475.2.FLI1	chr19	41328888	41328897	+	0.000	0.000	Merged-chr19-41328970-48
NR9469--MA0149.1.EWSR1-FLI1	chr6	33618884	33618901	+	0.000	0.000	Merged-chr6-33618746-27
NR4412--MA0475.2.FLI1	chr15	101388299	101388308	+	0.000	0.000	Merged-chr15-101388154-52
NR11851--MA0149.1.EWSR1-FLI1	chr9	80252350	80252367	+	0.000	0.000	Merged-chr9-80252331-18
NR7433--MA0149.1.EWSR1-FLI1	chr3	94388098	94388115	+	0.000	0.000	Merged-chr3-94388255-39
NR7494--MA0475.2.FLI1	chr3	102755966	102755975	-	0.000	0.000	Merged-chr3-102756086-59
NR8105--MA0475.2.FLI1	chr4	62661523	62661532	+	0.000	0.000	Merged-chr4-62661511-68
NR9583--MA0149.1.EWSR1-FLI1	chr6	54923034	54923051	+	0.000	0.000	Merged-chr6-54923134-7
NR8345--MA0149.1.EWSR1-FLI1	chr4	118162343	118162360	-	0.000	0.000	Merged-chr4-118162293-29
NR666--MA0149.1.EWSR1-FLI1	chr1	159812903	159812920	-	0.000	0.000	Merged-chr1-159812982-41
NR6606--MA0475.2.FLI1	chr2	103754816	103754825	-	0.000	0.000	Merged-chr2-103754819-28
NR1967--MA0475.2.FLI1	chr11	75956819	75956828	+	0.000	0.000	Merged-chr11-75956797-42
NR6084--MA0149.1.EWSR1-FLI1	chr2	13560710	13560727	+	0.000	0.000	Merged-chr2-13560596-20
NR4285--MA0149.1.EWSR1-FLI1	chr15	80896924	80896941	-	0.000	0.000	Merged-chr15-80896921-31
NR1070--MA0149.1.EWSR1-FLI1	chr10	21335693	21335710	+	0.000	0.000	Merged-chr10-21335656-23
NR350--MA0149.1.EWSR1-FLI1	chr1	91825522	91825539	+	0.000	0.000	Merged-chr1-91825474-20
NR5998--MA0149.1.EWSR1-FLI1	chr19	57131548	57131565	-	0.000	0.000	Merged-chr19-57131601-25
NR9428--MA0149.1.EWSR1-FLI1	chr6	13061901	13061918	-	0.000	0.000	Merged-chr6-13061823-67
NR11847--MA0149.1.EWSR1-FLI1	chr9	79810584	79810601	+	0.000	0.000	Merged-chr9-79810670-36
NR11852--MA0149.1.EWSR1-FLI1	chr9	80252354	80252371	+	0.000	0.000	Merged-chr9-80252331-18
NR5840--MA0149.1.EWSR1-FLI1	chr19	11108079	11108096	+	0.000	0.000	Merged-chr19-11107987-20
NR6873--MA0149.1.EWSR1-FLI1	chr2	146198260	146198277	-	0.000	0.000	Merged-chr2-146198137-48
NR11591--MA0475.2.FLI1	chr9	25429996	25430005	+	0.000	0.000	Merged-chr9-25429934-32
NR2069--MA0149.1.EWSR1-FLI1	chr11	97133504	97133521	-	0.000	0.000	Merged-chr11-97133494-13
NR3819--MA0149.1.EWSR1-FLI1	chr14	78692224	78692241	+	0.000	0.000	Merged-chr14-78692214-30
NR5969--MA0149.1.EWSR1-FLI1	chr19	53020077	53020094	-	0.000	0.000	Merged-chr19-53020270-32
NR9567--MA0149.1.EWSR1-FLI1	chr6	52965489	52965506	-	0.000	0.000	Merged-chr6-52965594-53
NR137--MA0475.2.FLI1	chr1	51585134	51585143	-	0.000	0.000	Merged-chr1-51585090-58
NR4286--MA0149.1.EWSR1-FLI1	chr15	80896952	80896969	-	0.000	0.000	Merged-chr15-80896921-31
NR8601--MA0149.1.EWSR1-FLI1	chr4	150894743	150894760	-	0.000	0.000	Merged-chr4-150894695-19
NR351--MA0149.1.EWSR1-FLI1	chr1	91825526	91825543	+	0.000	0.000	Merged-chr1-91825474-20
NR1074--MA0475.2.FLI1	chr10	21419426	21419435	-	0.000	0.000	Merged-chr10-21419295-38
NR2245--MA0149.1.EWSR1-FLI1	chr11	113802664	113802681	+	0.000	0.000	Merged-chr11-113802652-27
NR4620--MA0149.1.EWSR1-FLI1	chr16	32650959	32650976	+	0.000	0.000	Merged-chr16-32651222-48
NR5836--MA0149.1.EWSR1-FLI1	chr19	10698426	10698443	+	0.000	0.000	Merged-chr19-10698600-31
NR1363--MA0149.1.EWSR1-FLI1	chr10	83664026	83664043	-	0.000	0.000	Merged-chr10-83664117-9
NR10348--MA0149.1.EWSR1-FLI1	chr7	43437105	43437122	+	0.000	0.000	Merged-chr7-43436818-56
NR7373--MA0149.1.EWSR1-FLI1	chr3	87847003	87847020	+	0.000	0.000	Merged-chr3-87846918-77
NR11161--MA0149.1.EWSR1-FLI1	chr8	57416886	57416903	+	0.000	0.000	Merged-chr8-57416909-32
NR10719--MA0149.1.EWSR1-FLI1	chr7	117433309	117433326	-	0.000	0.000	Merged-chr7-117433338-2
NR3707--MA0475.2.FLI1	chr14	65113807	65113816	-	0.000	0.000	Merged-chr14-65113927-33
NR11799--MA0149.1.EWSR1-FLI1	chr9	69034532	69034549	-	0.000	0.000	Merged-chr9-69034461-64
NR7277--MA0149.1.EWSR1-FLI1	chr3	59081143	59081160	-	0.000	0.000	Merged-chr3-59081244-57
NR9138--MA0149.1.EWSR1-FLI1	chr5	122143774	122143791	+	0.000	0.000	Merged-chr5-122143797-29
NR6010--MA0475.2.FLI1	chr19	57970720	57970729	-	0.000	0.000	Merged-chr19-57970893-58
NR7920--MA0149.1.EWSR1-FLI1	chr4	11769291	11769308	-	0.000	0.000	Merged-chr4-11769375-29
NR4641--MA0475.2.FLI1	chr16	35743076	35743085	+	0.000	0.000	Merged-chr16-35743015-1
NR9064--MA0149.1.EWSR1-FLI1	chr5	112384983	112385000	-	0.000	0.000	Merged-chr5-112385056-37
NR4847--MA0475.2.FLI1	chr16	93586579	93586588	+	0.000	0.000	Merged-chr16-93586455-1
NR2578--MA0475.2.FLI1	chr12	82469835	82469844	-	0.000	0.000	Merged-chr12-82469736-1
NR4542--MA0149.1.EWSR1-FLI1	chr16	13845296	13845313	+	0.000	0.000	Merged-chr16-13845150-21
NR1963--MA0475.2.FLI1	chr11	74547251	74547260	+	0.000	0.000	Merged-chr11-74547322-69
NR10542--MA0149.1.EWSR1-FLI1	chr7	82957441	82957458	-	0.000	0.000	Merged-chr7-82957578-74
NR7362--MA0149.1.EWSR1-FLI1	chr3	84772077	84772094	+	0.000	0.000	Merged-chr3-84772067-31
NR632--MA0149.1.EWSR1-FLI1	chr1	153320367	153320384	+	0.000	0.000	Merged-chr1-153320307-48
NR7500--MA0475.2.FLI1	chr3	103872780	103872789	-	0.000	0.000	Merged-chr3-103872856-42
NR8129--MA0475.2.FLI1	chr4	72184648	72184657	-	0.000	0.000	Merged-chr4-72184753-17
NR7199--MA0149.1.EWSR1-FLI1	chr3	27322772	27322789	+	0.000	0.000	Merged-chr3-27322840-36
NR875--MA0475.2.FLI1	chr1	183388974	183388983	-	0.000	0.000	Merged-chr1-183388953-51
NR7921--MA0149.1.EWSR1-FLI1	chr4	11769295	11769312	-	0.000	0.000	Merged-chr4-11769375-29
NR8032--MA0149.1.EWSR1-FLI1	chr4	47319899	47319916	+	0.000	0.000	Merged-chr4-47319930-54
NR11175--MA0149.1.EWSR1-FLI1	chr8	69809051	69809068	+	0.000	0.000	Merged-chr8-69808913-73
NR3238--MA0149.1.EWSR1-FLI1	chr13	101664214	101664231	-	0.000	0.000	Merged-chr13-101664276-40
NR9950--MA0149.1.EWSR1-FLI1	chr6	127303041	127303058	+	0.000	0.000	Merged-chr6-127302896-25
NR11350--MA0475.2.FLI1	chr8	106643248	106643257	-	0.000	0.000	Merged-chr8-106643215-49
NR12112--MA0149.1.EWSR1-FLI1	chr9	117892762	117892779	-	0.000	0.000	Merged-chr9-117892877-51
NR7452--MA0475.2.FLI1	chr3	95673045	95673054	-	0.000	0.000	Merged-chr3-95672932-76
NR1432--MA0149.1.EWSR1-FLI1	chr10	95416845	95416862	-	0.000	0.000	Merged-chr10-95416842-99
NR2156--MA0149.1.EWSR1-FLI1	chr11	104631365	104631382	-	0.000	0.000	Merged-chr11-104631492-24
NR1907--MA0475.2.FLI1	chr11	67532356	67532365	+	0.000	0.000	Merged-chr11-67532343-16
NR3340--MA0149.1.EWSR1-FLI1	chr13	112342103	112342120	-	0.000	0.000	Merged-chr13-112342046-22
NR7372--MA0475.2.FLI1	chr3	87846986	87846995	-	0.000	0.000	Merged-chr3-87846918-77
NR2799--MA0149.1.EWSR1-FLI1	chr12	118296430	118296447	+	0.000	0.000	Merged-chr12-118296340-47
NR8112--MA0149.1.EWSR1-FLI1	chr4	63899270	63899287	-	0.000	0.000	Merged-chr4-63899190-80
NR8216--MA0475.2.FLI1	chr4	97861176	97861185	-	0.000	0.000	Merged-chr4-97861060-64
NR12356--MA0475.2.FLI1	chrX	100504401	100504410	-	0.000	0.000	Merged-chrX-100504535-34
NR2065--MA0149.1.EWSR1-FLI1	chr11	97123486	97123503	+	0.000	0.000	Merged-chr11-97123645-15
NR8300--MA0149.1.EWSR1-FLI1	chr4	108350042	108350059	+	0.000	0.000	Merged-chr4-108350117-42
NR10078--MA0475.2.FLI1	chr6	142561360	142561369	+	0.000	0.000	Merged-chr6-142561422-52
NR10739--MA0149.1.EWSR1-FLI1	chr7	122316992	122317009	-	0.000	0.000	Merged-chr7-122317075-24
NR6773--MA0149.1.EWSR1-FLI1	chr2	129180087	129180104	-	0.000	0.000	Merged-chr2-129180074-1
NR631--MA0475.2.FLI1	chr1	153288175	153288184	+	0.000	0.000	Merged-chr1-153288080-22
NR1549--MA0149.1.EWSR1-FLI1	chr10	118884339	118884356	+	0.000	0.000	Merged-chr10-118884259-20
NR12113--MA0149.1.EWSR1-FLI1	chr9	117892766	117892783	-	0.000	0.000	Merged-chr9-117892877-51
NR9751--MA0149.1.EWSR1-FLI1	chr6	95621849	95621866	+	0.000	0.000	Merged-chr6-95621938-31
NR8942--MA0475.2.FLI1	chr5	93109687	93109696	-	0.000	0.000	Merged-chr5-93109666-38
NR2157--MA0149.1.EWSR1-FLI1	chr11	104667671	104667688	-	0.000	0.000	Merged-chr11-104667644-45
NR5953--MA0149.1.EWSR1-FLI1	chr19	45577514	45577531	+	0.000	0.000	Merged-chr19-45577468-39
NR4391--MA0149.1.EWSR1-FLI1	chr15	99803287	99803304	+	0.000	0.000	Merged-chr15-99803335-29
NR11891--MA0149.1.EWSR1-FLI1	chr9	86624974	86624991	+	0.000	0.000	Merged-chr9-86625059-9
NR3341--MA0149.1.EWSR1-FLI1	chr13	112342107	112342124	-	0.000	0.000	Merged-chr13-112342046-22
NR7285--MA0149.1.EWSR1-FLI1	chr3	60788271	60788288	-	0.000	0.000	Merged-chr3-60788099-46
NR2800--MA0149.1.EWSR1-FLI1	chr12	118296434	118296451	+	0.000	0.000	Merged-chr12-118296340-47
NR10406--MA0149.1.EWSR1-FLI1	chr7	58759539	58759556	-	0.000	0.000	Merged-chr7-58759463-23
NR622--MA0149.1.EWSR1-FLI1	chr1	152084853	152084870	+	0.000	0.000	Merged-chr1-152084822-56
NR9497--MA0149.1.EWSR1-FLI1	chr6	43382526	43382543	-	0.000	0.000	Merged-chr6-43382669-61
NR1876--MA0149.1.EWSR1-FLI1	chr11	60114501	60114518	+	0.000	0.000	Merged-chr11-60114477-20
NR9084--MA0475.2.FLI1	chr5	115516596	115516605	-	0.000	0.000	Merged-chr5-115516638-85
