#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR2689--MA0098.3.ETS1	chr6	119199071	119199080	+	0.000	0.000	Merged-chr6-119199024-52
NR1044--MA0098.3.ETS1	chr14	76580013	76580022	-	0.000	0.000	Merged-chr14-76580010-38
NR1165--MA0098.3.ETS1	chr15	78248552	78248561	-	0.000	0.000	Merged-chr15-78248653-25
NR3318--MA0098.3.ETS1	chrX	136986220	136986229	+	0.000	0.000	Merged-chrX-136986316-28
NR721--MA0098.3.ETS1	chr12	85839479	85839488	+	0.000	0.000	Merged-chr12-85839573-18
NR2282--MA0098.3.ETS1	chr4	121024098	121024107	+	0.000	0.000	Merged-chr4-121024111-11
NR3108--MA0098.3.ETS1	chr9	40449095	40449104	+	0.000	0.000	Merged-chr9-40448994-23
NR296--MA0098.3.ETS1	chr10	62543697	62543706	-	0.000	0.000	Merged-chr10-62543854-97
NR3238--MA0098.3.ETS1	chr9	114770551	114770560	-	0.000	0.000	Merged-chr9-114770446-32
NR1636--MA0098.3.ETS1	chr19	27967790	27967799	-	0.000	0.000	Merged-chr19-27967760-35
NR2726--MA0098.3.ETS1	chr6	130387092	130387101	-	0.000	0.000	Merged-chr6-130387166-57
NR1869--MA0098.3.ETS1	chr2	129180179	129180188	-	0.000	0.000	Merged-chr2-129180074-1
NR758--MA0098.3.ETS1	chr12	111691473	111691482	+	0.000	0.000	Merged-chr12-111691386-42
NR2422--MA0098.3.ETS1	chr5	64609598	64609607	+	0.000	0.000	Merged-chr5-64609569-18
NR1001--MA0098.3.ETS1	chr14	55098109	55098118	-	0.000	0.000	Merged-chr14-55098022-56
NR2776--MA0098.3.ETS1	chr7	19322576	19322585	+	0.000	0.000	Merged-chr7-19322692-6
NR566--MA0098.3.ETS1	chr11	97146133	97146142	-	0.000	0.000	Merged-chr11-97146058-3
NR2794--MA0098.3.ETS1	chr7	28440925	28440934	+	0.000	0.000	Merged-chr7-28440989-32
NR1723--MA0098.3.ETS1	chr2	26668979	26668988	-	0.000	0.000	Merged-chr2-26668948-49
NR827--MA0098.3.ETS1	chr13	46340129	46340138	-	0.000	0.000	Merged-chr13-46340117-51
NR3008--MA0098.3.ETS1	chr8	91082198	91082207	+	0.000	0.000	Merged-chr8-91082333-75
NR178--MA0098.3.ETS1	chr1	170167961	170167970	+	0.000	0.000	Merged-chr1-170167960-28
NR630--MA0098.3.ETS1	chr11	119847297	119847306	-	0.000	0.000	Merged-chr11-119847373-20
NR1415--MA0098.3.ETS1	chr17	50125403	50125412	-	0.000	0.000	Merged-chr17-50125394-33
NR747--MA0098.3.ETS1	chr12	105001156	105001165	-	0.000	0.000	Merged-chr12-105001185-43
NR1648--MA0098.3.ETS1	chr19	40300148	40300157	+	0.000	0.000	Merged-chr19-40300210-18
NR555--MA0098.3.ETS1	chr11	88951068	88951077	-	0.000	0.000	Merged-chr11-88951020-7
NR1474--MA0098.3.ETS1	chr17	88038342	88038351	-	0.000	0.000	Merged-chr17-88038382-13
NR206--MA0098.3.ETS1	chr1	180403885	180403894	-	0.000	0.000	Merged-chr1-180403715-60
NR1013--MA0098.3.ETS1	chr14	62845241	62845250	+	0.000	0.000	Merged-chr14-62845397-18
NR95--MA0098.3.ETS1	chr1	108041097	108041106	-	0.000	0.000	Merged-chr1-108041291-27
NR2327--MA0098.3.ETS1	chr4	135475558	135475567	+	0.000	0.000	Merged-chr4-135475652-18
NR699--MA0098.3.ETS1	chr12	73656958	73656967	-	0.000	0.000	Merged-chr12-73656860-57
NR2041--MA0098.3.ETS1	chr3	84715253	84715262	-	0.000	0.000	Merged-chr3-84715324-47
NR740--MA0098.3.ETS1	chr12	102627711	102627720	-	0.000	0.000	Merged-chr12-102627698-2
NR1865--MA0098.3.ETS1	chr2	127189703	127189712	-	0.000	0.000	Merged-chr2-127189787-10
NR2745--MA0098.3.ETS1	chr6	140729570	140729579	-	0.000	0.000	Merged-chr6-140729638-6
NR1427--MA0098.3.ETS1	chr17	57264335	57264344	+	0.000	0.000	Merged-chr17-57264332-13
NR3177--MA0098.3.ETS1	chr9	72097346	72097355	-	0.000	0.000	Merged-chr9-72097262-35
NR2987--MA0098.3.ETS1	chr8	72491749	72491758	+	0.000	0.000	Merged-chr8-72491775-5
NR562--MA0098.3.ETS1	chr11	95367263	95367272	-	0.000	0.000	Merged-chr11-95367219-42
NR1575--MA0098.3.ETS1	chr18	80686236	80686245	-	0.000	0.000	Merged-chr18-80686265-50
NR1481--MA0098.3.ETS1	chr18	6244795	6244804	-	0.000	0.000	Merged-chr18-6244765-26
NR334--MA0098.3.ETS1	chr10	81127671	81127680	+	0.000	0.000	Merged-chr10-81127720-40
NR1253--MA0098.3.ETS1	chr16	30177963	30177972	-	0.000	0.000	Merged-chr16-30177867-21
NR2370--MA0098.3.ETS1	chr5	8839291	8839300	-	0.000	0.000	Merged-chr5-8839426-88
NR2142--MA0098.3.ETS1	chr3	142207663	142207672	+	0.000	0.000	Merged-chr3-142207646-13
NR1070--MA0098.3.ETS1	chr14	118926632	118926641	-	0.000	0.000	Merged-chr14-118926822-16
NR290--MA0098.3.ETS1	chr10	60808641	60808650	-	0.000	0.000	Merged-chr10-60808629-25
NR3116--MA0098.3.ETS1	chr9	42158847	42158856	+	0.000	0.000	Merged-chr9-42158908-46
NR2259--MA0098.3.ETS1	chr4	106598518	106598527	-	0.000	0.000	Merged-chr4-106598618-21
NR1093--MA0098.3.ETS1	chr15	27641447	27641456	-	0.000	0.000	Merged-chr15-27641384-48
NR1760--MA0098.3.ETS1	chr2	53088934	53088943	+	0.000	0.000	Merged-chr2-53088913-36
NR3040--MA0098.3.ETS1	chr8	117548563	117548572	+	0.000	0.000	Merged-chr8-117548585-70
NR2850--MA0098.3.ETS1	chr7	81075488	81075497	+	0.000	0.000	Merged-chr7-81075371-56
NR1626--MA0098.3.ETS1	chr19	18591201	18591210	+	0.000	0.000	Merged-chr19-18591291-34
NR3139--MA0098.3.ETS1	chr9	54611785	54611794	+	0.000	0.000	Merged-chr9-54611882-20
NR2636--MA0098.3.ETS1	chr6	83448953	83448962	+	0.000	0.000	Merged-chr6-83449130-40
NR1224--MA0098.3.ETS1	chr16	4674232	4674241	+	0.000	0.000	Merged-chr16-4674174-55
NR1932--MA0098.3.ETS1	chr2	165321765	165321774	-	0.000	0.000	Merged-chr2-165321854-18
NR1395--MA0098.3.ETS1	chr17	45488791	45488800	+	0.000	0.000	Merged-chr17-45488824-86
NR1180--MA0098.3.ETS1	chr15	83474145	83474154	+	0.000	0.000	Merged-chr15-83474258-63
NR2803--MA0098.3.ETS1	chr7	31087463	31087472	-	0.000	0.000	Merged-chr7-31087462-13
NR1297--MA0098.3.ETS1	chr16	90475941	90475950	-	0.000	0.000	Merged-chr16-90475942-51
NR2172--MA0098.3.ETS1	chr4	6924808	6924817	-	0.000	0.000	Merged-chr4-6924913-49
NR741--MA0098.3.ETS1	chr12	102945746	102945755	+	0.000	0.000	Merged-chr12-102945751-11
NR1866--MA0098.3.ETS1	chr2	127923488	127923497	-	0.000	0.000	Merged-chr2-127923410-36
NR2741--MA0098.3.ETS1	chr6	137795295	137795304	+	0.000	0.000	Merged-chr6-137795480-24
NR1544--MA0098.3.ETS1	chr18	65189377	65189386	+	0.000	0.000	Merged-chr18-65189388-18
NR2880--MA0098.3.ETS1	chr7	110956712	110956721	-	0.000	0.000	Merged-chr7-110956692-58
NR3048--MA0098.3.ETS1	chr8	120497884	120497893	-	0.000	0.000	Merged-chr8-120497954-22
NR200--MA0098.3.ETS1	chr1	178629371	178629380	+	0.000	0.000	Merged-chr1-178629339-6
NR1343--MA0098.3.ETS1	chr17	21423191	21423200	+	0.000	0.000	Merged-chr17-21423109-81
NR2321--MA0098.3.ETS1	chr4	134734823	134734832	+	0.000	0.000	Merged-chr4-134734669-83
NR1576--MA0098.3.ETS1	chr18	80686315	80686324	+	0.000	0.000	Merged-chr18-80686265-50
NR1594--MA0098.3.ETS1	chr19	5571991	5572000	+	0.000	0.000	Merged-chr19-5572133-30
NR1903--MA0098.3.ETS1	chr2	148719441	148719450	-	0.000	0.000	Merged-chr2-148719478-21
NR2778--MA0098.3.ETS1	chr7	19928436	19928445	+	0.000	0.000	Merged-chr7-19928314-1
NR107--MA0098.3.ETS1	chr1	128570106	128570115	-	0.000	0.000	Merged-chr1-128570257-50
NR2335--MA0098.3.ETS1	chr4	138975427	138975436	-	0.000	0.000	Merged-chr4-138975429-9
NR255--MA0098.3.ETS1	chr10	20281639	20281648	-	0.000	0.000	Merged-chr10-20281832-45
NR1156--MA0098.3.ETS1	chr15	76317422	76317431	+	0.000	0.000	Merged-chr15-76317271-46
NR2492--MA0098.3.ETS1	chr5	115167638	115167647	-	0.000	0.000	Merged-chr5-115167638-30
NR1823--MA0098.3.ETS1	chr2	103754816	103754825	-	0.000	0.000	Merged-chr2-103754819-28
NR367--MA0098.3.ETS1	chr10	94846861	94846870	+	0.000	0.000	Merged-chr10-94847043-19
NR139--MA0098.3.ETS1	chr1	151613321	151613330	+	0.000	0.000	Merged-chr1-151613371-29
NR157--MA0098.3.ETS1	chr1	161794969	161794978	+	0.000	0.000	Merged-chr1-161794797-65
NR1725--MA0098.3.ETS1	chr2	27693852	27693861	+	0.000	0.000	Merged-chr2-27693880-30
NR1743--MA0098.3.ETS1	chr2	34969693	34969702	-	0.000	0.000	Merged-chr2-34969662-3
NR990--MA0098.3.ETS1	chr14	52166745	52166754	-	0.000	0.000	Merged-chr14-52166798-25
NR1748--MA0098.3.ETS1	chr2	38988328	38988337	-	0.000	0.000	Merged-chr2-38988240-32
NR2086--MA0098.3.ETS1	chr3	104771691	104771700	+	0.000	0.000	Merged-chr3-104771571-48
NR2561--MA0098.3.ETS1	chr5	148769579	148769588	-	0.000	0.000	Merged-chr5-148769647-40
NR342--MA0098.3.ETS1	chr10	83330422	83330431	-	0.000	0.000	Merged-chr10-83330457-45
NR669--MA0098.3.ETS1	chr12	35123544	35123553	+	0.000	0.000	Merged-chr12-35123715-16
NR1140--MA0098.3.ETS1	chr15	62307706	62307715	-	0.000	0.000	Merged-chr15-62307715-11
NR1373--MA0098.3.ETS1	chr17	32471030	32471039	+	0.000	0.000	Merged-chr17-32470948-41
NR374--MA0098.3.ETS1	chr10	96357160	96357169	+	0.000	0.000	Merged-chr10-96357351-35
NR495--MA0098.3.ETS1	chr11	61602958	61602967	-	0.000	0.000	Merged-chr11-61602995-47
NR1177--MA0098.3.ETS1	chr15	80639248	80639257	+	0.000	0.000	Merged-chr15-80639278-38
NR742--MA0098.3.ETS1	chr12	103059221	103059230	-	0.000	0.000	Merged-chr12-103059282-39
NR1652--MA0098.3.ETS1	chr19	42266481	42266490	+	0.000	0.000	Merged-chr19-42266343-14
NR1097--MA0098.3.ETS1	chr15	31137453	31137462	-	0.000	0.000	Merged-chr15-31137508-23
NR523--MA0098.3.ETS1	chr11	76589879	76589888	+	0.000	0.000	Merged-chr11-76589886-16
NR1639--MA0098.3.ETS1	chr19	32869427	32869436	-	0.000	0.000	Merged-chr19-32869388-31
NR2514--MA0098.3.ETS1	chr5	125052434	125052443	+	0.000	0.000	Merged-chr5-125052528-23
NR1429--MA0098.3.ETS1	chr17	62857497	62857506	+	0.000	0.000	Merged-chr17-62857583-41
NR90--MA0098.3.ETS1	chr1	95674234	95674243	-	0.000	0.000	Merged-chr1-95674241-20
NR2416--MA0098.3.ETS1	chr5	62756340	62756349	-	0.000	0.000	Merged-chr5-62756252-19
NR215--MA0098.3.ETS1	chr1	184005865	184005874	+	0.000	0.000	Merged-chr1-184005889-70
NR1116--MA0098.3.ETS1	chr15	52753930	52753939	+	0.000	0.000	Merged-chr15-52753697-52
NR484--MA0098.3.ETS1	chr11	57669741	57669750	-	0.000	0.000	Merged-chr11-57669677-39
NR238--MA0098.3.ETS1	chr1	194995419	194995428	-	0.000	0.000	Merged-chr1-194995347-49
NR1497--MA0098.3.ETS1	chr18	32994120	32994129	-	0.000	0.000	Merged-chr18-32994204-28
NR256--MA0098.3.ETS1	chr10	21419395	21419404	-	0.000	0.000	Merged-chr10-21419295-38
NR368--MA0098.3.ETS1	chr10	94860910	94860919	+	0.000	0.000	Merged-chr10-94860976-37
NR1175--MA0098.3.ETS1	chr15	80216606	80216615	-	0.000	0.000	Merged-chr15-80216610-25
NR498--MA0098.3.ETS1	chr11	62576653	62576662	-	0.000	0.000	Merged-chr11-62576695-29
NR1726--MA0098.3.ETS1	chr2	27730659	27730668	-	0.000	0.000	Merged-chr2-27730636-19
NR288--MA0098.3.ETS1	chr10	60038452	60038461	+	0.000	0.000	Merged-chr10-60038472-15
NR2834--MA0098.3.ETS1	chr7	72275555	72275564	-	0.000	0.000	Merged-chr7-72275636-59
NR1301--MA0098.3.ETS1	chr16	91780958	91780967	+	0.000	0.000	Merged-chr16-91781071-63
NR2176--MA0098.3.ETS1	chr4	10770274	10770283	-	0.000	0.000	Merged-chr4-10770192-53
NR25--MA0098.3.ETS1	chr1	43997302	43997311	-	0.000	0.000	Merged-chr1-43997325-24
NR2503--MA0098.3.ETS1	chr5	120688593	120688602	+	0.000	0.000	Merged-chr5-120688663-27
NR763--MA0098.3.ETS1	chr12	114804592	114804601	+	0.000	0.000	Merged-chr12-114804708-39
NR2754--MA0098.3.ETS1	chr6	144670589	144670598	+	0.000	0.000	Merged-chr6-144670724-72
NR2405--MA0098.3.ETS1	chr5	34539399	34539408	+	0.000	0.000	Merged-chr5-34539337-1
NR325--MA0098.3.ETS1	chr10	79692147	79692156	-	0.000	0.000	Merged-chr10-79692164-17
NR227--MA0098.3.ETS1	chr1	189608794	189608803	+	0.000	0.000	Merged-chr1-189608778-45
NR3205--MA0098.3.ETS1	chr9	96896907	96896916	+	0.000	0.000	Merged-chr9-96896917-17
NR281--MA0098.3.ETS1	chr10	53461573	53461582	-	0.000	0.000	Merged-chr10-53461441-37
NR2921--MA0098.3.ETS1	chr7	130816514	130816523	-	0.000	0.000	Merged-chr7-130816442-11
NR3241--MA0098.3.ETS1	chr9	116181762	116181771	-	0.000	0.000	Merged-chr9-116181803-43
NR1621--MA0098.3.ETS1	chr19	12576876	12576885	+	0.000	0.000	Merged-chr19-12576850-12
NR2725--MA0098.3.ETS1	chr6	130237920	130237929	-	0.000	0.000	Merged-chr6-130237898-58
NR300--MA0098.3.ETS1	chr10	67662396	67662405	+	0.000	0.000	Merged-chr10-67662488-5
NR2188--MA0098.3.ETS1	chr4	33588191	33588200	-	0.000	0.000	Merged-chr4-33588346-4
NR1792--MA0098.3.ETS1	chr2	79122881	79122890	-	0.000	0.000	Merged-chr2-79122721-3
NR55--MA0098.3.ETS1	chr1	79751327	79751336	-	0.000	0.000	Merged-chr1-79751461-38
NR757--MA0098.3.ETS1	chr12	111691371	111691380	-	0.000	0.000	Merged-chr12-111691386-42
NR2748--MA0098.3.ETS1	chr6	142835138	142835147	-	0.000	0.000	Merged-chr6-142835169-31
NR220--MA0098.3.ETS1	chr1	184908700	184908709	+	0.000	0.000	Merged-chr1-184908710-36
NR3086--MA0098.3.ETS1	chr9	14908100	14908109	+	0.000	0.000	Merged-chr9-14908176-52
NR2681--MA0098.3.ETS1	chr6	115524635	115524644	+	0.000	0.000	Merged-chr6-115524627-15
NR565--MA0098.3.ETS1	chr11	96912825	96912834	-	0.000	0.000	Merged-chr11-96912869-14
NR695--MA0098.3.ETS1	chr12	72844375	72844384	-	0.000	0.000	Merged-chr12-72844339-47
NR2798--MA0098.3.ETS1	chr7	29900778	29900787	+	0.000	0.000	Merged-chr7-29900753-5
NR485--MA0098.3.ETS1	chr11	57958444	57958453	+	0.000	0.000	Merged-chr11-57958407-27
NR2467--MA0098.3.ETS1	chr5	105556424	105556433	-	0.000	0.000	Merged-chr5-105556395-18
NR2387--MA0098.3.ETS1	chr5	24389439	24389448	-	0.000	0.000	Merged-chr5-24389483-18
NR2929--MA0098.3.ETS1	chr7	136255785	136255794	-	0.000	0.000	Merged-chr7-136255803-24
NR862--MA0098.3.ETS1	chr13	63141438	63141447	+	0.000	0.000	Merged-chr13-63141358-58
