#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf4/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed
NR1259--MA0641.1.ELF4	chr19	23323347	23323358	+	0.000	0.000	Merged-chr19-23323312-56
NR2380--MA0641.1.ELF4	chr9	60991748	60991759	-	0.000	0.000	Merged-chr9-60991715-48
NR161--MA0641.1.ELF4	chr1	173451903	173451914	+	0.000	0.000	Merged-chr1-173451815-42
NR488--MA0641.1.ELF4	chr11	115646638	115646649	+	0.000	0.000	Merged-chr11-115646752-30
NR1174--MA0641.1.ELF4	chr18	32880675	32880686	+	0.000	0.000	Merged-chr18-32880667-46
NR1501--MA0641.1.ELF4	chr2	181377418	181377429	-	0.000	0.000	Merged-chr2-181377481-47
NR945--MA0641.1.ELF4	chr15	101388297	101388308	+	0.000	0.000	Merged-chr15-101388154-52
NR623--MA0641.1.ELF4	chr12	117418195	117418206	-	0.000	0.000	Merged-chr12-117418203-35
NR641--MA0641.1.ELF4	chr13	19139301	19139312	+	0.000	0.000	Merged-chr13-19139213-36
NR198--MA0641.1.ELF4	chr1	193181164	193181175	+	0.000	0.000	Merged-chr1-193181317-39
NR507--MA0641.1.ELF4	chr11	121229291	121229302	-	0.000	0.000	Merged-chr11-121229163-59
NR29--MA0641.1.ELF4	chr1	51585134	51585145	-	0.000	0.000	Merged-chr1-51585090-58
NR2413--MA0641.1.ELF4	chr9	80081166	80081177	+	0.000	0.000	Merged-chr9-80081246-66
NR409--MA0641.1.ELF4	chr11	62762004	62762015	+	0.000	0.000	Merged-chr11-62762057-29
NR217--MA0641.1.ELF4	chr10	19718892	19718903	-	0.000	0.000	Merged-chr10-19718932-45
NR1476--MA0641.1.ELF4	chr2	166448881	166448892	-	0.000	0.000	Merged-chr2-166448890-20
NR902--MA0641.1.ELF4	chr15	74935454	74935465	-	0.000	0.000	Merged-chr15-74935411-23
