#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR3348--MA0473.2.ELF1	chr15	31137453	31137464	-	0.000	0.000	Merged-chr15-31137508-23
NR3349--MA0136.2.ELF5	chr15	31137453	31137463	-	0.000	0.000	Merged-chr15-31137508-23
NR2276--MA0473.2.ELF1	chr12	102945744	102945755	+	0.000	0.000	Merged-chr12-102945751-11
NR9333--MA0136.2.ELF5	chr8	88175429	88175439	+	0.000	0.000	Merged-chr8-88175492-13
NR1514--MA0136.2.ELF5	chr11	62576653	62576663	-	0.000	0.000	Merged-chr11-62576695-29
NR3607--MA0640.1.ELF3	chr15	85327904	85327916	-	0.000	0.000	Merged-chr15-85328019-32
NR4262--MA0641.1.ELF4	chr17	32471028	32471039	+	0.000	0.000	Merged-chr17-32470948-41
NR3929--MA0641.1.ELF4	chr16	59452067	59452078	+	0.000	0.000	Merged-chr16-59451982-14
NR10372--MA0640.1.ELF3	chrX	136986218	136986230	+	0.000	0.000	Merged-chrX-136986316-28
NR692--MA0640.1.ELF3	chr1	180388788	180388800	-	0.000	0.000	Merged-chr1-180388802-24
NR2178--MA0473.2.ELF1	chr12	80433406	80433417	+	0.000	0.000	Merged-chr12-80433447-22
NR8506--MA0640.1.ELF3	chr7	19322574	19322586	+	0.000	0.000	Merged-chr7-19322692-6
NR6646--MA0136.2.ELF5	chr3	148419860	148419870	+	0.000	0.000	Merged-chr3-148419698-33
NR8284--MA0136.2.ELF5	chr6	120473593	120473603	-	0.000	0.000	Merged-chr6-120473667-10
NR766--MA0136.2.ELF5	chr1	189608793	189608803	+	0.000	0.000	Merged-chr1-189608778-45
NR8610--MA0473.2.ELF1	chr7	44741442	44741453	+	0.000	0.000	Merged-chr7-44741502-14
NR9485--MA0473.2.ELF1	chr8	122463912	122463923	-	0.000	0.000	Merged-chr8-122464115-42
NR9511--MA0640.1.ELF3	chr8	124319416	124319428	+	0.000	0.000	Merged-chr8-124319534-38
NR5254--MA0641.1.ELF4	chr2	11801754	11801765	+	0.000	0.000	Merged-chr2-11801641-32
NR4514--MA0640.1.ELF3	chr17	83772976	83772988	-	0.000	0.000	Merged-chr17-83772963-43
NR8955--MA0473.2.ELF1	chr7	126704222	126704233	+	0.000	0.000	Merged-chr7-126704169-1
NR3990--MA0136.2.ELF5	chr16	90475941	90475951	-	0.000	0.000	Merged-chr16-90475942-51
NR1822--MA0640.1.ELF3	chr11	106752319	106752331	-	0.000	0.000	Merged-chr11-106752328-41
NR3102--MA0640.1.ELF3	chr14	62845239	62845251	+	0.000	0.000	Merged-chr14-62845397-18
NR1137--MA0641.1.ELF4	chr10	95180325	95180336	-	0.000	0.000	Merged-chr10-95180406-32
NR6271--MA0136.2.ELF5	chr3	84715253	84715263	-	0.000	0.000	Merged-chr3-84715324-47
NR2277--MA0640.1.ELF3	chr12	102945744	102945756	+	0.000	0.000	Merged-chr12-102945751-11
NR5055--MA0473.2.ELF1	chr19	23323347	23323358	+	0.000	0.000	Merged-chr19-23323312-56
NR5846--MA0641.1.ELF4	chr2	144198940	144198951	-	0.000	0.000	Merged-chr2-144198804-26
NR917--MA0641.1.ELF4	chr10	53461573	53461584	-	0.000	0.000	Merged-chr10-53461441-37
NR914--MA0473.2.ELF1	chr10	53461573	53461584	-	0.000	0.000	Merged-chr10-53461441-37
NR1057--MA0641.1.ELF4	chr10	81127669	81127680	+	0.000	0.000	Merged-chr10-81127720-40
NR9868--MA0136.2.ELF5	chr9	72097346	72097356	-	0.000	0.000	Merged-chr9-72097262-35
NR8437--MA0473.2.ELF1	chr6	144670587	144670598	+	0.000	0.000	Merged-chr6-144670724-72
NR2179--MA0640.1.ELF3	chr12	80433406	80433418	+	0.000	0.000	Merged-chr12-80433447-22
NR4441--MA0136.2.ELF5	chr17	57290835	57290845	+	0.000	0.000	Merged-chr17-57290784-78
NR2832--MA0641.1.ELF4	chr13	113087844	113087855	-	0.000	0.000	Merged-chr13-113087664-28
NR2154--MA0136.2.ELF5	chr12	76889965	76889975	-	0.000	0.000	Merged-chr12-76889803-12
NR8241--MA0136.2.ELF5	chr6	115524634	115524644	+	0.000	0.000	Merged-chr6-115524627-15
NR8611--MA0640.1.ELF3	chr7	44741442	44741454	+	0.000	0.000	Merged-chr7-44741502-14
NR9486--MA0640.1.ELF3	chr8	122463911	122463923	-	0.000	0.000	Merged-chr8-122464115-42
NR834--MA0473.2.ELF1	chr10	21419395	21419406	-	0.000	0.000	Merged-chr10-21419295-38
NR8013--MA0136.2.ELF5	chr6	49074648	49074658	-	0.000	0.000	Merged-chr6-49074477-1
NR8339--MA0473.2.ELF1	chr6	127617402	127617413	-	0.000	0.000	Merged-chr6-127617353-34
NR5759--MA0473.2.ELF1	chr2	127189703	127189714	-	0.000	0.000	Merged-chr2-127189787-10
NR9590--MA0473.2.ELF1	chr9	14908098	14908109	+	0.000	0.000	Merged-chr9-14908176-52
NR9345--MA0136.2.ELF5	chr8	91082197	91082207	+	0.000	0.000	Merged-chr8-91082333-75
NR8396--MA0641.1.ELF4	chr6	135218513	135218524	-	0.000	0.000	Merged-chr6-135218530-45
NR3831--MA0136.2.ELF5	chr16	32651186	32651196	-	0.000	0.000	Merged-chr16-32651222-48
NR8393--MA0473.2.ELF1	chr6	135218513	135218524	-	0.000	0.000	Merged-chr6-135218530-45
NR1475--MA0640.1.ELF3	chr11	57669740	57669752	-	0.000	0.000	Merged-chr11-57669677-39
NR5223--MA0136.2.ELF5	chr2	6309650	6309660	+	0.000	0.000	Merged-chr2-6309619-42
NR6424--MA0473.2.ELF1	chr3	105815525	105815536	-	0.000	0.000	Merged-chr3-105815563-53
NR6210--MA0136.2.ELF5	chr3	60320426	60320436	-	0.000	0.000	Merged-chr3-60320504-44
NR4805--MA0136.2.ELF5	chr18	62164388	62164398	-	0.000	0.000	Merged-chr18-62164450-51
NR8287--MA0136.2.ELF5	chr6	120529244	120529254	+	0.000	0.000	Merged-chr6-120529161-48
NR915--MA0640.1.ELF3	chr10	53461572	53461584	-	0.000	0.000	Merged-chr10-53461441-37
NR101--MA0473.2.ELF1	chr1	51934712	51934723	-	0.000	0.000	Merged-chr1-51934774-44
NR4952--MA0473.2.ELF1	chr19	5571989	5572000	+	0.000	0.000	Merged-chr19-5572133-30
NR10373--MA0136.2.ELF5	chrX	136986219	136986229	+	0.000	0.000	Merged-chrX-136986316-28
NR2450--MA0473.2.ELF1	chr13	22714321	22714332	-	0.000	0.000	Merged-chr13-22714452-30
NR693--MA0136.2.ELF5	chr1	180388789	180388799	-	0.000	0.000	Merged-chr1-180388802-24
NR3687--MA0640.1.ELF3	chr15	100665186	100665198	-	0.000	0.000	Merged-chr15-100665160-50
NR8438--MA0640.1.ELF3	chr6	144670587	144670599	+	0.000	0.000	Merged-chr6-144670724-72
NR8507--MA0136.2.ELF5	chr7	19322575	19322585	+	0.000	0.000	Merged-chr7-19322692-6
NR5056--MA0641.1.ELF4	chr19	23323347	23323358	+	0.000	0.000	Merged-chr19-23323312-56
NR3765--MA0136.2.ELF5	chr16	18075432	18075442	+	0.000	0.000	Merged-chr16-18075425-17
NR1151--MA0136.2.ELF5	chr10	96274084	96274094	-	0.000	0.000	Merged-chr10-96274144-52
NR1477--MA0473.2.ELF1	chr11	57958442	57958453	+	0.000	0.000	Merged-chr11-57958407-27
NR5088--MA0640.1.ELF3	chr19	32792061	32792073	-	0.000	0.000	Merged-chr19-32791960-10
NR9512--MA0136.2.ELF5	chr8	124319417	124319427	+	0.000	0.000	Merged-chr8-124319534-38
NR835--MA0640.1.ELF3	chr10	21419394	21419406	-	0.000	0.000	Merged-chr10-21419295-38
NR2218--MA0473.2.ELF1	chr12	84762759	84762770	-	0.000	0.000	Merged-chr12-84762785-51
NR8879--MA0136.2.ELF5	chr7	114161270	114161280	-	0.000	0.000	Merged-chr7-114161224-36
NR1823--MA0136.2.ELF5	chr11	106752320	106752330	-	0.000	0.000	Merged-chr11-106752328-41
NR2124--MA0473.2.ELF1	chr12	72844375	72844386	-	0.000	0.000	Merged-chr12-72844339-47
NR9591--MA0640.1.ELF3	chr9	14908098	14908110	+	0.000	0.000	Merged-chr9-14908176-52
NR3573--MA0136.2.ELF5	chr15	80639247	80639257	+	0.000	0.000	Merged-chr15-80639278-38
NR3338--MA0641.1.ELF4	chr15	27578204	27578215	+	0.000	0.000	Merged-chr15-27578127-37
NR6703--MA0473.2.ELF1	chr4	6924808	6924819	-	0.000	0.000	Merged-chr4-6924913-49
NR10082--MA0473.2.ELF1	chr9	116181762	116181773	-	0.000	0.000	Merged-chr9-116181803-43
NR4898--MA0641.1.ELF4	chr18	80686236	80686247	-	0.000	0.000	Merged-chr18-80686265-50
NR8394--MA0640.1.ELF3	chr6	135218512	135218524	-	0.000	0.000	Merged-chr6-135218530-45
NR7270--MA0136.2.ELF5	chr4	149469696	149469706	-	0.000	0.000	Merged-chr4-149469788-41
NR4417--MA0136.2.ELF5	chr17	51762712	51762722	-	0.000	0.000	Merged-chr17-51762690-29
NR6269--MA0473.2.ELF1	chr3	84715253	84715264	-	0.000	0.000	Merged-chr3-84715324-47
NR4895--MA0473.2.ELF1	chr18	80686236	80686247	-	0.000	0.000	Merged-chr18-80686265-50
NR6845--MA0641.1.ELF4	chr4	62481415	62481426	+	0.000	0.000	Merged-chr4-62481319-32
NR2272--MA0473.2.ELF1	chr12	102627711	102627722	-	0.000	0.000	Merged-chr12-102627698-2
NR2181--MA0641.1.ELF4	chr12	80433406	80433417	+	0.000	0.000	Merged-chr12-80433447-22
NR2273--MA0136.2.ELF5	chr12	102627711	102627721	-	0.000	0.000	Merged-chr12-102627698-2
NR7165--MA0641.1.ELF4	chr4	135475556	135475567	+	0.000	0.000	Merged-chr4-135475652-18
NR6425--MA0640.1.ELF3	chr3	105815524	105815536	-	0.000	0.000	Merged-chr3-105815563-53
NR5995--MA0136.2.ELF5	chr2	167839392	167839402	+	0.000	0.000	Merged-chr2-167839599-16
NR5545--MA0641.1.ELF4	chr2	79122881	79122892	-	0.000	0.000	Merged-chr2-79122721-3
NR5542--MA0473.2.ELF1	chr2	79122881	79122892	-	0.000	0.000	Merged-chr2-79122721-3
NR1517--MA0641.1.ELF4	chr11	62762004	62762015	+	0.000	0.000	Merged-chr11-62762057-29
NR2278--MA0136.2.ELF5	chr12	102945745	102945755	+	0.000	0.000	Merged-chr12-102945751-11
NR102--MA0640.1.ELF3	chr1	51934711	51934723	-	0.000	0.000	Merged-chr1-51934774-44
NR2451--MA0640.1.ELF3	chr13	22714320	22714332	-	0.000	0.000	Merged-chr13-22714452-30
NR515--MA0473.2.ELF1	chr1	156459845	156459856	+	0.000	0.000	Merged-chr1-156459929-41
NR2223--MA0640.1.ELF3	chr12	85123275	85123287	+	0.000	0.000	Merged-chr12-85123310-39
NR3167--MA0136.2.ELF5	chr14	73596624	73596634	+	0.000	0.000	Merged-chr14-73596722-14
NR67--MA0641.1.ELF4	chr1	37481431	37481442	-	0.000	0.000	Merged-chr1-37481502-14
NR1478--MA0640.1.ELF3	chr11	57958442	57958454	+	0.000	0.000	Merged-chr11-57958407-27
NR64--MA0473.2.ELF1	chr1	37481431	37481442	-	0.000	0.000	Merged-chr1-37481502-14
NR9807--MA0641.1.ELF4	chr9	62348237	62348248	-	0.000	0.000	Merged-chr9-62348235-9
NR8612--MA0136.2.ELF5	chr7	44741443	44741453	+	0.000	0.000	Merged-chr7-44741502-14
NR9487--MA0136.2.ELF5	chr8	122463912	122463922	-	0.000	0.000	Merged-chr8-122464115-42
NR4953--MA0641.1.ELF4	chr19	5571989	5572000	+	0.000	0.000	Merged-chr19-5572133-30
NR3519--MA0641.1.ELF4	chr15	78248552	78248563	-	0.000	0.000	Merged-chr15-78248653-25
NR8411--MA0136.2.ELF5	chr6	137795294	137795304	+	0.000	0.000	Merged-chr6-137795480-24
NR9809--MA0473.2.ELF1	chr9	62455348	62455359	-	0.000	0.000	Merged-chr9-62455455-9
NR4896--MA0640.1.ELF3	chr18	80686235	80686247	-	0.000	0.000	Merged-chr18-80686265-50
NR8440--MA0641.1.ELF4	chr6	144670587	144670598	+	0.000	0.000	Merged-chr6-144670724-72
NR114--MA0136.2.ELF5	chr1	53791510	53791520	-	0.000	0.000	Merged-chr1-53791629-51
NR2342--MA0136.2.ELF5	chr12	113059097	113059107	-	0.000	0.000	Merged-chr12-113059214-12
NR6843--MA0640.1.ELF3	chr4	62481415	62481427	+	0.000	0.000	Merged-chr4-62481319-32
NR7684--MA0136.2.ELF5	chr5	115516783	115516793	+	0.000	0.000	Merged-chr5-115516638-85
NR2125--MA0641.1.ELF4	chr12	72844375	72844386	-	0.000	0.000	Merged-chr12-72844339-47
NR6468--MA0473.2.ELF1	chr3	115730510	115730521	+	0.000	0.000	Merged-chr3-115730419-1
NR5543--MA0640.1.ELF3	chr2	79122880	79122892	-	0.000	0.000	Merged-chr2-79122721-3
NR6727--MA0640.1.ELF3	chr4	32423907	32423919	+	0.000	0.000	Merged-chr4-32423825-17
NR6704--MA0641.1.ELF4	chr4	6924808	6924819	-	0.000	0.000	Merged-chr4-6924913-49
NR8342--MA0641.1.ELF4	chr6	127617402	127617413	-	0.000	0.000	Merged-chr6-127617353-34
NR10083--MA0641.1.ELF4	chr9	116181762	116181773	-	0.000	0.000	Merged-chr9-116181803-43
NR1707--MA0641.1.ELF4	chr11	95367263	95367274	-	0.000	0.000	Merged-chr11-95367219-42
NR916--MA0136.2.ELF5	chr10	53461573	53461583	-	0.000	0.000	Merged-chr10-53461441-37
NR4518--MA0136.2.ELF5	chr17	84368603	84368613	-	0.000	0.000	Merged-chr17-84368765-10
NR4659--MA0641.1.ELF4	chr18	32994120	32994131	-	0.000	0.000	Merged-chr18-32994204-28
NR7083--MA0640.1.ELF3	chr4	129761781	129761793	-	0.000	0.000	Merged-chr4-129761828-33
NR4656--MA0473.2.ELF1	chr18	32994120	32994131	-	0.000	0.000	Merged-chr18-32994204-28
NR516--MA0640.1.ELF3	chr1	156459845	156459857	+	0.000	0.000	Merged-chr1-156459929-41
NR1085--MA0641.1.ELF4	chr10	83330422	83330433	-	0.000	0.000	Merged-chr10-83330457-45
NR9692--MA0641.1.ELF4	chr9	42158845	42158856	+	0.000	0.000	Merged-chr9-42158908-46
NR1515--MA0641.1.ELF4	chr11	62576653	62576664	-	0.000	0.000	Merged-chr11-62576695-29
NR5089--MA0136.2.ELF5	chr19	32792062	32792072	-	0.000	0.000	Merged-chr19-32791960-10
NR65--MA0640.1.ELF3	chr1	37481430	37481442	-	0.000	0.000	Merged-chr1-37481502-14
NR836--MA0136.2.ELF5	chr10	21419395	21419405	-	0.000	0.000	Merged-chr10-21419295-38
NR4438--MA0136.2.ELF5	chr17	57264334	57264344	+	0.000	0.000	Merged-chr17-57264332-13
NR5648--MA0473.2.ELF1	chr2	103754816	103754827	-	0.000	0.000	Merged-chr2-103754819-28
NR6647--MA0641.1.ELF4	chr3	148419859	148419870	+	0.000	0.000	Merged-chr3-148419698-33
NR9592--MA0136.2.ELF5	chr9	14908099	14908109	+	0.000	0.000	Merged-chr9-14908176-52
NR5451--MA0473.2.ELF1	chr2	60204362	60204373	+	0.000	0.000	Merged-chr2-60204421-25
NR4228--MA0136.2.ELF5	chr17	28590986	28590996	+	0.000	0.000	Merged-chr17-28590948-24
NR3991--MA0641.1.ELF4	chr16	90475941	90475952	-	0.000	0.000	Merged-chr16-90475942-51
NR6426--MA0136.2.ELF5	chr3	105815525	105815535	-	0.000	0.000	Merged-chr3-105815563-53
NR2002--MA0640.1.ELF3	chr12	25431123	25431135	-	0.000	0.000	Merged-chr12-25431052-52
NR8210--MA0640.1.ELF3	chr6	108922758	108922770	+	0.000	0.000	Merged-chr6-108922782-44
NR6555--MA0473.2.ELF1	chr3	133583962	133583973	+	0.000	0.000	Merged-chr3-133583850-2
NR8340--MA0640.1.ELF3	chr6	127617401	127617413	-	0.000	0.000	Merged-chr6-127617353-34
NR6147--MA0640.1.ELF3	chr3	28244400	28244412	-	0.000	0.000	Merged-chr3-28244555-21
NR9283--MA0473.2.ELF1	chr8	72363577	72363588	-	0.000	0.000	Merged-chr8-72363600-16
NR3864--MA0136.2.ELF5	chr16	44337661	44337671	+	0.000	0.000	Merged-chr16-44337753-20
NR1705--MA0640.1.ELF3	chr11	95351190	95351202	-	0.000	0.000	Merged-chr11-95351110-19
NR103--MA0136.2.ELF5	chr1	51934712	51934722	-	0.000	0.000	Merged-chr1-51934774-44
NR309--MA0136.2.ELF5	chr1	120055654	120055664	+	0.000	0.000	Merged-chr1-120055701-50
NR214--MA0473.2.ELF1	chr1	86587090	86587101	-	0.000	0.000	Merged-chr1-86587201-27
NR5760--MA0640.1.ELF3	chr2	127189702	127189714	-	0.000	0.000	Merged-chr2-127189787-10
NR2452--MA0136.2.ELF5	chr13	22714321	22714331	-	0.000	0.000	Merged-chr13-22714452-30
NR448--MA0136.2.ELF5	chr1	143466240	143466250	+	0.000	0.000	Merged-chr1-143466091-51
NR4657--MA0640.1.ELF3	chr18	32994119	32994131	-	0.000	0.000	Merged-chr18-32994204-28
NR6272--MA0641.1.ELF4	chr3	84715253	84715264	-	0.000	0.000	Merged-chr3-84715324-47
NR10137--MA0136.2.ELF5	chr9	121675087	121675097	+	0.000	0.000	Merged-chr9-121675261-45
NR2224--MA0136.2.ELF5	chr12	85123276	85123286	+	0.000	0.000	Merged-chr12-85123310-39
NR9690--MA0640.1.ELF3	chr9	42158845	42158857	+	0.000	0.000	Merged-chr9-42158908-46
NR9092--MA0136.2.ELF5	chr8	11464235	11464245	-	0.000	0.000	Merged-chr8-11464225-54
NR7011--MA0136.2.ELF5	chr4	120975241	120975251	+	0.000	0.000	Merged-chr4-120975309-99
NR2280--MA0641.1.ELF4	chr12	103059221	103059232	-	0.000	0.000	Merged-chr12-103059282-39
NR4628--MA0136.2.ELF5	chr18	23810874	23810884	-	0.000	0.000	Merged-chr18-23810991-46
NR7072--MA0640.1.ELF3	chr4	128594133	128594145	+	0.000	0.000	Merged-chr4-128594333-42
NR8242--MA0641.1.ELF4	chr6	115524633	115524644	+	0.000	0.000	Merged-chr6-115524627-15
NR940--MA0473.2.ELF1	chr10	60808641	60808652	-	0.000	0.000	Merged-chr10-60808629-25
NR941--MA0136.2.ELF5	chr10	60808641	60808651	-	0.000	0.000	Merged-chr10-60808629-25
NR1406--MA0640.1.ELF3	chr11	45791858	45791870	+	0.000	0.000	Merged-chr11-45791953-26
NR9303--MA0136.2.ELF5	chr8	81756855	81756865	+	0.000	0.000	Merged-chr8-81756964-44
NR2180--MA0136.2.ELF5	chr12	80433407	80433417	+	0.000	0.000	Merged-chr12-80433447-22
NR2833--MA0473.2.ELF1	chr13	113183390	113183401	-	0.000	0.000	Merged-chr13-113183502-60
NR9796--MA0136.2.ELF5	chr9	60999210	60999220	+	0.000	0.000	Merged-chr9-60999010-99
NR9346--MA0641.1.ELF4	chr8	91082196	91082207	+	0.000	0.000	Merged-chr8-91082333-75
NR6556--MA0640.1.ELF3	chr3	133583962	133583974	+	0.000	0.000	Merged-chr3-133583850-2
NR1516--MA0136.2.ELF5	chr11	62762005	62762015	+	0.000	0.000	Merged-chr11-62762057-29
NR5768--MA0136.2.ELF5	chr2	127313096	127313106	-	0.000	0.000	Merged-chr2-127312939-16
NR2829--MA0473.2.ELF1	chr13	113087844	113087855	-	0.000	0.000	Merged-chr13-113087664-28
NR4376--MA0641.1.ELF4	chr17	47293385	47293396	-	0.000	0.000	Merged-chr17-47293551-33
NR4373--MA0473.2.ELF1	chr17	47293385	47293396	-	0.000	0.000	Merged-chr17-47293551-33
NR7084--MA0136.2.ELF5	chr4	129761782	129761792	-	0.000	0.000	Merged-chr4-129761828-33
NR517--MA0136.2.ELF5	chr1	156459846	156459856	+	0.000	0.000	Merged-chr1-156459929-41
NR302--MA0136.2.ELF5	chr1	108041097	108041107	-	0.000	0.000	Merged-chr1-108041291-27
NR7195--MA0473.2.ELF1	chr4	138975427	138975438	-	0.000	0.000	Merged-chr4-138975429-9
NR7196--MA0136.2.ELF5	chr4	138975427	138975437	-	0.000	0.000	Merged-chr4-138975429-9
NR8288--MA0641.1.ELF4	chr6	120529243	120529254	+	0.000	0.000	Merged-chr6-120529161-48
NR4025--MA0136.2.ELF5	chr16	94241342	94241352	+	0.000	0.000	Merged-chr16-94241195-48
