#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR6600--MA0149.1.EWSR1-FLI1	chr2	103004861	103004878	-	0.000	0.000	Merged-chr2-103004784-33
NR11092--MA0149.1.EWSR1-FLI1	chr8	34818012	34818029	+	0.000	0.000	Merged-chr8-34817852-8
NR143--MA0475.2.FLI1	chr1	54279796	54279805	+	0.000	0.000	Merged-chr1-54279813-25
NR11112--MA0149.1.EWSR1-FLI1	chr8	36165107	36165124	+	0.000	0.000	Merged-chr8-36165125-29
NR4188--MA0149.1.EWSR1-FLI1	chr15	66286817	66286834	-	0.000	0.000	Merged-chr15-66286791-54
NR6071--MA0149.1.EWSR1-FLI1	chr2	11441878	11441895	-	0.000	0.000	Merged-chr2-11441982-17
NR3160--MA0149.1.EWSR1-FLI1	chr13	91178595	91178612	+	0.000	0.000	Merged-chr13-91178743-26
NR6380--MA0149.1.EWSR1-FLI1	chr2	60375218	60375235	+	0.000	0.000	Merged-chr2-60375404-17
NR5629--MA0149.1.EWSR1-FLI1	chr18	68009939	68009956	-	0.000	0.000	Merged-chr18-68009892-31
NR4067--MA0149.1.EWSR1-FLI1	chr15	25414572	25414589	+	0.000	0.000	Merged-chr15-25414675-44
NR4890--MA0149.1.EWSR1-FLI1	chr16	97401962	97401979	-	0.000	0.000	Merged-chr16-97402099-85
NR12207--MA0149.1.EWSR1-FLI1	chr9	122222973	122222990	-	0.000	0.000	Merged-chr9-122223138-17
NR6625--MA0149.1.EWSR1-FLI1	chr2	106693546	106693563	-	0.000	0.000	Merged-chr2-106693535-18
NR5063--MA0149.1.EWSR1-FLI1	chr17	34299647	34299664	-	0.000	0.000	Merged-chr17-34299510-15
NR12375--MA0149.1.EWSR1-FLI1	chrX	104488372	104488389	-	0.000	0.000	Merged-chrX-104488290-31
NR5372--MA0149.1.EWSR1-FLI1	chr17	93762482	93762499	-	0.000	0.000	Merged-chr17-93762575-21
NR7354--MA0149.1.EWSR1-FLI1	chr3	83986668	83986685	-	0.000	0.000	Merged-chr3-83986667-10
NR624--MA0149.1.EWSR1-FLI1	chr1	152624961	152624978	+	0.000	0.000	Merged-chr1-152625115-53
NR10581--MA0149.1.EWSR1-FLI1	chr7	97842904	97842921	-	0.000	0.000	Merged-chr7-97843006-38
NR7537--MA0149.1.EWSR1-FLI1	chr3	108283985	108284002	+	0.000	0.000	Merged-chr3-108284126-29
NR2953--MA0149.1.EWSR1-FLI1	chr13	43555021	43555038	+	0.000	0.000	Merged-chr13-43555011-40
NR8271--MA0475.2.FLI1	chr4	102908235	102908244	+	0.000	0.000	Merged-chr4-102908208-33
NR11676--MA0149.1.EWSR1-FLI1	chr9	51866797	51866814	-	0.000	0.000	Merged-chr9-51866745-18
NR8019--MA0149.1.EWSR1-FLI1	chr4	45766159	45766176	+	0.000	0.000	Merged-chr4-45766216-17
NR3435--MA0149.1.EWSR1-FLI1	chr14	7832258	7832275	-	0.000	0.000	Merged-chr14-7832137-26
NR2795--MA0149.1.EWSR1-FLI1	chr12	117763386	117763403	+	0.000	0.000	Merged-chr12-117763442-4
NR2978--MA0149.1.EWSR1-FLI1	chr13	46501978	46501995	-	0.000	0.000	Merged-chr13-46502027-20
NR6408--MA0149.1.EWSR1-FLI1	chr2	68932458	68932475	-	0.000	0.000	Merged-chr2-68932401-28
NR1305--MA0475.2.FLI1	chr10	78421128	78421137	-	0.000	0.000	Merged-chr10-78421100-18
NR11229--MA0149.1.EWSR1-FLI1	chr8	79682254	79682271	+	0.000	0.000	Merged-chr8-79682361-5
NR1006--MA0149.1.EWSR1-FLI1	chr10	7846399	7846416	+	0.000	0.000	Merged-chr10-7846413-3
NR9816--MA0149.1.EWSR1-FLI1	chr6	108448387	108448404	-	0.000	0.000	Merged-chr6-108448378-58
NR1315--MA0149.1.EWSR1-FLI1	chr10	80152176	80152193	-	0.000	0.000	Merged-chr10-80152261-5
NR11805--MA0149.1.EWSR1-FLI1	chr9	70584884	70584901	-	0.000	0.000	Merged-chr9-70584670-22
NR8049--MA0149.1.EWSR1-FLI1	chr4	53217949	53217966	+	0.000	0.000	Merged-chr4-53217970-89
NR5253--MA0475.2.FLI1	chr17	72967596	72967605	+	0.000	0.000	Merged-chr17-72967626-25
NR6795--MA0475.2.FLI1	chr2	132004938	132004947	+	0.000	0.000	Merged-chr2-132004928-41
NR5489--MA0149.1.EWSR1-FLI1	chr18	36767180	36767197	-	0.000	0.000	Merged-chr18-36767265-14
NR1241--MA0149.1.EWSR1-FLI1	chr10	71264055	71264072	+	0.000	0.000	Merged-chr10-71264288-33
NR254--MA0149.1.EWSR1-FLI1	chr1	80855246	80855263	-	0.000	0.000	Merged-chr1-80855392-26
NR951--MA0149.1.EWSR1-FLI1	chr1	191609795	191609812	-	0.000	0.000	Merged-chr1-191609738-30
NR669--MA0475.2.FLI1	chr1	160079332	160079341	-	0.000	0.000	Merged-chr1-160079403-35
NR1120--MA0149.1.EWSR1-FLI1	chr10	40462389	40462406	-	0.000	0.000	Merged-chr10-40462347-27
NR1219--MA0149.1.EWSR1-FLI1	chr10	68354855	68354872	-	0.000	0.000	Merged-chr10-68354872-12
NR625--MA0149.1.EWSR1-FLI1	chr1	152625115	152625132	-	0.000	0.000	Merged-chr1-152625115-53
NR5934--MA0475.2.FLI1	chr19	41031175	41031184	+	0.000	0.000	Merged-chr19-41031181-46
NR175--MA0149.1.EWSR1-FLI1	chr1	63002043	63002060	-	0.000	0.000	Merged-chr1-63002017-23
NR10582--MA0149.1.EWSR1-FLI1	chr7	97842908	97842925	-	0.000	0.000	Merged-chr7-97843006-38
NR10018--MA0475.2.FLI1	chr6	136695624	136695633	-	0.000	0.000	Merged-chr6-136695516-20
NR7088--MA0149.1.EWSR1-FLI1	chr2	172940330	172940347	+	0.000	0.000	Merged-chr2-172940358-59
NR7805--MA0149.1.EWSR1-FLI1	chr3	146044920	146044937	+	0.000	0.000	Merged-chr3-146045142-29
NR7931--MA0149.1.EWSR1-FLI1	chr4	15929210	15929227	-	0.000	0.000	Merged-chr4-15929333-33
NR10948--MA0149.1.EWSR1-FLI1	chr8	8343172	8343189	+	0.000	0.000	Merged-chr8-8343206-7
NR11059--MA0149.1.EWSR1-FLI1	chr8	33548704	33548721	-	0.000	0.000	Merged-chr8-33548647-24
NR6389--MA0149.1.EWSR1-FLI1	chr2	62409025	62409042	-	0.000	0.000	Merged-chr2-62408986-36
NR10402--MA0149.1.EWSR1-FLI1	chr7	57591130	57591147	-	0.000	0.000	Merged-chr7-57591036-32
NR6277--MA0475.2.FLI1	chr2	43992672	43992681	+	0.000	0.000	Merged-chr2-43992698-17
NR5993--MA0475.2.FLI1	chr19	55915655	55915664	-	0.000	0.000	Merged-chr19-55915456-76
NR2203--MA0149.1.EWSR1-FLI1	chr11	109785474	109785491	+	0.000	0.000	Merged-chr11-109785498-8
NR3236--MA0149.1.EWSR1-FLI1	chr13	100805928	100805945	-	0.000	0.000	Merged-chr13-100805989-18
NR9372--MA0149.1.EWSR1-FLI1	chr5	148709261	148709278	+	0.000	0.000	Merged-chr5-148709171-35
NR2680--MA0149.1.EWSR1-FLI1	chr12	99923233	99923250	+	0.000	0.000	Merged-chr12-99923144-9
NR8705--MA0149.1.EWSR1-FLI1	chr5	24344892	24344909	-	0.000	0.000	Merged-chr5-24344705-18
NR621--MA0475.2.FLI1	chr1	152019396	152019405	+	0.000	0.000	Merged-chr1-152019421-49
NR5783--MA0475.2.FLI1	chr19	4093964	4093973	+	0.000	0.000	Merged-chr19-4093947-17
NR9434--MA0149.1.EWSR1-FLI1	chr6	17478986	17479003	-	0.000	0.000	Merged-chr6-17478988-3
NR8359--MA0475.2.FLI1	chr4	120815880	120815889	-	0.000	0.000	Merged-chr4-120815867-58
NR6298--MA0149.1.EWSR1-FLI1	chr2	48382128	48382145	+	0.000	0.000	Merged-chr2-48381767-74
NR8811--MA0475.2.FLI1	chr5	62778835	62778844	-	0.000	0.000	Merged-chr5-62778862-45
NR3908--MA0475.2.FLI1	chr14	103850710	103850719	+	0.000	0.000	Merged-chr14-103850623-36
NR11732--MA0149.1.EWSR1-FLI1	chr9	62536813	62536830	+	0.000	0.000	Merged-chr9-62536828-26
NR1979--MA0475.2.FLI1	chr11	78679018	78679027	+	0.000	0.000	Merged-chr11-78678960-17
NR9785--MA0149.1.EWSR1-FLI1	chr6	99385125	99385142	+	0.000	0.000	Merged-chr6-99385322-22
NR11218--MA0149.1.EWSR1-FLI1	chr8	78975239	78975256	-	0.000	0.000	Merged-chr8-78975191-34
NR626--MA0475.2.FLI1	chr1	152769015	152769024	-	0.000	0.000	Merged-chr1-152768986-2
NR12209--MA0149.1.EWSR1-FLI1	chr9	122222981	122222998	-	0.000	0.000	Merged-chr9-122223138-17
NR12074--MA0475.2.FLI1	chr9	112186573	112186582	+	0.000	0.000	Merged-chr9-112186441-37
NR868--MA0475.2.FLI1	chr1	182718804	182718813	+	0.000	0.000	Merged-chr1-182718730-25
NR5703--MA0149.1.EWSR1-FLI1	chr18	77822024	77822041	-	0.000	0.000	Merged-chr18-77822073-36
NR10105--MA0475.2.FLI1	chr6	144919925	144919934	-	0.000	0.000	Merged-chr6-144919933-48
NR8085--MA0149.1.EWSR1-FLI1	chr4	58235784	58235801	+	0.000	0.000	Merged-chr4-58235699-1
NR6659--MA0475.2.FLI1	chr2	112676824	112676833	-	0.000	0.000	Merged-chr2-112676754-32
NR4633--MA0149.1.EWSR1-FLI1	chr16	34573571	34573588	-	0.000	0.000	Merged-chr16-34573616-58
NR8718--MA0475.2.FLI1	chr5	28269924	28269933	-	0.000	0.000	Merged-chr5-28269924-54
NR4119--MA0149.1.EWSR1-FLI1	chr15	42676475	42676492	-	0.000	0.000	Merged-chr15-42676388-81
NR3197--MA0475.2.FLI1	chr13	95742364	95742373	+	0.000	0.000	Merged-chr13-95742219-17
NR4984--MA0149.1.EWSR1-FLI1	chr17	15706190	15706207	-	0.000	0.000	Merged-chr17-15706137-17
NR11703--MA0149.1.EWSR1-FLI1	chr9	58112635	58112652	+	0.000	0.000	Merged-chr9-58112486-25
NR9143--MA0149.1.EWSR1-FLI1	chr5	122288659	122288676	+	0.000	0.000	Merged-chr5-122288620-47
NR7470--MA0149.1.EWSR1-FLI1	chr3	96936715	96936732	+	0.000	0.000	Merged-chr3-96936595-28
NR8827--MA0149.1.EWSR1-FLI1	chr5	64764447	64764464	-	0.000	0.000	Merged-chr5-64764597-23
NR352--MA0149.1.EWSR1-FLI1	chr1	91825530	91825547	+	0.000	0.000	Merged-chr1-91825474-20
NR1246--MA0475.2.FLI1	chr10	72620706	72620715	-	0.000	0.000	Merged-chr10-72620792-31
NR5592--MA0149.1.EWSR1-FLI1	chr18	62151840	62151857	-	0.000	0.000	Merged-chr18-62151803-40
NR2681--MA0149.1.EWSR1-FLI1	chr12	99979760	99979777	-	0.000	0.000	Merged-chr12-99979837-10
NR6382--MA0475.2.FLI1	chr2	61483987	61483996	-	0.000	0.000	Merged-chr2-61484018-22
NR2864--MA0149.1.EWSR1-FLI1	chr13	21366911	21366928	-	0.000	0.000	Merged-chr13-21366779-27
NR5345--MA0149.1.EWSR1-FLI1	chr17	87418226	87418243	+	0.000	0.000	Merged-chr17-87418292-26
NR1018--MA0475.2.FLI1	chr10	9575557	9575566	-	0.000	0.000	Merged-chr10-9575778-20
NR2743--MA0149.1.EWSR1-FLI1	chr12	110386344	110386361	+	0.000	0.000	Merged-chr12-110386422-14
NR5533--MA0149.1.EWSR1-FLI1	chr18	53264322	53264339	+	0.000	0.000	Merged-chr18-53264304-17
NR9786--MA0149.1.EWSR1-FLI1	chr6	99485471	99485488	+	0.000	0.000	Merged-chr6-99485384-21
NR9047--MA0149.1.EWSR1-FLI1	chr5	110594659	110594676	-	0.000	0.000	Merged-chr5-110594723-25
NR7356--MA0475.2.FLI1	chr3	84066068	84066077	+	0.000	0.000	Merged-chr3-84066023-34
NR10836--MA0475.2.FLI1	chr7	132335462	132335471	+	0.000	0.000	Merged-chr7-132335509-39
NR8548--MA0149.1.EWSR1-FLI1	chr4	145201400	145201417	-	0.000	0.000	Merged-chr4-145201623-9
NR8632--MA0149.1.EWSR1-FLI1	chr4	155082346	155082363	+	0.000	0.000	Merged-chr4-155082260-14
NR1243--MA0149.1.EWSR1-FLI1	chr10	71365271	71365288	-	0.000	0.000	Merged-chr10-71365210-11
NR10228--MA0149.1.EWSR1-FLI1	chr7	19202619	19202636	-	0.000	0.000	Merged-chr7-19202544-28
NR386--MA0475.2.FLI1	chr1	98022169	98022178	-	0.000	0.000	Merged-chr1-98022036-10
NR4772--MA0149.1.EWSR1-FLI1	chr16	65629171	65629188	-	0.000	0.000	Merged-chr16-65629396-38
NR12420--MA0149.1.EWSR1-FLI1	chrX	143030596	143030613	-	0.000	0.000	Merged-chrX-143030752-27
NR6015--MA0149.1.EWSR1-FLI1	chr19	58296894	58296911	+	0.000	0.000	Merged-chr19-58296968-24
NR5679--MA0149.1.EWSR1-FLI1	chr18	75044126	75044143	-	0.000	0.000	Merged-chr18-75044050-32
NR5988--MA0149.1.EWSR1-FLI1	chr19	55792775	55792792	+	0.000	0.000	Merged-chr19-55792789-50
NR7916--MA0475.2.FLI1	chr4	11404240	11404249	+	0.000	0.000	Merged-chr4-11404244-13
NR4221--MA0149.1.EWSR1-FLI1	chr15	73627691	73627708	-	0.000	0.000	Merged-chr15-73627530-51
NR6492--MA0149.1.EWSR1-FLI1	chr2	79518263	79518280	-	0.000	0.000	Merged-chr2-79518412-18
NR4713--MA0149.1.EWSR1-FLI1	chr16	49943861	49943878	+	0.000	0.000	Merged-chr16-49943826-20
NR7831--MA0475.2.FLI1	chr3	148867814	148867823	+	0.000	0.000	Merged-chr3-148867817-36
NR6092--MA0475.2.FLI1	chr2	14992784	14992793	-	0.000	0.000	Merged-chr2-14992808-37
NR815--MA0149.1.EWSR1-FLI1	chr1	175936534	175936551	-	0.000	0.000	Merged-chr1-175936561-54
NR1404--MA0475.2.FLI1	chr10	90981911	90981920	-	0.000	0.000	Merged-chr10-90981841-14
NR1273--MA0149.1.EWSR1-FLI1	chr10	75170730	75170747	+	0.000	0.000	Merged-chr10-75170572-27
NR6166--MA0149.1.EWSR1-FLI1	chr2	29706824	29706841	+	0.000	0.000	Merged-chr2-29706743-15
NR11600--MA0149.1.EWSR1-FLI1	chr9	34995999	34996016	-	0.000	0.000	Merged-chr9-34996088-18
NR469--MA0149.1.EWSR1-FLI1	chr1	127240096	127240113	+	0.000	0.000	Merged-chr1-127240112-40
NR2390--MA0149.1.EWSR1-FLI1	chr12	16165146	16165163	+	0.000	0.000	Merged-chr12-16165159-14
NR633--MA0475.2.FLI1	chr1	153730033	153730042	-	0.000	0.000	Merged-chr1-153729985-15
NR165--MA0149.1.EWSR1-FLI1	chr1	60781870	60781887	+	0.000	0.000	Merged-chr1-60781843-37
NR8724--MA0149.1.EWSR1-FLI1	chr5	29205722	29205739	-	0.000	0.000	Merged-chr5-29205850-28
NR11254--MA0149.1.EWSR1-FLI1	chr8	86051918	86051935	-	0.000	0.000	Merged-chr8-86052123-41
NR8907--MA0149.1.EWSR1-FLI1	chr5	89901223	89901240	-	0.000	0.000	Merged-chr5-89901174-42
NR9144--MA0149.1.EWSR1-FLI1	chr5	122288660	122288677	+	0.000	0.000	Merged-chr5-122288620-47
NR2452--MA0149.1.EWSR1-FLI1	chr12	36317407	36317424	+	0.000	0.000	Merged-chr12-36317326-46
NR3626--MA0149.1.EWSR1-FLI1	chr14	52436817	52436834	+	0.000	0.000	Merged-chr14-52437010-8
NR11746--MA0149.1.EWSR1-FLI1	chr9	63749483	63749500	+	0.000	0.000	Merged-chr9-63749415-13
NR9411--MA0149.1.EWSR1-FLI1	chr5	150894478	150894495	-	0.000	0.000	Merged-chr5-150894547-1
NR5558--MA0475.2.FLI1	chr18	55146708	55146717	-	0.000	0.000	Merged-chr18-55146782-23
NR6416--MA0149.1.EWSR1-FLI1	chr2	69428360	69428377	+	0.000	0.000	Merged-chr2-69428323-9
NR9636--MA0149.1.EWSR1-FLI1	chr6	67146682	67146699	-	0.000	0.000	Merged-chr6-67146910-15
NR6275--MA0149.1.EWSR1-FLI1	chr2	43992620	43992637	+	0.000	0.000	Merged-chr2-43992698-17
NR395--MA0149.1.EWSR1-FLI1	chr1	106032119	106032136	-	0.000	0.000	Merged-chr1-106032051-18
NR6666--MA0475.2.FLI1	chr2	114032497	114032506	+	0.000	0.000	Merged-chr2-114032469-18
NR6379--MA0149.1.EWSR1-FLI1	chr2	60375214	60375231	+	0.000	0.000	Merged-chr2-60375404-17
NR4889--MA0149.1.EWSR1-FLI1	chr16	97319594	97319611	-	0.000	0.000	Merged-chr16-97319688-5
NR1753--MA0149.1.EWSR1-FLI1	chr11	32020361	32020378	+	0.000	0.000	Merged-chr11-32020422-50
NR2638--MA0475.2.FLI1	chr12	91008854	91008863	+	0.000	0.000	Merged-chr12-91009085-35
NR11672--MA0149.1.EWSR1-FLI1	chr9	50966458	50966475	-	0.000	0.000	Merged-chr9-50966454-25
NR4585--MA0149.1.EWSR1-FLI1	chr16	23100167	23100184	+	0.000	0.000	Merged-chr16-23100189-17
NR6342--MA0149.1.EWSR1-FLI1	chr2	52676171	52676188	+	0.000	0.000	Merged-chr2-52676141-25
NR949--MA0149.1.EWSR1-FLI1	chr1	191486617	191486634	+	0.000	0.000	Merged-chr1-191486758-12
NR11158--MA0149.1.EWSR1-FLI1	chr8	53630862	53630879	+	0.000	0.000	Merged-chr8-53630787-29
NR9132--MA0149.1.EWSR1-FLI1	chr5	121149398	121149415	+	0.000	0.000	Merged-chr5-121149467-5
NR1244--MA0149.1.EWSR1-FLI1	chr10	71365275	71365292	-	0.000	0.000	Merged-chr10-71365210-11
NR6834--MA0149.1.EWSR1-FLI1	chr2	136917808	136917825	+	0.000	0.000	Merged-chr2-136917960-10
NR3001--MA0149.1.EWSR1-FLI1	chr13	52083784	52083801	+	0.000	0.000	Merged-chr13-52083938-53
NR215--MA0149.1.EWSR1-FLI1	chr1	74794610	74794627	-	0.000	0.000	Merged-chr1-74794765-31
NR11959--MA0149.1.EWSR1-FLI1	chr9	96773209	96773226	-	0.000	0.000	Merged-chr9-96773309-49
NR8062--MA0149.1.EWSR1-FLI1	chr4	55398062	55398079	-	0.000	0.000	Merged-chr4-55398224-75
NR2544--MA0149.1.EWSR1-FLI1	chr12	73726367	73726384	-	0.000	0.000	Merged-chr12-73726209-37
NR11613--MA0149.1.EWSR1-FLI1	chr9	40348820	40348837	+	0.000	0.000	Merged-chr9-40348946-9
NR3802--MA0149.1.EWSR1-FLI1	chr14	75892468	75892485	-	0.000	0.000	Merged-chr14-75892464-20
NR6371--MA0475.2.FLI1	chr2	59474549	59474558	+	0.000	0.000	Merged-chr2-59474458-28
NR4222--MA0149.1.EWSR1-FLI1	chr15	73627695	73627712	-	0.000	0.000	Merged-chr15-73627530-51
NR7808--MA0149.1.EWSR1-FLI1	chr3	146127541	146127558	+	0.000	0.000	Merged-chr3-146127552-12
NR4101--MA0149.1.EWSR1-FLI1	chr15	38120489	38120506	+	0.000	0.000	Merged-chr15-38120488-27
NR3026--MA0149.1.EWSR1-FLI1	chr13	58206751	58206768	-	0.000	0.000	Merged-chr13-58206802-1
NR4573--MA0149.1.EWSR1-FLI1	chr16	21694664	21694681	-	0.000	0.000	Merged-chr16-21694504-65
NR2386--MA0149.1.EWSR1-FLI1	chr12	15900431	15900448	-	0.000	0.000	Merged-chr12-15900388-10
NR8312--MA0149.1.EWSR1-FLI1	chr4	109854920	109854937	-	0.000	0.000	Merged-chr4-109854829-14
NR2920--MA0149.1.EWSR1-FLI1	chr13	36145851	36145868	+	0.000	0.000	Merged-chr13-36145940-12
NR10825--MA0475.2.FLI1	chr7	129814405	129814414	-	0.000	0.000	Merged-chr7-129814526-44
NR10217--MA0149.1.EWSR1-FLI1	chr7	16874223	16874240	-	0.000	0.000	Merged-chr7-16874249-24
NR4635--MA0149.1.EWSR1-FLI1	chr16	34573602	34573619	-	0.000	0.000	Merged-chr16-34573616-58
NR2962--MA0149.1.EWSR1-FLI1	chr13	44420024	44420041	+	0.000	0.000	Merged-chr13-44420007-1
NR11239--MA0475.2.FLI1	chr8	81761648	81761657	-	0.000	0.000	Merged-chr8-81761666-20
NR737--MA0149.1.EWSR1-FLI1	chr1	167242500	167242517	-	0.000	0.000	Merged-chr1-167242407-52
NR7551--MA0149.1.EWSR1-FLI1	chr3	109371643	109371660	-	0.000	0.000	Merged-chr3-109371864-26
NR12246--MA0149.1.EWSR1-FLI1	chrX	20307386	20307403	+	0.000	0.000	Merged-chrX-20307421-11
NR10727--MA0475.2.FLI1	chr7	118922725	118922734	-	0.000	0.000	Merged-chr7-118922669-15
NR2945--MA0149.1.EWSR1-FLI1	chr13	43191792	43191809	-	0.000	0.000	Merged-chr13-43191968-21
NR6276--MA0149.1.EWSR1-FLI1	chr2	43992624	43992641	+	0.000	0.000	Merged-chr2-43992698-17
NR5735--MA0149.1.EWSR1-FLI1	chr18	80661003	80661020	-	0.000	0.000	Merged-chr18-80660932-2
NR11602--MA0475.2.FLI1	chr9	35016912	35016921	-	0.000	0.000	Merged-chr9-35016972-25
NR7801--MA0149.1.EWSR1-FLI1	chr3	145613506	145613523	+	0.000	0.000	Merged-chr3-145613509-1
NR1751--MA0475.2.FLI1	chr11	32000047	32000056	+	0.000	0.000	Merged-chr11-32000120-91
NR6422--MA0149.1.EWSR1-FLI1	chr2	70118912	70118929	-	0.000	0.000	Merged-chr2-70118902-52
NR1754--MA0149.1.EWSR1-FLI1	chr11	32020506	32020523	+	0.000	0.000	Merged-chr11-32020422-50
NR3511--MA0149.1.EWSR1-FLI1	chr14	25108430	25108447	+	0.000	0.000	Merged-chr14-25108517-12
