#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR2279--MA0136.2.ELF5	chr12	54188457	54188467	+	0.000	0.000	Merged-chr12-54188383-1
NR3257--MA0136.2.ELF5	chr14	7833423	7833433	-	0.000	0.000	Merged-chr14-7833590-5
NR4346--MA0473.2.ELF1	chr16	46215557	46215568	-	0.000	0.000	Merged-chr16-46215514-8
NR5683--MA0136.2.ELF5	chr2	12389166	12389176	-	0.000	0.000	Merged-chr2-12389274-16
NR7767--MA0640.1.ELF3	chr4	149282716	149282728	-	0.000	0.000	Merged-chr4-149282639-35
NR3627--MA0640.1.ELF3	chr14	99041494	99041506	-	0.000	0.000	Merged-chr14-99041540-15
NR9924--MA0641.1.ELF4	chr8	64826647	64826658	+	0.000	0.000	Merged-chr8-64826546-37
NR4068--MA0640.1.ELF3	chr15	100182723	100182735	-	0.000	0.000	Merged-chr15-100182935-17
NR9921--MA0473.2.ELF1	chr8	64826647	64826658	+	0.000	0.000	Merged-chr8-64826546-37
NR206--MA0641.1.ELF4	chr1	66987767	66987778	+	0.000	0.000	Merged-chr1-66987794-41
NR5820--MA0641.1.ELF4	chr2	43992670	43992681	+	0.000	0.000	Merged-chr2-43992698-17
NR203--MA0473.2.ELF1	chr1	66987767	66987778	+	0.000	0.000	Merged-chr1-66987794-41
NR1002--MA0136.2.ELF5	chr10	42849068	42849078	+	0.000	0.000	Merged-chr10-42848913-29
NR5709--MA0640.1.ELF3	chr2	23572155	23572167	-	0.000	0.000	Merged-chr2-23572273-2
NR5469--MA0136.2.ELF5	chr19	21104842	21104852	+	0.000	0.000	Merged-chr19-21104768-51
NR10367--MA0473.2.ELF1	chr9	22430256	22430267	+	0.000	0.000	Merged-chr9-22430293-25
NR10368--MA0136.2.ELF5	chr9	22430257	22430267	+	0.000	0.000	Merged-chr9-22430293-25
NR10182--MA0641.1.ELF4	chr8	114986159	114986170	+	0.000	0.000	Merged-chr8-114986195-32
NR10940--MA0473.2.ELF1	chrX	11691219	11691230	-	0.000	0.000	Merged-chrX-11691222-6
NR2226--MA0473.2.ELF1	chr12	31756196	31756207	+	0.000	0.000	Merged-chr12-31756239-29
NR8886--MA0473.2.ELF1	chr6	125222298	125222309	+	0.000	0.000	Merged-chr6-125222318-50
NR7242--MA0136.2.ELF5	chr4	40883213	40883223	+	0.000	0.000	Merged-chr4-40883383-19
NR10158--MA0136.2.ELF5	chr8	111720506	111720516	-	0.000	0.000	Merged-chr8-111720342-23
NR8469--MA0640.1.ELF3	chr6	28135324	28135336	+	0.000	0.000	Merged-chr6-28135172-1
NR3449--MA0641.1.ELF4	chr14	50784566	50784577	+	0.000	0.000	Merged-chr14-50784606-4
NR3446--MA0473.2.ELF1	chr14	50784566	50784577	+	0.000	0.000	Merged-chr14-50784606-4
NR4347--MA0640.1.ELF3	chr16	46215556	46215568	-	0.000	0.000	Merged-chr16-46215514-8
NR5875--MA0641.1.ELF4	chr2	61483987	61483998	-	0.000	0.000	Merged-chr2-61484018-22
NR1075--MA0136.2.ELF5	chr10	68301131	68301141	-	0.000	0.000	Merged-chr10-68301225-15
NR9922--MA0640.1.ELF3	chr8	64826647	64826659	+	0.000	0.000	Merged-chr8-64826546-37
NR3812--MA0641.1.ELF4	chr15	49671413	49671424	-	0.000	0.000	Merged-chr15-49671464-12
NR204--MA0640.1.ELF3	chr1	66987767	66987779	+	0.000	0.000	Merged-chr1-66987794-41
NR8711--MA0641.1.ELF4	chr6	91698970	91698981	-	0.000	0.000	Merged-chr6-91699017-27
NR2875--MA0641.1.ELF4	chr13	54765952	54765963	+	0.000	0.000	Merged-chr13-54766029-1
NR8962--MA0641.1.ELF4	chr6	134981439	134981450	-	0.000	0.000	Merged-chr6-134981456-22
NR5215--MA0473.2.ELF1	chr18	62494996	62495007	-	0.000	0.000	Merged-chr18-62494919-16
NR6308--MA0641.1.ELF4	chr2	150869632	150869643	-	0.000	0.000	Merged-chr2-150869596-45
NR4144--MA0136.2.ELF5	chr16	10676954	10676964	-	0.000	0.000	Merged-chr16-10676780-15
NR2770--MA0136.2.ELF5	chr13	36145847	36145857	+	0.000	0.000	Merged-chr13-36145940-12
NR6305--MA0473.2.ELF1	chr2	150869632	150869643	-	0.000	0.000	Merged-chr2-150869596-45
NR4255--MA0473.2.ELF1	chr16	30597168	30597179	-	0.000	0.000	Merged-chr16-30597297-42
NR6776--MA0136.2.ELF5	chr3	89876591	89876601	-	0.000	0.000	Merged-chr3-89876737-10
NR4070--MA0641.1.ELF4	chr15	100182724	100182735	-	0.000	0.000	Merged-chr15-100182935-17
NR7077--MA0473.2.ELF1	chr3	144232119	144232130	-	0.000	0.000	Merged-chr3-144232172-58
NR10180--MA0640.1.ELF3	chr8	114986159	114986171	+	0.000	0.000	Merged-chr8-114986195-32
NR2665--MA0641.1.ELF4	chr13	12349509	12349520	+	0.000	0.000	Merged-chr13-12349518-23
NR10455--MA0136.2.ELF5	chr9	46026617	46026627	-	0.000	0.000	Merged-chr9-46026446-9
NR2450--MA0641.1.ELF4	chr12	86592731	86592742	+	0.000	0.000	Merged-chr12-86592700-17
NR8690--MA0640.1.ELF3	chr6	89288328	89288340	-	0.000	0.000	Merged-chr6-89288372-31
NR2783--MA0473.2.ELF1	chr13	37751727	37751738	+	0.000	0.000	Merged-chr13-37751511-23
NR6319--MA0473.2.ELF1	chr2	152104991	152105002	-	0.000	0.000	Merged-chr2-152105009-1
NR3447--MA0640.1.ELF3	chr14	50784566	50784578	+	0.000	0.000	Merged-chr14-50784606-4
NR7768--MA0136.2.ELF5	chr4	149282717	149282727	-	0.000	0.000	Merged-chr4-149282639-35
NR6696--MA0136.2.ELF5	chr3	79153526	79153536	+	0.000	0.000	Merged-chr3-79153347-66
NR3628--MA0136.2.ELF5	chr14	99041495	99041505	-	0.000	0.000	Merged-chr14-99041540-15
NR4520--MA0473.2.ELF1	chr17	5303459	5303470	-	0.000	0.000	Merged-chr17-5303448-46
NR10825--MA0641.1.ELF4	chr9	112186571	112186582	+	0.000	0.000	Merged-chr9-112186441-37
NR10823--MA0136.2.ELF5	chr9	112186441	112186451	-	0.000	0.000	Merged-chr9-112186441-37
NR3561--MA0136.2.ELF5	chr14	73170282	73170292	+	0.000	0.000	Merged-chr14-73170198-47
NR3417--MA0473.2.ELF1	chr14	47395855	47395866	-	0.000	0.000	Merged-chr14-47395869-114
NR4977--MA0473.2.ELF1	chr17	88190916	88190927	+	0.000	0.000	Merged-chr17-88190968-12
NR8580--MA0473.2.ELF1	chr6	59185549	59185560	-	0.000	0.000	Merged-chr6-59185393-33
NR9997--MA0473.2.ELF1	chr8	79682534	79682545	+	0.000	0.000	Merged-chr8-79682361-5
NR9782--MA0473.2.ELF1	chr8	3327913	3327924	-	0.000	0.000	Merged-chr8-3327989-13
NR8382--MA0641.1.ELF4	chr5	148501371	148501382	+	0.000	0.000	Merged-chr5-148501527-73
NR6306--MA0640.1.ELF3	chr2	150869631	150869643	-	0.000	0.000	Merged-chr2-150869596-45
NR4256--MA0640.1.ELF3	chr16	30597167	30597179	-	0.000	0.000	Merged-chr16-30597297-42
NR4377--MA0640.1.ELF3	chr16	50315812	50315824	+	0.000	0.000	Merged-chr16-50315651-21
NR2622--MA0641.1.ELF4	chr12	117756226	117756237	+	0.000	0.000	Merged-chr12-117756205-23
NR4260--MA0641.1.ELF4	chr16	30686775	30686786	+	0.000	0.000	Merged-chr16-30686693-12
NR2149--MA0473.2.ELF1	chr12	8847135	8847146	-	0.000	0.000	Merged-chr12-8847092-48
NR976--MA0641.1.ELF4	chr10	39793449	39793460	-	0.000	0.000	Merged-chr10-39793457-38
NR1865--MA0473.2.ELF1	chr11	85324126	85324137	-	0.000	0.000	Merged-chr11-85324179-42
NR6617--MA0136.2.ELF5	chr3	51654949	51654959	-	0.000	0.000	Merged-chr3-51654881-32
NR5216--MA0641.1.ELF4	chr18	62494996	62495007	-	0.000	0.000	Merged-chr18-62494919-16
NR2784--MA0640.1.ELF3	chr13	37751727	37751739	+	0.000	0.000	Merged-chr13-37751511-23
NR8513--MA0640.1.ELF3	chr6	41189061	41189073	+	0.000	0.000	Merged-chr6-41189154-9
NR4348--MA0136.2.ELF5	chr16	46215557	46215567	-	0.000	0.000	Merged-chr16-46215514-8
NR849--MA0136.2.ELF5	chr10	4632578	4632588	-	0.000	0.000	Merged-chr10-4632472-72
NR2659--MA0640.1.ELF3	chr13	9353979	9353991	-	0.000	0.000	Merged-chr13-9354010-25
NR3749--MA0640.1.ELF3	chr15	10236099	10236111	+	0.000	0.000	Merged-chr15-10236133-12
NR4521--MA0640.1.ELF3	chr17	5303458	5303470	-	0.000	0.000	Merged-chr17-5303448-46
NR8536--MA0640.1.ELF3	chr6	49052340	49052352	-	0.000	0.000	Merged-chr6-49052265-16
NR3418--MA0640.1.ELF3	chr14	47395854	47395866	-	0.000	0.000	Merged-chr14-47395869-114
NR9715--MA0641.1.ELF4	chr7	127922763	127922774	-	0.000	0.000	Merged-chr7-127922827-35
NR2556--MA0641.1.ELF4	chr12	109067867	109067878	-	0.000	0.000	Merged-chr12-109068052-48
NR8581--MA0640.1.ELF3	chr6	59185548	59185560	-	0.000	0.000	Merged-chr6-59185393-33
NR9998--MA0640.1.ELF3	chr8	79682534	79682546	+	0.000	0.000	Merged-chr8-79682361-5
NR3765--MA0136.2.ELF5	chr15	27826231	27826241	-	0.000	0.000	Merged-chr15-27825914-54
NR8552--MA0136.2.ELF5	chr6	54021305	54021315	-	0.000	0.000	Merged-chr6-54021435-16
NR8796--MA0641.1.ELF4	chr6	113645080	113645091	-	0.000	0.000	Merged-chr6-113645003-16
NR1866--MA0640.1.ELF3	chr11	85324125	85324137	-	0.000	0.000	Merged-chr11-85324179-42
NR8691--MA0136.2.ELF5	chr6	89288329	89288339	-	0.000	0.000	Merged-chr6-89288372-31
NR3061--MA0640.1.ELF3	chr13	95742362	95742374	+	0.000	0.000	Merged-chr13-95742219-17
NR6075--MA0641.1.ELF4	chr2	112676824	112676835	-	0.000	0.000	Merged-chr2-112676754-32
NR6072--MA0473.2.ELF1	chr2	112676824	112676835	-	0.000	0.000	Merged-chr2-112676754-32
NR936--MA0136.2.ELF5	chr10	21946896	21946906	-	0.000	0.000	Merged-chr10-21947042-21
NR8226--MA0136.2.ELF5	chr5	122232399	122232409	+	0.000	0.000	Merged-chr5-122232202-28
NR1352--MA0640.1.ELF3	chr10	118194967	118194979	-	0.000	0.000	Merged-chr10-118194882-1
NR6856--MA0473.2.ELF1	chr3	102697800	102697811	-	0.000	0.000	Merged-chr3-102697819-15
NR3050--MA0136.2.ELF5	chr13	93593519	93593529	-	0.000	0.000	Merged-chr13-93593412-57
NR6642--MA0136.2.ELF5	chr3	55659813	55659823	+	0.000	0.000	Merged-chr3-55660012-44
NR9713--MA0640.1.ELF3	chr7	127922762	127922774	-	0.000	0.000	Merged-chr7-127922827-35
NR2554--MA0640.1.ELF3	chr12	109067866	109067878	-	0.000	0.000	Merged-chr12-109068052-48
NR8710--MA0136.2.ELF5	chr6	91698970	91698980	-	0.000	0.000	Merged-chr6-91699017-27
NR6544--MA0136.2.ELF5	chr3	9500062	9500072	-	0.000	0.000	Merged-chr3-9499976-58
NR8396--MA0473.2.ELF1	chr5	149428522	149428533	-	0.000	0.000	Merged-chr5-149428707-59
NR4257--MA0136.2.ELF5	chr16	30597168	30597178	-	0.000	0.000	Merged-chr16-30597297-42
NR6203--MA0473.2.ELF1	chr2	131191212	131191223	-	0.000	0.000	Merged-chr2-131191019-12
NR1003--MA0641.1.ELF4	chr10	42849067	42849078	+	0.000	0.000	Merged-chr10-42848913-29
NR7079--MA0136.2.ELF5	chr3	144232119	144232129	-	0.000	0.000	Merged-chr3-144232172-58
NR9078--MA0640.1.ELF3	chr7	4464552	4464564	-	0.000	0.000	Merged-chr7-4464501-45
NR3420--MA0641.1.ELF4	chr14	47395855	47395866	-	0.000	0.000	Merged-chr14-47395869-114
NR9044--MA0136.2.ELF5	chr6	145193623	145193633	-	0.000	0.000	Merged-chr6-145193570-49
NR6363--MA0641.1.ELF4	chr2	163123634	163123645	-	0.000	0.000	Merged-chr2-163123770-16
NR2785--MA0136.2.ELF5	chr13	37751728	37751738	+	0.000	0.000	Merged-chr13-37751511-23
NR6037--MA0640.1.ELF3	chr2	102044394	102044406	+	0.000	0.000	Merged-chr2-102044515-18
NR3969--MA0136.2.ELF5	chr15	82290528	82290538	-	0.000	0.000	Merged-chr15-82290504-11
NR8514--MA0136.2.ELF5	chr6	41189062	41189072	+	0.000	0.000	Merged-chr6-41189154-9
NR10369--MA0641.1.ELF4	chr9	22430256	22430267	+	0.000	0.000	Merged-chr9-22430293-25
NR497--MA0640.1.ELF3	chr1	136019029	136019041	-	0.000	0.000	Merged-chr1-136018899-6
NR5710--MA0136.2.ELF5	chr2	23572156	23572166	-	0.000	0.000	Merged-chr2-23572273-2
NR6073--MA0640.1.ELF3	chr2	112676823	112676835	-	0.000	0.000	Merged-chr2-112676754-32
NR4522--MA0136.2.ELF5	chr17	5303459	5303469	-	0.000	0.000	Merged-chr17-5303448-46
NR3419--MA0136.2.ELF5	chr14	47395855	47395865	-	0.000	0.000	Merged-chr14-47395869-114
NR9526--MA0641.1.ELF4	chr7	101414324	101414335	-	0.000	0.000	Merged-chr7-101414402-16
NR2244--MA0136.2.ELF5	chr12	32635284	32635294	+	0.000	0.000	Merged-chr12-32635321-24
NR7047--MA0640.1.ELF3	chr3	138008367	138008379	+	0.000	0.000	Merged-chr3-138008366-30
NR4979--MA0136.2.ELF5	chr17	88190917	88190927	+	0.000	0.000	Merged-chr17-88190968-12
NR701--MA0136.2.ELF5	chr1	176986537	176986547	-	0.000	0.000	Merged-chr1-176986467-25
NR959--MA0640.1.ELF3	chr10	37606025	37606037	-	0.000	0.000	Merged-chr10-37606063-23
NR8582--MA0136.2.ELF5	chr6	59185549	59185559	-	0.000	0.000	Merged-chr6-59185393-33
NR6320--MA0640.1.ELF3	chr2	152104990	152105002	-	0.000	0.000	Merged-chr2-152105009-1
NR9999--MA0136.2.ELF5	chr8	79682535	79682545	+	0.000	0.000	Merged-chr8-79682361-5
NR8397--MA0640.1.ELF3	chr5	149428521	149428533	-	0.000	0.000	Merged-chr5-149428707-59
NR2164--MA0136.2.ELF5	chr12	17084930	17084940	-	0.000	0.000	Merged-chr12-17085011-50
NR6857--MA0641.1.ELF4	chr3	102697800	102697811	-	0.000	0.000	Merged-chr3-102697819-15
NR6204--MA0640.1.ELF3	chr2	131191211	131191223	-	0.000	0.000	Merged-chr2-131191019-12
NR8484--MA0136.2.ELF5	chr6	30227487	30227497	-	0.000	0.000	Merged-chr6-30227395-32
NR1867--MA0136.2.ELF5	chr11	85324126	85324136	-	0.000	0.000	Merged-chr11-85324179-42
NR3062--MA0136.2.ELF5	chr13	95742363	95742373	+	0.000	0.000	Merged-chr13-95742219-17
NR6777--MA0641.1.ELF4	chr3	89876591	89876602	-	0.000	0.000	Merged-chr3-89876737-10
NR9588--MA0136.2.ELF5	chr7	112918517	112918527	+	0.000	0.000	Merged-chr7-112918407-20
NR4018--MA0136.2.ELF5	chr15	93374706	93374716	+	0.000	0.000	Merged-chr15-93374795-20
NR1122--MA0641.1.ELF4	chr10	77864409	77864420	+	0.000	0.000	Merged-chr10-77864570-37
NR49--MA0473.2.ELF1	chr1	30898859	30898870	-	0.000	0.000	Merged-chr1-30898944-13
NR9080--MA0641.1.ELF4	chr7	4464553	4464564	-	0.000	0.000	Merged-chr7-4464501-45
NR8623--MA0473.2.ELF1	chr6	71144180	71144191	+	0.000	0.000	Merged-chr6-71144085-54
NR6697--MA0641.1.ELF4	chr3	79153525	79153536	+	0.000	0.000	Merged-chr3-79153347-66
NR3629--MA0641.1.ELF4	chr14	99041495	99041506	-	0.000	0.000	Merged-chr14-99041540-15
NR2150--MA0640.1.ELF3	chr12	8847134	8847146	-	0.000	0.000	Merged-chr12-8847092-48
NR6480--MA0136.2.ELF5	chr2	174018102	174018112	-	0.000	0.000	Merged-chr2-174018150-40
NR3683--MA0641.1.ELF4	chr14	118834426	118834437	-	0.000	0.000	Merged-chr14-118834540-52
NR5158--MA0136.2.ELF5	chr18	41753115	41753125	+	0.000	0.000	Merged-chr18-41752958-32
NR8470--MA0641.1.ELF4	chr6	28135324	28135335	+	0.000	0.000	Merged-chr6-28135172-1
NR514--MA0640.1.ELF3	chr1	138186004	138186016	+	0.000	0.000	Merged-chr1-138186154-28
NR9509--MA0136.2.ELF5	chr7	99546294	99546304	-	0.000	0.000	Merged-chr7-99546388-26
NR6038--MA0136.2.ELF5	chr2	102044395	102044405	+	0.000	0.000	Merged-chr2-102044515-18
NR498--MA0136.2.ELF5	chr1	136019030	136019040	-	0.000	0.000	Merged-chr1-136018899-6
NR7127--MA0473.2.ELF1	chr3	148867812	148867823	+	0.000	0.000	Merged-chr3-148867817-36
NR4315--MA0136.2.ELF5	chr16	38239907	38239917	+	0.000	0.000	Merged-chr16-38239886-27
NR6775--MA0640.1.ELF3	chr3	89876590	89876602	-	0.000	0.000	Merged-chr3-89876737-10
NR4220--MA0473.2.ELF1	chr16	21835895	21835906	+	0.000	0.000	Merged-chr16-21835778-19
NR8688--MA0136.2.ELF5	chr6	89282719	89282729	+	0.000	0.000	Merged-chr6-89282729-2
NR6074--MA0136.2.ELF5	chr2	112676824	112676834	-	0.000	0.000	Merged-chr2-112676754-32
NR3049--MA0640.1.ELF3	chr13	93593518	93593530	-	0.000	0.000	Merged-chr13-93593412-57
NR1641--MA0136.2.ELF5	chr11	51883878	51883888	+	0.000	0.000	Merged-chr11-51883874-36
NR5440--MA0473.2.ELF1	chr19	9066092	9066103	+	0.000	0.000	Merged-chr19-9066188-87
NR5470--MA0641.1.ELF4	chr19	21104841	21104852	+	0.000	0.000	Merged-chr19-21104768-51
NR3821--MA0136.2.ELF5	chr15	53115692	53115702	-	0.000	0.000	Merged-chr15-53115661-46
NR7048--MA0136.2.ELF5	chr3	138008368	138008378	+	0.000	0.000	Merged-chr3-138008366-30
NR6695--MA0640.1.ELF3	chr3	79153525	79153537	+	0.000	0.000	Merged-chr3-79153347-66
NR2861--MA0136.2.ELF5	chr13	53402511	53402521	-	0.000	0.000	Merged-chr13-53402378-5
NR5343--MA0136.2.ELF5	chr18	81511275	81511285	+	0.000	0.000	Merged-chr18-81511364-12
NR302--MA0136.2.ELF5	chr1	87181024	87181034	+	0.000	0.000	Merged-chr1-87181117-21
NR6321--MA0136.2.ELF5	chr2	152104991	152105001	-	0.000	0.000	Merged-chr2-152105009-1
NR629--MA0136.2.ELF5	chr1	164453812	164453822	-	0.000	0.000	Merged-chr1-164453894-15
NR8398--MA0136.2.ELF5	chr5	149428522	149428532	-	0.000	0.000	Merged-chr5-149428707-59
NR6205--MA0136.2.ELF5	chr2	131191212	131191222	-	0.000	0.000	Merged-chr2-131191019-12
NR923--MA0640.1.ELF3	chr10	21395589	21395601	+	0.000	0.000	Merged-chr10-21395563-5
NR7407--MA0136.2.ELF5	chr4	86683523	86683533	+	0.000	0.000	Merged-chr4-86683553-15
NR3766--MA0641.1.ELF4	chr15	27826231	27826242	-	0.000	0.000	Merged-chr15-27825914-54
NR1235--MA0136.2.ELF5	chr10	94087445	94087455	-	0.000	0.000	Merged-chr10-94087553-20
NR3763--MA0473.2.ELF1	chr15	27826231	27826242	-	0.000	0.000	Merged-chr15-27825914-54
NR6698--MA0136.2.ELF5	chr3	79197196	79197206	-	0.000	0.000	Merged-chr3-79197186-40
NR8553--MA0641.1.ELF4	chr6	54021305	54021316	-	0.000	0.000	Merged-chr6-54021435-16
NR4221--MA0640.1.ELF3	chr16	21835895	21835907	+	0.000	0.000	Merged-chr16-21835778-19
NR8550--MA0473.2.ELF1	chr6	54021305	54021316	-	0.000	0.000	Merged-chr6-54021435-16
NR8692--MA0641.1.ELF4	chr6	89288329	89288340	-	0.000	0.000	Merged-chr6-89288372-31
NR5706--MA0473.2.ELF1	chr2	23068076	23068087	+	0.000	0.000	Merged-chr2-23068233-3
NR5707--MA0136.2.ELF5	chr2	23068077	23068087	+	0.000	0.000	Merged-chr2-23068233-3
NR1258--MA0136.2.ELF5	chr10	96579634	96579644	-	0.000	0.000	Merged-chr10-96579636-12
NR10824--MA0473.2.ELF1	chr9	112186571	112186582	+	0.000	0.000	Merged-chr9-112186441-37
NR2227--MA0136.2.ELF5	chr12	31756197	31756207	+	0.000	0.000	Merged-chr12-31756239-29
NR5818--MA0473.2.ELF1	chr2	43992670	43992681	+	0.000	0.000	Merged-chr2-43992698-17
NR5819--MA0136.2.ELF5	chr2	43992671	43992681	+	0.000	0.000	Merged-chr2-43992698-17
NR5441--MA0640.1.ELF3	chr19	9066092	9066104	+	0.000	0.000	Merged-chr19-9066188-87
NR7128--MA0641.1.ELF4	chr3	148867812	148867823	+	0.000	0.000	Merged-chr3-148867817-36
NR848--MA0640.1.ELF3	chr10	4632577	4632589	-	0.000	0.000	Merged-chr10-4632472-72
NR2151--MA0136.2.ELF5	chr12	8847135	8847145	-	0.000	0.000	Merged-chr12-8847092-48
NR4519--MA0136.2.ELF5	chr17	5295761	5295771	-	0.000	0.000	Merged-chr17-5295840-41
NR5213--MA0640.1.ELF3	chr18	62494977	62494989	-	0.000	0.000	Merged-chr18-62494919-16
NR937--MA0641.1.ELF4	chr10	21946896	21946907	-	0.000	0.000	Merged-chr10-21947042-21
NR934--MA0473.2.ELF1	chr10	21946896	21946907	-	0.000	0.000	Merged-chr10-21947042-21
NR5872--MA0473.2.ELF1	chr2	61483987	61483998	-	0.000	0.000	Merged-chr2-61484018-22
NR850--MA0136.2.ELF5	chr10	4632584	4632594	-	0.000	0.000	Merged-chr10-4632472-72
NR837--MA0136.2.ELF5	chr1	193159413	193159423	+	0.000	0.000	Merged-chr1-193159321-1
NR2837--MA0136.2.ELF5	chr13	48842448	48842458	-	0.000	0.000	Merged-chr13-48842323-16
NR10000--MA0641.1.ELF4	chr8	79682534	79682545	+	0.000	0.000	Merged-chr8-79682361-5
NR5209--MA0641.1.ELF4	chr18	62174840	62174851	-	0.000	0.000	Merged-chr18-62174920-17
NR6545--MA0641.1.ELF4	chr3	9500062	9500073	-	0.000	0.000	Merged-chr3-9499976-58
NR3764--MA0640.1.ELF3	chr15	27826230	27826242	-	0.000	0.000	Merged-chr15-27825914-54
NR5206--MA0473.2.ELF1	chr18	62174840	62174851	-	0.000	0.000	Merged-chr18-62174920-17
NR6542--MA0473.2.ELF1	chr3	9500062	9500073	-	0.000	0.000	Merged-chr3-9499976-58
NR1639--MA0473.2.ELF1	chr11	51883877	51883888	+	0.000	0.000	Merged-chr11-51883874-36
NR4258--MA0641.1.ELF4	chr16	30597168	30597179	-	0.000	0.000	Merged-chr16-30597297-42
NR2872--MA0473.2.ELF1	chr13	54765952	54765963	+	0.000	0.000	Merged-chr13-54766029-1
NR7069--MA0136.2.ELF5	chr3	143647081	143647091	-	0.000	0.000	Merged-chr3-143647123-49
NR8551--MA0640.1.ELF3	chr6	54021304	54021316	-	0.000	0.000	Merged-chr6-54021435-16
NR2859--MA0473.2.ELF1	chr13	53402511	53402522	-	0.000	0.000	Merged-chr13-53402378-5
NR6447--MA0641.1.ELF4	chr2	169089253	169089264	-	0.000	0.000	Merged-chr2-169089199-37
NR6444--MA0473.2.ELF1	chr2	169089253	169089264	-	0.000	0.000	Merged-chr2-169089199-37
NR2786--MA0641.1.ELF4	chr13	37751727	37751738	+	0.000	0.000	Merged-chr13-37751511-23
NR8515--MA0641.1.ELF4	chr6	41527444	41527455	-	0.000	0.000	Merged-chr6-41527380-17
NR8547--MA0640.1.ELF3	chr6	52825718	52825730	+	0.000	0.000	Merged-chr6-52825813-18
NR5024--MA0136.2.ELF5	chr18	6484958	6484968	-	0.000	0.000	Merged-chr18-6484878-33
NR935--MA0640.1.ELF3	chr10	21946895	21946907	-	0.000	0.000	Merged-chr10-21947042-21
NR5830--MA0136.2.ELF5	chr2	46424835	46424845	+	0.000	0.000	Merged-chr2-46424731-1
NR5873--MA0640.1.ELF3	chr2	61483986	61483998	-	0.000	0.000	Merged-chr2-61484018-22
NR4523--MA0641.1.ELF4	chr17	5303459	5303470	-	0.000	0.000	Merged-chr17-5303448-46
NR8887--MA0641.1.ELF4	chr6	125222298	125222309	+	0.000	0.000	Merged-chr6-125222318-50
NR4069--MA0136.2.ELF5	chr15	100182724	100182734	-	0.000	0.000	Merged-chr15-100182935-17
NR6641--MA0640.1.ELF3	chr3	55659812	55659824	+	0.000	0.000	Merged-chr3-55660012-44
NR8583--MA0641.1.ELF4	chr6	59185549	59185560	-	0.000	0.000	Merged-chr6-59185393-33
NR924--MA0136.2.ELF5	chr10	21395590	21395600	+	0.000	0.000	Merged-chr10-21395563-5
NR7185--MA0640.1.ELF3	chr4	6881057	6881069	-	0.000	0.000	Merged-chr4-6881171-35
NR10845--MA0473.2.ELF1	chr9	115134833	115134844	-	0.000	0.000	Merged-chr9-115134877-14
