#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR522--MA0641.1.ELF4	chr1	144300846	144300857	+	0.000	0.000	Merged-chr1-144301040-48
NR4798--MA0136.2.ELF5	chr17	44557419	44557429	-	0.000	0.000	Merged-chr17-44557338-45
NR4823--MA0640.1.ELF3	chr17	46829145	46829157	-	0.000	0.000	Merged-chr17-46829209-35
NR2092--MA0641.1.ELF4	chr11	119677333	119677344	-	0.000	0.000	Merged-chr11-119677198-48
NR4478--MA0641.1.ELF4	chr16	90475941	90475952	-	0.000	0.000	Merged-chr16-90475942-51
NR9799--MA0473.2.ELF1	chr8	11464197	11464208	+	0.000	0.000	Merged-chr8-11464225-54
NR7873--MA0641.1.ELF4	chr5	28269924	28269935	-	0.000	0.000	Merged-chr5-28269924-54
NR2223--MA0640.1.ELF3	chr12	30557527	30557539	+	0.000	0.000	Merged-chr12-30557589-12
NR10122--MA0641.1.ELF4	chr8	106643248	106643259	-	0.000	0.000	Merged-chr8-106643215-49
NR5329--MA0136.2.ELF5	chr18	80461667	80461677	+	0.000	0.000	Merged-chr18-80461596-28
NR6795--MA0136.2.ELF5	chr3	94375598	94375608	+	0.000	0.000	Merged-chr3-94375656-27
NR10485--MA0641.1.ELF4	chr9	56419116	56419127	-	0.000	0.000	Merged-chr9-56419056-3
NR10602--MA0640.1.ELF3	chr9	73073389	73073401	-	0.000	0.000	Merged-chr9-73073244-62
NR10474--MA0136.2.ELF5	chr9	50525801	50525811	+	0.000	0.000	Merged-chr9-50525750-20
NR8186--MA0473.2.ELF1	chr5	115516596	115516607	-	0.000	0.000	Merged-chr5-115516638-85
NR2796--MA0641.1.ELF4	chr13	38503675	38503686	+	0.000	0.000	Merged-chr13-38503650-43
NR3189--MA0473.2.ELF1	chr13	113183390	113183401	-	0.000	0.000	Merged-chr13-113183502-60
NR1354--MA0473.2.ELF1	chr10	118556664	118556675	+	0.000	0.000	Merged-chr10-118556627-31
NR1355--MA0136.2.ELF5	chr10	118556665	118556675	+	0.000	0.000	Merged-chr10-118556627-31
NR3591--MA0640.1.ELF3	chr14	78687739	78687751	-	0.000	0.000	Merged-chr14-78687892-42
NR3199--MA0136.2.ELF5	chr13	113580129	113580139	+	0.000	0.000	Merged-chr13-113580257-62
NR4085--MA0641.1.ELF4	chr15	101388063	101388074	-	0.000	0.000	Merged-chr15-101388154-52
NR927--MA0640.1.ELF3	chr10	21419394	21419406	-	0.000	0.000	Merged-chr10-21419295-38
NR945--MA0640.1.ELF3	chr10	26228338	26228350	+	0.000	0.000	Merged-chr10-26228346-20
NR131--MA0473.2.ELF1	chr1	51585134	51585145	-	0.000	0.000	Merged-chr1-51585090-58
NR7559--MA0136.2.ELF5	chr4	121196716	121196726	-	0.000	0.000	Merged-chr4-121196708-94
NR9987--MA0641.1.ELF4	chr8	75202186	75202197	+	0.000	0.000	Merged-chr8-75202303-18
NR10844--MA0641.1.ELF4	chr9	114787948	114787959	-	0.000	0.000	Merged-chr9-114787935-34
NR127--MA0473.2.ELF1	chr1	51577824	51577835	-	0.000	0.000	Merged-chr1-51577937-41
NR6813--MA0473.2.ELF1	chr3	95673045	95673056	-	0.000	0.000	Merged-chr3-95672932-76
NR8687--MA0641.1.ELF4	chr6	88769725	88769736	+	0.000	0.000	Merged-chr6-88769866-45
NR7732--MA0640.1.ELF3	chr4	145263765	145263777	+	0.000	0.000	Merged-chr4-145263821-10
NR10522--MA0641.1.ELF4	chr9	62348237	62348248	-	0.000	0.000	Merged-chr9-62348235-9
NR4424--MA0136.2.ELF5	chr16	64800670	64800680	-	0.000	0.000	Merged-chr16-64800516-42
NR3229--MA0641.1.ELF4	chr13	117223278	117223289	+	0.000	0.000	Merged-chr13-117223399-24
NR1732--MA0136.2.ELF5	chr11	62762005	62762015	+	0.000	0.000	Merged-chr11-62762057-29
NR7871--MA0640.1.ELF3	chr5	28269923	28269935	-	0.000	0.000	Merged-chr5-28269924-54
NR6048--MA0473.2.ELF1	chr2	103754816	103754827	-	0.000	0.000	Merged-chr2-103754819-28
NR10120--MA0640.1.ELF3	chr8	106643247	106643259	-	0.000	0.000	Merged-chr8-106643215-49
NR4446--MA0473.2.ELF1	chr16	78560287	78560298	-	0.000	0.000	Merged-chr16-78560297-42
NR8916--MA0641.1.ELF4	chr6	129406137	129406148	+	0.000	0.000	Merged-chr6-129406250-15
NR10891--MA0473.2.ELF1	chr9	122272032	122272043	+	0.000	0.000	Merged-chr9-122271996-35
NR1651--MA0473.2.ELF1	chr11	52318720	52318731	+	0.000	0.000	Merged-chr11-52318681-44
NR8187--MA0640.1.ELF3	chr5	115516595	115516607	-	0.000	0.000	Merged-chr5-115516638-85
NR3078--MA0640.1.ELF3	chr13	98832684	98832696	-	0.000	0.000	Merged-chr13-98832743-37
NR4391--MA0641.1.ELF4	chr16	55735846	55735857	-	0.000	0.000	Merged-chr16-55735684-24
NR5564--MA0136.2.ELF5	chr19	43520544	43520554	-	0.000	0.000	Merged-chr19-43520668-20
NR9008--MA0641.1.ELF4	chr6	142561310	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR552--MA0641.1.ELF4	chr1	153288173	153288184	+	0.000	0.000	Merged-chr1-153288080-22
NR9005--MA0473.2.ELF1	chr6	142561310	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR3987--MA0640.1.ELF3	chr15	85327904	85327916	-	0.000	0.000	Merged-chr15-85328019-32
NR2513--MA0473.2.ELF1	chr12	100480739	100480750	-	0.000	0.000	Merged-chr12-100480598-53
NR4083--MA0640.1.ELF3	chr15	101388062	101388074	-	0.000	0.000	Merged-chr15-101388154-52
NR8724--MA0641.1.ELF4	chr6	95621889	95621900	+	0.000	0.000	Merged-chr6-95621938-31
NR5336--MA0136.2.ELF5	chr18	80686236	80686246	-	0.000	0.000	Merged-chr18-80686265-50
NR9136--MA0136.2.ELF5	chr7	16024807	16024817	+	0.000	0.000	Merged-chr7-16024979-19
NR4808--MA0641.1.ELF4	chr17	45488789	45488800	+	0.000	0.000	Merged-chr17-45488824-86
NR4824--MA0136.2.ELF5	chr17	46829146	46829156	-	0.000	0.000	Merged-chr17-46829209-35
NR4721--MA0136.2.ELF5	chr17	32551120	32551130	-	0.000	0.000	Merged-chr17-32551219-34
NR128--MA0640.1.ELF3	chr1	51577823	51577835	-	0.000	0.000	Merged-chr1-51577937-41
NR6814--MA0640.1.ELF3	chr3	95673044	95673056	-	0.000	0.000	Merged-chr3-95672932-76
NR696--MA0641.1.ELF4	chr1	173451903	173451914	+	0.000	0.000	Merged-chr1-173451815-42
NR5923--MA0136.2.ELF5	chr2	75763468	75763478	+	0.000	0.000	Merged-chr2-75763426-31
NR3227--MA0640.1.ELF3	chr13	117223278	117223290	+	0.000	0.000	Merged-chr13-117223399-24
NR10907--MA0136.2.ELF5	chr9	123928199	123928209	-	0.000	0.000	Merged-chr9-123928219-7
NR2224--MA0136.2.ELF5	chr12	30557528	30557538	+	0.000	0.000	Merged-chr12-30557589-12
NR3124--MA0640.1.ELF3	chr13	103412730	103412742	+	0.000	0.000	Merged-chr13-103412841-15
NR7010--MA0473.2.ELF1	chr3	131250570	131250581	-	0.000	0.000	Merged-chr3-131250529-24
NR10892--MA0640.1.ELF3	chr9	122272032	122272044	+	0.000	0.000	Merged-chr9-122271996-35
NR10603--MA0136.2.ELF5	chr9	73073390	73073400	-	0.000	0.000	Merged-chr9-73073244-62
NR2023--MA0136.2.ELF5	chr11	111065911	111065921	-	0.000	0.000	Merged-chr11-111066070-45
NR9006--MA0640.1.ELF3	chr6	142561310	142561322	+	0.000	0.000	Merged-chr6-142561422-52
NR5095--MA0473.2.ELF1	chr18	32880675	32880686	+	0.000	0.000	Merged-chr18-32880667-46
NR8722--MA0640.1.ELF3	chr6	95621889	95621901	+	0.000	0.000	Merged-chr6-95621938-31
NR9382--MA0640.1.ELF3	chr7	74698165	74698177	+	0.000	0.000	Merged-chr7-74698017-54
NR10634--MA0473.2.ELF1	chr9	80266659	80266670	+	0.000	0.000	Merged-chr9-80266579-55
NR2895--MA0640.1.ELF3	chr13	59656575	59656587	-	0.000	0.000	Merged-chr13-59656636-89
NR839--MA0136.2.ELF5	chr1	193181165	193181175	+	0.000	0.000	Merged-chr1-193181317-39
NR3080--MA0641.1.ELF4	chr13	98832685	98832696	-	0.000	0.000	Merged-chr13-98832743-37
NR10374--MA0640.1.ELF3	chr9	25191906	25191918	+	0.000	0.000	Merged-chr9-25191824-38
NR108--MA0640.1.ELF3	chr1	40391597	40391609	+	0.000	0.000	Merged-chr1-40391569-24
NR5481--MA0473.2.ELF1	chr19	23323347	23323358	+	0.000	0.000	Merged-chr19-23323312-56
NR2546--MA0641.1.ELF4	chr12	105001156	105001167	-	0.000	0.000	Merged-chr12-105001185-43
NR215--MA0641.1.ELF4	chr1	69454206	69454217	+	0.000	0.000	Merged-chr1-69454132-24
NR7011--MA0640.1.ELF3	chr3	131250569	131250581	-	0.000	0.000	Merged-chr3-131250529-24
NR2206--MA0641.1.ELF4	chr12	25255010	25255021	+	0.000	0.000	Merged-chr12-25254889-35
NR8188--MA0136.2.ELF5	chr5	115516596	115516606	-	0.000	0.000	Merged-chr5-115516638-85
NR8967--MA0136.2.ELF5	chr6	135218513	135218523	-	0.000	0.000	Merged-chr6-135218530-45
NR6465--MA0136.2.ELF5	chr2	170205236	170205246	-	0.000	0.000	Merged-chr2-170205131-1
NR8985--MA0136.2.ELF5	chr6	137795294	137795304	+	0.000	0.000	Merged-chr6-137795480-24
NR4086--MA0641.1.ELF4	chr15	101388297	101388308	+	0.000	0.000	Merged-chr15-101388154-52
NR3988--MA0136.2.ELF5	chr15	85327905	85327915	-	0.000	0.000	Merged-chr15-85328019-32
NR4084--MA0136.2.ELF5	chr15	101388063	101388073	-	0.000	0.000	Merged-chr15-101388154-52
NR5096--MA0640.1.ELF3	chr18	32880675	32880687	+	0.000	0.000	Merged-chr18-32880667-46
NR10809--MA0641.1.ELF4	chr9	110641209	110641220	-	0.000	0.000	Merged-chr9-110641188-21
NR10881--MA0640.1.ELF3	chr9	121675086	121675098	+	0.000	0.000	Merged-chr9-121675261-45
NR10806--MA0473.2.ELF1	chr9	110641209	110641220	-	0.000	0.000	Merged-chr9-110641188-21
NR11035--MA0641.1.ELF4	chrX	100504401	100504412	-	0.000	0.000	Merged-chrX-100504535-34
NR3562--MA0473.2.ELF1	chr14	73290133	73290144	-	0.000	0.000	Merged-chr14-73290096-39
NR129--MA0136.2.ELF5	chr1	51577824	51577834	-	0.000	0.000	Merged-chr1-51577937-41
NR6815--MA0136.2.ELF5	chr3	95673045	95673055	-	0.000	0.000	Merged-chr3-95672932-76
NR10635--MA0641.1.ELF4	chr9	80266659	80266670	+	0.000	0.000	Merged-chr9-80266579-55
NR2281--MA0136.2.ELF5	chr12	54398211	54398221	-	0.000	0.000	Merged-chr12-54398333-42
NR3125--MA0136.2.ELF5	chr13	103412731	103412741	+	0.000	0.000	Merged-chr13-103412841-15
NR4899--MA0473.2.ELF1	chr17	73952402	73952413	+	0.000	0.000	Merged-chr17-73952254-58
NR10895--MA0641.1.ELF4	chr9	123058887	123058898	-	0.000	0.000	Merged-chr9-123058823-37
NR8126--MA0473.2.ELF1	chr5	107524455	107524466	+	0.000	0.000	Merged-chr5-107524666-44
NR10893--MA0136.2.ELF5	chr9	122272033	122272043	+	0.000	0.000	Merged-chr9-122271996-35
NR213--MA0640.1.ELF3	chr1	69454206	69454218	+	0.000	0.000	Merged-chr1-69454132-24
NR8924--MA0136.2.ELF5	chr6	130312008	130312018	+	0.000	0.000	Merged-chr6-130312055-26
NR4381--MA0136.2.ELF5	chr16	50632965	50632975	-	0.000	0.000	Merged-chr16-50633027-57
NR9383--MA0136.2.ELF5	chr7	74698166	74698176	+	0.000	0.000	Merged-chr7-74698017-54
NR10807--MA0640.1.ELF3	chr9	110641208	110641220	-	0.000	0.000	Merged-chr9-110641188-21
NR7968--MA0473.2.ELF1	chr5	62574658	62574669	+	0.000	0.000	Merged-chr5-62574565-45
NR10260--MA0641.1.ELF4	chr8	124242384	124242395	-	0.000	0.000	Merged-chr8-124242348-54
NR4498--MA0136.2.ELF5	chr16	94241342	94241352	+	0.000	0.000	Merged-chr16-94241195-48
NR10472--MA0473.2.ELF1	chr9	50525800	50525811	+	0.000	0.000	Merged-chr9-50525750-20
NR7874--MA0473.2.ELF1	chr5	28315734	28315745	-	0.000	0.000	Merged-chr5-28315754-44
NR1356--MA0641.1.ELF4	chr10	118556664	118556675	+	0.000	0.000	Merged-chr10-118556627-31
NR11033--MA0640.1.ELF3	chrX	100504400	100504412	-	0.000	0.000	Merged-chrX-100504535-34
NR3197--MA0473.2.ELF1	chr13	113580128	113580139	+	0.000	0.000	Merged-chr13-113580257-62
NR702--MA0640.1.ELF3	chr1	177428016	177428028	+	0.000	0.000	Merged-chr1-177428223-43
NR695--MA0136.2.ELF5	chr1	173451904	173451914	+	0.000	0.000	Merged-chr1-173451815-42
NR5060--MA0136.2.ELF5	chr18	23828772	23828782	+	0.000	0.000	Merged-chr18-23828715-22
NR7012--MA0136.2.ELF5	chr3	131250570	131250580	-	0.000	0.000	Merged-chr3-131250529-24
NR8127--MA0640.1.ELF3	chr5	107524455	107524467	+	0.000	0.000	Merged-chr5-107524666-44
NR3230--MA0136.2.ELF5	chr13	117260973	117260983	+	0.000	0.000	Merged-chr13-117260856-65
NR8915--MA0640.1.ELF3	chr6	129406137	129406149	+	0.000	0.000	Merged-chr6-129406250-15
NR1733--MA0641.1.ELF4	chr11	62762004	62762015	+	0.000	0.000	Merged-chr11-62762057-29
NR8234--MA0641.1.ELF4	chr5	124075224	124075235	+	0.000	0.000	Merged-chr5-124075287-59
NR4900--MA0641.1.ELF4	chr17	73952402	73952413	+	0.000	0.000	Merged-chr17-73952254-58
NR5097--MA0136.2.ELF5	chr18	32880676	32880686	+	0.000	0.000	Merged-chr18-32880667-46
NR8116--MA0136.2.ELF5	chr5	105718248	105718258	-	0.000	0.000	Merged-chr5-105718341-55
NR10882--MA0136.2.ELF5	chr9	121675087	121675097	+	0.000	0.000	Merged-chr9-121675261-45
NR6854--MA0136.2.ELF5	chr3	101296567	101296577	+	0.000	0.000	Merged-chr3-101296410-67
NR10473--MA0640.1.ELF3	chr9	50525800	50525812	+	0.000	0.000	Merged-chr9-50525750-20
NR5485--MA0640.1.ELF3	chr19	24971493	24971505	+	0.000	0.000	Merged-chr19-24971475-35
NR3198--MA0640.1.ELF3	chr13	113580128	113580140	+	0.000	0.000	Merged-chr13-113580257-62
NR5337--MA0641.1.ELF4	chr18	80686236	80686247	-	0.000	0.000	Merged-chr18-80686265-50
NR4073--MA0640.1.ELF3	chr15	100665186	100665198	-	0.000	0.000	Merged-chr15-100665160-50
NR9137--MA0641.1.ELF4	chr7	16024806	16024817	+	0.000	0.000	Merged-chr7-16024979-19
NR7196--MA0473.2.ELF1	chr4	10940842	10940853	-	0.000	0.000	Merged-chr4-10940994-39
NR1265--MA0640.1.ELF3	chr10	98776473	98776485	-	0.000	0.000	Merged-chr10-98776574-38
NR9009--MA0473.2.ELF1	chr6	142561358	142561369	+	0.000	0.000	Merged-chr6-142561422-52
NR6103--MA0136.2.ELF5	chr2	117089743	117089753	+	0.000	0.000	Merged-chr2-117089625-28
NR2453--MA0641.1.ELF4	chr12	86949623	86949634	-	0.000	0.000	Merged-chr12-86949689-34
NR5922--MA0136.2.ELF5	chr2	75685573	75685583	-	0.000	0.000	Merged-chr2-75685689-38
NR4388--MA0473.2.ELF1	chr16	55735846	55735857	-	0.000	0.000	Merged-chr16-55735684-24
NR172--MA0640.1.ELF3	chr1	60016451	60016463	+	0.000	0.000	Merged-chr1-60016690-100
NR8232--MA0640.1.ELF3	chr5	124075224	124075236	+	0.000	0.000	Merged-chr5-124075287-59
