#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR11066--MA0149.1.EWSR1-FLI1	chrX	51431438	51431455	+	0.000	0.000	Merged-chrX-51431471-1
NR10651--MA0149.1.EWSR1-FLI1	chr9	77558118	77558135	-	0.000	0.000	Merged-chr9-77558150-7
NR3266--MA0475.2.FLI1	chr14	62845241	62845250	+	0.000	0.000	Merged-chr14-62845397-18
NR3747--MA0149.1.EWSR1-FLI1	chr15	78510501	78510518	+	0.000	0.000	Merged-chr15-78510669-65
NR7471--MA0149.1.EWSR1-FLI1	chr4	102712019	102712036	-	0.000	0.000	Merged-chr4-102711875-43
NR9327--MA0149.1.EWSR1-FLI1	chr7	30402582	30402599	+	0.000	0.000	Merged-chr7-30402572-19
NR6500--MA0149.1.EWSR1-FLI1	chr3	27322772	27322789	+	0.000	0.000	Merged-chr3-27322840-36
NR5003--MA0475.2.FLI1	chr18	65189377	65189386	+	0.000	0.000	Merged-chr18-65189388-18
NR7187--MA0149.1.EWSR1-FLI1	chr4	11077612	11077629	+	0.000	0.000	Merged-chr4-11077783-17
NR8220--MA0149.1.EWSR1-FLI1	chr5	105556368	105556385	+	0.000	0.000	Merged-chr5-105556395-18
NR9070--MA0149.1.EWSR1-FLI1	chr6	126995623	126995640	-	0.000	0.000	Merged-chr6-126995755-15
NR10457--MA0475.2.FLI1	chr9	42158847	42158856	+	0.000	0.000	Merged-chr9-42158908-46
NR10293--MA0149.1.EWSR1-FLI1	chr8	122112370	122112387	+	0.000	0.000	Merged-chr8-122112472-10
NR4852--MA0149.1.EWSR1-FLI1	chr18	25479818	25479835	+	0.000	0.000	Merged-chr18-25479728-10
NR5885--MA0149.1.EWSR1-FLI1	chr2	79550627	79550644	+	0.000	0.000	Merged-chr2-79550583-34
NR9833--MA0475.2.FLI1	chr7	139156801	139156810	+	0.000	0.000	Merged-chr7-139156945-61
NR3643--MA0475.2.FLI1	chr15	58655090	58655099	+	0.000	0.000	Merged-chr15-58655104-54
NR6913--MA0475.2.FLI1	chr3	127892135	127892144	-	0.000	0.000	Merged-chr3-127892051-37
NR7573--MA0475.2.FLI1	chr4	121024098	121024107	+	0.000	0.000	Merged-chr4-121024111-11
NR4390--MA0149.1.EWSR1-FLI1	chr17	24084823	24084840	+	0.000	0.000	Merged-chr17-24084802-20
NR2077--MA0149.1.EWSR1-FLI1	chr12	3871322	3871339	-	0.000	0.000	Merged-chr12-3871224-57
NR3666--MA0475.2.FLI1	chr15	62307706	62307715	-	0.000	0.000	Merged-chr15-62307715-11
NR858--MA0149.1.EWSR1-FLI1	chr10	10307564	10307581	+	0.000	0.000	Merged-chr10-10307543-35
NR5176--MA0149.1.EWSR1-FLI1	chr18	89126599	89126616	+	0.000	0.000	Merged-chr18-89126622-17
NR10301--MA0149.1.EWSR1-FLI1	chr8	122712099	122712116	-	0.000	0.000	Merged-chr8-122712057-14
NR7855--MA0149.1.EWSR1-FLI1	chr4	155354158	155354175	-	0.000	0.000	Merged-chr4-155354250-14
NR8275--MA0149.1.EWSR1-FLI1	chr5	112384983	112385000	-	0.000	0.000	Merged-chr5-112385056-37
NR11129--MA0149.1.EWSR1-FLI1	chrX	98291898	98291915	+	0.000	0.000	Merged-chrX-98292021-23
NR5673--MA0149.1.EWSR1-FLI1	chr2	34938760	34938777	+	0.000	0.000	Merged-chr2-34938971-69
NR61--MA0149.1.EWSR1-FLI1	chr1	38694345	38694362	-	0.000	0.000	Merged-chr1-38694375-50
NR8646--MA0149.1.EWSR1-FLI1	chr6	35462756	35462773	+	0.000	0.000	Merged-chr6-35462751-23
NR10022--MA0149.1.EWSR1-FLI1	chr8	69809051	69809068	+	0.000	0.000	Merged-chr8-69808913-73
NR7576--MA0149.1.EWSR1-FLI1	chr4	122923000	122923017	+	0.000	0.000	Merged-chr4-122923030-28
NR972--MA0149.1.EWSR1-FLI1	chr10	44368883	44368900	-	0.000	0.000	Merged-chr10-44368737-26
NR510--MA0475.2.FLI1	chr1	161794969	161794978	+	0.000	0.000	Merged-chr1-161794797-65
NR2398--MA0475.2.FLI1	chr12	103059221	103059230	-	0.000	0.000	Merged-chr12-103059282-39
NR8488--MA0149.1.EWSR1-FLI1	chr5	144216103	144216120	+	0.000	0.000	Merged-chr5-144216200-16
NR4240--MA0149.1.EWSR1-FLI1	chr16	92787050	92787067	-	0.000	0.000	Merged-chr16-92786948-54
NR5231--MA0149.1.EWSR1-FLI1	chr19	8981026	8981043	-	0.000	0.000	Merged-chr19-8980902-23
NR1250--MA0149.1.EWSR1-FLI1	chr10	98776475	98776492	-	0.000	0.000	Merged-chr10-98776574-38
NR6655--MA0475.2.FLI1	chr3	84715253	84715262	-	0.000	0.000	Merged-chr3-84715324-47
NR755--MA0149.1.EWSR1-FLI1	chr1	187227945	187227962	+	0.000	0.000	Merged-chr1-187228023-6
NR8293--MA0149.1.EWSR1-FLI1	chr5	115167631	115167648	-	0.000	0.000	Merged-chr5-115167638-30
NR2078--MA0149.1.EWSR1-FLI1	chr12	3871325	3871342	-	0.000	0.000	Merged-chr12-3871224-57
NR9734--MA0149.1.EWSR1-FLI1	chr7	125511626	125511643	+	0.000	0.000	Merged-chr7-125511628-40
NR7547--MA0149.1.EWSR1-FLI1	chr4	116806594	116806611	-	0.000	0.000	Merged-chr4-116806659-9
NR10302--MA0149.1.EWSR1-FLI1	chr8	122712103	122712120	-	0.000	0.000	Merged-chr8-122712057-14
NR7856--MA0149.1.EWSR1-FLI1	chr4	155354162	155354179	-	0.000	0.000	Merged-chr4-155354250-14
NR1251--MA0475.2.FLI1	chr10	98848448	98848457	+	0.000	0.000	Merged-chr10-98848437-17
NR4599--MA0149.1.EWSR1-FLI1	chr17	50513641	50513658	+	0.000	0.000	Merged-chr17-50513476-41
NR3319--MA0149.1.EWSR1-FLI1	chr14	70792793	70792810	+	0.000	0.000	Merged-chr14-70792747-14
NR560--MA0149.1.EWSR1-FLI1	chr1	165691720	165691737	-	0.000	0.000	Merged-chr1-165691684-32
NR695--MA0475.2.FLI1	chr1	180403885	180403894	-	0.000	0.000	Merged-chr1-180403715-60
NR7683--MA0475.2.FLI1	chr4	135475558	135475567	+	0.000	0.000	Merged-chr4-135475652-18
NR4562--MA0149.1.EWSR1-FLI1	chr17	46388460	46388477	-	0.000	0.000	Merged-chr17-46388393-29
NR1960--MA0149.1.EWSR1-FLI1	chr11	106752380	106752397	-	0.000	0.000	Merged-chr11-106752328-41
NR9705--MA0149.1.EWSR1-FLI1	chr7	120921281	120921298	+	0.000	0.000	Merged-chr7-120921372-21
NR5607--MA0475.2.FLI1	chr2	27693852	27693861	+	0.000	0.000	Merged-chr2-27693880-30
NR5415--MA0149.1.EWSR1-FLI1	chr19	53461340	53461357	+	0.000	0.000	Merged-chr19-53461472-73
NR8635--MA0149.1.EWSR1-FLI1	chr6	33618847	33618864	+	0.000	0.000	Merged-chr6-33618746-27
NR2391--MA0475.2.FLI1	chr12	102627711	102627720	-	0.000	0.000	Merged-chr12-102627698-2
NR6327--MA0149.1.EWSR1-FLI1	chr2	166625729	166625746	+	0.000	0.000	Merged-chr2-166625583-45
NR10752--MA0475.2.FLI1	chr9	96896907	96896916	+	0.000	0.000	Merged-chr9-96896917-17
NR5979--MA0475.2.FLI1	chr2	103754816	103754825	-	0.000	0.000	Merged-chr2-103754819-28
NR7165--MA0475.2.FLI1	chr4	6924808	6924817	-	0.000	0.000	Merged-chr4-6924913-49
NR4600--MA0149.1.EWSR1-FLI1	chr17	50513642	50513659	+	0.000	0.000	Merged-chr17-50513476-41
NR2104--MA0149.1.EWSR1-FLI1	chr12	11300810	11300827	+	0.000	0.000	Merged-chr12-11300955-23
NR3221--MA0149.1.EWSR1-FLI1	chr14	55078789	55078806	+	0.000	0.000	Merged-chr14-55078725-7
NR2410--MA0475.2.FLI1	chr12	105001156	105001165	-	0.000	0.000	Merged-chr12-105001185-43
NR6807--MA0149.1.EWSR1-FLI1	chr3	105133291	105133308	-	0.000	0.000	Merged-chr3-105133189-20
NR1665--MA0475.2.FLI1	chr11	62576653	62576662	-	0.000	0.000	Merged-chr11-62576695-29
NR5554--MA0149.1.EWSR1-FLI1	chr2	17597773	17597790	+	0.000	0.000	Merged-chr2-17597899-18
NR2826--MA0149.1.EWSR1-FLI1	chr13	81402002	81402019	-	0.000	0.000	Merged-chr13-81401902-10
NR6283--MA0149.1.EWSR1-FLI1	chr2	158450861	158450878	-	0.000	0.000	Merged-chr2-158450944-19
NR769--MA0475.2.FLI1	chr1	189608794	189608803	+	0.000	0.000	Merged-chr1-189608778-45
NR11062--MA0149.1.EWSR1-FLI1	chrX	51431426	51431443	+	0.000	0.000	Merged-chrX-51431471-1
NR8018--MA0149.1.EWSR1-FLI1	chr5	43824783	43824800	-	0.000	0.000	Merged-chr5-43824623-50
NR6575--MA0149.1.EWSR1-FLI1	chr3	59081143	59081160	-	0.000	0.000	Merged-chr3-59081244-57
NR1991--MA0149.1.EWSR1-FLI1	chr11	113802656	113802673	+	0.000	0.000	Merged-chr11-113802652-27
NR2426--MA0149.1.EWSR1-FLI1	chr12	107991343	107991360	+	0.000	0.000	Merged-chr12-107991300-8
NR4697--MA0149.1.EWSR1-FLI1	chr17	74828521	74828538	+	0.000	0.000	Merged-chr17-74828377-14
NR10672--MA0149.1.EWSR1-FLI1	chr9	80252350	80252367	+	0.000	0.000	Merged-chr9-80252331-18
NR2735--MA0149.1.EWSR1-FLI1	chr13	59536647	59536664	-	0.000	0.000	Merged-chr13-59536572-15
NR99--MA0475.2.FLI1	chr1	43997302	43997311	-	0.000	0.000	Merged-chr1-43997325-24
NR10378--MA0475.2.FLI1	chr9	14908100	14908109	+	0.000	0.000	Merged-chr9-14908176-52
NR9469--MA0149.1.EWSR1-FLI1	chr7	78685095	78685112	-	0.000	0.000	Merged-chr7-78685016-20
