#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed
NR2116--MA0473.2.ELF1	chr11	121229291	121229302	-	0.000	0.000	Merged-chr11-121229163-59
NR1858--MA0640.1.ELF3	chr11	83640390	83640402	+	0.000	0.000	Merged-chr11-83640282-44
NR9869--MA0641.1.ELF4	chr8	35674896	35674907	+	0.000	0.000	Merged-chr8-35674862-23
NR8923--MA0640.1.ELF3	chr6	130312007	130312019	+	0.000	0.000	Merged-chr6-130312055-26
NR840--MA0641.1.ELF4	chr1	193181164	193181175	+	0.000	0.000	Merged-chr1-193181317-39
NR6387--MA0136.2.ELF5	chr2	164867046	164867056	-	0.000	0.000	Merged-chr2-164866998-31
NR6748--MA0640.1.ELF3	chr3	87847895	87847907	+	0.000	0.000	Merged-chr3-87847872-25
NR1988--MA0640.1.ELF3	chr11	106272805	106272817	-	0.000	0.000	Merged-chr11-106272877-78
NR5624--MA0136.2.ELF5	chr19	57970720	57970730	-	0.000	0.000	Merged-chr19-57970893-58
NR6049--MA0641.1.ELF4	chr2	103754816	103754827	-	0.000	0.000	Merged-chr2-103754819-28
NR9435--MA0641.1.ELF4	chr7	81863359	81863370	+	0.000	0.000	Merged-chr7-81863346-31
NR5098--MA0641.1.ELF4	chr18	32880675	32880686	+	0.000	0.000	Merged-chr18-32880667-46
NR6855--MA0641.1.ELF4	chr3	101296566	101296577	+	0.000	0.000	Merged-chr3-101296410-67
NR4447--MA0641.1.ELF4	chr16	78560287	78560298	-	0.000	0.000	Merged-chr16-78560297-42
NR8135--MA0641.1.ELF4	chr5	108312789	108312800	-	0.000	0.000	Merged-chr5-108312691-63
NR6852--MA0473.2.ELF1	chr3	101296566	101296577	+	0.000	0.000	Merged-chr3-101296410-67
NR7730--MA0641.1.ELF4	chr4	145229288	145229299	+	0.000	0.000	Merged-chr4-145229202-5
NR9583--MA0641.1.ELF4	chr7	112210218	112210229	+	0.000	0.000	Merged-chr7-112210103-38
NR10890--MA0136.2.ELF5	chr9	122246090	122246100	+	0.000	0.000	Merged-chr9-122246104-16
NR9010--MA0641.1.ELF4	chr6	142561358	142561369	+	0.000	0.000	Merged-chr6-142561422-52
NR7970--MA0136.2.ELF5	chr5	62574659	62574669	+	0.000	0.000	Merged-chr5-62574565-45
NR8395--MA0641.1.ELF4	chr5	149246224	149246235	+	0.000	0.000	Merged-chr5-149246178-51
NR3368--MA0473.2.ELF1	chr14	31531989	31532000	-	0.000	0.000	Merged-chr14-31531950-40
NR3369--MA0136.2.ELF5	chr14	31531989	31531999	-	0.000	0.000	Merged-chr14-31531950-40
NR4490--MA0136.2.ELF5	chr16	93392369	93392379	-	0.000	0.000	Merged-chr16-93392289-32
NR8392--MA0473.2.ELF1	chr5	149246224	149246235	+	0.000	0.000	Merged-chr5-149246178-51
NR865--MA0473.2.ELF1	chr10	8065954	8065965	-	0.000	0.000	Merged-chr10-8065893-29
NR4477--MA0136.2.ELF5	chr16	90475941	90475951	-	0.000	0.000	Merged-chr16-90475942-51
NR7187--MA0136.2.ELF5	chr4	6925041	6925051	+	0.000	0.000	Merged-chr4-6924913-49
NR8062--MA0136.2.ELF5	chr5	92000977	92000987	-	0.000	0.000	Merged-chr5-92000971-27
NR8943--MA0473.2.ELF1	chr6	134333182	134333193	+	0.000	0.000	Merged-chr6-134333133-48
NR2694--MA0640.1.ELF3	chr13	19139301	19139313	+	0.000	0.000	Merged-chr13-19139213-36
NR7728--MA0473.2.ELF1	chr4	145229288	145229299	+	0.000	0.000	Merged-chr4-145229202-5
NR3878--MA0640.1.ELF3	chr15	66718579	66718591	+	0.000	0.000	Merged-chr15-66718609-34
NR8320--MA0640.1.ELF3	chr5	140999186	140999198	+	0.000	0.000	Merged-chr5-140999389-30
NR4822--MA0136.2.ELF5	chr17	46829109	46829119	-	0.000	0.000	Merged-chr17-46829209-35
NR10121--MA0136.2.ELF5	chr8	106643248	106643258	-	0.000	0.000	Merged-chr8-106643215-49
NR10173--MA0640.1.ELF3	chr8	114815449	114815461	-	0.000	0.000	Merged-chr8-114815485-46
NR562--MA0136.2.ELF5	chr1	155223188	155223198	+	0.000	0.000	Merged-chr1-155223277-24
NR2117--MA0640.1.ELF3	chr11	121229290	121229302	-	0.000	0.000	Merged-chr11-121229163-59
NR130--MA0641.1.ELF4	chr1	51577824	51577835	-	0.000	0.000	Merged-chr1-51577937-41
NR6140--MA0641.1.ELF4	chr2	119787522	119787533	-	0.000	0.000	Merged-chr2-119787564-60
NR3522--MA0136.2.ELF5	chr14	67878079	67878089	+	0.000	0.000	Merged-chr14-67877957-30
NR2203--MA0473.2.ELF1	chr12	25255010	25255021	+	0.000	0.000	Merged-chr12-25254889-35
NR3079--MA0136.2.ELF5	chr13	98832685	98832695	-	0.000	0.000	Merged-chr13-98832743-37
NR10630--MA0640.1.ELF3	chr9	80081166	80081178	+	0.000	0.000	Merged-chr9-80081246-66
NR10023--MA0136.2.ELF5	chr8	83779718	83779728	+	0.000	0.000	Merged-chr8-83779707-23
NR2795--MA0136.2.ELF5	chr13	38503676	38503686	+	0.000	0.000	Merged-chr13-38503650-43
NR6473--MA0473.2.ELF1	chr2	173436809	173436820	-	0.000	0.000	Merged-chr2-173436778-46
NR9860--MA0136.2.ELF5	chr8	34654866	34654876	+	0.000	0.000	Merged-chr8-34654936-23
NR5740--MA0641.1.ELF4	chr2	29725208	29725219	-	0.000	0.000	Merged-chr2-29725132-37
NR329--MA0473.2.ELF1	chr1	90740861	90740872	-	0.000	0.000	Merged-chr1-90740920-30
NR4975--MA0136.2.ELF5	chr17	88123916	88123926	-	0.000	0.000	Merged-chr17-88123873-45
NR6853--MA0640.1.ELF3	chr3	101296566	101296578	+	0.000	0.000	Merged-chr3-101296410-67
NR3565--MA0641.1.ELF4	chr14	73290133	73290144	-	0.000	0.000	Merged-chr14-73290096-39
NR1915--MA0473.2.ELF1	chr11	95805235	95805246	-	0.000	0.000	Merged-chr11-95805339-25
NR5512--MA0641.1.ELF4	chr19	31337438	31337449	-	0.000	0.000	Merged-chr19-31337298-1
NR1730--MA0641.1.ELF4	chr11	62576653	62576664	-	0.000	0.000	Merged-chr11-62576695-29
NR599--MA0136.2.ELF5	chr1	160054531	160054541	-	0.000	0.000	Merged-chr1-160054348-51
NR5642--MA0641.1.ELF4	chr19	61265616	61265627	+	0.000	0.000	Merged-chr19-61265627-44
NR11032--MA0473.2.ELF1	chrX	100504401	100504412	-	0.000	0.000	Merged-chrX-100504535-34
NR10843--MA0136.2.ELF5	chr9	114787948	114787958	-	0.000	0.000	Merged-chr9-114787935-34
NR2019--MA0641.1.ELF4	chr11	109495041	109495052	-	0.000	0.000	Merged-chr11-109495099-18
NR8393--MA0640.1.ELF3	chr5	149246224	149246236	+	0.000	0.000	Merged-chr5-149246178-51
NR4920--MA0640.1.ELF3	chr17	80067466	80067478	+	0.000	0.000	Merged-chr17-80067484-12
NR6750--MA0641.1.ELF4	chr3	87847895	87847906	+	0.000	0.000	Merged-chr3-87847872-25
NR6862--MA0641.1.ELF4	chr3	102755966	102755977	-	0.000	0.000	Merged-chr3-102756086-59
NR2055--MA0641.1.ELF4	chr11	115475668	115475679	+	0.000	0.000	Merged-chr11-115475686-55
NR6184--MA0136.2.ELF5	chr2	127923488	127923498	-	0.000	0.000	Merged-chr2-127923410-36
NR8944--MA0640.1.ELF3	chr6	134333182	134333194	+	0.000	0.000	Merged-chr6-134333133-48
NR3228--MA0136.2.ELF5	chr13	117223279	117223289	+	0.000	0.000	Merged-chr13-117223399-24
NR6657--MA0640.1.ELF3	chr3	59260956	59260968	-	0.000	0.000	Merged-chr3-59260932-51
NR7532--MA0640.1.ELF3	chr4	117136247	117136259	+	0.000	0.000	Merged-chr4-117136328-17
NR4285--MA0640.1.ELF3	chr16	32651185	32651197	-	0.000	0.000	Merged-chr16-32651222-48
NR8832--MA0641.1.ELF4	chr6	115971425	115971436	+	0.000	0.000	Merged-chr6-115971349-10
NR7084--MA0641.1.ELF4	chr3	144381746	144381757	-	0.000	0.000	Merged-chr3-144381817-2
NR6627--MA0473.2.ELF1	chr3	54567503	54567514	-	0.000	0.000	Merged-chr3-54567528-25
NR10552--MA0473.2.ELF1	chr9	66593115	66593126	-	0.000	0.000	Merged-chr9-66593034-105
NR2204--MA0640.1.ELF3	chr12	25255010	25255022	+	0.000	0.000	Merged-chr12-25254889-35
NR8850--MA0641.1.ELF4	chr6	119199069	119199080	+	0.000	0.000	Merged-chr6-119199024-52
NR1347--MA0640.1.ELF3	chr10	117856385	117856397	-	0.000	0.000	Merged-chr10-117856410-16
NR4390--MA0136.2.ELF5	chr16	55735846	55735856	-	0.000	0.000	Merged-chr16-55735684-24
NR5482--MA0641.1.ELF4	chr19	23323347	23323358	+	0.000	0.000	Merged-chr19-23323312-56
NR747--MA0473.2.ELF1	chr1	181212032	181212043	-	0.000	0.000	Merged-chr1-181211865-134
NR9376--MA0641.1.ELF4	chr7	72280930	72280941	-	0.000	0.000	Merged-chr7-72280908-31
NR2617--MA0473.2.ELF1	chr12	117418195	117418206	-	0.000	0.000	Merged-chr12-117418203-35
NR8828--MA0641.1.ELF4	chr6	115971342	115971353	-	0.000	0.000	Merged-chr6-115971349-10
NR9373--MA0473.2.ELF1	chr7	72280930	72280941	-	0.000	0.000	Merged-chr7-72280908-31
NR7550--MA0641.1.ELF4	chr4	119812930	119812941	-	0.000	0.000	Merged-chr4-119812995-31
NR10230--MA0473.2.ELF1	chr8	122463912	122463923	-	0.000	0.000	Merged-chr8-122464115-42
NR9007--MA0136.2.ELF5	chr6	142561311	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR2432--MA0641.1.ELF4	chr12	84285371	84285382	+	0.000	0.000	Merged-chr12-84285297-56
NR8825--MA0473.2.ELF1	chr6	115971342	115971353	-	0.000	0.000	Merged-chr6-115971349-10
NR3880--MA0641.1.ELF4	chr15	66718579	66718590	+	0.000	0.000	Merged-chr15-66718609-34
NR8723--MA0136.2.ELF5	chr6	95621890	95621900	+	0.000	0.000	Merged-chr6-95621938-31
NR1684--MA0473.2.ELF1	chr11	58096350	58096361	-	0.000	0.000	Merged-chr11-58096378-33
NR3563--MA0640.1.ELF3	chr14	73290132	73290144	-	0.000	0.000	Merged-chr14-73290096-39
NR9166--MA0641.1.ELF4	chr7	19871181	19871192	-	0.000	0.000	Merged-chr7-19871294-33
NR5510--MA0640.1.ELF3	chr19	31337437	31337449	-	0.000	0.000	Merged-chr19-31337298-1
NR5640--MA0640.1.ELF3	chr19	61265616	61265628	+	0.000	0.000	Merged-chr19-61265627-44
NR10263--MA0136.2.ELF5	chr8	124520794	124520804	+	0.000	0.000	Merged-chr8-124520851-52
NR10119--MA0473.2.ELF1	chr8	106643248	106643259	-	0.000	0.000	Merged-chr8-106643215-49
NR10375--MA0136.2.ELF5	chr9	25191907	25191917	+	0.000	0.000	Merged-chr9-25191824-38
NR6860--MA0640.1.ELF3	chr3	102755965	102755977	-	0.000	0.000	Merged-chr3-102756086-59
NR9776--MA0640.1.ELF3	chr7	142056771	142056783	+	0.000	0.000	Merged-chr7-142056944-50
NR8321--MA0136.2.ELF5	chr5	140999187	140999197	+	0.000	0.000	Merged-chr5-140999389-30
NR109--MA0136.2.ELF5	chr1	40391598	40391608	+	0.000	0.000	Merged-chr1-40391569-24
NR10508--MA0640.1.ELF3	chr9	60991720	60991732	-	0.000	0.000	Merged-chr9-60991715-48
NR914--MA0473.2.ELF1	chr10	19718892	19718903	-	0.000	0.000	Merged-chr10-19718932-45
NR2118--MA0136.2.ELF5	chr11	121229291	121229301	-	0.000	0.000	Merged-chr11-121229163-59
NR9868--MA0136.2.ELF5	chr8	35674897	35674907	+	0.000	0.000	Merged-chr8-35674862-23
NR10633--MA0641.1.ELF4	chr9	80081166	80081177	+	0.000	0.000	Merged-chr9-80081246-66
NR6628--MA0640.1.ELF3	chr3	54567502	54567514	-	0.000	0.000	Merged-chr3-54567528-25
NR748--MA0640.1.ELF3	chr1	181212031	181212043	-	0.000	0.000	Merged-chr1-181211865-134
NR9331--MA0136.2.ELF5	chr7	58824823	58824833	+	0.000	0.000	Merged-chr7-58824899-42
NR6827--MA0136.2.ELF5	chr3	97796858	97796868	-	0.000	0.000	Merged-chr3-97796692-21
NR2618--MA0640.1.ELF3	chr12	117418194	117418206	-	0.000	0.000	Merged-chr12-117418203-35
NR9374--MA0640.1.ELF3	chr7	72280929	72280941	-	0.000	0.000	Merged-chr7-72280908-31
NR7642--MA0640.1.ELF3	chr4	130922204	130922216	-	0.000	0.000	Merged-chr4-130922235-36
NR10231--MA0640.1.ELF3	chr8	122463911	122463923	-	0.000	0.000	Merged-chr8-122464115-42
NR8826--MA0640.1.ELF3	chr6	115971341	115971353	-	0.000	0.000	Merged-chr6-115971349-10
NR7969--MA0640.1.ELF3	chr5	62574658	62574670	+	0.000	0.000	Merged-chr5-62574565-45
NR2430--MA0640.1.ELF3	chr12	84285371	84285383	+	0.000	0.000	Merged-chr12-84285297-56
NR2395--MA0473.2.ELF1	chr12	78981009	78981020	-	0.000	0.000	Merged-chr12-78980936-73
NR4--MA0640.1.ELF3	chr1	9944209	9944221	-	0.000	0.000	Merged-chr1-9944103-43
NR4489--MA0640.1.ELF3	chr16	93392368	93392380	-	0.000	0.000	Merged-chr16-93392289-32
NR6794--MA0640.1.ELF3	chr3	94375597	94375609	+	0.000	0.000	Merged-chr3-94375656-27
NR10859--MA0473.2.ELF1	chr9	118716122	118716133	-	0.000	0.000	Merged-chr9-118716150-51
NR1989--MA0641.1.ELF4	chr11	106272806	106272817	-	0.000	0.000	Merged-chr11-106272877-78
NR11111--MA0640.1.ELF3	chrX	136986180	136986192	+	0.000	0.000	Merged-chrX-136986316-28
NR521--MA0473.2.ELF1	chr1	144300846	144300857	+	0.000	0.000	Merged-chr1-144301040-48
NR2091--MA0473.2.ELF1	chr11	119677333	119677344	-	0.000	0.000	Merged-chr11-119677198-48
NR766--MA0641.1.ELF4	chr1	183266363	183266374	-	0.000	0.000	Merged-chr1-183266289-26
NR4921--MA0136.2.ELF5	chr17	80067467	80067477	+	0.000	0.000	Merged-chr17-80067484-12
NR5334--MA0473.2.ELF1	chr18	80686236	80686247	-	0.000	0.000	Merged-chr18-80686265-50
NR867--MA0136.2.ELF5	chr10	8065954	8065964	-	0.000	0.000	Merged-chr10-8065893-29
NR9134--MA0473.2.ELF1	chr7	16024806	16024817	+	0.000	0.000	Merged-chr7-16024979-19
NR2642--MA0473.2.ELF1	chr13	4191167	4191178	-	0.000	0.000	Merged-chr13-4191269-39
NR5353--MA0136.2.ELF5	chr18	82607481	82607491	+	0.000	0.000	Merged-chr18-82607647-23
NR8945--MA0136.2.ELF5	chr6	134333183	134333193	+	0.000	0.000	Merged-chr6-134333133-48
NR1898--MA0136.2.ELF5	chr11	88599470	88599480	-	0.000	0.000	Merged-chr11-88599257-91
NR7558--MA0640.1.ELF3	chr4	121196715	121196727	-	0.000	0.000	Merged-chr4-121196708-94
NR3178--MA0136.2.ELF5	chr13	111297777	111297787	+	0.000	0.000	Merged-chr13-111297823-12
NR9377--MA0136.2.ELF5	chr7	72344489	72344499	-	0.000	0.000	Merged-chr7-72344400-34
NR4286--MA0136.2.ELF5	chr16	32651186	32651196	-	0.000	0.000	Merged-chr16-32651222-48
NR214--MA0136.2.ELF5	chr1	69454207	69454217	+	0.000	0.000	Merged-chr1-69454132-24
NR2205--MA0136.2.ELF5	chr12	25255011	25255021	+	0.000	0.000	Merged-chr12-25254889-35
NR951--MA0640.1.ELF3	chr10	28516305	28516317	-	0.000	0.000	Merged-chr10-28516243-39
NR2110--MA0473.2.ELF1	chr11	120784270	120784281	+	0.000	0.000	Merged-chr11-120784342-58
NR9740--MA0136.2.ELF5	chr7	136255785	136255795	-	0.000	0.000	Merged-chr7-136255803-24
NR6475--MA0136.2.ELF5	chr2	173436809	173436819	-	0.000	0.000	Merged-chr2-173436778-46
NR915--MA0641.1.ELF4	chr10	19718892	19718903	-	0.000	0.000	Merged-chr10-19718932-45
NR2396--MA0640.1.ELF3	chr12	78981008	78981020	-	0.000	0.000	Merged-chr12-78980936-73
NR1917--MA0136.2.ELF5	chr11	95805235	95805245	-	0.000	0.000	Merged-chr11-95805339-25
NR10601--MA0473.2.ELF1	chr9	73073390	73073401	-	0.000	0.000	Merged-chr9-73073244-62
NR10808--MA0136.2.ELF5	chr9	110641209	110641219	-	0.000	0.000	Merged-chr9-110641188-21
NR2056--MA0640.1.ELF3	chr11	115477628	115477640	+	0.000	0.000	Merged-chr11-115477851-75
NR5625--MA0641.1.ELF4	chr19	57970720	57970731	-	0.000	0.000	Merged-chr19-57970893-58
NR3572--MA0473.2.ELF1	chr14	75034283	75034294	-	0.000	0.000	Merged-chr14-75034378-51
NR11034--MA0136.2.ELF5	chrX	100504401	100504411	-	0.000	0.000	Merged-chrX-100504535-34
NR1819--MA0136.2.ELF5	chr11	78600309	78600319	+	0.000	0.000	Merged-chr11-78600384-46
NR2129--MA0473.2.ELF1	chr12	3357077	3357088	-	0.000	0.000	Merged-chr12-3357028-35
NR5335--MA0640.1.ELF3	chr18	80686235	80686247	-	0.000	0.000	Merged-chr18-80686265-50
NR8686--MA0473.2.ELF1	chr6	88769725	88769736	+	0.000	0.000	Merged-chr6-88769866-45
NR8927--MA0640.1.ELF3	chr6	130538558	130538570	+	0.000	0.000	Merged-chr6-130538609-12
NR1562--MA0640.1.ELF3	chr11	32553840	32553852	-	0.000	0.000	Merged-chr11-32553958-74
NR750--MA0641.1.ELF4	chr1	181212032	181212043	-	0.000	0.000	Merged-chr1-181211865-134
NR9135--MA0640.1.ELF3	chr7	16024806	16024818	+	0.000	0.000	Merged-chr7-16024979-19
NR9777--MA0136.2.ELF5	chr7	142056772	142056782	+	0.000	0.000	Merged-chr7-142056944-50
NR7971--MA0641.1.ELF4	chr5	62574658	62574669	+	0.000	0.000	Merged-chr5-62574565-45
NR330--MA0640.1.ELF3	chr1	90740860	90740872	-	0.000	0.000	Merged-chr1-90740920-30
NR9941--MA0640.1.ELF3	chr8	69934028	69934040	+	0.000	0.000	Merged-chr8-69933973-19
NR522--MA0641.1.ELF4	chr1	144300846	144300857	+	0.000	0.000	Merged-chr1-144301040-48
NR4798--MA0136.2.ELF5	chr17	44557419	44557429	-	0.000	0.000	Merged-chr17-44557338-45
NR4823--MA0640.1.ELF3	chr17	46829145	46829157	-	0.000	0.000	Merged-chr17-46829209-35
NR2092--MA0641.1.ELF4	chr11	119677333	119677344	-	0.000	0.000	Merged-chr11-119677198-48
NR4478--MA0641.1.ELF4	chr16	90475941	90475952	-	0.000	0.000	Merged-chr16-90475942-51
NR7082--MA0473.2.ELF1	chr3	144381746	144381757	-	0.000	0.000	Merged-chr3-144381817-2
NR7083--MA0136.2.ELF5	chr3	144381746	144381756	-	0.000	0.000	Merged-chr3-144381817-2
NR10122--MA0641.1.ELF4	chr8	106643248	106643259	-	0.000	0.000	Merged-chr8-106643215-49
NR749--MA0136.2.ELF5	chr1	181212032	181212042	-	0.000	0.000	Merged-chr1-181211865-134
NR2619--MA0136.2.ELF5	chr12	117418195	117418205	-	0.000	0.000	Merged-chr12-117418203-35
NR9375--MA0136.2.ELF5	chr7	72280930	72280940	-	0.000	0.000	Merged-chr7-72280908-31
NR10232--MA0136.2.ELF5	chr8	122463912	122463922	-	0.000	0.000	Merged-chr8-122464115-42
NR2421--MA0473.2.ELF1	chr12	84206914	84206925	-	0.000	0.000	Merged-chr12-84206763-48
NR6795--MA0136.2.ELF5	chr3	94375598	94375608	+	0.000	0.000	Merged-chr3-94375656-27
NR10485--MA0641.1.ELF4	chr9	56419116	56419127	-	0.000	0.000	Merged-chr9-56419056-3
NR7887--MA0641.1.ELF4	chr5	31596876	31596887	-	0.000	0.000	Merged-chr5-31596875-46
NR10602--MA0640.1.ELF3	chr9	73073389	73073401	-	0.000	0.000	Merged-chr9-73073244-62
NR8186--MA0473.2.ELF1	chr5	115516596	115516607	-	0.000	0.000	Merged-chr5-115516638-85
NR1268--MA0640.1.ELF3	chr10	99127217	99127229	+	0.000	0.000	Merged-chr10-99127099-1
NR9164--MA0473.2.ELF1	chr7	19871181	19871192	-	0.000	0.000	Merged-chr7-19871294-33
NR2796--MA0641.1.ELF4	chr13	38503675	38503686	+	0.000	0.000	Merged-chr13-38503650-43
NR3573--MA0640.1.ELF3	chr14	75034282	75034294	-	0.000	0.000	Merged-chr14-75034378-51
NR3189--MA0473.2.ELF1	chr13	113183390	113183401	-	0.000	0.000	Merged-chr13-113183502-60
NR1242--MA0473.2.ELF1	chr10	95196045	95196056	-	0.000	0.000	Merged-chr10-95195945-40
NR3591--MA0640.1.ELF3	chr14	78687739	78687751	-	0.000	0.000	Merged-chr14-78687892-42
NR3199--MA0136.2.ELF5	chr13	113580129	113580139	+	0.000	0.000	Merged-chr13-113580257-62
NR4085--MA0641.1.ELF4	chr15	101388063	101388074	-	0.000	0.000	Merged-chr15-101388154-52
NR7769--MA0136.2.ELF5	chr4	149307803	149307813	+	0.000	0.000	Merged-chr4-149307767-70
NR583--MA0473.2.ELF1	chr1	156921741	156921752	+	0.000	0.000	Merged-chr1-156921832-27
NR945--MA0640.1.ELF3	chr10	26228338	26228350	+	0.000	0.000	Merged-chr10-26228346-20
NR10018--MA0136.2.ELF5	chr8	83573248	83573258	+	0.000	0.000	Merged-chr8-83573289-48
NR131--MA0473.2.ELF1	chr1	51585134	51585145	-	0.000	0.000	Merged-chr1-51585090-58
NR7559--MA0136.2.ELF5	chr4	121196716	121196726	-	0.000	0.000	Merged-chr4-121196708-94
NR10844--MA0641.1.ELF4	chr9	114787948	114787959	-	0.000	0.000	Merged-chr9-114787935-34
NR127--MA0473.2.ELF1	chr1	51577824	51577835	-	0.000	0.000	Merged-chr1-51577937-41
NR3130--MA0641.1.ELF4	chr13	104139774	104139785	+	0.000	0.000	Merged-chr13-104139835-43
NR8687--MA0641.1.ELF4	chr6	88769725	88769736	+	0.000	0.000	Merged-chr6-88769866-45
NR7732--MA0640.1.ELF3	chr4	145263765	145263777	+	0.000	0.000	Merged-chr4-145263821-10
NR4424--MA0136.2.ELF5	chr16	64800670	64800680	-	0.000	0.000	Merged-chr16-64800516-42
NR6629--MA0640.1.ELF3	chr3	54567534	54567546	-	0.000	0.000	Merged-chr3-54567528-25
NR3229--MA0641.1.ELF4	chr13	117223278	117223289	+	0.000	0.000	Merged-chr13-117223399-24
NR1732--MA0136.2.ELF5	chr11	62762005	62762015	+	0.000	0.000	Merged-chr11-62762057-29
NR952--MA0136.2.ELF5	chr10	28516306	28516316	-	0.000	0.000	Merged-chr10-28516243-39
NR6048--MA0473.2.ELF1	chr2	103754816	103754827	-	0.000	0.000	Merged-chr2-103754819-28
NR10120--MA0640.1.ELF3	chr8	106643247	106643259	-	0.000	0.000	Merged-chr8-106643215-49
NR4446--MA0473.2.ELF1	chr16	78560287	78560298	-	0.000	0.000	Merged-chr16-78560297-42
NR2397--MA0136.2.ELF5	chr12	78981009	78981019	-	0.000	0.000	Merged-chr12-78980936-73
NR8916--MA0641.1.ELF4	chr6	129406137	129406148	+	0.000	0.000	Merged-chr6-129406250-15
NR2059--MA0641.1.ELF4	chr11	115646638	115646649	+	0.000	0.000	Merged-chr11-115646752-30
NR2520--MA0641.1.ELF4	chr12	100871414	100871425	+	0.000	0.000	Merged-chr12-100871436-2
NR2057--MA0136.2.ELF5	chr11	115477629	115477639	+	0.000	0.000	Merged-chr11-115477851-75
NR7885--MA0640.1.ELF3	chr5	31596875	31596887	-	0.000	0.000	Merged-chr5-31596875-46
NR8187--MA0640.1.ELF3	chr5	115516595	115516607	-	0.000	0.000	Merged-chr5-115516638-85
NR6403--MA0136.2.ELF5	chr2	166448881	166448891	-	0.000	0.000	Merged-chr2-166448890-20
NR3078--MA0640.1.ELF3	chr13	98832684	98832696	-	0.000	0.000	Merged-chr13-98832743-37
NR4391--MA0641.1.ELF4	chr16	55735846	55735857	-	0.000	0.000	Merged-chr16-55735684-24
NR10203--MA0136.2.ELF5	chr8	117033587	117033597	+	0.000	0.000	Merged-chr8-117033568-28
NR6747--MA0473.2.ELF1	chr3	87847895	87847906	+	0.000	0.000	Merged-chr3-87847872-25
NR9008--MA0641.1.ELF4	chr6	142561310	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR9005--MA0473.2.ELF1	chr6	142561310	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR2513--MA0473.2.ELF1	chr12	100480739	100480750	-	0.000	0.000	Merged-chr12-100480598-53
NR755--MA0473.2.ELF1	chr1	181860834	181860845	+	0.000	0.000	Merged-chr1-181860828-54
NR756--MA0136.2.ELF5	chr1	181860835	181860845	+	0.000	0.000	Merged-chr1-181860828-54
NR4083--MA0640.1.ELF3	chr15	101388062	101388074	-	0.000	0.000	Merged-chr15-101388154-52
NR8724--MA0641.1.ELF4	chr6	95621889	95621900	+	0.000	0.000	Merged-chr6-95621938-31
NR5336--MA0136.2.ELF5	chr18	80686236	80686246	-	0.000	0.000	Merged-chr18-80686265-50
NR8928--MA0136.2.ELF5	chr6	130538559	130538569	+	0.000	0.000	Merged-chr6-130538609-12
NR9136--MA0136.2.ELF5	chr7	16024807	16024817	+	0.000	0.000	Merged-chr7-16024979-19
