#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR2063--MA0475.2.FLI1	chr11	96993135	96993144	-	0.000	0.000	Merged-chr11-96993116-10
NR8271--MA0475.2.FLI1	chr4	102908235	102908244	+	0.000	0.000	Merged-chr4-102908208-33
NR5538--MA0149.1.EWSR1-FLI1	chr18	53801594	53801611	-	0.000	0.000	Merged-chr18-53801567-20
NR11676--MA0149.1.EWSR1-FLI1	chr9	51866797	51866814	-	0.000	0.000	Merged-chr9-51866745-18
NR8019--MA0149.1.EWSR1-FLI1	chr4	45766159	45766176	+	0.000	0.000	Merged-chr4-45766216-17
NR5931--MA0149.1.EWSR1-FLI1	chr19	40508990	40509007	+	0.000	0.000	Merged-chr19-40509084-1
NR3435--MA0149.1.EWSR1-FLI1	chr14	7832258	7832275	-	0.000	0.000	Merged-chr14-7832137-26
NR2795--MA0149.1.EWSR1-FLI1	chr12	117763386	117763403	+	0.000	0.000	Merged-chr12-117763442-4
NR6408--MA0149.1.EWSR1-FLI1	chr2	68932458	68932475	-	0.000	0.000	Merged-chr2-68932401-28
NR11229--MA0149.1.EWSR1-FLI1	chr8	79682254	79682271	+	0.000	0.000	Merged-chr8-79682361-5
NR8071--MA0149.1.EWSR1-FLI1	chr4	56916181	56916198	+	0.000	0.000	Merged-chr4-56916071-19
NR1315--MA0149.1.EWSR1-FLI1	chr10	80152176	80152193	-	0.000	0.000	Merged-chr10-80152261-5
NR11805--MA0149.1.EWSR1-FLI1	chr9	70584884	70584901	-	0.000	0.000	Merged-chr9-70584670-22
NR7488--MA0149.1.EWSR1-FLI1	chr3	101884090	101884107	-	0.000	0.000	Merged-chr3-101884248-30
NR5253--MA0475.2.FLI1	chr17	72967596	72967605	+	0.000	0.000	Merged-chr17-72967626-25
NR5598--MA0475.2.FLI1	chr18	62494996	62495005	-	0.000	0.000	Merged-chr18-62494919-16
NR254--MA0149.1.EWSR1-FLI1	chr1	80855246	80855263	-	0.000	0.000	Merged-chr1-80855392-26
NR1120--MA0149.1.EWSR1-FLI1	chr10	40462389	40462406	-	0.000	0.000	Merged-chr10-40462347-27
NR1219--MA0149.1.EWSR1-FLI1	chr10	68354855	68354872	-	0.000	0.000	Merged-chr10-68354872-12
NR625--MA0149.1.EWSR1-FLI1	chr1	152625115	152625132	-	0.000	0.000	Merged-chr1-152625115-53
NR5934--MA0475.2.FLI1	chr19	41031175	41031184	+	0.000	0.000	Merged-chr19-41031181-46
NR10582--MA0149.1.EWSR1-FLI1	chr7	97842908	97842925	-	0.000	0.000	Merged-chr7-97843006-38
NR7088--MA0149.1.EWSR1-FLI1	chr2	172940330	172940347	+	0.000	0.000	Merged-chr2-172940358-59
NR7805--MA0149.1.EWSR1-FLI1	chr3	146044920	146044937	+	0.000	0.000	Merged-chr3-146045142-29
NR7931--MA0149.1.EWSR1-FLI1	chr4	15929210	15929227	-	0.000	0.000	Merged-chr4-15929333-33
NR2481--MA0475.2.FLI1	chr12	54188458	54188467	+	0.000	0.000	Merged-chr12-54188383-1
NR3307--MA0475.2.FLI1	chr13	109440602	109440611	-	0.000	0.000	Merged-chr13-109440485-3
NR6923--MA0149.1.EWSR1-FLI1	chr2	151970931	151970948	+	0.000	0.000	Merged-chr2-151971067-35
NR6277--MA0475.2.FLI1	chr2	43992672	43992681	+	0.000	0.000	Merged-chr2-43992698-17
NR9488--MA0149.1.EWSR1-FLI1	chr6	41189027	41189044	-	0.000	0.000	Merged-chr6-41189154-9
NR5993--MA0475.2.FLI1	chr19	55915655	55915664	-	0.000	0.000	Merged-chr19-55915456-76
NR2203--MA0149.1.EWSR1-FLI1	chr11	109785474	109785491	+	0.000	0.000	Merged-chr11-109785498-8
NR12476--MA0475.2.FLI1	chrX	167730406	167730415	-	0.000	0.000	Merged-chrX-167730366-30
NR3236--MA0149.1.EWSR1-FLI1	chr13	100805928	100805945	-	0.000	0.000	Merged-chr13-100805989-18
NR3339--MA0475.2.FLI1	chr13	112062170	112062179	-	0.000	0.000	Merged-chr13-112062272-12
NR7489--MA0149.1.EWSR1-FLI1	chr3	101884094	101884111	-	0.000	0.000	Merged-chr3-101884248-30
NR2680--MA0149.1.EWSR1-FLI1	chr12	99923233	99923250	+	0.000	0.000	Merged-chr12-99923144-9
NR8705--MA0149.1.EWSR1-FLI1	chr5	24344892	24344909	-	0.000	0.000	Merged-chr5-24344705-18
NR5783--MA0475.2.FLI1	chr19	4093964	4093973	+	0.000	0.000	Merged-chr19-4093947-17
NR8176--MA0149.1.EWSR1-FLI1	chr4	88275775	88275792	-	0.000	0.000	Merged-chr4-88275744-16
NR2354--MA0149.1.EWSR1-FLI1	chr12	4453757	4453774	+	0.000	0.000	Merged-chr12-4453832-1
NR2112--MA0149.1.EWSR1-FLI1	chr11	98796784	98796801	+	0.000	0.000	Merged-chr11-98796800-22
NR12074--MA0475.2.FLI1	chr9	112186573	112186582	+	0.000	0.000	Merged-chr9-112186441-37
NR868--MA0475.2.FLI1	chr1	182718804	182718813	+	0.000	0.000	Merged-chr1-182718730-25
NR3980--MA0475.2.FLI1	chr14	118834426	118834435	-	0.000	0.000	Merged-chr14-118834540-52
NR7235--MA0149.1.EWSR1-FLI1	chr3	37769330	37769347	-	0.000	0.000	Merged-chr3-37769549-46
NR8085--MA0149.1.EWSR1-FLI1	chr4	58235784	58235801	+	0.000	0.000	Merged-chr4-58235699-1
NR6659--MA0475.2.FLI1	chr2	112676824	112676833	-	0.000	0.000	Merged-chr2-112676754-32
NR11636--MA0149.1.EWSR1-FLI1	chr9	44417539	44417556	-	0.000	0.000	Merged-chr9-44417583-2
NR9301--MA0149.1.EWSR1-FLI1	chr5	137749340	137749357	-	0.000	0.000	Merged-chr5-137749459-31
NR10383--MA0149.1.EWSR1-FLI1	chr7	49304056	49304073	-	0.000	0.000	Merged-chr7-49303959-15
NR3197--MA0475.2.FLI1	chr13	95742364	95742373	+	0.000	0.000	Merged-chr13-95742219-17
NR4984--MA0149.1.EWSR1-FLI1	chr17	15706190	15706207	-	0.000	0.000	Merged-chr17-15706137-17
NR9489--MA0149.1.EWSR1-FLI1	chr6	41189122	41189139	+	0.000	0.000	Merged-chr6-41189154-9
NR11703--MA0149.1.EWSR1-FLI1	chr9	58112635	58112652	+	0.000	0.000	Merged-chr9-58112486-25
NR6232--MA0149.1.EWSR1-FLI1	chr2	32834613	32834630	+	0.000	0.000	Merged-chr2-32834738-24
NR1246--MA0475.2.FLI1	chr10	72620706	72620715	-	0.000	0.000	Merged-chr10-72620792-31
NR3096--MA0149.1.EWSR1-FLI1	chr13	73484526	73484543	+	0.000	0.000	Merged-chr13-73484644-8
NR1134--MA0149.1.EWSR1-FLI1	chr10	42839108	42839125	+	0.000	0.000	Merged-chr10-42838902-52
NR8073--MA0149.1.EWSR1-FLI1	chr4	56916189	56916206	+	0.000	0.000	Merged-chr4-56916071-19
NR2681--MA0149.1.EWSR1-FLI1	chr12	99979760	99979777	-	0.000	0.000	Merged-chr12-99979837-10
NR6382--MA0475.2.FLI1	chr2	61483987	61483996	-	0.000	0.000	Merged-chr2-61484018-22
NR9289--MA0149.1.EWSR1-FLI1	chr5	136864160	136864177	-	0.000	0.000	Merged-chr5-136864168-16
NR10596--MA0149.1.EWSR1-FLI1	chr7	99546283	99546300	-	0.000	0.000	Merged-chr7-99546388-26
NR2743--MA0149.1.EWSR1-FLI1	chr12	110386344	110386361	+	0.000	0.000	Merged-chr12-110386422-14
NR5533--MA0149.1.EWSR1-FLI1	chr18	53264322	53264339	+	0.000	0.000	Merged-chr18-53264304-17
NR9786--MA0149.1.EWSR1-FLI1	chr6	99485471	99485488	+	0.000	0.000	Merged-chr6-99485384-21
NR1243--MA0149.1.EWSR1-FLI1	chr10	71365271	71365288	-	0.000	0.000	Merged-chr10-71365210-11
NR10228--MA0149.1.EWSR1-FLI1	chr7	19202619	19202636	-	0.000	0.000	Merged-chr7-19202544-28
NR7831--MA0475.2.FLI1	chr3	148867814	148867823	+	0.000	0.000	Merged-chr3-148867817-36
NR2928--MA0475.2.FLI1	chr13	37751729	37751738	+	0.000	0.000	Merged-chr13-37751511-23
NR202--MA0149.1.EWSR1-FLI1	chr1	72449982	72449999	+	0.000	0.000	Merged-chr1-72450027-13
NR1404--MA0475.2.FLI1	chr10	90981911	90981920	-	0.000	0.000	Merged-chr10-90981841-14
NR370--MA0149.1.EWSR1-FLI1	chr1	94825296	94825313	-	0.000	0.000	Merged-chr1-94825382-1
NR11600--MA0149.1.EWSR1-FLI1	chr9	34995999	34996016	-	0.000	0.000	Merged-chr9-34996088-18
NR2390--MA0149.1.EWSR1-FLI1	chr12	16165146	16165163	+	0.000	0.000	Merged-chr12-16165159-14
NR2606--MA0475.2.FLI1	chr12	86034157	86034166	+	0.000	0.000	Merged-chr12-86034255-10
NR5504--MA0149.1.EWSR1-FLI1	chr18	43520799	43520816	-	0.000	0.000	Merged-chr18-43520913-20
NR1335--MA0149.1.EWSR1-FLI1	chr10	80792484	80792501	-	0.000	0.000	Merged-chr10-80792465-13
NR8907--MA0149.1.EWSR1-FLI1	chr5	89901223	89901240	-	0.000	0.000	Merged-chr5-89901174-42
NR7966--MA0475.2.FLI1	chr4	34551484	34551493	+	0.000	0.000	Merged-chr4-34551500-9
NR4617--MA0149.1.EWSR1-FLI1	chr16	32520369	32520386	+	0.000	0.000	Merged-chr16-32520584-37
NR9636--MA0149.1.EWSR1-FLI1	chr6	67146682	67146699	-	0.000	0.000	Merged-chr6-67146910-15
NR6275--MA0149.1.EWSR1-FLI1	chr2	43992620	43992637	+	0.000	0.000	Merged-chr2-43992698-17
NR395--MA0149.1.EWSR1-FLI1	chr1	106032119	106032136	-	0.000	0.000	Merged-chr1-106032051-18
NR4622--MA0149.1.EWSR1-FLI1	chr16	33714489	33714506	+	0.000	0.000	Merged-chr16-33714431-35
NR1753--MA0149.1.EWSR1-FLI1	chr11	32020361	32020378	+	0.000	0.000	Merged-chr11-32020422-50
NR1140--MA0149.1.EWSR1-FLI1	chr10	43579078	43579095	+	0.000	0.000	Merged-chr10-43578959-39
NR949--MA0149.1.EWSR1-FLI1	chr1	191486617	191486634	+	0.000	0.000	Merged-chr1-191486758-12
NR11158--MA0149.1.EWSR1-FLI1	chr8	53630862	53630879	+	0.000	0.000	Merged-chr8-53630787-29
NR9132--MA0149.1.EWSR1-FLI1	chr5	121149398	121149415	+	0.000	0.000	Merged-chr5-121149467-5
NR9927--MA0475.2.FLI1	chr6	125222300	125222309	+	0.000	0.000	Merged-chr6-125222318-50
NR1244--MA0149.1.EWSR1-FLI1	chr10	71365275	71365292	-	0.000	0.000	Merged-chr10-71365210-11
NR2544--MA0149.1.EWSR1-FLI1	chr12	73726367	73726384	-	0.000	0.000	Merged-chr12-73726209-37
NR1474--MA0149.1.EWSR1-FLI1	chr10	99284998	99285015	-	0.000	0.000	Merged-chr10-99284943-24
NR7808--MA0149.1.EWSR1-FLI1	chr3	146127541	146127558	+	0.000	0.000	Merged-chr3-146127552-12
NR3026--MA0149.1.EWSR1-FLI1	chr13	58206751	58206768	-	0.000	0.000	Merged-chr13-58206802-1
NR2611--MA0149.1.EWSR1-FLI1	chr12	86592770	86592787	-	0.000	0.000	Merged-chr12-86592700-17
NR8312--MA0149.1.EWSR1-FLI1	chr4	109854920	109854937	-	0.000	0.000	Merged-chr4-109854829-14
NR2920--MA0149.1.EWSR1-FLI1	chr13	36145851	36145868	+	0.000	0.000	Merged-chr13-36145940-12
NR10825--MA0475.2.FLI1	chr7	129814405	129814414	-	0.000	0.000	Merged-chr7-129814526-44
NR11643--MA0149.1.EWSR1-FLI1	chr9	44708529	44708546	+	0.000	0.000	Merged-chr9-44708535-22
NR12246--MA0149.1.EWSR1-FLI1	chrX	20307386	20307403	+	0.000	0.000	Merged-chrX-20307421-11
NR4618--MA0149.1.EWSR1-FLI1	chr16	32520373	32520390	+	0.000	0.000	Merged-chr16-32520584-37
NR6276--MA0149.1.EWSR1-FLI1	chr2	43992624	43992641	+	0.000	0.000	Merged-chr2-43992698-17
NR5735--MA0149.1.EWSR1-FLI1	chr18	80661003	80661020	-	0.000	0.000	Merged-chr18-80660932-2
NR7801--MA0149.1.EWSR1-FLI1	chr3	145613506	145613523	+	0.000	0.000	Merged-chr3-145613509-1
NR9691--MA0475.2.FLI1	chr6	83413099	83413108	-	0.000	0.000	Merged-chr6-83413092-38
NR1754--MA0149.1.EWSR1-FLI1	chr11	32020506	32020523	+	0.000	0.000	Merged-chr11-32020422-50
NR10823--MA0149.1.EWSR1-FLI1	chr7	129774373	129774390	-	0.000	0.000	Merged-chr7-129774380-36
NR8179--MA0149.1.EWSR1-FLI1	chr4	88998204	88998221	+	0.000	0.000	Merged-chr4-88998396-38
NR1119--MA0149.1.EWSR1-FLI1	chr10	40462385	40462402	-	0.000	0.000	Merged-chr10-40462347-27
NR4905--MA0475.2.FLI1	chr17	5303459	5303468	-	0.000	0.000	Merged-chr17-5303448-46
NR9279--MA0149.1.EWSR1-FLI1	chr5	135711151	135711168	-	0.000	0.000	Merged-chr5-135711032-5
NR2609--MA0475.2.FLI1	chr12	86592733	86592742	+	0.000	0.000	Merged-chr12-86592700-17
NR7260--MA0149.1.EWSR1-FLI1	chr3	52262707	52262724	-	0.000	0.000	Merged-chr3-52262718-28
NR7485--MA0149.1.EWSR1-FLI1	chr3	101066276	101066293	+	0.000	0.000	Merged-chr3-101066330-34
NR11231--MA0149.1.EWSR1-FLI1	chr8	79682262	79682279	+	0.000	0.000	Merged-chr8-79682361-5
NR5355--MA0475.2.FLI1	chr17	88190965	88190974	-	0.000	0.000	Merged-chr17-88190968-12
NR3195--MA0149.1.EWSR1-FLI1	chr13	95063729	95063746	+	0.000	0.000	Merged-chr13-95063599-48
NR1448--MA0475.2.FLI1	chr10	96656424	96656433	+	0.000	0.000	Merged-chr10-96656400-23
NR7893--MA0475.2.FLI1	chr4	6941154	6941163	-	0.000	0.000	Merged-chr4-6941109-33
NR9388--MA0149.1.EWSR1-FLI1	chr5	149440179	149440196	+	0.000	0.000	Merged-chr5-149439971-46
NR2716--MA0149.1.EWSR1-FLI1	chr12	106658706	106658723	-	0.000	0.000	Merged-chr12-106658505-23
NR3198--MA0475.2.FLI1	chr13	95765118	95765127	+	0.000	0.000	Merged-chr13-95765232-46
NR6173--MA0149.1.EWSR1-FLI1	chr2	30647400	30647417	+	0.000	0.000	Merged-chr2-30647616-24
NR4073--MA0475.2.FLI1	chr15	30693960	30693969	+	0.000	0.000	Merged-chr15-30693983-13
NR9576--MA0149.1.EWSR1-FLI1	chr6	54078388	54078405	-	0.000	0.000	Merged-chr6-54078374-21
NR11382--MA0149.1.EWSR1-FLI1	chr8	111624110	111624127	-	0.000	0.000	Merged-chr8-111624206-14
NR11232--MA0475.2.FLI1	chr8	79682536	79682545	+	0.000	0.000	Merged-chr8-79682361-5
NR7782--MA0149.1.EWSR1-FLI1	chr3	144261249	144261266	+	0.000	0.000	Merged-chr3-144261016-37
NR7222--MA0475.2.FLI1	chr3	35318441	35318450	+	0.000	0.000	Merged-chr3-35318440-37
NR6423--MA0149.1.EWSR1-FLI1	chr2	70129798	70129815	-	0.000	0.000	Merged-chr2-70129785-15
NR2254--MA0149.1.EWSR1-FLI1	chr11	114934252	114934269	-	0.000	0.000	Merged-chr11-114934424-15
NR5348--MA0149.1.EWSR1-FLI1	chr17	87983306	87983323	-	0.000	0.000	Merged-chr17-87983353-13
NR4011--MA0149.1.EWSR1-FLI1	chr14	121992790	121992807	-	0.000	0.000	Merged-chr14-121992584-62
NR1100--MA0149.1.EWSR1-FLI1	chr10	37232240	37232257	-	0.000	0.000	Merged-chr10-37232300-62
NR8877--MA0149.1.EWSR1-FLI1	chr5	75661044	75661061	-	0.000	0.000	Merged-chr5-75660966-11
NR7414--MA0149.1.EWSR1-FLI1	chr3	89876607	89876624	-	0.000	0.000	Merged-chr3-89876737-10
NR6495--MA0475.2.FLI1	chr2	80324550	80324559	+	0.000	0.000	Merged-chr2-80324472-29
NR6915--MA0149.1.EWSR1-FLI1	chr2	150869621	150869638	-	0.000	0.000	Merged-chr2-150869596-45
NR7491--MA0475.2.FLI1	chr3	102697800	102697809	-	0.000	0.000	Merged-chr3-102697819-15
NR7891--MA0149.1.EWSR1-FLI1	chr4	6675169	6675186	-	0.000	0.000	Merged-chr4-6675237-24
NR12094--MA0149.1.EWSR1-FLI1	chr9	114592617	114592634	-	0.000	0.000	Merged-chr9-114592565-4
NR2551--MA0149.1.EWSR1-FLI1	chr12	75479722	75479739	+	0.000	0.000	Merged-chr12-75479901-16
NR3007--MA0475.2.FLI1	chr13	54765954	54765963	+	0.000	0.000	Merged-chr13-54766029-1
NR11091--MA0149.1.EWSR1-FLI1	chr8	34818008	34818025	+	0.000	0.000	Merged-chr8-34817852-8
NR11111--MA0149.1.EWSR1-FLI1	chr8	36165103	36165120	+	0.000	0.000	Merged-chr8-36165125-29
NR4187--MA0149.1.EWSR1-FLI1	chr15	66286813	66286830	-	0.000	0.000	Merged-chr15-66286791-54
NR4904--MA0149.1.EWSR1-FLI1	chr17	5138649	5138666	+	0.000	0.000	Merged-chr17-5138884-51
NR6436--MA0149.1.EWSR1-FLI1	chr2	72136887	72136904	+	0.000	0.000	Merged-chr2-72136999-23
NR7049--MA0475.2.FLI1	chr2	168540013	168540022	-	0.000	0.000	Merged-chr2-168539977-33
NR5507--MA0149.1.EWSR1-FLI1	chr18	44392715	44392732	+	0.000	0.000	Merged-chr18-44392575-22
NR10392--MA0149.1.EWSR1-FLI1	chr7	49802831	49802848	+	0.000	0.000	Merged-chr7-49802865-9
NR10580--MA0149.1.EWSR1-FLI1	chr7	97842903	97842920	-	0.000	0.000	Merged-chr7-97843006-38
NR1405--MA0149.1.EWSR1-FLI1	chr10	90981912	90981929	-	0.000	0.000	Merged-chr10-90981841-14
NR8344--MA0149.1.EWSR1-FLI1	chr4	118078802	118078819	-	0.000	0.000	Merged-chr4-118078644-25
NR7739--MA0475.2.FLI1	chr3	138842499	138842508	+	0.000	0.000	Merged-chr3-138842482-12
NR5742--MA0149.1.EWSR1-FLI1	chr18	81511423	81511440	+	0.000	0.000	Merged-chr18-81511364-12
NR7892--MA0149.1.EWSR1-FLI1	chr4	6881051	6881068	-	0.000	0.000	Merged-chr4-6881171-35
NR1106--MA0475.2.FLI1	chr10	39293260	39293269	-	0.000	0.000	Merged-chr10-39293099-66
NR3004--MA0149.1.EWSR1-FLI1	chr13	53390324	53390341	+	0.000	0.000	Merged-chr13-53390437-27
NR9444--MA0149.1.EWSR1-FLI1	chr6	28351228	28351245	-	0.000	0.000	Merged-chr6-28351294-19
NR6407--MA0149.1.EWSR1-FLI1	chr2	68884868	68884885	+	0.000	0.000	Merged-chr2-68884857-23
NR4037--MA0149.1.EWSR1-FLI1	chr15	3270720	3270737	-	0.000	0.000	Merged-chr15-3270817-58
NR9491--MA0149.1.EWSR1-FLI1	chr6	41189144	41189161	+	0.000	0.000	Merged-chr6-41189154-9
NR12345--MA0149.1.EWSR1-FLI1	chrX	95711905	95711922	-	0.000	0.000	Merged-chrX-95711904-50
NR11804--MA0149.1.EWSR1-FLI1	chr9	70584880	70584897	-	0.000	0.000	Merged-chr9-70584670-22
NR6914--MA0475.2.FLI1	chr2	150869620	150869629	-	0.000	0.000	Merged-chr2-150869596-45
NR8745--MA0149.1.EWSR1-FLI1	chr5	33125256	33125273	+	0.000	0.000	Merged-chr5-33125438-11
NR369--MA0149.1.EWSR1-FLI1	chr1	94825292	94825309	-	0.000	0.000	Merged-chr1-94825382-1
NR7328--MA0475.2.FLI1	chr3	79153527	79153536	+	0.000	0.000	Merged-chr3-79153347-66
NR4882--MA0475.2.FLI1	chr16	96208604	96208613	-	0.000	0.000	Merged-chr16-96208613-13
NR6788--MA0149.1.EWSR1-FLI1	chr2	131191189	131191206	-	0.000	0.000	Merged-chr2-131191019-12
NR6722--MA0475.2.FLI1	chr2	121442126	121442135	-	0.000	0.000	Merged-chr2-121441988-1
NR5189--MA0475.2.FLI1	chr17	57098464	57098473	+	0.000	0.000	Merged-chr17-57098619-14
NR2026--MA0149.1.EWSR1-FLI1	chr11	88595873	88595890	-	0.000	0.000	Merged-chr11-88595910-28
NR2110--MA0149.1.EWSR1-FLI1	chr11	98796776	98796793	+	0.000	0.000	Merged-chr11-98796800-22
NR5597--MA0149.1.EWSR1-FLI1	chr18	62494814	62494831	-	0.000	0.000	Merged-chr18-62494919-16
NR3014--MA0475.2.FLI1	chr13	55255524	55255533	+	0.000	0.000	Merged-chr13-55255412-37
NR7804--MA0149.1.EWSR1-FLI1	chr3	146044912	146044929	+	0.000	0.000	Merged-chr3-146045142-29
NR838--MA0475.2.FLI1	chr1	179025514	179025523	+	0.000	0.000	Merged-chr1-179025362-29
NR6079--MA0149.1.EWSR1-FLI1	chr2	13080608	13080625	+	0.000	0.000	Merged-chr2-13080560-18
NR9299--MA0149.1.EWSR1-FLI1	chr5	137749332	137749349	-	0.000	0.000	Merged-chr5-137749459-31
NR2708--MA0475.2.FLI1	chr12	105069146	105069155	+	0.000	0.000	Merged-chr12-105069151-33
NR6922--MA0149.1.EWSR1-FLI1	chr2	151970927	151970944	+	0.000	0.000	Merged-chr2-151971067-35
NR4609--MA0149.1.EWSR1-FLI1	chr16	30722529	30722546	+	0.000	0.000	Merged-chr16-30722513-29
NR6660--MA0149.1.EWSR1-FLI1	chr2	112676870	112676887	-	0.000	0.000	Merged-chr2-112676754-32
NR10814--MA0149.1.EWSR1-FLI1	chr7	128398922	128398939	-	0.000	0.000	Merged-chr7-128398877-22
NR1441--MA0149.1.EWSR1-FLI1	chr10	96201430	96201447	+	0.000	0.000	Merged-chr10-96201472-66
