#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR302--MA0098.3.ETS1	chr10	25268625	25268634	-	0.000	0.000	Merged-chr10-25268678-14
NR3159--MA0098.3.ETS1	chr8	24547385	24547394	+	0.000	0.000	Merged-chr8-24547289-41
NR432--MA0098.3.ETS1	chr10	118195014	118195023	-	0.000	0.000	Merged-chr10-118194882-1
NR57--MA0098.3.ETS1	chr1	66987790	66987799	-	0.000	0.000	Merged-chr1-66987794-41
NR2307--MA0098.3.ETS1	chr3	138842499	138842508	+	0.000	0.000	Merged-chr3-138842482-12
NR89--MA0098.3.ETS1	chr1	87181025	87181034	+	0.000	0.000	Merged-chr1-87181117-21
NR576--MA0098.3.ETS1	chr11	72718352	72718361	-	0.000	0.000	Merged-chr11-72718326-14
NR124--MA0098.3.ETS1	chr1	106562115	106562124	+	0.000	0.000	Merged-chr1-106562243-20
NR1383--MA0098.3.ETS1	chr16	24909724	24909733	-	0.000	0.000	Merged-chr16-24909583-14
NR2352--MA0098.3.ETS1	chr4	11404240	11404249	+	0.000	0.000	Merged-chr4-11404244-13
NR3330--MA0098.3.ETS1	chr9	44196182	44196191	-	0.000	0.000	Merged-chr9-44196336-21
NR1249--MA0098.3.ETS1	chr15	66514659	66514668	-	0.000	0.000	Merged-chr15-66514764-18
NR3120--MA0098.3.ETS1	chr7	135647096	135647105	+	0.000	0.000	Merged-chr7-135647119-33
NR174--MA0098.3.ETS1	chr1	155740766	155740775	+	0.000	0.000	Merged-chr1-155740912-26
NR2926--MA0098.3.ETS1	chr6	144919925	144919934	-	0.000	0.000	Merged-chr6-144919933-48
NR1187--MA0098.3.ETS1	chr14	119236418	119236427	-	0.000	0.000	Merged-chr14-119236354-10
NR716--MA0098.3.ETS1	chr12	17373738	17373747	+	0.000	0.000	Merged-chr12-17373480-96
NR980--MA0098.3.ETS1	chr13	95742364	95742373	+	0.000	0.000	Merged-chr13-95742219-17
NR2604--MA0098.3.ETS1	chr5	62778835	62778844	-	0.000	0.000	Merged-chr5-62778862-45
NR1890--MA0098.3.ETS1	chr2	44804707	44804716	+	0.000	0.000	Merged-chr2-44804725-39
NR976--MA0098.3.ETS1	chr13	94153993	94154002	-	0.000	0.000	Merged-chr13-94153821-20
NR1434--MA0098.3.ETS1	chr16	89835765	89835774	+	0.000	0.000	Merged-chr16-89835915-50
NR878--MA0098.3.ETS1	chr13	34114895	34114904	-	0.000	0.000	Merged-chr13-34114809-14
NR1779--MA0098.3.ETS1	chr19	41031175	41031184	+	0.000	0.000	Merged-chr19-41031181-46
NR2757--MA0098.3.ETS1	chr6	5997717	5997726	-	0.000	0.000	Merged-chr6-5997718-16
NR2202--MA0098.3.ETS1	chr3	79153527	79153536	+	0.000	0.000	Merged-chr3-79153347-66
NR2332--MA0098.3.ETS1	chr3	152432798	152432807	+	0.000	0.000	Merged-chr3-152432739-55
NR207--MA0098.3.ETS1	chr1	170729504	170729513	+	0.000	0.000	Merged-chr1-170729637-43
NR471--MA0098.3.ETS1	chr11	11726279	11726288	-	0.000	0.000	Merged-chr11-11726036-106
NR2350--MA0098.3.ETS1	chr4	10770274	10770283	-	0.000	0.000	Merged-chr4-10770192-53
NR1032--MA0098.3.ETS1	chr13	113418396	113418405	+	0.000	0.000	Merged-chr13-113418245-6
NR2574--MA0098.3.ETS1	chr5	28269924	28269933	-	0.000	0.000	Merged-chr5-28269924-54
NR1932--MA0098.3.ETS1	chr2	75148051	75148060	-	0.000	0.000	Merged-chr2-75148078-33
NR261--MA0098.3.ETS1	chr1	191872682	191872691	+	0.000	0.000	Merged-chr1-191872609-17
NR3203--MA0098.3.ETS1	chr8	81761648	81761657	-	0.000	0.000	Merged-chr8-81761666-20
NR2346--MA0098.3.ETS1	chr4	6941154	6941163	-	0.000	0.000	Merged-chr4-6941109-33
NR1950--MA0098.3.ETS1	chr2	80324550	80324559	+	0.000	0.000	Merged-chr2-80324472-29
NR821--MA0098.3.ETS1	chr12	110210356	110210365	+	0.000	0.000	Merged-chr12-110210281-21
NR2906--MA0098.3.ETS1	chr6	136695624	136695633	-	0.000	0.000	Merged-chr6-136695516-20
NR3226--MA0098.3.ETS1	chr8	95142587	95142596	+	0.000	0.000	Merged-chr8-95142662-41
NR181--MA0098.3.ETS1	chr1	160246107	160246116	+	0.000	0.000	Merged-chr1-160246205-43
NR3244--MA0098.3.ETS1	chr8	110009055	110009064	-	0.000	0.000	Merged-chr8-110009160-12
NR168--MA0098.3.ETS1	chr1	152769015	152769024	-	0.000	0.000	Merged-chr1-152768986-2
NR835--MA0098.3.ETS1	chr12	116140735	116140744	-	0.000	0.000	Merged-chr12-116140817-28
NR1848--MA0098.3.ETS1	chr2	25828820	25828829	-	0.000	0.000	Merged-chr2-25828697-14
NR2826--MA0098.3.ETS1	chr6	89288329	89288338	-	0.000	0.000	Merged-chr6-89288372-31
NR983--MA0098.3.ETS1	chr13	97386721	97386730	+	0.000	0.000	Merged-chr13-97386814-39
NR1996--MA0098.3.ETS1	chr2	112676824	112676833	-	0.000	0.000	Merged-chr2-112676754-32
NR2513--MA0098.3.ETS1	chr4	136123275	136123284	-	0.000	0.000	Merged-chr4-136123235-13
NR1101--MA0098.3.ETS1	chr14	48202539	48202548	+	0.000	0.000	Merged-chr14-48202582-44
NR3084--MA0098.3.ETS1	chr7	118922725	118922734	-	0.000	0.000	Merged-chr7-118922669-15
NR2796--MA0098.3.ETS1	chr6	59185549	59185558	-	0.000	0.000	Merged-chr6-59185393-33
NR1384--MA0098.3.ETS1	chr16	29865302	29865311	+	0.000	0.000	Merged-chr16-29865304-40
NR1917--MA0098.3.ETS1	chr2	69072342	69072351	-	0.000	0.000	Merged-chr2-69072210-18
NR42--MA0098.3.ETS1	chr1	54279796	54279805	+	0.000	0.000	Merged-chr1-54279813-25
NR2623--MA0098.3.ETS1	chr5	86741418	86741427	-	0.000	0.000	Merged-chr5-86741340-29
NR2829--MA0098.3.ETS1	chr6	91698970	91698979	-	0.000	0.000	Merged-chr6-91699017-27
NR29--MA0098.3.ETS1	chr1	39941781	39941790	-	0.000	0.000	Merged-chr1-39941675-40
NR995--MA0098.3.ETS1	chr13	100670478	100670487	+	0.000	0.000	Merged-chr13-100670412-9
NR637--MA0098.3.ETS1	chr11	101218865	101218874	+	0.000	0.000	Merged-chr11-101218932-12
NR2749--MA0098.3.ETS1	chr5	149368348	149368357	+	0.000	0.000	Merged-chr5-149368318-30
NR897--MA0098.3.ETS1	chr13	44316848	44316857	+	0.000	0.000	Merged-chr13-44316945-1
NR2440--MA0098.3.ETS1	chr4	102908235	102908244	+	0.000	0.000	Merged-chr4-102908208-33
NR1910--MA0098.3.ETS1	chr2	59474549	59474558	+	0.000	0.000	Merged-chr2-59474458-28
NR584--MA0098.3.ETS1	chr11	78215926	78215935	-	0.000	0.000	Merged-chr11-78215918-15
NR3320--MA0098.3.ETS1	chr9	35016912	35016921	-	0.000	0.000	Merged-chr9-35016972-25
NR356--MA0098.3.ETS1	chr10	72620706	72620715	-	0.000	0.000	Merged-chr10-72620792-31
NR1933--MA0098.3.ETS1	chr2	75148199	75148208	+	0.000	0.000	Merged-chr2-75148078-33
NR146--MA0098.3.ETS1	chr1	133012490	133012499	+	0.000	0.000	Merged-chr1-133012523-20
NR822--MA0098.3.ETS1	chr12	110759151	110759160	-	0.000	0.000	Merged-chr12-110759192-38
NR379--MA0098.3.ETS1	chr10	80658985	80658994	-	0.000	0.000	Merged-chr10-80658824-84
NR3106--MA0098.3.ETS1	chr7	129814405	129814414	-	0.000	0.000	Merged-chr7-129814526-44
NR397--MA0098.3.ETS1	chr10	90981911	90981920	-	0.000	0.000	Merged-chr10-90981841-14
NR706--MA0098.3.ETS1	chr12	8351467	8351476	-	0.000	0.000	Merged-chr12-8351458-49
NR2379--MA0098.3.ETS1	chr4	43823094	43823103	+	0.000	0.000	Merged-chr4-43823081-36
NR2840--MA0098.3.ETS1	chr6	99013580	99013589	-	0.000	0.000	Merged-chr6-99013612-28
NR2397--MA0098.3.ETS1	chr4	54527845	54527854	+	0.000	0.000	Merged-chr4-54527768-19
NR1563--MA0098.3.ETS1	chr17	73247124	73247133	-	0.000	0.000	Merged-chr17-73247076-30
NR564--MA0098.3.ETS1	chr11	68270922	68270931	+	0.000	0.000	Merged-chr11-68271044-32
NR1219--MA0098.3.ETS1	chr15	38120502	38120511	+	0.000	0.000	Merged-chr15-38120488-27
NR121--MA0098.3.ETS1	chr1	98022169	98022178	-	0.000	0.000	Merged-chr1-98022036-10
NR1595--MA0098.3.ETS1	chr17	88386847	88386856	+	0.000	0.000	Merged-chr17-88387050-12
NR1904--MA0098.3.ETS1	chr2	56028623	56028632	+	0.000	0.000	Merged-chr2-56028640-17
NR2564--MA0098.3.ETS1	chr5	20332811	20332820	+	0.000	0.000	Merged-chr5-20332815-50
NR233--MA0098.3.ETS1	chr1	179025514	179025523	+	0.000	0.000	Merged-chr1-179025362-29
NR3202--MA0098.3.ETS1	chr8	79682536	79682545	+	0.000	0.000	Merged-chr8-79682361-5
NR372--MA0098.3.ETS1	chr10	78421128	78421137	-	0.000	0.000	Merged-chr10-78421100-18
NR1264--MA0098.3.ETS1	chr15	75634356	75634365	-	0.000	0.000	Merged-chr15-75634516-4
NR2354--MA0098.3.ETS1	chr4	11616254	11616263	-	0.000	0.000	Merged-chr4-11616279-22
NR941--MA0098.3.ETS1	chr13	64432482	64432491	-	0.000	0.000	Merged-chr13-64432516-70
NR171--MA0098.3.ETS1	chr1	153730033	153730042	-	0.000	0.000	Merged-chr1-153729985-15
NR2050--MA0098.3.ETS1	chr2	135692953	135692962	-	0.000	0.000	Merged-chr2-135692831-27
NR498--MA0098.3.ETS1	chr11	31760047	31760056	-	0.000	0.000	Merged-chr11-31760157-35
NR2158--MA0098.3.ETS1	chr3	21598261	21598270	+	0.000	0.000	Merged-chr3-21598278-24
NR1977--MA0098.3.ETS1	chr2	102222705	102222714	+	0.000	0.000	Merged-chr2-102222836-16
NR2064--MA0098.3.ETS1	chr2	146517054	146517063	+	0.000	0.000	Merged-chr2-146517219-24
NR400--MA0098.3.ETS1	chr10	93205494	93205503	-	0.000	0.000	Merged-chr10-93205618-20
NR2624--MA0098.3.ETS1	chr5	86817000	86817009	+	0.000	0.000	Merged-chr5-86816982-25
NR3284--MA0098.3.ETS1	chr8	128504304	128504313	+	0.000	0.000	Merged-chr8-128504350-30
NR1897--MA0098.3.ETS1	chr2	49690455	49690464	-	0.000	0.000	Merged-chr2-49690370-21
NR647--MA0098.3.ETS1	chr11	106430651	106430660	-	0.000	0.000	Merged-chr11-106430638-37
NR66--MA0098.3.ETS1	chr1	75248565	75248574	+	0.000	0.000	Merged-chr1-75248518-31
NR2638--MA0098.3.ETS1	chr5	98081348	98081357	+	0.000	0.000	Merged-chr5-98081429-7
NR1566--MA0098.3.ETS1	chr17	73905566	73905575	-	0.000	0.000	Merged-chr17-73905403-24
NR1374--MA0098.3.ETS1	chr16	21835897	21835906	+	0.000	0.000	Merged-chr16-21835778-19
NR2464--MA0098.3.ETS1	chr4	120815880	120815889	-	0.000	0.000	Merged-chr4-120815867-58
NR245--MA0098.3.ETS1	chr1	182718804	182718813	+	0.000	0.000	Merged-chr1-182718730-25
NR151--MA0098.3.ETS1	chr1	135659705	135659714	+	0.000	0.000	Merged-chr1-135659715-46
NR1164--MA0098.3.ETS1	chr14	99041495	99041504	-	0.000	0.000	Merged-chr14-99041540-15
NR1831--MA0098.3.ETS1	chr2	14992784	14992793	-	0.000	0.000	Merged-chr2-14992808-37
NR3111--MA0098.3.ETS1	chr7	132335432	132335441	+	0.000	0.000	Merged-chr7-132335509-39
NR277--MA0098.3.ETS1	chr10	8214196	8214205	+	0.000	0.000	Merged-chr10-8214078-56
NR953--MA0098.3.ETS1	chr13	74522562	74522571	-	0.000	0.000	Merged-chr13-74522621-50
NR707--MA0098.3.ETS1	chr12	8357653	8357662	+	0.000	0.000	Merged-chr12-8357628-21
NR1196--MA0098.3.ETS1	chr14	122754751	122754760	+	0.000	0.000	Merged-chr14-122754701-5
NR1617--MA0098.3.ETS1	chr18	15331912	15331921	-	0.000	0.000	Merged-chr18-15331866-28
NR32--MA0098.3.ETS1	chr1	43457258	43457267	-	0.000	0.000	Merged-chr1-43457148-27
NR1528--MA0098.3.ETS1	chr17	48318953	48318962	+	0.000	0.000	Merged-chr17-48318964-29
NR2094--MA0098.3.ETS1	chr2	163123634	163123643	-	0.000	0.000	Merged-chr2-163123770-16
NR73--MA0098.3.ETS1	chr1	79424588	79424597	+	0.000	0.000	Merged-chr1-79424486-1
NR560--MA0098.3.ETS1	chr11	67010574	67010583	-	0.000	0.000	Merged-chr11-67010576-15
NR417--MA0098.3.ETS1	chr10	108446228	108446237	+	0.000	0.000	Merged-chr10-108446364-45
NR793--MA0098.3.ETS1	chr12	91008854	91008863	+	0.000	0.000	Merged-chr12-91009085-35
NR220--MA0098.3.ETS1	chr1	172623799	172623808	-	0.000	0.000	Merged-chr1-172623833-20
NR1900--MA0098.3.ETS1	chr2	50813982	50813991	+	0.000	0.000	Merged-chr2-50813926-46
NR659--MA0098.3.ETS1	chr11	108901270	108901279	-	0.000	0.000	Merged-chr11-108901238-21
NR3440--MA0098.3.ETS1	chr9	112186573	112186582	+	0.000	0.000	Merged-chr9-112186441-37
NR118--MA0098.3.ETS1	chr1	97764429	97764438	-	0.000	0.000	Merged-chr1-97764346-16
NR597--MA0098.3.ETS1	chr11	82962219	82962228	-	0.000	0.000	Merged-chr11-82962014-19
NR499--MA0098.3.ETS1	chr11	32000047	32000056	+	0.000	0.000	Merged-chr11-32000120-91
NR714--MA0098.3.ETS1	chr12	16874383	16874392	-	0.000	0.000	Merged-chr12-16874379-16
NR3271--MA0098.3.ETS1	chr8	123404842	123404851	+	0.000	0.000	Merged-chr8-123404693-24
NR2047--MA0098.3.ETS1	chr2	132004938	132004947	+	0.000	0.000	Merged-chr2-132004928-41
NR1857--MA0098.3.ETS1	chr2	27199000	27199009	-	0.000	0.000	Merged-chr2-27198931-19
