#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR8950--MA0641.1.ELF4	chr6	134414422	134414433	+	0.000	0.000	Merged-chr6-134414331-55
NR3257--MA0136.2.ELF5	chr14	7833423	7833433	-	0.000	0.000	Merged-chr14-7833590-5
NR4346--MA0473.2.ELF1	chr16	46215557	46215568	-	0.000	0.000	Merged-chr16-46215514-8
NR7767--MA0640.1.ELF3	chr4	149282716	149282728	-	0.000	0.000	Merged-chr4-149282639-35
NR8078--MA0640.1.ELF3	chr5	98018314	98018326	+	0.000	0.000	Merged-chr5-98018284-53
NR5153--MA0640.1.ELF3	chr18	39729970	39729982	-	0.000	0.000	Merged-chr18-39730147-16
NR3627--MA0640.1.ELF3	chr14	99041494	99041506	-	0.000	0.000	Merged-chr14-99041540-15
NR5363--MA0641.1.ELF4	chr18	84874243	84874254	-	0.000	0.000	Merged-chr18-84874398-59
NR3046--MA0473.2.ELF1	chr13	93546229	93546240	+	0.000	0.000	Merged-chr13-93546286-16
NR3047--MA0136.2.ELF5	chr13	93546230	93546240	+	0.000	0.000	Merged-chr13-93546286-16
NR9924--MA0641.1.ELF4	chr8	64826647	64826658	+	0.000	0.000	Merged-chr8-64826546-37
NR4068--MA0640.1.ELF3	chr15	100182723	100182735	-	0.000	0.000	Merged-chr15-100182935-17
NR9921--MA0473.2.ELF1	chr8	64826647	64826658	+	0.000	0.000	Merged-chr8-64826546-37
NR7872--MA0136.2.ELF5	chr5	28269924	28269934	-	0.000	0.000	Merged-chr5-28269924-54
NR7351--MA0640.1.ELF3	chr4	62475985	62475997	-	0.000	0.000	Merged-chr4-62476033-55
NR117--MA0640.1.ELF3	chr1	43457257	43457269	-	0.000	0.000	Merged-chr1-43457148-27
NR8080--MA0136.2.ELF5	chr5	98018315	98018325	+	0.000	0.000	Merged-chr5-98018284-53
NR206--MA0641.1.ELF4	chr1	66987767	66987778	+	0.000	0.000	Merged-chr1-66987794-41
NR6700--MA0640.1.ELF3	chr3	79273116	79273128	-	0.000	0.000	Merged-chr3-79273035-30
NR8716--MA0136.2.ELF5	chr6	94635006	94635016	+	0.000	0.000	Merged-chr6-94635106-85
NR5843--MA0640.1.ELF3	chr2	50813980	50813992	+	0.000	0.000	Merged-chr2-50813926-46
NR3194--MA0473.2.ELF1	chr13	113418394	113418405	+	0.000	0.000	Merged-chr13-113418245-6
NR3195--MA0136.2.ELF5	chr13	113418395	113418405	+	0.000	0.000	Merged-chr13-113418245-6
NR5820--MA0641.1.ELF4	chr2	43992670	43992681	+	0.000	0.000	Merged-chr2-43992698-17
NR203--MA0473.2.ELF1	chr1	66987767	66987778	+	0.000	0.000	Merged-chr1-66987794-41
NR7673--MA0641.1.ELF4	chr4	134091323	134091334	+	0.000	0.000	Merged-chr4-134091309-8
NR1002--MA0136.2.ELF5	chr10	42849068	42849078	+	0.000	0.000	Merged-chr10-42848913-29
NR580--MA0136.2.ELF5	chr1	156217516	156217526	-	0.000	0.000	Merged-chr1-156217514-18
NR5709--MA0640.1.ELF3	chr2	23572155	23572167	-	0.000	0.000	Merged-chr2-23572273-2
NR692--MA0136.2.ELF5	chr1	172623799	172623809	-	0.000	0.000	Merged-chr1-172623833-20
NR11124--MA0641.1.ELF4	chrX	159199658	159199669	-	0.000	0.000	Merged-chrX-159199808-53
NR463--MA0473.2.ELF1	chr1	133012488	133012499	+	0.000	0.000	Merged-chr1-133012523-20
NR464--MA0136.2.ELF5	chr1	133012489	133012499	+	0.000	0.000	Merged-chr1-133012523-20
NR10367--MA0473.2.ELF1	chr9	22430256	22430267	+	0.000	0.000	Merged-chr9-22430293-25
NR10368--MA0136.2.ELF5	chr9	22430257	22430267	+	0.000	0.000	Merged-chr9-22430293-25
NR10940--MA0473.2.ELF1	chrX	11691219	11691230	-	0.000	0.000	Merged-chrX-11691222-6
NR6245--MA0473.2.ELF1	chr2	137117109	137117120	-	0.000	0.000	Merged-chr2-137117118-95
NR9623--MA0136.2.ELF5	chr7	117470545	117470555	-	0.000	0.000	Merged-chr7-117470509-43
NR2226--MA0473.2.ELF1	chr12	31756196	31756207	+	0.000	0.000	Merged-chr12-31756239-29
NR1822--MA0136.2.ELF5	chr11	78679017	78679027	+	0.000	0.000	Merged-chr11-78678960-17
NR7242--MA0136.2.ELF5	chr4	40883213	40883223	+	0.000	0.000	Merged-chr4-40883383-19
NR3590--MA0136.2.ELF5	chr14	78612381	78612391	+	0.000	0.000	Merged-chr14-78612334-35
NR4347--MA0640.1.ELF3	chr16	46215556	46215568	-	0.000	0.000	Merged-chr16-46215514-8
NR2375--MA0136.2.ELF5	chr12	75529544	75529554	-	0.000	0.000	Merged-chr12-75529598-12
NR5875--MA0641.1.ELF4	chr2	61483987	61483998	-	0.000	0.000	Merged-chr2-61484018-22
NR6083--MA0641.1.ELF4	chr2	114032495	114032506	+	0.000	0.000	Merged-chr2-114032469-18
NR606--MA0641.1.ELF4	chr1	160246105	160246116	+	0.000	0.000	Merged-chr1-160246205-43
NR1075--MA0136.2.ELF5	chr10	68301131	68301141	-	0.000	0.000	Merged-chr10-68301225-15
NR5352--MA0640.1.ELF3	chr18	82589241	82589253	-	0.000	0.000	Merged-chr18-82589153-34
NR9922--MA0640.1.ELF3	chr8	64826647	64826659	+	0.000	0.000	Merged-chr8-64826546-37
NR432--MA0640.1.ELF3	chr1	127830399	127830411	-	0.000	0.000	Merged-chr1-127830460-48
NR7909--MA0473.2.ELF1	chr5	35974146	35974157	-	0.000	0.000	Merged-chr5-35974104-27
NR8005--MA0473.2.ELF1	chr5	67300127	67300138	-	0.000	0.000	Merged-chr5-67300252-37
NR204--MA0640.1.ELF3	chr1	66987767	66987779	+	0.000	0.000	Merged-chr1-66987794-41
NR8711--MA0641.1.ELF4	chr6	91698970	91698981	-	0.000	0.000	Merged-chr6-91699017-27
NR9798--MA0473.2.ELF1	chr8	10946155	10946166	+	0.000	0.000	Merged-chr8-10946133-51
NR9011--MA0136.2.ELF5	chr6	142909565	142909575	+	0.000	0.000	Merged-chr6-142909361-51
NR6780--MA0136.2.ELF5	chr3	89911273	89911283	-	0.000	0.000	Merged-chr3-89911440-10
NR4249--MA0641.1.ELF4	chr16	26668103	26668114	-	0.000	0.000	Merged-chr16-26667963-36
NR4144--MA0136.2.ELF5	chr16	10676954	10676964	-	0.000	0.000	Merged-chr16-10676780-15
NR2770--MA0136.2.ELF5	chr13	36145847	36145857	+	0.000	0.000	Merged-chr13-36145940-12
NR5685--MA0473.2.ELF1	chr2	14992784	14992795	-	0.000	0.000	Merged-chr2-14992808-37
NR4255--MA0473.2.ELF1	chr16	30597168	30597179	-	0.000	0.000	Merged-chr16-30597297-42
NR4070--MA0641.1.ELF4	chr15	100182724	100182735	-	0.000	0.000	Merged-chr15-100182935-17
NR7077--MA0473.2.ELF1	chr3	144232119	144232130	-	0.000	0.000	Merged-chr3-144232172-58
NR6040--MA0640.1.ELF3	chr2	102222703	102222715	+	0.000	0.000	Merged-chr2-102222836-16
NR8056--MA0136.2.ELF5	chr5	91278580	91278590	-	0.000	0.000	Merged-chr5-91278708-28
NR2665--MA0641.1.ELF4	chr13	12349509	12349520	+	0.000	0.000	Merged-chr13-12349518-23
NR1249--MA0640.1.ELF3	chr10	95746016	95746028	-	0.000	0.000	Merged-chr10-95746044-53
NR8690--MA0640.1.ELF3	chr6	89288328	89288340	-	0.000	0.000	Merged-chr6-89288372-31
NR6319--MA0473.2.ELF1	chr2	152104991	152105002	-	0.000	0.000	Merged-chr2-152105009-1
NR565--MA0136.2.ELF5	chr1	155740765	155740775	+	0.000	0.000	Merged-chr1-155740912-26
NR7768--MA0136.2.ELF5	chr4	149282717	149282727	-	0.000	0.000	Merged-chr4-149282639-35
NR5154--MA0136.2.ELF5	chr18	39729971	39729981	-	0.000	0.000	Merged-chr18-39730147-16
NR6696--MA0136.2.ELF5	chr3	79153526	79153536	+	0.000	0.000	Merged-chr3-79153347-66
NR9047--MA0473.2.ELF1	chr6	146481597	146481608	-	0.000	0.000	Merged-chr6-146481511-38
NR3628--MA0136.2.ELF5	chr14	99041495	99041505	-	0.000	0.000	Merged-chr14-99041540-15
NR3431--MA0136.2.ELF5	chr14	47740526	47740536	-	0.000	0.000	Merged-chr14-47740703-52
NR6253--MA0136.2.ELF5	chr2	139925121	139925131	+	0.000	0.000	Merged-chr2-139925145-30
NR10393--MA0136.2.ELF5	chr9	35016912	35016922	-	0.000	0.000	Merged-chr9-35016972-25
NR4520--MA0473.2.ELF1	chr17	5303459	5303470	-	0.000	0.000	Merged-chr17-5303448-46
NR10825--MA0641.1.ELF4	chr9	112186571	112186582	+	0.000	0.000	Merged-chr9-112186441-37
NR10823--MA0136.2.ELF5	chr9	112186441	112186451	-	0.000	0.000	Merged-chr9-112186441-37
NR3417--MA0473.2.ELF1	chr14	47395855	47395866	-	0.000	0.000	Merged-chr14-47395869-114
NR10935--MA0136.2.ELF5	chrX	8893115	8893125	-	0.000	0.000	Merged-chrX-8892997-72
NR41--MA0640.1.ELF3	chr1	20259996	20260008	-	0.000	0.000	Merged-chr1-20260109-34
NR7459--MA0473.2.ELF1	chr4	97996113	97996124	-	0.000	0.000	Merged-chr4-97996259-58
NR8580--MA0473.2.ELF1	chr6	59185549	59185560	-	0.000	0.000	Merged-chr6-59185393-33
NR7151--MA0136.2.ELF5	chr3	154696792	154696802	-	0.000	0.000	Merged-chr3-154696660-9
NR8693--MA0136.2.ELF5	chr6	89421737	89421747	-	0.000	0.000	Merged-chr6-89421751-50
NR9997--MA0473.2.ELF1	chr8	79682534	79682545	+	0.000	0.000	Merged-chr8-79682361-5
NR3358--MA0641.1.ELF4	chr14	26994347	26994358	+	0.000	0.000	Merged-chr14-26994513-48
NR601--MA0473.2.ELF1	chr1	160079332	160079343	-	0.000	0.000	Merged-chr1-160079403-35
NR8382--MA0641.1.ELF4	chr5	148501371	148501382	+	0.000	0.000	Merged-chr5-148501527-73
NR3355--MA0473.2.ELF1	chr14	26994347	26994358	+	0.000	0.000	Merged-chr14-26994513-48
NR4256--MA0640.1.ELF3	chr16	30597167	30597179	-	0.000	0.000	Merged-chr16-30597297-42
NR7035--MA0136.2.ELF5	chr3	136086601	136086611	+	0.000	0.000	Merged-chr3-136086722-31
NR2622--MA0641.1.ELF4	chr12	117756226	117756237	+	0.000	0.000	Merged-chr12-117756205-23
NR4260--MA0641.1.ELF4	chr16	30686775	30686786	+	0.000	0.000	Merged-chr16-30686693-12
NR2149--MA0473.2.ELF1	chr12	8847135	8847146	-	0.000	0.000	Merged-chr12-8847092-48
NR976--MA0641.1.ELF4	chr10	39793449	39793460	-	0.000	0.000	Merged-chr10-39793457-38
NR3598--MA0136.2.ELF5	chr14	86682144	86682154	-	0.000	0.000	Merged-chr14-86682000-52
NR11058--MA0473.2.ELF1	chrX	104488367	104488378	-	0.000	0.000	Merged-chrX-104488290-31
NR11059--MA0136.2.ELF5	chrX	104488367	104488377	-	0.000	0.000	Merged-chrX-104488290-31
NR9344--MA0473.2.ELF1	chr7	65693448	65693459	+	0.000	0.000	Merged-chr7-65693564-67
NR4348--MA0136.2.ELF5	chr16	46215557	46215567	-	0.000	0.000	Merged-chr16-46215514-8
NR2606--MA0473.2.ELF1	chr12	116140735	116140746	-	0.000	0.000	Merged-chr12-116140817-28
NR2659--MA0640.1.ELF3	chr13	9353979	9353991	-	0.000	0.000	Merged-chr13-9354010-25
NR9048--MA0640.1.ELF3	chr6	146481596	146481608	-	0.000	0.000	Merged-chr6-146481511-38
NR4521--MA0640.1.ELF3	chr17	5303458	5303470	-	0.000	0.000	Merged-chr17-5303448-46
NR8536--MA0640.1.ELF3	chr6	49052340	49052352	-	0.000	0.000	Merged-chr6-49052265-16
NR10010--MA0136.2.ELF5	chr8	81761648	81761658	-	0.000	0.000	Merged-chr8-81761666-20
NR3418--MA0640.1.ELF3	chr14	47395854	47395866	-	0.000	0.000	Merged-chr14-47395869-114
NR9715--MA0641.1.ELF4	chr7	127922763	127922774	-	0.000	0.000	Merged-chr7-127922827-35
NR2556--MA0641.1.ELF4	chr12	109067867	109067878	-	0.000	0.000	Merged-chr12-109068052-48
NR101--MA0473.2.ELF1	chr1	39281145	39281156	-	0.000	0.000	Merged-chr1-39281232-20
NR8076--MA0473.2.ELF1	chr5	98018296	98018307	+	0.000	0.000	Merged-chr5-98018284-53
NR3758--MA0641.1.ELF4	chr15	25269823	25269834	-	0.000	0.000	Merged-chr15-25269773-79
NR8581--MA0640.1.ELF3	chr6	59185548	59185560	-	0.000	0.000	Merged-chr6-59185393-33
NR2563--MA0136.2.ELF5	chr12	110759151	110759161	-	0.000	0.000	Merged-chr12-110759192-38
NR3755--MA0473.2.ELF1	chr15	25269823	25269834	-	0.000	0.000	Merged-chr15-25269773-79
NR7434--MA0473.2.ELF1	chr4	91376484	91376495	+	0.000	0.000	Merged-chr4-91376544-34
NR7435--MA0136.2.ELF5	chr4	91376485	91376495	+	0.000	0.000	Merged-chr4-91376544-34
NR467--MA0641.1.ELF4	chr1	133012546	133012557	-	0.000	0.000	Merged-chr1-133012523-20
NR2369--MA0640.1.ELF3	chr12	73888250	73888262	+	0.000	0.000	Merged-chr12-73888255-48
NR396--MA0640.1.ELF3	chr1	106883823	106883835	-	0.000	0.000	Merged-chr1-106884032-17
NR9998--MA0640.1.ELF3	chr8	79682534	79682546	+	0.000	0.000	Merged-chr8-79682361-5
NR3765--MA0136.2.ELF5	chr15	27826231	27826241	-	0.000	0.000	Merged-chr15-27825914-54
NR3356--MA0640.1.ELF3	chr14	26994347	26994359	+	0.000	0.000	Merged-chr14-26994513-48
NR8698--MA0640.1.ELF3	chr6	90984369	90984381	+	0.000	0.000	Merged-chr6-90984346-4
NR3589--MA0640.1.ELF3	chr14	78612380	78612392	+	0.000	0.000	Merged-chr14-78612334-35
NR8672--MA0473.2.ELF1	chr6	85339393	85339404	+	0.000	0.000	Merged-chr6-85339410-34
NR2013--MA0136.2.ELF5	chr11	108901270	108901280	-	0.000	0.000	Merged-chr11-108901238-21
NR8673--MA0136.2.ELF5	chr6	85339394	85339404	+	0.000	0.000	Merged-chr6-85339410-34
NR4891--MA0136.2.ELF5	chr17	71165158	71165168	+	0.000	0.000	Merged-chr17-71165133-23
NR8691--MA0136.2.ELF5	chr6	89288329	89288339	-	0.000	0.000	Merged-chr6-89288372-31
NR940--MA0136.2.ELF5	chr10	25268625	25268635	-	0.000	0.000	Merged-chr10-25268678-14
NR3429--MA0473.2.ELF1	chr14	47740526	47740537	-	0.000	0.000	Merged-chr14-47740703-52
NR5520--MA0136.2.ELF5	chr19	32913462	32913472	-	0.000	0.000	Merged-chr19-32913486-21
NR9345--MA0640.1.ELF3	chr7	65693448	65693460	+	0.000	0.000	Merged-chr7-65693564-67
NR602--MA0641.1.ELF4	chr1	160079332	160079343	-	0.000	0.000	Merged-chr1-160079403-35
NR9413--MA0473.2.ELF1	chr7	80767062	80767073	+	0.000	0.000	Merged-chr7-80767196-18
NR3061--MA0640.1.ELF3	chr13	95742362	95742374	+	0.000	0.000	Merged-chr13-95742219-17
NR6075--MA0641.1.ELF4	chr2	112676824	112676835	-	0.000	0.000	Merged-chr2-112676754-32
NR6072--MA0473.2.ELF1	chr2	112676824	112676835	-	0.000	0.000	Merged-chr2-112676754-32
NR936--MA0136.2.ELF5	chr10	21946896	21946906	-	0.000	0.000	Merged-chr10-21947042-21
NR8020--MA0136.2.ELF5	chr5	75645399	75645409	+	0.000	0.000	Merged-chr5-75645576-13
NR8226--MA0136.2.ELF5	chr5	122232399	122232409	+	0.000	0.000	Merged-chr5-122232202-28
NR1352--MA0640.1.ELF3	chr10	118194967	118194979	-	0.000	0.000	Merged-chr10-118194882-1
NR4694--MA0473.2.ELF1	chr17	29082047	29082058	+	0.000	0.000	Merged-chr17-29082107-45
NR5673--MA0136.2.ELF5	chr2	10024454	10024464	-	0.000	0.000	Merged-chr2-10024427-23
NR6642--MA0136.2.ELF5	chr3	55659813	55659823	+	0.000	0.000	Merged-chr3-55660012-44
NR10423--MA0473.2.ELF1	chr9	44196182	44196193	-	0.000	0.000	Merged-chr9-44196336-21
NR7949--MA0641.1.ELF4	chr5	52125928	52125939	-	0.000	0.000	Merged-chr5-52126006-25
NR102--MA0640.1.ELF3	chr1	39281144	39281156	-	0.000	0.000	Merged-chr1-39281232-20
NR3171--MA0136.2.ELF5	chr13	109837734	109837744	-	0.000	0.000	Merged-chr13-109837849-65
NR9713--MA0640.1.ELF3	chr7	127922762	127922774	-	0.000	0.000	Merged-chr7-127922827-35
NR1644--MA0473.2.ELF1	chr11	52268596	52268607	-	0.000	0.000	Merged-chr11-52268561-57
NR2554--MA0640.1.ELF3	chr12	109067866	109067878	-	0.000	0.000	Merged-chr12-109068052-48
NR1645--MA0136.2.ELF5	chr11	52268596	52268606	-	0.000	0.000	Merged-chr11-52268561-57
NR7946--MA0473.2.ELF1	chr5	52125928	52125939	-	0.000	0.000	Merged-chr5-52126006-25
NR3048--MA0641.1.ELF4	chr13	93546229	93546240	+	0.000	0.000	Merged-chr13-93546286-16
NR8710--MA0136.2.ELF5	chr6	91698970	91698980	-	0.000	0.000	Merged-chr6-91699017-27
NR7873--MA0641.1.ELF4	chr5	28269924	28269935	-	0.000	0.000	Merged-chr5-28269924-54
NR3756--MA0640.1.ELF3	chr15	25269822	25269834	-	0.000	0.000	Merged-chr15-25269773-79
NR8052--MA0136.2.ELF5	chr5	90492691	90492701	+	0.000	0.000	Merged-chr5-90492733-42
NR8081--MA0641.1.ELF4	chr5	98018296	98018307	+	0.000	0.000	Merged-chr5-98018284-53
NR9050--MA0641.1.ELF4	chr6	146481597	146481608	-	0.000	0.000	Merged-chr6-146481511-38
NR2223--MA0640.1.ELF3	chr12	30557527	30557539	+	0.000	0.000	Merged-chr12-30557589-12
NR465--MA0640.1.ELF3	chr1	133012545	133012557	-	0.000	0.000	Merged-chr1-133012523-20
NR8396--MA0473.2.ELF1	chr5	149428522	149428533	-	0.000	0.000	Merged-chr5-149428707-59
NR3196--MA0641.1.ELF4	chr13	113418394	113418405	+	0.000	0.000	Merged-chr13-113418245-6
NR7565--MA0640.1.ELF3	chr4	122939333	122939345	+	0.000	0.000	Merged-chr4-122939330-24
NR4257--MA0136.2.ELF5	chr16	30597168	30597178	-	0.000	0.000	Merged-chr16-30597297-42
NR1003--MA0641.1.ELF4	chr10	42849067	42849078	+	0.000	0.000	Merged-chr10-42848913-29
NR7079--MA0136.2.ELF5	chr3	144232119	144232129	-	0.000	0.000	Merged-chr3-144232172-58
NR693--MA0641.1.ELF4	chr1	172623799	172623810	-	0.000	0.000	Merged-chr1-172623833-20
NR3420--MA0641.1.ELF4	chr14	47395855	47395866	-	0.000	0.000	Merged-chr14-47395869-114
NR9044--MA0136.2.ELF5	chr6	145193623	145193633	-	0.000	0.000	Merged-chr6-145193570-49
NR6363--MA0641.1.ELF4	chr2	163123634	163123645	-	0.000	0.000	Merged-chr2-163123770-16
NR6037--MA0640.1.ELF3	chr2	102044394	102044406	+	0.000	0.000	Merged-chr2-102044515-18
NR3969--MA0136.2.ELF5	chr15	82290528	82290538	-	0.000	0.000	Merged-chr15-82290504-11
NR9414--MA0640.1.ELF3	chr7	80767062	80767074	+	0.000	0.000	Merged-chr7-80767196-18
NR10369--MA0641.1.ELF4	chr9	22430256	22430267	+	0.000	0.000	Merged-chr9-22430293-25
NR5710--MA0136.2.ELF5	chr2	23572156	23572166	-	0.000	0.000	Merged-chr2-23572273-2
NR7554--MA0136.2.ELF5	chr4	120815880	120815890	-	0.000	0.000	Merged-chr4-120815867-58
NR9049--MA0136.2.ELF5	chr6	146481597	146481607	-	0.000	0.000	Merged-chr6-146481511-38
NR6073--MA0640.1.ELF3	chr2	112676823	112676835	-	0.000	0.000	Merged-chr2-112676754-32
NR4522--MA0136.2.ELF5	chr17	5303459	5303469	-	0.000	0.000	Merged-chr17-5303448-46
NR3419--MA0136.2.ELF5	chr14	47395855	47395865	-	0.000	0.000	Merged-chr14-47395869-114
NR373--MA0473.2.ELF1	chr1	98022169	98022180	-	0.000	0.000	Merged-chr1-98022036-10
NR6839--MA0640.1.ELF3	chr3	100558542	100558554	+	0.000	0.000	Merged-chr3-100558458-49
NR2458--MA0473.2.ELF1	chr12	87442594	87442605	-	0.000	0.000	Merged-chr12-87442765-7
NR2244--MA0136.2.ELF5	chr12	32635284	32635294	+	0.000	0.000	Merged-chr12-32635321-24
NR7047--MA0640.1.ELF3	chr3	138008367	138008379	+	0.000	0.000	Merged-chr3-138008366-30
NR701--MA0136.2.ELF5	chr1	176986537	176986547	-	0.000	0.000	Merged-chr1-176986467-25
NR1499--MA0136.2.ELF5	chr11	11726279	11726289	-	0.000	0.000	Merged-chr11-11726036-106
NR9635--MA0473.2.ELF1	chr7	118922725	118922736	-	0.000	0.000	Merged-chr7-118922669-15
NR10424--MA0640.1.ELF3	chr9	44196181	44196193	-	0.000	0.000	Merged-chr9-44196336-21
NR959--MA0640.1.ELF3	chr10	37606025	37606037	-	0.000	0.000	Merged-chr10-37606063-23
NR7947--MA0640.1.ELF3	chr5	52125927	52125939	-	0.000	0.000	Merged-chr5-52126006-25
NR8582--MA0136.2.ELF5	chr6	59185549	59185559	-	0.000	0.000	Merged-chr6-59185393-33
NR6320--MA0640.1.ELF3	chr2	152104990	152105002	-	0.000	0.000	Merged-chr2-152105009-1
NR7871--MA0640.1.ELF3	chr5	28269923	28269935	-	0.000	0.000	Merged-chr5-28269924-54
NR9999--MA0136.2.ELF5	chr8	79682535	79682545	+	0.000	0.000	Merged-chr8-79682361-5
NR4308--MA0136.2.ELF5	chr16	35939852	35939862	+	0.000	0.000	Merged-chr16-35939771-16
NR8397--MA0640.1.ELF3	chr5	149428521	149428533	-	0.000	0.000	Merged-chr5-149428707-59
NR2164--MA0136.2.ELF5	chr12	17084930	17084940	-	0.000	0.000	Merged-chr12-17085011-50
NR3357--MA0136.2.ELF5	chr14	26994348	26994358	+	0.000	0.000	Merged-chr14-26994513-48
NR1337--MA0640.1.ELF3	chr10	117626031	117626043	-	0.000	0.000	Merged-chr10-117625957-44
NR9346--MA0136.2.ELF5	chr7	65693449	65693459	+	0.000	0.000	Merged-chr7-65693564-67
NR3062--MA0136.2.ELF5	chr13	95742363	95742373	+	0.000	0.000	Merged-chr13-95742219-17
NR9588--MA0136.2.ELF5	chr7	112918517	112918527	+	0.000	0.000	Merged-chr7-112918407-20
NR2463--MA0640.1.ELF3	chr12	90810891	90810903	+	0.000	0.000	Merged-chr12-90810823-15
NR5241--MA0473.2.ELF1	chr18	67502710	67502721	-	0.000	0.000	Merged-chr18-67502827-16
NR4497--MA0136.2.ELF5	chr16	94185573	94185583	+	0.000	0.000	Merged-chr16-94185634-42
NR1122--MA0641.1.ELF4	chr10	77864409	77864420	+	0.000	0.000	Merged-chr10-77864570-37
NR374--MA0640.1.ELF3	chr1	98022168	98022180	-	0.000	0.000	Merged-chr1-98022036-10
NR566--MA0641.1.ELF4	chr1	155740764	155740775	+	0.000	0.000	Merged-chr1-155740912-26
NR563--MA0473.2.ELF1	chr1	155740764	155740775	+	0.000	0.000	Merged-chr1-155740912-26
NR8623--MA0473.2.ELF1	chr6	71144180	71144191	+	0.000	0.000	Merged-chr6-71144085-54
NR6697--MA0641.1.ELF4	chr3	79153525	79153536	+	0.000	0.000	Merged-chr3-79153347-66
NR3629--MA0641.1.ELF4	chr14	99041495	99041506	-	0.000	0.000	Merged-chr14-99041540-15
NR1250--MA0136.2.ELF5	chr10	95746017	95746027	-	0.000	0.000	Merged-chr10-95746044-53
NR2150--MA0640.1.ELF3	chr12	8847134	8847146	-	0.000	0.000	Merged-chr12-8847092-48
NR103--MA0136.2.ELF5	chr1	39281145	39281155	-	0.000	0.000	Merged-chr1-39281232-20
NR9622--MA0641.1.ELF4	chr7	117429127	117429138	+	0.000	0.000	Merged-chr7-117429043-56
NR6592--MA0136.2.ELF5	chr3	37483879	37483889	-	0.000	0.000	Merged-chr3-37484009-38
NR3432--MA0641.1.ELF4	chr14	47740526	47740537	-	0.000	0.000	Merged-chr14-47740703-52
NR10394--MA0641.1.ELF4	chr9	35016912	35016923	-	0.000	0.000	Merged-chr9-35016972-25
NR10391--MA0473.2.ELF1	chr9	35016912	35016923	-	0.000	0.000	Merged-chr9-35016972-25
NR2224--MA0136.2.ELF5	chr12	30557528	30557538	+	0.000	0.000	Merged-chr12-30557589-12
NR466--MA0136.2.ELF5	chr1	133012546	133012556	-	0.000	0.000	Merged-chr1-133012523-20
NR7350--MA0473.2.ELF1	chr4	62475986	62475997	-	0.000	0.000	Merged-chr4-62476033-55
NR7566--MA0136.2.ELF5	chr4	122939334	122939344	+	0.000	0.000	Merged-chr4-122939330-24
NR5158--MA0136.2.ELF5	chr18	41753115	41753125	+	0.000	0.000	Merged-chr18-41752958-32
