#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gabpa/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed
NR858--MA0062.2.Gabpa	chr12	65065434	65065444	-	0.000	0.000	Merged-chr12-65065515-53
NR3580--MA0062.2.Gabpa	chr7	110204390	110204400	-	0.000	0.000	Merged-chr7-110204373-3
NR2120--MA0062.2.Gabpa	chr2	27693853	27693863	+	0.000	0.000	Merged-chr2-27693880-30
NR4065--MA0062.2.Gabpa	chr9	123941438	123941448	+	0.000	0.000	Merged-chr9-123941453-43
NR2037--MA0062.2.Gabpa	chr19	41328889	41328899	+	0.000	0.000	Merged-chr19-41328970-48
NR2080--MA0062.2.Gabpa	chr19	60790968	60790978	+	0.000	0.000	Merged-chr19-60790923-1
NR287--MA0062.2.Gabpa	chr10	8065952	8065962	-	0.000	0.000	Merged-chr10-8065893-29
NR1815--MA0062.2.Gabpa	chr17	80067469	80067479	+	0.000	0.000	Merged-chr17-80067484-12
NR2255--MA0062.2.Gabpa	chr2	102850016	102850026	+	0.000	0.000	Merged-chr2-102849968-21
NR4044--MA0062.2.Gabpa	chr9	118716120	118716130	-	0.000	0.000	Merged-chr9-118716150-51
NR1491--MA0062.2.Gabpa	chr15	101388300	101388310	+	0.000	0.000	Merged-chr15-101388154-52
NR3965--MA0062.2.Gabpa	chr9	80266662	80266672	+	0.000	0.000	Merged-chr9-80266579-55
NR3822--MA0062.2.Gabpa	chr8	122463910	122463920	-	0.000	0.000	Merged-chr8-122464115-42
NR2072--MA0062.2.Gabpa	chr19	57119790	57119800	+	0.000	0.000	Merged-chr19-57119872-11
NR1741--MA0062.2.Gabpa	chr17	35870335	35870345	+	0.000	0.000	Merged-chr17-35870412-57
NR1807--MA0062.2.Gabpa	chr17	73952405	73952415	+	0.000	0.000	Merged-chr17-73952254-58
NR2008--MA0062.2.Gabpa	chr19	24971496	24971506	+	0.000	0.000	Merged-chr19-24971475-35
NR1611--MA0062.2.Gabpa	chr16	78375385	78375395	-	0.000	0.000	Merged-chr16-78375404-9
NR2478--MA0062.2.Gabpa	chr3	41604818	41604828	+	0.000	0.000	Merged-chr3-41604848-38
NR2077--MA0062.2.Gabpa	chr19	57970718	57970728	-	0.000	0.000	Merged-chr19-57970893-58
NR3949--MA0062.2.Gabpa	chr9	73073388	73073398	-	0.000	0.000	Merged-chr9-73073244-62
NR2043--MA0062.2.Gabpa	chr19	43917307	43917317	+	0.000	0.000	Merged-chr19-43917229-61
NR3514--MA0062.2.Gabpa	chr7	72280928	72280938	-	0.000	0.000	Merged-chr7-72280908-31
NR1292--MA0062.2.Gabpa	chr14	75034281	75034291	-	0.000	0.000	Merged-chr14-75034378-51
NR2449--MA0062.2.Gabpa	chr3	9853169	9853179	+	0.000	0.000	Merged-chr3-9853322-69
NR891--MA0062.2.Gabpa	chr12	84285374	84285384	+	0.000	0.000	Merged-chr12-84285297-56
NR3365--MA0062.2.Gabpa	chr6	134333185	134333195	+	0.000	0.000	Merged-chr6-134333133-48
NR923--MA0062.2.Gabpa	chr12	105001154	105001164	-	0.000	0.000	Merged-chr12-105001185-43
NR631--MA0062.2.Gabpa	chr11	62466845	62466855	+	0.000	0.000	Merged-chr11-62466803-41
NR3833--MA0062.2.Gabpa	chr8	124520796	124520806	+	0.000	0.000	Merged-chr8-124520851-52
NR3302--MA0062.2.Gabpa	chr6	88769728	88769738	+	0.000	0.000	Merged-chr6-88769866-45
NR1417--MA0062.2.Gabpa	chr15	66825567	66825577	-	0.000	0.000	Merged-chr15-66825502-98
NR950--MA0062.2.Gabpa	chr12	117700193	117700203	+	0.000	0.000	Merged-chr12-117700149-23
NR201--MA0062.2.Gabpa	chr1	156921744	156921754	+	0.000	0.000	Merged-chr1-156921832-27
NR1518--MA0062.2.Gabpa	chr16	11519341	11519351	-	0.000	0.000	Merged-chr16-11519349-21
NR161--MA0062.2.Gabpa	chr1	132341844	132341854	+	0.000	0.000	Merged-chr1-132341932-46
NR3939--MA0062.2.Gabpa	chr9	69034542	69034552	-	0.000	0.000	Merged-chr9-69034461-64
NR825--MA0062.2.Gabpa	chr12	35755331	35755341	-	0.000	0.000	Merged-chr12-35755374-29
NR1043--MA0062.2.Gabpa	chr13	51736574	51736584	-	0.000	0.000	Merged-chr13-51736625-32
NR947--MA0062.2.Gabpa	chr12	117418168	117418178	+	0.000	0.000	Merged-chr12-117418203-35
NR262--MA0062.2.Gabpa	chr1	181212030	181212040	-	0.000	0.000	Merged-chr1-181211865-134
NR785--MA0062.2.Gabpa	chr11	121229289	121229299	-	0.000	0.000	Merged-chr11-121229163-59
NR3193--MA0062.2.Gabpa	chr5	149246227	149246237	+	0.000	0.000	Merged-chr5-149246178-51
NR8--MA0062.2.Gabpa	chr1	9944208	9944218	-	0.000	0.000	Merged-chr1-9944103-43
NR1144--MA0062.2.Gabpa	chr13	109232098	109232108	-	0.000	0.000	Merged-chr13-109232171-58
NR2907--MA0062.2.Gabpa	chr4	130922203	130922213	-	0.000	0.000	Merged-chr4-130922235-36
NR777--MA0062.2.Gabpa	chr11	119677331	119677341	-	0.000	0.000	Merged-chr11-119677198-48
NR1279--MA0062.2.Gabpa	chr14	70283777	70283787	+	0.000	0.000	Merged-chr14-70283811-50
NR38--MA0062.2.Gabpa	chr1	38898047	38898057	+	0.000	0.000	Merged-chr1-38897909-54
NR2541--MA0062.2.Gabpa	chr3	87847898	87847908	+	0.000	0.000	Merged-chr3-87847872-25
NR172--MA0062.2.Gabpa	chr1	133763408	133763418	-	0.000	0.000	Merged-chr1-133763303-37
NR204--MA0062.2.Gabpa	chr1	160054529	160054539	-	0.000	0.000	Merged-chr1-160054348-51
NR185--MA0062.2.Gabpa	chr1	144300849	144300859	+	0.000	0.000	Merged-chr1-144301040-48
NR578--MA0062.2.Gabpa	chr11	43705516	43705526	+	0.000	0.000	Merged-chr11-43705351-17
NR958--MA0062.2.Gabpa	chr13	4191165	4191175	-	0.000	0.000	Merged-chr13-4191269-39
