#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR1801--MA0098.3.ETS1	chr19	55915655	55915664	-	0.000	0.000	Merged-chr19-55915456-76
NR1913--MA0098.3.ETS1	chr2	61483987	61483996	-	0.000	0.000	Merged-chr2-61484018-22
NR2694--MA0098.3.ETS1	chr5	122232400	122232409	+	0.000	0.000	Merged-chr5-122232202-28
NR2121--MA0098.3.ETS1	chr2	168540013	168540022	-	0.000	0.000	Merged-chr2-168539977-33
NR2327--MA0098.3.ETS1	chr3	148867814	148867823	+	0.000	0.000	Merged-chr3-148867817-36
NR699--MA0098.3.ETS1	chr12	3569008	3569017	+	0.000	0.000	Merged-chr12-3568895-12
NR1027--MA0098.3.ETS1	chr13	112062170	112062179	-	0.000	0.000	Merged-chr13-112062272-12
NR2247--MA0098.3.ETS1	chr3	102697800	102697809	-	0.000	0.000	Merged-chr3-102697819-15
NR2368--MA0098.3.ETS1	chr4	34551484	34551493	+	0.000	0.000	Merged-chr4-34551500-9
NR2820--MA0098.3.ETS1	chr6	85513718	85513727	+	0.000	0.000	Merged-chr6-85513633-28
NR2167--MA0098.3.ETS1	chr3	35318441	35318450	+	0.000	0.000	Merged-chr3-35318440-37
NR2740--MA0098.3.ETS1	chr5	148501373	148501382	+	0.000	0.000	Merged-chr5-148501527-73
NR1409--MA0098.3.ETS1	chr16	46001147	46001156	-	0.000	0.000	Merged-chr16-46001231-13
NR1315--MA0098.3.ETS1	chr15	96319792	96319801	+	0.000	0.000	Merged-chr15-96319572-16
NR790--MA0098.3.ETS1	chr12	86592733	86592742	+	0.000	0.000	Merged-chr12-86592700-17
NR432--MA0098.3.ETS1	chr10	118195014	118195023	-	0.000	0.000	Merged-chr10-118194882-1
NR57--MA0098.3.ETS1	chr1	66987790	66987799	-	0.000	0.000	Merged-chr1-66987794-41
NR1105--MA0098.3.ETS1	chr14	50784568	50784577	+	0.000	0.000	Merged-chr14-50784606-4
NR2307--MA0098.3.ETS1	chr3	138842499	138842508	+	0.000	0.000	Merged-chr3-138842482-12
NR1150--MA0098.3.ETS1	chr14	73170283	73170292	+	0.000	0.000	Merged-chr14-73170198-47
NR89--MA0098.3.ETS1	chr1	87181025	87181034	+	0.000	0.000	Merged-chr1-87181117-21
NR576--MA0098.3.ETS1	chr11	72718352	72718361	-	0.000	0.000	Merged-chr11-72718326-14
NR1249--MA0098.3.ETS1	chr15	66514659	66514668	-	0.000	0.000	Merged-chr15-66514764-18
NR921--MA0098.3.ETS1	chr13	55255524	55255533	+	0.000	0.000	Merged-chr13-55255412-37
NR2124--MA0098.3.ETS1	chr2	169089253	169089262	-	0.000	0.000	Merged-chr2-169089199-37
NR2044--MA0098.3.ETS1	chr2	131191212	131191221	-	0.000	0.000	Merged-chr2-131191019-12
NR980--MA0098.3.ETS1	chr13	95742364	95742373	+	0.000	0.000	Merged-chr13-95742219-17
NR1644--MA0098.3.ETS1	chr18	46447829	46447838	-	0.000	0.000	Merged-chr18-46447727-33
NR1779--MA0098.3.ETS1	chr19	41031175	41031184	+	0.000	0.000	Merged-chr19-41031181-46
NR2757--MA0098.3.ETS1	chr6	5997717	5997726	-	0.000	0.000	Merged-chr6-5997718-16
NR323--MA0098.3.ETS1	chr10	43330935	43330944	+	0.000	0.000	Merged-chr10-43330902-16
NR2202--MA0098.3.ETS1	chr3	79153527	79153536	+	0.000	0.000	Merged-chr3-79153347-66
NR2999--MA0098.3.ETS1	chr7	44772824	44772833	-	0.000	0.000	Merged-chr7-44772778-41
NR207--MA0098.3.ETS1	chr1	170729504	170729513	+	0.000	0.000	Merged-chr1-170729637-43
NR3534--MA0098.3.ETS1	chrX	167730406	167730415	-	0.000	0.000	Merged-chrX-167730366-30
NR2677--MA0098.3.ETS1	chr5	115474638	115474647	-	0.000	0.000	Merged-chr5-115474524-35
NR2901--MA0098.3.ETS1	chr6	134981439	134981448	-	0.000	0.000	Merged-chr6-134981456-22
NR2346--MA0098.3.ETS1	chr4	6941154	6941163	-	0.000	0.000	Merged-chr4-6941109-33
NR1950--MA0098.3.ETS1	chr2	80324550	80324559	+	0.000	0.000	Merged-chr2-80324472-29
NR821--MA0098.3.ETS1	chr12	110210356	110210365	+	0.000	0.000	Merged-chr12-110210281-21
NR2826--MA0098.3.ETS1	chr6	89288329	89288338	-	0.000	0.000	Merged-chr6-89288372-31
NR2289--MA0098.3.ETS1	chr3	130894336	130894345	-	0.000	0.000	Merged-chr3-130894407-22
NR1996--MA0098.3.ETS1	chr2	112676824	112676833	-	0.000	0.000	Merged-chr2-112676754-32
NR1594--MA0098.3.ETS1	chr17	88190965	88190974	-	0.000	0.000	Merged-chr17-88190968-12
NR1021--MA0098.3.ETS1	chr13	109440602	109440611	-	0.000	0.000	Merged-chr13-109440485-3
NR2796--MA0098.3.ETS1	chr6	59185549	59185558	-	0.000	0.000	Merged-chr6-59185393-33
NR1917--MA0098.3.ETS1	chr2	69072342	69072351	-	0.000	0.000	Merged-chr2-69072210-18
NR3251--MA0098.3.ETS1	chr8	114986183	114986192	-	0.000	0.000	Merged-chr8-114986195-32
NR2623--MA0098.3.ETS1	chr5	86741418	86741427	-	0.000	0.000	Merged-chr5-86741340-29
NR2829--MA0098.3.ETS1	chr6	91698970	91698979	-	0.000	0.000	Merged-chr6-91699017-27
NR883--MA0098.3.ETS1	chr13	37751729	37751738	+	0.000	0.000	Merged-chr13-37751511-23
NR29--MA0098.3.ETS1	chr1	39941781	39941790	-	0.000	0.000	Merged-chr1-39941675-40
NR2771--MA0098.3.ETS1	chr6	30227487	30227496	-	0.000	0.000	Merged-chr6-30227395-32
NR2440--MA0098.3.ETS1	chr4	102908235	102908244	+	0.000	0.000	Merged-chr4-102908208-33
NR584--MA0098.3.ETS1	chr11	78215926	78215935	-	0.000	0.000	Merged-chr11-78215918-15
NR356--MA0098.3.ETS1	chr10	72620706	72620715	-	0.000	0.000	Merged-chr10-72620792-31
NR2020--MA0098.3.ETS1	chr2	121442126	121442135	-	0.000	0.000	Merged-chr2-121441988-1
NR3106--MA0098.3.ETS1	chr7	129814405	129814414	-	0.000	0.000	Merged-chr7-129814526-44
NR397--MA0098.3.ETS1	chr10	90981911	90981920	-	0.000	0.000	Merged-chr10-90981841-14
NR706--MA0098.3.ETS1	chr12	8351467	8351476	-	0.000	0.000	Merged-chr12-8351458-49
NR621--MA0098.3.ETS1	chr11	96993135	96993144	-	0.000	0.000	Merged-chr11-96993116-10
NR2397--MA0098.3.ETS1	chr4	54527845	54527854	+	0.000	0.000	Merged-chr4-54527768-19
NR742--MA0098.3.ETS1	chr12	54188458	54188467	+	0.000	0.000	Merged-chr12-54188383-1
NR1406--MA0098.3.ETS1	chr16	44875247	44875256	+	0.000	0.000	Merged-chr16-44875362-12
NR411--MA0098.3.ETS1	chr10	96656424	96656433	+	0.000	0.000	Merged-chr10-96656400-23
NR1639--MA0098.3.ETS1	chr18	43520916	43520925	+	0.000	0.000	Merged-chr18-43520913-20
NR1563--MA0098.3.ETS1	chr17	73247124	73247133	-	0.000	0.000	Merged-chr17-73247076-30
NR564--MA0098.3.ETS1	chr11	68270922	68270931	+	0.000	0.000	Merged-chr11-68271044-32
NR788--MA0098.3.ETS1	chr12	86034157	86034166	+	0.000	0.000	Merged-chr12-86034255-10
NR1595--MA0098.3.ETS1	chr17	88386847	88386856	+	0.000	0.000	Merged-chr17-88387050-12
NR1904--MA0098.3.ETS1	chr2	56028623	56028632	+	0.000	0.000	Merged-chr2-56028640-17
NR233--MA0098.3.ETS1	chr1	179025514	179025523	+	0.000	0.000	Merged-chr1-179025362-29
NR3542--MA0098.3.ETS1	chrY	90744631	90744640	-	0.000	0.000	Merged-chrY-90744539-24
NR3202--MA0098.3.ETS1	chr8	79682536	79682545	+	0.000	0.000	Merged-chr8-79682361-5
NR1264--MA0098.3.ETS1	chr15	75634356	75634365	-	0.000	0.000	Merged-chr15-75634516-4
NR941--MA0098.3.ETS1	chr13	64432482	64432491	-	0.000	0.000	Merged-chr13-64432516-70
NR2256--MA0098.3.ETS1	chr3	107807613	107807622	-	0.000	0.000	Merged-chr3-107807489-31
NR498--MA0098.3.ETS1	chr11	31760047	31760056	-	0.000	0.000	Merged-chr11-31760157-35
NR1090--MA0098.3.ETS1	chr14	40956732	40956741	-	0.000	0.000	Merged-chr14-40956605-62
NR2064--MA0098.3.ETS1	chr2	146517054	146517063	+	0.000	0.000	Merged-chr2-146517219-24
NR400--MA0098.3.ETS1	chr10	93205494	93205503	-	0.000	0.000	Merged-chr10-93205618-20
NR1664--MA0098.3.ETS1	chr18	62494996	62495005	-	0.000	0.000	Merged-chr18-62494919-16
NR66--MA0098.3.ETS1	chr1	75248565	75248574	+	0.000	0.000	Merged-chr1-75248518-31
NR1566--MA0098.3.ETS1	chr17	73905566	73905575	-	0.000	0.000	Merged-chr17-73905403-24
NR1374--MA0098.3.ETS1	chr16	21835897	21835906	+	0.000	0.000	Merged-chr16-21835778-19
NR245--MA0098.3.ETS1	chr1	182718804	182718813	+	0.000	0.000	Merged-chr1-182718730-25
NR1164--MA0098.3.ETS1	chr14	99041495	99041504	-	0.000	0.000	Merged-chr14-99041540-15
NR2151--MA0098.3.ETS1	chr3	9500062	9500071	-	0.000	0.000	Merged-chr3-9499976-58
NR814--MA0098.3.ETS1	chr12	105069146	105069155	+	0.000	0.000	Merged-chr12-105069151-33
NR2711--MA0098.3.ETS1	chr5	134540082	134540091	+	0.000	0.000	Merged-chr5-134540113-16
NR707--MA0098.3.ETS1	chr12	8357653	8357662	+	0.000	0.000	Merged-chr12-8357628-21
NR1617--MA0098.3.ETS1	chr18	15331912	15331921	-	0.000	0.000	Merged-chr18-15331866-28
NR1738--MA0098.3.ETS1	chr19	9066094	9066103	+	0.000	0.000	Merged-chr19-9066188-87
NR1201--MA0098.3.ETS1	chr15	10236101	10236110	+	0.000	0.000	Merged-chr15-10236133-12
NR2855--MA0098.3.ETS1	chr6	113645080	113645089	-	0.000	0.000	Merged-chr6-113645003-16
NR2094--MA0098.3.ETS1	chr2	163123634	163123643	-	0.000	0.000	Merged-chr2-163123770-16
NR3063--MA0098.3.ETS1	chr7	101414324	101414333	-	0.000	0.000	Merged-chr7-101414402-16
NR73--MA0098.3.ETS1	chr1	79424588	79424597	+	0.000	0.000	Merged-chr1-79424486-1
NR417--MA0098.3.ETS1	chr10	108446228	108446237	+	0.000	0.000	Merged-chr10-108446364-45
NR3440--MA0098.3.ETS1	chr9	112186573	112186582	+	0.000	0.000	Merged-chr9-112186441-37
NR118--MA0098.3.ETS1	chr1	97764429	97764438	-	0.000	0.000	Merged-chr1-97764346-16
NR2485--MA0098.3.ETS1	chr4	129525583	129525592	+	0.000	0.000	Merged-chr4-129525565-21
NR1185--MA0098.3.ETS1	chr14	118834426	118834435	-	0.000	0.000	Merged-chr14-118834540-52
NR12--MA0098.3.ETS1	chr1	30898859	30898868	-	0.000	0.000	Merged-chr1-30898944-13
NR3007--MA0098.3.ETS1	chr7	49802828	49802837	+	0.000	0.000	Merged-chr7-49802865-9
NR3271--MA0098.3.ETS1	chr8	123404842	123404851	+	0.000	0.000	Merged-chr8-123404693-24
