#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed
NR3175--MA0640.1.ELF3	chr14	23465416	23465428	-	0.000	0.000	Merged-chr14-23465360-30
NR3399--MA0640.1.ELF3	chr14	75034262	75034274	+	0.000	0.000	Merged-chr14-75034378-51
NR2610--MA0473.2.ELF1	chr13	3611042	3611053	+	0.000	0.000	Merged-chr13-3611189-5
NR2611--MA0136.2.ELF5	chr13	3611043	3611053	+	0.000	0.000	Merged-chr13-3611189-5
NR4704--MA0640.1.ELF3	chr17	78247224	78247236	+	0.000	0.000	Merged-chr17-78247091-26
NR1108--MA0640.1.ELF3	chr10	77537976	77537988	-	0.000	0.000	Merged-chr10-77538017-2
NR3603--MA0136.2.ELF5	chr15	30686425	30686435	+	0.000	0.000	Merged-chr15-30686490-29
NR9246--MA0473.2.ELF1	chr8	3355808	3355819	-	0.000	0.000	Merged-chr8-3355667-46
NR8298--MA0641.1.ELF4	chr6	108844221	108844232	+	0.000	0.000	Merged-chr6-108844262-40
NR4158--MA0641.1.ELF4	chr16	52468632	52468643	+	0.000	0.000	Merged-chr16-52468577-24
NR8295--MA0473.2.ELF1	chr6	108844221	108844232	+	0.000	0.000	Merged-chr6-108844262-40
NR8962--MA0473.2.ELF1	chr7	89253017	89253028	-	0.000	0.000	Merged-chr7-89253007-2
NR4155--MA0473.2.ELF1	chr16	52468632	52468643	+	0.000	0.000	Merged-chr16-52468577-24
NR3682--MA0640.1.ELF3	chr15	61582563	61582575	-	0.000	0.000	Merged-chr15-61582488-19
NR8502--MA0136.2.ELF5	chr6	142561311	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR10234--MA0136.2.ELF5	chr9	106312965	106312975	-	0.000	0.000	Merged-chr9-106313051-17
NR889--MA0473.2.ELF1	chr10	21976496	21976507	-	0.000	0.000	Merged-chr10-21976372-39
NR4706--MA0473.2.ELF1	chr17	78351748	78351759	-	0.000	0.000	Merged-chr17-78351969-128
NR8111--MA0640.1.ELF3	chr6	54776042	54776054	-	0.000	0.000	Merged-chr6-54775842-27
NR6345--MA0136.2.ELF5	chr3	60320426	60320436	-	0.000	0.000	Merged-chr3-60320504-44
NR9895--MA0641.1.ELF4	chr9	48817512	48817523	-	0.000	0.000	Merged-chr9-48817420-28
NR8296--MA0640.1.ELF3	chr6	108844221	108844233	+	0.000	0.000	Merged-chr6-108844262-40
NR4156--MA0640.1.ELF3	chr16	52468632	52468644	+	0.000	0.000	Merged-chr16-52468577-24
NR838--MA0136.2.ELF5	chr10	10307483	10307493	-	0.000	0.000	Merged-chr10-10307543-35
NR10015--MA0640.1.ELF3	chr9	66873803	66873815	-	0.000	0.000	Merged-chr9-66873901-61
NR4707--MA0640.1.ELF3	chr17	78351747	78351759	-	0.000	0.000	Merged-chr17-78351969-128
NR1877--MA0473.2.ELF1	chr11	100804646	100804657	+	0.000	0.000	Merged-chr11-100804708-41
NR9247--MA0641.1.ELF4	chr8	3355808	3355819	-	0.000	0.000	Merged-chr8-3355667-46
NR8963--MA0641.1.ELF4	chr7	89253017	89253028	-	0.000	0.000	Merged-chr7-89253007-2
NR4823--MA0641.1.ELF4	chr18	7869016	7869027	+	0.000	0.000	Merged-chr18-7869140-116
NR8499--MA0473.2.ELF1	chr6	142561310	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR7417--MA0641.1.ELF4	chr5	31602551	31602562	-	0.000	0.000	Merged-chr5-31602596-35
NR10145--MA0641.1.ELF4	chr9	88709889	88709900	-	0.000	0.000	Merged-chr9-88709854-64
NR1109--MA0136.2.ELF5	chr10	77537977	77537987	-	0.000	0.000	Merged-chr10-77538017-2
NR2027--MA0640.1.ELF3	chr11	115477628	115477640	+	0.000	0.000	Merged-chr11-115477851-75
NR1256--MA0473.2.ELF1	chr10	95196011	95196022	-	0.000	0.000	Merged-chr10-95195945-40
NR10147--MA0473.2.ELF1	chr9	89221070	89221081	+	0.000	0.000	Merged-chr9-89221104-50
NR10148--MA0136.2.ELF5	chr9	89221071	89221081	+	0.000	0.000	Merged-chr9-89221104-50
NR3683--MA0136.2.ELF5	chr15	61582564	61582574	-	0.000	0.000	Merged-chr15-61582488-19
NR1878--MA0640.1.ELF3	chr11	100804646	100804658	+	0.000	0.000	Merged-chr11-100804708-41
NR3400--MA0640.1.ELF3	chr14	75034282	75034294	-	0.000	0.000	Merged-chr14-75034378-51
NR9216--MA0136.2.ELF5	chr7	141303039	141303049	-	0.000	0.000	Merged-chr7-141303065-41
NR892--MA0641.1.ELF4	chr10	21976496	21976507	-	0.000	0.000	Merged-chr10-21976372-39
NR3604--MA0136.2.ELF5	chr15	31117548	31117558	+	0.000	0.000	Merged-chr15-31117559-26
NR7891--MA0473.2.ELF1	chr5	146757458	146757469	+	0.000	0.000	Merged-chr5-146757539-9
NR1257--MA0641.1.ELF4	chr10	95196011	95196022	-	0.000	0.000	Merged-chr10-95195945-40
NR3446--MA0641.1.ELF4	chr14	103363319	103363330	-	0.000	0.000	Merged-chr14-103363341-36
NR3444--MA0136.2.ELF5	chr14	103363319	103363329	-	0.000	0.000	Merged-chr14-103363341-36
NR943--MA0641.1.ELF4	chr10	41595857	41595868	-	0.000	0.000	Merged-chr10-41595749-48
NR890--MA0640.1.ELF3	chr10	21976495	21976507	-	0.000	0.000	Merged-chr10-21976372-39
NR1880--MA0641.1.ELF4	chr11	100804646	100804657	+	0.000	0.000	Merged-chr11-100804708-41
NR2612--MA0641.1.ELF4	chr13	3611042	3611053	+	0.000	0.000	Merged-chr13-3611189-5
NR2028--MA0136.2.ELF5	chr11	115477629	115477639	+	0.000	0.000	Merged-chr11-115477851-75
NR313--MA0640.1.ELF3	chr1	92469000	92469012	+	0.000	0.000	Merged-chr1-92469061-38
NR2833--MA0473.2.ELF1	chr13	62880528	62880539	-	0.000	0.000	Merged-chr13-62880327-44
NR2615--MA0136.2.ELF5	chr13	4191167	4191177	-	0.000	0.000	Merged-chr13-4191269-39
NR4391--MA0473.2.ELF1	chr17	23748198	23748209	-	0.000	0.000	Merged-chr17-23748319-15
NR7892--MA0641.1.ELF4	chr5	146757458	146757469	+	0.000	0.000	Merged-chr5-146757539-9
NR4824--MA0641.1.ELF4	chr18	10181243	10181254	-	0.000	0.000	Merged-chr18-10181319-2
NR6270--MA0640.1.ELF3	chr3	22022621	22022633	+	0.000	0.000	Merged-chr3-22022540-24
NR8503--MA0641.1.ELF4	chr6	142561310	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR10235--MA0641.1.ELF4	chr9	106312965	106312976	-	0.000	0.000	Merged-chr9-106313051-17
NR3403--MA0641.1.ELF4	chr14	75034262	75034273	+	0.000	0.000	Merged-chr14-75034378-51
NR3401--MA0136.2.ELF5	chr14	75034263	75034273	+	0.000	0.000	Merged-chr14-75034378-51
NR4708--MA0641.1.ELF4	chr17	78351748	78351759	-	0.000	0.000	Merged-chr17-78351969-128
NR3302--MA0473.2.ELF1	chr14	55946474	55946485	+	0.000	0.000	Merged-chr14-55946478-14
NR4862--MA0473.2.ELF1	chr18	31911272	31911283	-	0.000	0.000	Merged-chr18-31911303-2
NR1960--MA0473.2.ELF1	chr11	108088311	108088322	-	0.000	0.000	Merged-chr11-108088190-36
NR1961--MA0136.2.ELF5	chr11	108088311	108088321	-	0.000	0.000	Merged-chr11-108088190-36
NR8501--MA0640.1.ELF3	chr6	142561310	142561322	+	0.000	0.000	Merged-chr6-142561422-52
NR10425--MA0641.1.ELF4	chrX	50565234	50565245	-	0.000	0.000	Merged-chrX-50565283-19
NR4112--MA0136.2.ELF5	chr16	43650493	43650503	-	0.000	0.000	Merged-chr16-43650685-39
NR4392--MA0641.1.ELF4	chr17	23748293	23748304	-	0.000	0.000	Merged-chr17-23748319-15
NR3174--MA0473.2.ELF1	chr14	23465417	23465428	-	0.000	0.000	Merged-chr14-23465360-30
NR314--MA0136.2.ELF5	chr1	92469001	92469011	+	0.000	0.000	Merged-chr1-92469061-38
NR3303--MA0641.1.ELF4	chr14	55946474	55946485	+	0.000	0.000	Merged-chr14-55946478-14
NR10357--MA0136.2.ELF5	chr9	122246090	122246100	+	0.000	0.000	Merged-chr9-122246104-16
NR8746--MA0136.2.ELF5	chr7	44741443	44741453	+	0.000	0.000	Merged-chr7-44741502-14
NR5060--MA0136.2.ELF5	chr18	81423563	81423573	+	0.000	0.000	Merged-chr18-81423542-12
NR10149--MA0641.1.ELF4	chr9	89221070	89221081	+	0.000	0.000	Merged-chr9-89221104-50
NR837--MA0640.1.ELF3	chr10	10307482	10307494	-	0.000	0.000	Merged-chr10-10307543-35
NR3445--MA0136.2.ELF5	chr14	103363332	103363342	-	0.000	0.000	Merged-chr14-103363341-36
NR1954--MA0473.2.ELF1	chr11	107458527	107458538	+	0.000	0.000	Merged-chr11-107458669-70
NR10106--MA0640.1.ELF3	chr9	79971017	79971029	-	0.000	0.000	Merged-chr9-79970896-33
NR1888--MA0473.2.ELF1	chr11	101082523	101082534	+	0.000	0.000	Merged-chr11-101082516-61
NR8504--MA0641.1.ELF4	chr6	142561358	142561369	+	0.000	0.000	Merged-chr6-142561422-52
NR3404--MA0641.1.ELF4	chr14	75034283	75034294	-	0.000	0.000	Merged-chr14-75034378-51
NR3402--MA0136.2.ELF5	chr14	75034283	75034293	-	0.000	0.000	Merged-chr14-75034378-51
NR6694--MA0136.2.ELF5	chr3	142545616	142545626	+	0.000	0.000	Merged-chr3-142545607-21
NR3534--MA0641.1.ELF4	chr14	121903674	121903685	-	0.000	0.000	Merged-chr14-121903586-22
NR4716--MA0136.2.ELF5	chr17	79348369	79348379	-	0.000	0.000	Merged-chr17-79348160-59
NR1955--MA0640.1.ELF3	chr11	107458527	107458539	+	0.000	0.000	Merged-chr11-107458669-70
NR4864--MA0136.2.ELF5	chr18	31911272	31911282	-	0.000	0.000	Merged-chr18-31911303-2
NR5058--MA0473.2.ELF1	chr18	81423562	81423573	+	0.000	0.000	Merged-chr18-81423542-12
NR3676--MA0136.2.ELF5	chr15	58927824	58927834	-	0.000	0.000	Merged-chr15-58927815-41
NR8351--MA0136.2.ELF5	chr6	119199070	119199080	+	0.000	0.000	Merged-chr6-119199024-52
NR927--MA0136.2.ELF5	chr10	40165147	40165157	+	0.000	0.000	Merged-chr10-40165050-35
NR4900--MA0473.2.ELF1	chr18	39185917	39185928	+	0.000	0.000	Merged-chr18-39185847-29
NR2616--MA0641.1.ELF4	chr13	4191167	4191178	-	0.000	0.000	Merged-chr13-4191269-39
NR2613--MA0473.2.ELF1	chr13	4191167	4191178	-	0.000	0.000	Merged-chr13-4191269-39
NR1889--MA0641.1.ELF4	chr11	101082523	101082534	+	0.000	0.000	Merged-chr11-101082516-61
NR1110--MA0641.1.ELF4	chr10	77537977	77537988	-	0.000	0.000	Merged-chr10-77538017-2
NR3176--MA0136.2.ELF5	chr14	23465417	23465427	-	0.000	0.000	Merged-chr14-23465360-30
NR10107--MA0136.2.ELF5	chr9	79971018	79971028	-	0.000	0.000	Merged-chr9-79970896-33
NR212--MA0136.2.ELF5	chr1	78478079	78478089	+	0.000	0.000	Merged-chr1-78478073-15
NR7414--MA0473.2.ELF1	chr5	31602551	31602562	-	0.000	0.000	Merged-chr5-31602596-35
NR4705--MA0136.2.ELF5	chr17	78247225	78247235	+	0.000	0.000	Merged-chr17-78247091-26
NR5059--MA0640.1.ELF3	chr18	81423562	81423574	+	0.000	0.000	Merged-chr18-81423542-12
NR4839--MA0473.2.ELF1	chr18	14604614	14604625	-	0.000	0.000	Merged-chr18-14604609-11
NR6393--MA0136.2.ELF5	chr3	79504256	79504266	+	0.000	0.000	Merged-chr3-79504313-1
NR2614--MA0640.1.ELF3	chr13	4191166	4191178	-	0.000	0.000	Merged-chr13-4191269-39
NR1099--MA0640.1.ELF3	chr10	77520657	77520669	+	0.000	0.000	Merged-chr10-77520752-38
NR3361--MA0136.2.ELF5	chr14	70283697	70283707	+	0.000	0.000	Merged-chr14-70283811-50
NR8112--MA0136.2.ELF5	chr6	54902769	54902779	-	0.000	0.000	Merged-chr6-54902774-18
NR1956--MA0136.2.ELF5	chr11	107458528	107458538	+	0.000	0.000	Merged-chr11-107458669-70
NR4901--MA0641.1.ELF4	chr18	39185917	39185928	+	0.000	0.000	Merged-chr18-39185847-29
NR8349--MA0473.2.ELF1	chr6	119199069	119199080	+	0.000	0.000	Merged-chr6-119199024-52
NR7415--MA0640.1.ELF3	chr5	31602550	31602562	-	0.000	0.000	Merged-chr5-31602596-35
NR3397--MA0473.2.ELF1	chr14	75034262	75034273	+	0.000	0.000	Merged-chr14-75034378-51
NR315--MA0641.1.ELF4	chr1	92469000	92469011	+	0.000	0.000	Merged-chr1-92469061-38
NR8297--MA0136.2.ELF5	chr6	108844222	108844232	+	0.000	0.000	Merged-chr6-108844262-40
NR4157--MA0136.2.ELF5	chr16	52468633	52468643	+	0.000	0.000	Merged-chr16-52468577-24
NR8747--MA0641.1.ELF4	chr7	44741442	44741453	+	0.000	0.000	Merged-chr7-44741502-14
NR5061--MA0641.1.ELF4	chr18	81423562	81423573	+	0.000	0.000	Merged-chr18-81423542-12
NR8744--MA0473.2.ELF1	chr7	44741442	44741453	+	0.000	0.000	Merged-chr7-44741502-14
