#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR1132--MA0098.3.ETS1	chr14	118926632	118926641	-	0.000	0.000	Merged-chr14-118926822-16
NR2683--MA0098.3.ETS1	chr6	106984245	106984254	+	0.000	0.000	Merged-chr6-106984271-18
NR2352--MA0098.3.ETS1	chr4	137714433	137714442	-	0.000	0.000	Merged-chr4-137714339-14
NR384--MA0098.3.ETS1	chr10	94523914	94523923	+	0.000	0.000	Merged-chr10-94523917-65
NR290--MA0098.3.ETS1	chr10	41615623	41615632	+	0.000	0.000	Merged-chr10-41615681-31
NR2272--MA0098.3.ETS1	chr4	86886326	86886335	-	0.000	0.000	Merged-chr4-86886222-78
NR1742--MA0098.3.ETS1	chr19	55915655	55915664	-	0.000	0.000	Merged-chr19-55915456-76
NR3170--MA0098.3.ETS1	chr8	126662877	126662886	+	0.000	0.000	Merged-chr8-126662975-49
NR976--MA0098.3.ETS1	chr13	103412732	103412741	+	0.000	0.000	Merged-chr13-103412841-15
NR2864--MA0098.3.ETS1	chr7	65373522	65373531	-	0.000	0.000	Merged-chr7-65373607-20
NR2770--MA0098.3.ETS1	chr6	143954668	143954677	+	0.000	0.000	Merged-chr6-143954525-20
NR654--MA0098.3.ETS1	chr11	113574260	113574269	+	0.000	0.000	Merged-chr11-113574265-17
NR82--MA0098.3.ETS1	chr1	87181025	87181034	+	0.000	0.000	Merged-chr1-87181117-21
NR538--MA0098.3.ETS1	chr11	71230866	71230875	-	0.000	0.000	Merged-chr11-71230864-28
NR1224--MA0098.3.ETS1	chr15	73627490	73627499	-	0.000	0.000	Merged-chr15-73627530-51
NR2887--MA0098.3.ETS1	chr7	78721641	78721650	+	0.000	0.000	Merged-chr7-78721730-59
NR1260--MA0098.3.ETS1	chr15	85328084	85328093	-	0.000	0.000	Merged-chr15-85328019-32
NR1489--MA0098.3.ETS1	chr17	45488791	45488800	+	0.000	0.000	Merged-chr17-45488824-86
NR3221--MA0098.3.ETS1	chr9	40746895	40746904	+	0.000	0.000	Merged-chr9-40746987-16
NR1834--MA0098.3.ETS1	chr2	38988328	38988337	-	0.000	0.000	Merged-chr2-38988240-32
NR1964--MA0098.3.ETS1	chr2	152906972	152906981	-	0.000	0.000	Merged-chr2-152906761-58
NR2266--MA0098.3.ETS1	chr4	63639135	63639144	+	0.000	0.000	Merged-chr4-63639054-20
NR1194--MA0098.3.ETS1	chr15	38120502	38120511	+	0.000	0.000	Merged-chr15-38120488-27
NR1069--MA0098.3.ETS1	chr14	60666390	60666399	+	0.000	0.000	Merged-chr14-60666479-30
NR2611--MA0098.3.ETS1	chr6	17498931	17498940	-	0.000	0.000	Merged-chr6-17498932-15
NR3164--MA0098.3.ETS1	chr8	125648984	125648993	+	0.000	0.000	Merged-chr8-125648946-1
NR3061--MA0098.3.ETS1	chr8	68218741	68218750	-	0.000	0.000	Merged-chr8-68218689-19
NR53--MA0098.3.ETS1	chr1	64875733	64875742	+	0.000	0.000	Merged-chr1-64875800-12
NR2876--MA0098.3.ETS1	chr7	74495736	74495745	+	0.000	0.000	Merged-chr7-74495574-58
NR1903--MA0098.3.ETS1	chr2	112676824	112676833	-	0.000	0.000	Merged-chr2-112676754-32
NR367--MA0098.3.ETS1	chr10	84774770	84774779	+	0.000	0.000	Merged-chr10-84774745-16
NR1743--MA0098.3.ETS1	chr19	56858287	56858296	-	0.000	0.000	Merged-chr19-56858435-39
NR829--MA0098.3.ETS1	chr12	116140735	116140744	-	0.000	0.000	Merged-chr12-116140817-28
NR1515--MA0098.3.ETS1	chr17	57098611	57098620	-	0.000	0.000	Merged-chr17-57098619-14
NR990--MA0098.3.ETS1	chr13	108072342	108072351	-	0.000	0.000	Merged-chr13-108072263-25
NR2981--MA0098.3.ETS1	chr7	130816514	130816523	-	0.000	0.000	Merged-chr7-130816442-11
NR2986--MA0098.3.ETS1	chr7	135647096	135647105	+	0.000	0.000	Merged-chr7-135647119-33
NR436--MA0098.3.ETS1	chr10	127337722	127337731	-	0.000	0.000	Merged-chr10-127337702-25
NR1337--MA0098.3.ETS1	chr16	29865302	29865311	+	0.000	0.000	Merged-chr16-29865304-40
NR2212--MA0098.3.ETS1	chr4	10770274	10770283	-	0.000	0.000	Merged-chr4-10770192-53
NR3414--MA0098.3.ETS1	chrX	93617445	93617454	-	0.000	0.000	Merged-chrX-93617420-5
NR1933--MA0098.3.ETS1	chr2	132004938	132004947	+	0.000	0.000	Merged-chr2-132004928-41
NR379--MA0098.3.ETS1	chr10	93356317	93356326	-	0.000	0.000	Merged-chr10-93356301-45
NR3106--MA0098.3.ETS1	chr8	95247501	95247510	+	0.000	0.000	Merged-chr8-95247520-25
NR3357--MA0098.3.ETS1	chr9	116243860	116243869	+	0.000	0.000	Merged-chr9-116243832-57
NR2191--MA0098.3.ETS1	chr3	148491391	148491400	+	0.000	0.000	Merged-chr3-148491583-74
NR1442--MA0098.3.ETS1	chr17	21463688	21463697	+	0.000	0.000	Merged-chr17-21463736-49
NR2420--MA0098.3.ETS1	chr5	29205908	29205917	-	0.000	0.000	Merged-chr5-29205850-28
NR1429--MA0098.3.ETS1	chr17	8233860	8233869	-	0.000	0.000	Merged-chr17-8233778-16
NR676--MA0098.3.ETS1	chr11	118731985	118731994	-	0.000	0.000	Merged-chr11-118731916-25
NR461--MA0098.3.ETS1	chr11	6705090	6705099	+	0.000	0.000	Merged-chr11-6705219-50
NR3430--MA0098.3.ETS1	chrX	142380094	142380103	-	0.000	0.000	Merged-chrX-142380077-38
NR153--MA0098.3.ETS1	chr1	152019396	152019405	+	0.000	0.000	Merged-chr1-152019421-49
NR1269--MA0098.3.ETS1	chr15	92134529	92134538	+	0.000	0.000	Merged-chr15-92134460-52
NR274--MA0098.3.ETS1	chr10	30537606	30537615	-	0.000	0.000	Merged-chr10-30537547-6
NR601--MA0098.3.ETS1	chr11	97665138	97665147	-	0.000	0.000	Merged-chr11-97665045-17
NR928--MA0098.3.ETS1	chr13	64432482	64432491	-	0.000	0.000	Merged-chr13-64432516-70
NR3346--MA0098.3.ETS1	chr9	112186573	112186582	+	0.000	0.000	Merged-chr9-112186441-37
NR1838--MA0098.3.ETS1	chr2	45139084	45139093	+	0.000	0.000	Merged-chr2-45139148-28
NR1650--MA0098.3.ETS1	chr18	89200742	89200751	-	0.000	0.000	Merged-chr18-89200747-8
NR194--MA0098.3.ETS1	chr1	171963825	171963834	+	0.000	0.000	Merged-chr1-171963786-30
NR866--MA0098.3.ETS1	chr13	28551780	28551789	+	0.000	0.000	Merged-chr13-28551845-49
NR3401--MA0098.3.ETS1	chrX	57185066	57185075	-	0.000	0.000	Merged-chrX-57185087-24
NR231--MA0098.3.ETS1	chr1	189608794	189608803	+	0.000	0.000	Merged-chr1-189608778-45
NR2889--MA0098.3.ETS1	chr7	79300684	79300693	-	0.000	0.000	Merged-chr7-79300921-71
NR3303--MA0098.3.ETS1	chr9	77514125	77514134	-	0.000	0.000	Merged-chr9-77514125-35
NR2236--MA0098.3.ETS1	chr4	44271232	44271241	-	0.000	0.000	Merged-chr4-44271283-50
NR1388--MA0098.3.ETS1	chr16	84713387	84713396	+	0.000	0.000	Merged-chr16-84713563-77
NR2156--MA0098.3.ETS1	chr3	126834971	126834980	+	0.000	0.000	Merged-chr3-126834809-55
NR725--MA0098.3.ETS1	chr12	54398272	54398281	+	0.000	0.000	Merged-chr12-54398333-42
NR197--MA0098.3.ETS1	chr1	174040948	174040957	+	0.000	0.000	Merged-chr1-174041007-47
NR3291--MA0098.3.ETS1	chr9	69757424	69757433	+	0.000	0.000	Merged-chr9-69757438-24
NR1528--MA0098.3.ETS1	chr17	73247124	73247133	-	0.000	0.000	Merged-chr17-73247076-30
NR417--MA0098.3.ETS1	chr10	119005687	119005696	+	0.000	0.000	Merged-chr10-119005704-15
NR140--MA0098.3.ETS1	chr1	136568751	136568760	-	0.000	0.000	Merged-chr1-136568866-12
NR275--MA0098.3.ETS1	chr10	30655934	30655943	-	0.000	0.000	Merged-chr10-30655945-56
NR611--MA0098.3.ETS1	chr11	99147998	99148007	-	0.000	0.000	Merged-chr11-99147890-14
NR1651--MA0098.3.ETS1	chr18	89340576	89340585	+	0.000	0.000	Merged-chr18-89340691-47
