#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed
NR2438--MA0149.1.EWSR1-FLI1	chr12	110389696	110389713	-	0.000	0.000	Merged-chr12-110389691-32
NR88--MA0149.1.EWSR1-FLI1	chr1	42953109	42953126	-	0.000	0.000	Merged-chr1-42953184-68
NR1205--MA0149.1.EWSR1-FLI1	chr10	90981912	90981929	-	0.000	0.000	Merged-chr10-90981841-14
NR6145--MA0149.1.EWSR1-FLI1	chr2	132263983	132264000	+	0.000	0.000	Merged-chr2-132264143-23
NR9632--MA0149.1.EWSR1-FLI1	chr7	112918411	112918428	+	0.000	0.000	Merged-chr7-112918407-20
NR4104--MA0149.1.EWSR1-FLI1	chr16	45690383	45690400	+	0.000	0.000	Merged-chr16-45690365-24
NR8767--MA0475.2.FLI1	chr6	70103435	70103444	-	0.000	0.000	Merged-chr6-70103466-27
NR206--MA0149.1.EWSR1-FLI1	chr1	80855246	80855263	-	0.000	0.000	Merged-chr1-80855392-26
NR1811--MA0149.1.EWSR1-FLI1	chr11	84073129	84073146	+	0.000	0.000	Merged-chr11-84073104-12
NR5755--MA0149.1.EWSR1-FLI1	chr2	57833153	57833170	-	0.000	0.000	Merged-chr2-57833187-31
NR940--MA0475.2.FLI1	chr10	40025315	40025324	+	0.000	0.000	Merged-chr10-40025208-45
NR8115--MA0149.1.EWSR1-FLI1	chr5	89901223	89901240	-	0.000	0.000	Merged-chr5-89901174-42
NR7166--MA0149.1.EWSR1-FLI1	chr4	6958478	6958495	-	0.000	0.000	Merged-chr4-6958431-33
NR3714--MA0149.1.EWSR1-FLI1	chr15	75085565	75085582	-	0.000	0.000	Merged-chr15-75085658-7
NR963--MA0475.2.FLI1	chr10	42934828	42934837	+	0.000	0.000	Merged-chr10-42934777-29
NR24--MA0475.2.FLI1	chr1	13593600	13593609	-	0.000	0.000	Merged-chr1-13593495-61
NR10791--MA0475.2.FLI1	chr9	105078930	105078939	+	0.000	0.000	Merged-chr9-105078921-24
NR5810--MA0149.1.EWSR1-FLI1	chr2	68884864	68884881	+	0.000	0.000	Merged-chr2-68884857-23
NR9633--MA0149.1.EWSR1-FLI1	chr7	112918415	112918432	+	0.000	0.000	Merged-chr7-112918407-20
NR8558--MA0149.1.EWSR1-FLI1	chr5	150262925	150262942	+	0.000	0.000	Merged-chr5-150262822-29
NR1295--MA0149.1.EWSR1-FLI1	chr10	108446511	108446528	+	0.000	0.000	Merged-chr10-108446364-45
NR10214--MA0475.2.FLI1	chr8	114506255	114506264	-	0.000	0.000	Merged-chr8-114506190-31
NR4310--MA0149.1.EWSR1-FLI1	chr16	97401803	97401820	-	0.000	0.000	Merged-chr16-97402099-85
NR1174--MA0149.1.EWSR1-FLI1	chr10	84904062	84904079	-	0.000	0.000	Merged-chr10-84904074-24
NR2637--MA0475.2.FLI1	chr13	41773997	41774006	+	0.000	0.000	Merged-chr13-41774048-23
NR2100--MA0475.2.FLI1	chr12	8351467	8351476	-	0.000	0.000	Merged-chr12-8351458-49
NR6794--MA0149.1.EWSR1-FLI1	chr3	103780941	103780958	+	0.000	0.000	Merged-chr3-103780888-34
NR9767--MA0149.1.EWSR1-FLI1	chr7	128398922	128398939	-	0.000	0.000	Merged-chr7-128398877-22
NR3641--MA0149.1.EWSR1-FLI1	chr15	58171425	58171442	+	0.000	0.000	Merged-chr15-58171434-29
NR2253--MA0475.2.FLI1	chr12	75494765	75494774	+	0.000	0.000	Merged-chr12-75494766-18
NR2324--MA0149.1.EWSR1-FLI1	chr12	87130501	87130518	-	0.000	0.000	Merged-chr12-87130424-26
NR6147--MA0149.1.EWSR1-FLI1	chr2	132263987	132264004	+	0.000	0.000	Merged-chr2-132264143-23
NR4783--MA0149.1.EWSR1-FLI1	chr17	87418230	87418247	+	0.000	0.000	Merged-chr17-87418292-26
NR6622--MA0475.2.FLI1	chr3	79153381	79153390	-	0.000	0.000	Merged-chr3-79153347-66
NR10118--MA0149.1.EWSR1-FLI1	chr8	88604195	88604212	+	0.000	0.000	Merged-chr8-88604204-17
NR83--MA0149.1.EWSR1-FLI1	chr1	42952916	42952933	-	0.000	0.000	Merged-chr1-42953184-68
NR3592--MA0149.1.EWSR1-FLI1	chr15	38535812	38535829	+	0.000	0.000	Merged-chr15-38535554-39
NR7331--MA0149.1.EWSR1-FLI1	chr4	63486652	63486669	+	0.000	0.000	Merged-chr4-63486767-20
NR4810--MA0475.2.FLI1	chr18	6484866	6484875	-	0.000	0.000	Merged-chr18-6484878-33
NR9973--MA0149.1.EWSR1-FLI1	chr8	45935010	45935027	-	0.000	0.000	Merged-chr8-45934835-41
NR8046--MA0475.2.FLI1	chr5	64029959	64029968	+	0.000	0.000	Merged-chr5-64029830-27
NR7189--MA0475.2.FLI1	chr4	11084927	11084936	-	0.000	0.000	Merged-chr4-11084883-37
NR6857--MA0149.1.EWSR1-FLI1	chr3	121967846	121967863	+	0.000	0.000	Merged-chr3-121967857-57
NR2258--MA0149.1.EWSR1-FLI1	chr12	76778885	76778902	-	0.000	0.000	Merged-chr12-76778742-51
NR1447--MA0475.2.FLI1	chr10	128940648	128940657	+	0.000	0.000	Merged-chr10-128940717-41
NR3442--MA0149.1.EWSR1-FLI1	chr14	101470129	101470146	+	0.000	0.000	Merged-chr14-101470106-24
NR6603--MA0149.1.EWSR1-FLI1	chr3	69156678	69156695	-	0.000	0.000	Merged-chr3-69156652-55
NR189--MA0149.1.EWSR1-FLI1	chr1	79701898	79701915	-	0.000	0.000	Merged-chr1-79701854-14
NR84--MA0149.1.EWSR1-FLI1	chr1	42952919	42952936	-	0.000	0.000	Merged-chr1-42953184-68
NR5963--MA0149.1.EWSR1-FLI1	chr2	102050158	102050175	+	0.000	0.000	Merged-chr2-102050053-17
NR7332--MA0149.1.EWSR1-FLI1	chr4	63486656	63486673	+	0.000	0.000	Merged-chr4-63486767-20
NR1243--MA0149.1.EWSR1-FLI1	chr10	96201430	96201447	+	0.000	0.000	Merged-chr10-96201472-66
NR1842--MA0475.2.FLI1	chr11	90576786	90576795	+	0.000	0.000	Merged-chr11-90576690-20
NR2889--MA0149.1.EWSR1-FLI1	chr13	95765259	95765276	+	0.000	0.000	Merged-chr13-95765232-46
NR807--MA0475.2.FLI1	chr1	192532451	192532460	+	0.000	0.000	Merged-chr1-192532397-12
NR6015--MA0149.1.EWSR1-FLI1	chr2	112676866	112676883	-	0.000	0.000	Merged-chr2-112676754-32
NR709--MA0475.2.FLI1	chr1	182718804	182718813	+	0.000	0.000	Merged-chr1-182718730-25
NR3952--MA0149.1.EWSR1-FLI1	chr16	4913164	4913181	+	0.000	0.000	Merged-chr16-4913166-6
NR4125--MA0149.1.EWSR1-FLI1	chr16	51719901	51719918	-	0.000	0.000	Merged-chr16-51719841-20
NR6416--MA0149.1.EWSR1-FLI1	chr2	174442597	174442614	-	0.000	0.000	Merged-chr2-174442618-24
NR5346--MA0149.1.EWSR1-FLI1	chr19	37535264	37535281	+	0.000	0.000	Merged-chr19-37535192-30
NR3673--MA0149.1.EWSR1-FLI1	chr15	64246463	64246480	-	0.000	0.000	Merged-chr15-64246637-23
NR90--MA0149.1.EWSR1-FLI1	chr1	42953117	42953134	-	0.000	0.000	Merged-chr1-42953184-68
NR4034--MA0149.1.EWSR1-FLI1	chr16	24238581	24238598	+	0.000	0.000	Merged-chr16-24238458-30
NR1356--MA0475.2.FLI1	chr10	118195014	118195023	-	0.000	0.000	Merged-chr10-118194882-1
NR1306--MA0149.1.EWSR1-FLI1	chr10	111576090	111576107	+	0.000	0.000	Merged-chr10-111576182-36
NR10647--MA0149.1.EWSR1-FLI1	chr9	77456782	77456799	+	0.000	0.000	Merged-chr9-77456588-28
NR4452--MA0149.1.EWSR1-FLI1	chr17	31693452	31693469	-	0.000	0.000	Merged-chr17-31693537-59
NR554--MA0149.1.EWSR1-FLI1	chr1	164881968	164881985	+	0.000	0.000	Merged-chr1-164882176-54
NR5794--MA0149.1.EWSR1-FLI1	chr2	62626527	62626544	-	0.000	0.000	Merged-chr2-62626417-21
NR5976--MA0475.2.FLI1	chr2	103668260	103668269	+	0.000	0.000	Merged-chr2-103668249-32
NR2636--MA0149.1.EWSR1-FLI1	chr13	41773942	41773959	+	0.000	0.000	Merged-chr13-41774048-23
NR9440--MA0475.2.FLI1	chr7	68478873	68478882	-	0.000	0.000	Merged-chr7-68478943-25
NR9271--MA0149.1.EWSR1-FLI1	chr7	19202619	19202636	-	0.000	0.000	Merged-chr7-19202544-28
NR86--MA0149.1.EWSR1-FLI1	chr1	42953096	42953113	-	0.000	0.000	Merged-chr1-42953184-68
NR7334--MA0149.1.EWSR1-FLI1	chr4	63486664	63486681	+	0.000	0.000	Merged-chr4-63486767-20
NR6865--MA0475.2.FLI1	chr3	122474360	122474369	+	0.000	0.000	Merged-chr3-122474297-38
NR91--MA0149.1.EWSR1-FLI1	chr1	42953121	42953138	-	0.000	0.000	Merged-chr1-42953184-68
NR9929--MA0149.1.EWSR1-FLI1	chr8	23887056	23887073	-	0.000	0.000	Merged-chr8-23886978-41
NR4005--MA0475.2.FLI1	chr16	18460178	18460187	-	0.000	0.000	Merged-chr16-18460092-61
NR7861--MA0475.2.FLI1	chr4	156004338	156004347	-	0.000	0.000	Merged-chr4-156004272-37
NR6143--MA0149.1.EWSR1-FLI1	chr2	132263975	132263992	+	0.000	0.000	Merged-chr2-132264143-23
NR2891--MA0475.2.FLI1	chr13	95956687	95956696	-	0.000	0.000	Merged-chr13-95956684-58
NR5355--MA0475.2.FLI1	chr19	41031175	41031184	+	0.000	0.000	Merged-chr19-41031181-46
NR5239--MA0475.2.FLI1	chr19	10688903	10688912	-	0.000	0.000	Merged-chr19-10688915-74
NR1117--MA0475.2.FLI1	chr10	78421128	78421137	-	0.000	0.000	Merged-chr10-78421100-18
NR8979--MA0475.2.FLI1	chr6	115577642	115577651	-	0.000	0.000	Merged-chr6-115577839-87
NR7473--MA0475.2.FLI1	chr4	102908235	102908244	+	0.000	0.000	Merged-chr4-102908208-33
NR8326--MA0149.1.EWSR1-FLI1	chr5	118614679	118614696	-	0.000	0.000	Merged-chr5-118614593-18
NR6934--MA0475.2.FLI1	chr3	130812465	130812474	-	0.000	0.000	Merged-chr3-130812449-10
NR9176--MA0149.1.EWSR1-FLI1	chr6	145193408	145193425	-	0.000	0.000	Merged-chr6-145193570-49
NR9550--MA0475.2.FLI1	chr7	97067494	97067503	-	0.000	0.000	Merged-chr7-97067401-28
NR4036--MA0149.1.EWSR1-FLI1	chr16	24238586	24238603	+	0.000	0.000	Merged-chr16-24238458-30
NR10949--MA0475.2.FLI1	chr9	121741429	121741438	-	0.000	0.000	Merged-chr9-121741440-27
NR4350--MA0149.1.EWSR1-FLI1	chr17	12751052	12751069	+	0.000	0.000	Merged-chr17-12751004-39
NR6495--MA0149.1.EWSR1-FLI1	chr3	19706802	19706819	+	0.000	0.000	Merged-chr3-19706982-40
NR410--MA0149.1.EWSR1-FLI1	chr1	135807723	135807740	+	0.000	0.000	Merged-chr1-135807785-37
NR4884--MA0149.1.EWSR1-FLI1	chr18	35776795	35776812	-	0.000	0.000	Merged-chr18-35776738-19
NR3249--MA0475.2.FLI1	chr14	58968143	58968152	+	0.000	0.000	Merged-chr14-58968106-10
NR4763--MA0149.1.EWSR1-FLI1	chr17	85023579	85023596	-	0.000	0.000	Merged-chr17-85023702-53
NR7295--MA0475.2.FLI1	chr4	54527845	54527854	+	0.000	0.000	Merged-chr4-54527768-19
NR6626--MA0475.2.FLI1	chr3	79273117	79273126	-	0.000	0.000	Merged-chr3-79273035-30
NR4150--MA0149.1.EWSR1-FLI1	chr16	58553615	58553632	-	0.000	0.000	Merged-chr16-58553585-23
NR8114--MA0149.1.EWSR1-FLI1	chr5	89901219	89901236	-	0.000	0.000	Merged-chr5-89901174-42
NR5004--MA0475.2.FLI1	chr18	65319187	65319196	+	0.000	0.000	Merged-chr18-65319104-54
NR5107--MA0149.1.EWSR1-FLI1	chr18	77822048	77822065	-	0.000	0.000	Merged-chr18-77822073-36
NR10382--MA0475.2.FLI1	chr9	15279983	15279992	-	0.000	0.000	Merged-chr9-15279956-57
NR1309--MA0149.1.EWSR1-FLI1	chr10	111715307	111715324	+	0.000	0.000	Merged-chr10-111715471-15
NR8516--MA0475.2.FLI1	chr5	148501373	148501382	+	0.000	0.000	Merged-chr5-148501527-73
NR8557--MA0149.1.EWSR1-FLI1	chr5	150262921	150262938	+	0.000	0.000	Merged-chr5-150262822-29
NR6014--MA0475.2.FLI1	chr2	112676824	112676833	-	0.000	0.000	Merged-chr2-112676754-32
NR1173--MA0149.1.EWSR1-FLI1	chr10	84904058	84904075	-	0.000	0.000	Merged-chr10-84904074-24
NR8584--MA0475.2.FLI1	chr6	5997717	5997726	-	0.000	0.000	Merged-chr6-5997718-16
NR1448--MA0149.1.EWSR1-FLI1	chr10	128940660	128940677	-	0.000	0.000	Merged-chr10-128940717-41
NR11142--MA0149.1.EWSR1-FLI1	chrX	102071147	102071164	+	0.000	0.000	Merged-chrX-102071254-29
NR89--MA0149.1.EWSR1-FLI1	chr1	42953113	42953130	-	0.000	0.000	Merged-chr1-42953184-68
NR10381--MA0149.1.EWSR1-FLI1	chr9	15279886	15279903	+	0.000	0.000	Merged-chr9-15279956-57
NR8763--MA0149.1.EWSR1-FLI1	chr6	67291996	67292013	+	0.000	0.000	Merged-chr6-67292204-22
NR6146--MA0149.1.EWSR1-FLI1	chr2	132263984	132264001	+	0.000	0.000	Merged-chr2-132264143-23
NR4782--MA0149.1.EWSR1-FLI1	chr17	87418226	87418243	+	0.000	0.000	Merged-chr17-87418292-26
NR10117--MA0149.1.EWSR1-FLI1	chr8	88451039	88451056	+	0.000	0.000	Merged-chr8-88451024-11
NR8296--MA0149.1.EWSR1-FLI1	chr5	115474666	115474683	-	0.000	0.000	Merged-chr5-115474524-35
NR82--MA0149.1.EWSR1-FLI1	chr1	42952915	42952932	-	0.000	0.000	Merged-chr1-42953184-68
NR5961--MA0149.1.EWSR1-FLI1	chr2	102039469	102039486	-	0.000	0.000	Merged-chr2-102039537-38
NR3591--MA0149.1.EWSR1-FLI1	chr15	38535808	38535825	+	0.000	0.000	Merged-chr15-38535554-39
NR7876--MA0475.2.FLI1	chr5	9107474	9107483	+	0.000	0.000	Merged-chr5-9107352-33
NR5756--MA0149.1.EWSR1-FLI1	chr2	57833154	57833171	-	0.000	0.000	Merged-chr2-57833187-31
NR2776--MA0475.2.FLI1	chr13	65070150	65070159	-	0.000	0.000	Merged-chr13-65070187-24
NR10352--MA0149.1.EWSR1-FLI1	chr8	128333518	128333535	+	0.000	0.000	Merged-chr8-128333532-18
NR8116--MA0149.1.EWSR1-FLI1	chr5	89901227	89901244	-	0.000	0.000	Merged-chr5-89901174-42
NR7167--MA0149.1.EWSR1-FLI1	chr4	6958482	6958499	-	0.000	0.000	Merged-chr4-6958431-33
NR2499--MA0149.1.EWSR1-FLI1	chr12	117639050	117639067	+	0.000	0.000	Merged-chr12-117639216-79
NR9972--MA0149.1.EWSR1-FLI1	chr8	41334510	41334527	-	0.000	0.000	Merged-chr8-41334366-24
NR10161--MA0475.2.FLI1	chr8	104039505	104039514	-	0.000	0.000	Merged-chr8-104039758-41
NR6935--MA0149.1.EWSR1-FLI1	chr3	130812478	130812495	-	0.000	0.000	Merged-chr3-130812449-10
NR11143--MA0149.1.EWSR1-FLI1	chrX	102071302	102071319	-	0.000	0.000	Merged-chrX-102071254-29
NR1248--MA0475.2.FLI1	chr10	96656424	96656433	+	0.000	0.000	Merged-chr10-96656400-23
NR3678--MA0149.1.EWSR1-FLI1	chr15	66286817	66286834	-	0.000	0.000	Merged-chr15-66286791-54
NR1716--MA0149.1.EWSR1-FLI1	chr11	72803978	72803995	+	0.000	0.000	Merged-chr11-72804024-15
NR1154--MA0475.2.FLI1	chr10	83094254	83094263	-	0.000	0.000	Merged-chr10-83094341-29
NR5969--MA0149.1.EWSR1-FLI1	chr2	102733564	102733581	+	0.000	0.000	Merged-chr2-102733347-57
NR4286--MA0149.1.EWSR1-FLI1	chr16	95869699	95869716	-	0.000	0.000	Merged-chr16-95869616-44
NR5811--MA0149.1.EWSR1-FLI1	chr2	68884868	68884885	+	0.000	0.000	Merged-chr2-68884857-23
NR9938--MA0149.1.EWSR1-FLI1	chr8	25780076	25780093	-	0.000	0.000	Merged-chr8-25780082-13
NR964--MA0149.1.EWSR1-FLI1	chr10	43706386	43706403	+	0.000	0.000	Merged-chr10-43706280-54
NR3115--MA0475.2.FLI1	chr14	21507255	21507264	-	0.000	0.000	Merged-chr14-21507188-15
NR1296--MA0149.1.EWSR1-FLI1	chr10	108446515	108446532	+	0.000	0.000	Merged-chr10-108446364-45
NR1513--MA0475.2.FLI1	chr11	17192409	17192418	-	0.000	0.000	Merged-chr11-17192459-30
NR2388--MA0475.2.FLI1	chr12	102303809	102303818	+	0.000	0.000	Merged-chr12-102303836-23
NR5962--MA0149.1.EWSR1-FLI1	chr2	102039473	102039490	-	0.000	0.000	Merged-chr2-102039537-38
NR9560--MA0149.1.EWSR1-FLI1	chr7	99546283	99546300	-	0.000	0.000	Merged-chr7-99546388-26
NR7190--MA0149.1.EWSR1-FLI1	chr4	11455380	11455397	-	0.000	0.000	Merged-chr4-11455280-34
NR7168--MA0149.1.EWSR1-FLI1	chr4	6958486	6958503	-	0.000	0.000	Merged-chr4-6958431-33
NR3800--MA0149.1.EWSR1-FLI1	chr15	84372823	84372840	+	0.000	0.000	Merged-chr15-84372915-18
NR2154--MA0149.1.EWSR1-FLI1	chr12	32999858	32999875	-	0.000	0.000	Merged-chr12-32999849-21
NR6795--MA0149.1.EWSR1-FLI1	chr3	103780945	103780962	+	0.000	0.000	Merged-chr3-103780888-34
NR3551--MA0149.1.EWSR1-FLI1	chr15	25216684	25216701	-	0.000	0.000	Merged-chr15-25216736-38
NR8711--MA0149.1.EWSR1-FLI1	chr6	51362989	51363006	+	0.000	0.000	Merged-chr6-51362864-39
NR9561--MA0149.1.EWSR1-FLI1	chr7	99546287	99546304	-	0.000	0.000	Merged-chr7-99546388-26
NR3801--MA0149.1.EWSR1-FLI1	chr15	84372824	84372841	+	0.000	0.000	Merged-chr15-84372915-18
NR919--MA0475.2.FLI1	chr10	26630328	26630337	-	0.000	0.000	Merged-chr10-26630459-16
NR4230--MA0475.2.FLI1	chr16	92443750	92443759	-	0.000	0.000	Merged-chr16-92443749-37
NR9559--MA0475.2.FLI1	chr7	99448810	99448819	-	0.000	0.000	Merged-chr7-99448704-1
NR3564--MA0149.1.EWSR1-FLI1	chr15	31239872	31239889	+	0.000	0.000	Merged-chr15-31239940-27
NR3443--MA0149.1.EWSR1-FLI1	chr14	101470137	101470154	+	0.000	0.000	Merged-chr14-101470106-24
NR4925--MA0475.2.FLI1	chr18	46013433	46013442	+	0.000	0.000	Merged-chr18-46013388-48
NR85--MA0149.1.EWSR1-FLI1	chr1	42952934	42952951	-	0.000	0.000	Merged-chr1-42953184-68
NR7644--MA0475.2.FLI1	chr4	131696205	131696214	+	0.000	0.000	Merged-chr4-131696229-22
NR7333--MA0149.1.EWSR1-FLI1	chr4	63486660	63486677	+	0.000	0.000	Merged-chr4-63486767-20
NR11163--MA0149.1.EWSR1-FLI1	chrX	133887433	133887450	+	0.000	0.000	Merged-chrX-133887516-30
NR6016--MA0149.1.EWSR1-FLI1	chr2	112676870	112676887	-	0.000	0.000	Merged-chr2-112676754-32
NR10726--MA0149.1.EWSR1-FLI1	chr9	89832203	89832220	-	0.000	0.000	Merged-chr9-89832115-19
NR6251--MA0149.1.EWSR1-FLI1	chr2	152082048	152082065	-	0.000	0.000	Merged-chr2-152081946-31
NR3953--MA0149.1.EWSR1-FLI1	chr16	4913168	4913185	+	0.000	0.000	Merged-chr16-4913166-6
NR166--MA0149.1.EWSR1-FLI1	chr1	73941071	73941088	+	0.000	0.000	Merged-chr1-73940938-50
NR2411--MA0149.1.EWSR1-FLI1	chr12	105008942	105008959	-	0.000	0.000	Merged-chr12-105009031-28
NR6417--MA0149.1.EWSR1-FLI1	chr2	174442601	174442618	-	0.000	0.000	Merged-chr2-174442618-24
NR7843--MA0149.1.EWSR1-FLI1	chr4	154936718	154936735	+	0.000	0.000	Merged-chr4-154936813-27
NR5347--MA0149.1.EWSR1-FLI1	chr19	37535289	37535306	+	0.000	0.000	Merged-chr19-37535192-30
NR7188--MA0149.1.EWSR1-FLI1	chr4	11084836	11084853	-	0.000	0.000	Merged-chr4-11084883-37
NR5394--MA0149.1.EWSR1-FLI1	chr19	46148483	46148500	-	0.000	0.000	Merged-chr19-46148494-21
NR9678--MA0475.2.FLI1	chr7	117486558	117486567	-	0.000	0.000	Merged-chr7-117486695-46
NR646--MA0149.1.EWSR1-FLI1	chr1	175672088	175672105	+	0.000	0.000	Merged-chr1-175671979-22
NR3806--MA0475.2.FLI1	chr15	85042661	85042670	+	0.000	0.000	Merged-chr15-85042702-72
NR4035--MA0149.1.EWSR1-FLI1	chr16	24238582	24238599	+	0.000	0.000	Merged-chr16-24238458-30
NR5789--MA0475.2.FLI1	chr2	61483987	61483996	-	0.000	0.000	Merged-chr2-61484018-22
NR2424--MA0149.1.EWSR1-FLI1	chr12	107184677	107184694	+	0.000	0.000	Merged-chr12-107184537-40
NR10648--MA0149.1.EWSR1-FLI1	chr9	77456786	77456803	+	0.000	0.000	Merged-chr9-77456588-28
NR4762--MA0149.1.EWSR1-FLI1	chr17	85023575	85023592	-	0.000	0.000	Merged-chr17-85023702-53
NR8616--MA0475.2.FLI1	chr6	30227487	30227496	-	0.000	0.000	Merged-chr6-30227395-32
NR1337--MA0149.1.EWSR1-FLI1	chr10	117118579	117118596	+	0.000	0.000	Merged-chr10-117118585-40
NR8810--MA0149.1.EWSR1-FLI1	chr6	83193810	83193827	+	0.000	0.000	Merged-chr6-83193737-15
NR1274--MA0475.2.FLI1	chr10	99268584	99268593	-	0.000	0.000	Merged-chr10-99268470-1
NR87--MA0149.1.EWSR1-FLI1	chr1	42953105	42953122	-	0.000	0.000	Merged-chr1-42953184-68
