#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf4/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR479--MA0641.1.ELF4	chr12	72844375	72844386	-	0.000	0.000	Merged-chr12-72844339-47
NR385--MA0641.1.ELF4	chr11	95367263	95367274	-	0.000	0.000	Merged-chr11-95367219-42
NR2255--MA0641.1.ELF4	chr9	42158845	42158856	+	0.000	0.000	Merged-chr9-42158908-46
NR1725--MA0641.1.ELF4	chr5	65653942	65653953	+	0.000	0.000	Merged-chr5-65654078-14
NR1067--MA0641.1.ELF4	chr18	32994120	32994131	-	0.000	0.000	Merged-chr18-32994204-28
NR2157--MA0641.1.ELF4	chr8	72363577	72363588	-	0.000	0.000	Merged-chr8-72363600-16
NR1515--MA0641.1.ELF4	chr3	136698019	136698030	+	0.000	0.000	Merged-chr3-136697993-45
NR511--MA0641.1.ELF4	chr12	103059221	103059232	-	0.000	0.000	Merged-chr12-103059282-39
NR990--MA0641.1.ELF4	chr17	45488789	45488800	+	0.000	0.000	Merged-chr17-45488824-86
NR1305--MA0641.1.ELF4	chr2	117374443	117374454	+	0.000	0.000	Merged-chr2-117374468-47
NR1529--MA0641.1.ELF4	chr3	148419859	148419870	+	0.000	0.000	Merged-chr3-148419698-33
NR1270--MA0641.1.ELF4	chr2	79122881	79122892	-	0.000	0.000	Merged-chr2-79122721-3
NR1127--MA0641.1.ELF4	chr18	80686236	80686247	-	0.000	0.000	Merged-chr18-80686265-50
NR1942--MA0641.1.ELF4	chr6	127617402	127617413	-	0.000	0.000	Merged-chr6-127617353-34
NR1965--MA0641.1.ELF4	chr6	144670587	144670598	+	0.000	0.000	Merged-chr6-144670724-72
NR2285--MA0641.1.ELF4	chr9	62455348	62455359	-	0.000	0.000	Merged-chr9-62455455-9
NR18--MA0641.1.ELF4	chr1	51934712	51934723	-	0.000	0.000	Merged-chr1-51934774-44
NR1657--MA0641.1.ELF4	chr4	135475556	135475567	+	0.000	0.000	Merged-chr4-135475652-18
NR1442--MA0641.1.ELF4	chr3	84715253	84715264	-	0.000	0.000	Merged-chr3-84715324-47
NR2416--MA0641.1.ELF4	chrX	136986218	136986229	+	0.000	0.000	Merged-chrX-136986316-28
NR1250--MA0641.1.ELF4	chr2	53088932	53088943	+	0.000	0.000	Merged-chr2-53088913-36
NR327--MA0641.1.ELF4	chr11	57958442	57958453	+	0.000	0.000	Merged-chr11-57958407-27
NR233--MA0641.1.ELF4	chr10	83330422	83330433	-	0.000	0.000	Merged-chr10-83330457-45
NR247--MA0641.1.ELF4	chr10	95180325	95180336	-	0.000	0.000	Merged-chr10-95180406-32
NR1954--MA0641.1.ELF4	chr6	135218513	135218524	-	0.000	0.000	Merged-chr6-135218530-45
NR1511--MA0641.1.ELF4	chr3	133583962	133583973	+	0.000	0.000	Merged-chr3-133583850-2
NR57--MA0641.1.ELF4	chr1	120055653	120055664	+	0.000	0.000	Merged-chr1-120055701-50
NR1007--MA0641.1.ELF4	chr17	50084088	50084099	-	0.000	0.000	Merged-chr17-50084129-24
NR491--MA0641.1.ELF4	chr12	80433406	80433417	+	0.000	0.000	Merged-chr12-80433447-22
NR2348--MA0641.1.ELF4	chr9	116181762	116181773	-	0.000	0.000	Merged-chr9-116181803-43
NR1294--MA0641.1.ELF4	chr2	103754816	103754827	-	0.000	0.000	Merged-chr2-103754819-28
NR510--MA0641.1.ELF4	chr12	102945744	102945755	+	0.000	0.000	Merged-chr12-102945751-11
NR1617--MA0641.1.ELF4	chr4	121024096	121024107	+	0.000	0.000	Merged-chr4-121024111-11
NR1523--MA0641.1.ELF4	chr3	142281042	142281053	-	0.000	0.000	Merged-chr3-142281213-32
NR1653--MA0641.1.ELF4	chr4	134117194	134117205	-	0.000	0.000	Merged-chr4-134117148-42
NR197--MA0641.1.ELF4	chr10	60808641	60808652	-	0.000	0.000	Merged-chr10-60808629-25
NR1000--MA0641.1.ELF4	chr17	47293385	47293396	-	0.000	0.000	Merged-chr17-47293551-33
NR2207--MA0641.1.ELF4	chr8	122463912	122463923	-	0.000	0.000	Merged-chr8-122464115-42
NR901--MA0641.1.ELF4	chr16	90475941	90475952	-	0.000	0.000	Merged-chr16-90475942-51
NR2319--MA0641.1.ELF4	chr9	96896905	96896916	+	0.000	0.000	Merged-chr9-96896917-17
NR2006--MA0641.1.ELF4	chr7	44741442	44741453	+	0.000	0.000	Merged-chr7-44741502-14
NR808--MA0641.1.ELF4	chr15	80319499	80319510	-	0.000	0.000	Merged-chr15-80319451-11
NR1665--MA0641.1.ELF4	chr4	138975427	138975438	-	0.000	0.000	Merged-chr4-138975429-9
NR796--MA0641.1.ELF4	chr15	78248552	78248563	-	0.000	0.000	Merged-chr15-78248653-25
NR1030--MA0641.1.ELF4	chr17	84368603	84368614	-	0.000	0.000	Merged-chr17-84368765-10
NR698--MA0641.1.ELF4	chr14	62845239	62845250	+	0.000	0.000	Merged-chr14-62845397-18
NR1138--MA0641.1.ELF4	chr19	5571989	5572000	+	0.000	0.000	Merged-chr19-5572133-30
NR1277--MA0641.1.ELF4	chr2	85014107	85014118	-	0.000	0.000	Merged-chr2-85014071-48
NR1958--MA0641.1.ELF4	chr6	137795293	137795304	+	0.000	0.000	Merged-chr6-137795480-24
NR641--MA0641.1.ELF4	chr13	113087844	113087855	-	0.000	0.000	Merged-chr13-113087664-28
NR1542--MA0641.1.ELF4	chr4	6924808	6924819	-	0.000	0.000	Merged-chr4-6924913-49
NR2301--MA0641.1.ELF4	chr9	72097346	72097357	-	0.000	0.000	Merged-chr9-72097262-35
NR1015--MA0641.1.ELF4	chr17	62857495	62857506	+	0.000	0.000	Merged-chr17-62857583-41
NR902--MA0641.1.ELF4	chr16	91780990	91781001	+	0.000	0.000	Merged-chr16-91781071-63
