#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR203--MA0098.3.ETS1	chr1	173432719	173432728	-	0.000	0.000	Merged-chr1-173432561-56
NR486--MA0098.3.ETS1	chr11	11726279	11726288	-	0.000	0.000	Merged-chr11-11726036-106
NR1401--MA0098.3.ETS1	chr16	48788812	48788821	-	0.000	0.000	Merged-chr16-48788871-49
NR2854--MA0098.3.ETS1	chr6	94681652	94681661	+	0.000	0.000	Merged-chr6-94681460-83
NR3058--MA0098.3.ETS1	chr7	79300684	79300693	-	0.000	0.000	Merged-chr7-79300921-71
NR1684--MA0098.3.ETS1	chr18	62192285	62192294	-	0.000	0.000	Merged-chr18-62192443-48
NR206--MA0098.3.ETS1	chr1	174040948	174040957	+	0.000	0.000	Merged-chr1-174041007-47
NR1931--MA0098.3.ETS1	chr2	57256213	57256222	+	0.000	0.000	Merged-chr2-57256116-15
NR3449--MA0098.3.ETS1	chr9	80318180	80318189	-	0.000	0.000	Merged-chr9-80318250-48
NR3140--MA0098.3.ETS1	chr7	120063133	120063142	-	0.000	0.000	Merged-chr7-120063262-12
NR1198--MA0098.3.ETS1	chr14	121478184	121478193	+	0.000	0.000	Merged-chr14-121478313-77
NR3083--MA0098.3.ETS1	chr7	89712051	89712060	+	0.000	0.000	Merged-chr7-89711964-5
NR580--MA0098.3.ETS1	chr11	72946544	72946553	-	0.000	0.000	Merged-chr11-72946553-29
NR549--MA0098.3.ETS1	chr11	61699090	61699099	-	0.000	0.000	Merged-chr11-61699049-20
NR240--MA0098.3.ETS1	chr1	184908700	184908709	+	0.000	0.000	Merged-chr1-184908710-36
NR576--MA0098.3.ETS1	chr11	71230866	71230875	-	0.000	0.000	Merged-chr11-71230864-28
NR3330--MA0098.3.ETS1	chr8	128433413	128433422	+	0.000	0.000	Merged-chr8-128433570-8
NR1043--MA0098.3.ETS1	chr13	112388412	112388421	+	0.000	0.000	Merged-chr13-112388467-40
NR160--MA0098.3.ETS1	chr1	160246107	160246116	+	0.000	0.000	Merged-chr1-160246205-43
NR1267--MA0098.3.ETS1	chr15	66507996	66508005	+	0.000	0.000	Merged-chr15-66508027-52
NR3326--MA0098.3.ETS1	chr8	125669770	125669779	+	0.000	0.000	Merged-chr8-125669948-44
NR1187--MA0098.3.ETS1	chr14	118926632	118926641	-	0.000	0.000	Merged-chr14-118926822-16
NR828--MA0098.3.ETS1	chr12	100165008	100165017	+	0.000	0.000	Merged-chr12-100165165-51
NR3367--MA0098.3.ETS1	chr9	35495702	35495711	+	0.000	0.000	Merged-chr9-35495678-50
NR2080--MA0098.3.ETS1	chr2	153504647	153504656	+	0.000	0.000	Merged-chr2-153504720-17
NR3282--MA0098.3.ETS1	chr8	106821492	106821501	+	0.000	0.000	Merged-chr8-106821433-20
NR3175--MA0098.3.ETS1	chr7	144444949	144444958	+	0.000	0.000	Merged-chr7-144445036-55
NR2636--MA0098.3.ETS1	chr5	99495575	99495584	-	0.000	0.000	Merged-chr5-99495568-41
NR207--MA0098.3.ETS1	chr1	177383082	177383091	-	0.000	0.000	Merged-chr1-177382915-26
NR1587--MA0098.3.ETS1	chr17	79578810	79578819	-	0.000	0.000	Merged-chr17-79578807-24
NR131--MA0098.3.ETS1	chr1	133012490	133012499	+	0.000	0.000	Merged-chr1-133012523-20
NR1870--MA0098.3.ETS1	chr2	26623188	26623197	+	0.000	0.000	Merged-chr2-26623162-26
NR2764--MA0098.3.ETS1	chr5	150840733	150840742	-	0.000	0.000	Merged-chr5-150840546-64
NR1464--MA0098.3.ETS1	chr17	21463688	21463697	+	0.000	0.000	Merged-chr17-21463736-49
NR429--MA0098.3.ETS1	chr10	118854806	118854815	+	0.000	0.000	Merged-chr10-118854630-50
NR3523--MA0098.3.ETS1	chr9	120476547	120476556	-	0.000	0.000	Merged-chr9-120476447-20
NR2111--MA0098.3.ETS1	chr2	165453487	165453496	-	0.000	0.000	Merged-chr2-165453384-56
NR2317--MA0098.3.ETS1	chr3	148491391	148491400	+	0.000	0.000	Merged-chr3-148491583-74
NR2945--MA0098.3.ETS1	chr6	144919925	144919934	-	0.000	0.000	Merged-chr6-144919933-48
NR3247--MA0098.3.ETS1	chr8	77292819	77292828	+	0.000	0.000	Merged-chr8-77292720-71
NR306--MA0098.3.ETS1	chr10	40451971	40451980	-	0.000	0.000	Merged-chr10-40451996-39
NR1319--MA0098.3.ETS1	chr15	92134529	92134538	+	0.000	0.000	Merged-chr15-92134460-52
NR1798--MA0098.3.ETS1	chr19	44281187	44281196	+	0.000	0.000	Merged-chr19-44281022-35
NR208--MA0098.3.ETS1	chr1	177428018	177428027	+	0.000	0.000	Merged-chr1-177428223-43
NR459--MA0098.3.ETS1	chr10	128940648	128940657	+	0.000	0.000	Merged-chr10-128940717-41
NR1181--MA0098.3.ETS1	chr14	118173676	118173685	+	0.000	0.000	Merged-chr14-118173746-41
NR1714--MA0098.3.ETS1	chr18	79303632	79303641	-	0.000	0.000	Merged-chr18-79303705-44
NR182--MA0098.3.ETS1	chr1	170167961	170167970	+	0.000	0.000	Merged-chr1-170167960-28
NR760--MA0098.3.ETS1	chr12	35554503	35554512	-	0.000	0.000	Merged-chr12-35554359-27
NR3165--MA0098.3.ETS1	chr7	137476590	137476599	-	0.000	0.000	Merged-chr7-137476773-22
NR2765--MA0098.3.ETS1	chr5	150921624	150921633	+	0.000	0.000	Merged-chr5-150921711-28
NR2895--MA0098.3.ETS1	chr6	119635733	119635742	-	0.000	0.000	Merged-chr6-119635924-52
NR2685--MA0098.3.ETS1	chr5	117107584	117107593	-	0.000	0.000	Merged-chr5-117107665-16
NR1730--MA0098.3.ETS1	chr18	89340576	89340585	+	0.000	0.000	Merged-chr18-89340691-47
NR3328--MA0098.3.ETS1	chr8	126662877	126662886	+	0.000	0.000	Merged-chr8-126662975-49
NR292--MA0098.3.ETS1	chr10	30537606	30537615	-	0.000	0.000	Merged-chr10-30537547-6
NR1095--MA0098.3.ETS1	chr14	46578293	46578302	-	0.000	0.000	Merged-chr14-46578431-37
NR320--MA0098.3.ETS1	chr10	54026806	54026815	+	0.000	0.000	Merged-chr10-54026892-40
NR307--MA0098.3.ETS1	chr10	40713418	40713427	-	0.000	0.000	Merged-chr10-40713251-44
NR437--MA0098.3.ETS1	chr10	121264130	121264139	+	0.000	0.000	Merged-chr10-121264138-48
NR361--MA0098.3.ETS1	chr10	80658985	80658994	-	0.000	0.000	Merged-chr10-80658824-84
NR393--MA0098.3.ETS1	chr10	94523914	94523923	+	0.000	0.000	Merged-chr10-94523917-65
NR2855--MA0098.3.ETS1	chr6	94761059	94761068	+	0.000	0.000	Merged-chr6-94761021-48
NR2994--MA0098.3.ETS1	chr7	25835735	25835744	-	0.000	0.000	Merged-chr7-25835602-47
NR1000--MA0098.3.ETS1	chr13	95427670	95427679	-	0.000	0.000	Merged-chr13-95427714-10
NR2341--MA0098.3.ETS1	chr4	10770274	10770283	-	0.000	0.000	Merged-chr4-10770192-53
NR3477--MA0098.3.ETS1	chr9	102622579	102622588	-	0.000	0.000	Merged-chr9-102622526-34
NR504--MA0098.3.ETS1	chr11	32000047	32000056	+	0.000	0.000	Merged-chr11-32000120-91
