#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR1396--MA0098.3.ETS1	chr16	35743076	35743085	+	0.000	0.000	Merged-chr16-35743015-1
NR710--MA0098.3.ETS1	chr12	13518319	13518328	-	0.000	0.000	Merged-chr12-13518316-35
NR155--MA0098.3.ETS1	chr1	141884576	141884585	+	0.000	0.000	Merged-chr1-141884458-46
NR3464--MA0098.3.ETS1	chr9	123836052	123836061	+	0.000	0.000	Merged-chr9-123836013-41
NR2034--MA0098.3.ETS1	chr2	127923488	127923497	-	0.000	0.000	Merged-chr2-127923410-36
NR2916--MA0098.3.ETS1	chr6	142561312	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR1168--MA0098.3.ETS1	chr14	103850710	103850719	+	0.000	0.000	Merged-chr14-103850623-36
NR3348--MA0098.3.ETS1	chr9	56419116	56419125	-	0.000	0.000	Merged-chr9-56419056-3
NR939--MA0098.3.ETS1	chr13	60897592	60897601	+	0.000	0.000	Merged-chr13-60897577-48
NR877--MA0098.3.ETS1	chr13	32993570	32993579	+	0.000	0.000	Merged-chr13-32993550-50
NR1568--MA0098.3.ETS1	chr17	73952404	73952413	+	0.000	0.000	Merged-chr17-73952254-58
NR2555--MA0098.3.ETS1	chr5	3463341	3463350	-	0.000	0.000	Merged-chr5-3463365-33
NR2215--MA0098.3.ETS1	chr3	87846986	87846995	-	0.000	0.000	Merged-chr3-87846918-77
NR3220--MA0098.3.ETS1	chr8	91082198	91082207	+	0.000	0.000	Merged-chr8-91082333-75
NR359--MA0098.3.ETS1	chr10	76271454	76271463	+	0.000	0.000	Merged-chr10-76271555-43
NR1981--MA0098.3.ETS1	chr2	103754816	103754825	-	0.000	0.000	Merged-chr2-103754819-28
NR2037--MA0098.3.ETS1	chr2	129180179	129180188	-	0.000	0.000	Merged-chr2-129180074-1
NR3239--MA0098.3.ETS1	chr8	106821492	106821501	+	0.000	0.000	Merged-chr8-106821433-20
NR987--MA0098.3.ETS1	chr13	98832685	98832694	-	0.000	0.000	Merged-chr13-98832743-37
NR1888--MA0098.3.ETS1	chr2	44345117	44345126	-	0.000	0.000	Merged-chr2-44345197-78
NR1333--MA0098.3.ETS1	chr15	101388299	101388308	+	0.000	0.000	Merged-chr15-101388154-52
NR2893--MA0098.3.ETS1	chr6	130340468	130340477	+	0.000	0.000	Merged-chr6-130340402-11
NR777--MA0098.3.ETS1	chr12	82469835	82469844	-	0.000	0.000	Merged-chr12-82469736-1
NR562--MA0098.3.ETS1	chr11	67532356	67532365	+	0.000	0.000	Merged-chr11-67532343-16
NR1593--MA0098.3.ETS1	chr17	88123916	88123925	-	0.000	0.000	Merged-chr17-88123873-45
NR1920--MA0098.3.ETS1	chr2	69415326	69415335	+	0.000	0.000	Merged-chr2-69415236-25
NR160--MA0098.3.ETS1	chr1	144300848	144300857	+	0.000	0.000	Merged-chr1-144301040-48
NR1057--MA0098.3.ETS1	chr14	16256337	16256346	-	0.000	0.000	Merged-chr14-16256161-59
NR2832--MA0098.3.ETS1	chr6	94761059	94761068	+	0.000	0.000	Merged-chr6-94761021-48
NR3385--MA0098.3.ETS1	chr9	73073390	73073399	-	0.000	0.000	Merged-chr9-73073244-62
NR1859--MA0098.3.ETS1	chr2	27693852	27693861	+	0.000	0.000	Merged-chr2-27693880-30
NR1765--MA0098.3.ETS1	chr19	31337438	31337447	-	0.000	0.000	Merged-chr19-31337298-1
NR3054--MA0098.3.ETS1	chr7	92134372	92134381	+	0.000	0.000	Merged-chr7-92134434-38
NR1537--MA0098.3.ETS1	chr17	51814554	51814563	+	0.000	0.000	Merged-chr17-51814512-17
NR435--MA0098.3.ETS1	chr10	118556666	118556675	+	0.000	0.000	Merged-chr10-118556627-31
NR574--MA0098.3.ETS1	chr11	71230866	71230875	-	0.000	0.000	Merged-chr11-71230864-28
NR2350--MA0098.3.ETS1	chr4	10770274	10770283	-	0.000	0.000	Merged-chr4-10770192-53
NR2574--MA0098.3.ETS1	chr5	28269924	28269933	-	0.000	0.000	Merged-chr5-28269924-54
NR3342--MA0098.3.ETS1	chr9	50525802	50525811	+	0.000	0.000	Merged-chr9-50525750-20
NR2270--MA0098.3.ETS1	chr3	116434965	116434974	+	0.000	0.000	Merged-chr3-116434903-21
NR266--MA0098.3.ETS1	chr1	193181166	193181175	+	0.000	0.000	Merged-chr1-193181317-39
NR2248--MA0098.3.ETS1	chr3	102755966	102755975	-	0.000	0.000	Merged-chr3-102756086-59
NR988--MA0098.3.ETS1	chr13	98832913	98832922	-	0.000	0.000	Merged-chr13-98832743-37
NR2531--MA0098.3.ETS1	chr4	144906956	144906965	-	0.000	0.000	Merged-chr4-144906777-28
NR1786--MA0098.3.ETS1	chr19	43917306	43917315	+	0.000	0.000	Merged-chr19-43917229-61
NR433--MA0098.3.ETS1	chr10	118419144	118419153	+	0.000	0.000	Merged-chr10-118419236-59
NR1151--MA0098.3.ETS1	chr14	73290133	73290142	-	0.000	0.000	Merged-chr14-73290096-39
NR810--MA0098.3.ETS1	chr12	103116799	103116808	+	0.000	0.000	Merged-chr12-103116842-39
NR1935--MA0098.3.ETS1	chr2	75685573	75685582	-	0.000	0.000	Merged-chr2-75685689-38
NR170--MA0098.3.ETS1	chr1	153288175	153288184	+	0.000	0.000	Merged-chr1-153288080-22
NR3041--MA0098.3.ETS1	chr7	81075488	81075497	+	0.000	0.000	Merged-chr7-81075371-56
NR60--MA0098.3.ETS1	chr1	69454208	69454217	+	0.000	0.000	Merged-chr1-69454132-24
NR1663--MA0098.3.ETS1	chr18	62192285	62192294	-	0.000	0.000	Merged-chr18-62192443-48
NR2413--MA0098.3.ETS1	chr4	72184648	72184657	-	0.000	0.000	Merged-chr4-72184753-17
NR208--MA0098.3.ETS1	chr1	170861808	170861817	-	0.000	0.000	Merged-chr1-170861853-46
NR1812--MA0098.3.ETS1	chr19	57970720	57970729	-	0.000	0.000	Merged-chr19-57970893-58
NR2235--MA0098.3.ETS1	chr3	95673045	95673054	-	0.000	0.000	Merged-chr3-95672932-76
NR249--MA0098.3.ETS1	chr1	184005865	184005874	+	0.000	0.000	Merged-chr1-184005889-70
NR3209--MA0098.3.ETS1	chr8	84127365	84127374	-	0.000	0.000	Merged-chr8-84127420-70
NR294--MA0098.3.ETS1	chr10	21419395	21419404	-	0.000	0.000	Merged-chr10-21419295-38
NR169--MA0098.3.ETS1	chr1	153085256	153085265	+	0.000	0.000	Merged-chr1-153085366-59
NR2742--MA0098.3.ETS1	chr5	148769579	148769588	-	0.000	0.000	Merged-chr5-148769647-40
NR1442--MA0098.3.ETS1	chr16	93586579	93586588	+	0.000	0.000	Merged-chr16-93586455-1
NR1429--MA0098.3.ETS1	chr16	78560287	78560296	-	0.000	0.000	Merged-chr16-78560297-42
NR1483--MA0098.3.ETS1	chr17	27405822	27405831	-	0.000	0.000	Merged-chr17-27405803-19
NR3314--MA0098.3.ETS1	chr9	25429996	25430005	+	0.000	0.000	Merged-chr9-25429934-32
NR1936--MA0098.3.ETS1	chr2	75763469	75763478	+	0.000	0.000	Merged-chr2-75763426-31
NR158--MA0098.3.ETS1	chr1	143319721	143319730	-	0.000	0.000	Merged-chr1-143319719-34
NR825--MA0098.3.ETS1	chr12	111691371	111691380	-	0.000	0.000	Merged-chr12-111691386-42
NR1632--MA0098.3.ETS1	chr18	37926046	37926055	+	0.000	0.000	Merged-chr18-37926090-48
NR1762--MA0098.3.ETS1	chr19	27967790	27967799	-	0.000	0.000	Merged-chr19-27967760-35
NR973--MA0098.3.ETS1	chr13	93763110	93763119	+	0.000	0.000	Merged-chr13-93763032-30
NR1436--MA0098.3.ETS1	chr16	90475941	90475950	-	0.000	0.000	Merged-chr16-90475942-51
NR325--MA0098.3.ETS1	chr10	44420220	44420229	-	0.000	0.000	Merged-chr10-44420150-34
NR2674--MA0098.3.ETS1	chr5	115313781	115313790	+	0.000	0.000	Merged-chr5-115313738-19
NR1244--MA0098.3.ETS1	chr15	59795808	59795817	+	0.000	0.000	Merged-chr15-59795826-47
NR688--MA0098.3.ETS1	chr11	119677333	119677342	-	0.000	0.000	Merged-chr11-119677198-48
NR2558--MA0098.3.ETS1	chr5	8839291	8839300	-	0.000	0.000	Merged-chr5-8839426-88
NR227--MA0098.3.ETS1	chr1	177428018	177428027	+	0.000	0.000	Merged-chr1-177428223-43
NR3321--MA0098.3.ETS1	chr9	35495702	35495711	+	0.000	0.000	Merged-chr9-35495678-50
NR3433--MA0098.3.ETS1	chr9	110641209	110641218	-	0.000	0.000	Merged-chr9-110641188-21
NR1701--MA0098.3.ETS1	chr18	80686236	80686245	-	0.000	0.000	Merged-chr18-80686265-50
NR2903--MA0098.3.ETS1	chr6	135218513	135218522	-	0.000	0.000	Merged-chr6-135218530-45
NR2917--MA0098.3.ETS1	chr6	142561360	142561369	+	0.000	0.000	Merged-chr6-142561422-52
NR1751--MA0098.3.ETS1	chr19	18591201	18591210	+	0.000	0.000	Merged-chr19-18591291-34
NR295--MA0098.3.ETS1	chr10	21419426	21419435	-	0.000	0.000	Merged-chr10-21419295-38
NR1523--MA0098.3.ETS1	chr17	46829146	46829155	-	0.000	0.000	Merged-chr17-46829209-35
NR50--MA0098.3.ETS1	chr1	60758400	60758409	-	0.000	0.000	Merged-chr1-60758375-49
NR1528--MA0098.3.ETS1	chr17	48318953	48318962	+	0.000	0.000	Merged-chr17-48318964-29
NR645--MA0098.3.ETS1	chr11	106352111	106352120	-	0.000	0.000	Merged-chr11-106352092-27
NR3502--MA0098.3.ETS1	chrX	100504401	100504410	-	0.000	0.000	Merged-chrX-100504535-34
NR1309--MA0098.3.ETS1	chr15	92134529	92134538	+	0.000	0.000	Merged-chr15-92134460-52
NR1251--MA0098.3.ETS1	chr15	67045604	67045613	+	0.000	0.000	Merged-chr15-67045540-25
NR1578--MA0098.3.ETS1	chr17	83654791	83654800	-	0.000	0.000	Merged-chr17-83654883-58
NR1005--MA0098.3.ETS1	chr13	103412732	103412741	+	0.000	0.000	Merged-chr13-103412841-15
NR1135--MA0098.3.ETS1	chr14	65113807	65113816	-	0.000	0.000	Merged-chr14-65113927-33
NR579--MA0098.3.ETS1	chr11	75956819	75956828	+	0.000	0.000	Merged-chr11-75956797-42
NR239--MA0098.3.ETS1	chr1	180403885	180403894	-	0.000	0.000	Merged-chr1-180403715-60
NR2951--MA0098.3.ETS1	chr7	16024990	16024999	+	0.000	0.000	Merged-chr7-16024979-19
