#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf4/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR2200--MA0641.1.ELF4	chr8	68674366	68674377	+	0.000	0.000	Merged-chr8-68674402-29
NR2241--MA0641.1.ELF4	chr8	115878482	115878493	+	0.000	0.000	Merged-chr8-115878428-26
NR1035--MA0641.1.ELF4	chr17	21463686	21463697	+	0.000	0.000	Merged-chr17-21463736-49
NR385--MA0641.1.ELF4	chr11	68447529	68447540	+	0.000	0.000	Merged-chr11-68447453-15
NR1398--MA0641.1.ELF4	chr2	128367649	128367660	+	0.000	0.000	Merged-chr2-128367839-63
NR1640--MA0641.1.ELF4	chr4	98395854	98395865	-	0.000	0.000	Merged-chr4-98395963-63
NR1985--MA0641.1.ELF4	chr6	134414422	134414433	+	0.000	0.000	Merged-chr6-134414331-55
NR1793--MA0641.1.ELF4	chr5	107840731	107840742	+	0.000	0.000	Merged-chr5-107840807-27
NR56--MA0641.1.ELF4	chr1	87181023	87181034	+	0.000	0.000	Merged-chr1-87181117-21
NR338--MA0641.1.ELF4	chr11	6706997	6707008	-	0.000	0.000	Merged-chr11-6706975-16
NR2002--MA0641.1.ELF4	chr6	143954666	143954677	+	0.000	0.000	Merged-chr6-143954525-20
NR961--MA0641.1.ELF4	chr16	26668103	26668114	-	0.000	0.000	Merged-chr16-26667963-36
NR715--MA0641.1.ELF4	chr13	108072342	108072353	-	0.000	0.000	Merged-chr13-108072263-25
NR2089--MA0641.1.ELF4	chr7	79300684	79300695	-	0.000	0.000	Merged-chr7-79300921-71
NR2304--MA0641.1.ELF4	chr9	40746893	40746904	+	0.000	0.000	Merged-chr9-40746987-16
NR1362--MA0641.1.ELF4	chr2	84582317	84582328	-	0.000	0.000	Merged-chr2-84582461-28
NR1022--MA0641.1.ELF4	chr17	12656042	12656053	-	0.000	0.000	Merged-chr17-12655999-51
NR2224--MA0641.1.ELF4	chr8	106949061	106949072	-	0.000	0.000	Merged-chr8-106949012-29
NR2144--MA0641.1.ELF4	chr7	127922763	127922774	-	0.000	0.000	Merged-chr7-127922827-35
NR1090--MA0641.1.ELF4	chr17	45488789	45488800	+	0.000	0.000	Merged-chr17-45488824-86
NR610--MA0641.1.ELF4	chr13	5757341	5757352	-	0.000	0.000	Merged-chr13-5757363-53
NR1856--MA0641.1.ELF4	chr5	147022041	147022052	+	0.000	0.000	Merged-chr5-147021953-34
NR2194--MA0641.1.ELF4	chr8	46197039	46197050	-	0.000	0.000	Merged-chr8-46197044-15
NR2405--MA0641.1.ELF4	chr9	112186571	112186582	+	0.000	0.000	Merged-chr9-112186441-37
NR1351--MA0641.1.ELF4	chr2	70727367	70727378	+	0.000	0.000	Merged-chr2-70727299-23
NR2455--MA0641.1.ELF4	chrX	104488367	104488378	-	0.000	0.000	Merged-chrX-104488290-31
NR1783--MA0641.1.ELF4	chr5	98018296	98018307	+	0.000	0.000	Merged-chr5-98018284-53
NR636--MA0641.1.ELF4	chr13	36534398	36534409	+	0.000	0.000	Merged-chr13-36534554-32
NR1573--MA0641.1.ELF4	chr3	144232119	144232130	-	0.000	0.000	Merged-chr3-144232172-58
NR1112--MA0641.1.ELF4	chr17	63093413	63093424	+	0.000	0.000	Merged-chr17-63093276-29
NR1247--MA0641.1.ELF4	chr19	26414860	26414871	-	0.000	0.000	Merged-chr19-26414799-20
NR906--MA0641.1.ELF4	chr15	91587669	91587680	-	0.000	0.000	Merged-chr15-91587669-21
NR1610--MA0641.1.ELF4	chr4	44271232	44271243	-	0.000	0.000	Merged-chr4-44271283-50
NR2369--MA0641.1.ELF4	chr9	77514125	77514136	-	0.000	0.000	Merged-chr9-77514125-35
NR1660--MA0641.1.ELF4	chr4	122829288	122829299	+	0.000	0.000	Merged-chr4-122829434-12
NR1302--MA0641.1.ELF4	chr2	10581309	10581320	-	0.000	0.000	Merged-chr2-10581253-23
NR2289--MA0641.1.ELF4	chr9	21455327	21455338	-	0.000	0.000	Merged-chr9-21455385-20
NR1759--MA0641.1.ELF4	chr5	62815971	62815982	-	0.000	0.000	Merged-chr5-62815867-48
NR303--MA0641.1.ELF4	chr10	119005685	119005696	+	0.000	0.000	Merged-chr10-119005704-15
NR1549--MA0641.1.ELF4	chr3	123173833	123173844	+	0.000	0.000	Merged-chr3-123173705-1
NR2102--MA0641.1.ELF4	chr7	84143308	84143319	-	0.000	0.000	Merged-chr7-84143230-35
NR1030--MA0641.1.ELF4	chr17	17516535	17516546	-	0.000	0.000	Merged-chr17-17516616-15
NR1908--MA0641.1.ELF4	chr6	57449465	57449476	+	0.000	0.000	Merged-chr6-57449516-18
NR246--MA0641.1.ELF4	chr10	75446685	75446696	+	0.000	0.000	Merged-chr10-75446685-44
NR2474--MA0641.1.ELF4	chrX	169880551	169880562	+	0.000	0.000	Merged-chrX-169880422-92
NR2022--MA0641.1.ELF4	chr7	16197339	16197350	+	0.000	0.000	Merged-chr7-16197384-7
NR278--MA0641.1.ELF4	chr10	93356317	93356328	-	0.000	0.000	Merged-chr10-93356301-45
NR29--MA0641.1.ELF4	chr1	60016451	60016462	+	0.000	0.000	Merged-chr1-60016690-100
NR1784--MA0641.1.ELF4	chr5	98018332	98018343	+	0.000	0.000	Merged-chr5-98018284-53
NR1211--MA0641.1.ELF4	chr18	84874243	84874254	-	0.000	0.000	Merged-chr18-84874398-59
NR888--MA0641.1.ELF4	chr15	81254445	81254456	-	0.000	0.000	Merged-chr15-81254471-25
NR1686--MA0641.1.ELF4	chr4	137714433	137714444	-	0.000	0.000	Merged-chr4-137714339-14
NR481--MA0641.1.ELF4	chr11	118731985	118731996	-	0.000	0.000	Merged-chr11-118731916-25
