#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed
NR5945--MA0475.2.FLI1	chr19	43917306	43917315	+	0.000	0.000	Merged-chr19-43917229-61
NR720--MA0149.1.EWSR1-FLI1	chr1	165691720	165691737	-	0.000	0.000	Merged-chr1-165691684-32
NR5296--MA0475.2.FLI1	chr17	80067468	80067477	+	0.000	0.000	Merged-chr17-80067484-12
NR11477--MA0475.2.FLI1	chr8	124520795	124520804	+	0.000	0.000	Merged-chr8-124520851-52
NR10163--MA0149.1.EWSR1-FLI1	chr7	3453275	3453292	+	0.000	0.000	Merged-chr7-3453251-36
NR2310--MA0149.1.EWSR1-FLI1	chr11	119040970	119040987	-	0.000	0.000	Merged-chr11-119041092-76
NR6283--MA0475.2.FLI1	chr2	44960771	44960780	-	0.000	0.000	Merged-chr2-44960762-43
NR9353--MA0149.1.EWSR1-FLI1	chr5	146655596	146655613	+	0.000	0.000	Merged-chr5-146655552-37
NR2068--MA0149.1.EWSR1-FLI1	chr11	97133500	97133517	-	0.000	0.000	Merged-chr11-97133494-13
NR2765--MA0149.1.EWSR1-FLI1	chr12	112588754	112588771	-	0.000	0.000	Merged-chr12-112588954-88
NR7145--MA0475.2.FLI1	chr2	181377418	181377427	-	0.000	0.000	Merged-chr2-181377481-47
NR9499--MA0149.1.EWSR1-FLI1	chr6	43382541	43382558	-	0.000	0.000	Merged-chr6-43382669-61
NR3761--MA0149.1.EWSR1-FLI1	chr14	73175722	73175739	-	0.000	0.000	Merged-chr14-73175814-32
NR2009--MA0149.1.EWSR1-FLI1	chr11	85140008	85140025	-	0.000	0.000	Merged-chr11-85140096-67
NR11063--MA0149.1.EWSR1-FLI1	chr8	33636627	33636644	+	0.000	0.000	Merged-chr8-33636764-22
NR847--MA0475.2.FLI1	chr1	180403885	180403894	-	0.000	0.000	Merged-chr1-180403715-60
NR12389--MA0475.2.FLI1	chrX	113005495	113005504	+	0.000	0.000	Merged-chrX-113005437-15
NR10460--MA0475.2.FLI1	chr7	72280930	72280939	-	0.000	0.000	Merged-chr7-72280908-31
NR2244--MA0149.1.EWSR1-FLI1	chr11	113802660	113802677	+	0.000	0.000	Merged-chr11-113802652-27
NR4001--MA0149.1.EWSR1-FLI1	chr14	121422828	121422845	-	0.000	0.000	Merged-chr14-121422910-45
NR5835--MA0149.1.EWSR1-FLI1	chr19	10698422	10698439	+	0.000	0.000	Merged-chr19-10698600-31
NR10004--MA0475.2.FLI1	chr6	134333184	134333193	+	0.000	0.000	Merged-chr6-134333133-48
NR539--MA0475.2.FLI1	chr1	133763410	133763419	-	0.000	0.000	Merged-chr1-133763303-37
NR10740--MA0149.1.EWSR1-FLI1	chr7	122317130	122317147	-	0.000	0.000	Merged-chr7-122317075-24
NR9354--MA0149.1.EWSR1-FLI1	chr5	146655600	146655617	+	0.000	0.000	Merged-chr5-146655552-37
NR11685--MA0475.2.FLI1	chr9	56419116	56419125	-	0.000	0.000	Merged-chr9-56419056-3
NR2457--MA0149.1.EWSR1-FLI1	chr12	40018274	40018291	-	0.000	0.000	Merged-chr12-40018345-30
NR9080--MA0475.2.FLI1	chr5	115313781	115313790	+	0.000	0.000	Merged-chr5-115313738-19
NR584--MA0475.2.FLI1	chr1	141884576	141884585	+	0.000	0.000	Merged-chr1-141884458-46
NR11242--MA0475.2.FLI1	chr8	83573249	83573258	+	0.000	0.000	Merged-chr8-83573289-48
NR9980--MA0475.2.FLI1	chr6	130237920	130237929	-	0.000	0.000	Merged-chr6-130237898-58
NR8346--MA0149.1.EWSR1-FLI1	chr4	118162347	118162364	-	0.000	0.000	Merged-chr4-118162293-29
NR3762--MA0149.1.EWSR1-FLI1	chr14	73175726	73175743	-	0.000	0.000	Merged-chr14-73175814-32
NR11798--MA0149.1.EWSR1-FLI1	chr9	69034528	69034545	-	0.000	0.000	Merged-chr9-69034461-64
NR6160--MA0475.2.FLI1	chr2	27693852	27693861	+	0.000	0.000	Merged-chr2-27693880-30
NR5089--MA0149.1.EWSR1-FLI1	chr17	35841708	35841725	-	0.000	0.000	Merged-chr17-35841564-66
NR855--MA0149.1.EWSR1-FLI1	chr1	181212021	181212038	-	0.000	0.000	Merged-chr1-181211865-134
NR12216--MA0475.2.FLI1	chr9	123836052	123836061	+	0.000	0.000	Merged-chr9-123836013-41
NR2262--MA0149.1.EWSR1-FLI1	chr11	115403970	115403987	+	0.000	0.000	Merged-chr11-115403849-52
NR12055--MA0149.1.EWSR1-FLI1	chr9	110896899	110896916	-	0.000	0.000	Merged-chr9-110896831-29
NR121--MA0149.1.EWSR1-FLI1	chr1	43539862	43539879	-	0.000	0.000	Merged-chr1-43540017-49
NR4291--MA0149.1.EWSR1-FLI1	chr15	81514330	81514347	+	0.000	0.000	Merged-chr15-81514359-43
NR4002--MA0149.1.EWSR1-FLI1	chr14	121422886	121422903	-	0.000	0.000	Merged-chr14-121422910-45
NR2267--MA0475.2.FLI1	chr11	115646640	115646649	+	0.000	0.000	Merged-chr11-115646752-30
NR12136--MA0475.2.FLI1	chr9	119334505	119334514	-	0.000	0.000	Merged-chr9-119334532-37
NR11665--MA0149.1.EWSR1-FLI1	chr9	50537336	50537353	+	0.000	0.000	Merged-chr9-50537430-19
NR6335--MA0149.1.EWSR1-FLI1	chr2	52319517	52319534	+	0.000	0.000	Merged-chr2-52319482-58
NR2706--MA0475.2.FLI1	chr12	105001156	105001165	-	0.000	0.000	Merged-chr12-105001185-43
NR12051--MA0475.2.FLI1	chr9	110641209	110641218	-	0.000	0.000	Merged-chr9-110641188-21
NR2827--MA0475.2.FLI1	chr13	4191167	4191176	-	0.000	0.000	Merged-chr13-4191269-39
NR854--MA0475.2.FLI1	chr1	181212032	181212041	-	0.000	0.000	Merged-chr1-181211865-134
NR5322--MA0475.2.FLI1	chr17	83654791	83654800	-	0.000	0.000	Merged-chr17-83654883-58
NR4004--MA0475.2.FLI1	chr14	121917173	121917182	+	0.000	0.000	Merged-chr14-121916983-20
NR7184--MA0475.2.FLI1	chr3	19240050	19240059	-	0.000	0.000	Merged-chr3-19240113-21
NR3758--MA0149.1.EWSR1-FLI1	chr14	72863358	72863375	-	0.000	0.000	Merged-chr14-72863184-30
NR873--MA0149.1.EWSR1-FLI1	chr1	183266364	183266381	-	0.000	0.000	Merged-chr1-183266289-26
NR8735--MA0149.1.EWSR1-FLI1	chr5	31602567	31602584	+	0.000	0.000	Merged-chr5-31602596-35
NR6365--MA0149.1.EWSR1-FLI1	chr2	58906978	58906995	+	0.000	0.000	Merged-chr2-58907164-60
NR10111--MA0149.1.EWSR1-FLI1	chr6	145249575	145249592	-	0.000	0.000	Merged-chr6-145249454-6
NR1675--MA0475.2.FLI1	chr11	14142635	14142644	+	0.000	0.000	Merged-chr11-14142731-31
NR6244--MA0149.1.EWSR1-FLI1	chr2	35109417	35109434	+	0.000	0.000	Merged-chr2-35109643-133
NR5354--MA0475.2.FLI1	chr17	88123916	88123925	-	0.000	0.000	Merged-chr17-88123873-45
NR9042--MA0475.2.FLI1	chr5	108312789	108312798	-	0.000	0.000	Merged-chr5-108312691-63
NR4282--MA0475.2.FLI1	chr15	79900295	79900304	-	0.000	0.000	Merged-chr15-79900284-5
NR4806--MA0475.2.FLI1	chr16	78560287	78560296	-	0.000	0.000	Merged-chr16-78560297-42
NR5260--MA0475.2.FLI1	chr17	73952316	73952325	+	0.000	0.000	Merged-chr17-73952254-58
NR11453--MA0149.1.EWSR1-FLI1	chr8	120702229	120702246	+	0.000	0.000	Merged-chr8-120702084-56
NR3375--MA0149.1.EWSR1-FLI1	chr13	115179360	115179377	-	0.000	0.000	Merged-chr13-115179427-17
NR11819--MA0149.1.EWSR1-FLI1	chr9	72274958	72274975	-	0.000	0.000	Merged-chr9-72275130-67
NR4824--MA0475.2.FLI1	chr16	90475941	90475950	-	0.000	0.000	Merged-chr16-90475942-51
NR9081--MA0149.1.EWSR1-FLI1	chr5	115313804	115313821	+	0.000	0.000	Merged-chr5-115313738-19
NR4287--MA0149.1.EWSR1-FLI1	chr15	80896956	80896973	-	0.000	0.000	Merged-chr15-80896921-31
NR2797--MA0149.1.EWSR1-FLI1	chr12	117931913	117931930	+	0.000	0.000	Merged-chr12-117932032-25
NR3751--MA0149.1.EWSR1-FLI1	chr14	71113384	71113401	+	0.000	0.000	Merged-chr14-71113589-38
NR9862--MA0475.2.FLI1	chr6	115971427	115971436	+	0.000	0.000	Merged-chr6-115971349-10
NR6597--MA0475.2.FLI1	chr2	102850015	102850024	+	0.000	0.000	Merged-chr2-102849968-21
NR9309--MA0149.1.EWSR1-FLI1	chr5	139775735	139775752	+	0.000	0.000	Merged-chr5-139775648-51
NR2313--MA0149.1.EWSR1-FLI1	chr11	119166155	119166172	-	0.000	0.000	Merged-chr11-119166198-51
NR10349--MA0149.1.EWSR1-FLI1	chr7	43437109	43437126	+	0.000	0.000	Merged-chr7-43436818-56
NR3216--MA0475.2.FLI1	chr13	98832685	98832694	-	0.000	0.000	Merged-chr13-98832743-37
NR12107--MA0475.2.FLI1	chr9	116384319	116384328	+	0.000	0.000	Merged-chr9-116384318-47
NR7169--MA0149.1.EWSR1-FLI1	chr3	9853159	9853176	+	0.000	0.000	Merged-chr3-9853322-69
NR7374--MA0475.2.FLI1	chr3	87847890	87847899	+	0.000	0.000	Merged-chr3-87847872-25
NR10416--MA0149.1.EWSR1-FLI1	chr7	63925640	63925657	-	0.000	0.000	Merged-chr7-63925651-49
NR1614--MA0475.2.FLI1	chr10	127225898	127225907	-	0.000	0.000	Merged-chr10-127225928-35
NR627--MA0149.1.EWSR1-FLI1	chr1	153066632	153066649	-	0.000	0.000	Merged-chr1-153066628-19
NR6074--MA0475.2.FLI1	chr2	11801756	11801765	+	0.000	0.000	Merged-chr2-11801641-32
NR8594--MA0475.2.FLI1	chr4	149759748	149759757	+	0.000	0.000	Merged-chr4-149759725-31
NR8474--MA0149.1.EWSR1-FLI1	chr4	135873713	135873730	-	0.000	0.000	Merged-chr4-135873792-54
NR3376--MA0149.1.EWSR1-FLI1	chr13	115179364	115179381	-	0.000	0.000	Merged-chr13-115179427-17
NR10886--MA0475.2.FLI1	chr7	139156801	139156810	+	0.000	0.000	Merged-chr7-139156945-61
NR5889--MA0475.2.FLI1	chr19	27967790	27967799	-	0.000	0.000	Merged-chr19-27967760-35
NR10461--MA0475.2.FLI1	chr7	72344489	72344498	-	0.000	0.000	Merged-chr7-72344400-34
NR719--MA0149.1.EWSR1-FLI1	chr1	165691716	165691733	-	0.000	0.000	Merged-chr1-165691684-32
NR2199--MA0475.2.FLI1	chr11	109495276	109495285	-	0.000	0.000	Merged-chr11-109495099-18
NR5021--MA0475.2.FLI1	chr17	27405822	27405831	-	0.000	0.000	Merged-chr17-27405803-19
NR2702--MA0149.1.EWSR1-FLI1	chr12	104210025	104210042	-	0.000	0.000	Merged-chr12-104209958-42
NR9070--MA0149.1.EWSR1-FLI1	chr5	113830486	113830503	+	0.000	0.000	Merged-chr5-113830533-46
NR10738--MA0149.1.EWSR1-FLI1	chr7	122316988	122317005	-	0.000	0.000	Merged-chr7-122317075-24
NR1978--MA0149.1.EWSR1-FLI1	chr11	78600335	78600352	+	0.000	0.000	Merged-chr11-78600384-46
NR7375--MA0149.1.EWSR1-FLI1	chr3	87847888	87847905	+	0.000	0.000	Merged-chr3-87847872-25
NR1011--MA0475.2.FLI1	chr10	8065961	8065970	-	0.000	0.000	Merged-chr10-8065893-29
NR9792--MA0149.1.EWSR1-FLI1	chr6	100824749	100824766	-	0.000	0.000	Merged-chr6-100824678-47
NR8627--MA0475.2.FLI1	chr4	154927899	154927908	+	0.000	0.000	Merged-chr4-154927887-94
NR1615--MA0149.1.EWSR1-FLI1	chr10	127225957	127225974	+	0.000	0.000	Merged-chr10-127225928-35
NR6367--MA0149.1.EWSR1-FLI1	chr2	58906986	58907003	+	0.000	0.000	Merged-chr2-58907164-60
NR8433--MA0149.1.EWSR1-FLI1	chr4	130921106	130921123	+	0.000	0.000	Merged-chr4-130921297-32
NR8551--MA0475.2.FLI1	chr4	145264475	145264484	+	0.000	0.000	Merged-chr4-145264291-60
NR5522--MA0149.1.EWSR1-FLI1	chr18	50016984	50017001	-	0.000	0.000	Merged-chr18-50017066-69
NR9649--MA0149.1.EWSR1-FLI1	chr6	70774147	70774164	-	0.000	0.000	Merged-chr6-70773985-19
NR2878--MA0149.1.EWSR1-FLI1	chr13	23739567	23739584	+	0.000	0.000	Merged-chr13-23739426-131
NR7855--MA0149.1.EWSR1-FLI1	chr3	152920533	152920550	+	0.000	0.000	Merged-chr3-152920565-52
NR4247--MA0149.1.EWSR1-FLI1	chr15	76243448	76243465	+	0.000	0.000	Merged-chr15-76243326-45
NR124--MA0149.1.EWSR1-FLI1	chr1	43539869	43539886	-	0.000	0.000	Merged-chr1-43540017-49
NR2211--MA0149.1.EWSR1-FLI1	chr11	110897110	110897127	+	0.000	0.000	Merged-chr11-110897111-25
NR4309--MA0475.2.FLI1	chr15	83474145	83474154	+	0.000	0.000	Merged-chr15-83474258-63
NR604--MA0475.2.FLI1	chr1	144300848	144300857	+	0.000	0.000	Merged-chr1-144301040-48
NR12280--MA0475.2.FLI1	chrX	48433681	48433690	-	0.000	0.000	Merged-chrX-48433621-61
NR11853--MA0475.2.FLI1	chr9	80266661	80266670	+	0.000	0.000	Merged-chr9-80266579-55
NR851--MA0149.1.EWSR1-FLI1	chr1	181211754	181211771	+	0.000	0.000	Merged-chr1-181211865-134
NR4727--MA0149.1.EWSR1-FLI1	chr16	52468540	52468557	+	0.000	0.000	Merged-chr16-52468577-24
NR10535--MA0475.2.FLI1	chr7	81863361	81863370	+	0.000	0.000	Merged-chr7-81863346-31
NR5896--MA0475.2.FLI1	chr19	31337438	31337447	-	0.000	0.000	Merged-chr19-31337298-1
NR2320--MA0149.1.EWSR1-FLI1	chr11	119677126	119677143	-	0.000	0.000	Merged-chr11-119677198-48
NR3662--MA0149.1.EWSR1-FLI1	chr14	55913565	55913582	-	0.000	0.000	Merged-chr14-55913661-13
NR8434--MA0149.1.EWSR1-FLI1	chr4	130922202	130922219	-	0.000	0.000	Merged-chr4-130922235-36
NR6409--MA0475.2.FLI1	chr2	69002562	69002571	-	0.000	0.000	Merged-chr2-69002641-39
NR1621--MA0149.1.EWSR1-FLI1	chr10	127668319	127668336	+	0.000	0.000	Merged-chr10-127668367-39
NR5261--MA0475.2.FLI1	chr17	73952404	73952413	+	0.000	0.000	Merged-chr17-73952254-58
NR10077--MA0149.1.EWSR1-FLI1	chr6	142561289	142561306	+	0.000	0.000	Merged-chr6-142561422-52
NR7856--MA0149.1.EWSR1-FLI1	chr3	152920537	152920554	+	0.000	0.000	Merged-chr3-152920565-52
NR11948--MA0149.1.EWSR1-FLI1	chr9	96370161	96370178	+	0.000	0.000	Merged-chr9-96369990-33
NR10161--MA0149.1.EWSR1-FLI1	chr7	3289343	3289360	+	0.000	0.000	Merged-chr7-3289241-19
NR2721--MA0149.1.EWSR1-FLI1	chr12	107129505	107129522	-	0.000	0.000	Merged-chr12-107129420-39
NR9759--MA0149.1.EWSR1-FLI1	chr6	97222552	97222569	-	0.000	0.000	Merged-chr6-97222640-62
NR9025--MA0149.1.EWSR1-FLI1	chr5	105616210	105616227	+	0.000	0.000	Merged-chr5-105616345-34
NR11444--MA0149.1.EWSR1-FLI1	chr8	120049938	120049955	-	0.000	0.000	Merged-chr8-120050156-23
NR11627--MA0149.1.EWSR1-FLI1	chr9	42076482	42076499	-	0.000	0.000	Merged-chr9-42076417-27
NR8709--MA0149.1.EWSR1-FLI1	chr5	24776973	24776990	-	0.000	0.000	Merged-chr5-24777004-40
NR10044--MA0475.2.FLI1	chr6	137795295	137795304	+	0.000	0.000	Merged-chr6-137795480-24
NR585--MA0149.1.EWSR1-FLI1	chr1	141884592	141884609	-	0.000	0.000	Merged-chr1-141884458-46
NR1760--MA0149.1.EWSR1-FLI1	chr11	32580782	32580799	-	0.000	0.000	Merged-chr11-32580688-47
NR5091--MA0149.1.EWSR1-FLI1	chr17	35870329	35870346	+	0.000	0.000	Merged-chr17-35870412-57
NR2793--MA0149.1.EWSR1-FLI1	chr12	117579366	117579383	+	0.000	0.000	Merged-chr12-117579368-17
NR3217--MA0475.2.FLI1	chr13	98832913	98832922	-	0.000	0.000	Merged-chr13-98832743-37
NR568--MA0149.1.EWSR1-FLI1	chr1	138565006	138565023	-	0.000	0.000	Merged-chr1-138564947-10
NR9752--MA0149.1.EWSR1-FLI1	chr6	95621853	95621870	+	0.000	0.000	Merged-chr6-95621938-31
NR3804--MA0149.1.EWSR1-FLI1	chr14	76579899	76579916	-	0.000	0.000	Merged-chr14-76580010-38
NR11824--MA0475.2.FLI1	chr9	73073390	73073399	-	0.000	0.000	Merged-chr9-73073244-62
NR11536--MA0149.1.EWSR1-FLI1	chr9	14499342	14499359	+	0.000	0.000	Merged-chr9-14499189-81
NR11845--MA0149.1.EWSR1-FLI1	chr9	78641577	78641594	+	0.000	0.000	Merged-chr9-78641526-12
NR1088--MA0149.1.EWSR1-FLI1	chr10	26229629	26229646	-	0.000	0.000	Merged-chr10-26229708-29
NR1622--MA0149.1.EWSR1-FLI1	chr10	127668323	127668340	+	0.000	0.000	Merged-chr10-127668367-39
NR4392--MA0149.1.EWSR1-FLI1	chr15	99803291	99803308	+	0.000	0.000	Merged-chr15-99803335-29
NR3271--MA0475.2.FLI1	chr13	104139804	104139813	-	0.000	0.000	Merged-chr13-104139835-43
NR5997--MA0475.2.FLI1	chr19	57119789	57119798	+	0.000	0.000	Merged-chr19-57119872-11
NR5442--MA0475.2.FLI1	chr18	31911272	31911281	-	0.000	0.000	Merged-chr18-31911303-2
NR2393--MA0149.1.EWSR1-FLI1	chr12	16558233	16558250	-	0.000	0.000	Merged-chr12-16558216-24
NR9352--MA0149.1.EWSR1-FLI1	chr5	146655592	146655609	+	0.000	0.000	Merged-chr5-146655552-37
NR2965--MA0475.2.FLI1	chr13	45455804	45455813	+	0.000	0.000	Merged-chr13-45455779-40
NR2195--MA0475.2.FLI1	chr11	109432630	109432639	+	0.000	0.000	Merged-chr11-109432542-63
NR2719--MA0475.2.FLI1	chr12	107047408	107047417	+	0.000	0.000	Merged-chr12-107047336-65
NR2764--MA0149.1.EWSR1-FLI1	chr12	112588750	112588767	-	0.000	0.000	Merged-chr12-112588954-88
NR2947--MA0149.1.EWSR1-FLI1	chr13	43250837	43250854	+	0.000	0.000	Merged-chr13-43250604-89
NR3706--MA0475.2.FLI1	chr14	64628241	64628250	+	0.000	0.000	Merged-chr14-64628307-21
NR4160--MA0475.2.FLI1	chr15	59795808	59795817	+	0.000	0.000	Merged-chr15-59795826-47
NR5344--MA0475.2.FLI1	chr17	86833180	86833189	-	0.000	0.000	Merged-chr17-86833009-31
NR9498--MA0149.1.EWSR1-FLI1	chr6	43382530	43382547	-	0.000	0.000	Merged-chr6-43382669-61
NR3760--MA0149.1.EWSR1-FLI1	chr14	73175718	73175735	-	0.000	0.000	Merged-chr14-73175814-32
NR8653--MA0149.1.EWSR1-FLI1	chr5	5420113	5420130	-	0.000	0.000	Merged-chr5-5420247-39
NR5616--MA0149.1.EWSR1-FLI1	chr18	65695583	65695600	+	0.000	0.000	Merged-chr18-65695559-29
NR11062--MA0149.1.EWSR1-FLI1	chr8	33636623	33636640	+	0.000	0.000	Merged-chr8-33636764-22
NR2055--MA0149.1.EWSR1-FLI1	chr11	95834540	95834557	-	0.000	0.000	Merged-chr11-95834511-50
NR11454--MA0475.2.FLI1	chr8	120715572	120715581	+	0.000	0.000	Merged-chr8-120715474-36
NR11351--MA0475.2.FLI1	chr8	106821492	106821501	+	0.000	0.000	Merged-chr8-106821433-20
NR3765--MA0475.2.FLI1	chr14	73290133	73290142	-	0.000	0.000	Merged-chr14-73290096-39
NR4000--MA0149.1.EWSR1-FLI1	chr14	121422504	121422521	+	0.000	0.000	Merged-chr14-121422362-22
NR5829--MA0149.1.EWSR1-FLI1	chr19	8981026	8981043	-	0.000	0.000	Merged-chr19-8980902-23
NR11480--MA0149.1.EWSR1-FLI1	chr8	124700824	124700841	-	0.000	0.000	Merged-chr8-124700723-98
NR5936--MA0475.2.FLI1	chr19	41328888	41328897	+	0.000	0.000	Merged-chr19-41328970-48
NR9469--MA0149.1.EWSR1-FLI1	chr6	33618884	33618901	+	0.000	0.000	Merged-chr6-33618746-27
NR1539--MA0149.1.EWSR1-FLI1	chr10	117856383	117856400	-	0.000	0.000	Merged-chr10-117856410-16
NR4412--MA0475.2.FLI1	chr15	101388299	101388308	+	0.000	0.000	Merged-chr15-101388154-52
NR11028--MA0149.1.EWSR1-FLI1	chr8	22814409	22814426	-	0.000	0.000	Merged-chr8-22814386-45
NR11851--MA0149.1.EWSR1-FLI1	chr9	80252350	80252367	+	0.000	0.000	Merged-chr9-80252331-18
NR10938--MA0475.2.FLI1	chr7	144857337	144857346	+	0.000	0.000	Merged-chr7-144857340-18
NR11392--MA0475.2.FLI1	chr8	114815450	114815459	-	0.000	0.000	Merged-chr8-114815485-46
NR2577--MA0149.1.EWSR1-FLI1	chr12	82394090	82394107	-	0.000	0.000	Merged-chr12-82394298-69
NR10781--MA0149.1.EWSR1-FLI1	chr7	126704190	126704207	-	0.000	0.000	Merged-chr7-126704169-1
NR7433--MA0149.1.EWSR1-FLI1	chr3	94388098	94388115	+	0.000	0.000	Merged-chr3-94388255-39
NR7494--MA0475.2.FLI1	chr3	102755966	102755975	-	0.000	0.000	Merged-chr3-102756086-59
NR8345--MA0149.1.EWSR1-FLI1	chr4	118162343	118162360	-	0.000	0.000	Merged-chr4-118162293-29
NR9069--MA0149.1.EWSR1-FLI1	chr5	113830482	113830499	+	0.000	0.000	Merged-chr5-113830533-46
NR666--MA0149.1.EWSR1-FLI1	chr1	159812903	159812920	-	0.000	0.000	Merged-chr1-159812982-41
NR6606--MA0475.2.FLI1	chr2	103754816	103754825	-	0.000	0.000	Merged-chr2-103754819-28
NR6855--MA0149.1.EWSR1-FLI1	chr2	144231236	144231253	-	0.000	0.000	Merged-chr2-144231243-34
NR3205--MA0149.1.EWSR1-FLI1	chr13	97442606	97442623	+	0.000	0.000	Merged-chr13-97442585-64
NR2054--MA0475.2.FLI1	chr11	95805235	95805244	-	0.000	0.000	Merged-chr11-95805339-25
NR9650--MA0149.1.EWSR1-FLI1	chr6	70774151	70774168	-	0.000	0.000	Merged-chr6-70773985-19
NR10894--MA0475.2.FLI1	chr7	140857387	140857396	-	0.000	0.000	Merged-chr7-140857448-6
NR120--MA0149.1.EWSR1-FLI1	chr1	43539861	43539878	-	0.000	0.000	Merged-chr1-43540017-49
NR4285--MA0149.1.EWSR1-FLI1	chr15	80896924	80896941	-	0.000	0.000	Merged-chr15-80896921-31
NR12058--MA0475.2.FLI1	chr9	111046422	111046431	-	0.000	0.000	Merged-chr9-111046426-26
NR9858--MA0149.1.EWSR1-FLI1	chr6	115519280	115519297	-	0.000	0.000	Merged-chr6-115519250-24
NR9942--MA0149.1.EWSR1-FLI1	chr6	126836835	126836852	+	0.000	0.000	Merged-chr6-126836758-17
NR6334--MA0149.1.EWSR1-FLI1	chr2	52319513	52319530	+	0.000	0.000	Merged-chr2-52319482-58
NR5998--MA0149.1.EWSR1-FLI1	chr19	57131548	57131565	-	0.000	0.000	Merged-chr19-57131601-25
NR11847--MA0149.1.EWSR1-FLI1	chr9	79810584	79810601	+	0.000	0.000	Merged-chr9-79810670-36
