#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed
NR907--MA0098.3.ETS1	chr13	51736576	51736585	-	0.000	0.000	Merged-chr13-51736625-32
NR813--MA0098.3.ETS1	chr12	105001156	105001165	-	0.000	0.000	Merged-chr12-105001185-43
NR710--MA0098.3.ETS1	chr12	13518319	13518328	-	0.000	0.000	Merged-chr12-13518316-35
NR155--MA0098.3.ETS1	chr1	141884576	141884585	+	0.000	0.000	Merged-chr1-141884458-46
NR3464--MA0098.3.ETS1	chr9	123836052	123836061	+	0.000	0.000	Merged-chr9-123836013-41
NR2034--MA0098.3.ETS1	chr2	127923488	127923497	-	0.000	0.000	Merged-chr2-127923410-36
NR2916--MA0098.3.ETS1	chr6	142561312	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR267--MA0098.3.ETS1	chr1	193201472	193201481	+	0.000	0.000	Merged-chr1-193201306-86
NR3348--MA0098.3.ETS1	chr9	56419116	56419125	-	0.000	0.000	Merged-chr9-56419056-3
NR3133--MA0098.3.ETS1	chr7	144857337	144857346	+	0.000	0.000	Merged-chr7-144857340-18
NR939--MA0098.3.ETS1	chr13	60897592	60897601	+	0.000	0.000	Merged-chr13-60897577-48
NR729--MA0098.3.ETS1	chr12	33160617	33160626	-	0.000	0.000	Merged-chr12-33160530-65
NR2751--MA0098.3.ETS1	chr5	149599452	149599461	+	0.000	0.000	Merged-chr5-149599468-27
NR877--MA0098.3.ETS1	chr13	32993570	32993579	+	0.000	0.000	Merged-chr13-32993550-50
NR1568--MA0098.3.ETS1	chr17	73952404	73952413	+	0.000	0.000	Merged-chr17-73952254-58
NR2215--MA0098.3.ETS1	chr3	87846986	87846995	-	0.000	0.000	Merged-chr3-87846918-77
NR242--MA0098.3.ETS1	chr1	181212032	181212041	-	0.000	0.000	Merged-chr1-181211865-134
NR3435--MA0098.3.ETS1	chr9	111046422	111046431	-	0.000	0.000	Merged-chr9-111046426-26
NR3220--MA0098.3.ETS1	chr8	91082198	91082207	+	0.000	0.000	Merged-chr8-91082333-75
NR359--MA0098.3.ETS1	chr10	76271454	76271463	+	0.000	0.000	Merged-chr10-76271555-43
NR3453--MA0098.3.ETS1	chr9	119334505	119334514	-	0.000	0.000	Merged-chr9-119334532-37
NR3207--MA0098.3.ETS1	chr8	83573249	83573258	+	0.000	0.000	Merged-chr8-83573289-48
NR149--MA0098.3.ETS1	chr1	133763410	133763419	-	0.000	0.000	Merged-chr1-133763303-37
NR1193--MA0098.3.ETS1	chr14	121917173	121917182	+	0.000	0.000	Merged-chr14-121916983-20
NR1981--MA0098.3.ETS1	chr2	103754816	103754825	-	0.000	0.000	Merged-chr2-103754819-28
NR3239--MA0098.3.ETS1	chr8	106821492	106821501	+	0.000	0.000	Merged-chr8-106821433-20
NR987--MA0098.3.ETS1	chr13	98832685	98832694	-	0.000	0.000	Merged-chr13-98832743-37
NR1333--MA0098.3.ETS1	chr15	101388299	101388308	+	0.000	0.000	Merged-chr15-101388154-52
NR544--MA0098.3.ETS1	chr11	58096350	58096359	-	0.000	0.000	Merged-chr11-58096378-33
NR562--MA0098.3.ETS1	chr11	67532356	67532365	+	0.000	0.000	Merged-chr11-67532343-16
NR1575--MA0098.3.ETS1	chr17	80067468	80067477	+	0.000	0.000	Merged-chr17-80067484-12
NR1593--MA0098.3.ETS1	chr17	88123916	88123925	-	0.000	0.000	Merged-chr17-88123873-45
NR160--MA0098.3.ETS1	chr1	144300848	144300857	+	0.000	0.000	Merged-chr1-144301040-48
NR3429--MA0098.3.ETS1	chr9	108347947	108347956	+	0.000	0.000	Merged-chr9-108347879-58
NR1827--MA0098.3.ETS1	chr2	11801512	11801521	-	0.000	0.000	Merged-chr2-11801641-32
NR3250--MA0098.3.ETS1	chr8	114815450	114815459	-	0.000	0.000	Merged-chr8-114815485-46
NR1057--MA0098.3.ETS1	chr14	16256337	16256346	-	0.000	0.000	Merged-chr14-16256161-59
NR3483--MA0098.3.ETS1	chrX	48433681	48433690	-	0.000	0.000	Merged-chrX-48433621-61
NR846--MA0098.3.ETS1	chr13	4191167	4191176	-	0.000	0.000	Merged-chr13-4191269-39
NR3385--MA0098.3.ETS1	chr9	73073390	73073399	-	0.000	0.000	Merged-chr9-73073244-62
NR1859--MA0098.3.ETS1	chr2	27693852	27693861	+	0.000	0.000	Merged-chr2-27693880-30
NR1765--MA0098.3.ETS1	chr19	31337438	31337447	-	0.000	0.000	Merged-chr19-31337298-1
NR3054--MA0098.3.ETS1	chr7	92134372	92134381	+	0.000	0.000	Merged-chr7-92134434-38
NR2462--MA0098.3.ETS1	chr4	119812930	119812939	-	0.000	0.000	Merged-chr4-119812995-31
NR2216--MA0098.3.ETS1	chr3	87847890	87847899	+	0.000	0.000	Merged-chr3-87847872-25
NR2270--MA0098.3.ETS1	chr3	116434965	116434974	+	0.000	0.000	Merged-chr3-116434903-21
NR266--MA0098.3.ETS1	chr1	193181166	193181175	+	0.000	0.000	Merged-chr1-193181317-39
NR2248--MA0098.3.ETS1	chr3	102755966	102755975	-	0.000	0.000	Merged-chr3-102756086-59
NR2154--MA0098.3.ETS1	chr3	19240050	19240059	-	0.000	0.000	Merged-chr3-19240113-21
NR1082--MA0098.3.ETS1	chr14	31531989	31531998	-	0.000	0.000	Merged-chr14-31531950-40
NR3262--MA0098.3.ETS1	chr8	120715572	120715581	+	0.000	0.000	Merged-chr8-120715474-36
NR1978--MA0098.3.ETS1	chr2	102850015	102850024	+	0.000	0.000	Merged-chr2-102849968-21
NR2186--MA0098.3.ETS1	chr3	54567503	54567512	-	0.000	0.000	Merged-chr3-54567528-25
NR2862--MA0098.3.ETS1	chr6	115971342	115971351	-	0.000	0.000	Merged-chr6-115971349-10
NR661--MA0098.3.ETS1	chr11	109432630	109432639	+	0.000	0.000	Merged-chr11-109432542-63
NR988--MA0098.3.ETS1	chr13	98832913	98832922	-	0.000	0.000	Merged-chr13-98832743-37
NR1786--MA0098.3.ETS1	chr19	43917306	43917315	+	0.000	0.000	Merged-chr19-43917229-61
NR1428--MA0098.3.ETS1	chr16	78546776	78546785	+	0.000	0.000	Merged-chr16-78546881-68
NR675--MA0098.3.ETS1	chr11	115646640	115646649	+	0.000	0.000	Merged-chr11-115646752-30
NR1236--MA0098.3.ETS1	chr15	57921724	57921733	+	0.000	0.000	Merged-chr15-57921644-21
NR1133--MA0098.3.ETS1	chr14	64434253	64434262	-	0.000	0.000	Merged-chr14-64434245-45
NR1151--MA0098.3.ETS1	chr14	73290133	73290142	-	0.000	0.000	Merged-chr14-73290096-39
NR1008--MA0098.3.ETS1	chr13	104139804	104139813	-	0.000	0.000	Merged-chr13-104139835-43
NR577--MA0098.3.ETS1	chr11	72961894	72961903	+	0.000	0.000	Merged-chr11-72961970-1
NR698--MA0098.3.ETS1	chr12	3357055	3357064	+	0.000	0.000	Merged-chr12-3357028-35
NR2241--MA0098.3.ETS1	chr3	97796858	97796867	-	0.000	0.000	Merged-chr3-97796692-21
NR810--MA0098.3.ETS1	chr12	103116799	103116808	+	0.000	0.000	Merged-chr12-103116842-39
NR1156--MA0098.3.ETS1	chr14	75069764	75069773	-	0.000	0.000	Merged-chr14-75069632-2
NR3461--MA0098.3.ETS1	chr9	122246091	122246100	+	0.000	0.000	Merged-chr9-122246104-16
NR3121--MA0098.3.ETS1	chr7	136255785	136255794	-	0.000	0.000	Merged-chr7-136255803-24
NR3448--MA0098.3.ETS1	chr9	116384319	116384328	+	0.000	0.000	Merged-chr9-116384318-47
NR806--MA0098.3.ETS1	chr12	102332539	102332548	-	0.000	0.000	Merged-chr12-102332454-11
NR1828--MA0098.3.ETS1	chr2	11801756	11801765	+	0.000	0.000	Merged-chr2-11801641-32
NR2721--MA0098.3.ETS1	chr5	139775711	139775720	+	0.000	0.000	Merged-chr5-139775648-51
NR860--MA0098.3.ETS1	chr13	19139303	19139312	+	0.000	0.000	Merged-chr13-19139213-36
NR3041--MA0098.3.ETS1	chr7	81075488	81075497	+	0.000	0.000	Merged-chr7-81075371-56
NR1891--MA0098.3.ETS1	chr2	44960771	44960780	-	0.000	0.000	Merged-chr2-44960762-43
NR60--MA0098.3.ETS1	chr1	69454208	69454217	+	0.000	0.000	Merged-chr1-69454132-24
NR3078--MA0098.3.ETS1	chr7	112322521	112322530	-	0.000	0.000	Merged-chr7-112322491-46
NR557--MA0098.3.ETS1	chr11	62576653	62576662	-	0.000	0.000	Merged-chr11-62576695-29
NR1355--MA0098.3.ETS1	chr16	11448767	11448776	+	0.000	0.000	Merged-chr16-11448842-30
NR2539--MA0098.3.ETS1	chr4	149759748	149759757	+	0.000	0.000	Merged-chr4-149759725-31
NR687--MA0098.3.ETS1	chr11	119491366	119491375	+	0.000	0.000	Merged-chr11-119491430-54
NR2217--MA0098.3.ETS1	chr3	87847897	87847906	+	0.000	0.000	Merged-chr3-87847872-25
NR244--MA0098.3.ETS1	chr1	181860836	181860845	+	0.000	0.000	Merged-chr1-181860828-54
NR1812--MA0098.3.ETS1	chr19	57970720	57970729	-	0.000	0.000	Merged-chr19-57970893-58
NR1029--MA0098.3.ETS1	chr13	112398264	112398273	+	0.000	0.000	Merged-chr13-112398369-43
NR249--MA0098.3.ETS1	chr1	184005865	184005874	+	0.000	0.000	Merged-chr1-184005889-70
NR3209--MA0098.3.ETS1	chr8	84127365	84127374	-	0.000	0.000	Merged-chr8-84127420-70
NR3124--MA0098.3.ETS1	chr7	139197243	139197252	+	0.000	0.000	Merged-chr7-139197222-17
NR169--MA0098.3.ETS1	chr1	153085256	153085265	+	0.000	0.000	Merged-chr1-153085366-59
NR3272--MA0098.3.ETS1	chr8	124520795	124520804	+	0.000	0.000	Merged-chr8-124520851-52
NR3026--MA0098.3.ETS1	chr7	72280930	72280939	-	0.000	0.000	Merged-chr7-72280908-31
NR2742--MA0098.3.ETS1	chr5	148769579	148769588	-	0.000	0.000	Merged-chr5-148769647-40
NR2863--MA0098.3.ETS1	chr6	115971427	115971436	+	0.000	0.000	Merged-chr6-115971349-10
NR1442--MA0098.3.ETS1	chr16	93586579	93586588	+	0.000	0.000	Merged-chr16-93586455-1
NR3510--MA0098.3.ETS1	chrX	113005495	113005504	+	0.000	0.000	Merged-chrX-113005437-15
NR1429--MA0098.3.ETS1	chr16	78560287	78560296	-	0.000	0.000	Merged-chr16-78560297-42
NR1250--MA0098.3.ETS1	chr15	66718581	66718590	+	0.000	0.000	Merged-chr15-66718609-34
NR1483--MA0098.3.ETS1	chr17	27405822	27405831	-	0.000	0.000	Merged-chr17-27405803-19
NR1134--MA0098.3.ETS1	chr14	64628241	64628250	+	0.000	0.000	Merged-chr14-64628307-21
NR1806--MA0098.3.ETS1	chr19	57119789	57119798	+	0.000	0.000	Merged-chr19-57119872-11
NR158--MA0098.3.ETS1	chr1	143319721	143319730	-	0.000	0.000	Merged-chr1-143319719-34
NR825--MA0098.3.ETS1	chr12	111691371	111691380	-	0.000	0.000	Merged-chr12-111691386-42
NR1632--MA0098.3.ETS1	chr18	37926046	37926055	+	0.000	0.000	Merged-chr18-37926090-48
NR176--MA0098.3.ETS1	chr1	156921743	156921752	+	0.000	0.000	Merged-chr1-156921832-27
NR1762--MA0098.3.ETS1	chr19	27967790	27967799	-	0.000	0.000	Merged-chr19-27967760-35
NR973--MA0098.3.ETS1	chr13	93763110	93763119	+	0.000	0.000	Merged-chr13-93763032-30
NR2176--MA0098.3.ETS1	chr3	41604830	41604839	-	0.000	0.000	Merged-chr3-41604848-38
NR2194--MA0098.3.ETS1	chr3	59120171	59120180	-	0.000	0.000	Merged-chr3-59120352-78
NR2870--MA0098.3.ETS1	chr6	119199071	119199080	+	0.000	0.000	Merged-chr6-119199024-52
NR1436--MA0098.3.ETS1	chr16	90475941	90475950	-	0.000	0.000	Merged-chr16-90475942-51
NR2884--MA0098.3.ETS1	chr6	125524296	125524305	-	0.000	0.000	Merged-chr6-125524314-17
NR1669--MA0098.3.ETS1	chr18	65695559	65695568	+	0.000	0.000	Merged-chr18-65695559-29
NR2544--MA0098.3.ETS1	chr4	154927899	154927908	+	0.000	0.000	Merged-chr4-154927887-94
NR898--MA0098.3.ETS1	chr13	45455804	45455813	+	0.000	0.000	Merged-chr13-45455779-40
NR2674--MA0098.3.ETS1	chr5	115313781	115313790	+	0.000	0.000	Merged-chr5-115313738-19
NR1244--MA0098.3.ETS1	chr15	59795808	59795817	+	0.000	0.000	Merged-chr15-59795826-47
NR2213--MA0098.3.ETS1	chr3	86920519	86920528	-	0.000	0.000	Merged-chr3-86920469-86
NR688--MA0098.3.ETS1	chr11	119677333	119677342	-	0.000	0.000	Merged-chr11-119677198-48
NR473--MA0098.3.ETS1	chr11	14142635	14142644	+	0.000	0.000	Merged-chr11-14142731-31
NR1589--MA0098.3.ETS1	chr17	86833180	86833189	-	0.000	0.000	Merged-chr17-86833009-31
NR2558--MA0098.3.ETS1	chr5	8839291	8839300	-	0.000	0.000	Merged-chr5-8839426-88
NR3433--MA0098.3.ETS1	chr9	110641209	110641218	-	0.000	0.000	Merged-chr9-110641188-21
NR1916--MA0098.3.ETS1	chr2	69002562	69002571	-	0.000	0.000	Merged-chr2-69002641-39
NR1701--MA0098.3.ETS1	chr18	80686236	80686245	-	0.000	0.000	Merged-chr18-80686265-50
NR3451--MA0098.3.ETS1	chr9	118716122	118716131	-	0.000	0.000	Merged-chr9-118716150-51
NR263--MA0098.3.ETS1	chr1	191956516	191956525	-	0.000	0.000	Merged-chr1-191956552-42
NR2017--MA0098.3.ETS1	chr2	120970736	120970745	-	0.000	0.000	Merged-chr2-120970665-62
NR3353--MA0098.3.ETS1	chr9	57968557	57968566	+	0.000	0.000	Merged-chr9-57968801-58
NR1621--MA0098.3.ETS1	chr18	31911272	31911281	-	0.000	0.000	Merged-chr18-31911303-2
NR2917--MA0098.3.ETS1	chr6	142561360	142561369	+	0.000	0.000	Merged-chr6-142561422-52
NR1751--MA0098.3.ETS1	chr19	18591201	18591210	+	0.000	0.000	Merged-chr19-18591291-34
NR1523--MA0098.3.ETS1	chr17	46829146	46829155	-	0.000	0.000	Merged-chr17-46829209-35
NR3394--MA0098.3.ETS1	chr9	80081168	80081177	+	0.000	0.000	Merged-chr9-80081246-66
NR3027--MA0098.3.ETS1	chr7	72344489	72344498	-	0.000	0.000	Merged-chr7-72344400-34
NR2631--MA0098.3.ETS1	chr5	92511492	92511501	-	0.000	0.000	Merged-chr5-92511528-18
NR645--MA0098.3.ETS1	chr11	106352111	106352120	-	0.000	0.000	Merged-chr11-106352092-27
NR663--MA0098.3.ETS1	chr11	109495276	109495285	-	0.000	0.000	Merged-chr11-109495099-18
NR2891--MA0098.3.ETS1	chr6	130237920	130237929	-	0.000	0.000	Merged-chr6-130237898-58
NR3502--MA0098.3.ETS1	chrX	100504401	100504410	-	0.000	0.000	Merged-chrX-100504535-34
NR1251--MA0098.3.ETS1	chr15	67045604	67045613	+	0.000	0.000	Merged-chr15-67045540-25
NR1578--MA0098.3.ETS1	chr17	83654791	83654800	-	0.000	0.000	Merged-chr17-83654883-58
NR1135--MA0098.3.ETS1	chr14	65113807	65113816	-	0.000	0.000	Merged-chr14-65113927-33
NR239--MA0098.3.ETS1	chr1	180403885	180403894	-	0.000	0.000	Merged-chr1-180403715-60
NR275--MA0098.3.ETS1	chr10	8065954	8065963	-	0.000	0.000	Merged-chr10-8065893-29
NR2145--MA0098.3.ETS1	chr2	181377418	181377427	-	0.000	0.000	Merged-chr2-181377481-47
NR2951--MA0098.3.ETS1	chr7	16024990	16024999	+	0.000	0.000	Merged-chr7-16024979-19
