#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR3909--MA0149.1.EWSR1-FLI1	chr15	34400152	34400169	-	0.000	0.000	Merged-chr15-34400188-1
NR6071--MA0149.1.EWSR1-FLI1	chr2	58906986	58907003	+	0.000	0.000	Merged-chr2-58907164-60
NR4067--MA0149.1.EWSR1-FLI1	chr15	78518526	78518543	+	0.000	0.000	Merged-chr15-78518416-16
NR5068--MA0475.2.FLI1	chr17	80067468	80067477	+	0.000	0.000	Merged-chr17-80067484-12
NR3961--MA0149.1.EWSR1-FLI1	chr15	51823360	51823377	-	0.000	0.000	Merged-chr15-51823268-39
NR8607--MA0149.1.EWSR1-FLI1	chr5	107533882	107533899	-	0.000	0.000	Merged-chr5-107533890-8
NR4097--MA0149.1.EWSR1-FLI1	chr15	81514522	81514539	-	0.000	0.000	Merged-chr15-81514359-43
NR10255--MA0149.1.EWSR1-FLI1	chr7	112918605	112918622	-	0.000	0.000	Merged-chr7-112918407-20
NR9473--MA0475.2.FLI1	chr6	122763551	122763560	-	0.000	0.000	Merged-chr6-122763599-9
NR5647--MA0149.1.EWSR1-FLI1	chr19	37110663	37110680	-	0.000	0.000	Merged-chr19-37110576-17
NR4817--MA0475.2.FLI1	chr17	35817787	35817796	+	0.000	0.000	Merged-chr17-35817739-6
NR929--MA0149.1.EWSR1-FLI1	chr10	7976750	7976767	-	0.000	0.000	Merged-chr10-7976653-22
NR5052--MA0475.2.FLI1	chr17	78351748	78351757	-	0.000	0.000	Merged-chr17-78351969-128
NR70--MA0149.1.EWSR1-FLI1	chr1	38898004	38898021	-	0.000	0.000	Merged-chr1-38897909-54
NR4177--MA0149.1.EWSR1-FLI1	chr15	98793510	98793527	-	0.000	0.000	Merged-chr15-98793364-7
NR10298--MA0149.1.EWSR1-FLI1	chr7	117521700	117521717	+	0.000	0.000	Merged-chr7-117521528-27
NR1029--MA0475.2.FLI1	chr10	39293260	39293269	-	0.000	0.000	Merged-chr10-39293099-66
NR9430--MA0475.2.FLI1	chr6	117874788	117874797	+	0.000	0.000	Merged-chr6-117874923-6
NR5974--MA0149.1.EWSR1-FLI1	chr2	35445619	35445636	-	0.000	0.000	Merged-chr2-35445506-29
NR8460--MA0149.1.EWSR1-FLI1	chr5	73199706	73199723	+	0.000	0.000	Merged-chr5-73199876-43
NR3053--MA0149.1.EWSR1-FLI1	chr13	67269843	67269860	-	0.000	0.000	Merged-chr13-67269979-2
NR1737--MA0475.2.FLI1	chr11	32445794	32445803	-	0.000	0.000	Merged-chr11-32445818-14
NR2050--MA0149.1.EWSR1-FLI1	chr11	87760555	87760572	-	0.000	0.000	Merged-chr11-87760646-1
NR6820--MA0149.1.EWSR1-FLI1	chr3	37747856	37747873	+	0.000	0.000	Merged-chr3-37748093-56
NR4712--MA0475.2.FLI1	chr17	21383683	21383692	+	0.000	0.000	Merged-chr17-21383828-70
NR5849--MA0149.1.EWSR1-FLI1	chr2	18307906	18307923	-	0.000	0.000	Merged-chr2-18307843-60
NR6122--MA0475.2.FLI1	chr2	73346570	73346579	+	0.000	0.000	Merged-chr2-73346607-35
NR1989--MA0149.1.EWSR1-FLI1	chr11	79654369	79654386	-	0.000	0.000	Merged-chr11-79654538-19
NR9882--MA0149.1.EWSR1-FLI1	chr7	30439882	30439899	+	0.000	0.000	Merged-chr7-30439933-8
NR4511--MA0475.2.FLI1	chr16	78606486	78606495	-	0.000	0.000	Merged-chr16-78606501-17
NR7018--MA0149.1.EWSR1-FLI1	chr3	89378617	89378634	+	0.000	0.000	Merged-chr3-89378543-26
NR5224--MA0149.1.EWSR1-FLI1	chr18	35848546	35848563	+	0.000	0.000	Merged-chr18-35848691-1
NR8669--MA0149.1.EWSR1-FLI1	chr5	115167631	115167648	-	0.000	0.000	Merged-chr5-115167638-30
NR7191--MA0149.1.EWSR1-FLI1	chr3	116384511	116384528	-	0.000	0.000	Merged-chr3-116384613-7
NR2359--MA0475.2.FLI1	chr12	3524296	3524305	+	0.000	0.000	Merged-chr12-3524419-17
NR11935--MA0475.2.FLI1	chrY	90744631	90744640	-	0.000	0.000	Merged-chrY-90744539-24
NR7392--MA0475.2.FLI1	chr3	144401484	144401493	+	0.000	0.000	Merged-chr3-144401455-31
NR2343--MA0149.1.EWSR1-FLI1	chr11	120916712	120916729	-	0.000	0.000	Merged-chr11-120916714-19
NR3626--MA0149.1.EWSR1-FLI1	chr14	74974552	74974569	-	0.000	0.000	Merged-chr14-74974575-17
NR3176--MA0149.1.EWSR1-FLI1	chr13	95719860	95719877	+	0.000	0.000	Merged-chr13-95719909-48
NR2521--MA0475.2.FLI1	chr12	76085164	76085173	+	0.000	0.000	Merged-chr12-76085234-6
NR5482--MA0475.2.FLI1	chr18	89272654	89272663	+	0.000	0.000	Merged-chr18-89272605-14
NR6463--MA0149.1.EWSR1-FLI1	chr2	147832479	147832496	+	0.000	0.000	Merged-chr2-147832545-2
NR11672--MA0149.1.EWSR1-FLI1	chr9	122226601	122226618	+	0.000	0.000	Merged-chr9-122226680-11
NR3290--MA0149.1.EWSR1-FLI1	chr13	107571775	107571792	-	0.000	0.000	Merged-chr13-107571801-8
NR10926--MA0149.1.EWSR1-FLI1	chr8	122284442	122284459	+	0.000	0.000	Merged-chr8-122284353-16
NR8609--MA0475.2.FLI1	chr5	107546224	107546233	-	0.000	0.000	Merged-chr5-107546120-23
NR3661--MA0149.1.EWSR1-FLI1	chr14	77580810	77580827	+	0.000	0.000	Merged-chr14-77580770-64
NR1486--MA0475.2.FLI1	chr10	118446401	118446410	+	0.000	0.000	Merged-chr10-118446344-23
NR10155--MA0149.1.EWSR1-FLI1	chr7	99794289	99794306	+	0.000	0.000	Merged-chr7-99794311-17
NR979--MA0149.1.EWSR1-FLI1	chr10	20104417	20104434	-	0.000	0.000	Merged-chr10-20104372-1
NR11588--MA0475.2.FLI1	chr9	116366477	116366486	+	0.000	0.000	Merged-chr9-116366334-59
NR942--MA0149.1.EWSR1-FLI1	chr10	10307564	10307581	+	0.000	0.000	Merged-chr10-10307543-35
NR8458--MA0149.1.EWSR1-FLI1	chr5	73199698	73199715	+	0.000	0.000	Merged-chr5-73199876-43
NR3177--MA0149.1.EWSR1-FLI1	chr13	95719864	95719881	+	0.000	0.000	Merged-chr13-95719909-48
NR10882--MA0149.1.EWSR1-FLI1	chr8	115408392	115408409	-	0.000	0.000	Merged-chr8-115408581-14
NR2206--MA0149.1.EWSR1-FLI1	chr11	108094913	108094930	-	0.000	0.000	Merged-chr11-108095008-29
NR10069--MA0475.2.FLI1	chr7	81863361	81863370	+	0.000	0.000	Merged-chr7-81863346-31
NR2058--MA0475.2.FLI1	chr11	89024287	89024296	+	0.000	0.000	Merged-chr11-89024298-29
NR3662--MA0149.1.EWSR1-FLI1	chr14	77580814	77580831	+	0.000	0.000	Merged-chr14-77580770-64
NR11602--MA0149.1.EWSR1-FLI1	chr9	117910968	117910985	+	0.000	0.000	Merged-chr9-117910970-21
NR8459--MA0149.1.EWSR1-FLI1	chr5	73199702	73199719	+	0.000	0.000	Merged-chr5-73199876-43
NR4095--MA0149.1.EWSR1-FLI1	chr15	81514334	81514351	+	0.000	0.000	Merged-chr15-81514359-43
NR11922--MA0475.2.FLI1	chrX	169986988	169986997	-	0.000	0.000	Merged-chrX-169986880-44
NR1063--MA0149.1.EWSR1-FLI1	chr10	42839109	42839126	+	0.000	0.000	Merged-chr10-42838902-52
NR9644--MA0475.2.FLI1	chr6	140684553	140684562	-	0.000	0.000	Merged-chr6-140684445-39
NR7135--MA0149.1.EWSR1-FLI1	chr3	104856355	104856372	-	0.000	0.000	Merged-chr3-104856352-37
NR6070--MA0149.1.EWSR1-FLI1	chr2	58906982	58906999	+	0.000	0.000	Merged-chr2-58907164-60
NR4437--MA0149.1.EWSR1-FLI1	chr16	57176511	57176528	-	0.000	0.000	Merged-chr16-57176339-30
NR5116--MA0475.2.FLI1	chr17	86833180	86833189	-	0.000	0.000	Merged-chr17-86833009-31
NR5134--MA0475.2.FLI1	chr17	88701080	88701089	-	0.000	0.000	Merged-chr17-88701095-28
NR5579--MA0149.1.EWSR1-FLI1	chr19	21824509	21824526	-	0.000	0.000	Merged-chr19-21824419-10
NR7136--MA0149.1.EWSR1-FLI1	chr3	104856359	104856376	-	0.000	0.000	Merged-chr3-104856352-37
NR3783--MA0475.2.FLI1	chr14	118834426	118834435	-	0.000	0.000	Merged-chr14-118834540-52
NR3029--MA0149.1.EWSR1-FLI1	chr13	63411856	63411873	-	0.000	0.000	Merged-chr13-63411826-2
NR3197--MA0149.1.EWSR1-FLI1	chr13	97442594	97442611	+	0.000	0.000	Merged-chr13-97442585-64
NR9078--MA0475.2.FLI1	chr6	42343588	42343597	-	0.000	0.000	Merged-chr6-42343728-43
NR9884--MA0475.2.FLI1	chr7	30439917	30439926	+	0.000	0.000	Merged-chr7-30439933-8
NR4176--MA0149.1.EWSR1-FLI1	chr15	98793497	98793514	-	0.000	0.000	Merged-chr15-98793364-7
NR5646--MA0475.2.FLI1	chr19	36926076	36926085	-	0.000	0.000	Merged-chr19-36926163-72
NR3289--MA0149.1.EWSR1-FLI1	chr13	107571771	107571788	-	0.000	0.000	Merged-chr13-107571801-8
NR10--MA0149.1.EWSR1-FLI1	chr1	13560058	13560075	-	0.000	0.000	Merged-chr1-13560165-1
NR10297--MA0149.1.EWSR1-FLI1	chr7	117521539	117521556	+	0.000	0.000	Merged-chr7-117521528-27
NR9707--MA0149.1.EWSR1-FLI1	chr6	145249575	145249592	-	0.000	0.000	Merged-chr6-145249454-6
NR10536--MA0475.2.FLI1	chr8	11107332	11107341	+	0.000	0.000	Merged-chr8-11107220-18
NR11308--MA0149.1.EWSR1-FLI1	chr9	80252358	80252375	+	0.000	0.000	Merged-chr9-80252331-18
NR5568--MA0149.1.EWSR1-FLI1	chr19	12012383	12012400	-	0.000	0.000	Merged-chr19-12012380-1
NR3198--MA0149.1.EWSR1-FLI1	chr13	97442606	97442623	+	0.000	0.000	Merged-chr13-97442585-64
NR6072--MA0149.1.EWSR1-FLI1	chr2	58906990	58907007	+	0.000	0.000	Merged-chr2-58907164-60
NR6443--MA0149.1.EWSR1-FLI1	chr2	145233989	145234006	-	0.000	0.000	Merged-chr2-145234039-59
NR8608--MA0149.1.EWSR1-FLI1	chr5	107533886	107533903	-	0.000	0.000	Merged-chr5-107533890-8
NR11143--MA0149.1.EWSR1-FLI1	chr9	50852985	50853002	-	0.000	0.000	Merged-chr9-50852835-21
NR4098--MA0149.1.EWSR1-FLI1	chr15	81514530	81514547	-	0.000	0.000	Merged-chr15-81514359-43
NR7017--MA0149.1.EWSR1-FLI1	chr3	89378613	89378630	+	0.000	0.000	Merged-chr3-89378543-26
NR1484--MA0149.1.EWSR1-FLI1	chr10	117856383	117856400	-	0.000	0.000	Merged-chr10-117856410-16
NR2818--MA0475.2.FLI1	chr13	4191167	4191176	-	0.000	0.000	Merged-chr13-4191269-39
NR5223--MA0149.1.EWSR1-FLI1	chr18	35848542	35848559	+	0.000	0.000	Merged-chr18-35848691-1
NR6444--MA0149.1.EWSR1-FLI1	chr2	145233993	145234010	-	0.000	0.000	Merged-chr2-145234039-59
NR532--MA0475.2.FLI1	chr1	153617600	153617609	+	0.000	0.000	Merged-chr1-153617501-53
NR71--MA0149.1.EWSR1-FLI1	chr1	38898008	38898025	-	0.000	0.000	Merged-chr1-38897909-54
NR2342--MA0149.1.EWSR1-FLI1	chr11	120916708	120916725	-	0.000	0.000	Merged-chr11-120916714-19
NR8740--MA0149.1.EWSR1-FLI1	chr5	124075946	124075963	-	0.000	0.000	Merged-chr5-124075936-23
NR10771--MA0149.1.EWSR1-FLI1	chr8	88298082	88298099	-	0.000	0.000	Merged-chr8-88298148-50
NR11369--MA0149.1.EWSR1-FLI1	chr9	86425863	86425880	-	0.000	0.000	Merged-chr9-86425989-29
NR10299--MA0149.1.EWSR1-FLI1	chr7	117521704	117521721	+	0.000	0.000	Merged-chr7-117521528-27
NR8461--MA0149.1.EWSR1-FLI1	chr5	73199710	73199727	+	0.000	0.000	Merged-chr5-73199876-43
NR6462--MA0149.1.EWSR1-FLI1	chr2	147832475	147832492	+	0.000	0.000	Merged-chr2-147832545-2
NR5266--MA0149.1.EWSR1-FLI1	chr18	50022781	50022798	-	0.000	0.000	Merged-chr18-50022640-10
NR9652--MA0475.2.FLI1	chr6	142561312	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR4881--MA0149.1.EWSR1-FLI1	chr17	47294196	47294213	-	0.000	0.000	Merged-chr17-47294215-12
NR7285--MA0475.2.FLI1	chr3	130796687	130796696	-	0.000	0.000	Merged-chr3-130796721-21
NR3910--MA0149.1.EWSR1-FLI1	chr15	34400153	34400170	-	0.000	0.000	Merged-chr15-34400188-1
NR8457--MA0149.1.EWSR1-FLI1	chr5	73199697	73199714	+	0.000	0.000	Merged-chr5-73199876-43
NR9883--MA0149.1.EWSR1-FLI1	chr7	30439886	30439903	+	0.000	0.000	Merged-chr7-30439933-8
NR6846--MA0149.1.EWSR1-FLI1	chr3	52470164	52470181	+	0.000	0.000	Merged-chr3-52470194-16
NR3609--MA0149.1.EWSR1-FLI1	chr14	70994732	70994749	+	0.000	0.000	Merged-chr14-70994576-24
NR6102--MA0475.2.FLI1	chr2	69002562	69002571	-	0.000	0.000	Merged-chr2-69002641-39
NR5267--MA0149.1.EWSR1-FLI1	chr18	50022785	50022802	-	0.000	0.000	Merged-chr18-50022640-10
NR2502--MA0149.1.EWSR1-FLI1	chr12	70995447	70995464	+	0.000	0.000	Merged-chr12-70995410-19
NR1383--MA0475.2.FLI1	chr10	99172298	99172307	+	0.000	0.000	Merged-chr10-99172222-47
NR7425--MA0149.1.EWSR1-FLI1	chr3	149281432	149281449	-	0.000	0.000	Merged-chr3-149281219-17
NR9422--MA0475.2.FLI1	chr6	115971342	115971351	-	0.000	0.000	Merged-chr6-115971349-10
NR6847--MA0149.1.EWSR1-FLI1	chr3	52470168	52470185	+	0.000	0.000	Merged-chr3-52470194-16
NR5430--MA0475.2.FLI1	chr18	80683043	80683052	-	0.000	0.000	Merged-chr18-80683033-18
NR5347--MA0149.1.EWSR1-FLI1	chr18	68009939	68009956	-	0.000	0.000	Merged-chr18-68009892-31
NR6464--MA0149.1.EWSR1-FLI1	chr2	147832483	147832500	+	0.000	0.000	Merged-chr2-147832545-2
NR4094--MA0149.1.EWSR1-FLI1	chr15	81514330	81514347	+	0.000	0.000	Merged-chr15-81514359-43
NR1062--MA0149.1.EWSR1-FLI1	chr10	42839108	42839125	+	0.000	0.000	Merged-chr10-42838902-52
NR100--MA0149.1.EWSR1-FLI1	chr1	51570626	51570643	-	0.000	0.000	Merged-chr1-51570675-23
NR1663--MA0149.1.EWSR1-FLI1	chr11	11498087	11498104	-	0.000	0.000	Merged-chr11-11498094-24
NR10021--MA0475.2.FLI1	chr7	75255339	75255348	-	0.000	0.000	Merged-chr7-75255210-5
NR11568--MA0475.2.FLI1	chr9	114740618	114740627	+	0.000	0.000	Merged-chr9-114740560-21
NR11570--MA0149.1.EWSR1-FLI1	chr9	115214977	115214994	-	0.000	0.000	Merged-chr9-115214840-19
