#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gabpa/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR2468--MA0062.2.Gabpa	chr3	126834972	126834982	+	0.000	0.000	Merged-chr3-126834809-55
NR479--MA0062.2.Gabpa	chr10	127337720	127337730	-	0.000	0.000	Merged-chr10-127337702-25
NR1553--MA0062.2.Gabpa	chr17	7888988	7888998	-	0.000	0.000	Merged-chr17-7889151-33
NR1824--MA0062.2.Gabpa	chr18	78048640	78048650	+	0.000	0.000	Merged-chr18-78048620-25
NR1946--MA0062.2.Gabpa	chr19	55915653	55915663	-	0.000	0.000	Merged-chr19-55915456-76
NR1654--MA0062.2.Gabpa	chr17	45488792	45488802	+	0.000	0.000	Merged-chr17-45488824-86
NR3313--MA0062.2.Gabpa	chr7	71242752	71242762	-	0.000	0.000	Merged-chr7-71242656-21
NR389--MA0062.2.Gabpa	chr10	80662308	80662318	-	0.000	0.000	Merged-chr10-80662335-4
NR3523--MA0062.2.Gabpa	chr8	40595212	40595222	+	0.000	0.000	Merged-chr8-40595277-53
NR3775--MA0062.2.Gabpa	chr9	69757425	69757435	+	0.000	0.000	Merged-chr9-69757438-24
NR3528--MA0062.2.Gabpa	chr8	46197037	46197047	-	0.000	0.000	Merged-chr8-46197044-15
NR1163--MA0062.2.Gabpa	chr14	60666525	60666535	-	0.000	0.000	Merged-chr14-60666479-30
NR3095--MA0062.2.Gabpa	chr6	94760970	94760980	+	0.000	0.000	Merged-chr6-94761021-48
NR3332--MA0062.2.Gabpa	chr7	78721642	78721652	+	0.000	0.000	Merged-chr7-78721730-59
NR3855--MA0062.2.Gabpa	chr9	112186574	112186584	+	0.000	0.000	Merged-chr9-112186441-37
NR3379--MA0062.2.Gabpa	chr7	100700022	100700032	+	0.000	0.000	Merged-chr7-100699955-31
NR1556--MA0062.2.Gabpa	chr17	8233858	8233868	-	0.000	0.000	Merged-chr17-8233778-16
NR1394--MA0062.2.Gabpa	chr15	102746866	102746876	-	0.000	0.000	Merged-chr15-102746842-41
NR3629--MA0062.2.Gabpa	chr8	117781650	117781660	-	0.000	0.000	Merged-chr8-117781721-61
NR3329--MA0062.2.Gabpa	chr7	78451876	78451886	+	0.000	0.000	Merged-chr7-78451897-56
NR3167--MA0062.2.Gabpa	chr6	134414425	134414435	+	0.000	0.000	Merged-chr6-134414331-55
NR818--MA0062.2.Gabpa	chr12	69853623	69853633	-	0.000	0.000	Merged-chr12-69853558-20
NR3098--MA0062.2.Gabpa	chr6	97806931	97806941	+	0.000	0.000	Merged-chr6-97807026-80
NR2720--MA0062.2.Gabpa	chr4	137714431	137714441	-	0.000	0.000	Merged-chr4-137714339-14
NR68--MA0062.2.Gabpa	chr1	64875734	64875744	+	0.000	0.000	Merged-chr1-64875800-12
NR2985--MA0062.2.Gabpa	chr5	147022044	147022054	+	0.000	0.000	Merged-chr5-147021953-34
NR255--MA0062.2.Gabpa	chr1	184793623	184793633	-	0.000	0.000	Merged-chr1-184793551-66
NR234--MA0062.2.Gabpa	chr1	177338873	177338883	-	0.000	0.000	Merged-chr1-177338915-41
NR457--MA0062.2.Gabpa	chr10	119005688	119005698	+	0.000	0.000	Merged-chr10-119005704-15
NR2425--MA0062.2.Gabpa	chr3	96814572	96814582	-	0.000	0.000	Merged-chr3-96814496-20
NR707--MA0062.2.Gabpa	chr11	114554178	114554188	-	0.000	0.000	Merged-chr11-114554350-35
NR3312--MA0062.2.Gabpa	chr7	71242652	71242662	-	0.000	0.000	Merged-chr7-71242656-21
NR3421--MA0062.2.Gabpa	chr7	125511537	125511547	+	0.000	0.000	Merged-chr7-125511628-40
NR367--MA0062.2.Gabpa	chr10	75446688	75446698	+	0.000	0.000	Merged-chr10-75446685-44
NR1462--MA0062.2.Gabpa	chr16	36540940	36540950	-	0.000	0.000	Merged-chr16-36541041-27
NR3787--MA0062.2.Gabpa	chr9	75541751	75541761	-	0.000	0.000	Merged-chr9-75541698-38
NR3915--MA0062.2.Gabpa	chrX	57185064	57185074	-	0.000	0.000	Merged-chrX-57185087-24
NR1433--MA0062.2.Gabpa	chr16	18089242	18089252	+	0.000	0.000	Merged-chr16-18089108-33
NR1685--MA0062.2.Gabpa	chr17	62857498	62857508	+	0.000	0.000	Merged-chr17-62857583-41
NR3440--MA0062.2.Gabpa	chr7	127922761	127922771	-	0.000	0.000	Merged-chr7-127922827-35
NR3596--MA0062.2.Gabpa	chr8	106949059	106949069	-	0.000	0.000	Merged-chr8-106949012-29
NR501--MA0062.2.Gabpa	chr11	6706995	6707005	-	0.000	0.000	Merged-chr11-6706975-16
NR3541--MA0062.2.Gabpa	chr8	68112327	68112337	+	0.000	0.000	Merged-chr8-68112424-37
NR3968--MA0062.2.Gabpa	chrX	140664925	140664935	+	0.000	0.000	Merged-chrX-140664923-33
NR3166--MA0062.2.Gabpa	chr6	134348673	134348683	+	0.000	0.000	Merged-chr6-134348726-53
NR3023--MA0062.2.Gabpa	chr6	29838697	29838707	-	0.000	0.000	Merged-chr6-29838666-29
NR3546--MA0062.2.Gabpa	chr8	69271085	69271095	-	0.000	0.000	Merged-chr8-69271039-51
NR323--MA0062.2.Gabpa	chr10	41615624	41615634	+	0.000	0.000	Merged-chr10-41615681-31
NR432--MA0062.2.Gabpa	chr10	95746028	95746038	-	0.000	0.000	Merged-chr10-95746044-53
NR3756--MA0062.2.Gabpa	chr9	61054474	61054484	+	0.000	0.000	Merged-chr9-61054632-26
NR424--MA0062.2.Gabpa	chr10	94523915	94523925	+	0.000	0.000	Merged-chr10-94523917-65
NR512--MA0062.2.Gabpa	chr11	22853945	22853955	-	0.000	0.000	Merged-chr11-22853813-26
NR2461--MA0062.2.Gabpa	chr3	121689312	121689322	-	0.000	0.000	Merged-chr3-121689232-23
NR2984--MA0062.2.Gabpa	chr5	146781756	146781766	-	0.000	0.000	Merged-chr5-146781945-52
NR730--MA0062.2.Gabpa	chr11	118731983	118731993	-	0.000	0.000	Merged-chr11-118731916-25
NR254--MA0062.2.Gabpa	chr1	184441444	184441454	+	0.000	0.000	Merged-chr1-184441398-48
NR2841--MA0062.2.Gabpa	chr5	64764632	64764642	+	0.000	0.000	Merged-chr5-64764597-23
NR3055--MA0062.2.Gabpa	chr6	57449468	57449478	+	0.000	0.000	Merged-chr6-57449516-18
NR59--MA0062.2.Gabpa	chr1	61016842	61016852	-	0.000	0.000	Merged-chr1-61016858-25
NR193--MA0062.2.Gabpa	chr1	159938611	159938621	+	0.000	0.000	Merged-chr1-159938641-24
NR1700--MA0062.2.Gabpa	chr17	73247122	73247132	-	0.000	0.000	Merged-chr17-73247076-30
NR2206--MA0062.2.Gabpa	chr2	151944295	151944305	+	0.000	0.000	Merged-chr2-151944383-43
NR2275--MA0062.2.Gabpa	chr2	173578384	173578394	-	0.000	0.000	Merged-chr2-173578364-53
