#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR3607--MA0149.1.EWSR1-FLI1	chr14	70962305	70962322	+	0.000	0.000	Merged-chr14-70962142-29
NR11240--MA0149.1.EWSR1-FLI1	chr9	69073394	69073411	-	0.000	0.000	Merged-chr9-69073494-25
NR3775--MA0149.1.EWSR1-FLI1	chr14	118173742	118173759	+	0.000	0.000	Merged-chr14-118173746-41
NR1509--MA0475.2.FLI1	chr10	121264130	121264139	+	0.000	0.000	Merged-chr10-121264138-48
NR6691--MA0149.1.EWSR1-FLI1	chr2	173452372	173452389	+	0.000	0.000	Merged-chr2-173452276-60
NR6874--MA0149.1.EWSR1-FLI1	chr3	60788189	60788206	+	0.000	0.000	Merged-chr3-60788099-46
NR381--MA0149.1.EWSR1-FLI1	chr1	127796493	127796510	-	0.000	0.000	Merged-chr1-127796546-56
NR4136--MA0149.1.EWSR1-FLI1	chr15	91643839	91643856	+	0.000	0.000	Merged-chr15-91644070-43
NR1351--MA0149.1.EWSR1-FLI1	chr10	95998305	95998322	-	0.000	0.000	Merged-chr10-95998321-17
NR4571--MA0149.1.EWSR1-FLI1	chr16	93552925	93552942	-	0.000	0.000	Merged-chr16-93552984-42
NR9709--MA0149.1.EWSR1-FLI1	chr6	145284626	145284643	+	0.000	0.000	Merged-chr6-145284477-26
NR2938--MA0149.1.EWSR1-FLI1	chr13	43789197	43789214	+	0.000	0.000	Merged-chr13-43789112-65
NR2985--MA0149.1.EWSR1-FLI1	chr13	52801141	52801158	-	0.000	0.000	Merged-chr13-52800951-49
NR6111--MA0149.1.EWSR1-FLI1	chr2	70118920	70118937	-	0.000	0.000	Merged-chr2-70118902-52
NR3784--MA0475.2.FLI1	chr14	118926632	118926641	-	0.000	0.000	Merged-chr14-118926822-16
NR5041--MA0149.1.EWSR1-FLI1	chr17	74828521	74828538	+	0.000	0.000	Merged-chr17-74828377-14
NR7819--MA0149.1.EWSR1-FLI1	chr4	102712019	102712036	-	0.000	0.000	Merged-chr4-102711875-43
NR3776--MA0149.1.EWSR1-FLI1	chr14	118173746	118173763	+	0.000	0.000	Merged-chr14-118173746-41
NR3860--MA0149.1.EWSR1-FLI1	chr15	12895478	12895495	-	0.000	0.000	Merged-chr15-12895648-51
NR10349--MA0149.1.EWSR1-FLI1	chr7	125181649	125181666	+	0.000	0.000	Merged-chr7-125181678-10
NR3529--MA0149.1.EWSR1-FLI1	chr14	56576680	56576697	+	0.000	0.000	Merged-chr14-56576676-41
NR6875--MA0149.1.EWSR1-FLI1	chr3	60788271	60788288	-	0.000	0.000	Merged-chr3-60788099-46
NR3328--MA0475.2.FLI1	chr13	112388412	112388421	+	0.000	0.000	Merged-chr13-112388467-40
NR6056--MA0475.2.FLI1	chr2	57256213	57256222	+	0.000	0.000	Merged-chr2-57256116-15
NR10342--MA0149.1.EWSR1-FLI1	chr7	123354473	123354490	+	0.000	0.000	Merged-chr7-123354508-1
NR5808--MA0149.1.EWSR1-FLI1	chr2	8871397	8871414	+	0.000	0.000	Merged-chr2-8871484-19
NR6537--MA0149.1.EWSR1-FLI1	chr2	158166889	158166906	-	0.000	0.000	Merged-chr2-158166857-55
NR1340--MA0149.1.EWSR1-FLI1	chr10	94523917	94523934	+	0.000	0.000	Merged-chr10-94523917-65
NR10881--MA0149.1.EWSR1-FLI1	chr8	115227121	115227138	-	0.000	0.000	Merged-chr8-115227272-68
NR1691--MA0149.1.EWSR1-FLI1	chr11	22814242	22814259	+	0.000	0.000	Merged-chr11-22814136-127
NR9374--MA0149.1.EWSR1-FLI1	chr6	108448383	108448400	-	0.000	0.000	Merged-chr6-108448378-58
NR3861--MA0149.1.EWSR1-FLI1	chr15	12895611	12895628	+	0.000	0.000	Merged-chr15-12895648-51
NR5717--MA0149.1.EWSR1-FLI1	chr19	55792950	55792967	-	0.000	0.000	Merged-chr19-55792789-50
NR8076--MA0475.2.FLI1	chr4	139319925	139319934	+	0.000	0.000	Merged-chr4-139319909-27
NR10313--MA0149.1.EWSR1-FLI1	chr7	119860363	119860380	+	0.000	0.000	Merged-chr7-119860527-21
NR1338--MA0475.2.FLI1	chr10	94523914	94523923	+	0.000	0.000	Merged-chr10-94523917-65
NR10785--MA0149.1.EWSR1-FLI1	chr8	94828039	94828056	+	0.000	0.000	Merged-chr8-94828163-36
NR10051--MA0149.1.EWSR1-FLI1	chr7	80091802	80091819	+	0.000	0.000	Merged-chr7-80091619-59
NR4081--MA0149.1.EWSR1-FLI1	chr15	80192515	80192532	-	0.000	0.000	Merged-chr15-80192413-58
NR4877--MA0149.1.EWSR1-FLI1	chr17	46880160	46880177	-	0.000	0.000	Merged-chr17-46880120-39
NR10037--MA0475.2.FLI1	chr7	79300684	79300693	-	0.000	0.000	Merged-chr7-79300921-71
NR616--MA0149.1.EWSR1-FLI1	chr1	165985859	165985876	+	0.000	0.000	Merged-chr1-165985990-54
NR1048--MA0475.2.FLI1	chr10	40713418	40713427	-	0.000	0.000	Merged-chr10-40713251-44
NR5122--MA0149.1.EWSR1-FLI1	chr17	87418226	87418243	+	0.000	0.000	Merged-chr17-87418292-26
NR9691--MA0475.2.FLI1	chr6	144919925	144919934	-	0.000	0.000	Merged-chr6-144919933-48
NR8179--MA0149.1.EWSR1-FLI1	chr4	149664335	149664352	-	0.000	0.000	Merged-chr4-149664202-47
NR421--MA0149.1.EWSR1-FLI1	chr1	133711278	133711295	+	0.000	0.000	Merged-chr1-133711440-47
NR9830--MA0149.1.EWSR1-FLI1	chr7	24452078	24452095	-	0.000	0.000	Merged-chr7-24452185-33
NR3291--MA0149.1.EWSR1-FLI1	chr13	107619744	107619761	-	0.000	0.000	Merged-chr13-107619670-33
NR10052--MA0149.1.EWSR1-FLI1	chr7	80091806	80091823	+	0.000	0.000	Merged-chr7-80091619-59
NR5518--MA0149.1.EWSR1-FLI1	chr19	5094338	5094355	+	0.000	0.000	Merged-chr19-5094459-12
NR4878--MA0149.1.EWSR1-FLI1	chr17	46880164	46880181	-	0.000	0.000	Merged-chr17-46880120-39
NR1045--MA0149.1.EWSR1-FLI1	chr10	40451926	40451943	-	0.000	0.000	Merged-chr10-40451996-39
NR6761--MA0149.1.EWSR1-FLI1	chr3	9755013	9755030	+	0.000	0.000	Merged-chr3-9755096-55
NR9734--MA0149.1.EWSR1-FLI1	chr6	148436478	148436495	-	0.000	0.000	Merged-chr6-148436541-68
NR9917--MA0149.1.EWSR1-FLI1	chr7	44344631	44344648	-	0.000	0.000	Merged-chr7-44344765-20
NR3378--MA0149.1.EWSR1-FLI1	chr13	119681377	119681394	+	0.000	0.000	Merged-chr13-119681376-28
NR4713--MA0475.2.FLI1	chr17	21463688	21463697	+	0.000	0.000	Merged-chr17-21463736-49
NR10491--MA0475.2.FLI1	chr7	140947141	140947150	-	0.000	0.000	Merged-chr7-140947277-49
NR5753--MA0149.1.EWSR1-FLI1	chr19	58357337	58357354	-	0.000	0.000	Merged-chr19-58357454-6
NR7735--MA0149.1.EWSR1-FLI1	chr4	86886297	86886314	+	0.000	0.000	Merged-chr4-86886222-78
NR5632--MA0149.1.EWSR1-FLI1	chr19	33053333	33053350	-	0.000	0.000	Merged-chr19-33053321-32
NR785--MA0149.1.EWSR1-FLI1	chr1	184751446	184751463	-	0.000	0.000	Merged-chr1-184751461-18
NR4973--MA0475.2.FLI1	chr17	62857497	62857506	+	0.000	0.000	Merged-chr17-62857583-41
NR4400--MA0475.2.FLI1	chr16	48788812	48788821	-	0.000	0.000	Merged-chr16-48788871-49
NR8545--MA0475.2.FLI1	chr5	99495575	99495584	-	0.000	0.000	Merged-chr5-99495568-41
NR8961--MA0149.1.EWSR1-FLI1	chr5	150860017	150860034	-	0.000	0.000	Merged-chr5-150859850-43
NR422--MA0149.1.EWSR1-FLI1	chr1	133711282	133711299	+	0.000	0.000	Merged-chr1-133711440-47
NR7110--MA0149.1.EWSR1-FLI1	chr3	101066280	101066297	+	0.000	0.000	Merged-chr3-101066330-34
NR10992--MA0149.1.EWSR1-FLI1	chr8	128418738	128418755	+	0.000	0.000	Merged-chr8-128418642-30
NR3349--MA0149.1.EWSR1-FLI1	chr13	114878895	114878912	+	0.000	0.000	Merged-chr13-114879006-41
NR4283--MA0149.1.EWSR1-FLI1	chr16	18377365	18377382	-	0.000	0.000	Merged-chr16-18377300-20
NR4320--MA0475.2.FLI1	chr16	24860684	24860693	+	0.000	0.000	Merged-chr16-24860567-33
NR3742--MA0149.1.EWSR1-FLI1	chr14	105603158	105603175	-	0.000	0.000	Merged-chr14-105603111-38
NR6532--MA0149.1.EWSR1-FLI1	chr2	157447404	157447421	-	0.000	0.000	Merged-chr2-157447566-79
NR5892--MA0149.1.EWSR1-FLI1	chr2	27432647	27432664	-	0.000	0.000	Merged-chr2-27432813-10
NR10419--MA0149.1.EWSR1-FLI1	chr7	130448240	130448257	+	0.000	0.000	Merged-chr7-130448231-21
NR5183--MA0149.1.EWSR1-FLI1	chr18	19524567	19524584	-	0.000	0.000	Merged-chr18-19524471-22
NR8282--MA0475.2.FLI1	chr5	21370440	21370449	+	0.000	0.000	Merged-chr5-21370599-51
NR3530--MA0149.1.EWSR1-FLI1	chr14	56576780	56576797	+	0.000	0.000	Merged-chr14-56576676-41
NR6011--MA0149.1.EWSR1-FLI1	chr2	45173015	45173032	+	0.000	0.000	Merged-chr2-45172921-51
NR5349--MA0149.1.EWSR1-FLI1	chr18	68190012	68190029	-	0.000	0.000	Merged-chr18-68190088-51
NR3859--MA0149.1.EWSR1-FLI1	chr15	12895474	12895491	-	0.000	0.000	Merged-chr15-12895648-51
NR442--MA0475.2.FLI1	chr1	136600818	136600827	-	0.000	0.000	Merged-chr1-136600909-41
NR5246--MA0475.2.FLI1	chr18	39083228	39083237	-	0.000	0.000	Merged-chr18-39083164-72
NR6533--MA0149.1.EWSR1-FLI1	chr2	157746629	157746646	-	0.000	0.000	Merged-chr2-157746803-36
NR4000--MA0149.1.EWSR1-FLI1	chr15	64156041	64156058	+	0.000	0.000	Merged-chr15-64155964-10
NR1930--MA0475.2.FLI1	chr11	72946544	72946553	-	0.000	0.000	Merged-chr11-72946553-29
NR1047--MA0149.1.EWSR1-FLI1	chr10	40451934	40451951	-	0.000	0.000	Merged-chr10-40451996-39
NR9370--MA0149.1.EWSR1-FLI1	chr6	108310042	108310059	+	0.000	0.000	Merged-chr6-108310107-36
NR1599--MA0475.2.FLI1	chr10	128940648	128940657	+	0.000	0.000	Merged-chr10-128940717-41
NR10613--MA0149.1.EWSR1-FLI1	chr8	34529591	34529608	+	0.000	0.000	Merged-chr8-34529653-1
NR5059--MA0475.2.FLI1	chr17	79578810	79578819	-	0.000	0.000	Merged-chr17-79578807-24
NR9536--MA0149.1.EWSR1-FLI1	chr6	127336813	127336830	-	0.000	0.000	Merged-chr6-127336586-54
NR10956--MA0475.2.FLI1	chr8	125669770	125669779	+	0.000	0.000	Merged-chr8-125669948-44
NR4297--MA0149.1.EWSR1-FLI1	chr16	21694636	21694653	-	0.000	0.000	Merged-chr16-21694504-65
NR787--MA0149.1.EWSR1-FLI1	chr1	184751454	184751471	-	0.000	0.000	Merged-chr1-184751461-18
NR1734--MA0475.2.FLI1	chr11	32000047	32000056	+	0.000	0.000	Merged-chr11-32000120-91
NR10030--MA0149.1.EWSR1-FLI1	chr7	77133327	77133344	-	0.000	0.000	Merged-chr7-77133181-52
NR9712--MA0149.1.EWSR1-FLI1	chr6	145374558	145374575	-	0.000	0.000	Merged-chr6-145374595-4
NR3665--MA0149.1.EWSR1-FLI1	chr14	78308146	78308163	-	0.000	0.000	Merged-chr14-78307953-14
NR38--MA0475.2.FLI1	chr1	23321534	23321543	-	0.000	0.000	Merged-chr1-23321414-28
NR449--MA0149.1.EWSR1-FLI1	chr1	138952407	138952424	+	0.000	0.000	Merged-chr1-138952405-35
NR10796--MA0475.2.FLI1	chr8	96552728	96552737	-	0.000	0.000	Merged-chr8-96552694-31
NR9737--MA0149.1.EWSR1-FLI1	chr6	148436483	148436500	-	0.000	0.000	Merged-chr6-148436541-68
NR10107--MA0475.2.FLI1	chr7	89712051	89712060	+	0.000	0.000	Merged-chr7-89711964-5
NR3774--MA0149.1.EWSR1-FLI1	chr14	118173738	118173755	+	0.000	0.000	Merged-chr14-118173746-41
NR6690--MA0149.1.EWSR1-FLI1	chr2	173452368	173452385	+	0.000	0.000	Merged-chr2-173452276-60
NR380--MA0149.1.EWSR1-FLI1	chr1	127796489	127796506	-	0.000	0.000	Merged-chr1-127796546-56
NR7701--MA0149.1.EWSR1-FLI1	chr4	63644477	63644494	-	0.000	0.000	Merged-chr4-63644435-12
NR10833--MA0475.2.FLI1	chr8	106821492	106821501	+	0.000	0.000	Merged-chr8-106821433-20
NR4632--MA0149.1.EWSR1-FLI1	chr16	97401962	97401979	-	0.000	0.000	Merged-chr16-97402099-85
NR7422--MA0149.1.EWSR1-FLI1	chr3	148491382	148491399	+	0.000	0.000	Merged-chr3-148491583-74
NR710--MA0475.2.FLI1	chr1	177383082	177383091	-	0.000	0.000	Merged-chr1-177382915-26
NR9446--MA0149.1.EWSR1-FLI1	chr6	119522206	119522223	-	0.000	0.000	Merged-chr6-119522115-45
NR6110--MA0149.1.EWSR1-FLI1	chr2	70118916	70118933	-	0.000	0.000	Merged-chr2-70118902-52
NR1929--MA0149.1.EWSR1-FLI1	chr11	72946409	72946426	+	0.000	0.000	Merged-chr11-72946553-29
NR11055--MA0475.2.FLI1	chr9	31090547	31090556	+	0.000	0.000	Merged-chr9-31090729-18
NR10899--MA0149.1.EWSR1-FLI1	chr8	117548118	117548135	-	0.000	0.000	Merged-chr8-117548113-3
NR10977--MA0475.2.FLI1	chr8	126662877	126662886	+	0.000	0.000	Merged-chr8-126662975-49
NR3478--MA0475.2.FLI1	chr14	46578293	46578302	-	0.000	0.000	Merged-chr14-46578431-37
NR134--MA0149.1.EWSR1-FLI1	chr1	60017191	60017208	+	0.000	0.000	Merged-chr1-60017133-4
NR11629--MA0475.2.FLI1	chr9	120476547	120476556	-	0.000	0.000	Merged-chr9-120476447-20
NR7109--MA0149.1.EWSR1-FLI1	chr3	101066276	101066293	+	0.000	0.000	Merged-chr3-101066330-34
NR9812--MA0475.2.FLI1	chr7	19321598	19321607	-	0.000	0.000	Merged-chr7-19321656-26
NR11678--MA0149.1.EWSR1-FLI1	chr9	122398964	122398981	+	0.000	0.000	Merged-chr9-122399009-31
NR1492--MA0475.2.FLI1	chr10	119083601	119083610	+	0.000	0.000	Merged-chr10-119083697-27
NR2676--MA0475.2.FLI1	chr12	104236074	104236083	+	0.000	0.000	Merged-chr12-104236095-61
NR11624--MA0149.1.EWSR1-FLI1	chr9	120082791	120082808	-	0.000	0.000	Merged-chr9-120082843-44
NR10710--MA0475.2.FLI1	chr8	77292819	77292828	+	0.000	0.000	Merged-chr8-77292720-71
NR1690--MA0149.1.EWSR1-FLI1	chr11	22814238	22814255	+	0.000	0.000	Merged-chr11-22814136-127
NR11399--MA0149.1.EWSR1-FLI1	chr9	92274697	92274714	+	0.000	0.000	Merged-chr9-92274591-56
NR9373--MA0149.1.EWSR1-FLI1	chr6	108448382	108448399	-	0.000	0.000	Merged-chr6-108448378-58
NR1488--MA0475.2.FLI1	chr10	118854806	118854815	+	0.000	0.000	Merged-chr10-118854630-50
NR9739--MA0149.1.EWSR1-FLI1	chr6	148436487	148436504	-	0.000	0.000	Merged-chr6-148436541-68
NR4421--MA0149.1.EWSR1-FLI1	chr16	52143415	52143432	-	0.000	0.000	Merged-chr16-52143257-58
NR10050--MA0149.1.EWSR1-FLI1	chr7	80091721	80091738	-	0.000	0.000	Merged-chr7-80091619-59
NR711--MA0149.1.EWSR1-FLI1	chr1	177455704	177455721	+	0.000	0.000	Merged-chr1-177455545-12
NR10993--MA0475.2.FLI1	chr8	128433413	128433422	+	0.000	0.000	Merged-chr8-128433570-8
NR7970--MA0475.2.FLI1	chr4	128618676	128618685	-	0.000	0.000	Merged-chr4-128618755-32
NR5419--MA0475.2.FLI1	chr18	79303632	79303641	-	0.000	0.000	Merged-chr18-79303705-44
NR2939--MA0149.1.EWSR1-FLI1	chr13	43789201	43789218	+	0.000	0.000	Merged-chr13-43789112-65
NR5325--MA0475.2.FLI1	chr18	62192285	62192294	-	0.000	0.000	Merged-chr18-62192443-48
NR615--MA0149.1.EWSR1-FLI1	chr1	165985855	165985872	+	0.000	0.000	Merged-chr1-165985990-54
NR11400--MA0149.1.EWSR1-FLI1	chr9	92274701	92274718	+	0.000	0.000	Merged-chr9-92274591-56
NR2651--MA0475.2.FLI1	chr12	100165008	100165017	+	0.000	0.000	Merged-chr12-100165165-51
NR10470--MA0475.2.FLI1	chr7	137476590	137476599	-	0.000	0.000	Merged-chr7-137476773-22
NR4137--MA0475.2.FLI1	chr15	92134529	92134538	+	0.000	0.000	Merged-chr15-92134460-52
NR4847--MA0149.1.EWSR1-FLI1	chr17	44458117	44458134	+	0.000	0.000	Merged-chr17-44458009-9
NR5339--MA0475.2.FLI1	chr18	67502710	67502719	-	0.000	0.000	Merged-chr18-67502827-16
NR5042--MA0149.1.EWSR1-FLI1	chr17	74869951	74869968	-	0.000	0.000	Merged-chr17-74869887-51
NR562--MA0475.2.FLI1	chr1	160246107	160246116	+	0.000	0.000	Merged-chr1-160246205-43
NR2440--MA0149.1.EWSR1-FLI1	chr12	36317407	36317424	+	0.000	0.000	Merged-chr12-36317326-46
NR3773--MA0475.2.FLI1	chr14	118173676	118173685	+	0.000	0.000	Merged-chr14-118173746-41
NR10108--MA0149.1.EWSR1-FLI1	chr7	89712747	89712764	-	0.000	0.000	Merged-chr7-89712844-48
NR3718--MA0149.1.EWSR1-FLI1	chr14	99419196	99419213	-	0.000	0.000	Merged-chr14-99419131-33
NR11458--MA0475.2.FLI1	chr9	102622579	102622588	-	0.000	0.000	Merged-chr9-102622526-34
NR6372--MA0149.1.EWSR1-FLI1	chr2	128111798	128111815	-	0.000	0.000	Merged-chr2-128111932-19
NR5631--MA0149.1.EWSR1-FLI1	chr19	33053329	33053346	-	0.000	0.000	Merged-chr19-33053321-32
NR6538--MA0149.1.EWSR1-FLI1	chr2	158450861	158450878	-	0.000	0.000	Merged-chr2-158450944-19
NR742--MA0149.1.EWSR1-FLI1	chr1	181256770	181256787	+	0.000	0.000	Merged-chr1-181256937-103
NR9375--MA0149.1.EWSR1-FLI1	chr6	108448387	108448404	-	0.000	0.000	Merged-chr6-108448378-58
NR4502--MA0149.1.EWSR1-FLI1	chr16	76249871	76249888	+	0.000	0.000	Merged-chr16-76249767-78
NR3862--MA0149.1.EWSR1-FLI1	chr15	12895615	12895632	+	0.000	0.000	Merged-chr15-12895648-51
NR5718--MA0149.1.EWSR1-FLI1	chr19	55792954	55792971	-	0.000	0.000	Merged-chr19-55792789-50
NR8938--MA0149.1.EWSR1-FLI1	chr5	148709270	148709287	+	0.000	0.000	Merged-chr5-148709171-35
NR3741--MA0149.1.EWSR1-FLI1	chr14	105603154	105603171	-	0.000	0.000	Merged-chr14-105603111-38
NR10314--MA0149.1.EWSR1-FLI1	chr7	119860367	119860384	+	0.000	0.000	Merged-chr7-119860527-21
NR3106--MA0149.1.EWSR1-FLI1	chr13	84769203	84769220	-	0.000	0.000	Merged-chr13-84769190-19
NR4082--MA0149.1.EWSR1-FLI1	chr15	80192519	80192536	-	0.000	0.000	Merged-chr15-80192413-58
NR1667--MA0475.2.FLI1	chr11	11726279	11726288	-	0.000	0.000	Merged-chr11-11726036-106
NR6373--MA0149.1.EWSR1-FLI1	chr2	128111802	128111819	-	0.000	0.000	Merged-chr2-128111932-19
NR617--MA0149.1.EWSR1-FLI1	chr1	165985860	165985877	+	0.000	0.000	Merged-chr1-165985990-54
NR743--MA0149.1.EWSR1-FLI1	chr1	181256853	181256870	+	0.000	0.000	Merged-chr1-181256937-103
NR6109--MA0149.1.EWSR1-FLI1	chr2	70118912	70118929	-	0.000	0.000	Merged-chr2-70118902-52
NR6361--MA0149.1.EWSR1-FLI1	chr2	125422577	125422594	+	0.000	0.000	Merged-chr2-125422559-12
