#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gabpa/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR1982--MA0062.2.Gabpa	chr19	14695624	14695634	-	0.000	0.000	Merged-chr19-14695584-43
NR234--MA0062.2.Gabpa	chr1	177383086	177383096	-	0.000	0.000	Merged-chr1-177382915-26
NR2643--MA0062.2.Gabpa	chr3	148491392	148491402	+	0.000	0.000	Merged-chr3-148491583-74
NR436--MA0062.2.Gabpa	chr10	94523915	94523925	+	0.000	0.000	Merged-chr10-94523917-65
NR3681--MA0062.2.Gabpa	chr7	137476588	137476598	-	0.000	0.000	Merged-chr7-137476773-22
NR3822--MA0062.2.Gabpa	chr8	96552726	96552736	-	0.000	0.000	Merged-chr8-96552694-31
NR1542--MA0062.2.Gabpa	chr16	49791018	49791028	-	0.000	0.000	Merged-chr16-49791055-52
NR3692--MA0062.2.Gabpa	chr7	144444950	144444960	+	0.000	0.000	Merged-chr7-144445036-55
NR2851--MA0062.2.Gabpa	chr4	128618674	128618684	-	0.000	0.000	Merged-chr4-128618755-32
NR1534--MA0062.2.Gabpa	chr16	45025509	45025519	-	0.000	0.000	Merged-chr16-45025536-40
NR2973--MA0062.2.Gabpa	chr5	28269875	28269885	+	0.000	0.000	Merged-chr5-28269924-54
NR3437--MA0062.2.Gabpa	chr7	19321596	19321606	-	0.000	0.000	Merged-chr7-19321656-26
NR3145--MA0062.2.Gabpa	chr5	135703102	135703112	-	0.000	0.000	Merged-chr5-135702928-61
NR3267--MA0062.2.Gabpa	chr6	73254917	73254927	-	0.000	0.000	Merged-chr6-73255048-51
NR3193--MA0062.2.Gabpa	chr5	150840731	150840741	-	0.000	0.000	Merged-chr5-150840546-64
NR3368--MA0062.2.Gabpa	chr6	134348673	134348683	+	0.000	0.000	Merged-chr6-134348726-53
NR621--MA0062.2.Gabpa	chr11	72946542	72946552	-	0.000	0.000	Merged-chr11-72946553-29
NR852--MA0062.2.Gabpa	chr12	70075130	70075140	+	0.000	0.000	Merged-chr12-70075230-35
NR233--MA0062.2.Gabpa	chr1	177383080	177383090	-	0.000	0.000	Merged-chr1-177382915-26
NR443--MA0062.2.Gabpa	chr10	95746028	95746038	-	0.000	0.000	Merged-chr10-95746044-53
