#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed
NR4491--MA0149.1.EWSR1-FLI1	chr17	33550439	33550456	-	0.000	0.000	Merged-chr17-33550477-13
NR3866--MA0149.1.EWSR1-FLI1	chr15	86058692	86058709	+	0.000	0.000	Merged-chr15-86058836-53
NR959--MA0149.1.EWSR1-FLI1	chr10	41595854	41595871	-	0.000	0.000	Merged-chr10-41595749-48
NR2183--MA0149.1.EWSR1-FLI1	chr11	119524524	119524541	+	0.000	0.000	Merged-chr11-119524712-24
NR2675--MA0149.1.EWSR1-FLI1	chr13	17627380	17627397	-	0.000	0.000	Merged-chr13-17627310-18
NR2554--MA0149.1.EWSR1-FLI1	chr12	107139071	107139088	+	0.000	0.000	Merged-chr12-107139139-48
NR843--MA0149.1.EWSR1-FLI1	chr10	10307564	10307581	+	0.000	0.000	Merged-chr10-10307543-35
NR4803--MA0149.1.EWSR1-FLI1	chr18	7869262	7869279	+	0.000	0.000	Merged-chr18-7869140-116
NR1279--MA0149.1.EWSR1-FLI1	chr10	98954417	98954434	-	0.000	0.000	Merged-chr10-98954460-23
NR2653--MA0475.2.FLI1	chr13	3611311	3611320	+	0.000	0.000	Merged-chr13-3611189-5
NR3825--MA0149.1.EWSR1-FLI1	chr15	80582878	80582895	-	0.000	0.000	Merged-chr15-80582931-41
NR2179--MA0149.1.EWSR1-FLI1	chr11	119524516	119524533	+	0.000	0.000	Merged-chr11-119524712-24
NR4833--MA0475.2.FLI1	chr18	31911272	31911281	-	0.000	0.000	Merged-chr18-31911303-2
NR3830--MA0149.1.EWSR1-FLI1	chr15	80896956	80896973	-	0.000	0.000	Merged-chr15-80896921-31
NR8906--MA0149.1.EWSR1-FLI1	chr6	145249575	145249592	-	0.000	0.000	Merged-chr6-145249454-6
NR7785--MA0475.2.FLI1	chr5	65851074	65851083	-	0.000	0.000	Merged-chr5-65850971-35
NR1873--MA0149.1.EWSR1-FLI1	chr11	86424830	86424847	-	0.000	0.000	Merged-chr11-86424815-14
NR5633--MA0475.2.FLI1	chr2	65044596	65044605	-	0.000	0.000	Merged-chr2-65044504-13
NR177--MA0149.1.EWSR1-FLI1	chr1	79711419	79711436	+	0.000	0.000	Merged-chr1-79711508-65
NR3329--MA0149.1.EWSR1-FLI1	chr14	54603522	54603539	+	0.000	0.000	Merged-chr14-54603341-56
NR5007--MA0149.1.EWSR1-FLI1	chr18	80178547	80178564	+	0.000	0.000	Merged-chr18-80178605-23
NR7278--MA0149.1.EWSR1-FLI1	chr4	116053333	116053350	+	0.000	0.000	Merged-chr4-116053495-96
NR10142--MA0149.1.EWSR1-FLI1	chr9	20983238	20983255	-	0.000	0.000	Merged-chr9-20983328-26
NR4137--MA0475.2.FLI1	chr16	43650493	43650502	-	0.000	0.000	Merged-chr16-43650685-39
NR8183--MA0475.2.FLI1	chr5	146757460	146757469	+	0.000	0.000	Merged-chr5-146757539-9
NR10466--MA0475.2.FLI1	chr9	88709889	88709898	-	0.000	0.000	Merged-chr9-88709854-64
NR10046--MA0149.1.EWSR1-FLI1	chr8	124275702	124275719	+	0.000	0.000	Merged-chr8-124275920-41
NR3656--MA0149.1.EWSR1-FLI1	chr15	34096556	34096573	+	0.000	0.000	Merged-chr15-34096594-23
NR2683--MA0475.2.FLI1	chr13	19518173	19518182	+	0.000	0.000	Merged-chr13-19518295-27
NR8618--MA0475.2.FLI1	chr6	108844223	108844232	+	0.000	0.000	Merged-chr6-108844262-40
NR1253--MA0475.2.FLI1	chr10	95196011	95196020	-	0.000	0.000	Merged-chr10-95195945-40
NR4075--MA0475.2.FLI1	chr16	23328323	23328332	-	0.000	0.000	Merged-chr16-23328334-50
NR4138--MA0149.1.EWSR1-FLI1	chr16	43650482	43650499	-	0.000	0.000	Merged-chr16-43650685-39
NR8779--MA0149.1.EWSR1-FLI1	chr6	128976447	128976464	-	0.000	0.000	Merged-chr6-128976385-10
NR8171--MA0149.1.EWSR1-FLI1	chr5	144216103	144216120	+	0.000	0.000	Merged-chr5-144216200-16
NR8846--MA0149.1.EWSR1-FLI1	chr6	140767101	140767118	-	0.000	0.000	Merged-chr6-140766985-92
NR3326--MA0475.2.FLI1	chr14	54218921	54218930	-	0.000	0.000	Merged-chr14-54218984-23
NR1892--MA0149.1.EWSR1-FLI1	chr11	88718372	88718389	-	0.000	0.000	Merged-chr11-88718407-109
NR3447--MA0475.2.FLI1	chr14	75034264	75034273	+	0.000	0.000	Merged-chr14-75034378-51
NR5631--MA0149.1.EWSR1-FLI1	chr2	65044465	65044482	+	0.000	0.000	Merged-chr2-65044504-13
NR8851--MA0149.1.EWSR1-FLI1	chr6	142561289	142561306	+	0.000	0.000	Merged-chr6-142561422-52
NR4865--MA0149.1.EWSR1-FLI1	chr18	39185922	39185939	+	0.000	0.000	Merged-chr18-39185847-29
NR2678--MA0149.1.EWSR1-FLI1	chr13	17627392	17627409	-	0.000	0.000	Merged-chr13-17627310-18
NR268--MA0475.2.FLI1	chr1	92469002	92469011	+	0.000	0.000	Merged-chr1-92469061-38
NR7351--MA0149.1.EWSR1-FLI1	chr4	126862074	126862091	+	0.000	0.000	Merged-chr4-126861919-23
NR4685--MA0475.2.FLI1	chr17	78351748	78351757	-	0.000	0.000	Merged-chr17-78351969-128
NR10423--MA0475.2.FLI1	chr9	80282604	80282613	-	0.000	0.000	Merged-chr9-80282711-23
NR2053--MA0149.1.EWSR1-FLI1	chr11	107458520	107458537	+	0.000	0.000	Merged-chr11-107458669-70
NR8901--MA0149.1.EWSR1-FLI1	chr6	145105111	145105128	-	0.000	0.000	Merged-chr6-145105130-3
NR8560--MA0149.1.EWSR1-FLI1	chr6	97321261	97321278	+	0.000	0.000	Merged-chr6-97321339-36
NR3828--MA0149.1.EWSR1-FLI1	chr15	80896924	80896941	-	0.000	0.000	Merged-chr15-80896921-31
NR555--MA0149.1.EWSR1-FLI1	chr1	165691707	165691724	-	0.000	0.000	Merged-chr1-165691684-32
NR4834--MA0475.2.FLI1	chr18	31911298	31911307	+	0.000	0.000	Merged-chr18-31911303-2
NR5182--MA0149.1.EWSR1-FLI1	chr19	37110663	37110680	-	0.000	0.000	Merged-chr19-37110576-17
NR5983--MA0149.1.EWSR1-FLI1	chr2	147030881	147030898	+	0.000	0.000	Merged-chr2-147030791-19
NR2024--MA0149.1.EWSR1-FLI1	chr11	104667675	104667692	-	0.000	0.000	Merged-chr11-104667644-45
NR10805--MA0475.2.FLI1	chrX	50565234	50565243	-	0.000	0.000	Merged-chrX-50565283-19
