#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR1736--MA0640.1.ELF3	chr11	72946543	72946555	-	0.000	0.000	Merged-chr11-72946553-29
NR7582--MA0473.2.ELF1	chr4	139319923	139319934	+	0.000	0.000	Merged-chr4-139319909-27
NR5502--MA0136.2.ELF5	chr19	44281186	44281196	+	0.000	0.000	Merged-chr19-44281022-35
NR10188--MA0641.1.ELF4	chr8	125649592	125649603	+	0.000	0.000	Merged-chr8-125649394-37
NR8001--MA0473.2.ELF1	chr5	98018296	98018307	+	0.000	0.000	Merged-chr5-98018284-53
NR1837--MA0136.2.ELF5	chr11	84252639	84252649	-	0.000	0.000	Merged-chr11-84252620-21
NR3178--MA0640.1.ELF3	chr14	7913887	7913899	-	0.000	0.000	Merged-chr14-7914040-29
NR1446--MA0640.1.ELF3	chr11	11726278	11726290	-	0.000	0.000	Merged-chr11-11726036-106
NR9019--MA0640.1.ELF3	chr7	4614287	4614299	-	0.000	0.000	Merged-chr7-4614138-46
NR632--MA0136.2.ELF5	chr1	171975651	171975661	-	0.000	0.000	Merged-chr1-171975842-43
NR9370--MA0136.2.ELF5	chr7	89712050	89712060	+	0.000	0.000	Merged-chr7-89711964-5
NR6413--MA0473.2.ELF1	chr2	165453487	165453498	-	0.000	0.000	Merged-chr2-165453384-56
NR7410--MA0136.2.ELF5	chr4	117478229	117478239	+	0.000	0.000	Merged-chr4-117478210-39
NR3287--MA0473.2.ELF1	chr14	46578293	46578304	-	0.000	0.000	Merged-chr14-46578431-37
NR552--MA0136.2.ELF5	chr1	160246106	160246116	+	0.000	0.000	Merged-chr1-160246205-43
NR9633--MA0640.1.ELF3	chr7	132702778	132702790	-	0.000	0.000	Merged-chr7-132702776-14
NR4761--MA0641.1.ELF4	chr17	62857495	62857506	+	0.000	0.000	Merged-chr17-62857583-41
NR1373--MA0136.2.ELF5	chr10	128940647	128940657	+	0.000	0.000	Merged-chr10-128940717-41
NR7583--MA0641.1.ELF4	chr4	139319923	139319934	+	0.000	0.000	Merged-chr4-139319909-27
NR8002--MA0640.1.ELF3	chr5	98018296	98018308	+	0.000	0.000	Merged-chr5-98018284-53
NR911--MA0136.2.ELF5	chr10	40451971	40451981	-	0.000	0.000	Merged-chr10-40451996-39
NR8988--MA0473.2.ELF1	chr6	144919925	144919936	-	0.000	0.000	Merged-chr6-144919933-48
NR4078--MA0473.2.ELF1	chr16	24860682	24860693	+	0.000	0.000	Merged-chr16-24860567-33
NR7918--MA0136.2.ELF5	chr5	64989939	64989949	+	0.000	0.000	Merged-chr5-64990076-28
NR1880--MA0136.2.ELF5	chr11	93995199	93995209	+	0.000	0.000	Merged-chr11-93995310-5
NR1737--MA0136.2.ELF5	chr11	72946544	72946554	-	0.000	0.000	Merged-chr11-72946553-29
NR7563--MA0640.1.ELF3	chr4	138259672	138259684	-	0.000	0.000	Merged-chr4-138259629-9
NR664--MA0641.1.ELF4	chr1	177383088	177383099	-	0.000	0.000	Merged-chr1-177382915-26
NR661--MA0473.2.ELF1	chr1	177383088	177383099	-	0.000	0.000	Merged-chr1-177382915-26
NR4079--MA0640.1.ELF3	chr16	24860682	24860694	+	0.000	0.000	Merged-chr16-24860567-33
NR8989--MA0641.1.ELF4	chr6	144919925	144919936	-	0.000	0.000	Merged-chr6-144919933-48
NR5890--MA0640.1.ELF3	chr2	57256211	57256223	+	0.000	0.000	Merged-chr2-57256116-15
NR7332--MA0473.2.ELF1	chr4	97996113	97996124	-	0.000	0.000	Merged-chr4-97996259-58
NR9426--MA0640.1.ELF3	chr7	100700019	100700031	+	0.000	0.000	Merged-chr7-100699955-31
NR10856--MA0640.1.ELF3	chr9	122272104	122272116	+	0.000	0.000	Merged-chr9-122271996-35
NR4460--MA0641.1.ELF4	chr17	21463686	21463697	+	0.000	0.000	Merged-chr17-21463736-49
NR9302--MA0473.2.ELF1	chr7	76229111	76229122	+	0.000	0.000	Merged-chr7-76229137-51
NR7467--MA0473.2.ELF1	chr4	128618676	128618687	-	0.000	0.000	Merged-chr4-128618755-32
NR8003--MA0136.2.ELF5	chr5	98018297	98018307	+	0.000	0.000	Merged-chr5-98018284-53
NR10406--MA0473.2.ELF1	chr9	52349426	52349437	-	0.000	0.000	Merged-chr9-52349266-37
NR3080--MA0641.1.ELF4	chr13	108072342	108072353	-	0.000	0.000	Merged-chr13-108072263-25
NR9679--MA0473.2.ELF1	chr7	140947141	140947152	-	0.000	0.000	Merged-chr7-140947277-49
NR1878--MA0473.2.ELF1	chr11	93995198	93995209	+	0.000	0.000	Merged-chr11-93995310-5
NR6415--MA0136.2.ELF5	chr2	165453487	165453497	-	0.000	0.000	Merged-chr2-165453384-56
NR1806--MA0640.1.ELF3	chr11	79460868	79460880	+	0.000	0.000	Merged-chr11-79460952-43
NR1175--MA0640.1.ELF3	chr10	95746016	95746028	-	0.000	0.000	Merged-chr10-95746044-53
NR9303--MA0640.1.ELF3	chr7	76229111	76229123	+	0.000	0.000	Merged-chr7-76229137-51
NR7468--MA0640.1.ELF3	chr4	128618675	128618687	-	0.000	0.000	Merged-chr4-128618755-32
NR7016--MA0640.1.ELF3	chr3	136742847	136742859	+	0.000	0.000	Merged-chr3-136742959-57
NR8890--MA0473.2.ELF1	chr6	134414422	134414433	+	0.000	0.000	Merged-chr6-134414331-55
NR9625--MA0641.1.ELF4	chr7	130812526	130812537	+	0.000	0.000	Merged-chr7-130812664-20
NR5070--MA0473.2.ELF1	chr18	39083228	39083239	-	0.000	0.000	Merged-chr18-39083164-72
NR5071--MA0136.2.ELF5	chr18	39083228	39083238	-	0.000	0.000	Merged-chr18-39083164-72
NR10407--MA0640.1.ELF3	chr9	52349425	52349437	-	0.000	0.000	Merged-chr9-52349266-37
NR1293--MA0473.2.ELF1	chr10	118854804	118854815	+	0.000	0.000	Merged-chr10-118854630-50
NR9654--MA0473.2.ELF1	chr7	137476590	137476601	-	0.000	0.000	Merged-chr7-137476773-22
NR1879--MA0640.1.ELF3	chr11	93995198	93995210	+	0.000	0.000	Merged-chr11-93995310-5
NR5891--MA0136.2.ELF5	chr2	57256212	57256222	+	0.000	0.000	Merged-chr2-57256116-15
NR9999--MA0473.2.ELF1	chr8	96552728	96552739	-	0.000	0.000	Merged-chr8-96552694-31
NR10189--MA0473.2.ELF1	chr8	125669768	125669779	+	0.000	0.000	Merged-chr8-125669948-44
NR9427--MA0136.2.ELF5	chr7	100700020	100700030	+	0.000	0.000	Merged-chr7-100699955-31
NR10857--MA0136.2.ELF5	chr9	122272105	122272115	+	0.000	0.000	Merged-chr9-122271996-35
NR5662--MA0473.2.ELF1	chr2	10581309	10581320	-	0.000	0.000	Merged-chr2-10581253-23
NR752--MA0136.2.ELF5	chr1	191259420	191259430	-	0.000	0.000	Merged-chr1-191259374-46
NR5478--MA0640.1.ELF3	chr19	40257697	40257709	-	0.000	0.000	Merged-chr19-40257605-57
NR9020--MA0136.2.ELF5	chr7	4614288	4614298	-	0.000	0.000	Merged-chr7-4614138-46
NR553--MA0641.1.ELF4	chr1	160246105	160246116	+	0.000	0.000	Merged-chr1-160246205-43
NR4155--MA0641.1.ELF4	chr16	49791087	49791098	+	0.000	0.000	Merged-chr16-49791055-52
NR8891--MA0640.1.ELF3	chr6	134414422	134414434	+	0.000	0.000	Merged-chr6-134414331-55
NR654--MA0136.2.ELF5	chr1	174040947	174040957	+	0.000	0.000	Merged-chr1-174041007-47
NR7660--MA0136.2.ELF5	chr4	148509555	148509565	-	0.000	0.000	Merged-chr4-148509676-49
NR9655--MA0640.1.ELF3	chr7	137476589	137476601	-	0.000	0.000	Merged-chr7-137476773-22
NR5663--MA0640.1.ELF3	chr2	10581308	10581320	-	0.000	0.000	Merged-chr2-10581253-23
NR9626--MA0136.2.ELF5	chr7	130818994	130819004	-	0.000	0.000	Merged-chr7-130819109-29
NR1807--MA0136.2.ELF5	chr11	79460869	79460879	+	0.000	0.000	Merged-chr11-79460952-43
NR8572--MA0136.2.ELF5	chr6	73255068	73255078	+	0.000	0.000	Merged-chr6-73255048-51
NR9304--MA0136.2.ELF5	chr7	76229112	76229122	+	0.000	0.000	Merged-chr7-76229137-51
NR7469--MA0136.2.ELF5	chr4	128618676	128618686	-	0.000	0.000	Merged-chr4-128618755-32
NR3113--MA0473.2.ELF1	chr13	112388410	112388421	+	0.000	0.000	Merged-chr13-112388467-40
NR9920--MA0640.1.ELF3	chr8	77268303	77268315	+	0.000	0.000	Merged-chr8-77268341-22
NR1881--MA0641.1.ELF4	chr11	93995198	93995209	+	0.000	0.000	Merged-chr11-93995310-5
NR10408--MA0136.2.ELF5	chr9	52349426	52349436	-	0.000	0.000	Merged-chr9-52349266-37
NR2503--MA0473.2.ELF1	chr12	104236072	104236083	+	0.000	0.000	Merged-chr12-104236095-61
NR2504--MA0136.2.ELF5	chr12	104236073	104236083	+	0.000	0.000	Merged-chr12-104236095-61
NR554--MA0136.2.ELF5	chr1	160307073	160307083	-	0.000	0.000	Merged-chr1-160307254-61
NR5151--MA0473.2.ELF1	chr18	67502710	67502721	-	0.000	0.000	Merged-chr18-67502827-16
NR4080--MA0136.2.ELF5	chr16	24860683	24860693	+	0.000	0.000	Merged-chr16-24860567-33
NR5479--MA0136.2.ELF5	chr19	40257698	40257708	-	0.000	0.000	Merged-chr19-40257605-57
NR9680--MA0640.1.ELF3	chr7	140947140	140947152	-	0.000	0.000	Merged-chr7-140947277-49
NR8892--MA0136.2.ELF5	chr6	134414423	134414433	+	0.000	0.000	Merged-chr6-134414331-55
NR8646--MA0136.2.ELF5	chr6	89421737	89421747	-	0.000	0.000	Merged-chr6-89421751-50
NR912--MA0473.2.ELF1	chr10	41519891	41519902	-	0.000	0.000	Merged-chr10-41519783-1
NR9632--MA0473.2.ELF1	chr7	132702779	132702790	-	0.000	0.000	Merged-chr7-132702776-14
NR8684--MA0641.1.ELF4	chr6	94681650	94681661	+	0.000	0.000	Merged-chr6-94681460-83
NR8681--MA0473.2.ELF1	chr6	94681650	94681661	+	0.000	0.000	Merged-chr6-94681460-83
NR8004--MA0641.1.ELF4	chr5	98018296	98018307	+	0.000	0.000	Merged-chr5-98018284-53
NR9656--MA0136.2.ELF5	chr7	137476590	137476600	-	0.000	0.000	Merged-chr7-137476773-22
NR8010--MA0473.2.ELF1	chr5	99495575	99495586	-	0.000	0.000	Merged-chr5-99495568-41
NR4328--MA0136.2.ELF5	chr16	94185573	94185583	+	0.000	0.000	Merged-chr16-94185634-42
NR5664--MA0136.2.ELF5	chr2	10581309	10581319	-	0.000	0.000	Merged-chr2-10581253-23
NR8007--MA0136.2.ELF5	chr5	98018333	98018343	+	0.000	0.000	Merged-chr5-98018284-53
NR10323--MA0641.1.ELF4	chr9	35495661	35495672	+	0.000	0.000	Merged-chr9-35495678-50
NR10320--MA0473.2.ELF1	chr9	35495661	35495672	+	0.000	0.000	Merged-chr9-35495678-50
NR6416--MA0641.1.ELF4	chr2	165453487	165453498	-	0.000	0.000	Merged-chr2-165453384-56
NR6201--MA0641.1.ELF4	chr2	128367649	128367660	+	0.000	0.000	Merged-chr2-128367839-63
NR10225--MA0641.1.ELF4	chr8	128433411	128433422	+	0.000	0.000	Merged-chr8-128433570-8
NR8173--MA0136.2.ELF5	chr5	124907014	124907024	-	0.000	0.000	Merged-chr5-124907107-45
NR4154--MA0136.2.ELF5	chr16	49791088	49791098	+	0.000	0.000	Merged-chr16-49791055-52
NR5152--MA0641.1.ELF4	chr18	67502710	67502721	-	0.000	0.000	Merged-chr18-67502827-16
NR8682--MA0640.1.ELF3	chr6	94681650	94681662	+	0.000	0.000	Merged-chr6-94681460-83
NR3779--MA0640.1.ELF3	chr15	64163747	64163759	+	0.000	0.000	Merged-chr15-64163684-42
NR10186--MA0640.1.ELF3	chr8	125649592	125649604	+	0.000	0.000	Merged-chr8-125649394-37
NR913--MA0641.1.ELF4	chr10	41519891	41519902	-	0.000	0.000	Merged-chr10-41519783-1
NR10321--MA0640.1.ELF3	chr9	35495661	35495673	+	0.000	0.000	Merged-chr9-35495678-50
NR8011--MA0641.1.ELF4	chr5	99495575	99495586	-	0.000	0.000	Merged-chr5-99495568-41
NR6414--MA0640.1.ELF3	chr2	165453486	165453498	-	0.000	0.000	Merged-chr2-165453384-56
NR5892--MA0641.1.ELF4	chr2	57256211	57256222	+	0.000	0.000	Merged-chr2-57256116-15
NR3115--MA0136.2.ELF5	chr13	112388411	112388421	+	0.000	0.000	Merged-chr13-112388467-40
NR9681--MA0136.2.ELF5	chr7	140947141	140947151	-	0.000	0.000	Merged-chr7-140947277-49
NR10223--MA0640.1.ELF3	chr8	128433411	128433423	+	0.000	0.000	Merged-chr8-128433570-8
NR9021--MA0641.1.ELF4	chr7	4614252	4614263	-	0.000	0.000	Merged-chr7-4614138-46
NR9921--MA0641.1.ELF4	chr8	77292817	77292828	+	0.000	0.000	Merged-chr8-77292720-71
NR9355--MA0136.2.ELF5	chr7	83852793	83852803	-	0.000	0.000	Merged-chr7-83852721-40
NR655--MA0641.1.ELF4	chr1	174040946	174040957	+	0.000	0.000	Merged-chr1-174041007-47
NR3288--MA0641.1.ELF4	chr14	46578293	46578304	-	0.000	0.000	Merged-chr14-46578431-37
NR652--MA0473.2.ELF1	chr1	174040946	174040957	+	0.000	0.000	Merged-chr1-174041007-47
NR3398--MA0136.2.ELF5	chr14	64734627	64734637	-	0.000	0.000	Merged-chr14-64734579-23
NR662--MA0136.2.ELF5	chr1	177383082	177383092	-	0.000	0.000	Merged-chr1-177382915-26
NR9855--MA0640.1.ELF3	chr8	68212180	68212192	+	0.000	0.000	Merged-chr8-68212337-24
NR1447--MA0136.2.ELF5	chr11	11726279	11726289	-	0.000	0.000	Merged-chr11-11726036-106
NR10150--MA0136.2.ELF5	chr8	122830564	122830574	-	0.000	0.000	Merged-chr8-122830523-28
