#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf4/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR1979--MA0641.1.ELF4	chr6	95621889	95621900	+	0.000	0.000	Merged-chr6-95621938-31
NR1787--MA0641.1.ELF4	chr5	28269924	28269935	-	0.000	0.000	Merged-chr5-28269924-54
NR2318--MA0641.1.ELF4	chr8	124242384	124242395	-	0.000	0.000	Merged-chr8-124242348-54
NR2256--MA0641.1.ELF4	chr8	75202186	75202197	+	0.000	0.000	Merged-chr8-75202303-18
NR1972--MA0641.1.ELF4	chr6	88769725	88769736	+	0.000	0.000	Merged-chr6-88769866-45
NR2503--MA0641.1.ELF4	chrX	100504401	100504412	-	0.000	0.000	Merged-chrX-100504535-34
NR530--MA0641.1.ELF4	chr12	25255010	25255021	+	0.000	0.000	Merged-chr12-25254889-35
NR1105--MA0641.1.ELF4	chr17	45488789	45488800	+	0.000	0.000	Merged-chr17-45488824-86
NR1294--MA0641.1.ELF4	chr19	57970720	57970731	-	0.000	0.000	Merged-chr19-57970893-58
NR944--MA0641.1.ELF4	chr15	101388063	101388074	-	0.000	0.000	Merged-chr15-101388154-52
NR50--MA0641.1.ELF4	chr1	69454206	69454217	+	0.000	0.000	Merged-chr1-69454132-24
NR1112--MA0641.1.ELF4	chr17	51814552	51814563	+	0.000	0.000	Merged-chr17-51814512-17
NR2453--MA0641.1.ELF4	chr9	110641209	110641220	-	0.000	0.000	Merged-chr9-110641188-21
NR1229--MA0641.1.ELF4	chr18	80686236	80686247	-	0.000	0.000	Merged-chr18-80686265-50
NR1265--MA0641.1.ELF4	chr19	31337438	31337449	-	0.000	0.000	Merged-chr19-31337298-1
NR2293--MA0641.1.ELF4	chr8	111030249	111030260	+	0.000	0.000	Merged-chr8-111030084-39
NR1562--MA0641.1.ELF4	chr3	95673045	95673056	-	0.000	0.000	Merged-chr3-95672932-76
NR1030--MA0641.1.ELF4	chr16	90475941	90475952	-	0.000	0.000	Merged-chr16-90475942-51
NR1259--MA0641.1.ELF4	chr19	23323347	23323358	+	0.000	0.000	Merged-chr19-23323312-56
NR2380--MA0641.1.ELF4	chr9	60991748	60991759	-	0.000	0.000	Merged-chr9-60991715-48
NR161--MA0641.1.ELF4	chr1	173451903	173451914	+	0.000	0.000	Merged-chr1-173451815-42
NR1174--MA0641.1.ELF4	chr18	32880675	32880686	+	0.000	0.000	Merged-chr18-32880667-46
NR945--MA0641.1.ELF4	chr15	101388297	101388308	+	0.000	0.000	Merged-chr15-101388154-52
NR198--MA0641.1.ELF4	chr1	193181164	193181175	+	0.000	0.000	Merged-chr1-193181317-39
NR29--MA0641.1.ELF4	chr1	51585134	51585145	-	0.000	0.000	Merged-chr1-51585090-58
NR409--MA0641.1.ELF4	chr11	62762004	62762015	+	0.000	0.000	Merged-chr11-62762057-29
NR315--MA0641.1.ELF4	chr10	118556664	118556675	+	0.000	0.000	Merged-chr10-118556627-31
