#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf4/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR1947--MA0641.1.ELF4	chr6	57449465	57449476	+	0.000	0.000	Merged-chr6-57449516-18
NR608--MA0641.1.ELF4	chr12	109067867	109067878	-	0.000	0.000	Merged-chr12-109068052-48
NR1787--MA0641.1.ELF4	chr5	28269924	28269935	-	0.000	0.000	Merged-chr5-28269924-54
NR2260--MA0641.1.ELF4	chr8	79682534	79682545	+	0.000	0.000	Merged-chr8-79682361-5
NR941--MA0641.1.ELF4	chr15	100182724	100182735	-	0.000	0.000	Merged-chr15-100182935-17
NR2046--MA0641.1.ELF4	chr6	146481597	146481608	-	0.000	0.000	Merged-chr6-146481511-38
NR25--MA0641.1.ELF4	chr1	43457258	43457269	-	0.000	0.000	Merged-chr1-43457148-27
NR991--MA0641.1.ELF4	chr16	30597168	30597179	-	0.000	0.000	Merged-chr16-30597297-42
NR535--MA0641.1.ELF4	chr12	31756196	31756207	+	0.000	0.000	Merged-chr12-31756239-29
NR1351--MA0641.1.ELF4	chr2	61483987	61483998	-	0.000	0.000	Merged-chr2-61484018-22
NR222--MA0641.1.ELF4	chr10	21946896	21946907	-	0.000	0.000	Merged-chr10-21947042-21
NR567--MA0641.1.ELF4	chr12	75529544	75529555	-	0.000	0.000	Merged-chr12-75529598-12
NR2343--MA0641.1.ELF4	chr9	22430256	22430267	+	0.000	0.000	Merged-chr9-22430293-25
NR124--MA0641.1.ELF4	chr1	155740764	155740775	+	0.000	0.000	Merged-chr1-155740912-26
NR1813--MA0641.1.ELF4	chr5	67300127	67300138	-	0.000	0.000	Merged-chr5-67300252-37
NR2021--MA0641.1.ELF4	chr6	134414422	134414433	+	0.000	0.000	Merged-chr6-134414331-55
NR263--MA0641.1.ELF4	chr10	77864409	77864420	+	0.000	0.000	Merged-chr10-77864570-37
NR160--MA0641.1.ELF4	chr1	172623799	172623810	-	0.000	0.000	Merged-chr1-172623833-20
NR290--MA0641.1.ELF4	chr10	94087445	94087456	-	0.000	0.000	Merged-chr10-94087553-20
NR1827--MA0641.1.ELF4	chr5	98018332	98018343	+	0.000	0.000	Merged-chr5-98018284-53
NR1555--MA0641.1.ELF4	chr3	89911273	89911284	-	0.000	0.000	Merged-chr3-89911440-10
NR1233--MA0641.1.ELF4	chr18	84874243	84874254	-	0.000	0.000	Merged-chr18-84874398-59
NR2350--MA0641.1.ELF4	chr9	35016912	35016923	-	0.000	0.000	Merged-chr9-35016972-25
NR1802--MA0641.1.ELF4	chr5	52125928	52125939	-	0.000	0.000	Merged-chr5-52126006-25
NR803--MA0641.1.ELF4	chr14	47395855	47395866	-	0.000	0.000	Merged-chr14-47395869-114
NR1973--MA0641.1.ELF4	chr6	89288329	89288340	-	0.000	0.000	Merged-chr6-89288372-31
NR1400--MA0641.1.ELF4	chr2	114032495	114032506	+	0.000	0.000	Merged-chr2-114032469-18
NR1969--MA0641.1.ELF4	chr6	85339393	85339404	+	0.000	0.000	Merged-chr6-85339410-34
NR992--MA0641.1.ELF4	chr16	30686775	30686786	+	0.000	0.000	Merged-chr16-30686693-12
NR634--MA0641.1.ELF4	chr13	12349509	12349520	+	0.000	0.000	Merged-chr13-12349518-23
NR2522--MA0641.1.ELF4	chrX	159199658	159199669	-	0.000	0.000	Merged-chrX-159199808-53
NR223--MA0641.1.ELF4	chr10	25268625	25268636	-	0.000	0.000	Merged-chr10-25268678-14
NR1908--MA0641.1.ELF4	chr5	149428522	149428533	-	0.000	0.000	Merged-chr5-149428707-59
NR2170--MA0641.1.ELF4	chr7	117429127	117429138	+	0.000	0.000	Merged-chr7-117429043-56
NR721--MA0641.1.ELF4	chr13	93546229	93546240	+	0.000	0.000	Merged-chr13-93546286-16
NR1076--MA0641.1.ELF4	chr17	29082047	29082058	+	0.000	0.000	Merged-chr17-29082107-45
NR1976--MA0641.1.ELF4	chr6	91698970	91698981	-	0.000	0.000	Merged-chr6-91699017-27
NR847--MA0641.1.ELF4	chr14	99041495	99041506	-	0.000	0.000	Merged-chr14-99041540-15
NR753--MA0641.1.ELF4	chr13	113418394	113418405	+	0.000	0.000	Merged-chr13-113418245-6
NR47--MA0641.1.ELF4	chr1	66987767	66987778	+	0.000	0.000	Merged-chr1-66987794-41
NR351--MA0641.1.ELF4	chr11	11726279	11726290	-	0.000	0.000	Merged-chr11-11726036-106
NR1458--MA0641.1.ELF4	chr2	152104991	152105002	-	0.000	0.000	Merged-chr2-152105009-1
NR88--MA0641.1.ELF4	chr1	98022169	98022180	-	0.000	0.000	Merged-chr1-98022036-10
