#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed
NR2682--MA0098.3.ETS1	chr6	115577642	115577651	-	0.000	0.000	Merged-chr6-115577839-87
NR1006--MA0098.3.ETS1	chr14	58968143	58968152	+	0.000	0.000	Merged-chr14-58968106-10
NR1118--MA0098.3.ETS1	chr15	52944808	52944817	-	0.000	0.000	Merged-chr15-52944849-44
NR1821--MA0098.3.ETS1	chr2	103668260	103668269	+	0.000	0.000	Merged-chr2-103668249-32
NR271--MA0098.3.ETS1	chr10	40025315	40025324	+	0.000	0.000	Merged-chr10-40025208-45
NR2356--MA0098.3.ETS1	chr4	152247182	152247191	-	0.000	0.000	Merged-chr4-152247398-23
NR383--MA0098.3.ETS1	chr10	99268584	99268593	-	0.000	0.000	Merged-chr10-99268470-1
NR2034--MA0098.3.ETS1	chr3	79153381	79153390	-	0.000	0.000	Merged-chr3-79153347-66
NR1186--MA0098.3.ETS1	chr15	85042661	85042670	+	0.000	0.000	Merged-chr15-85042702-72
NR2621--MA0098.3.ETS1	chr6	70103435	70103444	-	0.000	0.000	Merged-chr6-70103466-27
NR863--MA0098.3.ETS1	chr13	65070150	65070159	-	0.000	0.000	Merged-chr13-65070187-24
NR1303--MA0098.3.ETS1	chr16	92443750	92443759	-	0.000	0.000	Merged-chr16-92443749-37
NR2658--MA0098.3.ETS1	chr6	91698970	91698979	-	0.000	0.000	Merged-chr6-91699017-27
NR2309--MA0098.3.ETS1	chr4	131696205	131696214	+	0.000	0.000	Merged-chr4-131696229-22
NR2591--MA0098.3.ETS1	chr6	30227487	30227496	-	0.000	0.000	Merged-chr6-30227395-32
NR820--MA0098.3.ETS1	chr13	41773997	41774006	+	0.000	0.000	Merged-chr13-41774048-23
NR606--MA0098.3.ETS1	chr11	109347911	109347920	+	0.000	0.000	Merged-chr11-109347836-28
NR736--MA0098.3.ETS1	chr12	102303809	102303818	+	0.000	0.000	Merged-chr12-102303836-23
NR526--MA0098.3.ETS1	chr11	77887509	77887518	+	0.000	0.000	Merged-chr11-77887652-60
NR1445--MA0098.3.ETS1	chr17	73222146	73222155	-	0.000	0.000	Merged-chr17-73222261-20
NR2110--MA0098.3.ETS1	chr3	122474360	122474369	+	0.000	0.000	Merged-chr3-122474297-38
NR2222--MA0098.3.ETS1	chr4	54527845	54527854	+	0.000	0.000	Merged-chr4-54527768-19
NR3214--MA0098.3.ETS1	chr9	105078930	105078939	+	0.000	0.000	Merged-chr9-105078921-24
NR3018--MA0098.3.ETS1	chr8	104039505	104039514	-	0.000	0.000	Merged-chr8-104039758-41
NR403--MA0098.3.ETS1	chr10	118195014	118195023	-	0.000	0.000	Merged-chr10-118194882-1
NR1989--MA0098.3.ETS1	chr3	9500062	9500071	-	0.000	0.000	Merged-chr3-9499976-58
NR4--MA0098.3.ETS1	chr1	13593600	13593609	-	0.000	0.000	Merged-chr1-13593495-61
NR323--MA0098.3.ETS1	chr10	78421128	78421137	-	0.000	0.000	Merged-chr10-78421100-18
NR556--MA0098.3.ETS1	chr11	90576786	90576795	+	0.000	0.000	Merged-chr11-90576690-20
NR1946--MA0098.3.ETS1	chr2	169089253	169089262	-	0.000	0.000	Merged-chr2-169089199-37
NR53--MA0098.3.ETS1	chr1	75248582	75248591	-	0.000	0.000	Merged-chr1-75248518-31
NR527--MA0098.3.ETS1	chr11	77887816	77887825	+	0.000	0.000	Merged-chr11-77887652-60
NR1692--MA0098.3.ETS1	chr2	11429792	11429801	-	0.000	0.000	Merged-chr2-11429787-25
NR1446--MA0098.3.ETS1	chr17	73247124	73247133	-	0.000	0.000	Merged-chr17-73247076-30
NR1482--MA0098.3.ETS1	chr18	6484866	6484875	-	0.000	0.000	Merged-chr18-6484878-33
NR1921--MA0098.3.ETS1	chr2	160742321	160742330	-	0.000	0.000	Merged-chr2-160742233-56
NR2438--MA0098.3.ETS1	chr5	86741418	86741427	-	0.000	0.000	Merged-chr5-86741340-29
NR3098--MA0098.3.ETS1	chr9	22430110	22430119	+	0.000	0.000	Merged-chr9-22430293-25
NR2371--MA0098.3.ETS1	chr5	9107474	9107483	+	0.000	0.000	Merged-chr5-9107352-33
NR2255--MA0098.3.ETS1	chr4	102908235	102908244	+	0.000	0.000	Merged-chr4-102908208-33
NR1501--MA0098.3.ETS1	chr18	35776798	35776807	-	0.000	0.000	Merged-chr18-35776738-19
NR1613--MA0098.3.ETS1	chr19	10688903	10688912	-	0.000	0.000	Merged-chr19-10688915-74
NR2833--MA0098.3.ETS1	chr7	68478873	68478882	-	0.000	0.000	Merged-chr7-68478943-25
NR1896--MA0098.3.ETS1	chr2	146517054	146517063	+	0.000	0.000	Merged-chr2-146517219-24
NR2557--MA0098.3.ETS1	chr5	148501373	148501382	+	0.000	0.000	Merged-chr5-148501527-73
NR2575--MA0098.3.ETS1	chr6	5997717	5997726	-	0.000	0.000	Merged-chr6-5997718-16
NR1830--MA0098.3.ETS1	chr2	112676824	112676833	-	0.000	0.000	Merged-chr2-112676754-32
NR701--MA0098.3.ETS1	chr12	75494765	75494774	+	0.000	0.000	Merged-chr12-75494766-18
NR276--MA0098.3.ETS1	chr10	42934828	42934837	+	0.000	0.000	Merged-chr10-42934777-29
NR948--MA0098.3.ETS1	chr14	14042491	14042500	-	0.000	0.000	Merged-chr14-14042557-42
NR1545--MA0098.3.ETS1	chr18	65319187	65319196	+	0.000	0.000	Merged-chr18-65319104-54
NR2729--MA0098.3.ETS1	chr6	134883897	134883906	+	0.000	0.000	Merged-chr6-134883955-22
NR2420--MA0098.3.ETS1	chr5	64029959	64029968	+	0.000	0.000	Merged-chr5-64029830-27
NR807--MA0098.3.ETS1	chr13	28551780	28551789	+	0.000	0.000	Merged-chr13-28551845-49
NR1650--MA0098.3.ETS1	chr19	41031175	41031184	+	0.000	0.000	Merged-chr19-41031181-46
NR1762--MA0098.3.ETS1	chr2	56028623	56028632	+	0.000	0.000	Merged-chr2-56028640-17
NR1516--MA0098.3.ETS1	chr18	46013433	46013442	+	0.000	0.000	Merged-chr18-46013388-48
NR893--MA0098.3.ETS1	chr13	95956687	95956696	-	0.000	0.000	Merged-chr13-95956684-58
NR3088--MA0098.3.ETS1	chr9	15279983	15279992	-	0.000	0.000	Merged-chr9-15279956-57
NR339--MA0098.3.ETS1	chr10	83094254	83094263	-	0.000	0.000	Merged-chr10-83094341-29
NR3031--MA0098.3.ETS1	chr8	114506255	114506264	-	0.000	0.000	Merged-chr8-114506190-31
NR1098--MA0098.3.ETS1	chr15	31239881	31239890	+	0.000	0.000	Merged-chr15-31239940-27
NR1998--MA0098.3.ETS1	chr3	19707093	19707102	+	0.000	0.000	Merged-chr3-19706982-40
NR426--MA0098.3.ETS1	chr10	128940648	128940657	+	0.000	0.000	Merged-chr10-128940717-41
NR1121--MA0098.3.ETS1	chr15	53140638	53140647	-	0.000	0.000	Merged-chr15-53140511-27
NR234--MA0098.3.ETS1	chr1	192532451	192532460	+	0.000	0.000	Merged-chr1-192532397-12
NR1037--MA0098.3.ETS1	chr14	73253711	73253720	-	0.000	0.000	Merged-chr14-73253840-37
NR3253--MA0098.3.ETS1	chr9	121741429	121741438	-	0.000	0.000	Merged-chr9-121741440-27
NR956--MA0098.3.ETS1	chr14	21507255	21507264	-	0.000	0.000	Merged-chr14-21507188-15
