#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf4/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed
NR2177--MA0641.1.ELF4	chr8	104039717	104039728	+	0.000	0.000	Merged-chr8-104039758-41
NR1254--MA0641.1.ELF4	chr2	61483987	61483998	-	0.000	0.000	Merged-chr2-61484018-22
NR1384--MA0641.1.ELF4	chr2	169089253	169089264	-	0.000	0.000	Merged-chr2-169089199-37
NR2362--MA0641.1.ELF4	chr9	121741429	121741440	-	0.000	0.000	Merged-chr9-121741440-27
NR2228--MA0641.1.ELF4	chr9	11397048	11397059	-	0.000	0.000	Merged-chr9-11397041-28
NR1828--MA0641.1.ELF4	chr5	148501371	148501382	+	0.000	0.000	Merged-chr5-148501527-73
NR1179--MA0641.1.ELF4	chr19	42770754	42770765	-	0.000	0.000	Merged-chr19-42770693-24
NR2269--MA0641.1.ELF4	chr9	50617051	50617062	+	0.000	0.000	Merged-chr9-50617138-82
NR1506--MA0641.1.ELF4	chr3	130812465	130812476	-	0.000	0.000	Merged-chr3-130812449-10
NR2315--MA0641.1.ELF4	chr9	94945750	94945761	+	0.000	0.000	Merged-chr9-94945890-45
