#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gabpa/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR1785--MA0062.2.Gabpa	chr17	57098465	57098475	+	0.000	0.000	Merged-chr17-57098619-14
NR2419--MA0062.2.Gabpa	chr2	174566066	174566076	+	0.000	0.000	Merged-chr2-174566072-46
NR1307--MA0062.2.Gabpa	chr14	87506174	87506184	-	0.000	0.000	Merged-chr14-87506174-23
NR3391--MA0062.2.Gabpa	chr6	144919923	144919933	-	0.000	0.000	Merged-chr6-144919933-48
NR3043--MA0062.2.Gabpa	chr5	67300125	67300135	-	0.000	0.000	Merged-chr5-67300252-37
NR3532--MA0062.2.Gabpa	chr7	80554931	80554941	-	0.000	0.000	Merged-chr7-80554988-53
NR3893--MA0062.2.Gabpa	chr9	44196180	44196190	-	0.000	0.000	Merged-chr9-44196336-21
NR3688--MA0062.2.Gabpa	chr8	36030371	36030381	-	0.000	0.000	Merged-chr8-36030382-8
NR3253--MA0062.2.Gabpa	chr6	57449468	57449478	+	0.000	0.000	Merged-chr6-57449516-18
NR3524--MA0062.2.Gabpa	chr7	79363597	79363607	+	0.000	0.000	Merged-chr7-79363578-43
NR2922--MA0062.2.Gabpa	chr4	134091326	134091336	+	0.000	0.000	Merged-chr4-134091309-8
NR1477--MA0062.2.Gabpa	chr15	96778461	96778471	+	0.000	0.000	Merged-chr15-96778537-47
NR3537--MA0062.2.Gabpa	chr7	80936898	80936908	-	0.000	0.000	Merged-chr7-80936896-39
NR662--MA0062.2.Gabpa	chr11	78215924	78215934	-	0.000	0.000	Merged-chr11-78215918-15
NR3503--MA0062.2.Gabpa	chr7	65693451	65693461	+	0.000	0.000	Merged-chr7-65693564-67
NR1313--MA0062.2.Gabpa	chr14	99041493	99041503	-	0.000	0.000	Merged-chr14-99041540-15
NR803--MA0062.2.Gabpa	chr12	17373739	17373749	+	0.000	0.000	Merged-chr12-17373480-96
NR3258--MA0062.2.Gabpa	chr6	59185547	59185557	-	0.000	0.000	Merged-chr6-59185393-33
NR253--MA0062.2.Gabpa	chr1	179025515	179025525	+	0.000	0.000	Merged-chr1-179025362-29
NR1414--MA0062.2.Gabpa	chr15	64078128	64078138	+	0.000	0.000	Merged-chr15-64078156-8
NR633--MA0062.2.Gabpa	chr11	67010572	67010582	-	0.000	0.000	Merged-chr11-67010576-15
NR904--MA0062.2.Gabpa	chr12	91008855	91008865	+	0.000	0.000	Merged-chr12-91009085-35
NR3041--MA0062.2.Gabpa	chr5	66618854	66618864	+	0.000	0.000	Merged-chr5-66618614-86
NR2853--MA0062.2.Gabpa	chr4	98395823	98395833	-	0.000	0.000	Merged-chr4-98395963-63
NR1013--MA0062.2.Gabpa	chr13	36145849	36145859	+	0.000	0.000	Merged-chr13-36145940-12
NR1374--MA0062.2.Gabpa	chr15	31166860	31166870	-	0.000	0.000	Merged-chr15-31166801-87
NR2670--MA0062.2.Gabpa	chr3	148867815	148867825	+	0.000	0.000	Merged-chr3-148867817-36
NR1496--MA0062.2.Gabpa	chr15	102746866	102746876	-	0.000	0.000	Merged-chr15-102746842-41
NR3033--MA0062.2.Gabpa	chr5	58084154	58084164	-	0.000	0.000	Merged-chr5-58084122-29
NR3699--MA0062.2.Gabpa	chr8	48110137	48110147	-	0.000	0.000	Merged-chr8-48110185-80
NR3304--MA0062.2.Gabpa	chr6	89282721	89282731	+	0.000	0.000	Merged-chr6-89282729-2
NR952--MA0062.2.Gabpa	chr12	117756229	117756239	+	0.000	0.000	Merged-chr12-117756205-23
NR1379--MA0062.2.Gabpa	chr15	35918093	35918103	+	0.000	0.000	Merged-chr15-35918069-6
NR203--MA0062.2.Gabpa	chr1	159938611	159938621	+	0.000	0.000	Merged-chr1-159938641-24
NR1488--MA0062.2.Gabpa	chr15	100182722	100182732	-	0.000	0.000	Merged-chr15-100182935-17
NR2763--MA0062.2.Gabpa	chr4	43823095	43823105	+	0.000	0.000	Merged-chr4-43823081-36
NR2612--MA0062.2.Gabpa	chr3	121689312	121689322	-	0.000	0.000	Merged-chr3-121689232-23
NR2999--MA0062.2.Gabpa	chr5	28269922	28269932	-	0.000	0.000	Merged-chr5-28269924-54
NR997--MA0062.2.Gabpa	chr13	28551908	28551918	+	0.000	0.000	Merged-chr13-28551845-49
NR1582--MA0062.2.Gabpa	chr16	45690392	45690402	+	0.000	0.000	Merged-chr16-45690365-24
NR1561--MA0062.2.Gabpa	chr16	30597166	30597176	-	0.000	0.000	Merged-chr16-30597297-42
NR2272--MA0062.2.Gabpa	chr2	113914470	113914480	-	0.000	0.000	Merged-chr2-113914576-9
NR2067--MA0062.2.Gabpa	chr19	55915653	55915663	-	0.000	0.000	Merged-chr19-55915456-76
NR1941--MA0062.2.Gabpa	chr18	79234538	79234548	+	0.000	0.000	Merged-chr18-79234491-26
NR3743--MA0062.2.Gabpa	chr8	79682537	79682547	+	0.000	0.000	Merged-chr8-79682361-5
NR1792--MA0062.2.Gabpa	chr17	62857498	62857508	+	0.000	0.000	Merged-chr17-62857583-41
NR1803--MA0062.2.Gabpa	chr17	73247122	73247132	-	0.000	0.000	Merged-chr17-73247076-30
NR1641--MA0062.2.Gabpa	chr16	97319603	97319613	-	0.000	0.000	Merged-chr16-97319688-5
NR1646--MA0062.2.Gabpa	chr17	5303457	5303467	-	0.000	0.000	Merged-chr17-5303448-46
NR1232--MA0062.2.Gabpa	chr14	50981487	50981497	+	0.000	0.000	Merged-chr14-50981493-30
NR129--MA0062.2.Gabpa	chr1	98095511	98095521	+	0.000	0.000	Merged-chr1-98095542-87
NR3395--MA0062.2.Gabpa	chr6	146481595	146481605	-	0.000	0.000	Merged-chr6-146481511-38
NR60--MA0062.2.Gabpa	chr1	60781868	60781878	+	0.000	0.000	Merged-chr1-60781843-37
NR3658--MA0062.2.Gabpa	chr8	13979980	13979990	+	0.000	0.000	Merged-chr8-13980078-26
NR1150--MA0062.2.Gabpa	chr13	112507914	112507924	+	0.000	0.000	Merged-chr13-112507882-42
NR2179--MA0062.2.Gabpa	chr2	60880831	60880841	-	0.000	0.000	Merged-chr2-60880763-2
NR3366--MA0062.2.Gabpa	chr6	134414425	134414435	+	0.000	0.000	Merged-chr6-134414331-55
NR3746--MA0062.2.Gabpa	chr8	81761646	81761656	-	0.000	0.000	Merged-chr8-81761666-20
NR1652--MA0062.2.Gabpa	chr17	8872117	8872127	+	0.000	0.000	Merged-chr17-8872173-14
NR1033--MA0062.2.Gabpa	chr13	44316849	44316859	+	0.000	0.000	Merged-chr13-44316945-1
NR1304--MA0062.2.Gabpa	chr14	86682142	86682152	-	0.000	0.000	Merged-chr14-86682000-52
NR1644--MA0062.2.Gabpa	chr17	3209789	3209799	+	0.000	0.000	Merged-chr17-3209784-17
NR2701--MA0062.2.Gabpa	chr4	8854052	8854062	-	0.000	0.000	Merged-chr4-8854131-25
NR3141--MA0062.2.Gabpa	chr5	129524540	129524550	+	0.000	0.000	Merged-chr5-129524684-34
NR1365--MA0062.2.Gabpa	chr15	25269821	25269831	-	0.000	0.000	Merged-chr15-25269773-79
NR3534--MA0062.2.Gabpa	chr7	80766318	80766328	+	0.000	0.000	Merged-chr7-80766248-61
NR868--MA0062.2.Gabpa	chr12	70075130	70075140	+	0.000	0.000	Merged-chr12-70075230-35
NR930--MA0062.2.Gabpa	chr12	109067865	109067875	-	0.000	0.000	Merged-chr12-109068052-48
NR2770--MA0062.2.Gabpa	chr4	45766207	45766217	+	0.000	0.000	Merged-chr4-45766216-17
NR3308--MA0062.2.Gabpa	chr6	90984372	90984382	+	0.000	0.000	Merged-chr6-90984346-4
NR3526--MA0062.2.Gabpa	chr7	79721484	79721494	+	0.000	0.000	Merged-chr7-79721597-45
NR826--MA0062.2.Gabpa	chr12	35915990	35916000	+	0.000	0.000	Merged-chr12-35915902-9
NR935--MA0062.2.Gabpa	chr12	111007812	111007822	-	0.000	0.000	Merged-chr12-111007914-34
NR425--MA0062.2.Gabpa	chr10	84836209	84836219	+	0.000	0.000	Merged-chr10-84836383-30
NR2658--MA0062.2.Gabpa	chr3	144232117	144232127	-	0.000	0.000	Merged-chr3-144232172-58
NR2475--MA0062.2.Gabpa	chr3	37483877	37483887	-	0.000	0.000	Merged-chr3-37484009-38
NR3056--MA0062.2.Gabpa	chr5	86783399	86783409	+	0.000	0.000	Merged-chr5-86783243-43
NR2834--MA0062.2.Gabpa	chr4	86683525	86683535	+	0.000	0.000	Merged-chr4-86683553-15
NR104--MA0062.2.Gabpa	chr1	87181026	87181036	+	0.000	0.000	Merged-chr1-87181117-21
NR2446--MA0062.2.Gabpa	chr3	9403006	9403016	-	0.000	0.000	Merged-chr3-9402836-87
NR186--MA0062.2.Gabpa	chr1	144330460	144330470	+	0.000	0.000	Merged-chr1-144330572-51
NR2534--MA0062.2.Gabpa	chr3	83993395	83993405	+	0.000	0.000	Merged-chr3-83993440-19
NR178--MA0062.2.Gabpa	chr1	137075005	137075015	-	0.000	0.000	Merged-chr1-137074990-14
NR829--MA0062.2.Gabpa	chr12	41565913	41565923	-	0.000	0.000	Merged-chr12-41565825-5
NR1645--MA0062.2.Gabpa	chr17	5295759	5295769	-	0.000	0.000	Merged-chr17-5295840-41
NR2085--MA0062.2.Gabpa	chr2	4559709	4559719	+	0.000	0.000	Merged-chr2-4559721-92
NR3910--MA0062.2.Gabpa	chr9	51278606	51278616	+	0.000	0.000	Merged-chr9-51278658-19
NR1340--MA0062.2.Gabpa	chr14	119236416	119236426	-	0.000	0.000	Merged-chr14-119236354-10
NR3272--MA0062.2.Gabpa	chr6	71144183	71144193	+	0.000	0.000	Merged-chr6-71144085-54
NR1863--MA0062.2.Gabpa	chr18	35726809	35726819	+	0.000	0.000	Merged-chr18-35726871-27
NR128--MA0062.2.Gabpa	chr1	98022167	98022177	-	0.000	0.000	Merged-chr1-98022036-10
NR1223--MA0062.2.Gabpa	chr14	47395853	47395863	-	0.000	0.000	Merged-chr14-47395869-114
NR1584--MA0062.2.Gabpa	chr16	46215555	46215565	-	0.000	0.000	Merged-chr16-46215514-8
NR3230--MA0062.2.Gabpa	chr6	37370714	37370724	-	0.000	0.000	Merged-chr6-37370841-45
NR197--MA0062.2.Gabpa	chr1	155740767	155740777	+	0.000	0.000	Merged-chr1-155740912-26
NR4076--MA0062.2.Gabpa	chrX	11691217	11691227	-	0.000	0.000	Merged-chrX-11691222-6
NR2319--MA0062.2.Gabpa	chr2	137117107	137117117	-	0.000	0.000	Merged-chr2-137117118-95
NR3615--MA0062.2.Gabpa	chr7	127922761	127922771	-	0.000	0.000	Merged-chr7-127922827-35
NR1948--MA0062.2.Gabpa	chr18	82589240	82589250	-	0.000	0.000	Merged-chr18-82589153-34
NR1120--MA0062.2.Gabpa	chr13	100670479	100670489	+	0.000	0.000	Merged-chr13-100670412-9
NR1709--MA0062.2.Gabpa	chr17	29082050	29082060	+	0.000	0.000	Merged-chr17-29082107-45
NR1547--MA0062.2.Gabpa	chr16	21835898	21835908	+	0.000	0.000	Merged-chr16-21835778-19
NR2681--MA0062.2.Gabpa	chr3	153260805	153260815	-	0.000	0.000	Merged-chr3-153260790-34
NR48--MA0062.2.Gabpa	chr1	52166765	52166775	+	0.000	0.000	Merged-chr1-52166821-10
NR3153--MA0062.2.Gabpa	chr5	135703102	135703112	-	0.000	0.000	Merged-chr5-135702928-61
NR453--MA0062.2.Gabpa	chr10	95746028	95746038	-	0.000	0.000	Merged-chr10-95746044-53
NR3655--MA0062.2.Gabpa	chr8	13213660	13213670	+	0.000	0.000	Merged-chr8-13213750-72
NR1051--MA0062.2.Gabpa	chr13	53402509	53402519	-	0.000	0.000	Merged-chr13-53402378-5
NR1369--MA0062.2.Gabpa	chr15	27826221	27826231	-	0.000	0.000	Merged-chr15-27825914-54
NR1749--MA0062.2.Gabpa	chr17	43016826	43016836	-	0.000	0.000	Merged-chr17-43016833-62
NR838--MA0062.2.Gabpa	chr12	54353186	54353196	-	0.000	0.000	Merged-chr12-54353201-29
NR804--MA0062.2.Gabpa	chr12	17568779	17568789	-	0.000	0.000	Merged-chr12-17568698-31
NR384--MA0062.2.Gabpa	chr10	72620704	72620714	-	0.000	0.000	Merged-chr10-72620792-31
NR241--MA0062.2.Gabpa	chr1	172623797	172623807	-	0.000	0.000	Merged-chr1-172623833-20
NR2724--MA0062.2.Gabpa	chr4	24851145	24851155	+	0.000	0.000	Merged-chr4-24851017-40
NR2671--MA0062.2.Gabpa	chr3	148867867	148867877	-	0.000	0.000	Merged-chr3-148867817-36
NR212--MA0062.2.Gabpa	chr1	164453804	164453814	+	0.000	0.000	Merged-chr1-164453894-15
NR334--MA0062.2.Gabpa	chr10	42762412	42762422	-	0.000	0.000	Merged-chr10-42762562-19
NR2838--MA0062.2.Gabpa	chr4	88693568	88693578	+	0.000	0.000	Merged-chr4-88693660-22
