#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gabpa/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR2407--MA0062.2.Gabpa	chr3	133583965	133583975	+	0.000	0.000	Merged-chr3-133583850-2
NR657--MA0062.2.Gabpa	chr11	106961841	106961851	+	0.000	0.000	Merged-chr11-106961822-47
NR147--MA0062.2.Gabpa	chr1	151613322	151613332	+	0.000	0.000	Merged-chr1-151613371-29
NR1289--MA0062.2.Gabpa	chr15	80216604	80216614	-	0.000	0.000	Merged-chr15-80216610-25
NR2543--MA0062.2.Gabpa	chr4	62481418	62481428	+	0.000	0.000	Merged-chr4-62481319-32
NR2795--MA0062.2.Gabpa	chr5	64609599	64609609	+	0.000	0.000	Merged-chr5-64609569-18
NR3730--MA0062.2.Gabpa	chr9	96740900	96740910	-	0.000	0.000	Merged-chr9-96740764-95
NR349--MA0062.2.Gabpa	chr10	81127672	81127682	+	0.000	0.000	Merged-chr10-81127720-40
NR3220--MA0062.2.Gabpa	chr7	44741445	44741455	+	0.000	0.000	Merged-chr7-44741502-14
NR2004--MA0062.2.Gabpa	chr2	79122879	79122889	-	0.000	0.000	Merged-chr2-79122721-3
NR1415--MA0062.2.Gabpa	chr16	49801719	49801729	-	0.000	0.000	Merged-chr16-49801610-26
NR1789--MA0062.2.Gabpa	chr19	5571992	5572002	+	0.000	0.000	Merged-chr19-5572133-30
NR3783--MA0062.2.Gabpa	chr9	116181760	116181770	-	0.000	0.000	Merged-chr9-116181803-43
NR1898--MA0062.2.Gabpa	chr2	11801757	11801767	+	0.000	0.000	Merged-chr2-11801641-32
NR3557--MA0062.2.Gabpa	chr8	117280797	117280807	+	0.000	0.000	Merged-chr8-117280684-2
NR81--MA0062.2.Gabpa	chr1	86587088	86587098	-	0.000	0.000	Merged-chr1-86587201-27
NR1604--MA0062.2.Gabpa	chr17	48426214	48426224	+	0.000	0.000	Merged-chr17-48426190-57
NR932--MA0062.2.Gabpa	chr13	63141439	63141449	+	0.000	0.000	Merged-chr13-63141358-58
NR3549--MA0062.2.Gabpa	chr8	113827471	113827481	-	0.000	0.000	Merged-chr8-113827512-18
NR1598--MA0062.2.Gabpa	chr17	47293383	47293393	-	0.000	0.000	Merged-chr17-47293551-33
NR1455--MA0062.2.Gabpa	chr16	91366859	91366869	-	0.000	0.000	Merged-chr16-91366873-55
NR1835--MA0062.2.Gabpa	chr19	31337436	31337446	-	0.000	0.000	Merged-chr19-31337298-1
NR3496--MA0062.2.Gabpa	chr8	72216037	72216047	+	0.000	0.000	Merged-chr8-72216019-31
NR1421--MA0062.2.Gabpa	chr16	52374211	52374221	+	0.000	0.000	Merged-chr16-52374285-15
NR3571--MA0062.2.Gabpa	chr8	122463910	122463920	-	0.000	0.000	Merged-chr8-122464115-42
NR1067--MA0062.2.Gabpa	chr14	34548770	34548780	-	0.000	0.000	Merged-chr14-34548727-1
NR3127--MA0062.2.Gabpa	chr6	137795296	137795306	+	0.000	0.000	Merged-chr6-137795480-24
NR1827--MA0062.2.Gabpa	chr19	24971496	24971506	+	0.000	0.000	Merged-chr19-24971475-35
NR1678--MA0062.2.Gabpa	chr18	23734945	23734955	+	0.000	0.000	Merged-chr18-23734973-16
NR821--MA0062.2.Gabpa	chr12	103059219	103059229	-	0.000	0.000	Merged-chr12-103059282-39
NR292--MA0062.2.Gabpa	chr10	53461571	53461581	-	0.000	0.000	Merged-chr10-53461441-37
NR3799--MA0062.2.Gabpa	chr9	121675153	121675163	-	0.000	0.000	Merged-chr9-121675261-45
NR2666--MA0062.2.Gabpa	chr4	134117192	134117202	-	0.000	0.000	Merged-chr4-134117148-42
NR839--MA0062.2.Gabpa	chr12	111691474	111691484	+	0.000	0.000	Merged-chr12-111691386-42
NR1458--MA0062.2.Gabpa	chr16	91780993	91781003	+	0.000	0.000	Merged-chr16-91781071-63
NR513--MA0062.2.Gabpa	chr11	51638279	51638289	-	0.000	0.000	Merged-chr11-51638186-26
NR255--MA0062.2.Gabpa	chr10	21419393	21419403	-	0.000	0.000	Merged-chr10-21419295-38
NR364--MA0062.2.Gabpa	chr10	83722631	83722641	-	0.000	0.000	Merged-chr10-83722684-72
NR2441--MA0062.2.Gabpa	chr3	148419862	148419872	+	0.000	0.000	Merged-chr3-148419698-33
NR234--MA0062.2.Gabpa	chr1	189608795	189608805	+	0.000	0.000	Merged-chr1-189608778-45
NR2698--MA0062.2.Gabpa	chr4	149469700	149469710	-	0.000	0.000	Merged-chr4-149469788-41
NR1932--MA0062.2.Gabpa	chr2	27693853	27693863	+	0.000	0.000	Merged-chr2-27693880-30
NR1892--MA0062.2.Gabpa	chr2	10581307	10581317	-	0.000	0.000	Merged-chr2-10581253-23
NR537--MA0062.2.Gabpa	chr11	61602956	61602966	-	0.000	0.000	Merged-chr11-61602995-47
NR388--MA0062.2.Gabpa	chr10	94846862	94846872	+	0.000	0.000	Merged-chr10-94847043-19
NR497--MA0062.2.Gabpa	chr11	43705516	43705526	+	0.000	0.000	Merged-chr11-43705351-17
NR3272--MA0062.2.Gabpa	chr7	78685092	78685102	-	0.000	0.000	Merged-chr7-78685016-20
NR1637--MA0062.2.Gabpa	chr17	73869485	73869495	-	0.000	0.000	Merged-chr17-73869364-53
NR3121--MA0062.2.Gabpa	chr6	135218511	135218521	-	0.000	0.000	Merged-chr6-135218530-45
NR107--MA0062.2.Gabpa	chr1	108041095	108041105	-	0.000	0.000	Merged-chr1-108041291-27
NR3862--MA0062.2.Gabpa	chrX	77796295	77796305	+	0.000	0.000	Merged-chrX-77796416-1
NR801--MA0062.2.Gabpa	chr12	85839480	85839490	+	0.000	0.000	Merged-chr12-85839573-18
NR3732--MA0062.2.Gabpa	chr9	96896908	96896918	+	0.000	0.000	Merged-chr9-96896917-17
NR3065--MA0062.2.Gabpa	chr6	108922761	108922771	+	0.000	0.000	Merged-chr6-108922782-44
NR1927--MA0062.2.Gabpa	chr2	26313040	26313050	+	0.000	0.000	Merged-chr2-26313010-11
NR820--MA0062.2.Gabpa	chr12	102945747	102945757	+	0.000	0.000	Merged-chr12-102945751-11
NR1409--MA0062.2.Gabpa	chr16	45016677	45016687	-	0.000	0.000	Merged-chr16-45016685-21
NR3132--MA0062.2.Gabpa	chr6	142887554	142887564	-	0.000	0.000	Merged-chr6-142887615-28
NR1452--MA0062.2.Gabpa	chr16	90475939	90475949	-	0.000	0.000	Merged-chr16-90475942-51
NR3559--MA0062.2.Gabpa	chr8	117548564	117548574	+	0.000	0.000	Merged-chr8-117548585-70
NR161--MA0062.2.Gabpa	chr1	160054529	160054539	-	0.000	0.000	Merged-chr1-160054348-51
NR1574--MA0062.2.Gabpa	chr17	36971680	36971690	-	0.000	0.000	Merged-chr17-36971617-22
NR825--MA0062.2.Gabpa	chr12	105001154	105001164	-	0.000	0.000	Merged-chr12-105001185-43
NR392--MA0062.2.Gabpa	chr10	96357161	96357171	+	0.000	0.000	Merged-chr10-96357351-35
NR3504--MA0062.2.Gabpa	chr8	81756857	81756867	+	0.000	0.000	Merged-chr8-81756964-44
NR3137--MA0062.2.Gabpa	chr6	144670590	144670600	+	0.000	0.000	Merged-chr6-144670724-72
NR881--MA0062.2.Gabpa	chr13	22714319	22714329	-	0.000	0.000	Merged-chr13-22714452-30
NR67--MA0062.2.Gabpa	chr1	79751325	79751335	-	0.000	0.000	Merged-chr1-79751461-38
NR525--MA0062.2.Gabpa	chr11	57958445	57958455	+	0.000	0.000	Merged-chr11-57958407-27
NR363--MA0062.2.Gabpa	chr10	83330420	83330430	-	0.000	0.000	Merged-chr10-83330457-45
NR809--MA0062.2.Gabpa	chr12	99565808	99565818	-	0.000	0.000	Merged-chr12-99565808-18
NR38--MA0062.2.Gabpa	chr1	51934710	51934720	-	0.000	0.000	Merged-chr1-51934774-44
NR1019--MA0062.2.Gabpa	chr13	113087842	113087852	-	0.000	0.000	Merged-chr13-113087664-28
NR2031--MA0062.2.Gabpa	chr2	91081005	91081015	+	0.000	0.000	Merged-chr2-91081065-17
NR2697--MA0062.2.Gabpa	chr4	149469694	149469704	-	0.000	0.000	Merged-chr4-149469788-41
NR836--MA0062.2.Gabpa	chr12	111406726	111406736	-	0.000	0.000	Merged-chr12-111406868-16
NR2371--MA0062.2.Gabpa	chr3	106785290	106785300	-	0.000	0.000	Merged-chr3-106785320-62
