#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed
NR17--MA0641.1.ELF4	chr1	13593600	13593611	-	0.000	0.000	Merged-chr1-13593495-61
NR9439--MA0641.1.ELF4	chr8	114986159	114986170	+	0.000	0.000	Merged-chr8-114986195-32
NR7941--MA0473.2.ELF1	chr6	28878178	28878189	+	0.000	0.000	Merged-chr6-28878211-33
NR5666--MA0641.1.ELF4	chr2	112676824	112676835	-	0.000	0.000	Merged-chr2-112676754-32
NR9436--MA0473.2.ELF1	chr8	114986159	114986170	+	0.000	0.000	Merged-chr8-114986195-32
NR7551--MA0640.1.ELF3	chr5	91083306	91083318	-	0.000	0.000	Merged-chr5-91083328-13
NR4448--MA0473.2.ELF1	chr17	63295738	63295749	-	0.000	0.000	Merged-chr17-63295630-30
NR885--MA0641.1.ELF4	chr10	40025313	40025324	+	0.000	0.000	Merged-chr10-40025208-45
NR9937--MA0640.1.ELF3	chr9	94945750	94945762	+	0.000	0.000	Merged-chr9-94945890-45
NR6537--MA0641.1.ELF4	chr3	130812465	130812476	-	0.000	0.000	Merged-chr3-130812449-10
NR4597--MA0136.2.ELF5	chr18	6484958	6484968	-	0.000	0.000	Merged-chr18-6484878-33
NR7866--MA0473.2.ELF1	chr5	148501371	148501382	+	0.000	0.000	Merged-chr5-148501527-73
NR7867--MA0136.2.ELF5	chr5	148501372	148501382	+	0.000	0.000	Merged-chr5-148501527-73
NR9745--MA0640.1.ELF3	chr9	50617051	50617063	+	0.000	0.000	Merged-chr9-50617138-82
NR3870--MA0136.2.ELF5	chr16	45690390	45690400	+	0.000	0.000	Merged-chr16-45690365-24
NR6019--MA0640.1.ELF3	chr2	169089252	169089264	-	0.000	0.000	Merged-chr2-169089199-37
NR9073--MA0641.1.ELF4	chr7	144417792	144417803	+	0.000	0.000	Merged-chr7-144417820-33
NR2143--MA0640.1.ELF3	chr12	75494763	75494775	+	0.000	0.000	Merged-chr12-75494766-18
NR7344--MA0136.2.ELF5	chr5	9107473	9107483	+	0.000	0.000	Merged-chr5-9107352-33
NR9437--MA0640.1.ELF3	chr8	114986159	114986171	+	0.000	0.000	Merged-chr8-114986195-32
NR7474--MA0136.2.ELF5	chr5	64029958	64029968	+	0.000	0.000	Merged-chr5-64029830-27
NR6259--MA0136.2.ELF5	chr3	83993393	83993403	+	0.000	0.000	Merged-chr3-83993440-19
NR7595--MA0136.2.ELF5	chr5	100929780	100929790	-	0.000	0.000	Merged-chr5-100929891-31
NR813--MA0136.2.ELF5	chr10	13469028	13469038	+	0.000	0.000	Merged-chr10-13469041-19
NR6629--MA0640.1.ELF3	chr3	146121658	146121670	-	0.000	0.000	Merged-chr3-146121713-45
NR1946--MA0473.2.ELF1	chr12	8847135	8847146	-	0.000	0.000	Merged-chr12-8847092-48
NR1947--MA0136.2.ELF5	chr12	8847135	8847145	-	0.000	0.000	Merged-chr12-8847092-48
NR883--MA0640.1.ELF3	chr10	40025313	40025325	+	0.000	0.000	Merged-chr10-40025208-45
NR4677--MA0641.1.ELF4	chr18	35776798	35776809	-	0.000	0.000	Merged-chr18-35776738-19
NR4674--MA0473.2.ELF1	chr18	35776798	35776809	-	0.000	0.000	Merged-chr18-35776738-19
NR723--MA0473.2.ELF1	chr1	182718802	182718813	+	0.000	0.000	Merged-chr1-182718730-25
NR2981--MA0641.1.ELF4	chr14	47395855	47395866	-	0.000	0.000	Merged-chr14-47395869-114
NR3973--MA0640.1.ELF3	chr16	78595839	78595851	-	0.000	0.000	Merged-chr16-78595924-17
NR6197--MA0136.2.ELF5	chr3	55659813	55659823	+	0.000	0.000	Merged-chr3-55660012-44
NR9573--MA0473.2.ELF1	chr9	11397048	11397059	-	0.000	0.000	Merged-chr9-11397041-28
NR8386--MA0136.2.ELF5	chr6	134883896	134883906	+	0.000	0.000	Merged-chr6-134883955-22
NR3604--MA0136.2.ELF5	chr15	85042660	85042670	+	0.000	0.000	Merged-chr15-85042702-72
NR9229--MA0473.2.ELF1	chr8	64826647	64826658	+	0.000	0.000	Merged-chr8-64826546-37
NR4293--MA0641.1.ELF4	chr17	34196926	34196937	+	0.000	0.000	Merged-chr17-34197088-1
NR5465--MA0473.2.ELF1	chr2	61483987	61483998	-	0.000	0.000	Merged-chr2-61484018-22
NR7534--MA0136.2.ELF5	chr5	86741418	86741428	-	0.000	0.000	Merged-chr5-86741340-29
NR6215--MA0473.2.ELF1	chr3	61479248	61479259	+	0.000	0.000	Merged-chr3-61479258-14
NR10140--MA0473.2.ELF1	chr9	121741429	121741440	-	0.000	0.000	Merged-chr9-121741440-27
NR6113--MA0136.2.ELF5	chr3	9500062	9500072	-	0.000	0.000	Merged-chr3-9499976-58
NR9938--MA0136.2.ELF5	chr9	94945751	94945761	+	0.000	0.000	Merged-chr9-94945890-45
NR6251--MA0473.2.ELF1	chr3	79273117	79273128	-	0.000	0.000	Merged-chr3-79273035-30
NR4675--MA0640.1.ELF3	chr18	35776797	35776809	-	0.000	0.000	Merged-chr18-35776738-19
NR4867--MA0641.1.ELF4	chr18	75426324	75426335	+	0.000	0.000	Merged-chr18-75426395-54
NR9574--MA0640.1.ELF3	chr9	11397047	11397059	-	0.000	0.000	Merged-chr9-11397041-28
NR2144--MA0136.2.ELF5	chr12	75494764	75494774	+	0.000	0.000	Merged-chr12-75494766-18
NR7943--MA0136.2.ELF5	chr6	28878179	28878189	+	0.000	0.000	Merged-chr6-28878211-33
NR7961--MA0136.2.ELF5	chr6	30227487	30227497	-	0.000	0.000	Merged-chr6-30227395-32
NR10141--MA0640.1.ELF3	chr9	121741428	121741440	-	0.000	0.000	Merged-chr9-121741440-27
NR856--MA0473.2.ELF1	chr10	26630328	26630339	-	0.000	0.000	Merged-chr10-26630459-16
NR404--MA0473.2.ELF1	chr1	135818659	135818670	+	0.000	0.000	Merged-chr1-135818684-27
NR6252--MA0640.1.ELF3	chr3	79273116	79273128	-	0.000	0.000	Merged-chr3-79273035-30
NR7616--MA0473.2.ELF1	chr5	105849461	105849472	+	0.000	0.000	Merged-chr5-105849504-21
NR9378--MA0641.1.ELF4	chr8	105496998	105497009	-	0.000	0.000	Merged-chr8-105496928-38
NR4812--MA0473.2.ELF1	chr18	65319185	65319196	+	0.000	0.000	Merged-chr18-65319104-54
NR4925--MA0136.2.ELF5	chr18	84874243	84874253	-	0.000	0.000	Merged-chr18-84874398-59
NR1659--MA0473.2.ELF1	chr11	85324126	85324137	-	0.000	0.000	Merged-chr11-85324179-42
NR3974--MA0136.2.ELF5	chr16	78595840	78595850	-	0.000	0.000	Merged-chr16-78595924-17
NR8169--MA0473.2.ELF1	chr6	91698970	91698981	-	0.000	0.000	Merged-chr6-91699017-27
NR4809--MA0136.2.ELF5	chr18	62494978	62494988	-	0.000	0.000	Merged-chr18-62494919-16
NR795--MA0136.2.ELF5	chr10	4632578	4632588	-	0.000	0.000	Merged-chr10-4632472-72
NR1337--MA0473.2.ELF1	chr11	17192409	17192420	-	0.000	0.000	Merged-chr11-17192459-30
NR7105--MA0641.1.ELF4	chr4	131696203	131696214	+	0.000	0.000	Merged-chr4-131696229-22
NR7102--MA0473.2.ELF1	chr4	131696203	131696214	+	0.000	0.000	Merged-chr4-131696229-22
NR926--MA0136.2.ELF5	chr10	58351921	58351931	+	0.000	0.000	Merged-chr10-58351765-21
NR405--MA0640.1.ELF3	chr1	135818659	135818671	+	0.000	0.000	Merged-chr1-135818684-27
NR2035--MA0136.2.ELF5	chr12	32635284	32635294	+	0.000	0.000	Merged-chr12-32635321-24
NR7617--MA0640.1.ELF3	chr5	105849461	105849473	+	0.000	0.000	Merged-chr5-105849504-21
NR9447--MA0641.1.ELF4	chr8	115568577	115568588	+	0.000	0.000	Merged-chr8-115568627-19
NR4813--MA0640.1.ELF3	chr18	65319185	65319197	+	0.000	0.000	Merged-chr18-65319104-54
NR857--MA0641.1.ELF4	chr10	26630328	26630339	-	0.000	0.000	Merged-chr10-26630459-16
NR9575--MA0136.2.ELF5	chr9	11397048	11397058	-	0.000	0.000	Merged-chr9-11397041-28
NR3817--MA0641.1.ELF4	chr16	30597168	30597179	-	0.000	0.000	Merged-chr16-30597297-42
NR1338--MA0640.1.ELF3	chr11	17192408	17192420	-	0.000	0.000	Merged-chr11-17192459-30
NR3814--MA0473.2.ELF1	chr16	30597168	30597179	-	0.000	0.000	Merged-chr16-30597297-42
NR5350--MA0136.2.ELF5	chr2	32181473	32181483	-	0.000	0.000	Merged-chr2-32181600-13
NR6228--MA0640.1.ELF3	chr3	68981233	68981245	+	0.000	0.000	Merged-chr3-68981196-42
NR7868--MA0641.1.ELF4	chr5	148501371	148501382	+	0.000	0.000	Merged-chr5-148501527-73
NR7103--MA0640.1.ELF3	chr4	131696203	131696215	+	0.000	0.000	Merged-chr4-131696229-22
NR3871--MA0641.1.ELF4	chr16	45690389	45690400	+	0.000	0.000	Merged-chr16-45690365-24
NR672--MA0136.2.ELF5	chr1	176986537	176986547	-	0.000	0.000	Merged-chr1-176986467-25
NR5467--MA0136.2.ELF5	chr2	61483987	61483997	-	0.000	0.000	Merged-chr2-61484018-22
NR5906--MA0136.2.ELF5	chr2	152082059	152082069	-	0.000	0.000	Merged-chr2-152081946-31
NR10142--MA0136.2.ELF5	chr9	121741429	121741439	-	0.000	0.000	Merged-chr9-121741440-27
NR6020--MA0136.2.ELF5	chr2	169089253	169089263	-	0.000	0.000	Merged-chr2-169089199-37
NR6244--MA0136.2.ELF5	chr3	79153381	79153391	-	0.000	0.000	Merged-chr3-79153347-66
NR7345--MA0641.1.ELF4	chr5	9107472	9107483	+	0.000	0.000	Merged-chr5-9107352-33
NR3869--MA0473.2.ELF1	chr16	45690389	45690400	+	0.000	0.000	Merged-chr16-45690365-24
NR9230--MA0640.1.ELF3	chr8	64826647	64826659	+	0.000	0.000	Merged-chr8-64826546-37
NR1948--MA0641.1.ELF4	chr12	8847135	8847146	-	0.000	0.000	Merged-chr12-8847092-48
NR3815--MA0640.1.ELF3	chr16	30597167	30597179	-	0.000	0.000	Merged-chr16-30597297-42
NR4596--MA0640.1.ELF3	chr18	6484957	6484969	-	0.000	0.000	Merged-chr18-6484878-33
NR4450--MA0136.2.ELF5	chr17	63295738	63295748	-	0.000	0.000	Merged-chr17-63295630-30
NR6630--MA0136.2.ELF5	chr3	146121659	146121669	-	0.000	0.000	Merged-chr3-146121713-45
NR2714--MA0136.2.ELF5	chr13	95765321	95765331	+	0.000	0.000	Merged-chr13-95765232-46
NR6230--MA0640.1.ELF3	chr3	69156680	69156692	-	0.000	0.000	Merged-chr3-69156652-55
NR3804--MA0136.2.ELF5	chr16	24238485	24238495	+	0.000	0.000	Merged-chr16-24238458-30
NR8387--MA0641.1.ELF4	chr6	134883895	134883906	+	0.000	0.000	Merged-chr6-134883955-22
NR8172--MA0641.1.ELF4	chr6	91698970	91698981	-	0.000	0.000	Merged-chr6-91699017-27
NR8384--MA0473.2.ELF1	chr6	134883895	134883906	+	0.000	0.000	Merged-chr6-134883955-22
NR5915--MA0640.1.ELF3	chr2	153002792	153002804	+	0.000	0.000	Merged-chr2-153002914-29
NR1340--MA0641.1.ELF4	chr11	17192409	17192420	-	0.000	0.000	Merged-chr11-17192459-30
NR9371--MA0473.2.ELF1	chr8	104039505	104039516	-	0.000	0.000	Merged-chr8-104039758-41
NR9372--MA0136.2.ELF5	chr8	104039718	104039728	+	0.000	0.000	Merged-chr8-104039758-41
NR5438--MA0136.2.ELF5	chr2	55253283	55253293	+	0.000	0.000	Merged-chr2-55253274-13
NR8148--MA0136.2.ELF5	chr6	89288329	89288339	-	0.000	0.000	Merged-chr6-89288372-31
NR7343--MA0640.1.ELF3	chr5	9107472	9107484	+	0.000	0.000	Merged-chr5-9107352-33
NR7618--MA0136.2.ELF5	chr5	105849462	105849472	+	0.000	0.000	Merged-chr5-105849504-21
NR6546--MA0136.2.ELF5	chr3	132791286	132791296	-	0.000	0.000	Merged-chr3-132791387-40
NR2978--MA0473.2.ELF1	chr14	47395855	47395866	-	0.000	0.000	Merged-chr14-47395869-114
NR4814--MA0136.2.ELF5	chr18	65319186	65319196	+	0.000	0.000	Merged-chr18-65319104-54
NR6114--MA0641.1.ELF4	chr3	9500062	9500073	-	0.000	0.000	Merged-chr3-9499976-58
NR6111--MA0473.2.ELF1	chr3	9500062	9500073	-	0.000	0.000	Merged-chr3-9499976-58
NR9939--MA0641.1.ELF4	chr9	94945750	94945761	+	0.000	0.000	Merged-chr9-94945890-45
NR796--MA0136.2.ELF5	chr10	4632584	4632594	-	0.000	0.000	Merged-chr10-4632472-72
NR1339--MA0136.2.ELF5	chr11	17192409	17192419	-	0.000	0.000	Merged-chr11-17192459-30
NR9299--MA0641.1.ELF4	chr8	80948596	80948607	+	0.000	0.000	Merged-chr8-80948626-26
NR3895--MA0136.2.ELF5	chr16	49937614	49937624	+	0.000	0.000	Merged-chr16-49937482-3
NR2047--MA0640.1.ELF3	chr12	38928972	38928984	-	0.000	0.000	Merged-chr12-38929031-63
NR2145--MA0641.1.ELF4	chr12	75494763	75494774	+	0.000	0.000	Merged-chr12-75494766-18
NR8385--MA0640.1.ELF3	chr6	134883895	134883907	+	0.000	0.000	Merged-chr6-134883955-22
NR8170--MA0640.1.ELF3	chr6	91698969	91698981	-	0.000	0.000	Merged-chr6-91699017-27
NR6713--MA0136.2.ELF5	chr4	11084927	11084937	-	0.000	0.000	Merged-chr4-11084883-37
NR7944--MA0641.1.ELF4	chr6	28878178	28878189	+	0.000	0.000	Merged-chr6-28878211-33
NR7962--MA0641.1.ELF4	chr6	30227487	30227498	-	0.000	0.000	Merged-chr6-30227395-32
NR2979--MA0640.1.ELF3	chr14	47395854	47395866	-	0.000	0.000	Merged-chr14-47395869-114
NR14--MA0473.2.ELF1	chr1	13593600	13593611	-	0.000	0.000	Merged-chr1-13593495-61
NR9445--MA0473.2.ELF1	chr8	115568577	115568588	+	0.000	0.000	Merged-chr8-115568627-19
NR9446--MA0136.2.ELF5	chr8	115568578	115568588	+	0.000	0.000	Merged-chr8-115568627-19
NR9231--MA0136.2.ELF5	chr8	64826648	64826658	+	0.000	0.000	Merged-chr8-64826546-37
NR5663--MA0473.2.ELF1	chr2	112676824	112676835	-	0.000	0.000	Merged-chr2-112676754-32
NR6112--MA0640.1.ELF3	chr3	9500061	9500073	-	0.000	0.000	Merged-chr3-9499976-58
NR3816--MA0136.2.ELF5	chr16	30597168	30597178	-	0.000	0.000	Merged-chr16-30597297-42
NR882--MA0473.2.ELF1	chr10	40025313	40025324	+	0.000	0.000	Merged-chr10-40025208-45
NR4926--MA0641.1.ELF4	chr18	84874243	84874254	-	0.000	0.000	Merged-chr18-84874398-59
NR4923--MA0473.2.ELF1	chr18	84874243	84874254	-	0.000	0.000	Merged-chr18-84874398-59
NR8809--MA0136.2.ELF5	chr7	99546294	99546304	-	0.000	0.000	Merged-chr7-99546388-26
NR6231--MA0136.2.ELF5	chr3	69156681	69156691	-	0.000	0.000	Merged-chr3-69156652-55
NR8881--MA0136.2.ELF5	chr7	115501656	115501666	-	0.000	0.000	Merged-chr7-115501823-28
NR7942--MA0640.1.ELF3	chr6	28878178	28878190	+	0.000	0.000	Merged-chr6-28878211-33
NR7960--MA0640.1.ELF3	chr6	30227486	30227498	-	0.000	0.000	Merged-chr6-30227395-32
NR15--MA0640.1.ELF3	chr1	13593599	13593611	-	0.000	0.000	Merged-chr1-13593495-61
NR5664--MA0640.1.ELF3	chr2	112676823	112676835	-	0.000	0.000	Merged-chr2-112676754-32
NR4449--MA0640.1.ELF3	chr17	63295737	63295749	-	0.000	0.000	Merged-chr17-63295630-30
NR4924--MA0640.1.ELF3	chr18	84874242	84874254	-	0.000	0.000	Merged-chr18-84874398-59
NR9576--MA0641.1.ELF4	chr9	11397048	11397059	-	0.000	0.000	Merged-chr9-11397041-28
NR724--MA0136.2.ELF5	chr1	182718803	182718813	+	0.000	0.000	Merged-chr1-182718730-25
NR7712--MA0136.2.ELF5	chr5	118614682	118614692	-	0.000	0.000	Merged-chr5-118614593-18
NR2048--MA0136.2.ELF5	chr12	38928973	38928983	-	0.000	0.000	Merged-chr12-38929031-63
NR2715--MA0136.2.ELF5	chr13	95956687	95956697	-	0.000	0.000	Merged-chr13-95956684-58
NR4808--MA0640.1.ELF3	chr18	62494977	62494989	-	0.000	0.000	Merged-chr18-62494919-16
NR794--MA0640.1.ELF3	chr10	4632577	4632589	-	0.000	0.000	Merged-chr10-4632472-72
NR1661--MA0136.2.ELF5	chr11	85324126	85324136	-	0.000	0.000	Merged-chr11-85324179-42
NR8171--MA0136.2.ELF5	chr6	91698970	91698980	-	0.000	0.000	Merged-chr6-91699017-27
NR9071--MA0640.1.ELF3	chr7	144417792	144417804	+	0.000	0.000	Merged-chr7-144417820-33
NR5468--MA0641.1.ELF4	chr2	61483987	61483998	-	0.000	0.000	Merged-chr2-61484018-22
NR5130--MA0136.2.ELF5	chr19	42770754	42770764	-	0.000	0.000	Merged-chr19-42770693-24
NR5907--MA0641.1.ELF4	chr2	152082059	152082070	-	0.000	0.000	Merged-chr2-152081946-31
NR10143--MA0641.1.ELF4	chr9	121741429	121741440	-	0.000	0.000	Merged-chr9-121741440-27
NR7749--MA0136.2.ELF5	chr5	124907014	124907024	-	0.000	0.000	Merged-chr5-124907107-45
NR6021--MA0641.1.ELF4	chr2	169089253	169089264	-	0.000	0.000	Merged-chr2-169089199-37
NR7552--MA0136.2.ELF5	chr5	91083307	91083317	-	0.000	0.000	Merged-chr5-91083328-13
NR6245--MA0641.1.ELF4	chr3	79153381	79153392	-	0.000	0.000	Merged-chr3-79153347-66
