#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR199--MA0136.2.ELF5	chr1	74083212	74083222	-	0.000	0.000	Merged-chr1-74083131-11
NR9595--MA0136.2.ELF5	chr8	115878483	115878493	+	0.000	0.000	Merged-chr8-115878428-26
NR8517--MA0640.1.ELF3	chr6	143425399	143425411	-	0.000	0.000	Merged-chr6-143425516-71
NR9853--MA0640.1.ELF3	chr9	40746893	40746905	+	0.000	0.000	Merged-chr9-40746987-16
NR4052--MA0136.2.ELF5	chr16	26668103	26668113	-	0.000	0.000	Merged-chr16-26667963-36
NR7902--MA0640.1.ELF3	chr5	147022041	147022053	+	0.000	0.000	Merged-chr5-147021953-34
NR820--MA0640.1.ELF3	chr10	7041227	7041239	+	0.000	0.000	Merged-chr10-7041240-23
NR5930--MA0136.2.ELF5	chr2	130030077	130030087	+	0.000	0.000	Merged-chr2-130029976-28
NR7895--MA0136.2.ELF5	chr5	146781758	146781768	-	0.000	0.000	Merged-chr5-146781945-52
NR3010--MA0640.1.ELF3	chr13	103412730	103412742	+	0.000	0.000	Merged-chr13-103412841-15
NR1459--MA0136.2.ELF5	chr11	6706997	6707007	-	0.000	0.000	Merged-chr11-6706975-16
NR10052--MA0641.1.ELF4	chr9	69757422	69757433	+	0.000	0.000	Merged-chr9-69757438-24
NR8881--MA0473.2.ELF1	chr7	79300684	79300695	-	0.000	0.000	Merged-chr7-79300921-71
NR6714--MA0640.1.ELF3	chr3	144232118	144232130	-	0.000	0.000	Merged-chr3-144232172-58
NR4650--MA0641.1.ELF4	chr17	63093413	63093424	+	0.000	0.000	Merged-chr17-63093276-29
NR7002--MA0641.1.ELF4	chr4	98395854	98395865	-	0.000	0.000	Merged-chr4-98395963-63
NR6595--MA0136.2.ELF5	chr3	123173834	123173844	+	0.000	0.000	Merged-chr3-123173705-1
NR1511--MA0640.1.ELF3	chr11	32062050	32062062	-	0.000	0.000	Merged-chr11-32062095-48
NR10285--MA0641.1.ELF4	chr9	112186571	112186582	+	0.000	0.000	Merged-chr9-112186441-37
NR6040--MA0136.2.ELF5	chr2	151944293	151944303	+	0.000	0.000	Merged-chr2-151944383-43
NR5091--MA0641.1.ELF4	chr18	84874243	84874254	-	0.000	0.000	Merged-chr18-84874398-59
NR6607--MA0640.1.ELF3	chr3	126834969	126834981	+	0.000	0.000	Merged-chr3-126834809-55
NR8784--MA0136.2.ELF5	chr7	49335222	49335232	+	0.000	0.000	Merged-chr7-49335315-27
NR5772--MA0641.1.ELF4	chr2	84582317	84582328	-	0.000	0.000	Merged-chr2-84582461-28
NR9380--MA0640.1.ELF3	chr8	64826647	64826659	+	0.000	0.000	Merged-chr8-64826546-37
NR1077--MA0641.1.ELF4	chr10	75446685	75446696	+	0.000	0.000	Merged-chr10-75446685-44
NR6719--MA0641.1.ELF4	chr3	144591303	144591314	+	0.000	0.000	Merged-chr3-144591481-19
NR772--MA0640.1.ELF3	chr1	190900155	190900167	+	0.000	0.000	Merged-chr1-190900039-25
NR1074--MA0473.2.ELF1	chr10	75446685	75446696	+	0.000	0.000	Merged-chr10-75446685-44
NR1853--MA0473.2.ELF1	chr11	97665138	97665149	-	0.000	0.000	Merged-chr11-97665045-17
NR4318--MA0136.2.ELF5	chr17	12656042	12656052	-	0.000	0.000	Merged-chr17-12655999-51
NR7612--MA0641.1.ELF4	chr5	98018296	98018307	+	0.000	0.000	Merged-chr5-98018284-53
NR4568--MA0473.2.ELF1	chr17	45488789	45488800	+	0.000	0.000	Merged-chr17-45488824-86
NR222--MA0640.1.ELF3	chr1	80441055	80441067	-	0.000	0.000	Merged-chr1-80441020-53
NR4383--MA0641.1.ELF4	chr17	21909677	21909688	+	0.000	0.000	Merged-chr17-21909627-78
NR1662--MA0136.2.ELF5	chr11	68447530	68447540	+	0.000	0.000	Merged-chr11-68447453-15
NR7514--MA0641.1.ELF4	chr5	62815971	62815982	-	0.000	0.000	Merged-chr5-62815867-48
NR7615--MA0136.2.ELF5	chr5	98018333	98018343	+	0.000	0.000	Merged-chr5-98018284-53
NR2617--MA0473.2.ELF1	chr13	5286544	5286555	-	0.000	0.000	Merged-chr13-5286449-11
NR1271--MA0640.1.ELF3	chr10	95746016	95746028	-	0.000	0.000	Merged-chr10-95746044-53
NR9614--MA0640.1.ELF3	chr8	117781651	117781663	-	0.000	0.000	Merged-chr8-117781721-61
NR4009--MA0473.2.ELF1	chr16	18089239	18089250	+	0.000	0.000	Merged-chr16-18089108-33
NR8938--MA0136.2.ELF5	chr7	84143308	84143318	-	0.000	0.000	Merged-chr7-84143230-35
NR8882--MA0641.1.ELF4	chr7	79300684	79300695	-	0.000	0.000	Merged-chr7-79300921-71
NR8606--MA0473.2.ELF1	chr7	16197339	16197350	+	0.000	0.000	Merged-chr7-16197384-7
NR8607--MA0136.2.ELF5	chr7	16197340	16197350	+	0.000	0.000	Merged-chr7-16197384-7
NR7108--MA0640.1.ELF3	chr4	122939333	122939345	+	0.000	0.000	Merged-chr4-122939330-24
NR10176--MA0640.1.ELF3	chr9	94945706	94945718	+	0.000	0.000	Merged-chr9-94945890-45
NR7103--MA0641.1.ELF4	chr4	122829558	122829569	+	0.000	0.000	Merged-chr4-122829434-12
NR7100--MA0473.2.ELF1	chr4	122829558	122829569	+	0.000	0.000	Merged-chr4-122829434-12
NR4717--MA0473.2.ELF1	chr17	79817154	79817165	+	0.000	0.000	Merged-chr17-79817109-13
NR10375--MA0136.2.ELF5	chr9	124146169	124146179	-	0.000	0.000	Merged-chr9-124146419-55
NR1075--MA0640.1.ELF3	chr10	75446685	75446697	+	0.000	0.000	Merged-chr10-75446685-44
NR2001--MA0136.2.ELF5	chr11	113574259	113574269	+	0.000	0.000	Merged-chr11-113574265-17
NR8426--MA0641.1.ELF4	chr6	127472173	127472184	+	0.000	0.000	Merged-chr6-127472187-33
NR272--MA0641.1.ELF4	chr1	87181023	87181034	+	0.000	0.000	Merged-chr1-87181117-21
NR8538--MA0641.1.ELF4	chr6	143954666	143954677	+	0.000	0.000	Merged-chr6-143954525-20
NR9504--MA0473.2.ELF1	chr8	94634381	94634392	-	0.000	0.000	Merged-chr8-94634294-63
NR9505--MA0136.2.ELF5	chr8	94634381	94634391	-	0.000	0.000	Merged-chr8-94634294-63
NR7903--MA0136.2.ELF5	chr5	147022042	147022052	+	0.000	0.000	Merged-chr5-147021953-34
NR5400--MA0473.2.ELF1	chr19	55915655	55915666	-	0.000	0.000	Merged-chr19-55915456-76
NR3011--MA0136.2.ELF5	chr13	103412731	103412741	+	0.000	0.000	Merged-chr13-103412841-15
NR6715--MA0136.2.ELF5	chr3	144232119	144232129	-	0.000	0.000	Merged-chr3-144232172-58
NR5755--MA0136.2.ELF5	chr2	76070984	76070994	-	0.000	0.000	Merged-chr2-76070778-23
NR8465--MA0136.2.ELF5	chr6	134414423	134414433	+	0.000	0.000	Merged-chr6-134414331-55
NR4569--MA0641.1.ELF4	chr17	45488789	45488800	+	0.000	0.000	Merged-chr17-45488824-86
NR2622--MA0641.1.ELF4	chr13	5757341	5757352	-	0.000	0.000	Merged-chr13-5757363-53
NR3632--MA0640.1.ELF3	chr15	36396380	36396392	-	0.000	0.000	Merged-chr15-36396472-80
NR3842--MA0641.1.ELF4	chr15	91587669	91587680	-	0.000	0.000	Merged-chr15-91587669-21
NR2618--MA0641.1.ELF4	chr13	5286544	5286555	-	0.000	0.000	Merged-chr13-5286449-11
NR4347--MA0473.2.ELF1	chr17	17516535	17516546	-	0.000	0.000	Merged-chr17-17516616-15
NR766--MA0641.1.ELF4	chr1	189608792	189608803	+	0.000	0.000	Merged-chr1-189608778-45
NR7101--MA0640.1.ELF3	chr4	122829558	122829570	+	0.000	0.000	Merged-chr4-122829434-12
NR9381--MA0136.2.ELF5	chr8	64826648	64826658	+	0.000	0.000	Merged-chr8-64826546-37
NR773--MA0136.2.ELF5	chr1	190900156	190900166	+	0.000	0.000	Merged-chr1-190900039-25
NR670--MA0136.2.ELF5	chr1	174040947	174040957	+	0.000	0.000	Merged-chr1-174041007-47
NR8536--MA0640.1.ELF3	chr6	143954666	143954678	+	0.000	0.000	Merged-chr6-143954525-20
NR4841--MA0136.2.ELF5	chr18	20958574	20958584	+	0.000	0.000	Merged-chr18-20958696-25
NR8520--MA0136.2.ELF5	chr6	143425493	143425503	-	0.000	0.000	Merged-chr6-143425516-71
NR2562--MA0473.2.ELF1	chr12	116140735	116140746	-	0.000	0.000	Merged-chr12-116140817-28
NR6153--MA0136.2.ELF5	chr2	168531494	168531504	+	0.000	0.000	Merged-chr2-168531705-18
NR9530--MA0136.2.ELF5	chr8	106949061	106949071	-	0.000	0.000	Merged-chr8-106949012-29
NR152--MA0136.2.ELF5	chr1	60016452	60016462	+	0.000	0.000	Merged-chr1-60016690-100
NR9087--MA0136.2.ELF5	chr7	121059774	121059784	-	0.000	0.000	Merged-chr7-121059708-48
NR7109--MA0136.2.ELF5	chr4	122939334	122939344	+	0.000	0.000	Merged-chr4-122939330-24
NR4348--MA0640.1.ELF3	chr17	17516534	17516546	-	0.000	0.000	Merged-chr17-17516616-15
NR6733--MA0641.1.ELF4	chr3	146039585	146039596	-	0.000	0.000	Merged-chr3-146039588-29
NR8462--MA0473.2.ELF1	chr6	134274046	134274057	+	0.000	0.000	Merged-chr6-134274107-38
NR947--MA0641.1.ELF4	chr10	41615621	41615632	+	0.000	0.000	Merged-chr10-41615681-31
NR5770--MA0473.2.ELF1	chr2	84582317	84582328	-	0.000	0.000	Merged-chr2-84582461-28
NR5771--MA0136.2.ELF5	chr2	84582317	84582327	-	0.000	0.000	Merged-chr2-84582461-28
NR8244--MA0136.2.ELF5	chr6	89421737	89421747	-	0.000	0.000	Merged-chr6-89421751-50
NR2062--MA0473.2.ELF1	chr11	118731985	118731996	-	0.000	0.000	Merged-chr11-118731916-25
NR4133--MA0641.1.ELF4	chr16	49791087	49791098	+	0.000	0.000	Merged-chr16-49791055-52
NR10588--MA0640.1.ELF3	chrX	169880551	169880563	+	0.000	0.000	Merged-chrX-169880422-92
NR4053--MA0641.1.ELF4	chr16	26668103	26668114	-	0.000	0.000	Merged-chr16-26667963-36
NR4368--MA0473.2.ELF1	chr17	21463686	21463697	+	0.000	0.000	Merged-chr17-21463736-49
NR7651--MA0473.2.ELF1	chr5	107840731	107840742	+	0.000	0.000	Merged-chr5-107840807-27
NR6820--MA0640.1.ELF3	chr4	32423907	32423919	+	0.000	0.000	Merged-chr4-32423825-17
NR7096--MA0473.2.ELF1	chr4	122829288	122829299	+	0.000	0.000	Merged-chr4-122829434-12
NR9138--MA0136.2.ELF5	chr7	127922763	127922773	-	0.000	0.000	Merged-chr7-127922827-35
NR8187--MA0136.2.ELF5	chr6	73255068	73255078	+	0.000	0.000	Merged-chr6-73255048-51
NR4713--MA0473.2.ELF1	chr17	79093459	79093470	-	0.000	0.000	Merged-chr17-79093476-55
NR668--MA0473.2.ELF1	chr1	174040946	174040957	+	0.000	0.000	Merged-chr1-174041007-47
NR8871--MA0473.2.ELF1	chr7	78451873	78451884	+	0.000	0.000	Merged-chr7-78451897-56
NR687--MA0136.2.ELF5	chr1	176986537	176986547	-	0.000	0.000	Merged-chr1-176986467-25
NR6731--MA0640.1.ELF3	chr3	146039584	146039596	-	0.000	0.000	Merged-chr3-146039588-29
NR7102--MA0136.2.ELF5	chr4	122829559	122829569	+	0.000	0.000	Merged-chr4-122829434-12
NR4985--MA0641.1.ELF4	chr18	67308455	67308466	-	0.000	0.000	Merged-chr18-67308419-119
NR10499--MA0641.1.ELF4	chrX	104488367	104488378	-	0.000	0.000	Merged-chrX-104488290-31
NR945--MA0640.1.ELF3	chr10	41615621	41615633	+	0.000	0.000	Merged-chr10-41615681-31
NR2063--MA0640.1.ELF3	chr11	118731984	118731996	-	0.000	0.000	Merged-chr11-118731916-25
NR374--MA0136.2.ELF5	chr1	127425235	127425245	+	0.000	0.000	Merged-chr1-127425317-19
NR5723--MA0473.2.ELF1	chr2	70727367	70727378	+	0.000	0.000	Merged-chr2-70727299-23
NR1387--MA0136.2.ELF5	chr10	127337722	127337732	-	0.000	0.000	Merged-chr10-127337702-25
NR4350--MA0641.1.ELF4	chr17	17516535	17516546	-	0.000	0.000	Merged-chr17-17516616-15
NR4319--MA0641.1.ELF4	chr17	12656042	12656053	-	0.000	0.000	Merged-chr17-12655999-51
NR8840--MA0640.1.ELF3	chr7	68298467	68298479	+	0.000	0.000	Merged-chr7-68298573-21
NR3339--MA0136.2.ELF5	chr14	64734627	64734637	-	0.000	0.000	Merged-chr14-64734579-23
NR4010--MA0641.1.ELF4	chr16	18089239	18089250	+	0.000	0.000	Merged-chr16-18089108-33
NR4787--MA0136.2.ELF5	chr17	87746385	87746395	+	0.000	0.000	Merged-chr17-87746339-54
NR5088--MA0473.2.ELF1	chr18	84874243	84874254	-	0.000	0.000	Merged-chr18-84874398-59
NR5329--MA0640.1.ELF3	chr19	42305916	42305928	+	0.000	0.000	Merged-chr19-42305883-1
NR4051--MA0640.1.ELF3	chr16	26668102	26668114	-	0.000	0.000	Merged-chr16-26667963-36
NR7652--MA0640.1.ELF3	chr5	107840731	107840743	+	0.000	0.000	Merged-chr5-107840807-27
NR7097--MA0640.1.ELF3	chr4	122829288	122829300	+	0.000	0.000	Merged-chr4-122829434-12
NR1663--MA0641.1.ELF4	chr11	68447529	68447540	+	0.000	0.000	Merged-chr11-68447453-15
NR4714--MA0640.1.ELF3	chr17	79093458	79093470	-	0.000	0.000	Merged-chr17-79093476-55
NR7616--MA0641.1.ELF4	chr5	98018332	98018343	+	0.000	0.000	Merged-chr5-98018284-53
NR1458--MA0640.1.ELF3	chr11	6706996	6707008	-	0.000	0.000	Merged-chr11-6706975-16
NR669--MA0640.1.ELF3	chr1	174040946	174040958	+	0.000	0.000	Merged-chr1-174041007-47
NR7613--MA0473.2.ELF1	chr5	98018332	98018343	+	0.000	0.000	Merged-chr5-98018284-53
NR10590--MA0641.1.ELF4	chrX	169880551	169880562	+	0.000	0.000	Merged-chrX-169880422-92
NR4349--MA0136.2.ELF5	chr17	17516535	17516545	-	0.000	0.000	Merged-chr17-17516616-15
NR4369--MA0641.1.ELF4	chr17	21463686	21463697	+	0.000	0.000	Merged-chr17-21463736-49
NR8939--MA0641.1.ELF4	chr7	84143308	84143319	-	0.000	0.000	Merged-chr7-84143230-35
NR9384--MA0641.1.ELF4	chr8	68674366	68674377	+	0.000	0.000	Merged-chr8-68674402-29
NR7609--MA0473.2.ELF1	chr5	98018296	98018307	+	0.000	0.000	Merged-chr5-98018284-53
NR8519--MA0640.1.ELF3	chr6	143425492	143425504	-	0.000	0.000	Merged-chr6-143425516-71
NR8783--MA0640.1.ELF3	chr7	49335221	49335233	+	0.000	0.000	Merged-chr7-49335315-27
NR8176--MA0136.2.ELF5	chr6	72495519	72495529	-	0.000	0.000	Merged-chr6-72495605-8
NR8608--MA0641.1.ELF4	chr7	16197339	16197350	+	0.000	0.000	Merged-chr7-16197384-7
NR5724--MA0640.1.ELF3	chr2	70727367	70727379	+	0.000	0.000	Merged-chr2-70727299-23
NR658--MA0136.2.ELF5	chr1	171963824	171963834	+	0.000	0.000	Merged-chr1-171963786-30
NR1456--MA0136.2.ELF5	chr11	6705089	6705099	+	0.000	0.000	Merged-chr11-6705219-50
NR9705--MA0136.2.ELF5	chr8	126867935	126867945	+	0.000	0.000	Merged-chr8-126867742-65
NR7202--MA0473.2.ELF1	chr4	137714433	137714444	-	0.000	0.000	Merged-chr4-137714339-14
NR4317--MA0640.1.ELF3	chr17	12656041	12656053	-	0.000	0.000	Merged-chr17-12655999-51
NR7282--MA0640.1.ELF3	chr4	149912648	149912660	-	0.000	0.000	Merged-chr4-149912693-20
NR5089--MA0640.1.ELF3	chr18	84874242	84874254	-	0.000	0.000	Merged-chr18-84874398-59
NR3783--MA0473.2.ELF1	chr15	81254445	81254456	-	0.000	0.000	Merged-chr15-81254471-25
NR7904--MA0641.1.ELF4	chr5	147022041	147022052	+	0.000	0.000	Merged-chr5-147021953-34
NR3323--MA0136.2.ELF5	chr14	61818569	61818579	+	0.000	0.000	Merged-chr14-61818597-46
NR6506--MA0640.1.ELF3	chr3	96814573	96814585	-	0.000	0.000	Merged-chr3-96814496-20
NR5502--MA0473.2.ELF1	chr2	10581309	10581320	-	0.000	0.000	Merged-chr2-10581253-23
NR6283--MA0473.2.ELF1	chr3	30930018	30930029	+	0.000	0.000	Merged-chr3-30930063-19
NR6716--MA0641.1.ELF4	chr3	144232119	144232130	-	0.000	0.000	Merged-chr3-144232172-58
NR7614--MA0640.1.ELF3	chr5	98018332	98018344	+	0.000	0.000	Merged-chr5-98018284-53
NR8466--MA0641.1.ELF4	chr6	134414422	134414433	+	0.000	0.000	Merged-chr6-134414331-55
NR8463--MA0473.2.ELF1	chr6	134414422	134414433	+	0.000	0.000	Merged-chr6-134414331-55
NR4315--MA0136.2.ELF5	chr17	12307891	12307901	+	0.000	0.000	Merged-chr17-12307853-61
NR6835--MA0136.2.ELF5	chr4	35130576	35130586	-	0.000	0.000	Merged-chr4-35130648-17
NR1510--MA0473.2.ELF1	chr11	32062051	32062062	-	0.000	0.000	Merged-chr11-32062095-48
NR269--MA0473.2.ELF1	chr1	87181023	87181034	+	0.000	0.000	Merged-chr1-87181117-21
NR6606--MA0473.2.ELF1	chr3	126834969	126834980	+	0.000	0.000	Merged-chr3-126834809-55
NR2064--MA0136.2.ELF5	chr11	118731985	118731995	-	0.000	0.000	Merged-chr11-118731916-25
NR2730--MA0473.2.ELF1	chr13	36534398	36534409	+	0.000	0.000	Merged-chr13-36534554-32
NR2731--MA0136.2.ELF5	chr13	36534399	36534409	+	0.000	0.000	Merged-chr13-36534554-32
NR9382--MA0641.1.ELF4	chr8	64826647	64826658	+	0.000	0.000	Merged-chr8-64826546-37
NR1460--MA0641.1.ELF4	chr11	6706997	6707008	-	0.000	0.000	Merged-chr11-6706975-16
NR7203--MA0640.1.ELF3	chr4	137714432	137714444	-	0.000	0.000	Merged-chr4-137714339-14
NR671--MA0641.1.ELF4	chr1	174040946	174040957	+	0.000	0.000	Merged-chr1-174041007-47
NR8147--MA0136.2.ELF5	chr6	67183706	67183716	+	0.000	0.000	Merged-chr6-67183808-15
NR8935--MA0136.2.ELF5	chr7	83852793	83852803	-	0.000	0.000	Merged-chr7-83852721-40
NR8841--MA0136.2.ELF5	chr7	68298468	68298478	+	0.000	0.000	Merged-chr7-68298573-21
NR2619--MA0473.2.ELF1	chr13	5757341	5757352	-	0.000	0.000	Merged-chr13-5757363-53
NR1333--MA0136.2.ELF5	chr10	119005686	119005696	+	0.000	0.000	Merged-chr10-119005704-15
NR3784--MA0640.1.ELF3	chr15	81254444	81254456	-	0.000	0.000	Merged-chr15-81254471-25
NR5491--MA0136.2.ELF5	chr2	8965253	8965263	+	0.000	0.000	Merged-chr2-8965212-53
NR7653--MA0136.2.ELF5	chr5	107840732	107840742	+	0.000	0.000	Merged-chr5-107840807-27
NR7098--MA0136.2.ELF5	chr4	122829289	122829299	+	0.000	0.000	Merged-chr4-122829434-12
NR5503--MA0640.1.ELF3	chr2	10581308	10581320	-	0.000	0.000	Merged-chr2-10581253-23
NR1696--MA0136.2.ELF5	chr11	74100872	74100882	-	0.000	0.000	Merged-chr11-74100988-13
NR4715--MA0136.2.ELF5	chr17	79093459	79093469	-	0.000	0.000	Merged-chr17-79093476-55
NR6284--MA0640.1.ELF3	chr3	30930018	30930030	+	0.000	0.000	Merged-chr3-30930063-19
NR8873--MA0136.2.ELF5	chr7	78451874	78451884	+	0.000	0.000	Merged-chr7-78451897-56
NR5249--MA0473.2.ELF1	chr19	26414860	26414871	-	0.000	0.000	Merged-chr19-26414799-20
NR8985--MA0136.2.ELF5	chr7	97067494	97067504	-	0.000	0.000	Merged-chr7-97067401-28
NR9871--MA0641.1.ELF4	chr9	43242513	43242524	-	0.000	0.000	Merged-chr9-43242516-24
NR8464--MA0640.1.ELF3	chr6	134414422	134414434	+	0.000	0.000	Merged-chr6-134414331-55
NR10359--MA0136.2.ELF5	chr9	122272105	122272115	+	0.000	0.000	Merged-chr9-122271996-35
NR5843--MA0641.1.ELF4	chr2	112676824	112676835	-	0.000	0.000	Merged-chr2-112676754-32
NR9531--MA0641.1.ELF4	chr8	106949061	106949072	-	0.000	0.000	Merged-chr8-106949012-29
NR5840--MA0473.2.ELF1	chr2	112676824	112676835	-	0.000	0.000	Merged-chr2-112676754-32
NR10497--MA0473.2.ELF1	chrX	104488367	104488378	-	0.000	0.000	Merged-chrX-104488290-31
NR10498--MA0136.2.ELF5	chrX	104488367	104488377	-	0.000	0.000	Merged-chrX-104488290-31
NR4093--MA0136.2.ELF5	chr16	36540942	36540952	-	0.000	0.000	Merged-chr16-36541041-27
NR153--MA0641.1.ELF4	chr1	60016451	60016462	+	0.000	0.000	Merged-chr1-60016690-100
NR8202--MA0136.2.ELF5	chr6	85075099	85075109	+	0.000	0.000	Merged-chr6-85075148-16
NR5725--MA0136.2.ELF5	chr2	70727368	70727378	+	0.000	0.000	Merged-chr2-70727299-23
NR259--MA0136.2.ELF5	chr1	86005287	86005297	-	0.000	0.000	Merged-chr1-86005276-2
NR9100--MA0136.2.ELF5	chr7	125511621	125511631	+	0.000	0.000	Merged-chr7-125511628-40
NR7283--MA0136.2.ELF5	chr4	149912649	149912659	-	0.000	0.000	Merged-chr4-149912693-20
NR7395--MA0136.2.ELF5	chr5	29205908	29205918	-	0.000	0.000	Merged-chr5-29205850-28
NR622--MA0136.2.ELF5	chr1	165195705	165195715	+	0.000	0.000	Merged-chr1-165195697-7
NR9360--MA0136.2.ELF5	chr8	46197039	46197049	-	0.000	0.000	Merged-chr8-46197044-15
NR6507--MA0136.2.ELF5	chr3	96814574	96814584	-	0.000	0.000	Merged-chr3-96814496-20
NR7279--MA0136.2.ELF5	chr4	149880052	149880062	+	0.000	0.000	Merged-chr4-149880219-52
NR1765--MA0136.2.ELF5	chr11	84252639	84252649	-	0.000	0.000	Merged-chr11-84252620-21
NR4380--MA0473.2.ELF1	chr17	21909645	21909656	-	0.000	0.000	Merged-chr17-21909627-78
NR4381--MA0136.2.ELF5	chr17	21909645	21909655	-	0.000	0.000	Merged-chr17-21909627-78
NR8190--MA0136.2.ELF5	chr6	82939832	82939842	+	0.000	0.000	Merged-chr6-82939673-51
NR5921--MA0641.1.ELF4	chr2	128367649	128367660	+	0.000	0.000	Merged-chr2-128367839-63
NR9139--MA0641.1.ELF4	chr7	127922763	127922774	-	0.000	0.000	Merged-chr7-127922827-35
NR7000--MA0640.1.ELF3	chr4	98395853	98395865	-	0.000	0.000	Merged-chr4-98395963-63
NR5841--MA0640.1.ELF3	chr2	112676823	112676835	-	0.000	0.000	Merged-chr2-112676754-32
NR9136--MA0473.2.ELF1	chr7	127922763	127922774	-	0.000	0.000	Merged-chr7-127922827-35
NR151--MA0640.1.ELF3	chr1	60016451	60016463	+	0.000	0.000	Merged-chr1-60016690-100
NR10014--MA0641.1.ELF4	chr9	66492520	66492531	+	0.000	0.000	Merged-chr9-66492510-30
NR9086--MA0640.1.ELF3	chr7	121059773	121059785	-	0.000	0.000	Merged-chr7-121059708-48
NR1235--MA0641.1.ELF4	chr10	93356317	93356328	-	0.000	0.000	Merged-chr10-93356301-45
NR10011--MA0473.2.ELF1	chr9	66492520	66492531	+	0.000	0.000	Merged-chr9-66492510-30
NR6556--MA0473.2.ELF1	chr3	109444209	109444220	+	0.000	0.000	Merged-chr3-109444108-35
NR6557--MA0136.2.ELF5	chr3	109444210	109444220	+	0.000	0.000	Merged-chr3-109444108-35
NR1232--MA0473.2.ELF1	chr10	93356317	93356328	-	0.000	0.000	Merged-chr10-93356301-45
NR659--MA0136.2.ELF5	chr1	171975651	171975661	-	0.000	0.000	Merged-chr1-171975842-43
NR7204--MA0136.2.ELF5	chr4	137714433	137714443	-	0.000	0.000	Merged-chr4-137714339-14
NR9854--MA0136.2.ELF5	chr9	40746894	40746904	+	0.000	0.000	Merged-chr9-40746987-16
NR8535--MA0473.2.ELF1	chr6	143954666	143954677	+	0.000	0.000	Merged-chr6-143954525-20
NR10091--MA0641.1.ELF4	chr9	77514125	77514136	-	0.000	0.000	Merged-chr9-77514125-35
NR7610--MA0640.1.ELF3	chr5	98018296	98018308	+	0.000	0.000	Merged-chr5-98018284-53
NR3488--MA0640.1.ELF3	chr14	118173824	118173836	+	0.000	0.000	Merged-chr14-118173746-41
