#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR5434--MA0149.1.EWSR1-FLI1	chr2	17597773	17597790	+	0.000	0.000	Merged-chr2-17597899-18
NR6284--MA0149.1.EWSR1-FLI1	chr2	181483773	181483790	-	0.000	0.000	Merged-chr2-181483913-67
NR10652--MA0475.2.FLI1	chr9	116243860	116243869	+	0.000	0.000	Merged-chr9-116243832-57
NR4159--MA0149.1.EWSR1-FLI1	chr16	48772287	48772304	+	0.000	0.000	Merged-chr16-48772238-46
NR9875--MA0149.1.EWSR1-FLI1	chr8	88451039	88451056	+	0.000	0.000	Merged-chr8-88451024-11
NR345--MA0149.1.EWSR1-FLI1	chr1	127796493	127796510	-	0.000	0.000	Merged-chr1-127796546-56
NR619--MA0475.2.FLI1	chr1	174040948	174040957	+	0.000	0.000	Merged-chr1-174041007-47
NR8822--MA0475.2.FLI1	chr6	136695549	136695558	+	0.000	0.000	Merged-chr6-136695516-20
NR404--MA0475.2.FLI1	chr1	136600818	136600827	-	0.000	0.000	Merged-chr1-136600909-41
NR7567--MA0149.1.EWSR1-FLI1	chr4	152117723	152117740	+	0.000	0.000	Merged-chr4-152117699-6
NR6885--MA0149.1.EWSR1-FLI1	chr3	148491382	148491399	+	0.000	0.000	Merged-chr3-148491583-74
NR9203--MA0149.1.EWSR1-FLI1	chr7	68298472	68298489	+	0.000	0.000	Merged-chr7-68298573-21
NR4698--MA0149.1.EWSR1-FLI1	chr17	80577525	80577542	-	0.000	0.000	Merged-chr17-80577430-28
NR103--MA0149.1.EWSR1-FLI1	chr1	52652742	52652759	-	0.000	0.000	Merged-chr1-52652704-8
NR1787--MA0149.1.EWSR1-FLI1	chr11	74100869	74100886	-	0.000	0.000	Merged-chr11-74100988-13
NR8437--MA0149.1.EWSR1-FLI1	chr6	65765270	65765287	+	0.000	0.000	Merged-chr6-65765316-29
NR3769--MA0149.1.EWSR1-FLI1	chr15	74667723	74667740	-	0.000	0.000	Merged-chr15-74667710-27
NR8929--MA0149.1.EWSR1-FLI1	chr6	147672715	147672732	-	0.000	0.000	Merged-chr6-147672675-1
NR679--MA0149.1.EWSR1-FLI1	chr1	180410194	180410211	-	0.000	0.000	Merged-chr1-180410391-12
NR10861--MA0149.1.EWSR1-FLI1	chrX	100789712	100789729	-	0.000	0.000	Merged-chrX-100789555-32
NR10122--MA0149.1.EWSR1-FLI1	chr9	14352423	14352440	-	0.000	0.000	Merged-chr9-14352578-25
NR3732--MA0149.1.EWSR1-FLI1	chr15	59804975	59804992	+	0.000	0.000	Merged-chr15-59805045-21
NR8012--MA0149.1.EWSR1-FLI1	chr5	122288659	122288676	+	0.000	0.000	Merged-chr5-122288620-47
NR2767--MA0475.2.FLI1	chr13	41773997	41774006	+	0.000	0.000	Merged-chr13-41774048-23
NR8187--MA0475.2.FLI1	chr5	147022043	147022052	+	0.000	0.000	Merged-chr5-147021953-34
NR1728--MA0149.1.EWSR1-FLI1	chr11	64115914	64115931	-	0.000	0.000	Merged-chr11-64115983-5
NR642--MA0149.1.EWSR1-FLI1	chr1	177455704	177455721	+	0.000	0.000	Merged-chr1-177455545-12
NR9228--MA0149.1.EWSR1-FLI1	chr7	78578273	78578290	+	0.000	0.000	Merged-chr7-78578195-76
NR4620--MA0475.2.FLI1	chr17	57098611	57098620	-	0.000	0.000	Merged-chr17-57098619-14
NR2148--MA0149.1.EWSR1-FLI1	chr11	116809694	116809711	+	0.000	0.000	Merged-chr11-116809683-9
NR1607--MA0149.1.EWSR1-FLI1	chr11	32020357	32020374	+	0.000	0.000	Merged-chr11-32020422-50
NR296--MA0149.1.EWSR1-FLI1	chr1	106569732	106569749	-	0.000	0.000	Merged-chr1-106569953-62
NR2949--MA0149.1.EWSR1-FLI1	chr13	91178595	91178612	+	0.000	0.000	Merged-chr13-91178743-26
NR6364--MA0149.1.EWSR1-FLI1	chr3	37205288	37205305	+	0.000	0.000	Merged-chr3-37205453-40
NR4402--MA0149.1.EWSR1-FLI1	chr17	17826899	17826916	-	0.000	0.000	Merged-chr17-17826809-71
NR3453--MA0149.1.EWSR1-FLI1	chr14	76414701	76414718	-	0.000	0.000	Merged-chr14-76414870-149
NR6060--MA0149.1.EWSR1-FLI1	chr2	157746662	157746679	-	0.000	0.000	Merged-chr2-157746803-36
NR5397--MA0475.2.FLI1	chr2	8965254	8965263	+	0.000	0.000	Merged-chr2-8965212-53
NR8408--MA0149.1.EWSR1-FLI1	chr6	53287198	53287215	-	0.000	0.000	Merged-chr6-53287448-61
NR10953--MA0149.1.EWSR1-FLI1	chrX	159447246	159447263	-	0.000	0.000	Merged-chrX-159447377-17
NR11--MA0149.1.EWSR1-FLI1	chr1	14740104	14740121	+	0.000	0.000	Merged-chr1-14740213-10
NR4406--MA0475.2.FLI1	chr17	21463688	21463697	+	0.000	0.000	Merged-chr17-21463736-49
NR1817--MA0475.2.FLI1	chr11	76573066	76573075	-	0.000	0.000	Merged-chr11-76573046-33
NR7956--MA0149.1.EWSR1-FLI1	chr5	112483139	112483156	-	0.000	0.000	Merged-chr5-112483145-18
NR4919--MA0149.1.EWSR1-FLI1	chr18	61479909	61479926	-	0.000	0.000	Merged-chr18-61480035-15
NR9184--MA0149.1.EWSR1-FLI1	chr7	66416959	66416976	+	0.000	0.000	Merged-chr7-66416875-13
NR9881--MA0149.1.EWSR1-FLI1	chr8	91545874	91545891	-	0.000	0.000	Merged-chr8-91545805-43
NR9901--MA0149.1.EWSR1-FLI1	chr8	95142682	95142699	-	0.000	0.000	Merged-chr8-95142662-41
NR8438--MA0149.1.EWSR1-FLI1	chr6	65765274	65765291	+	0.000	0.000	Merged-chr6-65765316-29
NR1872--MA0149.1.EWSR1-FLI1	chr11	86396533	86396550	+	0.000	0.000	Merged-chr11-86396704-11
NR2779--MA0149.1.EWSR1-FLI1	chr13	43789201	43789218	+	0.000	0.000	Merged-chr13-43789112-65
NR10123--MA0149.1.EWSR1-FLI1	chr9	14352427	14352444	-	0.000	0.000	Merged-chr9-14352578-25
NR10413--MA0475.2.FLI1	chr9	77514125	77514134	-	0.000	0.000	Merged-chr9-77514125-35
NR7054--MA0475.2.FLI1	chr4	44271232	44271241	-	0.000	0.000	Merged-chr4-44271283-50
NR3775--MA0149.1.EWSR1-FLI1	chr15	76190079	76190096	-	0.000	0.000	Merged-chr15-76190238-30
NR9328--MA0475.2.FLI1	chr7	97067494	97067503	-	0.000	0.000	Merged-chr7-97067401-28
NR826--MA0149.1.EWSR1-FLI1	chr10	7041228	7041245	+	0.000	0.000	Merged-chr10-7041240-23
NR5144--MA0149.1.EWSR1-FLI1	chr19	26414729	26414746	+	0.000	0.000	Merged-chr19-26414799-20
NR1200--MA0475.2.FLI1	chr10	84774770	84774779	+	0.000	0.000	Merged-chr10-84774745-16
NR1608--MA0149.1.EWSR1-FLI1	chr11	32020361	32020378	+	0.000	0.000	Merged-chr11-32020422-50
NR297--MA0149.1.EWSR1-FLI1	chr1	106569736	106569753	-	0.000	0.000	Merged-chr1-106569953-62
NR4074--MA0149.1.EWSR1-FLI1	chr16	23308327	23308344	-	0.000	0.000	Merged-chr16-23308226-35
NR1079--MA0149.1.EWSR1-FLI1	chr10	75446601	75446618	-	0.000	0.000	Merged-chr10-75446685-44
NR690--MA0149.1.EWSR1-FLI1	chr1	182019849	182019866	-	0.000	0.000	Merged-chr1-182019685-38
NR6669--MA0149.1.EWSR1-FLI1	chr3	109421002	109421019	-	0.000	0.000	Merged-chr3-109421125-43
NR3533--MA0149.1.EWSR1-FLI1	chr14	118173742	118173759	+	0.000	0.000	Merged-chr14-118173746-41
NR9973--MA0149.1.EWSR1-FLI1	chr8	115227121	115227138	-	0.000	0.000	Merged-chr8-115227272-68
NR1346--MA0149.1.EWSR1-FLI1	chr10	117118583	117118600	+	0.000	0.000	Merged-chr10-117118585-40
NR7786--MA0149.1.EWSR1-FLI1	chr5	65904580	65904597	-	0.000	0.000	Merged-chr5-65904671-7
NR2300--MA0149.1.EWSR1-FLI1	chr12	40008750	40008767	+	0.000	0.000	Merged-chr12-40008525-27
NR5703--MA0149.1.EWSR1-FLI1	chr2	76070940	76070957	-	0.000	0.000	Merged-chr2-76070778-23
NR2322--MA0475.2.FLI1	chr12	54398272	54398281	+	0.000	0.000	Merged-chr12-54398333-42
NR4821--MA0149.1.EWSR1-FLI1	chr18	19524567	19524584	-	0.000	0.000	Merged-chr18-19524471-22
NR7915--MA0149.1.EWSR1-FLI1	chr5	106885746	106885763	-	0.000	0.000	Merged-chr5-106885750-27
NR7591--MA0149.1.EWSR1-FLI1	chr4	154936718	154936735	+	0.000	0.000	Merged-chr4-154936813-27
NR1483--MA0475.2.FLI1	chr10	128940648	128940657	+	0.000	0.000	Merged-chr10-128940717-41
NR8518--MA0149.1.EWSR1-FLI1	chr6	86784842	86784859	-	0.000	0.000	Merged-chr6-86784948-9
NR7265--MA0149.1.EWSR1-FLI1	chr4	114405880	114405897	+	0.000	0.000	Merged-chr4-114405939-23
NR4228--MA0149.1.EWSR1-FLI1	chr16	78573079	78573096	-	0.000	0.000	Merged-chr16-78573118-8
NR7669--MA0475.2.FLI1	chr5	21370440	21370449	+	0.000	0.000	Merged-chr5-21370599-51
NR565--MA0149.1.EWSR1-FLI1	chr1	165985855	165985872	+	0.000	0.000	Merged-chr1-165985990-54
NR3534--MA0149.1.EWSR1-FLI1	chr14	118173746	118173763	+	0.000	0.000	Merged-chr14-118173746-41
NR9536--MA0475.2.FLI1	chr7	130816514	130816523	-	0.000	0.000	Merged-chr7-130816442-11
NR10984--MA0475.2.FLI1	chrX	169880553	169880562	+	0.000	0.000	Merged-chrX-169880422-92
NR1226--MA0149.1.EWSR1-FLI1	chr10	89873353	89873370	-	0.000	0.000	Merged-chr10-89873234-54
NR3376--MA0149.1.EWSR1-FLI1	chr14	64734632	64734649	-	0.000	0.000	Merged-chr14-64734579-23
NR10651--MA0149.1.EWSR1-FLI1	chr9	116212225	116212242	+	0.000	0.000	Merged-chr9-116212405-59
NR7592--MA0149.1.EWSR1-FLI1	chr4	154936726	154936743	+	0.000	0.000	Merged-chr4-154936813-27
NR2870--MA0475.2.FLI1	chr13	64432482	64432491	-	0.000	0.000	Merged-chr13-64432516-70
NR6228--MA0149.1.EWSR1-FLI1	chr2	173452368	173452385	+	0.000	0.000	Merged-chr2-173452276-60
NR10404--MA0149.1.EWSR1-FLI1	chr9	75109300	75109317	-	0.000	0.000	Merged-chr9-75109370-6
NR7162--MA0149.1.EWSR1-FLI1	chr4	86886297	86886314	+	0.000	0.000	Merged-chr4-86886222-78
NR8907--MA0149.1.EWSR1-FLI1	chr6	145256678	145256695	-	0.000	0.000	Merged-chr6-145256565-1
NR2624--MA0475.2.FLI1	chr12	116140735	116140744	-	0.000	0.000	Merged-chr12-116140817-28
NR9327--MA0149.1.EWSR1-FLI1	chr7	97042402	97042419	-	0.000	0.000	Merged-chr7-97042218-26
NR8462--MA0149.1.EWSR1-FLI1	chr6	72495479	72495496	+	0.000	0.000	Merged-chr6-72495605-8
NR395--MA0149.1.EWSR1-FLI1	chr1	135807727	135807744	+	0.000	0.000	Merged-chr1-135807785-37
NR3490--MA0149.1.EWSR1-FLI1	chr14	99419188	99419205	-	0.000	0.000	Merged-chr14-99419131-33
NR6584--MA0149.1.EWSR1-FLI1	chr3	96814422	96814439	-	0.000	0.000	Merged-chr3-96814496-20
NR10760--MA0149.1.EWSR1-FLI1	chrX	11753388	11753405	+	0.000	0.000	Merged-chrX-11753307-53
NR441--MA0475.2.FLI1	chr1	152019396	152019405	+	0.000	0.000	Merged-chr1-152019421-49
NR887--MA0149.1.EWSR1-FLI1	chr10	21947139	21947156	-	0.000	0.000	Merged-chr10-21947042-21
NR9557--MA0149.1.EWSR1-FLI1	chr7	135598644	135598661	-	0.000	0.000	Merged-chr7-135598633-32
NR5697--MA0149.1.EWSR1-FLI1	chr2	76070928	76070945	-	0.000	0.000	Merged-chr2-76070778-23
NR5393--MA0149.1.EWSR1-FLI1	chr2	8870287	8870304	-	0.000	0.000	Merged-chr2-8870300-9
NR9871--MA0149.1.EWSR1-FLI1	chr8	88450983	88451000	+	0.000	0.000	Merged-chr8-88451024-11
NR828--MA0149.1.EWSR1-FLI1	chr10	7212309	7212326	-	0.000	0.000	Merged-chr10-7212223-140
NR2974--MA0149.1.EWSR1-FLI1	chr13	94285459	94285476	-	0.000	0.000	Merged-chr13-94285353-62
NR1511--MA0149.1.EWSR1-FLI1	chr11	4289446	4289463	-	0.000	0.000	Merged-chr11-4289401-53
NR10172--MA0149.1.EWSR1-FLI1	chr9	32661717	32661734	-	0.000	0.000	Merged-chr9-32661510-89
NR6629--MA0149.1.EWSR1-FLI1	chr3	104616380	104616397	+	0.000	0.000	Merged-chr3-104616358-38
NR10481--MA0149.1.EWSR1-FLI1	chr9	92274701	92274718	+	0.000	0.000	Merged-chr9-92274591-56
NR7007--MA0149.1.EWSR1-FLI1	chr4	32258289	32258306	-	0.000	0.000	Merged-chr4-32258239-72
NR6058--MA0149.1.EWSR1-FLI1	chr2	157746658	157746675	-	0.000	0.000	Merged-chr2-157746803-36
NR7929--MA0149.1.EWSR1-FLI1	chr5	107840724	107840741	+	0.000	0.000	Merged-chr5-107840807-27
NR8551--MA0475.2.FLI1	chr6	94760969	94760978	+	0.000	0.000	Merged-chr6-94761021-48
NR7808--MA0149.1.EWSR1-FLI1	chr5	72940963	72940980	+	0.000	0.000	Merged-chr5-72941102-35
NR7180--MA0149.1.EWSR1-FLI1	chr4	89504045	89504062	+	0.000	0.000	Merged-chr4-89503923-8
NR10731--MA0149.1.EWSR1-FLI1	chr9	122222981	122222998	-	0.000	0.000	Merged-chr9-122223138-17
NR554--MA0149.1.EWSR1-FLI1	chr1	164881968	164881985	+	0.000	0.000	Merged-chr1-164882176-54
NR7135--MA0475.2.FLI1	chr4	63627278	63627287	+	0.000	0.000	Merged-chr4-63627315-28
NR8463--MA0149.1.EWSR1-FLI1	chr6	72495483	72495500	+	0.000	0.000	Merged-chr6-72495605-8
NR7393--MA0149.1.EWSR1-FLI1	chr4	133298688	133298705	+	0.000	0.000	Merged-chr4-133298699-41
NR9558--MA0149.1.EWSR1-FLI1	chr7	135598647	135598664	-	0.000	0.000	Merged-chr7-135598633-32
NR9230--MA0475.2.FLI1	chr7	78721641	78721650	+	0.000	0.000	Merged-chr7-78721730-59
NR5698--MA0149.1.EWSR1-FLI1	chr2	76070929	76070946	-	0.000	0.000	Merged-chr2-76070778-23
NR3820--MA0149.1.EWSR1-FLI1	chr15	80192519	80192536	-	0.000	0.000	Merged-chr15-80192413-58
NR6689--MA0149.1.EWSR1-FLI1	chr3	116859524	116859541	+	0.000	0.000	Merged-chr3-116859602-1
NR4363--MA0475.2.FLI1	chr17	8237659	8237668	+	0.000	0.000	Merged-chr17-8237581-7
NR1512--MA0149.1.EWSR1-FLI1	chr11	4289450	4289467	-	0.000	0.000	Merged-chr11-4289401-53
NR2320--MA0149.1.EWSR1-FLI1	chr12	54293492	54293509	+	0.000	0.000	Merged-chr12-54293472-68
NR9902--MA0475.2.FLI1	chr8	95247501	95247510	+	0.000	0.000	Merged-chr8-95247520-25
NR6573--MA0149.1.EWSR1-FLI1	chr3	96040835	96040852	-	0.000	0.000	Merged-chr3-96040740-50
NR567--MA0149.1.EWSR1-FLI1	chr1	165985860	165985877	+	0.000	0.000	Merged-chr1-165985990-54
NR7008--MA0149.1.EWSR1-FLI1	chr4	32258297	32258314	-	0.000	0.000	Merged-chr4-32258239-72
NR6059--MA0149.1.EWSR1-FLI1	chr2	157746659	157746676	-	0.000	0.000	Merged-chr2-157746803-36
NR6635--MA0149.1.EWSR1-FLI1	chr3	105133291	105133308	-	0.000	0.000	Merged-chr3-105133189-20
NR10198--MA0149.1.EWSR1-FLI1	chr9	40747133	40747150	+	0.000	0.000	Merged-chr9-40746987-16
NR3195--MA0149.1.EWSR1-FLI1	chr13	119681377	119681394	+	0.000	0.000	Merged-chr13-119681376-28
NR6230--MA0475.2.FLI1	chr2	173578386	173578395	-	0.000	0.000	Merged-chr2-173578364-53
NR1604--MA0149.1.EWSR1-FLI1	chr11	30986479	30986496	-	0.000	0.000	Merged-chr11-30986417-66
NR4374--MA0149.1.EWSR1-FLI1	chr17	12307887	12307904	+	0.000	0.000	Merged-chr17-12307853-61
NR5145--MA0475.2.FLI1	chr19	26414860	26414869	-	0.000	0.000	Merged-chr19-26414799-20
NR10532--MA0149.1.EWSR1-FLI1	chr9	103337088	103337105	+	0.000	0.000	Merged-chr9-103337204-21
NR7164--MA0149.1.EWSR1-FLI1	chr4	87669883	87669900	-	0.000	0.000	Merged-chr4-87669731-33
NR1646--MA0149.1.EWSR1-FLI1	chr11	46348550	46348567	+	0.000	0.000	Merged-chr11-46348633-7
NR5202--MA0149.1.EWSR1-FLI1	chr19	42305950	42305967	+	0.000	0.000	Merged-chr19-42305883-1
NR7473--MA0149.1.EWSR1-FLI1	chr4	144892656	144892673	+	0.000	0.000	Merged-chr4-144892585-78
NR8197--MA0149.1.EWSR1-FLI1	chr5	148709261	148709278	+	0.000	0.000	Merged-chr5-148709171-35
NR7965--MA0149.1.EWSR1-FLI1	chr5	114505624	114505641	+	0.000	0.000	Merged-chr5-114505492-44
NR9025--MA0149.1.EWSR1-FLI1	chr7	24481880	24481897	-	0.000	0.000	Merged-chr7-24481860-36
NR9742--MA0475.2.FLI1	chr8	40595211	40595220	+	0.000	0.000	Merged-chr8-40595277-53
NR5778--MA0149.1.EWSR1-FLI1	chr2	102733564	102733581	+	0.000	0.000	Merged-chr2-102733347-57
NR10206--MA0149.1.EWSR1-FLI1	chr9	41004654	41004671	+	0.000	0.000	Merged-chr9-41004686-23
NR9334--MA0149.1.EWSR1-FLI1	chr7	97842876	97842893	-	0.000	0.000	Merged-chr7-97843006-38
NR1629--MA0149.1.EWSR1-FLI1	chr11	43701627	43701644	-	0.000	0.000	Merged-chr11-43701551-5
NR6282--MA0149.1.EWSR1-FLI1	chr2	181483755	181483772	-	0.000	0.000	Merged-chr2-181483913-67
NR3680--MA0149.1.EWSR1-FLI1	chr15	38120493	38120510	+	0.000	0.000	Merged-chr15-38120488-27
NR3539--MA0475.2.FLI1	chr14	118926632	118926641	-	0.000	0.000	Merged-chr14-118926822-16
NR9994--MA0149.1.EWSR1-FLI1	chr8	117781653	117781670	-	0.000	0.000	Merged-chr8-117781721-61
NR10389--MA0475.2.FLI1	chr9	69757424	69757433	+	0.000	0.000	Merged-chr9-69757438-24
NR7891--MA0149.1.EWSR1-FLI1	chr5	103459177	103459194	-	0.000	0.000	Merged-chr5-103459309-20
NR9873--MA0149.1.EWSR1-FLI1	chr8	88450991	88451008	+	0.000	0.000	Merged-chr8-88451024-11
NR1859--MA0149.1.EWSR1-FLI1	chr11	82417128	82417145	-	0.000	0.000	Merged-chr11-82417240-10
NR2321--MA0149.1.EWSR1-FLI1	chr12	54293496	54293513	+	0.000	0.000	Merged-chr12-54293472-68
NR1246--MA0149.1.EWSR1-FLI1	chr10	94523913	94523930	+	0.000	0.000	Merged-chr10-94523917-65
NR7565--MA0149.1.EWSR1-FLI1	chr4	152117715	152117732	+	0.000	0.000	Merged-chr4-152117699-6
NR960--MA0475.2.FLI1	chr10	41615623	41615632	+	0.000	0.000	Merged-chr10-41615681-31
NR10197--MA0475.2.FLI1	chr9	40746895	40746904	+	0.000	0.000	Merged-chr9-40746987-16
NR7098--MA0149.1.EWSR1-FLI1	chr4	53217949	53217966	+	0.000	0.000	Merged-chr4-53217970-89
NR3463--MA0149.1.EWSR1-FLI1	chr14	78308146	78308163	-	0.000	0.000	Merged-chr14-78307953-14
NR4580--MA0149.1.EWSR1-FLI1	chr17	46880164	46880181	-	0.000	0.000	Merged-chr17-46880120-39
NR4066--MA0149.1.EWSR1-FLI1	chr16	21694591	21694608	-	0.000	0.000	Merged-chr16-21694504-65
NR10408--MA0475.2.FLI1	chr9	75541753	75541762	-	0.000	0.000	Merged-chr9-75541698-38
NR4375--MA0149.1.EWSR1-FLI1	chr17	12656039	12656056	-	0.000	0.000	Merged-chr17-12655999-51
NR8114--MA0149.1.EWSR1-FLI1	chr5	137870618	137870635	+	0.000	0.000	Merged-chr5-137870793-17
NR4867--MA0149.1.EWSR1-FLI1	chr18	39657202	39657219	-	0.000	0.000	Merged-chr18-39657147-8
NR4951--MA0149.1.EWSR1-FLI1	chr18	68190012	68190029	-	0.000	0.000	Merged-chr18-68190088-51
NR4400--MA0149.1.EWSR1-FLI1	chr17	17826776	17826793	+	0.000	0.000	Merged-chr17-17826809-71
NR3451--MA0149.1.EWSR1-FLI1	chr14	75769475	75769492	+	0.000	0.000	Merged-chr14-75769501-48
NR1110--MA0475.2.FLI1	chr10	78421128	78421137	-	0.000	0.000	Merged-chr10-78421100-18
NR6283--MA0149.1.EWSR1-FLI1	chr2	181483769	181483786	-	0.000	0.000	Merged-chr2-181483913-67
NR156--MA0149.1.EWSR1-FLI1	chr1	73941071	73941088	+	0.000	0.000	Merged-chr1-73940938-50
NR6219--MA0149.1.EWSR1-FLI1	chr2	172940330	172940347	+	0.000	0.000	Merged-chr2-172940358-59
NR9180--MA0475.2.FLI1	chr7	65373522	65373531	-	0.000	0.000	Merged-chr7-65373607-20
NR7892--MA0149.1.EWSR1-FLI1	chr5	103459364	103459381	-	0.000	0.000	Merged-chr5-103459309-20
