#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf4/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR1613--MA0641.1.ELF4	chr3	144232119	144232130	-	0.000	0.000	Merged-chr3-144232172-58
NR1949--MA0641.1.ELF4	chr6	59185549	59185560	-	0.000	0.000	Merged-chr6-59185393-33
NR1967--MA0641.1.ELF4	chr6	83413099	83413110	-	0.000	0.000	Merged-chr6-83413092-38
NR2193--MA0641.1.ELF4	chr7	127922763	127922774	-	0.000	0.000	Merged-chr7-127922827-35
NR879--MA0641.1.ELF4	chr15	27826231	27826242	-	0.000	0.000	Merged-chr15-27825914-54
NR1485--MA0641.1.ELF4	chr2	169089253	169089264	-	0.000	0.000	Merged-chr2-169089199-37
NR1257--MA0641.1.ELF4	chr19	21104841	21104852	+	0.000	0.000	Merged-chr19-21104768-51
NR1947--MA0641.1.ELF4	chr6	57449465	57449476	+	0.000	0.000	Merged-chr6-57449516-18
NR1504--MA0641.1.ELF4	chr3	9500062	9500073	-	0.000	0.000	Merged-chr3-9499976-58
NR608--MA0641.1.ELF4	chr12	109067867	109067878	-	0.000	0.000	Merged-chr12-109068052-48
NR1312--MA0641.1.ELF4	chr2	23068076	23068087	+	0.000	0.000	Merged-chr2-23068233-3
NR2299--MA0641.1.ELF4	chr8	114986159	114986170	+	0.000	0.000	Merged-chr8-114986195-32
NR1554--MA0641.1.ELF4	chr3	89876591	89876602	-	0.000	0.000	Merged-chr3-89876737-10
NR2260--MA0641.1.ELF4	chr8	79682534	79682545	+	0.000	0.000	Merged-chr8-79682361-5
NR941--MA0641.1.ELF4	chr15	100182724	100182735	-	0.000	0.000	Merged-chr15-100182935-17
NR991--MA0641.1.ELF4	chr16	30597168	30597179	-	0.000	0.000	Merged-chr16-30597297-42
NR535--MA0641.1.ELF4	chr12	31756196	31756207	+	0.000	0.000	Merged-chr12-31756239-29
NR1454--MA0641.1.ELF4	chr2	150869632	150869643	-	0.000	0.000	Merged-chr2-150869596-45
NR1351--MA0641.1.ELF4	chr2	61483987	61483998	-	0.000	0.000	Merged-chr2-61484018-22
NR222--MA0641.1.ELF4	chr10	21946896	21946907	-	0.000	0.000	Merged-chr10-21947042-21
NR1253--MA0641.1.ELF4	chr19	9066092	9066103	+	0.000	0.000	Merged-chr19-9066188-87
NR2343--MA0641.1.ELF4	chr9	22430256	22430267	+	0.000	0.000	Merged-chr9-22430293-25
NR585--MA0641.1.ELF4	chr12	86592731	86592742	+	0.000	0.000	Merged-chr12-86592700-17
NR263--MA0641.1.ELF4	chr10	77864409	77864420	+	0.000	0.000	Merged-chr10-77864570-37
NR1943--MA0641.1.ELF4	chr6	54021305	54021316	-	0.000	0.000	Merged-chr6-54021435-16
NR290--MA0641.1.ELF4	chr10	94087445	94087456	-	0.000	0.000	Merged-chr10-94087553-20
NR659--MA0641.1.ELF4	chr13	37751727	37751738	+	0.000	0.000	Merged-chr13-37751511-23
NR444--MA0641.1.ELF4	chr11	85324126	85324137	-	0.000	0.000	Merged-chr11-85324179-42
NR9--MA0641.1.ELF4	chr1	30898859	30898870	-	0.000	0.000	Merged-chr1-30898944-13
NR2010--MA0641.1.ELF4	chr6	125222298	125222309	+	0.000	0.000	Merged-chr6-125222318-50
NR803--MA0641.1.ELF4	chr14	47395855	47395866	-	0.000	0.000	Merged-chr14-47395869-114
NR1973--MA0641.1.ELF4	chr6	89288329	89288340	-	0.000	0.000	Merged-chr6-89288372-31
NR1991--MA0641.1.ELF4	chr6	113645080	113645091	-	0.000	0.000	Merged-chr6-113645003-16
NR992--MA0641.1.ELF4	chr16	30686775	30686786	+	0.000	0.000	Merged-chr16-30686693-12
NR634--MA0641.1.ELF4	chr13	12349509	12349520	+	0.000	0.000	Merged-chr13-12349518-23
NR111--MA0641.1.ELF4	chr1	136019030	136019041	-	0.000	0.000	Merged-chr1-136018899-6
NR1908--MA0641.1.ELF4	chr5	149428522	149428533	-	0.000	0.000	Merged-chr5-149428707-59
NR2054--MA0641.1.ELF4	chr7	4464553	4464564	-	0.000	0.000	Merged-chr7-4464501-45
NR1976--MA0641.1.ELF4	chr6	91698970	91698981	-	0.000	0.000	Merged-chr6-91699017-27
NR847--MA0641.1.ELF4	chr14	99041495	99041506	-	0.000	0.000	Merged-chr14-99041540-15
NR47--MA0641.1.ELF4	chr1	66987767	66987778	+	0.000	0.000	Merged-chr1-66987794-41
NR1458--MA0641.1.ELF4	chr2	152104991	152105002	-	0.000	0.000	Merged-chr2-152105009-1
