#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gabpa/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR2410--MA0062.2.Gabpa	chr2	169089251	169089261	-	0.000	0.000	Merged-chr2-169089199-37
NR203--MA0062.2.Gabpa	chr1	159938611	159938621	+	0.000	0.000	Merged-chr1-159938641-24
NR1488--MA0062.2.Gabpa	chr15	100182722	100182732	-	0.000	0.000	Merged-chr15-100182935-17
NR2925--MA0062.2.Gabpa	chr4	134752345	134752355	-	0.000	0.000	Merged-chr4-134752256-8
NR699--MA0062.2.Gabpa	chr11	96993022	96993032	-	0.000	0.000	Merged-chr11-96993116-10
NR678--MA0062.2.Gabpa	chr11	85324124	85324134	-	0.000	0.000	Merged-chr11-85324179-42
NR997--MA0062.2.Gabpa	chr13	28551908	28551918	+	0.000	0.000	Merged-chr13-28551845-49
NR1582--MA0062.2.Gabpa	chr16	45690392	45690402	+	0.000	0.000	Merged-chr16-45690365-24
NR1561--MA0062.2.Gabpa	chr16	30597166	30597176	-	0.000	0.000	Merged-chr16-30597297-42
NR2272--MA0062.2.Gabpa	chr2	113914470	113914480	-	0.000	0.000	Merged-chr2-113914576-9
NR2067--MA0062.2.Gabpa	chr19	55915653	55915663	-	0.000	0.000	Merged-chr19-55915456-76
NR336--MA0062.2.Gabpa	chr10	44268415	44268425	+	0.000	0.000	Merged-chr10-44268298-69
NR2447--MA0062.2.Gabpa	chr3	9500060	9500070	-	0.000	0.000	Merged-chr3-9499976-58
NR3743--MA0062.2.Gabpa	chr8	79682537	79682547	+	0.000	0.000	Merged-chr8-79682361-5
NR1803--MA0062.2.Gabpa	chr17	73247122	73247132	-	0.000	0.000	Merged-chr17-73247076-30
NR2418--MA0062.2.Gabpa	chr2	174018100	174018110	-	0.000	0.000	Merged-chr2-174018150-40
NR2399--MA0062.2.Gabpa	chr2	167713140	167713150	+	0.000	0.000	Merged-chr2-167713112-41
NR1511--MA0062.2.Gabpa	chr16	7767872	7767882	-	0.000	0.000	Merged-chr16-7768064-22
NR1646--MA0062.2.Gabpa	chr17	5303457	5303467	-	0.000	0.000	Merged-chr17-5303448-46
NR1054--MA0062.2.Gabpa	chr13	54765955	54765965	+	0.000	0.000	Merged-chr13-54766029-1
NR1338--MA0062.2.Gabpa	chr14	118834424	118834434	-	0.000	0.000	Merged-chr14-118834540-52
NR1243--MA0062.2.Gabpa	chr14	54211899	54211909	-	0.000	0.000	Merged-chr14-54211921-5
NR2701--MA0062.2.Gabpa	chr4	8854052	8854062	-	0.000	0.000	Merged-chr4-8854131-25
NR3141--MA0062.2.Gabpa	chr5	129524540	129524550	+	0.000	0.000	Merged-chr5-129524684-34
NR1017--MA0062.2.Gabpa	chr13	37751730	37751740	+	0.000	0.000	Merged-chr13-37751511-23
NR1474--MA0062.2.Gabpa	chr15	96319793	96319803	+	0.000	0.000	Merged-chr15-96319572-16
NR930--MA0062.2.Gabpa	chr12	109067865	109067875	-	0.000	0.000	Merged-chr12-109068052-48
NR2770--MA0062.2.Gabpa	chr4	45766207	45766217	+	0.000	0.000	Merged-chr4-45766216-17
NR3289--MA0062.2.Gabpa	chr6	83413097	83413107	-	0.000	0.000	Merged-chr6-83413092-38
NR2658--MA0062.2.Gabpa	chr3	144232117	144232127	-	0.000	0.000	Merged-chr3-144232172-58
NR2637--MA0062.2.Gabpa	chr3	135579393	135579403	-	0.000	0.000	Merged-chr3-135579457-44
NR200--MA0062.2.Gabpa	chr1	156674316	156674326	-	0.000	0.000	Merged-chr1-156674255-139
NR2834--MA0062.2.Gabpa	chr4	86683525	86683535	+	0.000	0.000	Merged-chr4-86683553-15
NR104--MA0062.2.Gabpa	chr1	87181026	87181036	+	0.000	0.000	Merged-chr1-87181117-21
NR2053--MA0062.2.Gabpa	chr19	47432642	47432652	-	0.000	0.000	Merged-chr19-47432576-23
NR967--MA0062.2.Gabpa	chr13	10233912	10233922	+	0.000	0.000	Merged-chr13-10233980-9
NR2534--MA0062.2.Gabpa	chr3	83993395	83993405	+	0.000	0.000	Merged-chr3-83993440-19
NR178--MA0062.2.Gabpa	chr1	137075005	137075015	-	0.000	0.000	Merged-chr1-137074990-14
NR1645--MA0062.2.Gabpa	chr17	5295759	5295769	-	0.000	0.000	Merged-chr17-5295840-41
NR3910--MA0062.2.Gabpa	chr9	51278606	51278616	+	0.000	0.000	Merged-chr9-51278658-19
NR3272--MA0062.2.Gabpa	chr6	71144183	71144193	+	0.000	0.000	Merged-chr6-71144085-54
NR1767--MA0062.2.Gabpa	chr17	46807790	46807800	+	0.000	0.000	Merged-chr17-46807874-5
NR1876--MA0062.2.Gabpa	chr18	43520917	43520927	+	0.000	0.000	Merged-chr18-43520913-20
NR1223--MA0062.2.Gabpa	chr14	47395853	47395863	-	0.000	0.000	Merged-chr14-47395869-114
NR1584--MA0062.2.Gabpa	chr16	46215555	46215565	-	0.000	0.000	Merged-chr16-46215514-8
NR4076--MA0062.2.Gabpa	chrX	11691217	11691227	-	0.000	0.000	Merged-chrX-11691222-6
NR3615--MA0062.2.Gabpa	chr7	127922761	127922771	-	0.000	0.000	Merged-chr7-127922827-35
NR3562--MA0062.2.Gabpa	chr7	101414322	101414332	-	0.000	0.000	Merged-chr7-101414402-16
NR1547--MA0062.2.Gabpa	chr16	21835898	21835908	+	0.000	0.000	Merged-chr16-21835778-19
NR48--MA0062.2.Gabpa	chr1	52166765	52166775	+	0.000	0.000	Merged-chr1-52166821-10
NR3153--MA0062.2.Gabpa	chr5	135703102	135703112	-	0.000	0.000	Merged-chr5-135702928-61
NR1051--MA0062.2.Gabpa	chr13	53402509	53402519	-	0.000	0.000	Merged-chr13-53402378-5
NR1369--MA0062.2.Gabpa	chr15	27826221	27826231	-	0.000	0.000	Merged-chr15-27825914-54
NR1587--MA0062.2.Gabpa	chr16	50315815	50315825	+	0.000	0.000	Merged-chr16-50315651-21
NR838--MA0062.2.Gabpa	chr12	54353186	54353196	-	0.000	0.000	Merged-chr12-54353201-29
NR1109--MA0062.2.Gabpa	chr13	95765119	95765129	+	0.000	0.000	Merged-chr13-95765232-46
NR3368--MA0062.2.Gabpa	chr6	134981437	134981447	-	0.000	0.000	Merged-chr6-134981456-22
NR384--MA0062.2.Gabpa	chr10	72620704	72620714	-	0.000	0.000	Merged-chr10-72620792-31
NR2570--MA0062.2.Gabpa	chr3	97294427	97294437	+	0.000	0.000	Merged-chr3-97294559-20
NR3108--MA0062.2.Gabpa	chr5	115474636	115474646	-	0.000	0.000	Merged-chr5-115474524-35
NR2583--MA0062.2.Gabpa	chr3	102697798	102697808	-	0.000	0.000	Merged-chr3-102697819-15
NR2310--MA0062.2.Gabpa	chr2	131191210	131191220	-	0.000	0.000	Merged-chr2-131191019-12
NR25--MA0062.2.Gabpa	chr1	30898857	30898867	-	0.000	0.000	Merged-chr1-30898944-13
NR2671--MA0062.2.Gabpa	chr3	148867867	148867877	-	0.000	0.000	Merged-chr3-148867817-36
NR212--MA0062.2.Gabpa	chr1	164453804	164453814	+	0.000	0.000	Merged-chr1-164453894-15
NR4194--MA0062.2.Gabpa	chrY	90744629	90744639	-	0.000	0.000	Merged-chrY-90744539-24
