#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR5615--MA0640.1.ELF3	chr19	61265616	61265628	+	0.000	0.000	Merged-chr19-61265627-44
NR3754--MA0473.2.ELF1	chr15	58927824	58927835	-	0.000	0.000	Merged-chr15-58927815-41
NR5711--MA0136.2.ELF5	chr2	23041621	23041631	-	0.000	0.000	Merged-chr2-23041695-10
NR1280--MA0136.2.ELF5	chr10	117925769	117925779	-	0.000	0.000	Merged-chr10-117925903-63
NR8784--MA0136.2.ELF5	chr6	115971342	115971352	-	0.000	0.000	Merged-chr6-115971349-10
NR5473--MA0640.1.ELF3	chr19	36926075	36926087	-	0.000	0.000	Merged-chr19-36926163-72
NR9332--MA0473.2.ELF1	chr7	81863359	81863370	+	0.000	0.000	Merged-chr7-81863346-31
NR8261--MA0136.2.ELF5	chr5	140622872	140622882	+	0.000	0.000	Merged-chr5-140622986-3
NR6967--MA0473.2.ELF1	chr3	130796687	130796698	-	0.000	0.000	Merged-chr3-130796721-21
NR795--MA0640.1.ELF3	chr10	10307482	10307494	-	0.000	0.000	Merged-chr10-10307543-35
NR6986--MA0136.2.ELF5	chr3	132791286	132791296	-	0.000	0.000	Merged-chr3-132791387-40
NR4372--MA0136.2.ELF5	chr17	5798679	5798689	+	0.000	0.000	Merged-chr17-5798527-14
NR4014--MA0136.2.ELF5	chr16	11461755	11461765	+	0.000	0.000	Merged-chr16-11461779-30
NR3755--MA0640.1.ELF3	chr15	58927823	58927835	-	0.000	0.000	Merged-chr15-58927815-41
NR4255--MA0473.2.ELF1	chr16	76357293	76357304	+	0.000	0.000	Merged-chr16-76357413-27
NR7445--MA0473.2.ELF1	chr4	124755687	124755698	+	0.000	0.000	Merged-chr4-124755730-37
NR8364--MA0640.1.ELF3	chr5	150262967	150262979	-	0.000	0.000	Merged-chr5-150262822-29
NR8790--MA0473.2.ELF1	chr6	117874786	117874797	+	0.000	0.000	Merged-chr6-117874923-6
NR5709--MA0473.2.ELF1	chr2	23041621	23041632	-	0.000	0.000	Merged-chr2-23041695-10
NR1278--MA0473.2.ELF1	chr10	117925769	117925780	-	0.000	0.000	Merged-chr10-117925903-63
NR1084--MA0641.1.ELF4	chr10	80693003	80693014	+	0.000	0.000	Merged-chr10-80692829-7
NR6838--MA0641.1.ELF4	chr3	106493373	106493384	+	0.000	0.000	Merged-chr3-106493265-20
NR7129--MA0136.2.ELF5	chr4	7112276	7112286	-	0.000	0.000	Merged-chr4-7112485-9
NR4256--MA0640.1.ELF3	chr16	76357293	76357305	+	0.000	0.000	Merged-chr16-76357413-27
NR6570--MA0640.1.ELF3	chr3	22022621	22022633	+	0.000	0.000	Merged-chr3-22022540-24
NR784--MA0640.1.ELF3	chr10	7976638	7976650	+	0.000	0.000	Merged-chr10-7976653-22
NR515--MA0641.1.ELF4	chr1	153617598	153617609	+	0.000	0.000	Merged-chr1-153617501-53
NR2091--MA0473.2.ELF1	chr11	118260235	118260246	+	0.000	0.000	Merged-chr11-118260262-42
NR8056--MA0641.1.ELF4	chr5	107546224	107546235	-	0.000	0.000	Merged-chr5-107546120-23
NR791--MA0136.2.ELF5	chr10	8535725	8535735	-	0.000	0.000	Merged-chr10-8535682-19
NR4843--MA0641.1.ELF4	chr17	78351748	78351759	-	0.000	0.000	Merged-chr17-78351969-128
NR1279--MA0640.1.ELF3	chr10	117925768	117925780	-	0.000	0.000	Merged-chr10-117925903-63
NR8791--MA0641.1.ELF4	chr6	117874786	117874797	+	0.000	0.000	Merged-chr6-117874923-6
NR2942--MA0640.1.ELF3	chr13	85399063	85399075	-	0.000	0.000	Merged-chr13-85399027-23
NR6836--MA0640.1.ELF3	chr3	106493373	106493385	+	0.000	0.000	Merged-chr3-106493265-20
NR2012--MA0473.2.ELF1	chr11	108088311	108088322	-	0.000	0.000	Merged-chr11-108088190-36
NR2013--MA0136.2.ELF5	chr11	108088311	108088321	-	0.000	0.000	Merged-chr11-108088190-36
NR2219--MA0136.2.ELF5	chr12	34806744	34806754	-	0.000	0.000	Merged-chr12-34806738-15
NR513--MA0640.1.ELF3	chr1	153617598	153617610	+	0.000	0.000	Merged-chr1-153617501-53
NR3577--MA0473.2.ELF1	chr14	120572528	120572539	+	0.000	0.000	Merged-chr14-120572441-59
NR4455--MA0641.1.ELF4	chr17	21383681	21383692	+	0.000	0.000	Merged-chr17-21383828-70
NR1866--MA0641.1.ELF4	chr11	89024285	89024296	+	0.000	0.000	Merged-chr11-89024298-29
NR4452--MA0473.2.ELF1	chr17	21383681	21383692	+	0.000	0.000	Merged-chr17-21383828-70
NR8365--MA0136.2.ELF5	chr5	150262968	150262978	-	0.000	0.000	Merged-chr5-150262822-29
NR2092--MA0641.1.ELF4	chr11	118260235	118260246	+	0.000	0.000	Merged-chr11-118260262-42
NR9334--MA0136.2.ELF5	chr7	81863360	81863370	+	0.000	0.000	Merged-chr7-81863346-31
NR8803--MA0473.2.ELF1	chr6	119199069	119199080	+	0.000	0.000	Merged-chr6-119199024-52
NR6969--MA0136.2.ELF5	chr3	130796687	130796697	-	0.000	0.000	Merged-chr3-130796721-21
NR4496--MA0641.1.ELF4	chr17	25016824	25016835	-	0.000	0.000	Merged-chr17-25016921-2
NR4257--MA0136.2.ELF5	chr16	76357294	76357304	+	0.000	0.000	Merged-chr16-76357413-27
NR4368--MA0473.2.ELF1	chr17	5798601	5798612	+	0.000	0.000	Merged-chr17-5798527-14
NR5712--MA0641.1.ELF4	chr2	23041621	23041632	-	0.000	0.000	Merged-chr2-23041695-10
NR1281--MA0641.1.ELF4	chr10	117925769	117925780	-	0.000	0.000	Merged-chr10-117925903-63
NR8785--MA0641.1.ELF4	chr6	115971342	115971353	-	0.000	0.000	Merged-chr6-115971349-10
NR5952--MA0136.2.ELF5	chr2	73346569	73346579	+	0.000	0.000	Merged-chr2-73346607-35
NR4453--MA0640.1.ELF3	chr17	21383681	21383693	+	0.000	0.000	Merged-chr17-21383828-70
NR8804--MA0640.1.ELF3	chr6	119199069	119199081	+	0.000	0.000	Merged-chr6-119199024-52
NR1082--MA0473.2.ELF1	chr10	80693003	80693014	+	0.000	0.000	Merged-chr10-80692829-7
NR1083--MA0136.2.ELF5	chr10	80693004	80693014	+	0.000	0.000	Merged-chr10-80692829-7
NR2619--MA0640.1.ELF3	chr12	117418165	117418177	+	0.000	0.000	Merged-chr12-117418203-35
NR7079--MA0640.1.ELF3	chr3	149281431	149281443	-	0.000	0.000	Merged-chr3-149281219-17
NR5897--MA0641.1.ELF4	chr2	57356668	57356679	-	0.000	0.000	Merged-chr2-57356493-40
NR3375--MA0136.2.ELF5	chr14	59051498	59051508	+	0.000	0.000	Merged-chr14-59051609-29
NR5365--MA0640.1.ELF3	chr19	10816088	10816100	-	0.000	0.000	Merged-chr19-10816124-38
NR5710--MA0640.1.ELF3	chr2	23041620	23041632	-	0.000	0.000	Merged-chr2-23041695-10
NR7511--MA0136.2.ELF5	chr4	132775187	132775197	-	0.000	0.000	Merged-chr4-132775105-24
NR8783--MA0640.1.ELF3	chr6	115971341	115971353	-	0.000	0.000	Merged-chr6-115971349-10
NR1830--MA0640.1.ELF3	chr11	83640390	83640402	+	0.000	0.000	Merged-chr11-83640282-44
NR3506--MA0136.2.ELF5	chr14	103363319	103363329	-	0.000	0.000	Merged-chr14-103363341-36
NR4841--MA0473.2.ELF1	chr17	78351748	78351759	-	0.000	0.000	Merged-chr17-78351969-128
NR10109--MA0473.2.ELF1	chr8	119547153	119547164	-	0.000	0.000	Merged-chr8-119547252-9
NR573--MA0136.2.ELF5	chr1	162565205	162565215	+	0.000	0.000	Merged-chr1-162565187-22
NR9279--MA0473.2.ELF1	chr7	67421966	67421977	-	0.000	0.000	Merged-chr7-67421949-40
NR2465--MA0473.2.ELF1	chr12	100480739	100480750	-	0.000	0.000	Merged-chr12-100480598-53
NR4004--MA0640.1.ELF3	chr16	8843215	8843227	-	0.000	0.000	Merged-chr16-8843171-18
NR4454--MA0136.2.ELF5	chr17	21383682	21383692	+	0.000	0.000	Merged-chr17-21383828-70
NR1764--MA0641.1.ELF4	chr11	76209998	76210009	+	0.000	0.000	Merged-chr11-76209894-14
NR4116--MA0641.1.ELF4	chr16	32658909	32658920	+	0.000	0.000	Merged-chr16-32659000-27
NR4842--MA0640.1.ELF3	chr17	78351747	78351759	-	0.000	0.000	Merged-chr17-78351969-128
NR8805--MA0136.2.ELF5	chr6	119199070	119199080	+	0.000	0.000	Merged-chr6-119199024-52
NR4141--MA0136.2.ELF5	chr16	44497000	44497010	+	0.000	0.000	Merged-chr16-44497186-22
NR2658--MA0641.1.ELF4	chr13	4191167	4191178	-	0.000	0.000	Merged-chr13-4191269-39
NR2655--MA0473.2.ELF1	chr13	4191167	4191178	-	0.000	0.000	Merged-chr13-4191269-39
NR7128--MA0640.1.ELF3	chr4	7112275	7112287	-	0.000	0.000	Merged-chr4-7112485-9
NR3556--MA0641.1.ELF4	chr14	118834426	118834437	-	0.000	0.000	Merged-chr14-118834540-52
NR2217--MA0473.2.ELF1	chr12	34806744	34806755	-	0.000	0.000	Merged-chr12-34806738-15
NR8053--MA0640.1.ELF3	chr5	107546091	107546103	+	0.000	0.000	Merged-chr5-107546120-23
NR8366--MA0641.1.ELF4	chr5	150262968	150262979	-	0.000	0.000	Merged-chr5-150262822-29
NR9335--MA0641.1.ELF4	chr7	81863359	81863370	+	0.000	0.000	Merged-chr7-81863346-31
NR9557--MA0136.2.ELF5	chr7	125630476	125630486	+	0.000	0.000	Merged-chr7-125630465-44
NR2656--MA0640.1.ELF3	chr13	4191166	4191178	-	0.000	0.000	Merged-chr13-4191269-39
NR4456--MA0473.2.ELF1	chr17	21383718	21383729	+	0.000	0.000	Merged-chr17-21383828-70
NR4457--MA0136.2.ELF5	chr17	21383719	21383729	+	0.000	0.000	Merged-chr17-21383828-70
NR4258--MA0641.1.ELF4	chr16	76357293	76357304	+	0.000	0.000	Merged-chr16-76357413-27
NR10110--MA0136.2.ELF5	chr8	119547153	119547163	-	0.000	0.000	Merged-chr8-119547252-9
NR2218--MA0640.1.ELF3	chr12	34806743	34806755	-	0.000	0.000	Merged-chr12-34806738-15
NR8967--MA0641.1.ELF4	chr6	142561310	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR8964--MA0473.2.ELF1	chr6	142561310	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR4852--MA0136.2.ELF5	chr17	80067467	80067477	+	0.000	0.000	Merged-chr17-80067484-12
NR9333--MA0640.1.ELF3	chr7	81863359	81863371	+	0.000	0.000	Merged-chr7-81863346-31
NR6968--MA0640.1.ELF3	chr3	130796686	130796698	-	0.000	0.000	Merged-chr3-130796721-21
NR3575--MA0136.2.ELF5	chr14	120572387	120572397	+	0.000	0.000	Merged-chr14-120572441-59
NR5616--MA0136.2.ELF5	chr19	61265617	61265627	+	0.000	0.000	Merged-chr19-61265627-44
NR6835--MA0473.2.ELF1	chr3	106493373	106493384	+	0.000	0.000	Merged-chr3-106493265-20
NR4005--MA0641.1.ELF4	chr16	8843216	8843227	-	0.000	0.000	Merged-chr16-8843171-18
NR2620--MA0136.2.ELF5	chr12	117418166	117418176	+	0.000	0.000	Merged-chr12-117418203-35
NR8965--MA0640.1.ELF3	chr6	142561310	142561322	+	0.000	0.000	Merged-chr6-142561422-52
NR4370--MA0136.2.ELF5	chr17	5798602	5798612	+	0.000	0.000	Merged-chr17-5798527-14
NR7080--MA0136.2.ELF5	chr3	149281432	149281442	-	0.000	0.000	Merged-chr3-149281219-17
NR512--MA0473.2.ELF1	chr1	153617598	153617609	+	0.000	0.000	Merged-chr1-153617501-53
NR9280--MA0641.1.ELF4	chr7	67421966	67421977	-	0.000	0.000	Merged-chr7-67421949-40
NR5951--MA0640.1.ELF3	chr2	73346568	73346580	+	0.000	0.000	Merged-chr2-73346607-35
NR3507--MA0641.1.ELF4	chr14	103363319	103363330	-	0.000	0.000	Merged-chr14-103363341-36
NR2220--MA0641.1.ELF4	chr12	34806744	34806755	-	0.000	0.000	Merged-chr12-34806738-15
NR574--MA0641.1.ELF4	chr1	162565204	162565215	+	0.000	0.000	Merged-chr1-162565187-22
NR571--MA0473.2.ELF1	chr1	162565204	162565215	+	0.000	0.000	Merged-chr1-162565187-22
NR6581--MA0473.2.ELF1	chr3	32409319	32409330	-	0.000	0.000	Merged-chr3-32409159-38
NR2657--MA0136.2.ELF5	chr13	4191167	4191177	-	0.000	0.000	Merged-chr13-4191269-39
NR924--MA0640.1.ELF3	chr10	42838937	42838949	+	0.000	0.000	Merged-chr10-42838902-52
NR796--MA0136.2.ELF5	chr10	10307483	10307493	-	0.000	0.000	Merged-chr10-10307543-35
NR7446--MA0641.1.ELF4	chr4	124755687	124755698	+	0.000	0.000	Merged-chr4-124755730-37
NR2337--MA0641.1.ELF4	chr12	76085162	76085173	+	0.000	0.000	Merged-chr12-76085234-6
NR3756--MA0136.2.ELF5	chr15	58927824	58927834	-	0.000	0.000	Merged-chr15-58927815-41
NR6970--MA0641.1.ELF4	chr3	130796687	130796698	-	0.000	0.000	Merged-chr3-130796721-21
NR7510--MA0640.1.ELF3	chr4	132775186	132775198	-	0.000	0.000	Merged-chr4-132775105-24
NR4537--MA0473.2.ELF1	chr17	29275150	29275161	-	0.000	0.000	Merged-chr17-29275247-8
NR1863--MA0473.2.ELF1	chr11	89024285	89024296	+	0.000	0.000	Merged-chr11-89024298-29
NR8806--MA0641.1.ELF4	chr6	119199069	119199080	+	0.000	0.000	Merged-chr6-119199024-52
NR5896--MA0473.2.ELF1	chr2	57356668	57356679	-	0.000	0.000	Merged-chr2-57356493-40
NR572--MA0640.1.ELF3	chr1	162565204	162565216	+	0.000	0.000	Merged-chr1-162565187-22
NR6638--MA0136.2.ELF5	chr3	60320426	60320436	-	0.000	0.000	Merged-chr3-60320504-44
NR5474--MA0641.1.ELF4	chr19	36926076	36926087	-	0.000	0.000	Merged-chr19-36926163-72
NR4493--MA0473.2.ELF1	chr17	25016824	25016835	-	0.000	0.000	Merged-chr17-25016921-2
NR9366--MA0136.2.ELF5	chr7	89248289	89248299	-	0.000	0.000	Merged-chr7-89248341-51
NR6582--MA0641.1.ELF4	chr3	32409319	32409330	-	0.000	0.000	Merged-chr3-32409159-38
NR6571--MA0136.2.ELF5	chr3	22022622	22022632	+	0.000	0.000	Merged-chr3-22022540-24
NR785--MA0136.2.ELF5	chr10	7976639	7976649	+	0.000	0.000	Merged-chr10-7976653-22
NR8966--MA0136.2.ELF5	chr6	142561311	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR1277--MA0640.1.ELF3	chr10	117856385	117856397	-	0.000	0.000	Merged-chr10-117856410-16
NR8782--MA0473.2.ELF1	chr6	115971342	115971353	-	0.000	0.000	Merged-chr6-115971349-10
NR1864--MA0640.1.ELF3	chr11	89024285	89024297	+	0.000	0.000	Merged-chr11-89024298-29
NR2128--MA0136.2.ELF5	chr12	3524253	3524263	+	0.000	0.000	Merged-chr12-3524419-17
NR1740--MA0473.2.ELF1	chr11	73132331	73132342	-	0.000	0.000	Merged-chr11-73132319-6
NR4494--MA0640.1.ELF3	chr17	25016823	25016835	-	0.000	0.000	Merged-chr17-25016921-2
NR2943--MA0136.2.ELF5	chr13	85399064	85399074	-	0.000	0.000	Merged-chr13-85399027-23
NR4369--MA0640.1.ELF3	chr17	5798601	5798613	+	0.000	0.000	Merged-chr17-5798527-14
NR6837--MA0136.2.ELF5	chr3	106493374	106493384	+	0.000	0.000	Merged-chr3-106493265-20
NR4458--MA0641.1.ELF4	chr17	21383718	21383729	+	0.000	0.000	Merged-chr17-21383828-70
NR8492--MA0473.2.ELF1	chr6	42343588	42343599	-	0.000	0.000	Merged-chr6-42343728-43
NR1763--MA0473.2.ELF1	chr11	76209998	76210009	+	0.000	0.000	Merged-chr11-76209894-14
NR760--MA0136.2.ELF5	chr1	191803550	191803560	+	0.000	0.000	Merged-chr1-191803516-12
NR514--MA0136.2.ELF5	chr1	153617599	153617609	+	0.000	0.000	Merged-chr1-153617501-53
NR8054--MA0473.2.ELF1	chr5	107546224	107546235	-	0.000	0.000	Merged-chr5-107546120-23
NR8055--MA0136.2.ELF5	chr5	107546224	107546234	-	0.000	0.000	Merged-chr5-107546120-23
NR4853--MA0641.1.ELF4	chr17	80067466	80067477	+	0.000	0.000	Merged-chr17-80067484-12
NR4850--MA0473.2.ELF1	chr17	80067466	80067477	+	0.000	0.000	Merged-chr17-80067484-12
NR7552--MA0136.2.ELF5	chr4	136174400	136174410	+	0.000	0.000	Merged-chr4-136174331-1
