#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed MACS2_DKO_Tfh_peaks.Tbx21.sig.bed MACS2_DKO_Th1_peaks.Tbx21.sig.bed MACS2_Naive_peaks.Tbx21.sig.bed MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed MACS2_WT_Tfh_peaks.Tbx21.sig.bed MACS2_WT_Th1_peaks.Tbx21.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed	MACS2_DKO_Th1_peaks.Tbx21.sig.bed	MACS2_Naive_peaks.Tbx21.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed	MACS2_WT_Tfh_peaks.Tbx21.sig.bed	MACS2_WT_Th1_peaks.Tbx21.sig.bed
Merged-chr11-97118402-4	chr11	97118296	97118504	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	4	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53605	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44945	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37680				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45661
Merged-chr11-97096333-5	chr11	97096199	97096495	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	5	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53599	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44937	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37673		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62184		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45654
Merged-chr11-97123702-6	chr11	97123447	97123898	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53606	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44946	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37681		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62191		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45662a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45662b
Merged-chr11-97112734-6	chr11	97112595	97112860	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53603	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44942	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37678		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62189	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47180	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45658
Merged-chr11-97125026-5	chr11	97124868	97125190	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	5	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53607a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53607b		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37682				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45663a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45663b
Merged-chr11-97115546-13	chr11	97115335	97115682	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed	13	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53604a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53604b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53604c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53604d		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37679a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37679b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37679c		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62190a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62190b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62190c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47181a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47181b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47181d	
Merged-chr11-97109203-4	chr11	97109102	97109311	+	0.000000	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed	4		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44940	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37676		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62187	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47178	
Merged-chr11-97109836-4	chr11	97109746	97109920	+	0.000000	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed	4		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44941	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37677		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62188	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47179	
Merged-chr11-97091994-2	chr11	97091919	97092069	+	0.000000	MACS2_DKO_Th1_peaks.Tbx21.sig.bed	2			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37669a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37669b				
Merged-chr11-97116022-3	chr11	97115921	97116135	+	0.000000	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_Naive_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	3		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44944		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_63082			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45660
Merged-chr11-97091015-2	chr11	97090889	97091142	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed	2	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53593	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44934					
Merged-chr11-97092538-1	chr11	97092463	97092613	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed	1	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53595						
Merged-chr11-97094059-1	chr11	97093984	97094134	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed	1	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53597						
Merged-chr11-97091753-1	chr11	97091678	97091828	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed	1	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53594a						
Merged-chr11-97109527-4	chr11	97109431	97109623	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	4	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53602a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53602b						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45657a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45657b
